,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,3.764B,3.764B,,,138.60M,,-35.20M,,,,,2.944B,3.082B,681.40M,,,,-35.20M,,245.40M,127.40M,118.00M,151.70M,,-6.00M,22.70M,269.70M,139.12M,941.00M,259.60M,681.40M,0.19,0.29,,,0.2308,0.48,0.18,0.28,,,0.2195,0.46,518.09M,534.84M,0.01
2003-03,4.833B,4.833B,,,130.30M,,68.40M,,,,,4.474B,4.604B,228.20M,,,,68.40M,,-50.60M,-11.30M,-39.30M,-13.90M,-761.30M,-3.50M,6.80M,-814.50M,-92.42M,477.40M,249.20M,228.20M,-0.09,-0.03,-0.0,,-0.1926,-1.59,-0.09,-0.03,-1.4709999999999999,,-0.1926,-1.59,517.65M,517.65M,0.01
2002-12,1.122B,1.122B,,,142.40M,,-99.40M,,,,,624.20M,766.60M,355.50M,,,,-99.40M,,-225.60M,-74.40M,-151.20M,-68.00M,,-6.10M,6.80M,-219.20M,-84.58M,677.80M,322.30M,355.50M,-0.3082,-0.1268,,,-0.1793,-0.435,-0.32,-0.1268,,,-0.1926,-0.435,516.69M,523.06M,0.01
2002-09,719.20M,719.20M,,,202.20M,,113.40M,,,,,527.30M,729.50M,-10.30M,,,,113.40M,,-243.40M,-72.20M,-171.20M,-122.90M,,-12.20M,6.80M,-294.10M,-250.96M,136.60M,146.90M,-10.30M,-0.34,-0.24,,,-0.4943,-0.58,-0.34,-0.24,,,-0.4943,-0.58,516.90M,516.90M,0.01
2002-06,747.10M,747.10M,,,196.70M,,-20.90M,,,,,758.80M,955.50M,-208.40M,,,,-20.90M,,-488.20M,-156.40M,-331.80M,-17.30M,,-11.50M,6.80M,-349.10M,-317.60M,-84.40M,124.00M,-208.40M,-0.65,-0.03,,,-0.6227,-0.68,-0.65,-0.03,,,-0.6227,-0.68,520.43M,520.43M,0.2
2002-03,2.185B,2.185B,,,196.50M,,-22.50M,,,,,1.537B,1.734B,451.10M,,,,-22.50M,,210.30M,87.10M,123.20M,-15.50M,,-15.20M,69.70M,107.70M,136.70M,662.70M,211.60M,451.10M,0.1,-0.03,,,0.126,0.07,0.1,-0.03,,,0.1259,0.07,519.22M,521.24M,0.2
2001-12,-3.416B,-3.416B,,,30.00M,,-122.10M,,,,,-3.274B,-3.244B,-172.10M,,,,-122.10M,,-434.00M,-143.20M,-290.80M,-946.90M,,-6.70M,,-1.238B,-208.99M,-106.10M,66.00M,-172.10M,-0.6624,-1.814,,,-0.4954,-2.477,-0.6624,-1.86,,,-0.508,-2.49,489.81M,529.93M,0.2
2001-09,2.810B,2.810B,,,276.10M,,-82.20M,,,,,1.831B,2.107B,703.30M,,,,-82.20M,,419.00M,197.70M,221.30M,,,-20.40M,,221.30M,270.62M,915.90M,212.60M,703.30M,0.44,0.0,,,0.5381,0.44,0.44,0.0,,,0.5374,0.44,502.88M,506.16M,0.18
2001-06,2.921B,2.921B,,,220.90M,,130.80M,,,,,2.120B,2.341B,580.60M,,,,130.80M,,539.70M,210.90M,328.80M,10.70M,,-21.70M,,339.50M,249.11M,755.90M,175.30M,580.60M,0.68,0.02,,,0.5164,0.7,0.68,0.02,,,0.5179,0.7,487.21M,491.70M,0.15
2001-03,3.058B,3.058B,,,224.50M,,-36.40M,,,,,2.038B,2.262B,795.50M,,,,-36.40M,,599.80M,232.90M,366.90M,-167.70M,,-25.30M,,199.20M,389.17M,969.80M,174.30M,795.50M,0.77,-0.35,,,0.8165,0.42,0.76,-0.35,,,0.8061,0.41,479.09M,483.31M,0.15
2000-12,-1.586B,-1.586B,,,-515.20M,,-397.40M,,,,,-2.004B,-2.519B,932.40M,,,,-397.40M,,393.30M,167.10M,226.20M,,,-87.70M,,-48.30M,464.64M,947.70M,15.30M,932.40M,0.4917,-0.6111,,,1.0290000000000001,-0.1194,0.16,-0.6111,,,0.6953,-0.1194,443.91M,445.45M,0.15
2000-09,2.859B,2.859B,,,361.00M,,35.30M,,,,,2.170B,2.531B,327.60M,,,,35.30M,,184.00M,62.90M,121.10M,,,17.90M,,121.10M,97.87M,645.20M,317.60M,327.60M,0.27,0.0,,,0.2178,0.27,0.27,0.0,,,0.2184,0.27,445.07M,450.29M,0.15
2000-06,2.350B,2.350B,,,237.10M,,17.10M,,,,,1.504B,1.741B,608.40M,,,,17.10M,,469.00M,182.60M,286.40M,65.40M,,-13.90M,,351.80M,275.96M,768.00M,159.60M,608.40M,0.79,0.0,,,0.7665,0.79,0.78,0.0,,,0.7567,0.78,443.78M,448.62M,0.15
2000-03,1.899B,1.899B,,,203.30M,,25.70M,,,,,1.31B,1.513B,386.00M,,,,25.70M,,239.20M,100.30M,138.90M,-39.20M,,-13.10M,,99.70M,123.48M,540.30M,154.30M,386.00M,0.31,-0.09,,,0.2752,0.22,0.31,-0.09,,,0.2756,0.22,442.88M,448.10M,0.15
1999-12,485.10M,485.10M,,,-299.70M,,48.80M,,,,,306.00M,6.30M,478.80M,,,,48.80M,,349.60M,99.40M,250.20M,,,-31.30M,0.00,122.30M,215.28M,675.70M,196.90M,478.80M,0.569,-0.4409,,,0.4916,0.276,-0.04,-0.4409,,,-0.1174,0.13,451.26M,451.26M,0.15
1999-09,2.207B,2.207B,,,323.90M,,13.00M,,,,,1.667B,1.991B,216.40M,,,,13.00M,,68.50M,40.40M,28.10M,,,-2.90M,0.30M,28.10M,20.30M,410.50M,194.10M,216.40M,0.06,0.0,,,0.0432,0.06,0.06,0.0,,,0.0432,0.06,463.33M,463.33M,0.15
1999-06,1.986B,1.986B,,,340.40M,,-28.60M,,,,,1.253B,1.771B,214.90M,,,,-28.60M,,65.80M,48.80M,17.00M,,,-3.40M,0.90M,17.00M,34.16M,393.00M,178.10M,214.90M,0.04,0.0,,,0.0826,0.04,0.04,0.0,,,0.0826,0.04,402.50M,402.50M,0.15
1999-03,1.984B,1.984B,,,321.60M,,10.50M,,,,,1.270B,1.764B,219.80M,,,,10.50M,,95.80M,39.90M,55.90M,,-5.60M,-0.60M,1.60M,50.30M,49.60M,392.70M,172.90M,219.80M,0.12,0.0,0.0,,0.1045,0.12,0.12,0.0,-0.0138,,0.1045,0.12,405.83M,405.83M,0.15
1998-12,2.038B,2.038B,,,,,,,,,,,,6.938B,,,,,,,,-19.10M,,,,,-33.40M,-19.10M,6.938B,,6.938B,-0.06,-0.02,,0.0003,-0.06,-0.09,-0.06,-0.02,,0.0003,-0.06,-0.09,461.62M,461.62M,0.15
1998-09,1.887B,1.887B,,,297.00M,,-38.00M,,,,,1.211B,1.674B,212.60M,,,,-38.00M,,55.80M,23.70M,32.10M,,,0.10M,1.90M,32.10M,54.90M,378.60M,,212.60M,0.07,0.0,,,0.1228,0.07,0.07,0.0,,,0.1228,0.07,431.43M,431.43M,0.15
1998-06,1.774B,1.774B,,,267.00M,,-23.20M,,,,,1.109B,1.526B,248.20M,,,,-23.20M,,103.00M,42.30M,60.70M,,,-3.30M,1.60M,60.70M,74.62M,398.70M,,248.20M,0.14,0.0,,,0.173,0.14,0.14,0.0,,,0.173,0.14,422.14M,422.14M,0.15
