,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2006-06,1.088B,548.34M,1.636B,250.82M,250.82M,,42.43M,127.84M,,2.057B,,,,,,,,490.27M,-161.32M,328.95M,3.627B,217.35M,3.845B,,,,120.96M,688.70M,4.983B,7.040B,136.61M,,136.61M,205.15M,341.76M,,,,260.15M,260.15M,61.68M,663.60M,399.94M,,399.94M,,,,,75.14M,475.09M,1.139B,0.006M,-1.661B,7.571B,,,,2006-06,,
2006-03,904.30M,510.61M,1.415B,304.75M,304.75M,,41.38M,92.54M,,1.854B,,,,,,,,482.70M,-161.32M,321.39M,4.904B,245.33M,5.150B,,,,,711.17M,6.182B,8.036B,160.28M,,160.28M,165.14M,325.42M,,,,240.34M,240.34M,65.62M,631.38M,399.94M,,399.94M,,,,,84.84M,484.79M,1.116B,,,,,,,2006-03,,
2005-12,918.40M,510.36M,1.429B,268.91M,268.91M,,46.68M,144.44M,,1.889B,0.00,192.40M,70.10M,193.40M,25.30M,,,481.20M,-161.32M,319.88M,4.880B,269.92M,5.150B,,,,111.24M,714.08M,6.295B,8.184B,165.17M,,165.17M,192.39M,357.56M,,,,213.48M,213.48M,56.36M,627.40M,399.96M,,399.96M,,,,,68.02M,467.98M,1.095B,0.006M,-344.41M,7.459B,,,,2005-12,,
2005-09,888.40M,497.72M,1.386B,240.89M,240.89M,,114.44M,,,1.741B,,,,,,,,446.90M,-150.67M,296.23M,,5.143B,5.143B,,,,,637.30M,6.076B,7.818B,149.04M,,149.04M,225.30M,374.34M,,,,209.20M,209.20M,,583.54M,489.34M,,489.34M,,,,,34.02M,523.36M,1.107B,0.00,386.13M,6.355B,,,,2005-09,,
2005-06,857.06M,445.46M,1.303B,205.37M,205.37M,,106.54M,,,1.614B,,,,,,,,442.37M,-150.67M,291.70M,,4.859B,4.859B,,,,,618.51M,5.769B,7.384B,116.14M,,116.14M,218.12M,334.27M,,,,219.80M,219.80M,,554.07M,476.39M,,476.39M,,,,,30.48M,506.86M,1.061B,0.00,302.07M,6.045B,,,,2005-06,,
2005-03,819.55M,435.30M,1.255B,184.79M,184.79M,,114.96M,,,1.555B,,,,,,,,437.11M,-150.67M,286.44M,,4.685B,4.685B,,,,,634.95M,5.607B,7.161B,106.72M,,106.72M,211.20M,317.92M,,,,197.86M,197.86M,,515.78M,479.11M,,479.11M,,,,,31.34M,510.45M,1.026B,0.00,213.06M,5.949B,,,,2005-03,,
2004-12,713.18M,404.66M,1.118B,187.31M,187.31M,,108.59M,,,1.414B,0.00,192.43M,48.47M,161.75M,23.63M,,,426.28M,-150.67M,275.61M,,4.684B,4.684B,,,,,626.46M,5.586B,7.000B,113.89M,,113.89M,229.20M,343.09M,,,,159.75M,159.75M,,502.84M,481.44M,,481.44M,,,,,22.70M,504.14M,1.007B,0.005M,137.63M,5.888B,,,,2004-12,,
2004-09,667.71M,290.80M,958.51M,162.04M,162.04M,,66.49M,,,1.187B,,,,,,,,390.69M,-120.96M,269.73M,,4.695B,4.695B,,,,,619.26M,5.584B,6.771B,105.39M,,105.39M,235.22M,340.61M,,,,172.66M,172.66M,,513.27M,448.58M,,448.58M,,,,,,448.58M,961.85M,5.782B,71.63M,,,,,2004-09,,
2004-06,675.90M,308.42M,984.33M,140.65M,140.65M,,62.64M,,,1.188B,,,,,,,,378.55M,-120.96M,257.58M,,4.718B,4.718B,,,,,516.55M,5.492B,6.680B,92.80M,,92.80M,226.62M,319.42M,,,,162.49M,162.49M,,481.91M,448.28M,,448.28M,,,,,,448.28M,930.19M,5.797B,22.87M,,,,,2004-06,,
2004-03,428.49M,233.20M,661.69M,87.44M,87.44M,,25.48M,,,774.61M,,,,,,,,364.51M,-120.96M,243.55M,,1.047B,1.047B,,,,,451.04M,1.742B,2.517B,65.23M,,65.23M,154.09M,219.32M,,,,100.32M,100.32M,,319.64M,558.40M,,558.40M,,,,,,558.40M,878.04M,1.598B,35.42M,,,,,2004-03,,
2003-12,365.61M,215.91M,581.51M,77.96M,77.96M,,31.33M,,,690.81M,0.00,192.78M,29.94M,121.55M,21.19M,,,365.46M,-120.96M,244.49M,,1.051B,1.051B,,,,,425.13M,1.720B,2.411B,61.24M,,61.24M,144.72M,205.95M,,,,59.43M,59.43M,,265.39M,542.08M,,542.08M,,,,,41.19M,583.27M,848.65M,0.004M,1.881M,1.557B,,,,2003-12,,
2003-09,457.51M,309.14M,766.65M,48.53M,48.53M,,24.41M,,,839.59M,,,,,,,,325.17M,-81.64M,243.53M,,1.062B,1.062B,,,,,582.33M,1.888B,2.728B,54.06M,,54.06M,153.32M,207.38M,,,,53.78M,53.78M,,261.16M,942.08M,,942.08M,,,,,,942.08M,1.203B,0.00,-12.85M,1.532B,,,,2003-09,,
2003-06,516.49M,315.87M,832.36M,73.77M,73.77M,,25.68M,,,931.81M,,,,,,,,334.31M,-81.64M,252.67M,,1.072B,1.072B,,,,,723.62M,2.048B,2.980B,58.11M,,58.11M,145.11M,203.22M,,,,55.32M,55.32M,,258.54M,1.240B,,1.240B,,,,,,1.240B,1.499B,0.00,-20.06M,1.496B,,,,2003-06,,
2003-03,250.34M,305.69M,556.03M,84.51M,84.51M,,26.33M,,,666.87M,,,,,,,,340.96M,-81.64M,259.32M,,1.076B,1.076B,,,,,625.80M,1.961B,2.628B,61.73M,,61.73M,126.65M,188.38M,,,,51.56M,51.56M,,239.94M,942.11M,,942.11M,,,,,,942.11M,1.182B,0.00,-33.64M,1.472B,,,,2003-03,,
2002-12,194.44M,384.04M,578.47M,78.50M,78.50M,,23.96M,,,680.93M,0.00,191.70M,34.84M,100.87M,21.19M,,,348.60M,-81.64M,266.96M,,1.083B,1.083B,,,,,583.66M,1.934B,2.615B,51.75M,,51.75M,130.93M,182.68M,,,,46.15M,46.15M,13.20M,242.02M,942.11M,,942.11M,,,,,,942.11M,1.184B,0.004M,-37.32M,1.462B,,,,2002-12,,
2002-09,248.77M,387.79M,636.56M,74.05M,74.05M,,27.64M,,,738.25M,,,,,,,,271.49M,,271.49M,,1.091B,1.091B,,,,,520.17M,1.882B,2.621B,58.07M,,58.07M,,58.07M,,,,44.98M,44.98M,161.83M,264.87M,942.11M,,942.11M,,,,,,942.11M,1.207B,1.468B,-45.77M,,,,,2002-09,,
2002-06,589.83M,374.48M,964.30M,62.26M,62.26M,,27.55M,,,1.054B,,,,,,,,258.44M,,258.44M,,,,,,,,1.025B,1.283B,2.337B,55.53M,,55.53M,127.14M,182.67M,,,,32.48M,32.48M,,215.15M,1.15B,,1.15B,,,,,,1.15B,1.365B,952.78M,42.56M,,,,,2002-06,,
2002-03,705.18M,346.88M,1.052B,65.92M,65.92M,,29.35M,,,1.147B,,,,,,,,253.92M,,253.92M,,,,,,,,919.74M,1.174B,2.321B,53.13M,,53.13M,120.68M,173.80M,,,,30.63M,30.63M,,204.43M,1.15B,,1.15B,,,,,,1.15B,1.354B,974.07M,36.33M,,,,,2002-03,,
2001-12,606.84M,382.80M,989.64M,103.52M,103.52M,,,,32.88M,1.126B,,,,,,,,,,251.81M,,222.03M,222.03M,,,,,789.70M,1.264B,2.390B,76.42M,,76.42M,,76.42M,,,,,,165.80M,242.22M,1.15B,,1.15B,,,,,,1.15B,1.392B,0.003M,82.33M,959.68M,,,,2001-12,,
2001-09,666.47M,411.45M,1.078B,111.90M,111.90M,,25.78M,,,1.216B,0.00,188.71M,27.74M,58.65M,13.53M,,,288.63M,-35.92M,252.72M,,,,,,,,798.46M,1.051B,2.267B,56.48M,,56.48M,158.80M,215.29M,,,,32.06M,32.06M,45.78M,293.13M,1.15B,,1.15B,,,,,,1.15B,1.443B,772.83M,87.46M,,,,,2001-09,,
2001-06,512.42M,494.95M,1.007B,137.12M,137.12M,,31.49M,,,1.176B,0.00,212.18M,,56.04M,13.10M,,,281.32M,-29.10M,252.22M,,,,,,,,823.55M,1.076B,2.252B,62.95M,,62.95M,166.97M,229.91M,,,,29.83M,29.83M,,259.74M,1.15B,,1.15B,,,,,,1.15B,1.410B,777.53M,117.18M,,,,,2001-06,,
2001-03,557.74M,504.87M,1.063B,193.17M,193.17M,,26.13M,,,1.282B,0.00,186.77M,,63.27M,24.91M,,,274.96M,-24.25M,250.70M,,,,,,,,696.36M,947.06M,2.229B,86.07M,,86.07M,,86.07M,,,,25.51M,25.51M,134.27M,245.85M,1.152B,,1.152B,,,,,,1.152B,1.398B,756.01M,154.32M,,,,,2001-03,,
2000-12,563.00M,581.74M,1.145B,176.54M,176.54M,,,,27.27M,1.349B,,,,,,,,,,36.44M,,136.05M,136.05M,,,,,582.10M,754.58M,2.103B,72.35M,,72.35M,,72.35M,,,,,,144.06M,216.41M,1.157B,,1.157B,,,,,,1.157B,1.373B,0.003M,95.75M,735.10M,,,,2000-12,,
2000-09,571.20M,567.73M,1.139B,116.32M,116.32M,,20.78M,,,1.276B,,,,,,,,48.25M,-15.21M,33.04M,,,,,,,,636.36M,669.40M,1.945B,48.43M,,48.43M,,48.43M,,,,34.77M,34.77M,108.10M,191.31M,1.161B,,1.161B,,,,,,1.161B,1.352B,0.00,33.59M,540.32M,,,,2000-09,,
2000-06,797.12M,384.76M,1.182B,60.73M,60.73M,,15.79M,,,1.258B,,,,,,,,41.45M,-13.06M,28.40M,,,,,,,,543.54M,571.94M,1.830B,37.91M,,37.91M,,37.91M,,,,30.87M,30.87M,67.04M,135.83M,1.166B,,1.166B,,,,,,1.166B,1.302B,0.00,-24.48M,530.16M,,,,2000-06,,
2000-03,1.069B,281.48M,1.350B,29.96M,29.96M,,11.84M,,,1.392B,,,,,,,,26.90M,-10.20M,16.69M,,,,,,,,286.38M,303.07M,1.695B,55.00M,,55.00M,,55.00M,,,,19.45M,19.45M,,74.45M,1.15B,,1.15B,,,,,,1.15B,1.224B,0.00,-44.10M,517.92M,,,,2000-03,,
1999-12,158.00M,187.90M,345.90M,24.00M,24.00M,,,,7.90M,377.80M,,,,,,,,20.60M,-8.20M,12.40M,,25.90M,25.90M,,,,,97.28M,135.58M,513.38M,15.40M,,15.40M,,15.40M,,,,,,40.30M,55.70M,,,,,,,,,-0.022M,55.68M,0.00,-52.20M,513.70M,,,,1999-12,,
1999-09,36.50M,48.10M,84.60M,13.60M,13.60M,,3.50M,,,101.70M,,,,,,,,16.00M,-6.60M,9.40M,,,,,,,,36.50M,45.90M,147.60M,8.40M,,8.40M,,8.40M,,,,15.40M,15.40M,10.60M,34.40M,,,,,,,,,,34.40M,0.00,-55.20M,172.00M,,,,1999-09,,
1999-06,92.40M,15.40M,107.80M,17.30M,17.30M,,0.90M,,,126.00M,,,,,,,,14.30M,-5.20M,9.10M,,,,,,,,8.00M,17.10M,143.10M,6.40M,,6.40M,,6.40M,,1.20M,1.20M,12.80M,12.80M,6.20M,26.60M,2.50M,,2.50M,,,,,,2.50M,29.10M,0.00,-53.70M,172.10M,,,,1999-06,,
1999-03,48.90M,,48.90M,,8.60M,,,,1.40M,58.90M,,,,,,,,,,8.10M,,,,,,,,0.10M,8.20M,67.10M,5.40M,,5.40M,,5.40M,,1.20M,1.20M,,,10.60M,17.20M,2.80M,,2.80M,,,,,,2.80M,20.00M,,-49.80M,,,,,1999-03,,
