,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2002-12,68.43M,,5.611M,10.48M,10.48M,4.611M,,,1.904M,5.024M,-22.63M,19.46M,15.00M,20.78M,37.64M,128.68M,-9.045M,0.022M,-9.023M,,,19.06M,-1.28M,8.759M,,,,5.262M,-99.53M,-94.27M,-5.007M,,,-99.28M,215.29M,38.17M,,253.46M,5.262M,,,-99.53M
2002-09,68.23M,,47.43M,9.468M,9.468M,-15.95M,,,-0.164M,-49.46M,14.19M,-7.742M,45.12M,-7.455M,-5.354M,103.66M,-7.347M,-0.059M,-7.406M,,,48.04M,-0.487M,40.14M,,,,6.716M,-15.19M,-8.473M,-5.011M,,,-13.48M,84.98M,130.32M,,215.29M,6.716M,,,-15.19M
2002-06,61.85M,,4.046M,10.18M,10.18M,-3.098M,,,0.164M,-37.77M,-12.82M,6.667M,-15.01M,7.455M,-51.48M,21.66M,-5.762M,0.059M,-5.703M,,,-49.90M,-0.125M,-55.73M,,,,4.162M,-40.85M,-36.69M,-5.055M,,,-41.75M,160.79M,-75.81M,,84.98M,4.162M,,,-40.85M
2002-03,67.29M,,22.88M,10.51M,10.51M,-16.33M,,,-6.19M,-4.179M,3.406M,-1.774M,-21.97M,-12.38M,-36.89M,41.27M,-6.641M,0.711M,-5.93M,,,-22.63M,-3.542M,-32.11M,,,-4.868M,8.249M,,8.249M,-5.174M,,,-1.793M,153.42M,7.367M,,160.79M,8.249M,,,
2001-12,78.18M,,27.90M,12.14M,12.14M,-2.633M,,,6.19M,17.20M,-12.89M,-14.08M,19.00M,-8.856M,0.386M,122.16M,-7.359M,2.493M,-4.866M,,,-172.33M,8.251M,-168.95M,,,-1.137M,5.638M,,5.638M,-5.019M,,,-0.518M,200.73M,-47.31M,,153.42M,5.638M,,,
2001-09,64.14M,,-6.418M,12.39M,12.39M,-6.788M,,,11.26M,12.62M,-10.67M,0.439M,28.74M,20.32M,51.44M,126.02M,-3.426M,0.49M,-2.936M,,,-99.75M,-3.55M,-106.24M,,,-2.02M,4.15M,,4.15M,-5.005M,,,-2.875M,183.82M,16.91M,,200.73M,4.15M,,,
2001-06,50.65M,,36.63M,11.07M,11.07M,-11.51M,,,-11.26M,-24.03M,-10.55M,3.016M,7.418M,5.587M,-18.55M,57.02M,-3.195M,1.154M,-2.041M,,,-98.28M,0.181M,-100.14M,,,-0.07M,2.815M,,2.815M,-4.997M,,,-2.252M,229.18M,-45.36M,,183.82M,2.815M,,,
2001-03,42.06M,,-12.26M,11.43M,11.43M,-2.374M,,,,-46.70M,15.37M,10.87M,16.30M,-0.74M,-4.90M,33.96M,-4.868M,,-4.868M,,,-23.85M,19.92M,-8.801M,,,-4.597M,1.221M,0.00,1.221M,-4.993M,,,-8.369M,212.40M,16.79M,,229.18M,1.221M,,,0.00
2000-12,37.64M,,-81.51M,11.04M,11.04M,-0.914M,,,4.99M,-44.68M,20.08M,14.11M,20.62M,-0.174M,9.964M,-18.79M,-4.352M,,-4.352M,,,-0.843M,21.39M,16.19M,,,-0.20M,0.846M,0.00,0.846M,-4.99M,,,-4.344M,219.34M,-6.942M,,212.40M,0.846M,,,0.00
2000-09,33.51M,,3.611M,9.945M,9.945M,15.82M,,,-0.691M,-11.90M,9.884M,-52.13M,0.00,-0.939M,-55.09M,7.112M,-6.603M,-0.052M,-6.655M,,,25.00M,17.28M,35.62M,,,-1.095M,1.381M,0.00,1.381M,-4.987M,,,-4.701M,181.30M,38.04M,,219.34M,1.381M,,,0.00
2000-06,-76.09M,,142.80M,9.983M,9.983M,-40.76M,,,-4.299M,24.46M,-62.54M,58.09M,-7.858M,0.939M,13.10M,44.74M,-8.828M,0.052M,-8.776M,,,37.45M,-1.101M,27.58M,,,-0.095M,2.223M,-91.46M,-89.23M,-5.174M,,,-94.50M,203.49M,-22.19M,,181.30M,2.223M,,,-91.46M
2000-03,44.75M,,-4.019M,8.606M,8.606M,-9.967M,,,6.226M,-36.19M,-5.834M,1.139M,8.189M,-17.58M,-50.28M,-4.684M,-7.388M,,-7.388M,,,3.167M,-11.88M,-16.10M,,,-9.496M,1.487M,,1.487M,-5.163M,,,-13.17M,237.50M,-33.96M,,203.49M,1.487M,,,
1999-12,40.50M,,17.70M,9.20M,9.20M,-7.40M,,,-10.40M,-9.00M,-0.50M,-0.30M,15.70M,,5.90M,55.50M,-8.90M,,-8.90M,,,-33.90M,-3.20M,-46.00M,,,-0.20M,0.50M,,0.50M,-5.20M,,0.10M,-4.80M,232.80M,4.70M,,237.50M,0.50M,,,
1999-09,37.00M,,14.00M,9.20M,9.20M,-1.30M,,,9.50M,-24.10M,-1.30M,-2.50M,-28.70M,12.00M,-44.60M,23.80M,-7.10M,,-7.10M,,,27.60M,-7.80M,12.70M,,,-1.00M,0.60M,,0.60M,-5.10M,,-0.10M,-5.60M,201.80M,30.90M,,232.80M,0.60M,,,
1999-06,32.00M,,10.60M,8.70M,8.70M,-4.60M,,,0.90M,-12.80M,-1.90M,7.50M,16.20M,-12.00M,-3.00M,44.60M,-5.40M,,-5.40M,,,-17.10M,-0.90M,-23.40M,,,-5.00M,1.00M,,1.00M,-5.20M,,,-9.20M,189.80M,12.00M,,201.80M,1.00M,,,
1999-03,35.80M,,3.40M,7.90M,7.90M,0.20M,,,-0.90M,-3.40M,10.30M,0.00,1.90M,,8.80M,55.20M,-5.40M,,-5.40M,,,-31.80M,-4.70M,-41.90M,,,-8.00M,1.50M,,1.50M,-5.10M,,,-11.60M,0.00,1.70M,,189.80M,1.50M,,,
1998-12,8.20M,,36.10M,7.80M,7.80M,-5.80M,,,0.10M,2.00M,6.20M,-1.70M,-1.60M,,4.90M,51.30M,-3.20M,,-3.20M,,,0.30M,1.20M,-1.70M,,,-0.60M,5.80M,,5.80M,-4.90M,,,0.30M,0.00,49.90M,,0.00,5.80M,,,
1998-09,37.20M,,5.80M,5.70M,5.70M,-1.60M,,,1.30M,-27.60M,-1.20M,-5.50M,-1.90M,,-36.20M,12.20M,-2.70M,,-2.70M,,,1.40M,-1.60M,-2.90M,,,-6.10M,0.80M,,0.80M,-4.90M,,,-10.20M,0.00,-0.90M,,0.00,0.80M,,,
1998-06,34.20M,,-1.40M,5.50M,5.50M,-3.10M,,,-1.10M,-1.40M,-4.00M,2.90M,13.10M,,10.60M,44.70M,-5.40M,,-5.40M,,,0.50M,-1.50M,-6.40M,,,,2.00M,,2.00M,-4.90M,,,-2.90M,103.80M,35.40M,,0.00,2.00M,,,
1998-03,31.80M,,4.20M,5.70M,5.70M,-1.00M,,,2.10M,-34.60M,-10.40M,0.90M,19.10M,,-25.00M,17.80M,-9.20M,,-9.20M,,,0.90M,-1.10M,-9.40M,,,-15.00M,0.10M,0.00,0.10M,-4.80M,,0.00,-19.70M,0.00,-11.30M,,0.00,0.10M,,,0.00
