,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2010-03,522.44M,28.99M,551.43M,1.197B,,1.197B,295.61M,197.53M,665.27M,,1.158B,151.75M,47.85M,247.69M,,3.355B,0.0,69.61M,632.04M,1.181B,,94.31M,1.977B,-865.49M,1.111B,3.289B,2.287B,5.576B,,37.63M,743.62M,7.468B,10.82B,549.02M,101.32M,,650.34M,,650.34M,,,,,,153.93M,,153.93M,,1.346M,1.346M,834.29M,1.640B,5.058B,,5.058B,465.18M,,465.18M,,11.73M,480.75M,6.004B,7.644B,200.29M,721.23M,3.859B,1.570B,1.07M,,,-43.20M,3.167B
2009-12,380.52M,27.56M,408.08M,1.235B,,1.235B,287.13M,198.28M,628.81M,,1.114B,231.58M,47.96M,248.92M,,3.285B,0.0,69.61M,625.30M,1.145B,,118.41M,1.959B,-836.14M,1.123B,3.331B,2.385B,5.716B,,36.61M,641.00M,7.516B,10.80B,518.25M,69.12M,,587.37M,,587.37M,,,,,,193.87M,,193.87M,,1.986M,1.986M,934.91M,1.718B,4.985B,,4.985B,467.50M,,467.50M,,14.05M,485.90M,5.938B,7.657B,199.41M,660.13M,3.835B,1.575B,1.07M,,,11.81M,3.131B
2009-09,584.41M,34.03M,618.44M,1.102B,,1.102B,287.99M,184.06M,646.99M,,1.119B,110.96M,63.35M,247.76M,,3.262B,0.0,64.30M,620.79M,1.110B,,95.89M,1.891B,-805.57M,1.085B,3.317B,2.466B,5.783B,,46.13M,586.81M,7.501B,10.76B,476.60M,59.88M,,536.49M,,536.49M,,,,,,174.80M,,174.80M,,3.28M,3.28M,868.77M,1.583B,5.129B,,5.129B,573.22M,,573.22M,,13.06M,405.30M,6.107B,7.691B,198.95M,655.98M,3.824B,1.575B,1.07M,,,-45.34M,3.059B
2009-06,429.48M,30.12M,459.59M,1.141B,,1.141B,269.81M,160.32M,646.96M,,1.077B,100.45M,56.05M,188.79M,,3.023B,0.0,63.19M,607.90M,1.075B,,99.01M,1.845B,-767.26M,1.078B,3.179B,2.429B,5.608B,,32.97M,500.99M,7.220B,10.24B,443.47M,91.60M,,535.07M,,535.07M,,,,,,158.64M,,158.64M,,2.515M,2.515M,725.19M,1.421B,4.978B,,4.978B,517.82M,,517.82M,,16.24M,412.87M,5.909B,7.330B,198.82M,696.01M,3.850B,1.578B,1.07M,,,-270.75M,2.896B
2009-03,453.06M,40.37M,493.43M,1.080B,,1.080B,242.86M,141.23M,634.51M,,1.019B,114.34M,40.02M,165.54M,,2.912B,0.0,59.60M,584.81M,1.018B,,92.05M,1.755B,-712.58M,1.042B,2.996B,2.314B,5.310B,,23.19M,609.54M,6.984B,9.897B,440.70M,48.10M,,488.80M,,488.80M,,,,,,145.66M,,145.66M,,1.735M,1.735M,703.79M,1.340B,4.965B,,4.965B,534.69M,,534.69M,,31.45M,408.17M,5.907B,7.247B,198.78M,637.89M,3.960B,1.580B,1.07M,,,-599.40M,2.618B
2008-12,557.15M,42.26M,599.41M,1.165B,,1.165B,273.23M,157.47M,635.28M,,1.066B,105.08M,40.31M,199.28M,,3.175B,0.0,56.94M,577.18M,1.013B,,110.72M,1.758B,-693.60M,1.064B,3.162B,2.453B,5.615B,,16.49M,539.96M,7.235B,10.41B,585.71M,92.16M,,677.87M,308.12M,985.99M,,,,,156.21M,156.21M,,156.21M,,1.935M,1.935M,219.20M,1.545B,5.165B,,5.165B,545.12M,18.02M,563.14M,,29.11M,404.03M,6.133B,7.677B,198.75M,594.35M,3.874B,1.583B,1.07M,,,-380.80M,2.704B
2008-09,655.67M,48.01M,703.68M,1.251B,,1.251B,277.40M,185.03M,657.52M,,1.120B,121.78M,44.83M,176.84M,,3.418B,0.0,61.01M,599.60M,1.002B,,80.46M,1.744B,-692.44M,1.051B,3.283B,2.678B,5.961B,,56.91M,537.75M,7.606B,11.02B,582.05M,,,582.05M,,582.05M,,,,,,287.37M,,287.37M,,,,952.68M,1.822B,5.211B,,5.211B,715.57M,,715.57M,,29.64M,267.25M,6.194B,8.016B,198.75M,634.34M,3.867B,1.583B,1.07M,-134.61M,-3.737M,-138.35M,2.979B
2008-06,478.51M,53.48M,531.98M,1.318B,,1.318B,280.12M,165.11M,705.38M,,1.151B,100.73M,40.00M,333.66M,,3.475B,0.0,63.90M,618.59M,1.033B,,96.83M,1.813B,-701.35M,1.111B,3.590B,2.936B,6.526B,,58.26M,332.12M,8.028B,11.50B,666.56M,,,666.56M,,666.56M,,,,,,583.97M,,583.97M,,11.59M,11.59M,844.52M,2.107B,4.953B,,4.953B,846.48M,,846.48M,,31.62M,435.88M,6.235B,8.342B,198.73M,462.34M,3.801B,1.586B,1.07M,,,253.42M,3.130B
2008-03,692.55M,54.79M,747.34M,1.123B,,1.123B,265.97M,173.90M,693.70M,,1.134B,108.42M,40.00M,333.71M,,3.486B,0.0,64.42M,596.76M,1.022B,,121.98M,1.805B,-681.49M,1.123B,3.613B,3.023B,6.635B,,16.87M,337.12M,8.113B,11.60B,668.00M,,,668.00M,,668.00M,,,,,,557.65M,,557.65M,,,,994.88M,2.221B,4.974B,,4.974B,768.60M,,768.60M,,32.46M,447.82M,6.190B,8.411B,198.71M,470.71M,3.792B,1.586B,1.07M,310.23M,-29.78M,280.46M,3.156B
2007-09,1.204B,65.95M,1.270B,488.11M,,488.11M,161.28M,90.39M,178.87M,,430.54M,286.70M,,141.61M,,2.617B,0.0,30.66M,344.73M,544.44M,,90.39M,1.010B,-284.79M,725.43M,614.77M,334.55M,949.32M,,43.23M,142.04M,1.860B,4.477B,179.89M,,,179.89M,118.73M,298.62M,,,,,,120.39M,,120.39M,17.81M,17.81M,,329.38M,766.19M,1.569B,,1.569B,78.29M,,78.29M,,34.42M,141.55M,1.789B,2.555B,169.90M,2.306B,986.48M,1.588B,,12.35M,-0.218M,12.13M,1.887B
2007-06,1.316B,174.88M,1.490B,401.07M,,401.07M,153.39M,93.05M,185.90M,,432.35M,136.29M,,161.87M,,2.622B,0.0,30.42M,337.66M,520.96M,,88.65M,977.69M,-270.63M,707.06M,610.25M,343.81M,954.06M,,46.00M,146.38M,1.853B,4.476B,146.81M,,,146.81M,105.07M,251.88M,,,,,,238.07M,,238.07M,20.48M,20.48M,,318.53M,828.97M,1.656B,,1.656B,85.38M,,85.38M,,36.67M,143.46M,1.885B,2.714B,169.86M,2.157B,976.44M,1.588B,,11.20M,-0.914M,10.29M,1.725B
2007-03,1.252B,174.21M,1.427B,350.29M,,350.29M,148.11M,95.66M,185.35M,,429.11M,60.72M,,145.34M,,2.412B,0.0,29.85M,297.50M,471.99M,,141.30M,940.65M,-253.91M,686.74M,612.74M,352.78M,965.52M,,45.78M,143.78M,1.842B,4.254B,160.29M,,,160.29M,,160.29M,,,,,,233.04M,,233.04M,10.46M,10.46M,,296.74M,700.54M,1.655B,,1.655B,85.90M,,85.90M,,43.21M,120.43M,1.861B,2.562B,169.68M,2.103B,962.75M,1.588B,,,,1.544M,1.649B
2006-12,286.88M,179.12M,466.00M,312.28M,,312.28M,136.87M,53.67M,124.40M,-0.001M,314.94M,45.42M,,136.53M,,1.275B,0.0,13.95M,224.63M,314.98M,,140.10M,693.66M,-232.01M,461.65M,102.58M,92.83M,195.41M,,,274.42M,931.48M,2.207B,45.44M,,,45.44M,109.71M,155.16M,,,,,,3.291M,,3.291M,10.52M,10.52M,,116.82M,285.78M,687.00M,,687.00M,17.32M,,17.32M,,,114.64M,818.96M,1.105B,156.06M,2.189B,483.18M,1.729B,,,,2.238M,1.102B
2006-09,159.79M,451.88M,611.67M,252.52M,,252.52M,129.76M,46.23M,127.28M,,303.27M,20.03M,,145.61M,,1.333B,0.0,13.33M,216.61M,307.38M,,127.46M,664.78M,-225.34M,439.43M,102.58M,96.15M,198.73M,,,64.41M,702.58M,2.036B,61.08M,,,61.08M,57.50M,118.57M,,,,,,,,,8.107M,8.107M,,133.28M,259.95M,687.00M,,687.00M,18.75M,,18.75M,,,113.14M,818.88M,1.079B,155.47M,2.067B,461.32M,1.729B,,,,2.264M,956.82M
2006-06,153.92M,414.00M,567.92M,269.47M,,269.47M,114.64M,37.82M,137.30M,,289.76M,13.53M,,152.10M,,1.293B,0.0,10.64M,178.10M,297.50M,,158.65M,644.88M,-218.69M,426.18M,102.58M,99.49M,202.06M,,,63.23M,691.48M,1.984B,61.16M,,,61.16M,97.61M,158.77M,,,,,,2.05M,,2.05M,13.34M,13.34M,,118.73M,292.89M,687.00M,,687.00M,19.58M,,19.58M,,,114.24M,820.82M,1.114B,154.83M,2.002B,436.47M,1.725B,,,,2.287M,870.55M
2006-03,150.12M,368.00M,518.13M,242.19M,,242.19M,98.26M,36.07M,144.68M,,279.01M,14.90M,,137.67M,,1.192B,0.0,10.64M,175.34M,287.20M,,144.43M,617.61M,-210.74M,406.88M,102.58M,105.60M,208.17M,,,63.58M,678.63M,1.871B,76.86M,,,76.86M,,76.86M,,,,,,4.336M,,4.336M,17.22M,17.22M,,166.83M,265.25M,685.19M,,685.19M,20.58M,,20.58M,,,111.85M,817.62M,1.083B,154.58M,1.939B,418.95M,1.727B,,,,2.45M,787.65M
2005-12,170.33M,386.81M,557.14M,212.24M,,212.24M,94.96M,34.90M,123.86M,,253.72M,,,129.86M,16.44M,1.169B,0.0,10.64M,170.65M,278.15M,,136.10M,595.54M,-204.57M,390.97M,,211.83M,211.83M,,,62.91M,665.71M,1.835B,55.74M,,,55.74M,78.05M,133.79M,,,,,,4.336M,,4.336M,17.42M,17.42M,,107.05M,262.60M,770.88M,,770.88M,21.51M,,21.51M,,,20.64M,813.03M,1.076B,153.68M,1.894B,397.70M,1.689B,,,,2.606M,759.48M
2005-09,182.09M,449.42M,631.51M,239.05M,,239.05M,102.61M,37.79M,115.01M,,255.41M,,,127.93M,12.76M,1.267B,0.0,10.64M,168.91M,275.25M,,113.51M,568.31M,-197.24M,371.07M,,216.89M,216.89M,,,59.44M,647.40M,1.914B,75.45M,,,75.45M,,75.45M,,,,,,4.336M,,4.336M,,,,189.47M,269.26M,791.95M,,791.95M,22.20M,,22.20M,,,,814.15M,1.083B,152.94M,1.858B,372.05M,1.556B,,,,3.373M,830.66M
2005-06,342.83M,543.93M,886.76M,269.12M,,269.12M,106.93M,37.45M,116.75M,,261.12M,149.69M,,,,1.567B,0.0,10.57M,169.62M,275.45M,,90.39M,546.03M,-192.48M,353.55M,,219.97M,219.97M,,,46.81M,620.34M,2.187B,50.98M,,,50.98M,,50.98M,,,,,,47.35M,,47.35M,,,,165.77M,264.10M,19.25M,,19.25M,23.55M,,23.55M,,,,42.80M,306.90M,152.45M,1.836B,359.92M,470.12M,,,,2.351M,1.880B
2005-03,137.73M,670.35M,808.08M,297.33M,,297.33M,119.65M,39.59M,127.02M,,286.27M,17.44M,,119.33M,,1.528B,0.0,9.704M,161.05M,269.21M,,85.32M,525.29M,-188.57M,336.72M,102.58M,120.49M,223.07M,,,47.43M,607.22M,2.136B,78.11M,,,78.11M,73.02M,151.14M,,,,,,1.586M,,1.586M,,,,92.78M,245.51M,19.32M,,19.32M,24.90M,,24.90M,,,,44.23M,289.74M,152.22M,1.809B,354.17M,470.12M,,,,0.87M,1.846B
2004-12,183.31M,651.95M,835.26M,196.39M,,196.39M,124.32M,37.63M,130.44M,,292.38M,,,84.08M,31.57M,1.440B,0.0,9.761M,148.12M,259.57M,,82.18M,499.63M,-182.73M,316.90M,,225.85M,225.85M,,,46.15M,588.90M,2.029B,60.86M,,,60.86M,,60.86M,,,,,,,,,,,,108.74M,169.60M,18.75M,,18.75M,25.22M,,25.22M,,,,43.97M,213.57M,152.18M,1.779B,352.53M,470.12M,,,,1.688M,1.815B
2004-09,128.11M,671.36M,799.47M,210.70M,,210.70M,128.14M,40.41M,128.05M,,296.60M,,,84.93M,28.36M,1.420B,0.0,9.704M,140.67M,252.27M,,72.64M,475.29M,-176.64M,298.65M,,229.69M,229.69M,,,45.24M,573.58M,1.994B,42.78M,,,42.78M,,42.78M,,,,,,,,,,,,125.27M,168.04M,18.76M,,18.76M,22.77M,,22.77M,,,,41.53M,209.57M,152.12M,1.752B,347.80M,470.12M,,,,2.207M,1.784B
2004-06,175.30M,637.69M,812.99M,213.93M,,213.93M,147.28M,28.68M,139.62M,,315.58M,,,84.89M,24.47M,1.452B,0.0,9.704M,135.70M,244.87M,,66.66M,456.93M,-170.56M,286.37M,,234.13M,234.13M,,,46.29M,566.79M,2.019B,57.84M,,,57.84M,,57.84M,,,,,,,,,,,,182.43M,240.28M,19.02M,,19.02M,22.04M,,22.04M,,,,41.05M,281.33M,151.91M,1.711B,342.02M,470.12M,,,,2.039M,1.737B
2004-03,111.48M,585.44M,696.93M,191.09M,,191.09M,149.05M,34.51M,137.24M,,320.80M,40.32M,,78.48M,,1.328B,0.0,9.704M,132.98M,240.59M,,54.18M,437.46M,-164.41M,273.05M,,237.18M,237.18M,,,47.22M,557.45M,1.885B,50.41M,,,50.41M,48.82M,99.23M,,,,,,1.586M,,1.586M,,,,82.72M,183.54M,19.13M,,19.13M,22.60M,,22.60M,,,,41.73M,225.27M,151.78M,1.637B,338.14M,470.12M,,,,2.496M,1.660B
2003-12,130.63M,569.79M,700.42M,208.65M,,208.65M,126.78M,40.04M,144.78M,,311.60M,,,84.87M,30.19M,1.336B,0.0,9.704M,131.20M,239.08M,,40.26M,420.24M,-170.00M,250.24M,,242.33M,242.33M,,,52.66M,545.24M,1.881B,63.65M,,,63.65M,,63.65M,,,,,,,,,,,,184.18M,247.83M,19.71M,,19.71M,23.05M,,23.05M,,,,42.75M,290.59M,151.66M,1.571B,334.98M,470.12M,,,,3.212M,1.590B
2003-09,194.14M,444.21M,638.35M,232.48M,,232.48M,115.44M,46.61M,128.70M,,290.74M,,,90.73M,23.04M,1.275B,0.0,9.089M,116.42M,209.68M,,43.89M,379.08M,-164.69M,214.40M,,245.32M,245.32M,,,65.32M,525.03M,1.800B,54.49M,,,54.49M,,54.49M,,,,,,,,,,,,173.14M,227.64M,20.08M,,20.08M,19.33M,,19.33M,,,,39.41M,267.05M,151.41M,1.494B,317.42M,435.68M,,,,6.056M,1.533B
2003-06,208.16M,435.84M,644.00M,165.92M,,165.92M,112.86M,37.65M,107.66M,,258.17M,,,89.06M,22.25M,1.179B,,,,,,,337.07M,-154.56M,182.51M,,248.22M,248.22M,,,82.61M,513.34M,1.693B,54.54M,,,54.54M,,54.54M,,,,,,,,,,,,134.40M,188.94M,20.10M,,20.10M,,,,,,17.84M,37.94M,226.88M,100.68M,1.409B,365.97M,413.99M,,,,4.369M,1.466B
2003-03,258.90M,427.90M,686.81M,187.59M,,187.59M,107.73M,33.99M,96.06M,,237.78M,,,104.17M,11.87M,1.228B,0.0,9.089M,108.16M,195.30M,,20.35M,332.89M,-154.56M,178.33M,,252.84M,252.84M,,,85.84M,517.01M,1.745B,66.02M,,,66.02M,,66.02M,,,,,,1.586M,,1.586M,,,,198.17M,265.77M,19.94M,,19.94M,13.18M,,13.18M,,,,33.12M,298.89M,100.30M,1.331B,354.50M,343.12M,,,,3.718M,1.446B
2002-12,253.46M,454.50M,707.96M,183.82M,,183.82M,100.82M,31.95M,81.80M,,214.57M,,,,118.92M,1.225B,,,,,,,309.07M,-135.68M,173.38M,,258.25M,258.25M,,,97.52M,529.15M,1.754B,54.92M,,,54.92M,,54.92M,,,,,,,,,,,,207.82M,262.74M,20.86M,,20.86M,18.33M,,18.33M,,,,39.19M,301.92M,99.83M,1.263B,340.58M,257.81M,,,,6.952M,1.453B
2002-09,215.29M,467.54M,682.83M,180.58M,,180.58M,88.64M,26.70M,80.92M,,196.25M,,,109.66M,9.875M,1.179B,,,,,,,305.09M,-135.68M,169.40M,,262.96M,262.96M,,,97.43M,529.80M,1.709B,35.46M,,,35.46M,,35.46M,,,,,,,,,,,,162.85M,198.30M,21.17M,,21.17M,20.40M,,20.40M,,,,41.56M,239.87M,66.41M,1.201B,360.64M,165.22M,,,,6.486M,1.469B
2002-06,84.98M,509.52M,594.49M,175.31M,,175.31M,74.71M,34.32M,98.60M,,207.63M,,,98.30M,10.28M,1.086B,,,,,,,302.45M,-135.68M,166.77M,,267.68M,267.68M,,,115.04M,549.49M,1.636B,43.20M,,,43.20M,,43.20M,,,,,,,,,,,,126.78M,169.98M,19.74M,,19.74M,21.20M,,21.20M,,,,40.93M,210.91M,66.25M,1.138B,353.86M,143.17M,,,,10.08M,1.425B
2002-03,160.79M,456.27M,617.06M,150.05M,,150.05M,74.78M,31.06M,89.24M,,195.07M,,,92.64M,11.82M,1.067B,0.0,9.039M,108.36M,174.08M,,10.73M,302.21M,-135.68M,166.53M,,272.51M,272.51M,,,115.59M,554.63M,1.621B,36.53M,,,36.53M,,36.53M,,,,,,,,,,,,141.15M,177.68M,23.88M,,23.88M,17.47M,,17.47M,,,,41.35M,219.03M,66.10M,1.081B,349.72M,102.24M,,,,7.92M,1.402B
2001-12,153.42M,432.04M,585.46M,165.44M,,165.44M,76.55M,25.73M,94.49M,,196.78M,,,81.18M,142.52M,1.171B,,,,,,,287.14M,-123.68M,163.46M,,280.62M,280.62M,,,121.22M,565.29M,1.737B,38.31M,,,38.31M,,38.31M,,,,,,2.028M,,2.028M,,,,322.55M,362.89M,25.24M,,25.24M,21.66M,,21.66M,,,,46.90M,409.79M,65.72M,1.019B,338.08M,102.24M,,,,6.66M,1.327B
2001-09,200.73M,257.07M,457.80M,209.34M,,209.34M,68.01M,26.48M,87.88M,,182.37M,,,76.07M,141.31M,1.067B,,,,,,,287.78M,-123.68M,164.10M,,287.62M,287.62M,,,129.19M,580.92M,1.648B,52.38M,,,52.38M,,52.38M,,,,,,3.26M,,3.26M,,,,300.60M,356.24M,26.69M,,26.69M,18.36M,,18.36M,,,,45.05M,401.29M,65.63M,945.50M,331.56M,101.31M,,,,5.13M,1.247B
2001-06,183.82M,158.99M,342.81M,221.48M,,221.48M,65.24M,23.94M,81.80M,,170.98M,,,71.50M,139.95M,946.72M,,,,,,,289.91M,-123.68M,166.24M,,291.54M,291.54M,,,130.49M,588.26M,1.535B,51.94M,,,51.94M,,51.94M,,,,,,5.241M,,5.241M,,,,250.18M,307.36M,22.15M,,22.15M,21.18M,,21.18M,,,,43.33M,350.69M,65.43M,886.38M,325.76M,99.52M,,,,6.232M,1.184B
2001-03,229.18M,55.72M,284.90M,235.94M,,235.94M,57.82M,23.75M,80.23M,,161.81M,,,59.47M,140.44M,882.56M,0.0,9.154M,106.65M,168.96M,,9.671M,294.44M,-124.25M,170.19M,,294.38M,294.38M,,,122.17M,586.75M,1.469B,48.93M,,,48.93M,,48.93M,,5.245M,,,,5.245M,,5.245M,,,,240.35M,294.53M,23.34M,,23.34M,18.90M,,18.90M,,,,42.25M,336.78M,65.34M,840.74M,322.99M,99.52M,,,,2.983M,1.133B
2000-12,212.40M,33.95M,246.35M,,,204.36M,,,,,178.07M,,,,154.74M,783.52M,,,,,,,292.38M,-118.74M,173.64M,,310.37M,310.37M,,,129.75M,613.75M,1.397B,38.05M,,,38.05M,,38.05M,,,,,,11.77M,,11.77M,,,,216.85M,266.68M,25.34M,,25.34M,9.702M,,9.702M,,,,35.04M,301.72M,65.29M,803.68M,322.02M,99.77M,,,,4.337M,1.096B
2000-09,219.34M,35.58M,254.92M,,,173.10M,,,,,198.39M,,,,59.06M,685.47M,,,,,,,289.01M,-114.06M,174.96M,,319.69M,319.69M,,,154.10M,648.74M,1.334B,23.94M,,,23.94M,,23.94M,,,,,,11.75M,,11.75M,,,,193.23M,228.91M,26.71M,,26.71M,16.08M,,16.08M,,,,42.79M,271.70M,65.26M,771.02M,320.05M,99.77M,,,,5.945M,1.063B
2000-06,181.30M,58.47M,239.78M,,,179.52M,,,,,208.33M,,,,80.04M,707.66M,,,,,,,282.36M,-109.84M,172.52M,,326.42M,326.42M,,,158.21M,657.15M,1.365B,76.07M,,,76.07M,,76.07M,,,,,,7.925M,,7.925M,,,,199.47M,283.46M,32.83M,,32.83M,17.40M,,17.40M,,,,50.23M,333.69M,65.22M,742.49M,318.68M,99.84M,,,,4.575M,1.031B
2000-03,203.49M,99.56M,303.05M,,,197.76M,,,,,145.87M,,,,40.07M,686.75M,,,,,,,273.58M,-105.58M,168.00M,,332.14M,332.14M,,,154.34M,654.48M,1.341B,17.98M,,,17.98M,,17.98M,,,,,,9.874M,,9.874M,,,,59.92M,87.77M,30.63M,,30.63M,19.11M,,19.11M,,,,49.74M,137.51M,65.14M,823.57M,316.39M,8.316M,,,,6.936M,1.204B
1999-12,237.50M,95.60M,333.10M,,,162.70M,,,,,140.20M,,,,47.90M,683.90M,,,,,,,266.20M,-102.30M,163.90M,,325.20M,325.20M,,,136.00M,625.10M,1.309B,16.90M,,,16.90M,,16.90M,,,,,,16.30M,,16.30M,,,,69.10M,102.30M,23.70M,,23.70M,25.20M,,25.20M,,,-0.10M,48.80M,151.10M,65.10M,784.00M,314.70M,8.20M,,,,2.30M,1.158B
1999-09,232.80M,61.30M,294.10M,,,162.40M,,,,,139.80M,,,,43.50M,639.80M,,,,,,,257.40M,-98.10M,159.30M,,330.20M,330.20M,,,130.50M,620.00M,1.260B,17.10M,,,17.10M,,17.10M,,,,,,15.40M,,15.40M,,,,54.90M,87.40M,24.10M,,24.10M,27.30M,,27.30M,,,-0.10M,51.30M,138.70M,65.00M,748.70M,313.50M,8.20M,,,,2.00M,1.121B
1999-06,201.80M,87.60M,289.40M,,,151.20M,,,,,138.30M,,,,37.40M,616.30M,,,,,,,250.30M,-93.90M,156.40M,,335.20M,335.20M,,,133.20M,624.80M,1.241B,19.60M,,,19.60M,,19.60M,,,,,,14.90M,,14.90M,,,,71.00M,105.50M,24.80M,,24.80M,22.80M,,22.80M,,,-0.10M,47.50M,153.00M,65.00M,716.80M,312.90M,8.20M,,,,1.60M,1.088B
1999-03,189.80M,,189.80M,,,148.90M,,,,,136.50M,,,,107.80M,583.00M,,,,,,,244.80M,-90.20M,154.60M,,336.00M,336.00M,,,133.06M,623.66M,1.207B,12.10M,,,12.10M,,12.10M,,,,,,16.90M,,16.90M,,,,67.40M,96.40M,26.80M,,26.80M,23.60M,,23.60M,,,-0.039M,50.36M,146.76M,,690.00M,,,,,,,1.060B
1998-12,188.10M,,188.10M,,,150.80M,,,,,147.00M,,,,45.40M,531.30M,,,,,,,239.30M,-86.80M,152.50M,,328.20M,328.20M,,,146.30M,627.00M,1.158B,12.10M,,,12.10M,,12.10M,,,,,,19.20M,,19.20M,,,,58.80M,90.10M,25.50M,,25.50M,18.70M,,18.70M,,,,44.20M,134.30M,,659.30M,,,,,,,1.024B
1998-09,138.20M,,138.20M,,,157.60M,,,,,151.00M,,,,40.10M,486.90M,,,,,,,234.40M,-82.10M,152.30M,,138.90M,138.90M,,,146.30M,437.50M,924.40M,13.30M,,,13.30M,,13.30M,,,,,,,,,,,,72.40M,85.70M,25.70M,,25.70M,5.70M,,5.70M,,,,31.40M,117.10M,,656.30M,,,,,,,807.30M
1998-06,139.10M,,139.10M,,,137.20M,,,,,150.00M,,,,41.70M,468.00M,,,,,,,231.70M,-78.50M,153.20M,,126.90M,126.90M,,,142.80M,422.90M,890.90M,18.80M,,,18.80M,,18.80M,,,,,,9.10M,,9.10M,,,,58.40M,86.30M,26.40M,,26.40M,3.50M,,3.50M,,,,29.90M,116.20M,,624.10M,,,,,,,774.70M
1998-03,103.80M,,103.80M,,,136.90M,,,,,146.00M,,,,43.40M,430.10M,,,,,,,226.30M,-74.90M,151.40M,,128.70M,128.70M,,,137.60M,417.70M,847.80M,16.00M,,,16.00M,,16.00M,,,,,,8.50M,,8.50M,,,,46.80M,71.30M,26.20M,,26.20M,5.70M,,5.70M,,,0.10M,32.00M,103.30M,,594.80M,,,,,,,744.50M
