,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-03,794.00M,,,188.00M,188.00M,163.00M,,710.00M,,,,,,117.00M,,1.972B,-149.00M,,-149.00M,-143.00M,-3.591B,1.328B,-2.555B,3.358B,-3.446B,-88.00M,,,-575.00M,,,,,-129.00M,216.00M,-322.00M,5.726B,-905.00M,-4.00M,4.817B,,5.452B,-2.094B,
2003-12,763.00M,,,-96.00M,-96.00M,,,659.00M,,,,,,-388.00M,,1.058B,-307.00M,,-307.00M,-219.00M,-1.811B,-5.632B,-7.969B,2.177B,2.997B,5.174B,,,-134.00M,,,,,-129.00M,234.00M,6.655B,6.028B,-256.00M,-46.00M,5.726B,,6.737B,-4.56B,
2003-09,770.00M,,,587.00M,587.00M,,,523.00M,,,,,,-190.00M,,1.69B,-397.00M,,-397.00M,-479.00M,-77.00M,-1.391B,-2.344B,-146.00M,-402.00M,-548.00M,,,-45.00M,,,,,-129.00M,505.00M,-5.00M,6.689B,-659.00M,-2.00M,6.028B,,3.379B,-3.525B,
2003-06,762.00M,,,61.00M,61.00M,,,613.00M,,,,,,-364.00M,,1.072B,-151.00M,,-151.00M,-23.00M,-1.907B,-2.424B,-4.505B,-435.00M,-206.00M,-641.00M,,,-457.00M,,,,,-105.00M,1.517B,1.559B,8.405B,-1.874B,158.00M,6.689B,,4.267B,-4.702B,
2003-03,692.00M,,,124.00M,124.00M,,,667.00M,,,,,,-2.765B,,-1.282B,-166.00M,,-166.00M,-28.00M,241.00M,1.98B,2.027B,626.00M,-3.101B,-2.475B,,,-407.00M,,,,,-108.00M,1.208B,-2.368B,10.29B,-1.623B,-260.00M,8.405B,,4.837B,-4.211B,
2002-12,683.00M,,,495.00M,495.00M,,,733.00M,,,,,,2.123B,,4.034B,-88.00M,,-88.00M,-3.00M,-4.262B,-5.542B,-9.895B,1.244B,2.30B,3.544B,,,-574.00M,,,,,-109.00M,1.131B,7.899B,7.993B,2.038B,257.00M,10.29B,,4.129B,-2.885B,
2002-09,687.00M,,,44.00M,44.00M,,,704.00M,,,,,,-1.649B,,-214.00M,-210.00M,,-210.00M,-30.00M,-840.00M,-684.00M,-1.764B,-1.471B,840.00M,-631.00M,,,-453.00M,,,,,-106.00M,2.046B,1.505B,8.903B,-473.00M,-437.00M,7.993B,,2.301B,-3.772B,
2002-06,683.00M,,,323.00M,323.00M,,,733.00M,,,,,,1.678B,,3.417B,-176.00M,,-176.00M,-15.00M,-867.00M,-114.00M,-1.172B,3.42B,-4.674B,-1.254B,,,-20.00M,,,,,-106.00M,922.00M,-920.00M,7.503B,1.325B,75.00M,8.903B,,6.392B,-2.972B,
2002-03,618.00M,,,89.00M,89.00M,,,804.00M,,,,,,-74.00M,,1.437B,-196.00M,,-196.00M,-10.00M,573.00M,2.896B,3.263B,2.032B,-5.667B,-3.635B,,,55.00M,,,,,-109.00M,69.00M,-4.468B,7.222B,232.00M,49.00M,7.503B,,6.57B,-4.538B,
2001-12,297.00M,,,-10.00M,-10.00M,,,1.056B,,,,,,-1.171B,,172.00M,-291.00M,,-291.00M,-4.00M,-1.745B,-3.349B,-5.389B,1.511B,-804.00M,707.00M,,,13.00M,,,,,-104.00M,33.00M,2.42B,9.86B,-2.797B,159.00M,7.222B,,6.707B,-5.196B,
2001-09,298.00M,,,1.227B,1.227B,,,241.00M,,,,,,-1.293B,,473.00M,-208.00M,,-208.00M,-5.00M,817.00M,1.49B,2.094B,-403.00M,673.00M,270.00M,,,11.00M,,,,,-107.00M,407.00M,-909.00M,8.481B,1.658B,-279.00M,9.86B,,2.986B,-3.389B,
2001-06,178.00M,,,-222.00M,-222.00M,,,1.784B,,,,,,1.194B,,2.934B,-185.00M,,-185.00M,-2.00M,-2.17B,-160.00M,-2.517B,-458.00M,-325.00M,-783.00M,,,-522.00M,,,,,-107.00M,193.00M,38.00M,8.064B,455.00M,-38.00M,8.481B,,2.939B,-3.397B,
2001-03,538.00M,,,201.00M,201.00M,,,802.00M,,,,,,204.00M,,1.745B,-175.00M,,-175.00M,-154.00M,417.00M,2.951B,3.039B,-885.00M,-3.764B,-4.649B,,,-44.00M,,,,,-106.00M,112.00M,-5.237B,8.487B,-453.00M,30.00M,8.064B,,2.451B,-3.336B,
2000-12,677.00M,,,70.00M,70.00M,,,717.00M,,,,,,-1.383B,,81.00M,-219.00M,,-219.00M,,-1.215B,-3.542B,-4.976B,3.567B,1.61B,5.177B,,,-383.00M,,,,,-108.00M,-49.00M,4.474B,8.959B,-421.00M,-51.00M,8.487B,,5.304B,-1.737B,
2000-09,737.00M,,,16.00M,16.00M,,,696.00M,,,,,,-1.256B,,193.00M,-333.00M,,-333.00M,,667.00M,-2.752B,-2.418B,417.00M,4.307B,4.724B,,,-196.00M,,,,,-107.00M,162.00M,4.30B,6.841B,2.075B,43.00M,8.959B,,1.903B,-1.486B,
2000-06,740.00M,,,240.00M,240.00M,,,673.00M,,,,,,1.716B,,3.369B,-192.00M,,-192.00M,12.00M,-561.00M,-839.00M,-1.58B,-2.314B,-1.277B,-3.591B,,,-221.00M,,,,,-105.00M,-32.00M,-2.423B,7.425B,-634.00M,50.00M,6.841B,,3.427B,-5.741B,
2000-03,656.00M,,,67.00M,67.00M,,,611.00M,,,,,,1.376B,,2.71B,-175.00M,,-175.00M,-12.00M,400.00M,-242.00M,-29.00M,-4.473B,2.477B,-1.996B,,,-351.00M,,,,,-101.00M,-134.00M,-2.708B,7.471B,-27.00M,-19.00M,7.425B,,1.925B,-6.398B,
1999-12,606.00M,,,-144.00M,-144.00M,,,684.00M,,,,,,80.00M,,1.226B,-257.00M,,-257.00M,,-883.00M,-5.212B,-6.352B,3.024B,2.651B,5.675B,,,-172.00M,,,,,-101.00M,-229.00M,7.433B,5.102B,2.307B,62.00M,7.471B,,5.347B,-2.323B,
1999-09,648.00M,,,13.00M,13.00M,,,571.00M,,,,,,469.00M,,1.701B,-203.00M,,-203.00M,,-317.00M,-2.412B,-2.932B,-364.00M,-132.00M,-496.00M,,,-218.00M,,,,,-101.00M,175.00M,294.00M,6.096B,-937.00M,-57.00M,5.102B,,3.269B,-3.633B,
1999-06,646.00M,,,78.00M,78.00M,,,561.00M,,,,,,1.608B,,2.893B,-144.00M,,-144.00M,,-2.085B,-711.00M,-2.94B,3.361B,-1.486B,1.875B,,,-240.00M,,,,,-101.00M,183.00M,667.00M,5.438B,620.00M,38.00M,6.096B,,6.463B,-3.102B,
1999-03,575.00M,,,66.00M,66.00M,,,576.00M,,,,,,348.00M,,1.565B,-215.00M,,-215.00M,,308.00M,385.00M,478.00M,553.00M,-728.00M,-175.00M,,,-257.00M,,,,,-101.00M,86.00M,-680.00M,4.092B,1.363B,-17.00M,5.438B,,3.544B,-2.991B,
1998-12,530.00M,,,-48.00M,-48.00M,,,-118.00M,,,,,,-761.00M,,-397.00M,-272.00M,,-272.00M,,-785.00M,-2.139B,-3.196B,-349.00M,1.587B,1.238B,,,-239.00M,,,-500.00M,,-102.00M,415.00M,1.064B,6.594B,-2.529B,27.00M,4.092B,,985.00M,-1.334B,
1998-09,574.00M,,,-173.00M,-173.00M,,,438.00M,,,,,,48.00M,,887.00M,-144.00M,,-144.00M,,491.00M,-1.157B,-810.00M,322.00M,2.194B,2.516B,,,-472.00M,,,500.00M,,-103.00M,-31.00M,3.065B,3.501B,3.142B,-49.00M,6.594B,,2.62B,-2.298B,
1998-06,577.00M,,,72.00M,72.00M,,,1.359B,,,,,,461.00M,,2.469B,-335.00M,,-335.00M,,-685.00M,-739.00M,-1.759B,-104.00M,-324.00M,-428.00M,,,-573.00M,,,,,-104.00M,-226.00M,-1.606B,4.342B,-896.00M,55.00M,3.501B,,1.98B,-2.084B,
