,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2005-11,34.98M,34.98M,55.62M,1.527M,158.93M,216.07M,606.37M,11.38M,,,,868.80M,,,,,,,,554.15M,-88.16M,465.99M,,5.869M,26.48M,498.34M,1.367B,173.34M,,173.34M,96.84M,270.18M,,,44.75M,,44.75M,19.57M,19.57M,,334.50M,85.04M,,85.04M,,,,29.32M,114.36M,448.86M,52.42M,367.31M,498.55M,,918.28M
2005-08,53.80M,53.80M,62.04M,2.36M,157.78M,222.18M,585.25M,8.418M,,,,869.65M,,,,,,,,523.00M,-88.16M,434.84M,,,26.79M,461.62M,1.331B,148.34M,,148.34M,96.26M,244.60M,,,106.15M,,106.15M,23.55M,23.55M,,374.31M,35.28M,,35.28M,4.112M,,4.112M,28.78M,68.17M,442.47M,52.32M,340.90M,495.57M,,888.80M
2005-05,33.52M,33.52M,79.97M,35.56M,144.36M,259.89M,583.29M,4.975M,,,,881.67M,,,,,,,,527.26M,-88.16M,439.09M,,,21.73M,460.82M,1.342B,177.95M,,177.95M,90.44M,268.40M,,,141.78M,,141.78M,24.60M,24.60M,,434.78M,28.32M,,28.32M,4.315M,,4.315M,30.32M,62.96M,497.73M,52.24M,299.48M,493.04M,,844.77M
2005-02,29.10M,29.10M,76.17M,22.15M,147.96M,246.28M,576.57M,13.01M,,,,864.96M,0.0,46.40M,94.39M,125.73M,29.26M,198.68M,,494.46M,-88.16M,406.30M,,,21.76M,428.06M,1.293B,170.65M,,170.65M,66.84M,237.49M,,,65.53M,,65.53M,26.32M,26.32M,,329.33M,128.42M,,128.42M,5.027M,,5.027M,29.26M,162.71M,492.04M,52.15M,259.66M,489.16M,,800.98M
2004-11,25.76M,25.76M,63.69M,3.54M,131.62M,198.86M,503.68M,9.248M,,,,737.55M,,,,,,,,437.44M,-69.23M,368.20M,,0.667M,18.64M,387.51M,1.125B,133.02M,,133.02M,57.87M,190.88M,,,6.331M,,6.331M,31.03M,31.03M,,228.24M,111.94M,,111.94M,,,,15.64M,127.58M,355.82M,52.06M,229.97M,487.20M,,769.24M
2004-08,56.61M,56.61M,69.80M,3.164M,139.52M,212.48M,492.01M,5.473M,,,,766.58M,,,,,,,,379.50M,-69.23M,310.27M,,1.635M,19.22M,331.12M,1.098B,131.50M,,131.50M,62.37M,193.86M,,,4.644M,,4.644M,33.56M,33.56M,,232.06M,100.00M,,100.00M,,,,15.18M,115.18M,347.24M,52.03M,211.92M,486.50M,,750.45M
2004-05,61.68M,61.68M,92.62M,25.14M,126.43M,244.19M,523.67M,6.959M,,,,836.49M,,,,,,,,336.74M,-69.23M,267.51M,,,19.26M,286.76M,1.123B,156.41M,,156.41M,72.12M,228.52M,,,28.18M,,28.18M,31.96M,31.96M,,288.66M,100.00M,,100.00M,0.376M,,0.376M,14.71M,115.09M,403.75M,51.99M,182.06M,485.46M,,719.50M
2004-02,61.64M,61.64M,72.36M,18.78M,145.99M,237.13M,466.06M,8.65M,,,,773.48M,0.0,32.46M,68.52M,103.79M,,116.64M,,321.40M,-69.94M,251.46M,,0.185M,22.76M,274.41M,1.048B,145.52M,,145.52M,59.72M,205.24M,,,4.446M,,4.446M,32.71M,32.71M,,242.40M,100.00M,,100.00M,,,,24.74M,124.74M,367.13M,51.89M,146.73M,482.13M,,680.75M
2003-11,54.96M,54.96M,60.85M,19.00M,135.00M,214.85M,449.74M,10.33M,,,,729.89M,,,,,,,,300.66M,-61.11M,239.55M,,3.505M,20.36M,263.42M,993.31M,127.90M,,127.90M,59.34M,187.24M,,,6.267M,,6.267M,28.68M,28.68M,,222.18M,100.00M,,100.00M,,,,13.32M,113.32M,335.50M,51.86M,124.20M,481.74M,,657.80M
2003-08,45.33M,45.33M,71.01M,20.40M,148.04M,239.45M,409.48M,11.17M,,,,705.42M,,,,,,,,297.72M,-61.11M,236.61M,,3.208M,20.40M,260.21M,965.64M,115.37M,,115.37M,68.07M,183.43M,,,3.353M,,3.353M,28.91M,28.91M,,215.70M,100.00M,,100.00M,,,,12.92M,112.92M,328.62M,51.81M,105.15M,480.05M,,637.02M
2003-05,32.03M,32.03M,73.94M,20.43M,145.02M,239.39M,430.39M,8.464M,,,,710.27M,,,,,,,,279.18M,-61.11M,218.07M,,3.098M,20.22M,241.38M,951.65M,139.82M,,139.82M,63.26M,203.08M,,,14.53M,,14.53M,29.95M,29.95M,,247.56M,100.00M,,100.00M,,,,11.98M,111.98M,359.55M,51.65M,65.54M,474.92M,,592.10M
2003-02,34.62M,34.62M,56.45M,3.579M,135.02M,195.04M,466.45M,12.64M,,,,708.74M,0.0,30.79M,18.38M,86.13M,21.03M,91.94M,,248.27M,-61.11M,187.16M,,,21.71M,208.87M,917.62M,117.59M,,117.59M,44.68M,162.27M,,,56.05M,,56.05M,29.78M,29.78M,,248.10M,100.00M,,100.00M,4.041M,,4.041M,10.90M,114.94M,363.05M,51.54M,30.28M,472.74M,,554.57M
2002-11,31.65M,31.65M,59.56M,15.86M,140.53M,215.95M,401.60M,5.734M,,,,654.93M,,,,,,,,192.93M,-50.09M,142.84M,,,23.61M,166.45M,821.39M,108.00M,,108.00M,30.92M,138.92M,,,5.311M,,5.311M,22.93M,22.93M,,167.16M,100.00M,,100.00M,3.244M,,3.244M,10.80M,114.04M,281.20M,51.55M,11.15M,477.48M,,540.18M
2002-08,74.69M,74.69M,80.77M,,131.12M,211.90M,360.85M,3.563M,,,,650.99M,,,,,,,,203.03M,-50.09M,152.95M,,,21.98M,174.93M,825.92M,97.39M,,97.39M,33.21M,130.59M,,,6.032M,,6.032M,23.02M,23.02M,,159.64M,100.00M,,100.00M,1.841M,,1.841M,10.29M,112.13M,271.77M,,,,554.15M,554.15M
2002-05,61.44M,61.44M,54.91M,,127.86M,182.77M,417.46M,1.646M,,,,663.32M,,,,,,,,195.66M,-50.09M,145.57M,,,21.33M,166.90M,830.22M,91.48M,,91.48M,22.69M,114.17M,,,65.08M,,65.08M,21.91M,21.91M,,201.17M,100.00M,,100.00M,2.444M,,2.444M,9.186M,111.63M,312.80M,,,,517.42M,517.42M
2002-02,3.286M,3.286M,50.44M,2.144M,120.68M,173.27M,399.08M,2.065M,,,,577.70M,0.0,20.22M,,69.44M,17.28M,64.12M,,171.06M,-50.09M,120.98M,,,21.54M,142.52M,720.22M,87.16M,,87.16M,25.78M,112.94M,,,88.45M,,88.45M,22.01M,22.01M,,223.39M,,,,2.935M,,2.935M,8.416M,11.35M,234.74M,,,,485.48M,485.48M
2001-11,10.01M,10.01M,168.20M,,,168.20M,351.01M,2.059M,,,,531.28M,,,,,,,,149.40M,-41.87M,107.54M,,,23.07M,130.60M,661.88M,93.22M,,93.22M,24.36M,117.58M,,,44.12M,,44.12M,19.84M,19.84M,,181.54M,0.826M,,0.826M,3.713M,,3.713M,7.806M,12.34M,193.88M,,,,468.00M,468.00M
2001-08,24.56M,24.56M,160.62M,,,160.62M,386.90M,1.958M,,,,574.04M,,,,,,,,138.50M,-41.87M,96.63M,,,23.78M,120.41M,694.45M,99.18M,,99.18M,24.45M,123.63M,,,89.14M,,89.14M,21.35M,21.35M,,234.12M,0.826M,,0.826M,3.527M,,3.527M,6.971M,11.32M,245.44M,,,,449.01M,449.01M
2001-05,10.52M,10.52M,164.68M,,,164.68M,402.98M,0.531M,,,,578.70M,,,,,,,,233.38M,-41.87M,191.52M,,,25.19M,216.70M,795.40M,108.46M,,108.46M,19.56M,128.02M,120.99M,2.616M,123.60M,,123.60M,19.49M,19.49M,,271.11M,92.93M,,92.93M,3.573M,,3.573M,6.854M,103.36M,374.47M,,,,420.93M,420.93M
2001-02,8.802M,8.802M,134.66M,,,134.66M,347.14M,2.306M,,,,492.91M,0.0,154.83M,,64.87M,,14.32M,,234.02M,-41.87M,192.16M,,,25.89M,218.05M,710.95M,82.48M,,82.48M,16.15M,98.64M,108.15M,0.987M,109.14M,,109.14M,18.16M,18.16M,,225.94M,83.06M,,83.06M,3.62M,,3.62M,6.836M,93.51M,319.45M,,,,391.50M,391.50M
2000-11,7.509M,7.509M,,,,107.88M,322.15M,,,,2.813M,440.36M,,,,,,,,227.56M,-34.79M,192.77M,,,35.87M,228.64M,668.99M,79.99M,,79.99M,,79.99M,,,114.47M,,114.47M,,,33.34M,227.80M,42.74M,,42.74M,7.519M,,7.519M,6.934M,57.19M,284.99M,,,,384.00M,384.00M
2000-08,6.89M,6.89M,,,,110.73M,287.60M,,,,3.019M,408.24M,,,,,,,,233.59M,-34.79M,198.79M,,,36.75M,235.55M,643.79M,76.99M,,76.99M,,76.99M,,,82.40M,,82.40M,,,31.05M,190.44M,63.76M,,63.76M,6.121M,,6.121M,7.097M,76.98M,267.42M,,,,376.37M,376.37M
2000-05,11.37M,11.37M,,,,141.93M,313.48M,,,,3.125M,469.90M,,,,,,,,243.50M,-31.42M,212.08M,,,37.10M,249.18M,719.09M,93.02M,,93.02M,,93.02M,,,2.624M,,2.624M,,,24.93M,120.57M,225.13M,,225.13M,6.121M,,6.121M,7.183M,238.44M,359.01M,,,,360.08M,360.08M
2000-02,9.981M,9.981M,129.25M,,,129.25M,283.59M,,,,2.844M,425.67M,,,,,,,,239.57M,-27.71M,211.86M,,,37.97M,249.82M,675.50M,75.96M,,75.96M,,75.96M,,,93.16M,,93.16M,,,27.00M,196.12M,121.26M,,121.26M,5.877M,,5.877M,7.249M,134.38M,330.51M,,,,344.99M,344.99M
1999-11,7.00M,7.00M,,,,128.10M,280.20M,,,,3.00M,418.30M,,,,,,,,251.70M,-24.50M,227.20M,,,38.80M,266.00M,684.30M,61.80M,,61.80M,,61.80M,,,158.20M,,158.20M,,,24.90M,244.90M,80.60M,,80.60M,5.60M,,5.60M,6.50M,92.70M,337.60M,,,,346.70M,346.70M
1999-08,35.70M,35.70M,,,,143.60M,286.00M,,,,1.00M,466.30M,,,,,,,,246.50M,-21.00M,225.50M,,,40.60M,266.10M,732.40M,100.40M,,100.40M,,100.40M,,,109.20M,,109.20M,,,22.80M,232.40M,139.70M,,139.70M,5.20M,,5.20M,6.10M,151.00M,383.40M,,,,349.00M,349.00M
1999-05,14.20M,14.20M,,,,127.70M,261.80M,,,,0.90M,404.60M,,,,,,,,232.40M,-17.80M,214.60M,,,39.70M,254.30M,658.90M,76.40M,,76.40M,,76.40M,,,90.30M,,90.30M,,,26.40M,193.10M,111.40M,,111.40M,4.70M,,4.70M,5.50M,121.60M,314.70M,,,,,344.20M
1999-02,17.70M,17.70M,,,,97.40M,225.50M,,,,0.50M,341.10M,,,,,,,,219.70M,-15.80M,203.90M,,,26.20M,230.10M,571.20M,59.80M,,59.80M,,59.80M,,,5.90M,,5.90M,,,16.20M,81.90M,139.70M,,139.70M,4.10M,,4.10M,5.098M,148.90M,230.80M,,,,340.40M,340.40M
1998-11,5.60M,5.60M,,,,99.00M,174.30M,,,,3.40M,282.30M,,,,,,,,267.20M,-13.70M,253.50M,,,14.70M,268.20M,550.50M,52.20M,,52.20M,,52.20M,,,66.90M,,66.90M,,,13.20M,132.30M,61.10M,,61.10M,1.80M,,1.80M,6.50M,69.40M,201.70M,,,,,348.80M
1998-08,18.80M,18.80M,,,,89.40M,180.80M,,,,4.40M,293.40M,,,,,,,,251.80M,-11.40M,240.40M,,,3.00M,243.40M,536.80M,53.40M,,53.40M,,53.40M,,,5.80M,,5.80M,,,7.00M,66.20M,107.40M,,107.40M,1.70M,,1.70M,6.10M,115.20M,181.40M,,,,,355.40M
