,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-05,35.26M,,4.063M,0.032M,4.095M,4.095M,-6.974M,,,-44.34M,36.06M,4.172M,41.86M,1.423M,1.08M,,40.25M,72.63M,-34.90M,,-34.90M,,,,-34.90M,,,-41.52M,,,,,1.202M,-40.32M,34.62M,-2.586M,32.03M,,,,,,
2003-02,19.13M,-0.088M,2.923M,0.032M,2.955M,2.955M,7.653M,,,20.90M,-64.85M,-6.902M,18.56M,1.765M,0.104M,,-30.43M,-0.774M,-50.71M,3.695M,-47.02M,,,,-47.02M,,,50.74M,0.014M,,0.014M,0.00,,50.75M,31.65M,2.961M,34.62M,0.014M,,,,,
2002-11,14.72M,0.05M,3.526M,0.022M,3.548M,3.548M,1.313M,,,-4.054M,-40.75M,-2.171M,8.207M,-1.765M,0.514M,,-40.02M,-20.39M,-31.26M,37.92M,6.664M,,,,6.664M,,,-0.721M,-0.188M,,-0.188M,-28.40M,,-29.31M,74.69M,-43.04M,31.65M,-0.188M,,,,,
2002-08,31.71M,0.058M,4.286M,0.005M,4.291M,4.291M,0.50M,,,-29.13M,56.62M,-1.917M,21.60M,-0.844M,1.10M,,47.43M,83.99M,-11.53M,0.00,-11.53M,,,,-11.53M,,,-59.05M,0.744M,,0.744M,,-0.907M,-59.22M,61.44M,13.24M,74.69M,0.744M,,,,,
2002-05,29.24M,0.01M,4.138M,0.018M,4.156M,4.156M,-0.586M,,,-9.499M,-18.38M,0.419M,3.012M,-0.001M,0.77M,,-23.68M,9.142M,-28.53M,0.006M,-28.53M,,,,-28.53M,,,76.64M,,,,,0.907M,77.54M,3.286M,58.16M,61.44M,,,,,,
2002-02,18.40M,,,,3.201M,3.201M,1.392M,,,-5.07M,-48.07M,-0.779M,-2.646M,1.639M,0.61M,,-54.32M,-31.33M,-18.51M,2.621M,-15.88M,,,,-15.88M,,,43.50M,-1.055M,,-1.055M,,-1.958M,40.49M,10.01M,-6.728M,3.286M,-1.055M,,,,,
2001-11,18.44M,,,,3.934M,3.934M,-1.326M,,,-7.574M,35.89M,0.672M,-6.058M,-0.716M,0.835M,,23.05M,44.10M,-14.18M,0.00,-14.18M,,,,-14.18M,,,-45.02M,1.055M,,1.055M,,-0.50M,-44.46M,24.56M,-14.54M,10.01M,1.055M,,,,,
2001-08,27.39M,,,,4.612M,4.612M,1.815M,,,4.052M,16.07M,-1.427M,-4.394M,0.721M,0.117M,,15.14M,48.96M,-5.383M,96.34M,90.96M,,,,90.96M,,,-126.56M,,,,,0.687M,-125.88M,10.52M,14.04M,24.56M,,,,,,
2001-05,26.57M,,,,4.693M,4.693M,1.281M,,,-30.01M,-55.84M,1.775M,32.43M,-0.005M,0.018M,,-51.64M,-19.09M,-3.347M,,-3.347M,,,,-3.347M,,,24.34M,,,,,-0.187M,24.15M,8.802M,1.713M,10.52M,,,,,,
2001-02,7.781M,8.787M,,,4.22M,4.22M,2.023M,,,-26.78M,-24.98M,,-2.50M,0.709M,-0.413M,,-53.43M,-30.62M,-2.682M,-0.002M,-2.684M,0.00,,,-2.684M,,,34.99M,-0.129M,,-0.129M,,-0.263M,34.60M,7.509M,1.293M,8.802M,-0.129M,,,,,
2000-11,7.568M,0.132M,,,4.904M,4.904M,2.906M,,,2.853M,-34.55M,,4.888M,-0.11M,0.152M,,-26.77M,-11.26M,-1.599M,3.472M,1.873M,0.00,,,1.873M,,,11.04M,0.129M,,0.129M,,-1.168M,10.00M,6.89M,0.619M,7.509M,0.129M,,,,,
2000-08,16.27M,0.173M,,,4.57M,4.57M,3.052M,,,31.20M,26.67M,,-14.05M,0.106M,-0.086M,,43.85M,67.91M,-2.62M,12.04M,9.416M,-1.325M,,,8.091M,,,-81.59M,,,,,1.11M,-80.48M,11.37M,-4.48M,6.89M,,,,,,
2000-05,13.94M,,,,4.576M,4.576M,0.777M,,,-12.68M,-29.88M,,15.54M,-0.281M,-0.066M,,-27.37M,-8.075M,-3.933M,,-3.933M,,,,-3.933M,,,13.34M,,,,,0.058M,13.40M,9.981M,1.389M,11.37M,,,,,,
2000-02,-1.682M,4.035M,,,4.041M,4.041M,-0.175M,,,-1.189M,-3.409M,,13.22M,0.231M,0.734M,,9.588M,15.81M,29.40M,16.94M,46.34M,,,0.10M,11.60M,,,-24.36M,3.456M,,3.456M,,-3.50M,-24.40M,7.00M,3.002M,9.981M,3.456M,,,,,
1999-11,-3.20M,-0.10M,,,4.40M,4.40M,-0.30M,,,15.50M,5.80M,,-35.90M,-1.20M,0.50M,,-15.30M,-14.50M,-11.70M,6.80M,-4.90M,,,-0.10M,-5.00M,,,-10.10M,-2.60M,,-2.60M,,3.50M,-9.20M,35.70M,-28.70M,7.00M,-2.60M,,,,,
1999-08,3.30M,,,,4.20M,4.20M,0.50M,,-0.10M,-15.90M,-22.40M,,20.50M,-0.10M,0.50M,,-17.40M,-9.50M,-17.80M,0.00,-17.80M,,,,-17.80M,,,47.20M,1.50M,,1.50M,,0.10M,48.80M,14.20M,21.50M,35.70M,1.50M,,,,,
1999-05,2.70M,,,,2.60M,2.60M,1.20M,,0.10M,-30.30M,-19.90M,,26.10M,0.10M,0.50M,,-23.50M,-16.90M,-45.30M,1.60M,-43.70M,,,,-43.70M,,,56.10M,1.10M,,1.10M,,-0.10M,57.10M,17.70M,-3.50M,14.20M,1.10M,,,,,
1999-02,-10.00M,,,,3.30M,3.30M,6.30M,,0.10M,1.70M,-25.50M,,6.60M,1.80M,-1.50M,,-16.90M,-17.20M,-47.90M,60.80M,12.90M,,,0.10M,13.00M,,,14.60M,1.70M,,1.70M,,,16.30M,5.60M,12.10M,17.70M,1.70M,,,,,
1998-11,-7.30M,,,,2.40M,2.40M,5.00M,,-0.20M,-9.70M,8.40M,,1.50M,-1.10M,0.40M,,-0.50M,-0.60M,-38.10M,15.20M,-22.90M,,,-0.10M,-23.00M,,,8.10M,2.30M,,2.30M,,,10.40M,0.00,-13.20M,5.60M,2.30M,,,,,
1998-08,-3.00M,-0.40M,,,2.20M,2.20M,0.10M,,0.10M,-18.80M,15.40M,,-13.30M,-1.20M,0.80M,,-17.10M,-18.10M,-39.60M,0.00,-39.60M,,,0.10M,-39.50M,,,62.00M,-1.10M,,-1.10M,,,60.90M,0.00,3.30M,0.00,-1.10M,,,,,
