,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,34.40M,34.40M,223.03M,,223.03M,,8.558M,,,,26.41M,292.40M,,,,,8.566B,99.64M,8.666B,-5.558B,3.108B,4.011B,,4.011B,772.86M,7.892B,8.185B,,2007-12,178.02M,178.02M,247.68M,425.70M,,,,279.90M,,279.90M,,,30.94M,736.54M,2.734B,,2.734B,810.57M,810.57M,,7.818M,486.07M,4.031B,2007-12,115.46M,3.245B,91.15M,,3.409B,,2007-12,,
2007-09,58.71M,58.71M,233.96M,,233.96M,,7.687M,,,,27.52M,327.88M,,,,,,,8.599B,-5.454B,3.145B,3.997B,,3.997B,762.92M,7.905B,8.233B,,2007-09,97.91M,97.91M,240.02M,337.93M,,,,254.90M,,254.90M,57.57M,57.57M,29.52M,679.92M,2.748B,,2.748B,,,,,1.441B,4.188B,2007-09,118.53M,3.137B,197.00M,,3.364B,,2007-09,,
2007-06,43.52M,43.52M,214.81M,,214.81M,,6.977M,,,,29.09M,294.41M,,,,,,,8.560B,-5.356B,3.205B,4.000B,,4.000B,775.05M,7.979B,8.274B,,2007-06,135.18M,135.18M,223.63M,358.82M,,,,511.31M,,511.31M,57.41M,57.41M,32.74M,960.27M,2.735B,,2.735B,,,,,1.441B,4.176B,2007-06,115.64M,3.032B,81.67M,,3.137B,,2007-06,,
2007-03,763.75M,763.75M,211.53M,,211.53M,,6.994M,,,,30.59M,1.013B,,,,,,,7.920B,-4.885B,3.035B,3.431B,,3.431B,611.56M,7.077B,8.090B,,2007-03,126.76M,126.76M,196.62M,323.38M,,,,360.75M,,360.75M,,,85.97M,770.10M,2.917B,,2.917B,,,,,1.276B,4.193B,2007-03,117.76M,3.062B,50.77M,,3.127B,,2007-03,,
2006-12,25.67M,25.67M,227.35M,,227.35M,,6.628M,,,,30.48M,290.12M,,,,7.730B,104.40M,59.20M,7.894B,-4.784B,3.109B,3.431B,,3.431B,610.48M,7.151B,7.441B,,2006-12,180.96M,180.96M,235.24M,416.20M,,,,178.01M,,178.01M,,,23.35M,617.56M,2.413B,,2.413B,673.06M,673.06M,,9.226M,537.35M,3.623B,2006-12,120.70M,3.151B,24.26M,,3.191B,,2006-12,,
2006-09,32.69M,32.69M,215.11M,,215.11M,,6.963M,,,,13.78M,268.55M,,,,,,,7.867B,-4.737B,3.130B,3.431B,,3.431B,575.90M,7.137B,7.406B,,2006-09,108.23M,108.23M,242.72M,350.95M,,,,194.12M,,194.12M,51.22M,51.22M,17.92M,614.21M,2.418B,,2.418B,,,,,1.069B,3.486B,2006-09,122.86M,3.120B,71.44M,,3.305B,,2006-09,,
2006-06,1.769M,1.769M,214.99M,,214.99M,,6.389M,,,,17.10M,240.25M,,,,,,,7.845B,-4.673B,3.172B,3.431B,,3.431B,590.59M,7.194B,7.434B,,2006-06,153.18M,153.18M,269.92M,423.09M,,,,381.46M,,381.46M,,,15.55M,820.10M,2.239B,,2.239B,,,,,1.073B,3.312B,2006-06,123.96M,3.079B,107.93M,,3.302B,,2006-06,,
2006-03,15.32M,15.32M,213.10M,,213.10M,,6.827M,,,,17.84M,253.08M,,,,,,,7.838B,-4.604B,3.234B,3.433B,,3.433B,604.37M,7.271B,7.524B,,2006-03,99.81M,99.81M,256.08M,355.89M,,,,571.46M,,571.46M,,,51.03M,978.38M,2.354B,,2.354B,,,,,1.049B,3.403B,2006-03,123.83M,2.934B,95.45M,,3.143B,,2006-03,,
2005-12,158.85M,158.85M,236.71M,,236.71M,,6.998M,,,,20.46M,423.02M,,,,,7.720B,81.53M,7.801B,-4.497B,3.304B,3.433B,,3.433B,602.56M,7.340B,7.763B,,2005-12,153.36M,153.36M,301.28M,454.64M,,,,276.74M,,276.74M,,,14.85M,746.23M,2.376B,,2.376B,670.42M,670.42M,,8.372M,344.34M,3.391B,2005-12,138.92M,3.358B,129.81M,,3.617B,,2005-12,,
2005-09,268.50M,268.50M,239.05M,,239.05M,,5.903M,,,,14.90M,528.35M,,,,,,,7.699B,-4.400B,3.299B,,3.433B,3.433B,582.45M,7.314B,7.843B,,2005-09,108.39M,108.39M,309.77M,418.16M,,,,334.58M,,334.58M,,,54.83M,807.57M,2.500B,,2.500B,,,,,979.26M,3.480B,2005-09,138.83M,3.288B,140.30M,,3.555B,,2005-09,,
2005-06,100.46M,100.46M,228.10M,,228.10M,,6.121M,,,,16.68M,351.36M,,,,,,,7.634B,-4.314B,3.320B,,3.444B,3.444B,594.63M,7.359B,7.710B,,2005-06,141.38M,141.38M,261.97M,403.35M,,,,144.14M,,144.14M,,,53.81M,601.30M,2.709B,,2.709B,,,,,956.23M,3.666B,2005-06,137.88M,3.204B,113.21M,,3.443B,,2005-06,,
2005-03,129.33M,129.33M,225.69M,,225.69M,,6.12M,,,,17.46M,378.61M,,,,,,,7.496B,-4.209B,3.288B,,3.434B,3.434B,602.20M,7.324B,7.703B,,2005-03,141.52M,141.52M,272.44M,413.97M,,,,144.81M,,144.81M,,,52.30M,611.08M,2.694B,,2.694B,,,,,968.06M,3.662B,2005-03,139.25M,3.127B,175.89M,,3.429B,,2005-03,,
2004-12,167.22M,167.22M,232.58M,,232.58M,,5.361M,,,,14.69M,419.85M,0.00,,2.385B,4.099B,880.24M,66.48M,7.431B,-4.090B,3.341B,,3.434B,3.434B,601.84M,7.377B,7.797B,,2004-12,141.62M,141.62M,249.52M,391.14M,,,,249.62M,,249.62M,,,50.86M,691.62M,2.762B,,2.762B,,,,,933.55M,3.696B,2004-12,140.35M,3.056B,222.20M,,3.410B,,2004-12,,
2004-09,168.98M,168.98M,242.76M,,242.76M,,5.965M,,,,13.13M,430.84M,,,,,,,7.334B,-3.998B,3.336B,,3.430B,3.430B,593.66M,7.359B,7.790B,,2004-09,144.98M,144.98M,222.78M,367.75M,,,,121.16M,,121.16M,,,51.18M,540.09M,2.901B,,2.901B,,,,,941.54M,3.843B,2004-09,142.42M,2.979B,287.80M,,3.408B,,2004-09,,
2004-06,96.39M,96.39M,219.69M,,219.69M,,6.739M,,,,14.06M,336.88M,,,,,,,7.255B,-3.907B,3.348B,,3.427B,3.427B,572.72M,7.347B,7.684B,,2004-06,137.89M,137.89M,229.53M,367.42M,,,,121.46M,,121.46M,,,45.03M,533.90M,2.884B,,2.884B,,,,,913.51M,3.797B,2004-06,142.97M,2.900B,310.25M,,3.353B,,2004-06,,
2004-03,273.29M,273.29M,213.68M,,213.68M,,9.488M,,,,16.64M,513.10M,,,,,,,7.227B,-3.838B,3.389B,,3.427B,3.427B,567.88M,7.383B,7.897B,,2004-03,127.83M,127.83M,265.26M,393.10M,,,,172.26M,,172.26M,,,45.08M,610.44M,3.017B,,3.017B,,,,,854.43M,3.871B,2004-03,139.49M,2.825B,445.00M,,3.415B,,2004-03,,
2003-12,203.18M,203.18M,236.19M,,236.19M,,9.229M,,,,14.34M,462.94M,,,,,7.163B,21.29M,7.184B,-3.729B,3.455B,,3.425B,3.425B,552.43M,7.433B,7.896B,,2003-12,113.27M,113.27M,241.04M,354.32M,,,,72.45M,,72.45M,,,44.61M,471.38M,3.109B,,3.109B,,,,,836.65M,3.946B,2003-12,152.34M,2.750B,576.52M,,3.479B,,2003-12,,
2003-09,157.94M,157.94M,246.34M,,246.34M,,9.301M,,,,9.412M,423.00M,,,,,,,7.103B,-3.648B,3.455B,,3.429B,3.429B,504.13M,7.389B,7.812B,,2003-09,119.23M,119.23M,255.93M,375.16M,,,,115.17M,,115.17M,,,44.68M,535.02M,3.119B,,3.119B,,,,,795.85M,3.915B,2003-09,152.15M,2.676B,566.13M,,3.362B,,2003-09,,
2003-06,24.32M,24.32M,238.09M,,238.09M,,9.417M,,,,10.91M,282.74M,,,,,,,7.018B,-3.545B,3.474B,,3.429B,3.429B,507.93M,7.410B,7.693B,,2003-06,103.64M,103.64M,252.79M,356.43M,,,,118.94M,,118.94M,,,44.16M,519.53M,3.138B,,3.138B,,,,,765.22M,3.903B,2003-06,151.79M,2.593B,558.23M,,3.271B,,2003-06,,
2003-03,18.74M,18.74M,235.95M,,235.95M,,9.491M,,,,12.22M,276.40M,,,,,,,6.915B,-3.450B,3.465B,,3.430B,3.430B,529.01M,7.423B,7.700B,,2003-03,89.05M,89.05M,254.64M,343.70M,,,,119.89M,,119.89M,,,44.80M,508.39M,3.292B,,3.292B,,,,,741.29M,4.033B,2003-03,151.08M,2.513B,542.19M,,3.159B,,2003-03,,
2002-12,3.661M,3.661M,161.32M,111.67M,272.99M,,10.15M,,,,9.099M,295.90M,,,,,6.837B,32.51M,6.869B,-3.338B,3.532B,3.427B,503.78M,3.931B,11.80M,7.475B,7.770B,,2002-12,64.82M,64.82M,210.66M,275.48M,,70.74M,,70.74M,,70.74M,,,41.88M,388.10M,3.578B,,3.578B,,,,,716.17M,4.294B,2002-12,150.93M,2.437B,537.80M,,3.088B,,2002-12,,
2002-09,294.24M,294.24M,281.73M,,281.73M,,9.318M,,,,8.872M,594.16M,,,,,,,6.577B,-3.242B,3.335B,,3.694B,3.694B,442.04M,7.471B,8.065B,,2002-09,67.42M,67.42M,562.05M,629.47M,,,,28.43M,,28.43M,,,41.18M,699.08M,3.650B,,3.650B,,,,,652.33M,4.302B,2002-09,150.02M,2.401B,515.59M,,3.064B,,2002-09,,
2002-06,302.07M,302.07M,174.84M,,174.84M,,9.848M,,,,9.063M,495.82M,,,,,,,5.875B,-3.150B,2.725B,,2.115B,2.115B,1.301B,6.141B,6.637B,,2002-06,81.09M,81.09M,152.88M,233.96M,,,,432.40M,,432.40M,,,30.19M,696.55M,2.750B,,2.750B,,,,,732.48M,3.483B,2002-06,149.64M,1.801B,509.94M,,2.458B,,2002-06,,
2002-03,52.14M,52.14M,203.27M,,203.27M,,9.388M,,,,11.90M,276.70M,,,,,,,6.037B,-3.308B,2.728B,,2.116B,2.116B,1.258B,6.103B,6.379B,,2002-03,93.96M,93.96M,183.38M,277.34M,,,,921.97M,,921.97M,,,30.15M,1.229B,2.081B,,2.081B,,,,,664.18M,2.746B,2002-03,149.30M,1.729B,528.09M,,2.404B,,2002-03,,
2001-12,3.496M,3.496M,118.38M,87.61M,205.99M,,10.92M,,,,9.511M,229.91M,,,,,5.675B,64.56M,5.739B,-3.003B,2.736B,2.087B,420.04M,2.507B,845.43M,6.089B,6.319B,,2001-12,61.06M,61.06M,139.68M,200.74M,,955.83M,53.00M,1.009B,,1.009B,,,29.31M,1.239B,2.088B,,2.088B,,,,,654.92M,2.742B,2001-12,149.21M,1.666B,524.67M,,2.337B,,2001-12,,
2001-09,21.37M,21.37M,308.28M,,308.28M,,24.34M,,,,9.812M,363.80M,,,,,,,6.216B,-3.230B,2.986B,2.489B,,2.489B,550.54M,6.026B,6.389B,,2001-09,96.12M,96.12M,312.72M,408.84M,,,,314.38M,,314.38M,,,39.16M,762.39M,2.802B,,2.802B,,,,,536.20M,3.339B,2001-09,149.06M,1.623B,518.73M,,2.288B,,2001-09,,
2001-06,39.32M,39.32M,351.42M,,351.42M,,28.49M,,,,10.66M,429.89M,,,,,,,6.108B,-3.143B,2.965B,,2.511B,2.511B,605.70M,6.082B,6.512B,,2001-06,101.80M,101.80M,263.83M,365.63M,,,,369.99M,,369.99M,,,40.03M,775.65M,2.962B,,2.962B,,,,,537.79M,3.500B,2001-06,149.00M,1.538B,516.71M,,2.237B,,2001-06,,
2001-03,15.87M,15.87M,271.47M,,271.47M,,33.86M,,,,14.12M,335.32M,,,,5.586B,415.16M,,6.001B,-3.047B,2.955B,2.527B,,2.527B,571.95M,6.053B,6.389B,,2001-03,97.23M,97.23M,179.42M,276.64M,,155.57M,319.35M,474.92M,,474.92M,41.34M,41.34M,,792.90M,2.980B,,2.980B,,,,,540.38M,3.521B,2001-03,148.97M,1.391B,515.48M,,2.075B,,2001-03,,
2000-12,19.04M,19.04M,307.16M,,307.16M,,38.53M,,,,11.77M,376.50M,,,,,,,5.915B,-2.955B,2.959B,,2.509B,2.509B,548.46M,6.017B,6.393B,,2000-12,127.29M,127.29M,,127.29M,,,,425.96M,,425.96M,,,190.12M,743.37M,3.050B,,3.050B,,,,,567.55M,3.618B,2000-12,148.64M,1.352B,509.84M,,2.032B,,2000-12,,
2000-09,71.64M,71.64M,,,258.59M,,30.04M,,,,10.70M,370.98M,,,,,,,5.767B,-2.875B,2.892B,,2.523B,2.523B,524.86M,5.940B,6.311B,,2000-09,129.85M,129.85M,,129.85M,,,,349.20M,,349.20M,,,186.73M,665.78M,3.130B,,3.130B,,,,,531.66M,3.662B,2000-09,148.62M,1.301B,506.00M,,1.983B,,2000-09,,
2000-06,49.68M,49.68M,,,207.73M,,24.70M,,,,10.48M,292.60M,,,,,,,4.319B,-2.083B,2.236B,,1.621B,1.621B,571.88M,4.429B,4.722B,,2000-06,110.19M,110.19M,,110.19M,,,,75.02M,,75.02M,,,151.50M,336.71M,1.954B,,1.954B,,,,,483.76M,2.438B,2000-06,148.52M,1.241B,502.97M,,1.948B,,2000-06,,
2000-03,62.63M,62.63M,,,208.96M,,26.40M,,,,8.907M,306.90M,,,,,,,4.240B,-2.007B,2.232B,,1.632B,1.632B,557.72M,4.422B,4.729B,,2000-03,114.88M,114.88M,,114.88M,,,,62.31M,,62.31M,,,188.87M,366.07M,1.998B,,1.998B,,,,,475.32M,2.474B,2000-03,148.20M,1.190B,498.53M,,1.889B,,2000-03,,
1999-12,56.60M,56.60M,,,193.00M,,28.80M,,,,7.70M,286.10M,,,,,,,4.195B,-1.938B,2.256B,,1.645B,1.645B,517.90M,4.419B,4.705B,,1999-12,78.50M,78.50M,,78.50M,,,,62.10M,,62.10M,,,168.60M,309.20M,2.078B,,2.078B,,,,,469.90M,2.548B,1999-12,147.90M,1.147B,493.40M,,1.848B,,1999-12,,
1999-09,37.20M,37.20M,,,215.00M,,27.90M,,,,5.20M,285.30M,,,,,,,4.064B,-1.869B,2.195B,,1.630B,1.630B,431.40M,4.256B,4.541B,,1999-09,107.60M,107.60M,,107.60M,,,,53.30M,,53.30M,,,155.50M,316.40M,2.042B,,2.042B,,,,,468.40M,2.511B,1999-09,147.70M,1.093B,471.60M,,1.714B,,1999-09,,
1999-06,93.90M,93.90M,,,194.10M,,20.60M,,,,7.40M,316.00M,,,,,,,3.979B,-1.798B,2.182B,,1.625B,1.625B,436.20M,4.243B,4.559B,,1999-06,113.90M,113.90M,,113.90M,,,,53.40M,,53.40M,,,262.90M,430.20M,2.018B,,2.018B,,,,,461.80M,2.479B,1999-06,8.10M,1.034B,,,1.649B,,1999-06,,
1999-03,4.10M,4.10M,,,193.70M,,24.80M,,,,10.10M,232.70M,,,,,,,4.343B,-2.010B,2.332B,,1.941B,1.941B,391.20M,4.664B,4.897B,,1999-03,84.60M,84.60M,,84.60M,,,,54.60M,,54.60M,,,195.70M,334.90M,2.426B,,2.426B,,,,,539.90M,2.966B,1999-03,8.10M,987.40M,,,1.596B,,1999-03,,
1998-12,5.70M,5.70M,,,185.40M,,23.70M,,,,11.40M,226.20M,,,,,,,4.290B,-1.938B,2.352B,,1.957B,1.957B,401.10M,4.709B,4.936B,,1998-12,87.60M,87.60M,,87.60M,,,,53.00M,,53.00M,,,164.20M,304.80M,2.558B,,2.558B,,,,,541.20M,3.099B,1998-12,8.10M,932.60M,,,1.532B,,1998-12,,
1998-09,3.90M,3.90M,,,182.10M,,24.80M,,,,7.50M,218.30M,,,,,,,4.027B,-1.781B,2.245B,,1.742B,1.742B,431.00M,4.418B,4.636B,,1998-09,77.20M,77.20M,,77.20M,,,,45.00M,,45.00M,,,142.70M,264.90M,2.393B,,2.393B,,,,,510.00M,2.903B,1998-09,8.10M,886.50M,,,1.469B,,1998-09,,
1998-06,17.00M,17.00M,,,187.20M,,23.30M,,,,8.70M,236.20M,,,,,,,3.955B,-1.719B,2.236B,,1.745B,1.745B,438.40M,4.419B,4.656B,,1998-06,76.50M,76.50M,,76.50M,,,,47.50M,,47.50M,,,155.30M,279.30M,2.452B,,2.452B,,,,,508.20M,2.96B,1998-06,8.10M,837.90M,,,1.416B,,1998-06,,
