,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2006-09,76.00M,,,,,,-120.89M,130.76M,130.76M,11.06M,,,,,100.81M,-1.50M,,6.108M,,-2.74M,16.58M,,216.19M,,2006-09,-82.58M,0.00,-82.58M,,,-0.569M,-83.15M,,2006-09,,,-26.39M,24.13M,-95.96M,-71.83M,,-7.315M,-102.12M,,2006-09,1.769M,,32.69M,,2006-09,24.13M,,,,,,2006-09,,
2006-06,152.37M,,,,,,1.125M,131.82M,131.82M,12.83M,,,,,-111.28M,-1.977M,,2.081M,,8.959M,26.37M,,222.29M,,2006-06,-70.37M,5.865M,-64.50M,,,121.93M,57.43M,,2006-06,,,-295.56M,8.583M,0.00,8.583M,,-7.36M,-293.27M,,2006-06,15.32M,,1.769M,,2006-06,8.583M,,,,,,2006-06,,
2006-03,69.42M,,,,,,1.119M,134.56M,134.56M,9.522M,,,,,2.615M,23.62M,,-4.634M,,-37.07M,-15.13M,,184.03M,,2006-03,-60.09M,,-60.09M,,,-0.408M,-65.72M,,2006-03,,,283.00M,32.62M,-573.89M,-541.26M,,-7.301M,-261.84M,,2006-03,158.85M,,15.32M,,2006-03,32.62M,,,,,,2006-03,,
2005-12,78.33M,,,,,,-5.103M,135.78M,135.78M,36.11M,,,,,-15.37M,1.582M,,-3.947M,4.207M,-5.247M,7.361M,,233.71M,,2005-12,-132.91M,,-128.91M,,-0.029M,-2.676M,-131.62M,,2005-12,,,-177.25M,2.888M,-21.06M,-18.17M,,-7.953M,-211.74M,,2005-12,268.50M,,158.85M,,2005-12,2.888M,,,,,,2005-12,,
2005-09,91.41M,,,,,,-1.27M,133.53M,133.53M,7.471M,,,,,25.07M,-10.13M,,-32.99M,-2.73M,54.10M,-10.01M,,254.46M,,2005-09,-105.04M,,-105.04M,,-2.272M,5.886M,-101.43M,,2005-09,,,-4.468M,27.03M,0.00,27.03M,,-7.953M,15.01M,,2005-09,100.46M,,268.50M,,2005-09,27.03M,,,,,,2005-09,,
2005-06,85.12M,,,,,,-0.724M,130.45M,130.45M,3.806M,,,,,-0.432M,0.973M,,-0.142M,14.23M,-12.42M,1.233M,,222.09M,,2005-06,-102.01M,,-102.01M,,-73.15M,2.10M,-173.06M,,2005-06,,,-8.198M,406.59M,-470.62M,-64.04M,,-7.882M,-77.90M,,2005-06,129.33M,,100.46M,,2005-06,406.59M,,,,,,2005-06,,
2005-03,79.62M,,,,,,-1.313M,132.18M,132.18M,22.14M,,,,,-1.336M,6.887M,,-0.094M,-15.71M,36.54M,-2.087M,,256.82M,,2005-03,-74.90M,,-74.90M,,,-2.716M,-77.62M,,2005-03,,,-159.25M,12.03M,-60.08M,-48.04M,,-8.074M,-217.08M,,2005-03,167.22M,,129.33M,,2005-03,12.03M,,,,,,2005-03,,
2004-12,84.49M,,,,,,-0.953M,129.30M,129.30M,-1.034M,,,,,-24.47M,10.18M,,-16.23M,-5.159M,27.29M,16.61M,,220.04M,,2004-12,-131.72M,,-131.72M,,0.00,-0.886M,-132.60M,,2004-12,,,-10.98M,11.30M,-82.63M,-71.33M,,-7.702M,-89.19M,,2004-12,168.98M,,167.22M,,2004-12,11.30M,,,,,,2004-12,,
2004-09,86.19M,,,,,,-1.929M,113.86M,113.86M,18.37M,,,,,29.98M,-23.24M,,7.13M,-8.646M,11.89M,-1.175M,,232.44M,,2004-09,-97.58M,,-97.58M,,0.00,-1.041M,-123.62M,,2004-09,,,-5.687M,11.03M,-34.50M,-23.47M,,-7.87M,-36.22M,,2004-09,96.39M,,168.98M,,2004-09,11.03M,,,,,,2004-09,,
2004-06,83.28M,,,,,,-2.126M,130.75M,130.75M,30.36M,,,,,2.508M,-6.518M,,10.05M,-18.62M,-22.15M,12.37M,,219.92M,,2004-06,-94.27M,,-94.27M,,-2.00M,0.953M,-95.32M,,2004-06,,,-155.70M,5.04M,-144.62M,-139.58M,,-8.036M,-301.51M,,2004-06,273.29M,,96.39M,,2004-06,5.04M,,,,,,2004-06,,
2004-03,83.28M,,,,,,-2.059M,126.99M,126.99M,26.67M,,,,,-4.989M,22.51M,,14.56M,0.709M,30.75M,-14.98M,,283.44M,,2004-03,-61.74M,,-61.74M,,,-0.021M,-61.77M,,2004-03,,,-7.029M,2.118M,-139.26M,-137.14M,,-8.253M,-151.56M,,2004-03,203.18M,,273.29M,,2004-03,2.118M,,,,,,2004-03,,
2003-12,82.44M,,,,,,-1.265M,118.98M,118.98M,60.68M,,,,,-41.44M,10.16M,,-5.96M,12.08M,22.74M,-18.86M,,239.54M,,2003-12,-121.48M,,-121.48M,,-48.30M,3.624M,-166.15M,,2003-12,,,-3.712M,5.069M,,5.069M,,-8.031M,-28.15M,,2003-12,157.94M,,203.18M,,2003-12,5.069M,,,,,,2003-12,,
2003-09,90.98M,,,,,,-1.736M,116.86M,116.86M,24.18M,,,,,14.52M,-8.23M,,15.59M,-6.779M,-0.494M,4.457M,,249.35M,,2003-09,-102.20M,,-102.20M,,-2.361M,-3.648M,-108.21M,,2003-09,,,-8.315M,7.982M,,7.982M,,-8.024M,-7.517M,,2003-09,24.32M,,157.94M,,2003-09,7.982M,,,,,,2003-09,,
2003-06,87.37M,,,,,,-1.59M,116.80M,116.80M,34.34M,,,,,12.00M,-0.213M,,14.11M,-4.75M,-21.47M,23.17M,,259.77M,,2003-06,-94.59M,,-94.59M,,-35.58M,-1.113M,-131.29M,,2003-06,,,-155.44M,16.90M,,16.90M,,-8.001M,-122.90M,,2003-06,18.74M,,24.32M,,2003-06,16.90M,,,,,,2003-06,,
2003-03,83.92M,,,,,,-1.569M,118.00M,118.00M,9.502M,,,,,7.537M,36.27M,,24.23M,-6.751M,56.94M,-8.766M,,319.30M,,2003-03,-59.67M,,-59.67M,,,0.681M,-58.99M,,2003-03,,,-242.47M,4.031M,,4.031M,,-7.961M,-245.24M,,2003-03,3.661M,,18.74M,,2003-03,4.031M,,,,,,2003-03,,
2002-12,44.34M,,,,,,611.94M,117.88M,117.88M,27.77M,,,,,14.87M,8.741M,,-2.592M,58.50M,-47.64M,-61.74M,-2.241B,-1.469B,,2002-12,-115.49M,-4.144M,-119.64M,,0.00,-6.302M,-125.94M,,2002-12,,,-32.28M,15.00M,,15.00M,,-7.593M,1.304B,,2002-12,294.24M,,3.661M,,2002-12,15.00M,,,,,,2002-12,,
2002-09,607.75M,,,,,,-544.65M,107.51M,107.51M,14.08M,,,,,29.06M,-57.18M,,-1.249M,-9.154M,68.25M,42.32M,1.558B,1.815B,,2002-09,-91.74M,4.144M,-87.60M,,-2.201B,2.794M,-2.286B,,2002-09,,,476.90M,5.552M,,5.552M,,-7.543M,463.37M,,2002-09,302.07M,,294.24M,,2002-09,5.552M,,,,,,2002-09,,
2002-06,78.76M,,,,,,-42.95M,94.00M,94.00M,14.65M,,,,,10.00M,28.43M,,-12.87M,-9.305M,-16.11M,15.78M,25.50M,185.90M,,2002-06,-105.50M,,-105.50M,,0.00,6.679M,-98.82M,,2002-06,,,179.47M,6.10M,,6.10M,,-7.512M,162.86M,,2002-06,52.14M,,302.07M,,2002-06,6.10M,,,,,,2002-06,,
2002-03,70.77M,,,,,,-28.05M,92.23M,92.23M,14.61M,,,,,4.253M,6.526M,,20.48M,-5.103M,38.55M,3.647M,45.64M,263.54M,,2002-03,-73.53M,,-73.53M,,-43.77M,-0.405M,-117.70M,,2002-03,,,-92.72M,2.477M,,2.477M,,-7.508M,-97.20M,,2002-03,3.496M,,52.14M,,2002-03,2.477M,,,,,,2002-03,,
2001-12,49.76M,,,,,,190.84M,55.20M,55.20M,56.79M,,,,,-33.69M,-51.12M,,1.679M,65.00M,-139.41M,-27.47M,-198.88M,-31.31M,,2001-12,-51.26M,-172.64M,-223.90M,,0.00,34.61M,-189.30M,,2001-12,,,-20.10M,4.194M,,4.194M,,-7.145M,210.36M,,2001-12,21.37M,,3.496M,,2001-12,4.194M,,,,,,2001-12,,
2001-09,92.30M,,,,,,-57.35M,120.21M,120.21M,21.92M,,,,,18.21M,43.14M,,-5.681M,-55.91M,67.17M,17.58M,,261.60M,,2001-09,-140.94M,64.58M,-76.35M,,0.00,17.67M,-58.69M,,2001-09,,,-214.80M,1.223M,,1.223M,,-7.14M,-220.86M,,2001-09,39.32M,,21.37M,,2001-09,1.223M,,,,,,2001-09,,
2001-06,154.24M,,,,,,-146.67M,132.81M,132.81M,-12.97M,,,,,10.29M,13.21M,,-18.28M,,50.82M,23.22M,-31.01M,175.66M,,2001-06,-141.06M,108.06M,-33.00M,,0.00,10.30M,-22.71M,,2001-06,,,-123.38M,0.692M,,0.692M,,-7.236M,-129.37M,,2001-06,8.221M,,39.32M,,2001-06,0.692M,,,,,,2001-06,,
2001-03,46.72M,,,,,,-19.87M,98.82M,98.82M,-7.804M,,,,,-10.29M,29.03M,,-7.201M,,22.50M,-13.32M,31.01M,169.60M,,2001-03,-102.25M,,-102.25M,,-47.13M,-0.834M,-150.22M,,2001-03,,,-17.34M,1.242M,,1.242M,,-7.132M,-22.68M,,2001-03,11.52M,,8.221M,,2001-03,1.242M,,,,,,2001-03,,
2000-12,57.12M,,,,,,31.92M,52.50M,52.50M,22.00M,,,,,-36.53M,-41.06M,,-14.72M,,-15.51M,40.38M,,0.754M,,2000-12,-108.39M,-29.50M,-137.88M,,5.173M,-27.76M,-160.47M,,2000-12,,,-2.688M,0.744M,,0.744M,,-6.769M,99.97M,,2000-12,71.64M,,11.41M,,2000-12,0.744M,,,,,,2000-12,,
2000-09,67.22M,,,,,,-19.16M,99.74M,99.74M,4.386M,,,,,11.12M,-18.98M,,19.50M,,30.06M,-14.25M,,179.65M,,2000-09,-143.27M,13.65M,-129.63M,,-1.541B,66.96M,-1.604B,,2000-09,,,1.450B,2.032M,,2.032M,,-6.656M,1.446B,,2000-09,49.68M,,71.64M,,2000-09,2.032M,,,,,,2000-09,,
2000-06,57.84M,,,,,,-6.604M,85.77M,85.77M,2.24M,,,,,25.34M,1.229M,,-4.698M,,-37.24M,-26.14M,,97.74M,,2000-06,-81.24M,0.00,-81.24M,,,4.395M,-76.85M,,2000-06,,,-31.62M,4.166M,,4.166M,,-6.648M,-33.84M,,2000-06,62.63M,,49.68M,,2000-06,4.166M,,,,,,2000-06,,
2000-03,49.28M,,,,,,-6.159M,84.81M,84.81M,3.231M,,,,,-13.95M,-15.93M,,36.41M,,22.38M,,,160.09M,,2000-03,-58.16M,15.85M,-42.32M,,,-30.43M,-72.75M,,2000-03,,,-75.93M,1.054M,,1.054M,,-6.742M,-81.35M,,2000-03,56.64M,,62.63M,,2000-03,1.054M,,,,,,2000-03,,
1999-12,60.70M,,,,,,-10.10M,88.50M,88.50M,-23.70M,,,,,15.80M,21.90M,,-29.00M,,-12.90M,7.00M,,118.20M,,1999-12,-157.20M,484.50M,327.30M,,,-469.20M,-141.90M,,1999-12,,,45.00M,4.10M,,4.10M,,-6.40M,43.10M,,1999-12,37.20M,,56.60M,,1999-12,4.10M,,,,,,1999-12,,
1999-09,64.50M,,,,,,-8.50M,84.30M,84.30M,2.30M,,,,,-2.30M,-20.70M,,8.60M,-14.10M,-91.40M,-7.00M,,15.70M,,1999-09,-104.70M,-465.80M,-570.50M,,,475.90M,-94.60M,,1999-09,,,25.20M,3.20M,,3.20M,,-6.30M,22.20M,,1999-09,93.90M,,37.20M,,1999-09,3.20M,,,,,,1999-09,,
1999-06,53.50M,,,,,,-30.10M,86.02M,86.02M,1.80M,,,,,-1.414M,-8.10M,,12.00M,14.10M,-12.60M,,,115.20M,,1999-06,-86.10M,445.70M,359.60M,,,-14.20M,345.40M,,1999-06,,,-366.60M,1.50M,,1.50M,,-6.40M,-370.70M,,1999-06,4.10M,,93.90M,,1999-06,1.50M,,,,,,1999-06,,
1999-03,61.10M,,,,,,-13.90M,89.98M,89.98M,2.50M,,,,,-11.99M,-8.30M,,-3.10M,,43.30M,,,159.60M,,1999-03,-63.00M,20.10M,-42.90M,,,3.80M,-39.10M,,1999-03,,,-126.50M,10.40M,,10.40M,,-6.30M,-122.20M,,1999-03,5.70M,,4.10M,,1999-03,10.40M,,,,,,1999-03,,
1998-12,52.20M,,,,,,-5.30M,86.30M,86.30M,-14.00M,,,,,-6.00M,0.20M,,10.40M,,26.80M,,,150.60M,,1998-12,-326.80M,132.30M,-194.50M,,,-121.20M,-315.70M,,1998-12,,,169.70M,2.90M,,2.90M,,-6.10M,167.00M,,1998-12,0.00,,5.70M,,1998-12,2.90M,,,,,,1998-12,,
1998-09,54.70M,,,,,,-5.50M,81.60M,81.60M,4.70M,,,,,2.20M,5.10M,,0.60M,-14.20M,-4.40M,,,124.80M,,1998-09,-82.70M,-132.30M,-215.00M,,,140.90M,-74.10M,,1998-09,,,-61.40M,3.20M,,3.20M,,-6.00M,-63.80M,,1998-09,0.00,,0.00,,1998-09,3.20M,,,,,,1998-09,,
1998-06,64.20M,,,,,,-30.60M,81.50M,81.50M,-1.10M,,,,,4.40M,-65.70M,,3.80M,14.20M,-25.20M,,,45.50M,,1998-06,-63.80M,122.10M,58.30M,,,9.70M,68.00M,,1998-06,,,-103.40M,4.50M,,4.50M,,-6.10M,-111.80M,,1998-06,0.00,,0.00,,1998-06,4.50M,,,,,,1998-06,,
