,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1993-12,0.30M,0.30M,0.40M,1.10M,1.50M,,,1.50M,,10.60M,5.90M,2.50M,3.40M,,,3.40M,3.40M,,20.30M,,0.1734,0.00,,0.1734,0.1734,,0.1534,0.00,,0.1534,0.1534,,19.63M,22.21M,,,,
1993-09,0.70M,0.70M,0.30M,1.50M,1.80M,,,1.80M,,10.40M,5.90M,2.50M,3.40M,,,3.40M,3.40M,,20.20M,,0.1934,0.00,,0.1934,0.1934,,0.1668,0.00,,0.1668,0.1668,,17.58M,20.39M,,,,
1993-06,-0.10M,-0.10M,0.30M,3.60M,3.90M,,,3.90M,,10.30M,4.50M,1.90M,2.60M,,,2.60M,2.60M,,18.60M,,0.1534,0.00,,0.1534,0.1534,,0.1334,0.00,,0.1334,0.1334,,16.95M,19.49M,,,,
1993-03,-0.30M,-0.30M,,2.50M,2.50M,,,2.50M,,10.00M,4.90M,2.00M,2.90M,,,2.90M,2.90M,,19.10M,,0.1668,0.00,,0.1668,0.1668,,0.1467,0.00,,0.1467,0.1467,,17.39M,19.76M,,,,
1992-12,-0.80M,-0.80M,0.20M,1.70M,1.90M,,,1.90M,,9.90M,4.00M,1.60M,2.40M,,,2.40M,2.40M,,18.80M,,0.1334,0.00,,0.1334,0.1334,,0.1334,0.00,,0.1334,0.1334,,17.66M,17.71M,,,,
1992-09,0.20M,0.20M,0.30M,1.40M,1.70M,,,1.70M,,9.40M,5.80M,2.40M,3.40M,,,3.40M,3.40M,,20.90M,,0.2001,0.00,,0.2001,0.2001,,0.2001,0.00,,0.2001,0.2001,,16.99M,16.99M,,,,
1992-06,-0.90M,-0.90M,0.20M,0.90M,1.10M,,,1.10M,,9.30M,5.50M,2.20M,3.30M,,,3.30M,3.30M,,20.30M,,0.1868,0.00,,0.1868,0.1868,,0.1868,0.00,,0.1868,0.1868,,17.67M,17.67M,,,,
1992-03,-0.60M,-0.60M,0.20M,1.20M,1.40M,,,1.40M,,8.10M,4.60M,1.90M,2.70M,,,2.70M,2.70M,,18.90M,,0.1801,0.00,,0.1801,0.1801,,0.1801,0.00,,0.1801,0.1801,,14.99M,14.99M,,,,
1991-12,-0.90M,-0.90M,0.70M,5.60M,6.30M,,,6.30M,,7.90M,3.80M,1.50M,2.30M,,0.10M,2.30M,2.30M,,18.20M,,0.1868,0.00,,0.1868,0.1868,,0.1734,0.00,,0.1734,0.1734,,11.85M,12.77M,,,,
1991-09,-0.40M,-0.40M,0.20M,1.20M,1.40M,,,1.40M,,6.80M,3.30M,1.30M,2.00M,,0.10M,2.00M,2.00M,,17.30M,,0.1801,0.00,,0.1801,0.1801,,0.1668,0.00,,0.1668,0.1668,,10.55M,11.39M,,,,
1991-06,-0.80M,-0.80M,0.20M,1.10M,1.30M,,,1.30M,,6.30M,2.90M,1.20M,1.70M,,0.10M,1.70M,1.70M,,16.50M,,0.1868,0.00,,0.1868,0.1868,,0.1668,0.00,,0.1668,0.1668,,8.567M,9.595M,,,,
1991-03,-0.90M,-0.90M,0.20M,1.00M,1.20M,,,1.20M,,5.70M,2.50M,1.00M,1.50M,,0.10M,1.50M,1.50M,,16.40M,,0.1734,0.00,,0.1734,0.1734,,0.1601,0.00,,0.1601,0.1601,,8.073M,8.746M,,,,
1990-12,-0.90M,-0.90M,0.20M,0.80M,1.00M,,,1.00M,,5.10M,1.90M,0.60M,1.30M,,0.10M,1.30M,1.30M,,16.00M,,0.1534,0.00,,0.1534,0.1534,,0.1334,0.00,,0.1334,0.1334,,7.761M,9.226M,,,,
1990-09,-0.50M,-0.50M,0.20M,0.70M,0.90M,,,0.90M,,4.20M,1.70M,0.50M,1.20M,,0.10M,1.20M,1.20M,,15.10M,,0.1401,0.00,,0.1401,0.1401,,0.1401,0.00,,0.1401,0.1401,,7.853M,7.853M,,,,
1990-06,0.20M,0.20M,0.30M,1.00M,1.30M,,,1.30M,,3.70M,1.50M,0.50M,1.00M,,,1.00M,1.00M,,13.10M,,0.1267,0.00,,0.1267,0.1267,,0.1267,0.00,,0.1267,0.1267,,7.891M,7.891M,,,,
1990-03,-0.20M,-0.20M,0.40M,0.80M,1.20M,,,1.20M,,2.70M,0.40M,0.10M,0.30M,,,0.30M,0.30M,,12.00M,,0.0334,0.00,,0.0334,0.0334,,0.0334,0.00,,0.0334,0.0334,,8.996M,8.996M,,,,
1989-12,-4.60M,-4.60M,,,,,,,,-9.80M,0.60M,0.30M,0.30M,,,0.30M,0.30M,,-22.20M,,0.0467,0.00,,0.0467,0.0467,,0.0467,0.00,,0.0467,0.0467,,5.711M,5.711M,,,,
1989-09,0.20M,0.20M,0.30M,0.70M,1.00M,,,1.00M,,2.10M,0.50M,0.20M,0.30M,,,0.30M,0.30M,,10.50M,,0.0334,0.00,,0.0334,0.0334,,0.0334,0.00,,0.0334,0.0334,,8.996M,8.996M,,,,
1989-06,,,,,,,,,,,,,0.30M,,,0.30M,0.30M,,,,0.0400,0.00,,0.0400,0.0400,,0.0400,0.00,,0.0400,0.0400,,7.496M,7.496M,,,,
1989-03,,,,,,,,,,,,,0.20M,,,0.20M,0.20M,,,,0.0267,0.00,,0.0267,0.0267,,0.0267,0.00,,0.0267,0.0267,,7.496M,7.496M,,,,
1988-12,,,,,,,,,,,,,0.40M,,,0.40M,0.40M,,,,0.0534,0.00,,0.0534,0.0534,,0.0534,0.00,,0.0534,0.0534,,7.030M,7.030M,,,,
1988-09,,,,,,,,,,,,,0.10M,,,0.10M,0.10M,,,,0.0200,0.00,,0.0200,0.0200,,0.0200,0.00,,0.0200,0.0200,,4.998M,4.998M,,,,
1988-06,,,,,,,,,,,,,0.30M,,,0.30M,0.30M,,,,0.0400,0.00,,0.0400,0.0400,,0.0400,0.00,,0.0400,0.0400,,7.496M,7.496M,,,,
1988-03,,,,,,,,,,,,,0.10M,,,0.10M,0.10M,,,,0.0200,0.00,,0.0200,0.0200,,0.0200,0.00,,0.0200,0.0200,,4.998M,4.998M,,,,
1987-12,,,,,,,,,,,,,0.20M,,,0.20M,0.20M,,,,0.0267,0.00,,0.0267,0.0267,,0.0267,0.00,,0.0267,0.0267,,7.394M,7.394M,,,,
1987-09,,,,,,,,,,,,,0.20M,,,0.20M,0.20M,,,,0.0334,0.00,,0.0334,0.0334,,0.0334,0.00,,0.0334,0.0334,,5.997M,5.997M,,,,
1987-06,,,,,,,,,,,,,0.20M,,,0.20M,0.20M,,,,0.0334,0.00,,0.0334,0.0334,,0.0334,0.00,,0.0334,0.0334,,5.997M,5.997M,,,,
1987-03,,,,,,,,,,,,,0.10M,,,0.10M,0.10M,,,,0.0200,0.00,,0.0200,0.0200,,0.0200,0.00,,0.0200,0.0200,,4.998M,4.998M,,,,
1986-12,,,,,,,,,,,,,0.20M,,,0.20M,0.20M,,,,,,,0.0016,0.0016,,,,,0.0016,0.0016,,124.13M,125.86M,,,,
1986-09,,,,,,,,,,,,,0.10M,,,0.10M,0.10M,,,,0.0334,0.00,,0.0334,0.0334,,0.0334,0.00,,0.0334,0.0334,,2.999M,2.999M,,,,
1986-06,,,,,,,,,,,,,0.10M,,,0.10M,0.10M,,,,0.0334,0.00,,0.0334,0.0334,,0.0334,0.00,,0.0334,0.0334,,2.999M,2.999M,,,,
1986-03,,,,,,,,,,,,,0.10M,,,0.10M,0.10M,,,,0.0334,0.00,,0.0334,0.0334,,0.0334,0.00,,0.0334,0.0334,,2.999M,2.999M,,,,
1985-09,,,,,,,,,,,,,,,,,,,,,0.0067,0.00,,0.0067,0.0067,,0.0067,0.00,,0.0067,0.0067,,,,,,,
1985-06,,,,,,,,,,,,,,,,,,,,,0.0067,0.00,,0.0067,0.0067,,0.0067,0.00,,0.0067,0.0067,,,,,,,
