,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2001-09,6.511M,-0.202M,-0.202M,,,,,1.554M,,,9.412M,-4.203M,-1.422M,-5.82M,9.155M,-2.29M,14.98M,,-1.793M,-1.793M,-0.295M,0.976M,-189.78M,-190.90M,,,-77.50M,-77.50M,,,,,,,,,,231.03M,167.96M,,63.38M,-7.95M,55.44M,,,,,,,,,,
2001-06,5.861M,0.119M,0.119M,,,,,-2.757M,,,-24.48M,1.791M,7.987M,3.408M,-2.59M,10.60M,-10.66M,,-3.365M,-3.365M,,2.563M,-187.18M,-187.99M,,,37.00M,37.00M,,,,,,,,,,60.48M,207.62M,,54.41M,8.973M,63.38M,,,,,,,,,,
2001-03,5.357M,-0.119M,-0.119M,,,,,0.65M,,,-31.80M,-1.791M,-7.987M,-1.791M,-7.987M,-19.56M,-45.47M,,-2.691M,-2.691M,,-2.563M,-59.58M,-64.83M,,,-37.00M,-37.00M,,,,,,,,,,-60.48M,102.82M,,61.89M,-7.482M,54.41M,,,,,,,,,,
2000-12,5.522M,-0.462M,-0.462M,,,,,2.822M,,,-63.83M,25.10M,-8.225M,29.72M,1.167M,47.75M,0.435M,,-1.217M,-1.217M,4.194M,-986.95M,1.097B,113.01M,,,-13.00M,-19.24M,,,,,,,,,,229.32M,-133.86M,,82.30M,-20.41M,61.89M,,,,,,,,,,
2000-09,5.614M,0.15M,0.15M,,,,,-0.374M,,,-7.858M,-4.221M,6.414M,-4.221M,6.414M,4.386M,1.918M,,-1.294M,-1.294M,-4.194M,-4.555M,132.72M,122.67M,,,-295.00M,-295.00M,,,,,,,,,,34.64M,-103.18M,,60.90M,21.41M,82.30M,,,,,,,,,,
2000-06,5.485M,0.312M,0.312M,,,,,-0.932M,,,8.789M,-9.01M,-0.292M,-9.01M,-0.292M,-18.60M,-4.95M,,-1.536M,-1.536M,,-11.38M,-64.91M,-77.83M,,,190.00M,190.00M,,,,,,,,,,-57.74M,94.30M,,49.38M,11.52M,60.90M,,,,,,,,,,
2000-03,6.019M,,,,,,,1.539M,,,15.12M,-16.48M,4.266M,-16.48M,4.266M,-24.44M,-1.76M,,-1.371M,-1.371M,,-34.56M,-133.33M,-169.26M,,,-30.00M,-30.00M,,,,,,,,,,-21.85M,157.81M,,62.59M,-13.22M,49.38M,,,,,,,,,,
1999-12,5.122M,,,,,,,-2.104M,,,-29.70M,17.24M,6.58M,17.24M,6.58M,47.64M,20.98M,,-2.629M,-2.629M,,-17.02M,-235.39M,-255.04M,,,93.35M,93.35M,,,,,,,,,,55.13M,250.95M,,45.80M,16.79M,62.59M,,,,,,,,,,
1999-09,5.60M,,,,,,,-0.50M,,,18.70M,-4.10M,3.60M,-4.10M,3.60M,-1.00M,22.80M,,-2.50M,-2.50M,,5.70M,-162.40M,-159.20M,,,-27.80M,-27.80M,,,,,,,,,,68.00M,142.20M,,39.90M,5.90M,45.80M,,,,,,,,,,
1999-06,5.80M,,,,,,,-0.30M,,,67.10M,-3.70M,-1.50M,-3.70M,-1.50M,-10.40M,62.20M,,-2.30M,-2.30M,,14.20M,-182.20M,-170.30M,,,-28.80M,-28.80M,,,,,,,,,,45.20M,91.10M,,56.90M,-17.00M,39.90M,,,,,,,,,,
1999-03,5.70M,,,,,,,1.00M,,,-37.30M,-20.90M,-1.20M,-20.90M,-1.20M,-44.20M,-74.80M,,-4.60M,-4.60M,,10.50M,-39.00M,-33.10M,,,-67.90M,-67.90M,,,,,,,,,,69.70M,116.00M,,48.80M,8.10M,56.90M,,,,,,,,,,
1998-12,5.20M,-0.10M,-0.10M,,,,,1.20M,,,6.80M,-5.50M,-0.30M,-5.50M,-0.30M,-11.60M,1.50M,,-2.00M,-2.00M,,-91.40M,-291.70M,-385.10M,,,191.20M,191.20M,,,,,,,,,,67.60M,397.30M,,,13.90M,,,,,,,,,,,
1998-09,5.30M,0.10M,0.10M,,,,,-0.60M,,,11.30M,-3.80M,2.30M,-3.80M,2.30M,-3.00M,13.10M,,-2.70M,-2.70M,,-16.10M,-52.40M,-71.20M,,,-10.00M,-10.00M,,,,,,,,,,-5.20M,39.30M,,,-18.90M,,,,,,,,,,,
1998-06,4.90M,,,,,,,-1.40M,,,4.30M,2.00M,-1.70M,2.00M,-1.70M,0.60M,8.40M,,-0.70M,-0.70M,,-0.40M,-34.50M,-35.60M,,,15.00M,15.00M,,,,,,,,,,-16.00M,15.90M,,,-11.20M,,,,,,,,,,,
1998-03,5.00M,,,,,,,3.30M,,,-9.70M,-8.80M,-1.40M,-8.80M,-1.40M,-20.40M,-21.80M,,-1.30M,-1.30M,,-4.10M,-54.40M,-59.80M,,,-3.00M,-3.00M,,,,,,,,,,40.70M,57.60M,,89.10M,-24.10M,,,,,,,,,,,
1997-12,4.20M,,,,,,,-1.60M,,,1.50M,0.40M,4.80M,0.40M,4.80M,10.40M,14.50M,,-0.60M,-0.60M,,-4.80M,-69.30M,-74.70M,,,-39.50M,-39.50M,,,,,,,,,,4.80M,61.60M,,,1.30M,,,,,,,,,,,
1997-09,4.60M,,,,,,,-0.80M,,,-8.60M,-3.10M,-1.00M,-3.10M,-1.00M,-8.20M,-13.00M,,-0.20M,-0.20M,,8.30M,-85.70M,-77.60M,,,32.50M,32.50M,,,,,,,,,,62.30M,108.50M,,,17.90M,,,,,,,,,,,
1997-06,4.40M,,,,,,,-0.30M,,,-3.00M,0.10M,-1.00M,0.10M,-1.00M,-1.80M,-0.70M,,-0.20M,-0.20M,,11.20M,-34.90M,-23.90M,,,30.00M,30.00M,,,,,,,,,,-6.50M,50.20M,,,25.60M,,,,,,,,,,,
1997-03,4.00M,,,,,,,-0.60M,,,5.20M,-1.90M,-2.00M,-1.90M,-2.00M,-7.80M,0.80M,,-0.10M,-0.10M,,5.30M,-16.40M,-11.20M,,,,,,,,,,,,,,0.70M,25.40M,,29.30M,15.00M,,,,,,,,,,,
1996-12,3.50M,,,,,,,1.30M,,,-2.50M,-2.60M,3.40M,-2.60M,3.40M,1.60M,3.90M,,-0.70M,-0.70M,,4.70M,-29.70M,-25.70M,,,-10.00M,-10.00M,,,,,,,,,,1.20M,26.90M,,,5.10M,,,,,,,,,,,
1996-09,3.20M,,,,,,,0.70M,,,-1.70M,-0.40M,1.40M,-0.40M,1.40M,2.00M,4.20M,,-0.20M,-0.20M,,-2.80M,-49.60M,-52.60M,,,-10.00M,-10.00M,,,,,,,,,,0.10M,53.00M,,,4.60M,,,,,,,,,,,
1996-06,3.00M,,,,,,,-0.60M,,,3.80M,-2.10M,-0.60M,-2.10M,-0.60M,-5.40M,0.80M,,-0.40M,-0.40M,,0.10M,-100.60M,-100.90M,,,20.00M,20.00M,,,,,,,,,,10.00M,89.50M,,,-10.50M,,,,,,,,,,,
1996-03,2.80M,,,,,,,-0.40M,,,10.70M,-0.10M,-0.50M,-0.10M,-0.50M,-1.20M,11.90M,,-0.10M,-0.10M,,-14.40M,-63.90M,-78.40M,,,-4.00M,-4.00M,,,,,,,,,,15.20M,65.80M,,30.90M,-0.80M,,,,,,,,,,,
1995-12,1.60M,,,,,,,,,,-5.00M,3.10M,4.30M,3.10M,4.30M,14.80M,8.40M,,-0.10M,-0.10M,,0.20M,-57.10M,-57.00M,,,18.00M,18.00M,,,,,,,,,,-4.20M,56.30M,,,7.70M,,,,,,,,,,,
1995-09,1.40M,,,,,,,,,,13.60M,-0.70M,-1.60M,-0.70M,-1.60M,-4.60M,10.40M,,-0.30M,-0.30M,,-3.60M,-32.60M,-36.50M,,,-25.10M,-25.10M,,,,,,,,,,4.00M,25.30M,,,-0.80M,,,,,,,,,,,
1995-06,-3.20M,,,,,,,,,,-1.70M,-3.50M,3.40M,-3.50M,3.40M,-0.20M,-5.10M,,-0.40M,-0.40M,,-4.10M,-42.70M,-47.20M,,,1.10M,1.10M,,,,,,,,,,-0.50M,52.70M,,,0.40M,,,,,,,,,,,
1995-03,1.40M,,,,,,,,,,3.80M,,-1.00M,,-1.00M,-2.00M,3.20M,,-0.40M,-0.40M,,-0.40M,-67.10M,-67.90M,,,10.00M,10.00M,,,,,,,,,,-4.70M,55.90M,,32.40M,-8.80M,,,,,,,,,,,
1994-12,1.60M,,,,,,,0.80M,,,7.80M,-2.50M,-0.80M,-2.50M,-0.80M,-6.60M,3.60M,,-0.60M,-0.60M,,-6.70M,-68.50M,-75.80M,,,0.00,0.00,,,,,,,,,,-118.70M,68.60M,,,-3.70M,,,,,,,,,,,
1994-09,2.50M,,,,,,,0.10M,,,9.20M,-3.20M,-6.10M,-3.20M,-6.10M,-18.60M,-6.80M,,-0.10M,-0.10M,,-6.60M,-89.10M,-95.80M,,,0.00,0.00,,,,,,,,,,303.90M,97.90M,,,-4.70M,,,,,,,,,,,
1994-06,2.50M,,,,,,,1.00M,,,5.40M,-0.20M,8.30M,-0.20M,8.30M,16.20M,25.10M,,-0.30M,-0.30M,,-22.60M,-42.20M,-65.10M,,,-35.00M,-35.00M,,,,,,,,,,-74.70M,48.70M,,,8.70M,,,,,,,,,,,
1994-03,0.70M,,,,,,,-0.60M,,,-1.30M,-0.20M,-4.40M,-0.20M,-4.40M,-9.20M,-10.40M,,-0.40M,-0.40M,,-2.90M,-64.30M,-67.60M,,,12.60M,12.60M,,,,,,,,,,1.20M,71.30M,,38.80M,-6.70M,,,,,,,,,,,
1993-12,3.40M,,,,,,,-0.10M,,,-6.50M,-1.90M,4.40M,-1.90M,4.40M,5.00M,1.80M,,-0.50M,-0.50M,,-29.00M,-68.70M,-98.20M,,,,,,,,,,,,,,-75.80M,68.10M,,,-28.30M,,,,,,,,,,,
1993-09,3.40M,,,,,,,1.10M,,,12.70M,-2.70M,0.30M,-2.70M,0.30M,-4.80M,12.40M,,-0.20M,-0.20M,,-22.90M,-14.30M,-37.40M,,,,,,,,,,,,,,36.10M,46.90M,,,21.80M,,,,,,,,,,,
1993-06,2.70M,,,,,,,0.40M,,,-0.30M,-0.70M,0.50M,-0.70M,0.50M,-0.40M,2.40M,,-0.90M,-0.90M,,19.20M,-69.20M,-50.90M,,,,,,,,,,,,,,100.30M,46.90M,,,-1.50M,,,,,,,,,,,
1993-03,2.90M,,,,,,,-0.70M,,,-29.00M,0.90M,0.30M,0.90M,0.30M,2.40M,-24.40M,,-0.10M,-0.10M,,-4.70M,-26.50M,-31.30M,,,,,,,,,,,,,,-54.90M,4.20M,,98.30M,-51.50M,,,,,,,,,,,
1992-12,2.40M,,,,,,,1.70M,,,17.20M,0.20M,-0.90M,0.20M,-0.90M,-1.40M,19.90M,,0.40M,0.40M,,14.60M,-31.90M,-16.90M,,,0.00,0.00,,,,,,,,,,21.70M,23.00M,,,26.10M,,,,,,,,,,,
1992-09,3.40M,,,,,,,0.00,,,-21.60M,1.40M,0.20M,1.40M,0.20M,3.20M,-15.00M,,-0.20M,-0.20M,,-27.00M,-13.20M,-40.40M,,,60.00M,60.00M,,,,,,,,,,-67.90M,66.10M,,,10.80M,,,,,,,,,,,
1992-06,3.30M,,,,,,,-1.30M,,,10.00M,-1.90M,0.80M,-1.90M,0.80M,-2.20M,9.80M,,0.00,0.00,,0.70M,-76.80M,-76.10M,,,58.70M,58.70M,,,,,,,,,,155.70M,97.60M,,,31.20M,,,,,,,,,,,
1992-03,2.70M,,,,,,,-0.20M,,,14.30M,-0.70M,-0.10M,-0.70M,-0.10M,-1.60M,15.20M,,-0.20M,-0.20M,,-0.50M,-100.20M,-100.90M,,,34.40M,34.40M,,,,,,,,,,-67.20M,101.70M,,14.20M,16.00M,,,,,,,,,,,
1991-12,2.30M,-0.10M,-0.10M,,,,,-1.10M,,,-17.00M,0.10M,0.60M,0.10M,0.60M,1.40M,-14.50M,,-0.30M,-0.30M,,10.80M,-75.80M,-65.30M,,,44.10M,44.10M,,,,,,,,,,-260.10M,84.30M,,,4.70M,,,,,,,,,,,
1991-09,2.00M,0.00,0.00,,,,,-0.30M,,,3.00M,-0.40M,-0.90M,-0.40M,-0.90M,-2.60M,2.10M,,-0.20M,-0.20M,,2.40M,-70.20M,-68.00M,,,0.70M,0.70M,,,,,,,,,,35.00M,64.60M,,,-1.40M,,,,,,,,,,,
1991-06,1.70M,0.00,0.00,,,,,-0.80M,,,1.10M,0.70M,0.30M,0.70M,0.30M,2.00M,4.00M,,-0.10M,-0.10M,,0.10M,-63.90M,-63.90M,,,-50.90M,-50.90M,,,,,,,,,,86.10M,42.50M,,,-17.40M,,,,,,,,,,,
1991-03,1.50M,0.50M,0.50M,,,,,-0.10M,,,5.20M,-2.70M,-1.30M,-2.70M,-1.30M,-8.00M,-0.90M,,-0.10M,-0.10M,,12.10M,-32.10M,-20.10M,,,24.50M,24.50M,,,,,,,,,,-7.70M,27.30M,,22.00M,6.30M,,,,,,,,,,,
1990-12,1.30M,0.00,0.00,,,,,,,,4.10M,-1.70M,-0.80M,-1.70M,-0.80M,-5.00M,-0.70M,,-0.70M,-0.70M,,1.40M,-52.60M,-51.90M,,,-47.00M,-47.00M,,,0.00,,0.00,,,,,77.80M,36.70M,,,-15.80M,,,0.00,,,,,,,,
1990-09,1.20M,0.10M,0.10M,,,,,,,,-3.00M,-1.90M,5.90M,-1.90M,5.90M,8.00M,6.30M,,-0.40M,-0.40M,,-6.00M,-63.00M,-69.40M,,,36.80M,36.80M,,,-0.10M,,-0.10M,,,,,-20.30M,47.40M,,,-15.80M,,,-0.10M,,,,,,,,
1990-06,1.00M,0.10M,0.10M,,,,,,,,2.10M,-0.80M,-1.70M,-0.80M,-1.70M,-5.00M,-1.80M,,-0.30M,-0.30M,,-14.70M,-40.30M,-55.30M,,,12.20M,12.20M,,,4.00M,,4.00M,,,,,37.30M,63.30M,,,6.30M,,,4.00M,,,,,,,,
1990-03,0.30M,,,,,,,,,,1.30M,-0.60M,0.20M,-0.60M,0.20M,-0.80M,0.80M,,-0.40M,-0.40M,,8.50M,-33.30M,-25.20M,,,-1.20M,-1.20M,,,,,,,,,,-11.90M,34.10M,,37.80M,9.60M,,,,,,,,,,,
