,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1998-12,,48.80M,245.10M,293.90M,,,,,341.00M,,,,,,,,9.40M,,,,2.583B,20.60M,-1.30M,2.562B,245.10M,,2.858B,2.954B,,15.30M,15.30M,15.30M,216.20M,216.20M,216.20M,231.50M,802.40M,,802.40M,1.744B,,,2.547B,2.786B,,,90.70M,,,,,168.50M,,,
1998-09,,35.00M,158.20M,193.20M,16.10M,,16.10M,,245.70M,,,,,,,,7.90M,,,,2.296B,20.80M,-1.60M,2.273B,158.20M,,2.464B,2.552B,,12.50M,12.50M,12.50M,0.50M,0.50M,0.50M,13.00M,755.50M,,755.50M,1.606B,,,2.361B,2.385B,,,85.50M,,,,,166.60M,,,
1998-06,,53.80M,143.10M,196.90M,15.90M,,15.90M,,248.60M,,,,,,,,5.70M,,,,2.249B,20.50M,-2.00M,2.226B,143.10M,,2.40B,2.506B,,15.50M,15.50M,15.50M,35.00M,35.00M,35.00M,50.50M,731.00M,,731.00M,1.551B,,,2.282B,2.339B,,,80.20M,,,,,166.50M,,,
1998-03,,65.10M,142.90M,208.00M,15.10M,,15.10M,,258.30M,,,,,,,,5.40M,,,,2.212B,19.20M,2.10M,2.195B,142.90M,,2.37B,2.485B,,13.40M,13.40M,13.40M,20.00M,20.00M,20.00M,33.40M,744.20M,,744.20M,1.534B,,,2.279B,2.322B,,,75.30M,,,,,163.50M,,,
1997-12,,89.10M,138.60M,227.70M,,,,,262.40M,,,,,,,,4.40M,,,,2.140B,19.20M,-2.20M,2.118B,138.60M,,2.299B,2.423B,,16.30M,16.30M,16.30M,23.00M,23.00M,23.00M,39.30M,700.30M,,700.30M,1.514B,,,2.215B,2.263B,,,70.30M,,,,,160.20M,,,
1997-09,,87.80M,133.70M,221.50M,14.80M,,14.80M,,270.50M,,,,,,,,4.10M,,,,2.067B,18.90M,2.40M,2.050B,133.70M,,2.214B,2.351B,,13.30M,13.30M,13.30M,,,,13.30M,753.90M,,753.90M,1.418B,,,2.172B,2.193B,,,66.10M,,,,,158.50M,,,
1997-06,,69.90M,141.80M,211.70M,,,,,245.40M,,,,,,,,4.20M,,,,1.974B,18.50M,3.00M,1.959B,141.80M,,2.134B,2.238B,,14.00M,14.00M,14.00M,,,,14.00M,651.50M,,651.50M,1.405B,,,2.056B,2.077B,,,61.50M,,,,,160.60M,,,
1997-03,,44.30M,152.80M,197.10M,,,,,230.30M,,,,,,,,4.30M,,,,1.939B,18.40M,-3.20M,1.918B,152.80M,,2.106B,2.184B,,12.70M,12.70M,12.70M,,,,12.70M,621.60M,,621.60M,1.378B,,,2.000B,2.022B,,,57.10M,,,,,161.90M,,,
1996-12,,29.30M,156.60M,185.90M,,,,,218.50M,,,,,,,,4.50M,,,,1.923B,17.50M,-3.10M,1.903B,156.60M,,2.095B,2.157B,,14.60M,14.60M,14.60M,,,,14.60M,652.40M,,652.40M,1.353B,,,2.006B,2.030B,,,53.10M,,,,,126.40M,,,
1996-09,,24.40M,157.90M,182.30M,13.60M,,13.60M,,228.00M,,,,,,,,4.10M,,,,1.885B,18.30M,-3.30M,1.863B,157.90M,,2.052B,2.122B,,13.10M,13.10M,13.10M,601.50M,601.50M,601.50M,614.60M,64.00M,,64.00M,1.318B,,,1.382B,2.004B,,,49.70M,,,,,118.10M,,,
1996-06,,19.80M,155.10M,174.90M,13.30M,,13.30M,,219.30M,,,,,,,,4.20M,,,,1.834B,19.30M,-3.30M,1.812B,155.10M,,2.00B,2.064B,,14.00M,14.00M,14.00M,611.50M,611.50M,611.50M,625.50M,64.00M,,64.00M,1.254B,,,1.318B,1.950B,,,46.40M,,,,,114.50M,,,
1996-03,,30.40M,155.60M,186.00M,13.20M,,13.20M,,229.90M,,,,,,,,4.00M,,,,1.731B,18.90M,-3.70M,1.709B,155.60M,,1.898B,1.973B,,13.60M,13.60M,13.60M,581.50M,581.50M,581.50M,595.10M,64.00M,,64.00M,1.195B,,,1.259B,1.861B,,,43.40M,,,,,111.50M,,,
1995-12,,31.10M,140.90M,172.00M,,,,,202.30M,,,,,,,,4.20M,,,,1.682B,18.10M,-4.40M,1.660B,140.90M,,1.843B,1.904B,,14.80M,14.80M,14.80M,570.50M,570.50M,570.50M,585.30M,64.10M,,64.10M,1.140B,,,1.204B,1.796B,,,40.60M,,,,,108.30M,,,
1995-09,,23.20M,141.70M,164.90M,12.20M,,12.20M,,207.00M,,,,,,,,4.40M,,,,1.626B,17.50M,-5.50M,1.604B,141.70M,,1.777B,1.842B,,13.30M,13.30M,13.30M,556.50M,556.50M,556.50M,569.80M,64.30M,,64.30M,1.098B,,,1.162B,1.735B,,,39.00M,,,,,107.10M,,,
1995-06,,24.20M,137.60M,161.80M,11.20M,,11.20M,,202.60M,,,,,,,,4.30M,,,,1.604B,16.90M,-6.40M,1.581B,137.60M,,1.752B,1.817B,,14.10M,14.10M,14.10M,566.50M,566.50M,566.50M,580.60M,75.60M,,75.60M,1.052B,,,1.127B,1.712B,,,37.70M,,,,,105.30M,,,
1995-03,,23.80M,131.50M,155.30M,10.90M,,10.90M,,195.10M,,,,,,,,4.20M,,,,1.560B,14.40M,-6.00M,1.539B,131.50M,,1.700B,1.764B,,12.10M,12.10M,12.10M,576.50M,576.50M,576.50M,588.60M,64.70M,,64.70M,999.40M,,,1.064B,1.655B,,,40.80M,,,,,108.30M,,,
1994-12,,32.60M,129.60M,162.20M,10.20M,,10.20M,,200.90M,,,,,,,,4.10M,,,,1.499B,14.40M,-6.80M,1.478B,129.60M,,1.636B,1.707B,,12.30M,12.30M,12.30M,570.50M,570.50M,570.50M,582.80M,64.90M,,64.90M,948.80M,,,1.014B,1.60B,,,39.40M,,,,,107.30M,,,
1994-09,,36.40M,125.50M,161.90M,9.70M,,9.70M,,171.60M,,,,,,,,11.00M,,,,1.435B,14.30M,-7.50M,1.413B,125.50M,,1.593B,1.639B,,9.80M,9.80M,9.80M,,,,9.80M,610.20M,,610.20M,902.30M,,,1.512B,1.528B,,,37.90M,,,,,110.30M,,,
1994-06,,42.20M,107.70M,149.90M,9.00M,,9.00M,,184.10M,,,,,,,,4.00M,,,,1.358B,15.50M,-8.30M,1.335B,107.70M,,1.468B,1.545B,,7.50M,7.50M,7.50M,493.50M,493.50M,493.50M,501.00M,63.90M,,63.90M,857.20M,,,921.10M,1.436B,,,35.30M,,,,,108.30M,,,
1994-03,,32.50M,81.90M,114.40M,9.20M,,9.20M,,148.30M,,,,,,,,3.90M,,,,1.333B,16.70M,-8.10M,1.308B,81.90M,,1.418B,1.484B,,7.90M,7.90M,7.90M,493.50M,493.50M,493.50M,501.40M,63.20M,,63.20M,809.20M,,,872.40M,1.378B,,,32.80M,,,,,105.80M,,,
1993-12,,39.40M,84.20M,123.60M,8.10M,,8.10M,,154.60M,,,,,,,,3.70M,,,,1.256B,12.70M,-9.40M,1.234B,84.20M,,1.347B,1.417B,,8.10M,8.10M,8.10M,468.50M,468.50M,468.50M,476.60M,74.60M,,74.60M,751.70M,,,826.30M,1.312B,,,35.30M,,,,,104.90M,,,
1993-09,,67.70M,76.90M,144.60M,8.90M,,8.90M,,153.50M,,,,,,,,3.40M,,,,1.155B,12.80M,10.50M,1.153B,76.90M,,1.265B,1.342B,,7.50M,7.50M,7.50M,423.50M,423.50M,423.50M,431.00M,60.20M,,60.20M,742.80M,,,803.00M,1.240B,,,34.80M,,,,,101.70M,,,
1993-06,,46.00M,75.00M,121.00M,7.90M,,7.90M,,128.90M,,,,,,,,3.30M,,,,1.154B,13.00M,-11.10M,1.13B,75.00M,,1.236B,1.290B,,7.20M,7.20M,7.20M,1.40M,1.40M,1.40M,417.10M,56.50M,,56.50M,713.40M,,,769.90M,1.192B,,,31.40M,,,,,98.00M,,,
1993-03,,47.50M,68.70M,116.20M,8.60M,,8.60M,,124.80M,,,,,,,,2.60M,,,,1.117B,13.00M,-11.80M,1.092B,68.70M,,1.183B,1.239B,,7.30M,7.30M,7.30M,1.60M,1.60M,1.60M,392.40M,55.00M,,55.00M,692.90M,,,747.90M,1.144B,,,28.70M,,,,,95.20M,,,
1992-12,,99.00M,59.30M,158.30M,8.30M,,8.30M,,166.60M,,,,,,,,2.60M,,,,1.068B,12.70M,-12.60M,1.042B,59.30M,,1.125B,1.232B,,,,,373.50M,373.50M,373.50M,373.50M,58.50M,,58.50M,698.80M,,,757.30M,1.140B,,,25.80M,,,,,92.10M,,,
1992-09,,73.00M,71.10M,144.10M,8.70M,,8.70M,,152.80M,,,,,,,,2.40M,,,,1.058B,12.30M,-13.50M,1.033B,71.10M,,1.125B,1.206B,,,,,373.50M,373.50M,373.50M,373.50M,35.00M,,35.00M,697.50M,,,732.50M,1.117B,,,23.40M,,,,,89.70M,,,
1992-06,,62.30M,43.90M,106.20M,9.00M,,9.00M,,115.20M,,,,,,,,2.40M,,,,993.80M,11.90M,13.80M,995.70M,43.90M,,1.065B,1.137B,,7.30M,7.30M,7.30M,315.20M,315.20M,315.20M,322.50M,35.10M,,35.10M,691.50M,,,726.60M,1.050B,,,20.00M,,,,,86.10M,,,
1992-03,,31.10M,47.50M,78.60M,9.30M,,9.30M,,87.90M,,,,,,,,2.50M,,,,961.30M,12.70M,-13.50M,935.10M,47.50M,,995.70M,1.036B,,,,,243.50M,243.50M,243.50M,243.50M,46.50M,,46.50M,652.40M,,,698.90M,953.30M,,,16.70M,,,,,82.80M,,,
1991-12,,15.30M,46.70M,62.00M,8.80M,,8.80M,,70.80M,,,,,,,,2.40M,,,,848.50M,11.70M,11.60M,848.40M,46.70M,,908.00M,932.10M,,5.30M,5.30M,5.30M,2.20M,2.20M,2.20M,222.50M,38.80M,,38.80M,605.80M,,,644.60M,872.80M,,,14.00M,,,,,59.30M,,,
1991-09,,11.20M,58.00M,69.20M,8.30M,,8.30M,,77.50M,,,,,,,,2.30M,,0.10M,0.10M,772.00M,9.70M,-10.00M,752.30M,58.00M,,827.60M,847.10M,,,,,176.40M,176.40M,176.40M,176.40M,29.50M,,29.50M,585.00M,,,614.50M,799.70M,,,11.80M,,,,,47.40M,,,
1991-06,,12.60M,60.30M,72.90M,7.70M,,7.70M,,80.60M,,,,,,,,2.30M,,0.10M,0.10M,699.60M,7.80M,-8.10M,683.70M,60.30M,,757.60M,777.90M,,,,,140.70M,140.70M,140.70M,140.70M,25.70M,,25.70M,556.10M,,,581.80M,732.50M,,,9.90M,,,,,45.40M,,,
1991-03,,30.20M,60.20M,90.40M,7.70M,,7.70M,,98.10M,,,,,,,,2.40M,,0.10M,0.10M,632.70M,6.30M,-4.70M,621.70M,60.20M,,696.10M,734.00M,,,,,114.00M,114.00M,114.00M,114.00M,25.90M,,25.90M,548.80M,,,574.70M,701.40M,,,8.30M,,,,,32.60M,,,
1990-12,,24.20M,71.90M,96.10M,6.50M,,6.50M,,102.60M,,,,,,,,2.40M,,0.10M,0.10M,600.50M,5.30M,-4.60M,590.60M,71.90M,,675.50M,706.20M,,,,,30.50M,30.50M,30.50M,30.50M,92.60M,,92.60M,538.30M,,,630.90M,675.60M,,,6.90M,,,,,30.60M,,,
1990-09,,41.00M,72.20M,113.20M,6.20M,,6.20M,,119.40M,,,,,,,,1.90M,,0.10M,0.10M,547.80M,3.90M,-4.20M,539.70M,72.20M,,622.80M,670.00M,,,,,49.00M,49.00M,49.00M,49.00M,43.30M,,43.30M,532.40M,,,575.70M,640.80M,,,5.70M,,,,,29.20M,,,
1990-06,,56.70M,66.30M,123.00M,5.60M,,5.60M,,128.60M,,,,,,,,1.60M,,0.20M,0.20M,483.40M,3.00M,-2.90M,477.50M,66.30M,,553.20M,615.50M,,,,,12.20M,12.20M,12.20M,12.20M,63.70M,,63.70M,501.40M,,,565.10M,587.30M,,,4.60M,,,,,28.20M,,,
1990-03,,49.30M,52.30M,101.60M,5.10M,,5.10M,,106.70M,,,,,,,,1.50M,,0.20M,0.20M,442.70M,2.80M,-2.60M,437.30M,52.30M,,498.50M,552.90M,,,,,,,,,26.40M,,26.40M,491.60M,,,518.00M,529.80M,,,3.60M,,,,,23.10M,,,
1989-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.80M,,,,,,,,,24.20M,,24.20M,,,,24.20M,343.00M,,,2.20M,,,,,20.80M,,,
1989-09,,27.90M,70.60M,98.50M,4.30M,,4.30M,,102.80M,,,,,,,,1.40M,,0.20M,0.20M,354.30M,2.00M,-1.70M,350.60M,70.60M,,429.90M,462.10M,,,,,5.30M,5.30M,5.30M,5.30M,24.00M,,24.00M,400.00M,,,424.00M,439.60M,,,2.90M,,,,,22.50M,,,
1988-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.80M,,,,,,,,,24.20M,,24.20M,,,,24.20M,343.00M,,,2.20M,,,,,20.80M,,,
1987-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.10M,,,,,,,,,13.20M,,13.20M,,,,13.20M,163.60M,,,1.20M,,,,,20.50M,,,
1986-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.80M,,,,,,,,,8.30M,,8.30M,,,,8.30M,124.90M,,,0.60M,,,,,15.90M,,,
1985-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.80M,,,,,,,,,5.00M,,5.00M,,,,5.00M,55.40M,,,,,,,,8.40M,,,
