,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-12,168.15M,,,209.66M,54.87M,54.87M,-11.79M,,,,-198.10M,101.96M,125.13M,,-35.10M,,52.28M,244.27M,467.06M,-45.55M,,-42.84M,,0.00,,,-42.84M,,,-233.46M,4.719M,-110.57M,-105.85M,,-57.51M,,1.881M,-394.94M,37.90M,29.28M,,67.18M,4.719M,,,-110.57M,,
2005-09,114.15M,,,-113.22M,65.20M,65.20M,79.84M,,,,4.411M,-344.57M,77.35M,,26.89M,,65.10M,-175.23M,-24.84M,-48.13M,,-48.13M,,-47.07M,,,-95.20M,,,341.33M,6.984M,-158.80M,-151.81M,,-58.35M,,2.06M,133.23M,24.71M,13.19M,,37.90M,6.984M,,,-158.80M,,
2005-06,93.22M,,,-49.28M,48.71M,48.71M,1.945M,,,,4.479M,-6.989M,-192.30M,,5.758M,,-47.96M,-241.49M,-142.41M,-68.39M,,-68.39M,,,,,-68.39M,,,252.40M,13.24M,-0.001M,13.24M,,-52.61M,,4.422M,217.45M,18.06M,6.652M,,24.71M,13.24M,,,-0.001M,,
2005-03,113.02M,,,-47.16M,49.25M,49.25M,1.041M,,,,,118.94M,-70.24M,,19.16M,,-22.05M,45.80M,161.96M,-32.24M,,-32.24M,,,,,-32.24M,,,85.38M,56.69M,-267.63M,-210.94M,,-52.76M,,11.82M,-166.50M,54.84M,-36.78M,,18.06M,56.69M,,,-267.63M,,
2004-12,154.04M,,,,48.55M,48.55M,-15.82M,,,,,109.16M,91.80M,,-33.93M,,59.85M,226.87M,424.34M,-51.09M,,-51.09M,,,,10.89M,-207.06M,,,-219.08M,12.54M,-81.93M,-69.40M,,-52.98M,,91.63M,-249.82M,87.39M,-32.55M,,54.84M,12.54M,,,-81.93M,,
2004-09,166.23M,,,,47.14M,47.14M,16.37M,,,,,-227.54M,69.45M,,-5.932M,,152.15M,-11.87M,217.87M,-38.36M,,-38.36M,,,,-2.40M,-40.76M,,,462.43M,11.60M,-521.39M,-509.80M,,-52.91M,,-8.921M,-109.20M,19.48M,67.91M,,87.39M,11.60M,,,-521.39M,,
2004-06,147.22M,,,,46.96M,46.96M,-75.22M,,,,,16.79M,-191.68M,,7.523M,,-43.28M,-210.64M,-91.69M,-46.10M,,-46.10M,,,,-3.291M,-49.39M,,,71.18M,19.77M,-75.42M,-55.65M,,-49.78M,,-40.57M,-74.82M,235.37M,-215.90M,,19.48M,19.77M,,,-75.42M,,
2004-03,107.15M,,,,47.02M,47.02M,0.101M,,,,,134.16M,-16.97M,,21.08M,,-55.31M,82.97M,237.24M,-60.33M,,-60.33M,,,,-5.195M,-65.53M,,,15.83M,35.73M,-20.17M,15.57M,,-50.08M,,-32.44M,-51.13M,114.79M,120.58M,,235.37M,35.73M,,,-20.17M,,
2003-12,144.94M,,,5.663M,46.72M,46.72M,45.28M,,,,,130.06M,70.06M,,14.76M,,46.75M,261.62M,504.22M,-87.84M,0.00,-87.84M,,,,-5.272M,-93.11M,,,-226.82M,17.90M,-30.18M,-12.28M,,-50.14M,,-36.92M,-326.16M,29.84M,84.95M,,114.79M,17.90M,,,-30.18M,,
2003-09,143.60M,,,7.602M,45.78M,45.78M,-17.16M,,,,,-307.29M,69.68M,,-16.83M,,37.78M,-216.66M,-36.84M,-51.89M,20.05M,-31.84M,,,,-5.111M,-36.95M,,,188.52M,7.807M,-47.02M,-39.22M,,-50.32M,,-14.05M,84.94M,18.70M,11.15M,,29.84M,7.807M,,,-47.02M,,
2003-06,71.48M,,,3.885M,44.27M,44.27M,5.039M,,,,,65.62M,-130.35M,,12.56M,,-84.58M,-136.74M,-12.06M,-42.32M,,-42.32M,,,,-4.591M,-46.91M,,,24.83M,20.30M,-65.08M,-44.78M,,-41.74M,,-4.722M,-66.41M,144.08M,-125.38M,,18.70M,20.30M,,,-65.08M,,
2003-03,97.56M,,,,43.80M,43.80M,5.735M,,,,,74.97M,-0.294M,,-2.778M,,-81.37M,-9.469M,137.62M,-36.60M,,-36.60M,,,,-3.43M,-40.03M,,,-1.073M,9.109M,-187.15M,-178.04M,,-42.48M,,-29.66M,-251.26M,297.74M,-153.67M,,144.08M,9.109M,,,-187.15M,,
2002-12,130.32M,,,2.235M,40.45M,40.45M,140.20M,,,,,305.87M,84.04M,,-7.10M,,-243.48M,139.33M,452.54M,-58.28M,0.00,-58.28M,,,,-33.78M,-92.06M,,,2.848M,2.163M,,-82.03M,,-43.02M,,-60.39M,-182.60M,119.86M,177.88M,,297.74M,2.163M,,,,,
2002-09,123.06M,,,8.536M,46.43M,46.43M,4.322M,,,,,-397.30M,51.26M,,-2.651M,,188.41M,-160.28M,22.08M,-25.73M,0.00,-25.73M,,,,9.008M,-16.72M,,,0.256M,21.72M,,21.72M,,-43.89M,,-48.38M,-70.28M,184.79M,-64.93M,,119.86M,21.72M,,,,,
2002-06,63.15M,,,5.04M,45.39M,45.39M,-22.60M,,,,,12.68M,-82.34M,,-28.07M,,36.65M,-61.08M,29.90M,-31.31M,12.00M,-19.31M,,,,-4.372M,-23.69M,,,-8.074M,7.034M,,7.034M,,-40.41M,,0.00,-41.45M,220.03M,-35.24M,,184.79M,7.034M,,,,,
2002-03,87.04M,,,5.698M,45.63M,45.63M,15.89M,,,,,69.50M,-44.12M,,29.28M,,-88.10M,-33.44M,120.82M,-17.40M,,-17.40M,,,,17.31M,-0.098M,,,-0.174M,55.57M,,55.57M,,-40.50M,,-49.74M,-34.85M,134.15M,85.88M,,220.03M,55.57M,,,,,
2001-12,-44.95M,,,224.95M,48.80M,48.80M,-59.76M,,,,,186.68M,222.06M,,-29.95M,,-170.21M,246.66M,415.70M,-45.50M,,14.40M,,0.064M,,-6.703M,-55.84M,,,-230.42M,8.701M,0.00,8.701M,,-40.15M,,-13.01M,-274.89M,49.17M,84.98M,,134.15M,8.701M,,,0.00,,
2001-09,120.76M,,,-1.103M,47.50M,47.50M,7.152M,,,,,-291.89M,82.58M,,7.132M,,130.34M,-71.84M,102.46M,-36.02M,,-36.02M,,-17.14M,,9.248M,19.68M,,,-40.86M,2.665M,-10.72M,-8.056M,,-40.06M,,-5.072M,-94.05M,21.07M,28.10M,,49.17M,2.665M,,,-10.72M,,
2001-06,52.44M,,,,47.33M,47.33M,7.404M,,,,,52.00M,-164.80M,,7.93M,,-64.94M,-169.81M,-62.64M,-46.55M,,-46.55M,,,,-19.20M,-65.76M,,,228.32M,3.71M,-29.60M,-25.89M,,-37.16M,,-42.05M,123.21M,26.25M,-5.183M,,21.07M,3.71M,,,-29.60M,,
2001-03,78.91M,,,,46.88M,46.88M,-4.141M,,,,,71.16M,-45.43M,,-1.296M,,104.81M,129.24M,250.88M,-32.03M,,-32.03M,,,,9.954M,-22.08M,,,-208.07M,15.13M,,15.13M,,-37.38M,,-4.203M,-234.52M,31.97M,-5.715M,,26.25M,15.13M,,,,,
2000-12,115.96M,,,,44.84M,44.84M,5.483M,,,,,185.57M,75.68M,,8.161M,-31.05M,,238.37M,404.65M,-37.71M,,-37.71M,,,,8.126M,-164.58M,,,-200.67M,18.80M,0.00,18.80M,,-37.38M,,-33.16M,-252.41M,44.31M,-12.34M,,31.97M,18.80M,,,0.00,,
2000-09,107.40M,,,,44.22M,44.22M,-8.607M,,,,,-303.97M,80.76M,,3.587M,-59.23M,70.00M,-208.86M,-65.84M,-38.64M,,-38.64M,,,,3.087M,-35.55M,,,180.49M,0.871M,-26.82M,-25.94M,,-37.40M,,-6.649M,110.50M,35.20M,9.11M,,44.31M,0.871M,,,-26.82M,,
2000-06,40.00M,,,,43.69M,43.69M,-2.017M,,,,,52.18M,-111.84M,,43.51M,-15.43M,-70.00M,-101.57M,-19.90M,-31.94M,,-31.94M,,,,-2.19M,-34.13M,,,100.71M,4.05M,-17.77M,-13.72M,,-34.94M,,-9.379M,42.67M,46.56M,-11.36M,,35.20M,4.05M,,,-17.77M,,
2000-03,71.18M,,,,43.20M,43.20M,-11.26M,,,,,39.28M,-16.57M,,-47.98M,15.43M,,-9.835M,93.29M,-30.04M,,-30.04M,,,,-7.503M,-37.55M,,,-34.72M,0.658M,-55.34M,-54.68M,,-35.18M,,-2.67M,-127.26M,118.08M,-71.52M,,46.56M,0.658M,,,-55.34M,,
1999-12,98.00M,,,0.00,41.70M,41.70M,-17.60M,,,,-0.10M,155.50M,9.40M,,5.10M,-55.20M,34.20M,149.00M,271.00M,-24.20M,0.00,-24.20M,,,,6.90M,-17.30M,,,-136.80M,1.40M,-7.70M,-6.30M,,-35.20M,,-0.20M,-178.50M,42.90M,75.20M,,118.10M,1.40M,,,-7.70M,,
1999-09,87.60M,,,0.00,41.80M,41.80M,18.80M,,,,-0.20M,-220.40M,42.90M,,24.40M,107.40M,-34.20M,-79.90M,68.10M,-35.90M,0.00,-35.90M,,,,-3.60M,-39.50M,,,73.90M,2.40M,-58.30M,-55.90M,,-35.40M,,0.00,-17.40M,31.70M,11.20M,,42.90M,2.40M,,,-58.30M,,
1999-06,50.00M,,,0.00,39.30M,39.30M,-2.30M,,,,36.70M,-66.20M,-88.70M,,-12.00M,-107.40M,,-274.30M,-150.60M,-26.50M,450.00M,423.50M,,,,-457.90M,-34.40M,,,207.30M,1.80M,-15.00M,-13.20M,,-32.90M,,0.10M,161.30M,55.40M,-23.70M,,31.70M,1.80M,,,-15.00M,,
1999-03,224.70M,,,-165.00M,40.50M,40.50M,-7.20M,,,,-36.50M,209.00M,-100.10M,,-26.20M,,,82.70M,139.20M,-28.80M,,-28.80M,,,,442.70M,413.90M,,,-279.80M,13.30M,-237.00M,-223.70M,,-33.20M,,,-536.70M,39.00M,16.40M,,55.40M,13.30M,,,-237.00M,,
1998-12,110.00M,,,,41.70M,41.70M,78.60M,,,,30.70M,-17.30M,79.70M,,22.60M,-124.10M,,-39.10M,221.90M,-43.80M,,-43.80M,,,,-9.70M,-53.50M,,,-133.00M,3.40M,-6.30M,-2.90M,,-33.60M,,0.00,-169.50M,0.00,-1.10M,,39.00M,3.40M,,,-6.30M,,
1998-09,107.50M,,,,39.30M,39.30M,1.50M,,,,-29.90M,-203.60M,50.70M,,33.60M,59.20M,,-60.10M,58.30M,-39.70M,,-39.70M,,,,-12.60M,-52.30M,,,42.10M,2.20M,-9.90M,-7.70M,,-33.70M,,-0.10M,0.60M,33.60M,6.60M,,0.00,2.20M,,,-9.90M,,
1998-06,48.00M,,,,39.30M,39.30M,0.90M,,,,-0.20M,48.90M,-91.50M,,-30.60M,-25.80M,,-99.00M,-11.00M,-28.30M,,-28.30M,,,,-20.50M,-48.80M,,,71.80M,3.30M,,3.30M,,-30.80M,,-10.60M,33.70M,0.00,-26.10M,,33.60M,3.30M,,,,,
