,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-03,152.88M,,152.88M,298.67M,298.67M,279.63M,103.60M,367.08M,619.41M,118.12M,73.54M,,1.263B,,,,,,,3.558B,-2.047B,1.511B,582.33M,168.46M,750.78M,,,542.96M,2.804B,4.067B,231.98M,,231.98M,489.97M,721.95M,,,,,479.04M,,479.04M,,,,1.201B,1.529B,,1.529B,178.80M,178.80M,,43.94M,,523.41M,2.231B,3.432B,359.90M,3.925B,327.54M,4.004B,40.93M,-57.65M,-16.72M,591.19M
2007-12,129.20M,,129.20M,487.28M,487.28M,199.46M,80.28M,407.06M,600.18M,126.24M,83.67M,,1.427B,0.0,86.60M,788.27M,2.732B,,,3.606B,-2.067B,1.540B,584.71M,155.86M,740.58M,,0.00,540.25M,2.821B,4.247B,223.02M,,223.02M,539.36M,762.38M,,,,,856.39M,,856.39M,,,,1.619B,1.280B,,1.280B,180.84M,180.84M,,30.60M,,544.02M,2.005B,3.624B,359.90M,3.927B,335.26M,4.002B,,,-27.98M,592.92M
2007-09,41.57M,,41.57M,638.31M,638.31M,240.61M,111.01M,503.91M,775.38M,145.43M,58.07M,,1.659B,,,,,,,3.698B,-2.148B,1.550B,601.02M,150.14M,751.15M,,,495.31M,2.797B,4.456B,252.28M,,252.28M,487.26M,739.53M,1.101B,,,,1.101B,,1.101B,,,,1.841B,1.272B,,1.272B,171.54M,171.54M,,16.28M,,616.10M,2.059B,3.900B,359.90M,3.939B,330.89M,4.001B,44.02M,-133.44M,-89.42M,539.35M
2007-06,38.82M,,38.82M,378.18M,378.18M,252.77M,116.60M,524.62M,813.84M,138.83M,55.98M,,1.426B,,,,,,,3.689B,-2.101B,1.588B,508.85M,234.55M,743.40M,,,510.04M,2.842B,4.267B,248.10M,,248.10M,426.93M,675.03M,,,,,940.93M,,940.93M,,,,1.616B,1.273B,,1.273B,200.95M,200.95M,,16.38M,,590.14M,2.064B,3.680B,359.90M,3.942B,324.04M,3.951B,27.28M,-130.09M,-102.81M,571.30M
2007-03,60.48M,,60.48M,405.91M,405.91M,235.90M,107.06M,401.90M,664.70M,89.50M,59.65M,,1.280B,,,,,,,3.616B,-2.005B,1.611B,502.82M,139.28M,642.10M,,,470.87M,2.724B,4.005B,198.15M,,198.15M,444.33M,642.48M,,,,,722.60M,,722.60M,,,,1.365B,1.248B,,1.248B,230.74M,230.74M,,,,539.88M,2.019B,3.384B,359.90M,3.998B,311.88M,3.920B,2.569M,-131.57M,-129.00M,620.70M
2006-12,97.14M,,97.14M,522.67M,522.67M,214.34M,94.74M,418.25M,648.82M,87.82M,61.36M,,1.418B,0.0,86.73M,746.20M,2.765B,,,3.598B,-1.946B,1.651B,501.96M,140.31M,642.27M,,,446.18M,2.740B,4.158B,155.52M,,155.52M,454.02M,609.54M,,,,,844.00M,,844.00M,,,,1.454B,1.248B,,1.248B,286.00M,286.00M,,,,486.47M,2.021B,3.474B,359.90M,3.965B,298.24M,3.802B,-0.035M,-138.15M,-138.19M,683.42M
2006-09,47.64M,,47.64M,720.86M,720.86M,260.04M,98.84M,486.85M,767.75M,97.35M,66.84M,,1.700B,,,,,,,3.563B,-1.923B,1.640B,490.22M,139.56M,629.78M,,,589.35M,2.859B,4.559B,163.96M,,163.96M,463.82M,627.77M,,,,,1.029B,,1.029B,,,,1.657B,1.255B,,1.255B,405.20M,405.20M,,,,411.97M,2.072B,3.729B,359.90M,3.875B,287.02M,3.685B,,,-6.501M,830.32M
2006-06,23.48M,,23.48M,369.44M,369.44M,292.99M,98.41M,544.43M,857.86M,131.63M,62.64M,,1.445B,,,,,,,3.532B,-1.885B,1.647B,489.38M,140.00M,629.39M,,,590.60M,2.867B,4.312B,156.42M,,156.42M,418.17M,574.59M,,,,,1.324B,,1.324B,,,,1.898B,752.65M,,752.65M,400.72M,400.72M,,,,409.73M,1.563B,3.461B,359.90M,3.752B,276.54M,3.551B,,,12.93M,850.82M
2006-03,43.94M,,43.94M,414.81M,414.81M,262.50M,99.29M,437.78M,720.38M,109.66M,70.35M,,1.359B,,,,,,,3.485B,-1.837B,1.648B,487.67M,141.38M,629.05M,,,590.22M,2.867B,4.227B,177.91M,,177.91M,469.73M,647.64M,,,,,1.088B,,1.088B,,,,1.736B,752.78M,,752.78M,403.46M,403.46M,,,,402.54M,1.559B,3.295B,359.90M,3.710B,264.25M,3.398B,,,-4.998M,931.78M
2005-12,67.18M,,67.18M,507.12M,507.12M,202.83M,92.92M,410.42M,634.91M,93.99M,73.20M,,1.376B,0.0,81.67M,699.90M,2.677B,,,3.458B,-1.799B,1.659B,,629.96M,629.96M,,,597.19M,2.886B,4.263B,167.81M,,167.81M,503.46M,671.27M,,,,,819.12M,,819.12M,,,,1.490B,942.76M,,942.76M,400.25M,400.25M,,,,412.93M,1.756B,3.246B,359.90M,3.641B,252.37M,3.225B,,,-12.52M,1.016B
2005-09,37.90M,,37.90M,642.70M,642.70M,230.89M,97.07M,495.06M,752.34M,130.54M,42.73M,,1.606B,,,,,,,3.461B,-1.782B,1.680B,,639.60M,639.60M,,,584.95M,2.904B,4.510B,203.15M,,203.15M,495.11M,698.26M,,,,,1.053B,,1.053B,,,,1.751B,943.10M,,943.10M,409.44M,409.44M,,,,451.19M,1.804B,3.555B,359.90M,3.641B,73.11M,3.120B,,,2.362M,955.93M
2005-06,24.71M,,24.71M,296.98M,296.98M,262.01M,104.20M,539.06M,834.59M,130.80M,46.70M,,1.334B,,,,,,,3.443B,-1.762B,1.681B,,591.29M,591.29M,,,425.27M,2.698B,4.032B,173.64M,,173.64M,404.05M,577.68M,,,,,959.50M,,959.50M,,,14.56M,1.552B,690.06M,,690.06M,332.65M,332.65M,,,,429.31M,1.452B,3.004B,359.90M,3.579B,69.74M,2.969B,,,-12.47M,1.028B
2005-03,18.06M,,18.06M,289.99M,289.99M,194.49M,95.30M,421.12M,640.22M,128.00M,43.79M,,1.120B,,,,,,,3.384B,-1.723B,1.661B,,588.20M,588.20M,,,379.14M,2.629B,3.749B,167.85M,,167.85M,465.89M,633.74M,,,,,707.41M,,707.41M,,,,1.341B,690.31M,,690.31M,329.72M,329.72M,,,,416.88M,1.437B,2.778B,359.90M,3.535B,61.18M,2.980B,,,-5.167M,970.72M
2004-12,54.84M,,54.84M,408.93M,408.93M,166.81M,70.44M,384.09M,557.18M,114.99M,61.76M,,1.198B,0.0,84.56M,688.64M,2.596B,,,3.369B,-1.687B,1.683B,,589.18M,589.18M,,,343.21M,2.615B,3.813B,148.69M,,148.69M,511.46M,660.15M,,,,,622.32M,,622.32M,,,,1.282B,690.60M,,690.60M,319.23M,319.23M,,,,383.38M,1.393B,2.676B,359.90M,3.374B,171.41M,2.762B,,,-6.078M,1.137B
2004-09,87.39M,,87.39M,484.20M,484.20M,194.49M,78.60M,434.59M,643.55M,117.02M,18.02M,,1.350B,,,,,,,3.316B,-1.648B,1.668B,,415.98M,415.98M,,,352.77M,2.437B,3.787B,154.89M,,154.89M,444.32M,599.21M,563.06M,,,,563.06M,,563.06M,,,,1.162B,968.96M,,968.96M,320.06M,320.06M,,,,394.93M,1.684B,2.846B,359.90M,3.352B,22.02M,2.775B,,,-18.64M,940.51M
2004-06,19.48M,,19.48M,256.66M,256.66M,225.11M,87.61M,472.91M,721.50M,156.04M,21.74M,,1.175B,,,,,,,3.304B,-1.633B,1.671B,,413.14M,413.14M,,,348.41M,2.432B,3.608B,160.82M,,160.82M,377.96M,538.78M,,,,,100.59M,,100.59M,,,,639.37M,969.56M,,969.56M,300.61M,300.61M,,,,383.00M,1.653B,2.293B,359.90M,3.239B,17.15M,2.255B,,,-45.05M,1.315B
2004-03,235.37M,,235.37M,273.45M,273.45M,191.41M,67.23M,357.31M,551.83M,105.90M,17.89M,,1.184B,,,,,,,3.274B,-1.597B,1.677B,,426.92M,426.92M,,,352.45M,2.457B,3.641B,153.30M,,153.30M,412.64M,565.94M,,,,,28.38M,,28.38M,,,,594.31M,971.42M,,971.42M,376.65M,376.65M,,,,378.72M,1.727B,2.321B,179.95M,3.321B,9.639M,2.159B,,,-32.20M,1.320B
2003-12,114.79M,,114.79M,407.61M,407.61M,158.86M,53.74M,327.42M,492.86M,103.02M,13.28M,,1.132B,0.0,78.74M,633.36M,2.515B,,,3.227B,-1.565B,1.662B,,427.47M,427.47M,,,361.56M,2.451B,3.583B,132.22M,,132.22M,441.08M,573.30M,,,,,12.51M,,12.51M,,,,585.81M,968.50M,,968.50M,377.59M,377.59M,,,,370.78M,1.717B,2.303B,179.95M,3.264B,4.034M,2.147B,,,-20.66M,1.280B
2003-09,29.84M,,29.84M,537.67M,537.67M,181.09M,59.57M,392.64M,585.62M,84.99M,6.326M,,1.244B,,,,,,,3.141B,-1.531B,1.610B,,425.33M,425.33M,,,377.87M,2.413B,3.658B,117.47M,,117.47M,395.97M,513.44M,,,,,241.50M,,241.50M,,,,754.93M,966.29M,,966.29M,332.80M,332.80M,,,,374.86M,1.674B,2.429B,179.95M,3.169B,1.823M,2.102B,,,-19.89M,1.229B
2003-06,18.70M,,18.70M,230.38M,230.38M,208.70M,74.47M,441.14M,676.63M,153.36M,,,1.079B,,,,,,,3.007B,-1.505B,1.502B,,426.14M,426.14M,,,290.67M,2.219B,3.298B,134.29M,,134.29M,334.34M,468.63M,,,,,52.94M,,52.94M,,,,521.57M,850.74M,,850.74M,358.83M,358.83M,,,,363.38M,1.573B,2.095B,179.95M,3.076B,1.079M,2.051B,,,-2.102M,1.204B
2003-03,144.08M,,144.08M,296.00M,296.00M,214.02M,59.47M,328.68M,554.48M,100.61M,,,1.095B,,,,,,,2.941B,-1.448B,1.494B,,421.64M,421.64M,,,302.14M,2.217B,3.313B,121.73M,,121.73M,368.51M,490.24M,,,,,27.57M,,27.57M,11.76M,11.76M,,529.57M,851.33M,,851.33M,353.99M,353.99M,,,,361.34M,1.567B,2.096B,179.95M,3.046B,0.411M,2.008B,,,-1.872M,1.216B
2002-12,297.74M,,297.74M,370.98M,370.98M,154.89M,53.81M,347.68M,503.29M,91.61M,,,1.264B,0.0,54.18M,537.47M,2.311B,,,2.903B,-1.417B,1.486B,,418.35M,418.35M,,,312.53M,2.217B,3.481B,124.51M,,124.51M,369.45M,493.95M,,,,,28.12M,,28.12M,24.77M,24.77M,,546.85M,851.80M,,851.80M,348.04M,348.04M,,,,362.16M,1.562B,2.109B,179.95M,2.991B,0.593M,1.808B,,,8.297M,1.372B
2002-09,119.86M,,119.86M,676.85M,676.85M,195.97M,56.65M,392.99M,593.23M,69.03M,,,1.459B,,,,,,,2.932B,-1.456B,1.476B,,418.06M,418.06M,,,92.95M,1.987B,3.446B,131.61M,,131.61M,473.85M,605.45M,,,,,8.532M,,8.532M,,,,613.98M,868.49M,,868.49M,222.52M,222.52M,,,,370.94M,1.462B,2.076B,179.95M,2.904B,0.186M,1.668B,,,-45.78M,1.370B
2002-06,184.79M,,184.79M,279.54M,279.54M,240.13M,55.72M,397.82M,641.29M,92.43M,58.49M,,1.257B,,,,,,,2.929B,-1.424B,1.505B,,422.44M,422.44M,,,104.30M,2.032B,3.289B,134.26M,,134.26M,383.73M,517.99M,,,,,8.243M,,8.243M,,,,526.23M,868.48M,,868.48M,240.20M,240.20M,,,,361.19M,1.470B,1.996B,179.95M,2.825B,-2.286M,1.646B,,,-63.68M,1.293B
2002-03,220.03M,,220.03M,292.23M,292.23M,212.49M,52.46M,346.98M,559.56M,90.67M,83.20M,,1.246B,,,,,,,2.896B,-1.384B,1.512B,,428.99M,428.99M,,,137.38M,2.079B,3.325B,162.33M,,162.33M,372.50M,534.83M,,,,,7.784M,,7.784M,,,32.40M,575.01M,876.98M,,876.98M,266.11M,266.11M,,,,347.53M,1.491B,2.066B,179.95M,2.802B,-2.686M,1.656B,,,-63.84M,1.259B
2001-12,134.15M,,134.15M,361.73M,361.73M,,,,512.13M,62.60M,96.94M,,1.168B,0.0,54.43M,533.66M,2.313B,,,2.901B,-1.366B,1.535B,,429.13M,429.13M,,,115.86M,2.080B,3.247B,133.05M,,133.05M,462.90M,595.95M,,,,,7.926M,,7.926M,,,2.568M,606.44M,876.97M,,876.97M,255.77M,255.77M,,,,361.04M,1.494B,2.100B,179.95M,2.755B,3.263M,1.689B,,,-102.10M,1.147B
2001-09,49.17M,,49.17M,548.41M,548.41M,284.78M,57.14M,413.02M,725.70M,75.98M,68.95M,,1.468B,,,,,,,2.859B,-1.282B,1.577B,,438.88M,438.88M,,,127.30M,2.143B,3.611B,163.00M,,163.00M,459.26M,622.26M,,,,,238.30M,,238.30M,,,,860.56M,876.98M,,876.98M,299.59M,299.59M,,,,332.60M,1.509B,2.370B,179.95M,2.840B,5.759M,1.694B,,,-90.83M,1.242B
2001-06,21.07M,,21.07M,256.52M,256.52M,318.00M,60.81M,448.73M,798.31M,83.94M,85.48M,,1.245B,,,,,,,2.836B,-1.252B,1.584B,,466.94M,466.94M,,,131.20M,2.182B,3.427B,155.87M,,155.87M,320.35M,476.22M,,,,,278.68M,,278.68M,,,,754.90M,877.42M,,877.42M,300.72M,300.72M,,,,326.56M,1.505B,2.260B,179.95M,2.760B,7.045M,1.684B,,,-95.14M,1.168B
2001-03,26.25M,,26.25M,308.52M,308.52M,272.70M,47.03M,334.31M,624.80M,84.26M,76.46M,,1.120B,,,,,,,2.787B,-1.213B,1.574B,,466.76M,466.76M,,,140.33M,2.181B,3.301B,147.94M,,147.94M,375.11M,523.04M,,,,,50.23M,,50.23M,,,,573.28M,877.51M,,877.51M,297.22M,297.22M,,,,322.57M,1.497B,2.071B,179.95M,2.744B,8.215M,1.620B,,,-81.43M,1.231B
2000-12,31.97M,,31.97M,379.68M,379.68M,,,,605.17M,,,278.53M,1.295B,,,,,,,2.647B,-1.062B,1.585B,,474.45M,474.45M,,,92.58M,2.152B,3.448B,149.23M,,149.23M,,149.23M,,,,,258.12M,,258.12M,,,359.55M,766.90M,877.65M,,877.65M,300.50M,300.50M,,,,327.67M,1.506B,2.273B,179.95M,2.703B,13.12M,1.645B,,,-75.88M,1.175B
2000-09,44.31M,,44.31M,565.25M,565.25M,,,,649.86M,,,242.91M,1.502B,,,,,,,2.656B,-1.145B,1.510B,,437.44M,437.44M,,,97.83M,2.046B,3.548B,135.69M,,135.69M,,135.69M,,,,,458.61M,,458.61M,,,344.00M,938.29M,877.80M,,877.80M,309.13M,309.13M,,,,323.07M,1.510B,2.448B,179.95M,2.624B,24.92M,1.654B,,,-75.32M,1.100B
2000-06,35.20M,,35.20M,,261.28M,,,,730.61M,,,201.86M,1.229B,,,,,,,2.621B,-1.113B,1.508B,,441.67M,441.67M,,,102.80M,2.052B,3.281B,132.10M,,132.10M,,132.10M,,,,,277.94M,,277.94M,,,294.09M,704.13M,877.94M,,877.94M,315.77M,315.77M,,,,322.50M,1.516B,2.220B,179.95M,2.554B,25.67M,1.624B,,,-75.45M,1.061B
2000-03,46.56M,,46.56M,,313.46M,,,,618.77M,,,189.48M,1.168B,,,,,,,2.598B,-1.084B,1.513B,,446.43M,446.43M,,,104.33M,2.064B,3.232B,88.59M,,88.59M,,88.59M,,,,,177.05M,,177.05M,,,362.81M,628.45M,878.08M,,878.08M,318.86M,318.86M,,,,327.30M,1.524B,2.153B,179.95M,2.549B,29.27M,1.608B,,,-70.56M,1.080B
1999-12,118.10M,,118.10M,,352.80M,,,,602.20M,,,206.90M,1.28B,,,,,,,2.572B,-1.062B,1.510B,,450.20M,450.20M,,,106.00M,2.067B,3.347B,136.60M,,136.60M,,136.60M,,,,,211.60M,,211.60M,,,364.60M,712.80M,878.20M,,878.20M,326.00M,326.00M,,,,331.10M,1.535B,2.248B,180.00M,2.513B,30.10M,1.553B,,,-72.00M,1.099B
1999-09,42.90M,,42.90M,,508.40M,,,,613.80M,,,189.30M,1.354B,,,,,,,2.567B,-1.037B,1.530B,,453.50M,453.50M,,,89.50M,2.073B,3.428B,131.60M,,131.60M,,131.60M,,,,,348.30M,,348.30M,,,379.20M,859.10M,878.30M,,878.30M,325.50M,325.50M,,,,333.40M,1.537B,2.396B,179.90M,2.450B,31.10M,1.551B,,,-79.60M,1.031B
1999-06,31.70M,,31.70M,,288.00M,,,,656.80M,,,205.00M,1.182B,,,,,,,11.53B,-10.00B,1.530B,,457.40M,457.40M,,,90.50M,2.077B,3.259B,107.20M,,107.20M,,107.20M,,,,,274.20M,,274.20M,,,332.30M,713.70M,878.50M,,878.50M,302.00M,302.00M,,,,330.20M,1.511B,2.224B,,2.398B,,,,,,1.034B
1999-03,55.40M,,55.40M,,221.80M,,,,568.10M,,,180.40M,1.026B,,,,,,,2.503B,-970.00M,1.533B,,460.10M,460.10M,,,84.50M,2.078B,3.104B,119.20M,,119.20M,,119.20M,,,,,66.20M,,66.20M,,,388.80M,574.20M,879.10M,,879.10M,299.50M,299.50M,,,,327.40M,1.506B,2.080B,,2.381B,,,,,,1.023B
1998-12,39.00M,,39.00M,,451.30M,,,,493.20M,,,150.50M,1.134B,,,,,,,2.703B,-1.055B,1.648B,,530.50M,530.50M,,,91.50M,2.270B,3.404B,156.90M,,156.90M,,156.90M,,,,,346.00M,,346.00M,,,311.90M,814.80M,879.10M,,879.10M,321.10M,321.10M,,,,346.80M,1.547B,2.362B,,2.190B,,,,,,1.042B
1998-09,40.20M,,40.20M,,434.00M,,,,572.90M,,,165.40M,1.212B,,,,,,,2.666B,-1.020B,1.646B,,534.10M,534.10M,,,82.50M,2.263B,3.475B,134.30M,,134.30M,,134.30M,,,,,328.90M,,328.90M,,,384.00M,847.20M,1.029B,,1.029B,274.50M,274.50M,,,,357.30M,1.661B,2.508B,,2.113B,,,,,,967.00M
1998-06,33.60M,,33.60M,,230.40M,,,,623.60M,,,138.00M,1.026B,,,,,,,2.649B,-1.002B,1.647B,,541.20M,541.20M,,,73.60M,2.261B,3.287B,100.70M,,100.70M,,100.70M,,,,,286.90M,,286.90M,,,333.60M,721.20M,1.029B,,1.029B,271.30M,271.30M,,,,353.80M,1.654B,2.375B,,2.040B,,,,,,911.60M
1998-03,59.60M,,59.60M,,279.30M,,,,532.10M,,,128.20M,999.20M,,,,,,,2.621B,-971.90M,1.649B,,547.20M,547.20M,,,61.20M,2.257B,3.256B,131.40M,,131.40M,,131.40M,,,,,215.00M,,215.00M,,,354.00M,700.40M,1.029B,,1.029B,269.50M,269.50M,,,,352.40M,1.651B,2.351B,,2.022B,,,,,,905.10M
1997-12,54.20M,,54.20M,,360.80M,,,,505.50M,,,114.30M,1.035B,,,,,,,2.587B,-939.00M,1.648B,,551.80M,551.80M,,,56.40M,2.256B,3.291B,146.90M,,146.90M,,146.90M,,,,,257.50M,,257.50M,,,391.30M,795.70M,1.029B,,1.029B,267.10M,267.10M,,,,346.50M,1.643B,2.438B,,1.978B,,,,,,852.80M
