,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,1.153B,1.153B,759.91M,393.07M,224.05M,,-228.31M,,,,,433.13M,-40.06M,,,,-228.31M,,-76.02M,-31.07M,-44.95M,,,,-44.95M,92.04M,8.735M,48.80M,-40.06M,-0.165,0.0,,0.3388,-0.165,-0.165,0.0,,0.3332,-0.165,271.90M,274.96M,0.1513
2001-09,1.179B,1.179B,753.40M,425.51M,216.52M,,19.24M,,,,,216.52M,208.99M,,,,19.24M,,210.08M,89.32M,120.76M,,,,120.76M,109.22M,256.48M,47.50M,208.99M,0.445,0.0,,0.4025,0.445,0.44,0.0,,0.3979,0.44,271.74M,274.43M,0.1513
2001-06,898.86M,898.86M,516.64M,382.22M,282.67M,,,,,,,282.67M,99.55M,,,,,,82.62M,30.18M,52.44M,,,,52.44M,52.44M,146.88M,47.33M,99.55M,0.19,0.0,,0.19,0.19,0.19,0.0,,0.19,0.19,272.82M,275.64M,0.14
2001-03,988.00M,988.00M,637.95M,350.05M,205.89M,,,,,,,205.89M,144.16M,,,,,,126.86M,47.95M,78.91M,,,,78.91M,78.91M,191.03M,46.88M,144.16M,0.29,0.0,,0.29,0.29,0.285,0.0,,0.285,0.285,273.50M,276.45M,0.14
2000-12,794.34M,794.34M,667.55M,126.79M,-81.60M,,,,,,,-81.60M,208.38M,,,,,,188.90M,72.94M,115.96M,,,,115.96M,115.96M,253.23M,44.84M,208.38M,0.4324,,,0.4324,0.4324,0.39,,,0.39,0.39,275.14M,303.16M,0.14
2000-09,1.197B,1.197B,696.43M,500.32M,303.69M,,,,,,,303.69M,196.64M,,,,,,175.48M,68.08M,107.40M,,,,107.40M,107.40M,240.86M,44.22M,196.64M,0.39,0.0,,0.39,0.39,0.39,0.0,,0.39,0.39,273.67M,275.38M,0.14
2000-06,836.20M,836.20M,458.38M,377.83M,250.72M,,,,,,,294.42M,83.41M,,,,,,65.57M,25.57M,40.00M,,,,40.00M,40.00M,127.11M,43.69M,83.41M,0.145,0.0,,0.145,0.145,0.145,0.0,,0.145,0.145,274.83M,277.06M,0.13
2000-03,993.12M,993.12M,561.89M,431.22M,253.80M,,,,,,,297.00M,134.22M,,,,,,116.69M,45.51M,71.18M,,,,71.18M,71.18M,177.42M,43.20M,134.22M,0.255,0.0,,0.255,0.255,0.255,0.0,,0.255,0.255,276.91M,278.43M,0.13
1999-12,1.106B,1.106B,604.00M,501.80M,281.10M,,0.00,,,,,322.80M,179.00M,,,,0.00,,160.70M,62.70M,98.00M,,,,98.00M,98.00M,220.70M,41.70M,179.00M,0.355,0.0,,0.355,0.355,0.355,0.0,,0.355,0.355,276.71M,277.10M,0.13
1999-09,1.067B,1.067B,592.20M,474.50M,268.60M,,,,,,,310.40M,164.10M,,,,,,143.60M,56.00M,87.60M,,,,87.60M,87.60M,205.90M,41.80M,164.10M,0.315,0.0,,0.315,0.315,0.31,0.0,,0.31,0.31,278.10M,282.58M,0.13
1999-06,853.24M,853.24M,473.50M,379.74M,241.40M,,,,,,,280.70M,99.04M,,,,,,82.10M,32.00M,50.10M,,,,50.10M,50.10M,138.34M,39.30M,99.04M,0.18,0.0,,0.18,0.18,0.175,0.0,,0.175,0.175,280.00M,282.68M,0.12
1999-03,945.15M,945.15M,521.70M,423.45M,266.80M,,243.80M,,,,,307.30M,116.15M,,,,243.80M,,341.60M,116.90M,224.70M,,,,224.70M,64.33M,156.65M,40.50M,116.15M,0.79,0.0,,0.2262,0.79,0.785,0.0,,0.2247,0.785,284.43M,286.24M,0.12
1998-12,1.240B,1.240B,701.70M,538.20M,298.60M,,,,,,,340.30M,197.90M,,,,,,178.50M,68.50M,110.00M,,,,110.00M,110.00M,239.60M,41.70M,197.90M,0.385,0.0,,0.385,0.385,0.375,0.0,,0.375,0.375,285.39M,294.15M,0.12
1998-09,1.217B,1.217B,667.30M,549.90M,311.70M,,,,,,,351.00M,198.90M,,,,,,176.30M,68.80M,107.50M,,,,107.50M,107.50M,238.20M,39.30M,198.90M,0.375,0.0,,0.375,0.375,0.37,0.0,,0.37,0.37,286.67M,290.54M,0.12
1998-06,880.30M,880.30M,483.40M,396.90M,258.30M,,,,,,,297.60M,99.30M,,,,,,78.70M,30.70M,48.00M,,,,48.00M,48.00M,138.60M,39.30M,99.30M,0.165,0.0,,0.165,0.165,0.165,0.0,,0.165,0.165,290.91M,290.91M,0.11
