,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2003-03,269.76M,269.76M,115.83M,153.93M,,,99.43M,13.78M,54.90M,-34.41M,,,,,168.11M,-14.18M,,,,-34.41M,,-48.58M,4.852M,-53.44M,,,-53.44M,-32.79M,74.64M,88.82M,-14.18M,-0.22,0.0,-0.1333,-0.22,-0.22,0.0,-0.1333,-0.22,238.21M,238.21M
2002-12,275.00M,275.00M,135.28M,139.72M,,,84.62M,10.95M,67.47M,138.86M,,,,,163.04M,-23.32M,,,,138.86M,,-32.83M,6.133M,-39.38M,,0.159M,-39.38M,-122.70M,91.20M,114.52M,-23.32M,-0.14,0.0,-0.491,-0.14,-0.1658,,-0.5166,-0.1658,237.36M,237.51M
2002-09,301.44M,301.44M,140.09M,161.36M,,,113.98M,9.613M,56.20M,-56.75M,,,,,179.80M,-18.44M,,,,-56.75M,,-75.43M,4.242M,-79.67M,,-0.237M,-79.67M,-45.62M,57.87M,76.31M,-18.44M,-0.34,0.0,-0.1963,-0.34,-0.34,0.0,-0.1963,-0.34,236.96M,236.96M
2002-06,317.41M,317.41M,146.30M,171.11M,,,115.90M,13.01M,4.686B,-158.44M,,,,,4.815B,-4.644B,,,,-158.44M,,-4.803B,,-4.803B,,-0.172M,-4.803B,-4.644B,69.70M,4.714B,-4.644B,-20.31,0.0,-19.64,-20.31,-20.31,0.0,-19.64,-20.31,236.44M,236.44M
2002-03,327.82M,327.82M,149.70M,178.11M,,,105.79M,14.78M,84.92M,-0.838M,,,,,205.49M,-27.38M,,,,-0.838M,,,,-39.71M,,-0.165M,-39.71M,-39.21M,87.32M,114.70M,-27.38M,-0.17,0.0,-0.1679,-0.17,-0.17,0.0,-0.1679,-0.17,235.44M,235.44M
2001-12,283.80M,283.80M,105.56M,178.24M,,,104.03M,15.94M,466.12M,-0.058M,,,,,586.10M,-407.85M,,,,-0.058M,,-413.44M,-11.41M,-401.11M,,0.345M,-401.11M,-401.05M,84.70M,492.55M,-407.85M,-1.3,0.0,-1.3,-1.3,-1.712,,-1.7109999999999999,-1.712,209.83M,234.36M
2001-09,255.16M,255.16M,83.52M,171.64M,,,103.05M,21.65M,459.72M,-1.753M,,,,,584.43M,-412.79M,,,,-1.753M,,-396.23M,-9.903M,-386.74M,,-0.405M,-386.74M,-385.03M,55.16M,467.95M,-412.79M,-1.91,0.0,-1.902,-1.91,-1.91,0.0,-1.902,-1.91,202.89M,202.89M
2001-06,231.20M,231.20M,80.31M,150.89M,,,100.18M,20.66M,11.27B,-0.014M,,,,,11.39B,-11.24B,,,,-0.014M,,-11.22B,-29.41M,-11.19B,,-0.309M,-11.19B,-11.19B,46.47M,11.29B,-11.24B,-55.49,0.0,-55.49,-55.49,-55.49,0.0,-55.49,-55.49,201.68M,201.68M
2001-03,213.41M,213.41M,74.34M,139.07M,,,95.62M,19.89M,1.375B,0.037M,,,,,1.490B,-1.351B,,,,0.037M,,-1.404B,-27.20M,-1.377B,,-0.21M,-1.377B,-1.377B,39.16M,1.390B,-1.351B,-6.9,0.0,-6.9,-6.9,-6.9,0.0,-6.9,-6.9,199.52M,199.52M
2000-12,197.36M,197.36M,54.11M,143.25M,,,91.62M,15.23M,,35.15M,,,,,1.477B,-1.334B,,,,35.15M,,,,-1.312B,,,-1.312B,-1.333B,36.40M,1.370B,-1.334B,-7.24,0.0,-7.347,-7.24,-7.24,0.0,-7.347,-7.24,197.76M,197.76M
2000-09,173.09M,173.09M,52.10M,120.98M,,,81.84M,14.48M,,-1.268M,,,,,1.467B,-1.346B,,,,-1.268M,,,,-1.324B,,,-1.324B,-1.323B,24.65M,1.370B,-1.346B,-6.78,0.0,-6.776,-6.78,-6.78,0.0,-6.776,-6.78,195.35M,195.35M
2000-06,70.25M,70.25M,16.84M,53.42M,,,37.04M,7.114M,,-54.12M,,,,,459.10M,-405.68M,,,,-54.12M,,,,-452.94M,,,-452.94M,-420.46M,9.263M,414.95M,-405.68M,-3.37,0.0,-3.128,-3.37,-3.37,0.0,-3.128,-3.37,134.44M,134.44M
2000-03,34.07M,34.07M,10.29M,23.78M,,,17.32M,4.429M,,32.23M,,,,,84.93M,-61.15M,,,,32.23M,,,,-26.16M,,0.147M,-26.16M,-45.50M,2.038M,63.19M,-61.15M,-0.24,0.0,-0.4177,-0.24,-0.24,0.0,-0.4177,-0.24,108.85M,108.85M
1999-12,27.68M,27.68M,1.894M,25.78M,,,18.38M,3.803M,,-5.036M,,,,,23.69M,2.09M,,,,-5.036M,,,,4.555M,,0.136M,4.555M,7.577M,3.698M,1.608M,2.09M,0.05,0.0,0.0847,0.05,0.04,0.0,0.0611,0.04,87.12M,143.44M
1999-09,22.80M,22.80M,9.10M,13.70M,,,8.80M,3.40M,,1.30M,,,,,13.70M,0.00,,,,1.30M,,,,1.60M,,0.30M,1.60M,0.82M,1.538M,1.538M,0.00,0.02,0.0,0.0102,0.02,0.02,0.0,0.0102,0.02,80.00M,80.00M
1999-06,18.74M,18.74M,6.108M,12.63M,,,10.22M,3.085M,,-0.085M,,,,,14.57M,-1.943M,,,,-0.085M,,,,-0.152M,,,-0.152M,-0.101M,-0.678M,1.262M,-1.943M,-0.0015,,-0.001,-0.0015,-0.0015,,-0.001,-0.0015,99.12M,99.12M
1999-03,15.58M,15.58M,5.50M,10.08M,,,9.40M,3.00M,,1.20M,,,,,13.50M,-3.418M,,,,1.20M,,,,-2.00M,,0.30M,-2.00M,-2.72M,-2.318M,1.10M,-3.418M,-0.02,0.0,-0.0272,-0.02,-0.02,0.0,-0.0272,-0.02,100.00M,100.00M
1998-12,13.20M,13.20M,4.90M,8.30M,,,8.30M,2.20M,,0.30M,,,,,11.50M,-3.20M,,,,0.30M,,,,-2.50M,,0.30M,-2.50M,-2.68M,-2.20M,1.00M,-3.20M,-0.03,0.0,-0.032,-0.03,-0.03,0.0,-0.032,-0.03,88.25M,88.25M
1998-09,10.50M,10.50M,4.00M,6.50M,,,7.80M,2.60M,,-3.00M,,,,,11.60M,-5.10M,,,,-3.00M,,,,-7.70M,,0.20M,-7.70M,-5.90M,-3.90M,1.10M,-5.10M,-0.09,0.0,-0.069,-0.09,-0.09,0.0,-0.069,-0.09,85.56M,85.56M
1998-06,8.60M,8.60M,3.40M,5.20M,,,8.00M,2.00M,,0.70M,,,,,10.90M,-5.70M,,,,0.70M,,,,-4.80M,,0.30M,-4.80M,-5.22M,-4.80M,0.90M,-5.70M,-0.06,0.0,-0.0652,-0.06,-0.06,0.0,-0.0652,-0.06,80.00M,80.00M
