,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-12,81.41M,,,,,-52.03M,20.46M,20.91M,41.37M,41.37M,-9.693M,,,,,,29.52M,-19.20M,6.575M,47.50M,,-61.61M,,44.38M,,134.96M,-35.53M,,-35.53M,,-7.42M,139.99M,9.241M,106.28M,,,,23.37M,-78.32M,-54.95M,,,,-1.113M,-56.07M,231.45M,185.17M,6.214M,328.84M,23.37M,,,-78.32M,,
2004-09,40.40M,,,,,-30.70M,22.20M,23.73M,45.93M,45.93M,,,,,,,17.96M,-36.70M,6.527M,27.30M,,13.75M,,10.88M,,84.48M,-21.62M,,-21.62M,,-246.36M,-125.78M,238.89M,-154.87M,,,2.85M,13.67M,-34.94M,-21.27M,,,,-3.825M,-22.24M,326.27M,-92.64M,-2.188M,231.45M,13.67M,,,-34.94M,,
2004-06,21.94M,,,,,19.56M,21.47M,19.05M,40.52M,40.52M,0.537M,,,,,,,-9.67M,0.509M,5.151M,,19.85M,,15.84M,,98.40M,-20.67M,,-20.67M,,,24.87M,-176.91M,-172.71M,,,-0.147M,8.854M,,8.854M,,,,,8.707M,301.38M,-65.60M,-1.707M,326.27M,8.854M,,,,,
2004-03,9.07M,,,,,24.35M,21.51M,15.75M,37.26M,37.26M,-0.537M,,,,,,,-4.423M,-3.812M,-42.40M,,28.00M,,-22.64M,,47.50M,-14.71M,,-14.71M,,,23.29M,-72.14M,-63.57M,,,-2.703M,17.83M,,17.83M,,,,,15.13M,301.59M,-0.935M,0.726M,301.38M,17.83M,,,,,
2003-12,-32.29M,,,,,-0.201M,26.27M,26.37M,52.64M,52.64M,0.00,,,,,,,-6.514M,12.26M,27.42M,,2.813M,,35.98M,,80.64M,-40.54M,,17.08M,,,-176.08M,-2.455M,-177.50M,,,-7.694M,9.412M,,9.412M,,,,,39.12M,380.82M,-57.75M,3.177M,298.47M,9.412M,,,,,
2003-09,-31.30M,,,,,0.00,29.02M,78.66M,107.68M,107.68M,-0.013M,,,,,,,1.462M,7.35M,3.609M,,4.778M,,17.20M,,93.56M,-17.40M,,-17.40M,,,-104.31M,-0.411M,-122.12M,,,-0.59M,11.42M,,11.42M,,,,,10.82M,397.63M,-17.74M,0.938M,380.82M,11.42M,,,,,
2003-06,-142.85M,,,,,0.165M,29.53M,178.71M,208.24M,208.24M,-0.299M,,,,,,,18.30M,1.925M,-11.05M,,6.372M,,15.55M,,80.81M,-27.88M,,-27.88M,,,25.28M,-1.478M,-4.076M,,,-0.633M,4.727M,,4.727M,,,,,4.094M,317.98M,80.82M,-1.175M,397.63M,4.727M,,,,,
2003-03,-53.44M,,,,,25.64M,29.66M,59.16M,88.82M,88.82M,3.633M,,,,,,,14.70M,-8.778M,18.16M,,11.58M,,35.67M,,100.32M,-22.22M,,-22.22M,,,-37.70M,-4.947M,-64.86M,,,-4.282M,6.126M,,6.126M,,,,,1.844M,282.29M,37.30M,-1.614M,317.98M,6.126M,,,,,
2002-12,-39.38M,,,,,28.85M,28.10M,86.43M,114.52M,114.52M,6.133M,,,,,,,33.16M,6.945M,-24.52M,,-42.53M,,-26.94M,,83.18M,-24.32M,,-24.32M,,348.64M,12.23M,-350.09M,-13.54M,,,,1.418M,,1.418M,,,,,1.071M,212.65M,70.71M,-1.074M,282.29M,1.418M,,,,,
2002-09,-79.67M,,,,,69.70M,27.57M,48.74M,76.31M,76.31M,4.242M,,,,,,,38.38M,7.371M,4.926M,,-35.15M,,15.52M,,86.10M,-36.64M,,-36.64M,,-2.301M,-14.02M,0.055M,-52.91M,,,,2.985M,,2.985M,,,,,2.985M,177.29M,36.18M,-0.822M,212.65M,2.985M,,,,,
2002-06,-4.803B,,,,,132.17M,23.78M,4.690B,4.714B,4.714B,,,,,,,,35.67M,-10.97M,12.96M,,-34.28M,,3.38M,,46.64M,-41.67M,,-41.67M,,-4.519M,11.37M,-23.11M,-57.92M,,,,2.946M,,2.946M,,,,,2.946M,186.12M,-8.343M,-0.481M,177.29M,2.946M,,,,,
2002-03,-39.71M,,,,,12.59M,26.04M,88.65M,114.70M,114.70M,,,,,,,,51.54M,-37.64M,-41.95M,,-35.36M,,-63.41M,,24.17M,-73.60M,,-73.60M,,-341.82M,281.92M,-24.61M,-158.12M,,,,13.32M,,13.32M,,,,,13.32M,306.05M,-120.62M,0.688M,186.12M,13.32M,,,,,
2001-12,-401.11M,,,,,31.60M,18.62M,473.93M,492.55M,492.55M,-11.41M,,,,,,,-57.08M,-3.381M,-6.321M,,15.16M,,-51.62M,,60.01M,-314.37M,,-314.37M,,67.10M,31.66M,-90.31M,-305.92M,,,,7.757M,-19.41M,-11.65M,,,,0.149M,-11.50M,565.72M,-257.42M,-2.248M,306.05M,7.757M,,,-19.41M,,
2001-09,-386.74M,,,,,10.50M,15.75M,452.20M,467.95M,467.95M,-9.903M,,,,,,,-25.54M,-4.827M,7.454M,,-6.918M,,-29.83M,,51.98M,-20.22M,,-20.22M,,-67.10M,184.91M,4.824M,102.41M,,,,11.39M,-50.10M,-38.72M,,,,0.00,-38.72M,450.01M,115.68M,0.022M,565.72M,11.39M,,,-50.10M,,
2001-06,-11.19B,,,,,-1.805M,12.67M,11.27B,11.29B,11.29B,-29.41M,,,,,,,-28.12M,0.217M,1.723M,,12.17M,,-14.01M,,49.50M,-25.37M,,-25.37M,,,48.14M,-21.18M,1.594M,,,,35.03M,,35.03M,,,,-0.004M,35.03M,363.65M,86.13M,0.239M,450.01M,35.03M,,,,,
2001-03,-1.377B,,,,,74.90M,11.82M,1.379B,1.390B,1.390B,-27.20M,,,,,,,-32.09M,3.317M,8.034M,,26.10M,,5.361M,,66.04M,-20.31M,,-20.31M,,,-165.73M,-1.136M,-187.17M,,,,26.03M,,26.03M,,,,-0.003M,26.03M,460.36M,-95.10M,-1.61M,363.65M,26.03M,,,,,
2000-12,-1.312B,,,,,6.899M,,,1.370B,1.370B,,,,,,,,-49.60M,,10.43M,-24.43M,10.38M,,-23.85M,,40.94M,-26.63M,,-26.63M,,,29.04M,-93.04M,-90.63M,,,,11.13M,,11.13M,,,,1.243M,12.37M,497.55M,-37.32M,0.137M,460.36M,11.13M,,,,,
2000-09,-1.324B,,,,,-1.659M,,,1.370B,1.370B,,,,,,,,-24.34M,,28.50M,23.47M,11.92M,,39.54M,,84.00M,-14.90M,,-14.90M,,,-629.40M,-1.254M,-645.55M,,,-0.511M,45.35M,,45.35M,,,,0.524M,45.36M,1.014B,-516.19M,0.211M,497.55M,45.35M,,,,,
2000-06,-452.94M,,,,,54.08M,,,414.95M,414.95M,,,,,,,,-3.52M,,31.64M,2.759M,17.47M,,48.35M,,64.44M,-13.92M,,-13.92M,,,-34.92M,882.01M,833.17M,,,0.511M,6.981M,,6.981M,,,,-0.045M,7.447M,108.38M,905.06M,0.086M,1.014B,6.981M,,,,,
2000-03,-26.16M,,,,,-32.67M,,,63.19M,63.19M,,,,,,,,-10.50M,,1.236M,-1.796M,9.314M,,-1.749M,,2.615M,-3.33M,,-3.33M,,,70.91M,-40.56M,27.02M,,,,8.23M,,8.23M,,,,0.045M,8.275M,70.38M,37.91M,0.091M,108.38M,8.23M,,,,,
1999-12,4.555M,,,,,0.604M,,,1.608M,1.608M,,,,,,,0.10M,-3.517M,,0.495M,2.60M,6.181M,,4.298M,,11.16M,-1.719M,,-1.719M,,,-22.44M,9.332M,-14.82M,,,,4.644M,,4.644M,,,,0.009M,4.653M,69.50M,0.996M,,70.38M,4.644M,,,,,
1999-09,1.545M,,,,,-0.161M,,,1.538M,1.538M,,,,,,,-0.10M,-3.609M,,-1.432M,0.027M,5.371M,,0.357M,,3.179M,-1.251M,,-1.251M,,,-20.58M,-10.14M,-31.98M,,,-0.409M,5.989M,,5.989M,,,,0.40M,5.98M,92.21M,-22.82M,,69.50M,5.989M,,,,,
1999-06,-0.145M,,,,,0.161M,,,1.262M,1.262M,,,,,,,,-3.291M,,1.732M,-0.427M,4.329M,,2.343M,,3.621M,-0.749M,,-0.749M,,,-21.62M,-0.056M,-22.42M,,,0.109M,1.911M,,1.911M,,,,,2.02M,108.90M,-16.78M,,92.21M,1.911M,,,,,
1999-03,-2.00M,,,,,-0.20M,,,1.10M,1.10M,,,,,,,,-3.40M,,0.60M,-2.20M,2.80M,,-2.20M,,-3.30M,-2.30M,,-2.30M,,,-29.40M,-2.30M,-34.00M,,,0.30M,123.20M,,123.20M,,,,,123.50M,22.80M,86.20M,,108.90M,123.20M,,,,,
1998-12,-2.50M,,,,,-1.30M,,,1.00M,1.00M,,,,,,,0.10M,-1.30M,,0.00,0.20M,2.60M,,1.50M,,-1.20M,-0.90M,,-0.90M,,,5.40M,-0.50M,4.00M,,,-0.10M,2.30M,,2.30M,,0.20M,,-0.50M,1.90M,0.00,4.70M,,22.80M,2.30M,,,,,
1998-09,-7.70M,,,,,1.80M,,,1.10M,1.10M,,,,,,,,-2.20M,,2.00M,-1.00M,2.00M,,0.80M,,-4.00M,-1.00M,,-1.00M,,,-1.40M,-0.10M,-2.50M,,,0.00,-0.10M,,-0.10M,,-0.20M,,0.20M,-0.10M,24.70M,-6.60M,,0.00,-0.10M,,,,,
1998-06,-4.80M,,,,,-0.10M,,,0.90M,0.90M,,,,,,,-0.10M,-0.40M,,0.90M,-0.10M,1.90M,,2.30M,,-1.80M,-1.40M,,-1.40M,,,14.10M,,12.70M,,,0.10M,0.10M,,0.10M,,,,-0.20M,0.00,0.00,10.90M,,24.70M,0.10M,,,,,
