,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,431.66M,,431.66M,536.63M,536.63M,,44.59M,76.83M,1.090B,0.00,87.65M,244.54M,220.14M,,552.33M,-422.28M,130.05M,171.23M,8.975M,180.20M,32.28M,,342.54M,1.432B,,99.28M,,99.28M,303.88M,403.15M,0.359M,,0.359M,,0.359M,,,29.14M,432.65M,3.918M,,3.918M,,,8.97M,12.89M,445.54M,,0.167M,1.642M,946.91M,12.99M,24.99M,37.98M,986.70M,,,
2006-06,528.46M,,528.46M,509.51M,509.51M,,37.93M,72.24M,1.148B,0.00,82.56M,235.08M,215.22M,,532.87M,-408.73M,124.13M,171.21M,7.215M,178.42M,32.44M,,335.00M,1.483B,,88.87M,,88.87M,298.99M,387.86M,0.086M,,0.086M,,0.086M,,,19.39M,407.34M,4.206M,,4.206M,,,8.945M,13.15M,420.49M,,0.171M,97.80M,925.77M,,,38.90M,1.063B,,,
2006-03,472.65M,,472.65M,480.33M,480.33M,,34.31M,68.81M,1.056B,0.00,77.98M,223.11M,210.63M,,511.73M,-392.64M,119.09M,170.41M,1.609M,172.02M,28.66M,,319.76M,1.376B,,88.85M,,88.85M,269.86M,358.70M,0.361M,,0.361M,,0.361M,,,3.975M,363.04M,4.168M,,4.168M,,,8.78M,12.95M,375.99M,,0.171M,117.20M,856.04M,,,26.47M,999.89M,,,
2005-12,458.36M,,458.36M,451.26M,451.26M,,107.29M,,1.017B,0.00,75.40M,401.20M,13.54M,,490.14M,-379.63M,110.52M,165.86M,,165.86M,25.41M,,301.78M,1.319B,,89.13M,,89.13M,239.51M,328.64M,0.356M,,0.356M,,0.356M,,,7.703M,336.70M,2.698M,,2.698M,,,8.414M,11.11M,347.81M,,0.171M,156.05M,875.84M,,,-61.19M,970.87M,,,
2005-09,420.73M,,420.73M,456.42M,456.42M,,101.40M,,978.54M,0.00,70.64M,199.03M,198.68M,,468.35M,-368.23M,100.12M,,168.73M,168.73M,23.74M,,292.59M,1.271B,,83.94M,,83.94M,250.28M,334.21M,0.352M,,0.352M,,0.352M,,,16.27M,350.83M,2.715M,,2.715M,,,2.949M,5.664M,356.50M,,0.169M,163.55M,796.86M,,,-45.95M,914.64M,,,
2005-06,441.06M,,441.06M,417.25M,417.25M,,92.21M,,950.51M,0.00,69.99M,191.45M,188.74M,,450.18M,-356.34M,93.84M,,166.66M,166.66M,20.43M,,280.93M,1.231B,,76.20M,,76.20M,244.36M,320.56M,0.348M,,0.348M,,0.348M,,,26.41M,347.32M,2.753M,,2.753M,,,3.824M,6.577M,353.90M,,0.169M,187.15M,717.92M,,,-27.69M,877.55M,,,
2005-03,430.00M,22.58M,452.58M,416.69M,416.69M,,98.02M,,967.30M,0.00,69.45M,190.94M,183.42M,,443.81M,-347.56M,96.25M,,166.50M,166.50M,16.88M,,279.62M,1.247B,,84.17M,,84.17M,215.32M,299.49M,0.078M,,0.078M,,0.078M,,,25.38M,324.95M,2.246M,,2.246M,,,4.204M,6.45M,331.40M,,0.172M,226.97M,714.32M,,,-25.94M,915.52M,,,
2004-12,345.28M,91.53M,436.81M,391.64M,391.64M,,87.87M,,916.32M,0.00,69.20M,187.86M,178.96M,,436.02M,-340.23M,95.78M,,167.93M,167.93M,18.63M,,282.34M,1.199B,,72.03M,,72.03M,195.63M,267.67M,0.077M,,0.077M,,0.077M,,,12.60M,280.34M,2.266M,,2.266M,,,4.176M,6.442M,286.79M,,0.173M,240.74M,702.33M,,,-31.37M,911.87M,,,
2004-09,412.57M,,412.57M,369.24M,369.24M,,79.80M,,861.61M,,,,,,404.50M,-307.52M,96.98M,,164.62M,164.62M,18.56M,,280.16M,1.142B,,68.56M,,68.56M,199.28M,267.84M,,,0.075M,,0.075M,,,14.54M,282.46M,2.286M,,2.286M,,,3.195M,5.481M,287.94M,,0.172M,221.79M,655.69M,,,-23.83M,853.82M,,,
2004-06,419.51M,,419.51M,321.72M,321.72M,,78.93M,,820.16M,,,,,,408.35M,-307.52M,100.83M,,163.60M,163.60M,14.09M,,278.51M,1.099B,,57.96M,,57.96M,182.37M,240.33M,,,0.074M,,0.074M,,,11.56M,251.96M,2.305M,,2.305M,,,8.77M,11.08M,263.04M,,0.172M,224.93M,636.18M,,,-25.64M,835.64M,,,
2004-03,368.47M,,368.47M,284.20M,284.20M,,77.13M,,729.80M,0.00,61.82M,195.35M,171.52M,,428.68M,-320.47M,108.22M,,164.58M,164.58M,6.438M,,279.24M,1.009B,,49.97M,,49.97M,170.16M,220.13M,0.072M,,0.072M,,0.072M,,,,220.20M,2.324M,,2.324M,,,,2.324M,222.52M,,0.171M,204.84M,604.70M,,,-23.20M,786.51M,,,
2003-12,376.52M,,376.52M,242.35M,242.35M,,79.75M,,698.62M,0.00,61.29M,96.75M,262.60M,,420.64M,-307.52M,113.12M,,162.51M,162.51M,11.40M,,287.03M,985.65M,,45.09M,,45.09M,140.64M,185.73M,0.071M,,0.071M,,0.071M,,,,185.80M,2.343M,,2.343M,,,8.843M,11.19M,196.99M,,0.172M,220.83M,595.05M,,,-27.39M,788.66M,,,
2003-09,344.19M,,344.19M,232.77M,232.77M,,26.50M,70.59M,674.05M,0.00,60.47M,340.29M,10.46M,,411.22M,-292.05M,119.17M,,170.13M,170.13M,,2.641M,291.94M,966.00M,,50.47M,,50.47M,158.06M,208.53M,,,0.07M,,0.07M,,,,208.60M,2.361M,,2.361M,,,,2.361M,210.96M,,0.17M,215.98M,562.87M,,,-23.98M,755.04M,,,
2003-06,317.67M,,317.67M,224.84M,224.84M,,107.00M,,649.52M,0.00,59.48M,331.48M,10.36M,,401.31M,-278.01M,123.30M,,160.91M,160.91M,,13.00M,297.21M,946.73M,,39.46M,,39.46M,158.66M,198.12M,,,0.068M,,0.068M,,,,198.19M,2.379M,,2.379M,0.663M,0.663M,,3.042M,201.23M,,0.17M,218.97M,552.44M,,,-26.08M,745.50M,,,
2003-03,306.46M,,306.46M,222.48M,222.48M,,106.42M,,635.36M,0.00,58.17M,180.05M,153.64M,,391.87M,-263.80M,128.07M,,164.05M,164.05M,,,292.12M,927.48M,,41.54M,,41.54M,152.00M,193.54M,0.067M,,0.067M,,0.067M,,,,193.60M,2.397M,,2.397M,3.125M,3.125M,,5.522M,199.12M,,0.17M,222.07M,541.15M,,,-35.03M,728.36M,,,
2002-12,316.93M,,316.93M,225.72M,225.72M,,102.85M,,645.50M,0.00,56.85M,313.06M,11.03M,,380.94M,-250.35M,130.59M,,161.91M,161.91M,,,292.50M,938.00M,,50.13M,,50.13M,,50.13M,,,0.066M,,0.066M,,,136.34M,186.54M,2.414M,,2.414M,4.076M,4.076M,,6.49M,193.03M,,0.171M,246.80M,543.46M,,,-45.46M,744.97M,,,
2002-09,302.47M,,302.47M,238.79M,238.79M,,105.20M,,646.46M,,,,,,374.29M,-236.34M,137.95M,,163.25M,163.25M,,,301.20M,947.66M,,45.34M,,45.34M,,45.34M,,,0.065M,,0.065M,,,146.76M,192.16M,2.431M,,2.431M,3.901M,3.901M,,6.332M,198.49M,,0.17M,266.76M,521.61M,,,-39.37M,749.17M,,,
2002-06,373.43M,,373.43M,245.36M,245.36M,,101.06M,,719.85M,,,,,,323.23M,-185.55M,137.67M,,163.38M,163.38M,,,301.05M,1.021B,,48.24M,,48.24M,,48.24M,,,0.212M,,0.212M,,,143.39M,191.84M,2.447M,,2.447M,7.154M,7.154M,,9.601M,201.44M,,0.175M,344.06M,528.35M,,,-53.13M,819.46M,,,
2002-03,378.79M,,378.79M,252.75M,252.75M,,96.50M,,728.04M,,,,,,327.22M,-185.55M,141.67M,,159.76M,159.76M,,,301.43M,1.029B,,35.51M,,35.51M,145.61M,181.12M,,,0.201M,,0.201M,,,,181.32M,2.464M,,2.464M,9.674M,9.674M,,12.14M,193.46M,,0.176M,385.37M,518.49M,,,-68.01M,836.02M,,,
2001-12,346.77M,,346.77M,272.89M,272.89M,,66.35M,,686.01M,,,,,,333.08M,-185.55M,147.52M,,160.63M,160.63M,,,308.16M,994.16M,,33.38M,,33.38M,,33.38M,,,0.202M,,0.202M,,,143.06M,176.65M,2.48M,,2.48M,9.339M,9.339M,,11.82M,188.47M,,0.175M,391.26M,487.08M,,,-72.82M,805.70M,,,
2001-09,301.13M,,301.13M,332.55M,332.55M,,,57.95M,691.63M,,,,,,322.95M,-168.57M,154.38M,,161.25M,161.25M,,,315.63M,1.007B,,41.34M,,41.34M,,41.34M,,,0.262M,,0.262M,,,171.07M,212.68M,2.495M,,2.495M,12.92M,12.92M,,15.42M,228.10M,,0.174M,381.48M,456.36M,,,-58.85M,779.17M,,,
2001-06,278.34M,,278.34M,353.55M,353.55M,,,56.15M,688.04M,,,,,,301.36M,-149.90M,151.46M,,163.09M,163.09M,,,314.55M,1.003B,,37.10M,,37.10M,158.61M,195.71M,1.157M,,1.157M,,1.157M,7.937M,7.937M,,204.80M,2.511M,,2.511M,15.62M,15.62M,,18.13M,222.94M,,0.175M,401.77M,445.82M,,,-68.11M,779.66M,,,
2001-03,221.75M,,221.75M,391.62M,391.62M,,,47.44M,660.81M,,,,,,275.28M,-133.55M,141.73M,,165.14M,165.14M,,,306.87M,967.68M,,37.25M,,37.25M,176.88M,214.13M,1.164M,,1.164M,,1.164M,16.33M,16.33M,,231.62M,2.526M,,2.526M,11.60M,11.60M,,14.12M,245.74M,,0.174M,369.96M,426.89M,,,-75.09M,721.93M,,,
2000-12,239.19M,,239.19M,,390.37M,,,42.05M,671.61M,,,,,,250.31M,-118.94M,131.37M,,168.05M,168.05M,,,299.42M,971.03M,,51.07M,,51.07M,,51.07M,,,1.223M,,1.223M,,,184.86M,237.16M,2.541M,,2.541M,12.79M,12.79M,,15.33M,252.49M,,0.176M,388.95M,406.47M,,,-77.06M,718.54M,,,
2000-09,260.43M,,260.43M,,376.44M,,,39.86M,676.72M,,,,,,237.83M,-119.09M,118.74M,,173.12M,173.12M,,,291.86M,968.59M,,39.75M,,39.75M,,39.75M,,,1.209M,,1.209M,,,201.20M,242.16M,2.555M,,2.555M,9.676M,9.676M,,12.23M,254.40M,,0.178M,403.90M,398.35M,,,-88.24M,714.19M,,,
2000-06,228.63M,,228.63M,,364.25M,,,36.66M,629.54M,,,,,,219.44M,-106.40M,113.03M,,172.07M,172.07M,,,285.10M,914.64M,,39.25M,,39.25M,,39.25M,,,0.044M,,0.044M,,,188.87M,228.16M,2.58M,,2.58M,11.62M,11.62M,,14.20M,242.37M,,0.178M,382.14M,375.42M,,,-85.47M,672.27M,,,
2000-03,204.61M,,204.61M,,339.12M,,,30.31M,574.04M,,,,,,205.81M,-94.24M,111.56M,,173.52M,173.52M,,,285.08M,859.13M,,32.83M,,32.83M,,32.83M,,,0.054M,,0.054M,,,185.88M,218.77M,2.584M,,2.584M,16.02M,16.02M,,18.61M,237.37M,,0.089M,364.91M,342.01M,,,-85.25M,621.75M,,,
1999-12,151.10M,,151.10M,,309.30M,,,30.10M,490.50M,,,,,,193.30M,-82.40M,110.90M,,175.70M,175.70M,,0.10M,286.70M,777.20M,,29.80M,,29.80M,,29.80M,,,0.90M,,0.90M,,,145.50M,176.20M,2.60M,,2.60M,22.30M,22.30M,,24.90M,201.10M,,0.10M,329.50M,303.10M,,,-56.50M,576.10M,,,
1999-09,182.80M,,182.80M,,291.40M,,,28.40M,502.60M,,,,,,175.70M,-72.60M,103.10M,,172.50M,172.50M,,,275.60M,778.20M,,42.00M,,42.00M,,42.00M,,,1.20M,,1.20M,,,139.30M,182.50M,2.60M,,2.60M,21.90M,21.90M,,24.50M,207.00M,,0.10M,331.60M,,,,239.50M,571.20M,,,
1999-06,188.00M,,188.00M,,267.50M,,,25.80M,481.30M,,,,,,161.00M,-57.00M,104.00M,,174.40M,174.40M,,,278.40M,759.70M,,27.90M,,27.90M,,27.90M,,,1.80M,,1.80M,,,134.50M,164.20M,2.60M,,2.60M,22.30M,22.30M,0.10M,25.00M,189.20M,,,337.90M,,,,,570.50M,,,
1999-03,176.30M,,176.30M,,255.50M,,,23.70M,455.50M,,,,,,158.00M,-55.20M,102.80M,,176.40M,176.40M,,,279.20M,734.70M,,25.20M,,25.20M,,25.20M,,,1.00M,,1.00M,,,127.50M,153.70M,3.40M,,3.40M,24.10M,24.10M,0.10M,27.60M,181.30M,,,327.30M,,,,,553.40M,,,
1998-12,166.10M,,166.10M,,240.70M,,,23.60M,430.40M,,,,,,143.90M,-48.90M,95.00M,,178.40M,178.40M,,-0.10M,273.30M,703.70M,,23.70M,,23.70M,,23.70M,,,1.30M,,1.30M,,,127.80M,152.80M,3.40M,,3.40M,25.00M,25.00M,,28.40M,181.20M,,,309.80M,,,,,522.50M,,,
1998-09,166.80M,,166.80M,,233.40M,,,31.40M,431.60M,,,,,,125.50M,-43.60M,81.90M,,177.90M,177.90M,,0.10M,259.90M,691.50M,,23.10M,,23.10M,,23.10M,,,1.30M,,1.30M,,,131.20M,155.60M,3.60M,,3.60M,25.80M,25.80M,0.10M,29.50M,185.10M,,,304.20M,,,,,506.40M,,,
1998-06,191.30M,,191.30M,,217.50M,,,24.50M,433.30M,,,,,,109.70M,-38.40M,71.30M,,173.70M,173.70M,,0.10M,245.10M,678.40M,,22.10M,,22.10M,,22.10M,,,1.10M,,1.10M,,,129.20M,152.40M,4.20M,,4.20M,20.10M,20.10M,0.10M,24.40M,176.80M,,,312.80M,,,,,501.60M,,,
1998-03,158.40M,,158.40M,,205.60M,,,18.00M,382.00M,,,,,,94.60M,-33.90M,60.70M,,175.60M,175.60M,,,236.30M,618.30M,,26.20M,,26.20M,,26.20M,,,1.30M,,1.30M,,,107.20M,134.70M,4.30M,,4.30M,18.20M,18.20M,,22.50M,157.20M,,,286.80M,,,,,461.10M,,,
1997-12,131.30M,,131.30M,,186.90M,,,15.80M,334.00M,,,,,,79.90M,-30.00M,49.90M,,177.40M,177.40M,,0.10M,227.40M,561.40M,,20.30M,,20.30M,,20.30M,,,3.60M,,3.60M,,,98.20M,122.10M,4.50M,,4.50M,15.90M,15.90M,0.10M,20.50M,142.60M,,,267.40M,,,,,418.80M,,,
1997-09,130.80M,,130.80M,,173.00M,,,17.70M,321.50M,,,,,,,,,,173.40M,173.40M,,42.20M,215.60M,537.10M,,21.30M,,21.30M,,21.30M,,,3.60M,,3.60M,,,98.50M,123.40M,4.80M,,4.80M,16.00M,16.00M,-0.10M,20.70M,144.10M,,,250.50M,,,,,393.00M,,,
1997-06,106.40M,,106.40M,,154.60M,,,15.80M,276.80M,,,,,,,,,,175.10M,175.10M,,37.70M,212.80M,489.60M,,18.60M,,18.60M,,18.60M,,,3.00M,,3.00M,,,84.90M,106.50M,5.40M,,5.40M,16.00M,16.00M,,21.40M,127.90M,,,226.10M,,,,,361.70M,,,
1997-03,87.60M,,87.60M,,141.90M,,,14.10M,243.60M,,,,,,,,,,176.80M,176.80M,,30.50M,207.30M,450.90M,,17.40M,,17.40M,,17.40M,,,2.30M,,2.30M,,,78.60M,98.30M,3.70M,,3.70M,16.00M,16.00M,-0.10M,19.60M,117.90M,,,208.60M,,,,,333.00M,,,
1996-12,80.20M,,80.20M,,125.40M,,,9.00M,214.60M,,,,,,45.00M,-18.30M,26.70M,,174.70M,174.70M,,,201.40M,416.00M,,15.00M,,15.00M,,15.00M,,,1.50M,,1.50M,,,70.10M,86.60M,5.10M,,5.10M,15.90M,15.90M,,21.00M,107.60M,,,194.70M,,,,,308.40M,,,
1996-09,71.00M,,71.00M,,112.10M,,,11.10M,194.20M,,,,,,,,,,159.60M,159.60M,,21.00M,180.60M,374.80M,,14.20M,,14.20M,,14.20M,,,2.10M,,2.10M,,,52.80M,69.10M,2.60M,,2.60M,16.30M,16.30M,,18.90M,88.00M,,,177.90M,,,,,286.80M,,,
1996-06,56.50M,,56.50M,,102.30M,,,12.20M,171.00M,,,,,,,,,,160.90M,160.90M,,16.30M,177.20M,348.20M,,15.10M,,15.10M,,15.10M,,,2.10M,,2.10M,,,50.60M,67.80M,2.60M,,2.60M,15.70M,15.70M,0.10M,18.40M,86.20M,,,162.70M,,,,,262.00M,,,
1996-03,50.20M,,50.20M,,96.00M,,,8.00M,154.20M,,,,,,,,,,158.10M,158.10M,,13.10M,171.20M,325.40M,,12.20M,,12.20M,,12.20M,,,1.00M,,1.00M,,,50.80M,64.00M,1.10M,,1.10M,15.90M,15.90M,-0.10M,16.90M,80.90M,,,149.70M,,,,,244.50M,,,
1995-12,41.30M,,41.30M,,85.00M,,,7.40M,133.70M,,,,,,,,,,155.40M,155.40M,,12.00M,167.40M,301.10M,,12.60M,,12.60M,,12.60M,,,4.20M,,4.20M,,,39.10M,55.90M,1.50M,,1.50M,15.80M,15.80M,,17.30M,73.20M,,,137.70M,,,,,227.90M,,,
1995-09,31.70M,,31.70M,,79.90M,,,5.70M,117.30M,,,,,,,,,,154.90M,154.90M,,10.70M,165.60M,282.90M,,9.80M,,9.80M,,9.80M,,,3.60M,,3.60M,,,36.10M,49.50M,2.10M,,2.10M,19.80M,19.80M,-0.10M,21.80M,71.30M,,,127.30M,,,,,211.60M,,,
1995-06,23.90M,,23.90M,,70.90M,,,5.70M,100.50M,,,,,,,,,,152.20M,152.20M,,9.30M,161.50M,262.00M,,8.60M,,8.60M,,8.60M,,,0.80M,,0.80M,,,32.90M,42.30M,2.30M,,2.30M,19.70M,19.70M,0.10M,22.10M,64.40M,,,116.90M,,,,,197.60M,,,
1995-03,14.90M,,14.90M,,68.40M,,,5.70M,89.00M,,,,,,,,,,151.70M,151.70M,,7.80M,159.50M,248.50M,,8.40M,,8.40M,,8.40M,,,0.90M,,0.90M,,,30.10M,39.40M,2.30M,,2.30M,18.90M,18.90M,0.10M,21.30M,60.70M,,,248.50M,,,,,187.80M,,,
1994-12,2.60M,,2.60M,,60.00M,,,5.10M,67.70M,,,,,,,,,,152.80M,152.80M,,7.30M,160.10M,227.80M,,7.20M,,7.20M,,7.20M,,,1.10M,,1.10M,,,21.30M,29.60M,3.10M,,3.10M,18.00M,18.00M,0.10M,21.20M,50.80M,,,100.40M,,,,,177.00M,,,
1994-09,1.10M,,1.10M,,54.80M,,,5.20M,61.10M,,,,,,,,,,154.10M,154.10M,,6.40M,160.50M,221.60M,,6.70M,,6.70M,,6.70M,,,,,,,,24.10M,30.80M,16.80M,,16.80M,18.10M,18.10M,,34.90M,65.70M,,,94.00M,,,,,155.90M,,,
1994-06,1.50M,,1.50M,,50.20M,,,5.90M,57.60M,,,,,,,,,,155.00M,155.00M,,5.60M,160.60M,218.20M,,7.70M,,7.70M,,7.70M,,,1.10M,,1.10M,,,22.40M,31.20M,21.70M,,21.70M,17.90M,17.90M,,39.60M,70.80M,,,87.30M,,,,,147.40M,,,
1994-03,1.50M,,1.50M,,47.00M,,,5.40M,53.90M,,,,,,,,,,152.90M,152.90M,,5.00M,157.90M,211.80M,,6.50M,,6.50M,,6.50M,,,0.90M,,0.90M,,,19.60M,27.00M,27.30M,,27.30M,17.00M,17.00M,0.10M,44.40M,71.40M,,,80.80M,,,,,140.40M,,,
1993-12,1.80M,,1.80M,,40.20M,,,5.50M,47.50M,,,,,,,,,,152.20M,152.20M,,4.90M,157.10M,204.60M,,6.70M,,6.70M,,6.70M,,,0.40M,,0.40M,,,15.10M,22.20M,32.30M,,32.30M,16.50M,16.50M,,48.80M,71.00M,,,75.40M,,,,,133.60M,,,
1993-09,2.10M,,2.10M,,36.00M,,,5.40M,43.50M,,,,,,,,,,145.70M,145.70M,,5.40M,151.10M,194.60M,,7.10M,,7.10M,,7.10M,,,0.60M,,0.60M,,,11.30M,19.00M,53.30M,,53.30M,16.00M,16.00M,0.10M,69.40M,88.40M,,,72.10M,,,,,106.20M,,,
1993-06,0.50M,,0.50M,,33.10M,,,5.70M,39.30M,,,,,,,,,,146.10M,146.10M,,5.40M,151.50M,190.80M,,8.00M,,8.00M,,8.00M,,,0.60M,,0.60M,,,10.80M,19.40M,56.90M,,56.90M,16.20M,16.20M,0.10M,73.20M,92.60M,,,70.10M,,,,,98.20M,,,
1993-03,0.40M,,0.40M,,32.30M,,,5.10M,37.80M,,,,,,,,,,143.00M,143.00M,,5.50M,148.50M,186.30M,,7.60M,,7.60M,,7.60M,,,0.80M,,0.80M,,,9.70M,18.10M,58.20M,,58.20M,15.40M,15.40M,,73.60M,91.70M,,,67.30M,,,,,94.60M,,,
1992-12,0.60M,,0.60M,,27.40M,,,4.30M,32.30M,,,,,,,,,,143.80M,143.80M,,5.70M,149.50M,181.80M,,5.70M,,5.70M,,5.70M,,,0.90M,,0.90M,,,8.10M,14.70M,61.00M,,61.00M,15.20M,15.20M,-0.10M,76.10M,90.80M,,,65.00M,,,,,91.00M,,,
1992-09,0.60M,,0.60M,,26.20M,,,4.40M,31.20M,,,,,,,,,,138.10M,138.10M,,5.40M,143.50M,174.70M,,5.80M,,5.80M,,5.80M,,,1.40M,,1.40M,,,7.00M,14.20M,55.40M,,55.40M,15.70M,15.70M,0.10M,71.20M,85.40M,,,64.00M,,,,,89.30M,,,
1992-06,1.50M,,1.50M,,26.00M,,,5.30M,32.80M,,,,,,,,,,139.10M,139.10M,,6.10M,145.20M,178.00M,,5.90M,,5.90M,,5.90M,,,1.50M,,1.50M,,,8.90M,16.30M,58.70M,,58.70M,15.00M,15.00M,-0.10M,73.60M,89.90M,,,62.80M,,,,,88.10M,,,
1992-03,1.50M,,1.50M,,26.00M,,,4.70M,32.20M,,,,,,,,,,139.70M,139.70M,,6.80M,146.50M,178.70M,,6.00M,,6.00M,,6.00M,,,1.90M,,1.90M,,,8.00M,15.90M,61.70M,,61.70M,14.50M,14.50M,0.10M,76.30M,92.20M,,,61.80M,,,,,86.50M,,,
1991-12,0.80M,,0.80M,,26.20M,,,4.40M,31.40M,,,,,,,,,,140.70M,140.70M,,6.80M,147.50M,178.90M,,5.60M,,5.60M,,5.60M,,,6.00M,,6.00M,,,7.90M,19.50M,61.60M,,61.60M,13.40M,13.40M,,75.00M,94.50M,,,61.30M,,,,,84.40M,,,
1991-09,2.30M,,2.30M,,27.30M,,,4.10M,33.70M,,,,,,,,,,141.40M,141.40M,,7.30M,148.70M,182.40M,,5.70M,,5.70M,,5.70M,,,6.90M,,6.90M,,,8.00M,20.60M,66.40M,,66.40M,12.30M,12.30M,,78.70M,99.30M,,,60.30M,,,,,83.10M,,,
1991-06,1.50M,,1.50M,,28.00M,,,3.50M,33.00M,,,,,,,,,,141.80M,141.80M,,7.90M,149.70M,182.70M,,5.70M,,5.70M,,5.70M,,,5.80M,,5.80M,,,6.80M,18.30M,70.40M,,70.40M,12.00M,12.00M,,82.40M,100.70M,,,59.40M,,,,,82.00M,,,
1991-03,0.40M,,0.40M,,31.80M,,,3.90M,36.10M,,,,,,,,,,141.80M,141.80M,,8.30M,150.10M,186.20M,,4.90M,,4.90M,,4.90M,,,5.50M,,5.50M,,,6.70M,17.10M,76.40M,,76.40M,12.00M,12.00M,-0.10M,88.30M,105.40M,,,58.50M,,,,,80.80M,,,
1990-12,1.20M,,1.20M,,32.60M,,,4.00M,37.80M,,,,,,,,,,141.70M,141.70M,,8.90M,150.60M,188.40M,,4.60M,,4.60M,,4.60M,,,5.70M,,5.70M,,,8.40M,18.70M,80.80M,,80.80M,11.60M,11.60M,,92.40M,111.10M,,,57.20M,,,,,77.30M,,,
1990-09,0.60M,,0.60M,,35.80M,,,4.80M,41.20M,,,,,,,,,,140.60M,140.60M,,9.40M,150.00M,191.20M,,3.70M,,3.70M,,3.70M,,,4.00M,,4.00M,,,11.30M,19.00M,86.00M,,86.00M,9.40M,9.40M,,95.40M,114.40M,,,56.70M,,,,,76.80M,,,
1990-06,1.60M,,1.60M,,35.60M,,,4.70M,41.90M,,,,,,,,,,141.00M,141.00M,,9.20M,150.20M,192.10M,,5.00M,,5.00M,,5.00M,,,4.10M,,4.10M,,,10.90M,20.00M,86.00M,,86.00M,8.90M,8.90M,-0.10M,94.80M,114.80M,,,56.90M,,,,,77.30M,,,
1990-03,2.50M,,2.50M,,37.20M,,,4.30M,44.00M,,,,,,,,,,137.90M,137.90M,,9.30M,147.20M,191.20M,,4.90M,,4.90M,,4.90M,,,4.30M,,4.30M,,,11.60M,20.80M,89.50M,,89.50M,8.70M,8.70M,-0.10M,98.10M,118.90M,,,54.20M,,,,,72.30M,,,
1989-12,3.10M,,3.10M,,35.60M,,,3.30M,42.00M,,,,,,,,,,133.70M,133.70M,,8.70M,142.40M,184.40M,,5.50M,,5.50M,,5.50M,,,1.30M,,1.30M,,,11.00M,17.80M,89.00M,,89.00M,9.00M,9.00M,-0.10M,97.90M,115.70M,,,51.60M,,,,,68.70M,,,
1989-09,3.80M,,3.80M,,31.50M,,,2.90M,38.20M,,,,,,136.80M,-6.90M,129.90M,,,,,8.50M,138.40M,176.60M,,7.50M,,7.50M,,7.50M,,,,,,,,10.20M,17.70M,77.40M,,77.40M,9.30M,9.30M,3.80M,90.50M,108.20M,,,51.10M,,,,,68.40M,,,
1988-12,35.80M,,35.80M,,25.20M,,,2.40M,63.40M,,,,,,,,,,123.40M,123.40M,,8.10M,131.50M,194.90M,,,,,,,,,10.80M,,10.80M,,,20.40M,31.20M,88.50M,,88.50M,9.40M,9.40M,4.10M,102.00M,133.20M,,,46.90M,,,,,61.70M,,,
1987-12,36.70M,,36.70M,,18.40M,,,1.40M,56.50M,,,,,,,,,,93.10M,93.10M,,6.10M,99.20M,155.70M,,,,,,,,,2.80M,,2.80M,,,15.70M,18.50M,80.70M,,80.70M,4.80M,4.80M,3.60M,89.10M,107.60M,,,35.10M,,,,,48.10M,,,
1986-12,54.50M,,54.50M,,8.20M,,,0.30M,63.00M,,,,,,,,,,41.40M,41.40M,,24.40M,65.80M,128.80M,,,,,,,,,1.30M,,1.30M,,,15.90M,17.20M,5.00M,,5.00M,1.40M,1.40M,56.60M,63.00M,80.20M,,,39.10M,,,,,48.60M,,,
1985-12,,,,,,,,,0.00,,,,,,,,,,,,,,132.70M,132.70M,,,,,,,,,,,,,,,0.00,51.30M,,51.30M,,,27.30M,78.60M,78.60M,,,50.00M,,,,,54.10M,,,
1984-12,,,,,,,,,0.00,,,,,,,,,,,,,,152.40M,152.40M,,,,,,,,,,,,,,,0.00,61.70M,,61.70M,,,32.50M,94.20M,94.20M,,,53.60M,,,,,58.20M,,,
