,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-03,51.59M,,11.65M,11.71M,0.074M,11.78M,11.78M,-0.894M,,,,-28.67M,21.44M,,12.57M,-6.766M,-1.436M,72.69M,,-12.65M,-12.65M,,,68.95M,-0.11M,56.19M,,,-0.019M,10.49M,-40.86M,-30.37M,,-12.08M,,,-42.47M,,345.28M,86.41M,-1.689M,430.00M,,10.49M,,-40.86M,,,,,
2004-12,49.67M,,15.51M,10.84M,6.828M,17.66M,17.66M,-4.955M,,,,-21.37M,7.058M,,-14.24M,-1.863M,-30.41M,47.48M,,-9.765M,-9.765M,,,-0.905M,-0.953M,-11.62M,,,-0.017M,10.55M,-20.34M,-9.788M,,-10.38M,,,-20.19M,,321.95M,15.67M,7.665M,345.28M,,10.55M,,-20.34M,,,,,
2004-09,43.08M,,6.809M,12.61M,6.065M,18.68M,18.68M,-7.063M,,,,-49.09M,25.91M,,3.362M,-2.858M,-22.67M,38.83M,,-9.902M,-9.902M,,,-0.174M,-0.283M,-10.36M,,,-0.018M,6.384M,-35.83M,-29.45M,,-10.39M,,,-39.85M,,329.06M,-11.38M,4.27M,321.95M,,6.384M,,-35.83M,,,,,
2004-06,32.44M,,7.451M,11.53M,6.048M,17.58M,17.58M,-5.064M,,,,-40.08M,24.72M,,10.87M,2.481M,-2.004M,50.40M,,-4.599M,-4.599M,,,-1.412M,-1.468M,-7.479M,,,-0.017M,20.65M,-2.031M,18.62M,,-10.32M,,,8.28M,,279.43M,51.20M,-1.576M,329.06M,,20.65M,,-2.031M,,,,,
2004-03,15.42M,,3.172M,13.11M,5.279M,18.39M,18.39M,4.157M,,,,-42.86M,29.09M,,,-2.247M,-16.02M,25.12M,,-8.601M,-8.601M,,,0.986M,0.565M,-7.05M,,,-0.018M,6.748M,-31.40M,-24.65M,,,,,-24.67M,,286.50M,-6.604M,-0.464M,279.43M,,6.748M,,-31.40M,,,,,
2003-12,4.848M,,13.05M,13.92M,25.86M,39.79M,39.79M,-1.555M,,,,-13.45M,-11.00M,,,-6.795M,-31.24M,24.89M,,-7.255M,-7.255M,,,,-1.004M,-8.259M,,,-0.017M,12.15M,-7.834M,4.316M,,,,,4.299M,,344.19M,20.93M,11.40M,376.52M,,12.15M,,-7.834M,,,,,
2003-09,4.847M,,-4.938M,14.20M,-8.751M,5.449M,5.449M,-5.241M,,,,-5.351M,8.733M,,,37.83M,41.21M,41.33M,,-9.956M,-9.956M,,,,-0.208M,-10.16M,,,-0.016M,4.301M,-3.189M,1.112M,,,,,1.096M,,317.67M,32.26M,-5.743M,344.19M,,4.301M,,-3.189M,,,,,
2003-06,0.134M,,6.808M,13.74M,14.30M,28.04M,28.04M,-0.903M,,,,-4.502M,-0.771M,,,-7.315M,-12.59M,21.49M,,-8.598M,-8.598M,,,,-14.22M,-22.82M,,,-0.017M,6.865M,-0.048M,6.817M,,,,,6.80M,,306.46M,5.473M,5.743M,317.67M,,6.865M,,-0.048M,,,,,
2003-03,-3.439M,,-2.453M,13.76M,2.775M,16.54M,16.54M,2.68M,,,,0.93M,10.34M,,,0.499M,11.77M,25.10M,,-11.01M,-11.01M,,,,-4.22M,-15.23M,,,-0.016M,1.943M,-22.26M,-20.32M,,,,,-20.33M,,316.93M,-10.47M,,306.46M,,1.943M,,-22.26M,,,,,
2002-12,-7.067M,,18.61M,15.09M,27.18M,42.27M,42.27M,9.832M,,,,0.133M,-7.664M,,,-27.94M,-35.47M,28.18M,,-6.569M,-6.569M,,,,-0.374M,-6.943M,,,-0.022M,6.04M,-16.29M,-10.25M,,,,,-10.28M,,302.47M,10.96M,,316.93M,,6.04M,,-16.29M,,,,,
2002-09,-3.072M,,0.331M,16.15M,2.685M,18.84M,18.84M,-2.399M,,,,7.092M,6.615M,,-11.88M,10.82M,12.64M,26.34M,,-16.47M,-16.47M,,,,-2.152M,-18.63M,,,-0.163M,2.06M,-80.57M,-78.51M,,,,,-78.67M,,373.43M,-70.96M,,302.47M,,2.06M,,-80.57M,,,,,
2002-06,3.195M,,2.468M,34.78M,0.859M,18.42M,18.42M,-2.605M,,,,7.963M,10.77M,,11.88M,18.32M,48.94M,70.42M,,-12.87M,-12.87M,,,,-38.04M,-50.90M,,,-0.006M,8.929M,-33.80M,-24.87M,,,,,-24.88M,,378.79M,-5.364M,,373.43M,,8.929M,,-33.80M,,,,,
2002-03,9.112M,,7.692M,,,17.22M,17.22M,-4.261M,,,,20.14M,4.673M,,,-18.32M,6.484M,36.25M,,-11.48M,-11.48M,,,,,-11.48M,,,-0.017M,22.27M,-15.00M,7.272M,,,,,7.255M,,346.77M,32.02M,,378.79M,,22.27M,,-15.00M,,,,,
2001-12,12.69M,,2.815M,17.70M,1.333M,19.03M,19.03M,-1.208M,,,,59.67M,-19.96M,,-2.898M,-18.54M,18.27M,51.59M,,-10.99M,-10.99M,,,,,-10.99M,,,-0.075M,,-2.906M,33.43M,,,,-28.32M,5.038M,,301.13M,45.64M,,346.77M,,,,-2.906M,,,,,
2001-09,23.15M,,3.559M,17.86M,1.333M,19.20M,19.20M,-4.233M,,,,21.00M,-0.818M,,9.587M,8.981M,38.75M,80.42M,,-20.88M,-20.88M,,,,,-20.88M,,,-0.911M,,-43.45M,-43.45M,,,,7.611M,-36.75M,,278.34M,22.78M,,301.13M,,,,-43.45M,,,,,
2001-06,37.72M,,7.526M,17.00M,1.333M,18.33M,18.33M,-2.358M,,,,38.07M,-18.42M,,-13.01M,9.562M,16.20M,77.42M,,-26.68M,-26.68M,,,,,-26.68M,,,-0.022M,,-5.904M,-5.904M,,,,11.78M,5.858M,,221.75M,56.60M,,278.34M,,,,-5.904M,,,,,
2001-03,47.56M,,7.654M,15.22M,1.336M,16.56M,16.56M,-3.62M,,,,-1.252M,-18.82M,,18.33M,,-1.747M,66.40M,,-26.14M,-26.14M,,,,,-26.14M,,,-0.074M,,-66.55M,-66.55M,,,,8.92M,-57.71M,,239.19M,-17.44M,,221.75M,,,,-66.55M,,,,,
2000-12,47.84M,,4.565M,,,15.31M,15.31M,3.193M,,,,-13.93M,4.369M,,-30.20M,33.23M,-6.54M,64.37M,,-26.52M,-26.52M,,0.00,,,-26.52M,,,0.00,-21.66M,-62.79M,-84.46M,,,,25.37M,-59.09M,,260.43M,-21.24M,,239.19M,,-21.66M,,-62.79M,,,,,
2000-09,48.04M,,20.11M,,,14.24M,14.24M,-5.135M,,,,-11.84M,6.07M,,30.31M,-14.53M,9.997M,87.25M,,-19.47M,-19.47M,,-2.46M,,,-21.93M,,,0.008M,-7.244M,-26.28M,-33.52M,,,,,-33.51M,,228.63M,31.81M,,260.43M,,-7.244M,,-26.28M,,,,,
2000-06,46.84M,,,,,13.66M,13.66M,-8.128M,,,,-25.05M,25.41M,,-16.10M,6.549M,-9.194M,43.18M,,-14.54M,-14.54M,,-0.693M,,,-15.24M,,,-0.014M,28.91M,-29.61M,-0.702M,,,,-3.205M,-3.921M,,204.61M,24.02M,,228.63M,,28.91M,,-29.61M,,,,,
2000-03,43.38M,,,,,13.43M,13.43M,-6.086M,,,,-29.85M,24.85M,,18.55M,7.985M,21.54M,72.26M,,-13.45M,-13.45M,,,,,-13.45M,,,-0.542M,,-7.943M,-7.943M,,,,3.205M,-5.28M,,151.07M,53.53M,,204.61M,,,,-7.943M,,,,,
1999-12,37.60M,,,,,11.10M,11.10M,-0.60M,,,-0.10M,-17.90M,-7.30M,,-3.90M,5.40M,-23.70M,34.20M,,-17.90M,-17.90M,,,,,-17.90M,,,,-10.40M,-39.80M,-50.20M,,,,1.90M,-48.30M,,182.80M,-32.00M,,151.10M,,-10.40M,,-39.80M,,,,,
1999-09,34.60M,,,,,10.60M,10.60M,-3.70M,,,-9.70M,-23.90M,25.10M,,-6.00M,17.50M,12.70M,44.50M,,-9.20M,-9.20M,,,,,-9.20M,,,,0.50M,-40.90M,-40.40M,,,,0.10M,-40.30M,,188.00M,-5.00M,,182.80M,,0.50M,,-40.90M,,,,,
1999-06,33.90M,,,,,9.50M,9.50M,-3.10M,,,5.20M,-12.00M,7.90M,,1.80M,,-2.30M,43.20M,,-9.50M,-9.50M,,,,,-9.50M,,,,9.90M,-23.30M,-13.40M,,,,-8.60M,-22.00M,,0.00,11.70M,,188.00M,,9.90M,,-23.30M,,,,,
1999-03,35.30M,,,,,7.90M,7.90M,0.50M,,,4.50M,-14.80M,-2.40M,,4.40M,,-12.80M,35.40M,,-16.00M,-16.00M,,,,,-16.00M,,,,,-17.80M,-17.80M,,,,8.60M,-9.20M,,166.10M,10.20M,,0.00,,,,-17.80M,,,,,
1998-12,35.30M,,,,,7.20M,7.20M,-0.30M,,,-0.10M,-7.20M,-2.20M,,-13.20M,,-1.50M,74.40M,,-15.50M,-15.50M,,,,,-19.70M,,,0.00,-34.20M,-29.70M,-63.90M,,,,8.40M,-55.50M,,0.00,-0.80M,,166.10M,,-34.20M,,-29.70M,,,,,
1998-09,35.00M,,,,,6.40M,6.40M,0.30M,,,-4.20M,-15.40M,1.10M,,9.90M,,-4.40M,33.10M,,-20.20M,-20.20M,,,,,-20.20M,,,0.00,6.10M,-43.50M,-37.40M,,,,0.10M,-37.30M,,0.00,-24.40M,,0.00,,6.10M,,-43.50M,,,,,
1998-06,32.20M,,,,,5.80M,5.80M,-1.10M,,,2.00M,-11.90M,10.30M,,7.60M,,6.00M,44.90M,,-15.40M,-15.40M,,,,,-15.40M,,,0.10M,9.60M,-6.30M,3.30M,,,,-0.20M,3.20M,,0.00,32.70M,,0.00,,9.60M,,-6.30M,,,,,
1998-03,29.10M,,,,,5.20M,5.20M,3.00M,,,2.20M,-18.70M,18.60M,,-2.70M,,-2.80M,36.70M,,-16.10M,-16.10M,,,,,-16.10M,,,-2.30M,18.50M,-9.70M,8.80M,,,,0.10M,6.60M,,131.30M,27.20M,,0.00,,18.50M,,-9.70M,,,,,
1997-12,26.90M,,,,,5.00M,5.00M,-0.20M,,,10.50M,-13.80M,-3.60M,,-13.00M,,-30.40M,11.80M,,-7.40M,-7.40M,,,,0.00,-7.40M,,,0.10M,26.90M,-10.00M,16.90M,,,,-20.80M,-3.80M,,0.00,0.60M,,131.30M,,26.90M,,-10.00M,,,,,
1997-09,24.70M,,,,,4.60M,4.60M,-2.90M,,,-4.70M,-18.50M,12.90M,,12.40M,,6.80M,28.50M,,-8.00M,-8.00M,,,,0.10M,-7.90M,,,0.00,-16.70M,-0.10M,-16.80M,,,,20.60M,3.80M,,0.00,24.40M,,0.00,,-16.70M,,-0.10M,,,,,
1997-06,22.20M,,,,,4.30M,4.30M,-1.40M,,,2.70M,-12.60M,6.30M,,0.60M,,-5.70M,22.10M,,-6.70M,-6.70M,,,,-0.20M,-6.90M,,,-0.30M,8.60M,-4.80M,3.80M,,,,0.10M,3.60M,,0.00,18.80M,,0.00,,8.60M,,-4.80M,,,,,
1997-03,19.90M,,,,,3.80M,3.80M,-0.60M,,,1.90M,-16.10M,10.70M,,,,-5.40M,19.60M,,-9.90M,-9.90M,,,,-3.20M,-13.10M,,,-1.20M,8.10M,-6.00M,2.10M,,,,,0.90M,,80.20M,7.40M,,0.00,,8.10M,,-6.00M,,,,,
1996-12,17.70M,,,,,3.50M,3.50M,-0.60M,,,7.20M,-13.10M,-4.30M,,6.10M,,-11.30M,16.50M,,-4.70M,-4.70M,,,,-3.60M,-8.30M,,,-0.60M,2.40M,-0.90M,1.50M,,,,0.10M,1.00M,,0.00,9.20M,,0.00,,2.40M,,-0.90M,,,,,
1996-09,15.90M,,,,,3.20M,3.20M,0.40M,,,-1.20M,-8.50M,9.10M,,-4.10M,,-3.50M,14.80M,,-6.50M,-6.50M,,,,0.70M,-5.80M,,,0.00,7.60M,-2.00M,5.60M,,,,-0.10M,5.50M,,0.00,14.50M,,0.00,,7.60M,,-2.00M,,,,,
1996-06,14.30M,,,,,2.70M,2.70M,-2.30M,,,-0.50M,-5.90M,4.50M,,-2.00M,,-3.40M,10.80M,,-4.50M,-4.50M,,,,-1.70M,-6.20M,,,0.00,3.00M,-1.30M,1.70M,,,,0.10M,1.80M,,0.00,6.40M,,0.00,,3.00M,,-1.30M,,,,,
1996-03,13.20M,,,,,2.50M,2.50M,0.80M,,,-0.40M,-11.10M,7.30M,,,,-3.80M,12.30M,,-2.30M,-2.30M,,,,,-2.30M,,,-3.60M,3.70M,-1.20M,2.50M,,,,-0.10M,-1.20M,,41.30M,8.80M,,0.00,,3.70M,,-1.20M,,,,,
1995-12,11.50M,,,,,2.40M,2.40M,-1.80M,,,0.40M,-5.00M,2.40M,,-2.00M,,-4.60M,7.90M,,-2.40M,-2.40M,,,,0.00,-2.40M,,,0.00,5.40M,-1.10M,4.30M,,,,-0.10M,4.20M,,0.00,9.70M,,0.00,,5.40M,,-1.10M,,,,,
1995-09,10.40M,,-1.30M,,,2.20M,2.20M,1.10M,,,-0.10M,-8.50M,6.40M,,-1.40M,,-3.50M,8.80M,,-2.50M,-2.50M,,,,-0.80M,-3.30M,,,-0.20M,2.60M,-1.90M,0.70M,,1.80M,,0.00,2.30M,,0.00,7.80M,,0.00,,2.60M,,-1.90M,,,,,
1995-06,9.40M,,1.30M,,,1.90M,1.90M,-0.70M,,,0.20M,-2.50M,-0.70M,,3.00M,,-0.20M,11.90M,,-2.40M,-2.40M,,,,-0.20M,-2.60M,,,-0.10M,0.90M,0.60M,1.50M,,-1.80M,,0.10M,-0.30M,,0.00,9.00M,,0.00,,0.90M,,0.60M,,,,,
1995-03,9.00M,,,,,1.90M,1.90M,0.70M,,,-0.10M,-8.30M,10.00M,,0.40M,,2.10M,13.60M,,-1.10M,-1.10M,,,,,-1.10M,,,-1.00M,1.40M,-0.60M,0.80M,,,,,-0.20M,,2.60M,12.30M,,0.00,,1.40M,,-0.60M,,,,,
1994-12,7.50M,,,,,1.80M,1.80M,0.00,,,0.10M,-5.20M,-1.20M,-2.70M,3.00M,,-6.10M,3.30M,,-1.30M,-6.00M,,,,4.60M,-1.40M,,,-13.70M,18.60M,-2.10M,16.50M,,,,-3.20M,-0.40M,,0.00,1.50M,,0.00,,18.60M,,-2.10M,,,,,
1994-09,6.70M,,,,,1.80M,1.80M,0.50M,,,0.10M,-4.60M,1.70M,2.70M,-3.90M,,-4.10M,5.00M,,-1.30M,-1.30M,,,,-0.10M,-1.40M,,,-5.00M,-3.20M,1.00M,-2.20M,,,,3.20M,-4.00M,,0.00,-0.40M,,0.00,,-3.20M,,1.00M,,,,,
1994-06,6.30M,,,,,1.90M,1.90M,0.30M,,,-0.10M,-2.20M,3.10M,,1.20M,,2.10M,10.50M,,-1.40M,-1.40M,,,,-2.40M,-3.80M,,,-6.80M,1.00M,-0.80M,0.20M,,,,-0.10M,-6.70M,,0.00,0.00,,0.00,,1.00M,,-0.80M,,,,,
1994-03,5.60M,,,,,1.70M,1.70M,0.30M,,,0.10M,-6.30M,2.50M,,2.70M,,-1.10M,6.60M,,-0.70M,-0.70M,,,,-1.90M,-2.60M,,,-5.20M,1.10M,-0.20M,0.90M,,,,0.10M,-4.20M,,1.80M,-0.20M,,0.00,,1.10M,,-0.20M,,,,,
1993-12,3.30M,,,,,1.80M,1.80M,0.40M,,,,-3.30M,2.20M,,0.40M,,-0.70M,4.70M,,-0.80M,-0.80M,,,,-5.60M,-6.40M,,,1.20M,0.10M,0.00,0.10M,,,,0.00,1.30M,,0.00,-0.40M,,0.00,,0.10M,,0.00,,,,,
1993-09,3.10M,,0.50M,,,1.60M,1.60M,-0.10M,,,,-2.80M,-0.50M,,-0.30M,,-3.60M,1.50M,,-0.50M,-0.50M,,,,-0.80M,-1.30M,,,-3.60M,6.10M,-1.20M,4.90M,,,,0.10M,1.40M,,0.00,1.60M,,0.00,,6.10M,,-1.20M,,,,,
1993-06,2.90M,,-0.50M,,,1.70M,1.70M,0.60M,,,,-0.50M,0.90M,,0.70M,,1.10M,5.80M,,-0.70M,-0.70M,,,,-3.90M,-4.60M,,,-1.50M,0.60M,-0.10M,0.50M,,,,,-1.00M,,0.00,0.20M,,0.00,,0.60M,,-0.10M,,,,,
1993-03,2.40M,,,,,1.60M,1.60M,0.20M,,,,-3.90M,3.30M,,-0.70M,,-1.30M,2.90M,,-0.30M,-0.30M,,,,-0.90M,-1.20M,,,-2.90M,1.10M,-0.10M,1.00M,,,,,-1.90M,,0.60M,-0.20M,,0.00,,1.10M,,-0.10M,,,,,
1992-12,1.30M,,,,,1.60M,1.60M,0.40M,,,-0.10M,-1.00M,0.00,,-1.10M,,-2.10M,1.10M,,-0.50M,-0.50M,,,,-6.10M,-6.60M,,,5.20M,0.60M,-0.30M,0.30M,,,,,5.50M,,0.00,0.00,,0.00,,0.60M,,-0.30M,,,,,
1992-09,1.10M,,,,,1.60M,1.60M,0.30M,,,,-0.20M,-0.90M,,0.80M,,-0.30M,2.70M,,-0.10M,-0.10M,,,,0.00,-0.10M,,,-3.60M,0.10M,0.00,0.10M,,,,,-3.50M,,0.00,-0.90M,,0.00,,0.10M,,0.00,,,,,
1992-06,1.20M,,,,,1.60M,1.60M,0.60M,,,-0.10M,0.00,0.60M,0.20M,-0.70M,,0.10M,3.40M,,-0.20M,-0.20M,,,,0.00,-0.20M,,,-3.20M,0.10M,-0.10M,0.00,,,,,-3.20M,,0.00,0.00,,0.00,,0.10M,,-0.10M,,,,,
1992-03,0.80M,,,,,1.60M,1.60M,0.60M,,,0.10M,0.20M,1.20M,-0.20M,,,1.20M,4.30M,,-0.30M,-0.30M,,,,-0.30M,-0.60M,,,-4.00M,1.30M,-0.30M,1.00M,,,,,-3.00M,,0.80M,0.70M,,0.00,,1.30M,,-0.30M,,,,,
1991-12,1.00M,,,,,1.60M,1.60M,0.60M,,,,1.00M,-0.70M,,0.40M,,0.70M,3.90M,,-0.20M,-0.20M,,,,0.00,-0.20M,,,-5.30M,0.10M,,0.10M,,,,,-5.20M,,0.00,-1.50M,,0.00,,0.10M,,,,,,,
1991-09,0.90M,,,,,1.60M,1.60M,0.50M,,,,0.70M,1.40M,,-1.30M,,0.80M,3.80M,,-0.20M,-0.20M,,,,0.00,-0.20M,,,-2.80M,0.00,,0.00,,,,,-2.80M,,0.00,0.80M,,0.00,,0.00,,,,,,,
1991-06,0.90M,,,,,1.60M,1.60M,0.40M,,,-0.10M,3.80M,1.10M,,-0.90M,,4.00M,6.80M,,-0.20M,-0.20M,,,,0.00,-0.20M,,,-5.80M,0.20M,,0.20M,,,,,-5.60M,,0.00,1.00M,,0.00,,0.20M,,,,,,,
1991-03,1.30M,,,,,1.60M,1.60M,0.40M,,,0.10M,1.10M,-1.30M,,,,-0.20M,3.20M,,-0.20M,-0.20M,,,,-0.70M,-0.90M,,,-4.60M,1.60M,,1.60M,,,,,-3.00M,,1.20M,-0.70M,,0.00,,1.60M,,,,,,,
1990-12,0.50M,,,,,1.60M,1.60M,-1.10M,,,-0.10M,1.90M,1.40M,,-1.90M,,1.40M,2.30M,,-1.00M,-1.00M,,,,0.00,-1.00M,,,-1.00M,0.70M,-0.40M,0.30M,,,,-0.10M,-0.80M,,0.00,0.50M,,0.00,,0.70M,,-0.40M,,,,,
1990-09,2.20M,,,,,1.40M,1.40M,0.50M,,,0.20M,-0.20M,-1.40M,,1.00M,,-0.60M,3.70M,,-0.40M,-0.40M,,,,-0.10M,-0.50M,,,-1.50M,0.00,-2.80M,-2.80M,,,,0.10M,-4.20M,,0.00,-1.00M,,0.00,,0.00,,-2.80M,,,,,
1990-06,2.80M,,,,,1.60M,1.60M,1.00M,,,-0.20M,2.50M,0.80M,,-3.20M,,0.10M,5.30M,,-0.80M,-0.80M,,,,-3.30M,-4.10M,,,-3.90M,1.90M,,1.90M,,,,,-2.00M,,0.00,-0.80M,,0.00,,1.90M,,,,,,,
1990-03,3.40M,,,,,1.40M,1.40M,0.90M,,,0.10M,-1.20M,-1.90M,,-0.40M,,-3.50M,2.30M,,-1.10M,-1.10M,,,,-1.60M,-2.70M,,,-0.20M,,,,,,,,-0.20M,,3.10M,-0.60M,,0.00,,,,,,,,,
