,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2012-06,84.00M,-10.00M,,9.00M,,,-30.00M,-31.00M,,113.00M,13.00M,4.00M,8.00M,-34.00M,0.00,28.00M,10.00M,65.00M,,,7.00M,267.00M,,2012-06,-68.00M,,-68.00M,18.00M,0.00,-8.00M,,2012-06,-4.00M,9.00M,5.00M,0.00,,0.00,0.00,0.00,-80.00M,,2.00M,-3.00M,-76.00M,,728.00M,133.00M,861.00M,,2012-06,0.00,,,0.00,54.00M,,2012-06,AOR,Restated
2012-03,41.00M,-7.00M,,-7.00M,,,-28.00M,-42.00M,,113.00M,-6.00M,8.00M,10.00M,-18.00M,-7.00M,-40.00M,-8.00M,-56.00M,,,-55.00M,-60.00M,,2012-03,-54.00M,,-54.00M,6.00M,,-9.00M,,2012-03,-2.00M,-29.00M,-31.00M,,,,,,-81.00M,,5.00M,-1.00M,-108.00M,,953.00M,-225.00M,728.00M,,2012-03,,,,,114.00M,,2012-03,AOR,Restated
2011-12,331.00M,,,-5.00M,,,85.00M,71.00M,,117.00M,51.00M,19.00M,6.00M,-405.00M,-37.00M,-6.00M,13.00M,-59.00M,,,46.00M,147.00M,,2011-12,-53.00M,-353.00M,-406.00M,,,-22.00M,,2011-12,-33.00M,28.00M,-5.00M,,-13.00M,-13.00M,,,,,1.00M,-1.00M,-99.00M,,971.00M,-18.00M,953.00M,,2011-12,,,-13.00M,7.00M,58.00M,,2011-12,AOR,Restated
2011-09,-109.00M,,,19.00M,,,-10.00M,-42.00M,,120.00M,-103.00M,34.00M,2.00M,252.00M,43.00M,-9.00M,0.00,-51.00M,,,-20.00M,117.00M,,2011-09,-66.00M,157.00M,91.00M,,,-1.00M,,2011-09,0.00,-8.00M,-8.00M,,-24.00M,-24.00M,,,,,0.00,-4.00M,-117.00M,,881.00M,90.00M,971.00M,,2011-09,,,-24.00M,6.00M,115.00M,,2011-09,AOR,Restated
2011-06,109.00M,,,-1.00M,,,1.00M,-20.00M,,120.00M,-13.00M,2.00M,3.00M,-80.00M,-17.00M,35.00M,-4.00M,15.00M,,,-36.00M,114.00M,,2011-06,-46.00M,3.00M,-43.00M,,,-10.00M,,2011-06,-548.00M,1.00M,-547.00M,,,,,,,,3.00M,-19.00M,-643.00M,,1.463B,-582.00M,881.00M,,2011-06,,,,13.00M,91.00M,,2011-06,AOR,Restated
2011-03,,,,-7.00M,,,5.00M,-158.00M,,123.00M,39.00M,1.00M,14.00M,89.00M,-79.00M,-66.00M,-10.00M,-38.00M,,,-2.00M,-87.00M,,2011-03,-47.00M,193.00M,146.00M,,,5.00M,,2011-03,-2.00M,-19.00M,-21.00M,,,,,,,,34.00M,,-68.00M,,1.467B,-4.00M,1.463B,,2011-03,,,,2.00M,156.00M,,2011-03,AOR,Restated
2010-12,171.00M,,,-4.00M,,,204.00M,154.00M,,127.00M,-1.257B,112.00M,8.00M,726.00M,98.00M,2.00M,4.00M,19.00M,,,61.00M,225.00M,,2010-12,-53.00M,,-53.00M,,148.00M,-359.00M,,2010-12,-65.00M,16.00M,-49.00M,,0.00,0.00,,,,,0.00,1.00M,-75.00M,,1.368B,99.00M,1.467B,,2010-12,,,0.00,-444.00M,57.00M,,2010-12,AOR,Restated
2010-09,1.116B,,,-4.00M,,-3.00M,-76.00M,-93.00M,,124.00M,-90.00M,2.00M,4.00M,-905.00M,-18.00M,-7.00M,-1.00M,-19.00M,,,-16.00M,97.00M,,2010-09,-43.00M,-130.00M,-173.00M,,0.00,174.00M,,2010-09,-2.00M,-15.00M,-17.00M,,0.00,0.00,,,,,0.00,1.00M,-576.00M,,1.846B,-478.00M,1.368B,,2010-09,,,0.00,-1.00M,133.00M,,2010-09,AOR,Restated
2010-06,14.00M,,,10.00M,,0.00,-16.00M,-16.00M,,126.00M,56.00M,1.00M,6.00M,14.00M,-45.00M,40.00M,6.00M,-6.00M,,,-7.00M,189.00M,,2010-06,-39.00M,15.00M,-24.00M,,0.00,88.00M,,2010-06,-548.00M,-8.00M,-556.00M,,,,,,,,0.00,-1.00M,-567.00M,,2.16B,-314.00M,1.846B,,2010-06,,,,1.00M,120.00M,,2010-06,AOR,Restated
2010-03,-18.00M,,,-10.00M,,3.00M,-133.00M,-223.00M,,126.00M,34.00M,2.00M,6.00M,-72.00M,481.00M,-65.00M,-13.00M,-47.00M,,,-33.00M,178.00M,,2010-03,-59.00M,115.00M,56.00M,,47.00M,47.00M,,2010-03,-17.00M,-7.00M,-24.00M,,,,,,,,0.00,-2.00M,-37.00M,,1.869B,291.00M,2.16B,,2010-03,,,,444.00M,153.00M,,2010-03,AOR,Restated
