,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2004-06,2.033B,16.13B,18.16B,16.45B,,,16.45B,,34.61B,5.958B,8.133B,,8.133B,41.86B,313.21B,,552.63B,735.98B,,50.17B,6.598B,,56.77B,56.77B,8.65B,,8.65B,8.65B,,,65.42B,75.99B,75.99B,,,3.695B,17.00B,163.81B,22.84B,18.60B,3.958B,,301.93B,658.26B,,6.878B,66.14B,565.00M,1.644B,,,,1.64B,73.58B,,AOR,Restated
2004-03,1.92B,16.78B,18.70B,15.84B,,,15.84B,,34.54B,5.999B,7.683B,,7.683B,39.82B,321.63B,,555.31B,724.15B,,44.05B,9.901B,,53.95B,53.95B,7.813B,,7.813B,7.813B,,,61.76B,73.10B,73.10B,,,3.516B,14.96B,161.92B,22.00B,20.96B,3.792B,,296.45B,643.39B,,6.878B,63.45B,567.00M,1.427B,,,,7.315B,76.78B,,AOR,Restated
2003-12,922.00M,8.914B,9.836B,14.17B,,,14.17B,,24.00B,6.006B,7.633B,,7.633B,38.86B,297.56B,,513.00B,678.35B,,32.79B,7.755B,,40.54B,40.54B,5.938B,,5.938B,5.938B,,,46.48B,71.34B,71.34B,,,3.491B,14.81B,158.19B,20.76B,20.73B,3.311B,,289.32B,603.59B,,6.878B,60.96B,568.00M,1.397B,,,,4.244B,71.25B,,AOR,
2003-09,949.00M,14.48B,15.43B,15.15B,,,15.15B,,30.57B,5.843B,7.855B,,7.855B,37.95B,288.06B,,497.31B,647.66B,,30.55B,6.885B,,37.44B,37.44B,7.623B,,7.623B,7.623B,,,45.06B,69.12B,69.12B,,,3.467B,11.21B,153.99B,20.34B,18.32B,1.799B,,276.45B,577.50B,,6.878B,58.42B,583.00M,1.424B,,,,3.711B,68.17B,,AOR,Restated
2003-06,835.00M,13.20B,14.03B,15.78B,,,15.78B,,29.81B,5.578B,6.139B,,6.139B,36.09B,268.01B,,472.50B,620.61B,,29.05B,8.476B,,37.53B,37.53B,9.34B,,9.34B,9.34B,,,46.87B,67.53B,67.53B,,,3.297B,10.51B,141.67B,19.16B,24.07B,1.823B,,266.23B,550.43B,,6.878B,56.26B,592.00M,1.367B,,,,5.997B,68.36B,,AOR,Restated
2003-03,660.00M,14.26B,14.92B,14.47B,,,14.47B,,29.39B,5.433B,6.185B,,6.185B,35.78B,252.42B,,453.27B,591.81B,,29.52B,6.151B,,35.67B,35.67B,11.04B,,11.04B,11.04B,,,46.71B,63.33B,63.33B,,,2.973B,11.56B,137.56B,17.66B,21.77B,1.679B,,254.86B,527.87B,,6.878B,54.10B,599.00M,1.394B,,,,2.073B,62.26B,,AOR,Restated
2002-12,,,,13.09B,,,13.09B,,13.09B,32.25B,,6.079B,6.079B,19.93B,,,475.34B,561.23B,,,,,,,,9.112B,9.112B,9.112B,,,9.112B,62.77B,62.77B,,,2.987B,,,16.34B,,3.733B,,82.10B,498.39B,,6.878B,52.27B,607.00M,1.343B,,,,,58.30B,,AOR,Restated
2002-09,893.00M,16.32B,17.22B,11.44B,,,11.44B,,28.66B,4.797B,6.009B,,6.009B,34.96B,253.63B,,444.71B,547.30B,,3.449B,5.321B,,8.77B,8.77B,10.51B,,10.51B,10.51B,,,19.28B,58.86B,58.86B,5.015B,5.015B,2.982B,9.325B,124.83B,16.74B,20.59B,1.582B,,238.35B,486.93B,,6.878B,52.50B,639.00M,1.407B,,,,176.00M,58.78B,,AOR,
2002-06,730.00M,12.48B,13.20B,13.09B,,,13.09B,,26.30B,4.908B,6.205B,,6.205B,32.66B,239.28B,,415.98B,524.39B,,3.56B,3.648B,,7.208B,7.208B,11.50B,,11.50B,11.50B,,,18.71B,57.36B,57.36B,3.365B,3.365B,2.409B,10.77B,121.39B,15.52B,17.09B,1.566B,,227.91B,467.86B,,6.878B,50.78B,670.00M,1.30B,,,,-2.064B,54.96B,,AOR,
2002-03,1.148B,13.22B,14.37B,12.72B,,,12.72B,,27.09B,4.737B,6.093B,,6.093B,31.35B,227.75B,,396.29B,507.56B,,3.68B,3.40B,,7.08B,7.08B,11.84B,,11.84B,11.84B,,,18.92B,54.66B,54.66B,,,2.25B,11.59B,116.47B,14.16B,15.07B,1.554B,,214.20B,453.33B,,6.878B,49.09B,691.00M,1.154B,,,,-2.828B,52.68B,,AOR,
2001-12,,,,,,,,,,,,,,,,,,490.61B,,,,,,,,,,,,,,,,,,,,,,,,,,440.73B,,,,,,,,,,49.88B,,AOR,Restated
2001-09,485.00M,9.641B,10.13B,13.06B,,,13.06B,,23.19B,4.353B,,,,29.73B,205.10B,,368.51B,468.68B,,4.281B,4.168B,,8.449B,8.449B,14.74B,,14.74B,14.74B,,,23.19B,51.88B,51.88B,,,2.38B,11.32B,104.80B,13.16B,17.42B,1.476B,,200.97B,416.41B,,6.87B,45.46B,559.00M,912.00M,,,,-1.194B,50.79B,,AOR,
2001-06,248.00M,6.295B,6.543B,12.90B,,,12.90B,,19.44B,3.602B,,,,12.27B,125.17B,,258.81B,333.19B,,3.645B,2.982B,,6.627B,6.627B,6.318B,,6.318B,6.318B,,,12.94B,43.04B,43.04B,,,2.179B,10.74B,135.87B,12.90B,14.52B,1.541B,,219.25B,289.00B,,6.189B,37.29B,2.564B,1.531B,,,,-1.856B,42.66B,,AOR,
2001-03,253.00M,5.898B,6.151B,12.73B,,,12.73B,,18.88B,3.561B,,,,12.46B,120.71B,,251.10B,320.80B,,3.394B,3.055B,,6.449B,6.449B,6.985B,,6.985B,6.985B,,,13.43B,36.26B,36.26B,,,2.232B,11.60B,132.66B,12.58B,16.73B,1.522B,,212.06B,277.53B,,6.189B,35.75B,2.618B,1.548B,,,,-1.256B,41.75B,,AOR,
2000-12,,,,,,,,,,,,,,,,,,423.85B,,,,,,,,,,,,,,,,,,,,,,,,,,377.83B,,,,,,,,,,46.02B,,AOR,Restated
2000-09,280.00M,5.669B,5.949B,13.68B,,,13.68B,,19.63B,3.278B,,,,12.69B,112.50B,,221.24B,295.41B,,3.075B,1.67B,,4.745B,4.745B,5.998B,,5.998B,5.998B,,,10.74B,31.91B,31.91B,,,1.91B,8.846B,125.88B,12.03B,16.61B,1.463B,,197.19B,257.37B,,6.189B,32.89B,1.981B,2.456B,,,,-2.036B,36.57B,,AOR,
2000-06,314.00M,6.435B,6.749B,13.97B,,,13.97B,,20.72B,2.967B,,,,12.33B,108.43B,,212.61B,281.21B,,2.727B,1.042B,,3.769B,3.769B,5.379B,,5.379B,5.379B,,,9.148B,30.58B,30.58B,,,1.985B,5.634B,123.85B,11.64B,15.14B,1.407B,,188.83B,245.00B,,4.152B,33.64B,2.037B,2.567B,,,,-2.455B,34.80B,,AOR,
2000-03,211.00M,6.917B,7.128B,13.62B,,,13.62B,,20.74B,2.946B,,,,12.33B,105.95B,,210.86B,279.26B,,2.466B,1.135B,,3.601B,3.601B,6.218B,,6.218B,6.218B,,,9.819B,28.62B,28.62B,,,2.274B,6.233B,120.76B,11.54B,16.40B,1.382B,,185.83B,244.04B,,4.152B,32.31B,2.054B,2.634B,,,,-2.043B,33.84B,,AOR,
1999-12,,,,,,,,,,,,,,,,,,383.68B,,,,,,,,,,,,,,,,,,,,,,,,,,344.04B,,,,,,,,,,39.64B,,AOR,Restated
1999-09,,,,12.90B,,,12.90B,,12.90B,20.12B,,,,12.22B,,,210.52B,259.79B,,,,,,,,3.676B,3.676B,3.676B,,,3.676B,28.87B,28.87B,,,2.065B,,38.43B,11.02B,,2.268B,,80.39B,225.22B,,4.152B,29.81B,2.077B,1.882B,,,,,32.30B,,,
1999-06,,,,12.72B,,,12.72B,,12.72B,20.76B,,,,12.01B,,,206.50B,255.02B,,,,,,,,4.821B,4.821B,4.821B,,,4.821B,29.81B,29.81B,,,1.937B,,38.41B,10.46B,,2.303B,,80.61B,220.84B,,3.334B,29.44B,2.075B,1.85B,,,,,31.87B,,,
1999-03,,,,12.52B,,,12.52B,,12.52B,19.90B,,,,11.69B,,,201.41B,247.07B,,,,,,,,4.621B,4.621B,4.621B,,,4.621B,27.46B,27.46B,,,2.064B,,38.46B,10.25B,,2.32B,,78.23B,213.78B,,3.334B,28.24B,2.008B,1.771B,,,,,30.97B,,,
1998-12,,,,11.68B,,,11.68B,,11.68B,19.07B,,,,11.74B,,,298.49B,338.78B,,,,,,,,4.636B,4.636B,4.636B,,,4.636B,27.27B,27.27B,,,35.55B,,,10.01B,,2.485B,,72.83B,201.01B,,,27.11B,,,,,,,30.18B,,AOR,Restated
1998-09,,,,11.84B,,,11.84B,,11.84B,18.45B,,,,8.551B,,,157.78B,183.92B,,,,,,,,4.290B,4.290B,4.290B,,,4.290B,25.07B,25.07B,,,12.90B,,37.65B,9.910B,,400.00M,,85.54B,157.69B,,,24.57B,,,,,,,25.83B,,,
1998-06,,,,11.51B,,,11.51B,,11.51B,18.37B,,,,8.278B,,,151.11B,176.10B,,,,,,,,4.585B,4.585B,4.585B,,,4.585B,22.66B,22.66B,,,12.13B,,33.91B,9.204B,,400.00M,,77.91B,149.97B,,,24.65B,,,,,,,25.73B,,,
1998-03,,,,11.29B,,,11.29B,,11.29B,17.39B,,,,8.050B,,,145.50B,169.38B,,,,,,,,,,,,,,25.30B,25.30B,,,11.56B,,33.65B,8.972B,,400.00M,,79.49B,144.02B,,,23.76B,,,,,,,24.97B,,,
1997-12,,,,10.28B,,,10.28B,,10.28B,16.78B,,,,7.920B,,,141.73B,163.97B,,,,,,,,3.375B,3.375B,3.375B,,,3.375B,21.89B,21.89B,,,11.30B,,,8.739B,,400.00M,,41.92B,139.57B,,,22.92B,,,,-1.178B,,-1.178B,24.00B,,AOR,
1997-09,,,,10.43B,,,10.43B,,10.43B,2.257B,,,,8.198B,,,136.29B,158.61B,,,,,,,,3.903B,3.903B,3.903B,,,3.903B,20.63B,20.63B,,,11.60B,,34.47B,8.717B,,400.00M,,75.42B,134.35B,,,22.09B,,,,-897.20M,,-897.20M,23.87B,,,
1997-06,,,,10.50B,,,10.50B,,10.50B,17.80B,,,,8.157B,,,133.88B,156.24B,,,,,,,,,,,,,,25.28B,25.28B,,,10.05B,,34.19B,8.370B,,400.00M,,77.88B,132.81B,,,21.93B,,,,-605.00M,,-605.00M,23.02B,,,
1997-03,,,,10.36B,,,10.36B,,10.36B,2.079B,,,,7.775B,,,129.81B,151.15B,,,,,,,,5.041B,5.041B,5.041B,,,5.041B,19.44B,19.44B,,,10.99B,,33.72B,7.913B,,400.00M,,72.07B,128.39B,,,21.15B,,,,-578.30M,,-578.30M,22.36B,,,
1996-12,58.74M,2.008B,2.067B,9.617B,,-0.039M,9.617B,,11.68B,2.123B,,,,7.877B,56.70B,,129.44B,148.43B,,1.833B,788.68M,,2.621B,2.621B,4.498B,,4.498B,4.498B,,,7.119B,19.02B,19.02B,,,11.01B,3.039B,69.46B,7.599B,6.983B,400.00M,,117.11B,125.99B,,1.265B,20.42B,127.42M,654.38M,,-493.20M,1.378B,885.10M,22.04B,,AOR,
1996-09,,,,11.99B,,,11.99B,,11.99B,15.34B,,,,10.08B,,,121.76B,144.65B,,,,,,,,,,,,,,20.60B,20.60B,,,13.06B,,33.98B,8.114B,,400.00M,,75.74B,123.19B,,,19.70B,,,,-463.70M,,-463.70M,21.06B,,,
1996-06,,,,12.80B,,,12.80B,,12.80B,15.72B,,,,9.635B,,,119.70B,142.72B,,,,,,,,,,,,,,21.01B,21.01B,,,11.46B,,33.73B,7.866B,,400.00M,,74.07B,121.92B,,,19.01B,,,,-460.20M,,-460.20M,20.39B,,,
1996-03,,,,11.94B,,,11.94B,,11.94B,14.86B,,,,8.818B,,,114.99B,136.60B,,,,,,,,,,,,,,18.51B,18.51B,,,11.77B,,33.38B,7.29B,,400.00M,,70.96B,116.14B,,,18.33B,,,,-470.10M,,-470.10M,20.06B,,,
1995-12,88.37M,2.273B,2.361B,12.73B,,-3.323B,9.410B,,11.77B,1.822B,,,,7.860B,50.54B,,113.13B,134.14B,,1.886B,877.26M,,2.764B,2.764B,3.167B,,3.167B,3.167B,,,5.930B,14.82B,14.82B,,,10.54B,1.380B,65.58B,6.938B,6.405B,400.00M,,105.67B,113.91B,,1.265B,17.70B,131.83M,206.67M,,-456.10M,1.395B,938.99M,19.83B,,AOR,
1995-09,,,,12.62B,,,12.62B,,12.62B,14.61B,,,,7.108B,,,108.43B,130.29B,,,,,,,,,,,,,,18.18B,18.18B,,,9.530B,,33.28B,7.036B,,300.00M,,68.02B,111.26B,,,17.06B,,,,,,,18.73B,,,
1995-06,,,,12.78B,,,12.78B,,12.78B,14.63B,,,,7.032B,,,108.53B,130.53B,,,,,,,,,,,,,,18.23B,18.23B,,,9.098B,,32.76B,7.011B,,300.00M,,67.10B,112.11B,,,16.47B,,,,,,,18.13B,,,
1995-03,,,,13.68B,,,13.68B,,13.68B,13.52B,,,,6.524B,,,102.92B,125.35B,,,,,,,,,,,,,,17.63B,17.63B,,,7.846B,,32.09B,6.510B,,300.00M,,64.08B,108.01B,,,15.88B,,,,,,,17.05B,,,
1994-12,76.24M,2.467B,2.544B,12.36B,,-3.558B,8.802B,,11.35B,1.865B,,,,5.353B,43.00B,,95.90B,114.35B,,1.463B,453.60M,,1.916B,1.916B,3.790B,,3.790B,3.790B,,,5.706B,13.73B,13.73B,33.03M,33.03M,7.143B,1.342B,55.36B,6.319B,3.659B,200.00M,,87.58B,97.72B,,843.48M,15.34B,565.41M,224.64M,,,,-103.52M,16.42B,,AOR,
1994-09,,,,12.25B,,,12.25B,,12.25B,11.91B,,,,4.812B,,,94.08B,114.56B,,,,,,,,,,,,,,16.18B,16.18B,,,6.463B,,31.11B,6.445B,,200.00M,,60.19B,98.16B,,,14.80B,,,,-290.40M,,-290.40M,16.20B,,,
1994-06,,,,12.23B,,,12.23B,,12.23B,11.65B,,,,4.619B,,,92.43B,112.75B,,,,,,,,,,,,,,15.96B,15.96B,,,6.392B,,30.72B,6.171B,,200.00M,,59.24B,96.80B,,,14.29B,,,,-312.20M,,-312.20M,15.75B,,,
1994-03,,,,10.56B,,,10.56B,,10.56B,10.84B,,,,4.260B,,,92.09B,110.25B,,,,,,,,,,,,,,15.56B,15.56B,,,5.982B,,30.46B,5.769B,,200.00M,,57.77B,94.51B,,,13.78B,,,,-327.60M,,-327.60M,15.54B,,,
1993-12,,,,8.364B,,,8.364B,,8.364B,10.17B,,,,3.576B,,,85.68B,101.01B,,,,,,,,,,,,,,15.69B,15.69B,,,4.997B,,30.05B,5.516B,,200.00M,,56.25B,85.59B,,,13.30B,,,,-348.20M,,-348.20M,15.22B,,,
1993-09,,,,8.209B,,,8.209B,,8.209B,9.845B,,,,3.362B,,,81.16B,96.73B,,,,,,,,,,,,,,14.92B,14.92B,,,4.674B,,29.20B,5.904B,,100.00M,,54.70B,82.26B,,,12.82B,,,,-299.70M,,-299.70M,14.37B,,,
1993-06,,,,8.370B,,,8.370B,,8.370B,9.706B,,,,3.139B,,,79.00B,94.60B,,,,,,,,,,,,,,14.45B,14.45B,,,4.613B,,28.81B,5.713B,,100.00M,,53.58B,80.67B,,,12.40B,,,,-284.90M,,-284.90M,13.83B,,,
1993-03,,,,8.221B,,,8.221B,,8.221B,9.000B,,,,3.082B,,,76.14B,90.80B,,,,,,,,,,,,,,13.90B,13.90B,,,4.861B,,28.46B,5.279B,,100.00M,,52.49B,77.36B,,,11.95B,,,,-217.20M,,-217.20M,13.34B,,,
1992-12,,,,9.010B,,,9.010B,,9.010B,8.103B,,,,3.080B,,,64.66B,79.84B,,,,,,,,,,,,,,13.46B,13.46B,,,5.488B,,16.76B,3.747B,,100.00M,,39.46B,66.95B,,,11.49B,,,,-333.90M,,-333.90M,12.78B,,,
1992-09,,,,9.308B,,,9.308B,,9.308B,1.430B,,127.80M,127.80M,3.028B,,,65.77B,81.31B,,,,,,,,197.00M,197.00M,197.00M,,,197.00M,1.492B,1.492B,,,4.396B,,16.65B,3.968B,,,,26.50B,68.84B,,,11.04B,,,,-110.20M,,-110.20M,12.47B,,,
1992-06,,,,9.460B,,,9.460B,,9.460B,1.38B,,130.40M,130.40M,2.902B,,,61.39B,76.82B,,,,,,,,197.00M,197.00M,197.00M,,,197.00M,1.753B,1.753B,,,4.149B,,16.26B,3.881B,,,,26.04B,64.71B,,,10.73B,,,,-171.10M,,-171.10M,12.11B,,,
1992-03,,,,9.126B,,,9.126B,,9.126B,6.741B,,130.80M,130.80M,2.900B,,,55.63B,70.61B,,,,,,,,1.990B,1.990B,1.990B,,,1.990B,10.44B,10.44B,,,3.840B,,16.06B,3.780B,,,,34.12B,58.90B,,,10.33B,,,,-243.20M,,-243.20M,11.72B,,,
1991-12,,,,9.027B,,,9.027B,,9.027B,6.103B,,132.70M,132.70M,2.999B,,,54.39B,69.39B,,,,,,,,1.964B,1.964B,1.964B,,,1.964B,9.958B,9.958B,,,3.989B,,15.84B,3.822B,,,,33.61B,57.93B,,,9.946B,,,,,,,11.46B,,,
1991-09,,,,9.049B,,,9.049B,,9.049B,5.860B,,138.30M,138.30M,2.804B,,,49.31B,64.00B,,,,,,,,,,,,,,11.02B,11.02B,,,3.717B,,15.55B,4.044B,,,,34.34B,53.04B,,,9.575B,,,,-239.30M,,-239.30M,10.96B,,,
1991-06,,,,9.059B,,,9.059B,,9.059B,5.522B,,131.50M,131.50M,2.653B,,,46.10B,60.67B,,,,,,,,,,,,,,10.30B,10.30B,,,3.572B,,15.28B,3.879B,,,,33.02B,50.10B,,,9.226B,,,,-285.70M,,-285.70M,10.57B,,,
1991-03,,,,8.884B,,,8.884B,,8.884B,5.324B,,133.70M,133.70M,2.638B,,,45.17B,59.42B,,,,,,,,,,,,,,9.715B,9.715B,,,3.503B,,15.03B,3.746B,,,,31.99B,49.06B,,,8.851B,,,,-203.00M,,-203.00M,10.36B,,,
1990-12,,,,8.793B,,,8.793B,,8.793B,5.058B,,135.00M,135.00M,2.629B,,,44.20B,58.14B,,,,,,,,3.928B,3.928B,3.928B,,,3.928B,6.457B,6.457B,,,3.552B,,14.70B,3.785B,,,,28.49B,48.24B,,,8.500B,,,,-128.70M,,-128.70M,9.904B,,,
1990-09,,,,8.755B,,,8.755B,,8.755B,4.760B,,138.00M,138.00M,2.444B,,,41.38B,55.22B,,,,,,,,3.181B,3.181B,3.181B,,,3.181B,5.930B,5.930B,,,3.275B,,14.27B,3.909B,,,,27.38B,45.68B,,,8.144B,,,,-156.00M,,-156.00M,9.544B,,,
1990-06,,,,8.523B,,,8.523B,,8.523B,1.149B,,140.60M,140.60M,2.043B,,,35.51B,48.96B,,,,,,,,1.264B,1.264B,1.264B,,,1.264B,4.736B,4.736B,,,3.125B,,13.82B,3.837B,,,,25.52B,40.03B,,,7.833B,,,,-205.90M,,-205.90M,8.930B,,,
1990-03,,,,7.991B,,,7.991B,,7.991B,1.103B,,142.90M,142.90M,1.726B,,,34.02B,46.64B,,,,,,,,1.631B,1.631B,1.631B,,,1.631B,4.145B,4.145B,,,2.870B,,13.41B,3.637B,,,,24.06B,38.06B,,,7.487B,,,,-222.20M,,-222.20M,8.576B,,,
1989-12,,,,7.734B,,,7.734B,,7.734B,1.088B,,130.80M,130.80M,1.612B,,,33.70B,46.14B,,,,,,,,1.806B,1.806B,1.806B,,,1.806B,4.055B,4.055B,,,2.670B,,12.96B,3.615B,,,,23.30B,37.74B,,,7.154B,,,,-190.00M,,-190.00M,8.405B,,,
1988-12,,,,,,,,,,,,,,,,,,37.41B,,,,,,,,,,,,,,1.674B,1.674B,,,,,,,,,,1.674B,30.41B,,,5.907B,,,,,,,7.002B,,,
1987-12,,,,,,,,,,,,,,,,,,27.91B,,,,,,,,,,,,,,431.90M,431.90M,,,,,,,,,,431.90M,22.15B,,,4.756B,,,,,,,5.760B,,,
1986-12,,,,,,,,,,,,,,,,,,21.02B,,,,,,,,,,,,,,919.30M,919.30M,,,,,,,,,,919.30M,16.16B,,,3.764B,,,,,,,4.868B,,,
1985-12,,,,,,,,,,,,,,,,,,15.57B,,,,,,,,,,,,,,730.30M,730.30M,,,,,,,,,,730.30M,11.87B,,,3.016B,,,,,,,3.703B,,,
1984-12,,,,,,,,,,,,,,,,,,11.62B,,,,,,,,,,,,,,471.30M,471.30M,,,,,,,,,,471.30M,8.806B,,,2.634B,,,,,,,2.818B,,,
