,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2007-05,223.99M,,,-5.075M,,,129.83M,129.83M,9.10M,,,,14.95M,244.18M,7.843M,202.89M,,,,454.91M,827.70M,2007-05,-226.70M,7.39M,-219.31M,,5.29M,-16.50M,-230.52M,,,,1.686B,62.14M,-587.40M,-525.26M,,-58.28M,,-116.44M,985.54M,,1.572B,1.583B,6.308M,3.161B,2007-05,62.14M,,,-587.40M,,,2007-05,,
2007-02,249.48M,,,-12.18M,,,131.62M,131.62M,-18.82M,,,,25.48M,26.76M,441.43M,-525.35M,,,,-57.16M,318.42M,2007-02,-272.94M,1.638M,-271.30M,,107.44M,-3.719M,-167.59M,,,,65.82M,77.62M,-507.11M,-429.48M,,-59.36M,,6.226M,-416.80M,,1.843B,-265.96M,-5.237M,1.572B,2007-02,77.62M,,,-507.11M,,,2007-02,,
2006-11,236.89M,,,-9.391M,,,126.98M,126.98M,-2.73M,,,,30.69M,37.85M,-828.68M,815.88M,,,,25.06M,407.49M,2006-11,-388.80M,3.408M,-385.39M,,557.68M,-15.39M,156.89M,,,,14.87M,35.93M,-411.65M,-375.72M,,,,131.61M,-229.23M,,1.511B,335.15M,-2.988M,1.843B,2006-11,35.93M,,,-411.65M,,,2006-11,,
2006-08,355.60M,,,16.29M,,,162.86M,162.86M,-29.68M,,,,30.65M,107.00M,-154.49M,110.43M,,,,62.94M,598.66M,2006-08,-454.33M,6.374M,-447.95M,,-39.27M,-20.09M,-507.32M,,,,-29.69M,67.55M,-531.40M,-463.84M,,-121.36M,,34.78M,-580.11M,,2.010B,-488.76M,-10.74M,1.511B,2006-08,67.55M,,,-531.40M,,,2006-08,,
2006-05,235.60M,,,-52.56M,,,128.03M,128.03M,-2.813M,,,,22.10M,-23.96M,-100.18M,78.64M,,,,-45.50M,284.85M,2006-05,-254.62M,0.878M,-253.74M,,-12.36M,-2.597M,-268.69M,,,,-61.68M,137.76M,-299.94M,-162.18M,,-54.10M,,32.25M,-245.70M,,2.240B,-229.55M,0.209M,2.010B,2006-05,137.76M,,,-299.94M,,,2006-05,,
2006-02,296.20M,,,43.05M,,,110.26M,110.26M,2.334M,,,,-15.97M,310.13M,577.94M,-513.73M,,,,374.34M,810.20M,2006-02,-237.36M,5.134M,-232.23M,,9.61M,-11.09M,-233.71M,,,,74.84M,90.30M,-427.69M,-337.39M,,-54.76M,,-51.84M,-369.15M,,2.009B,207.35M,23.55M,2.240B,2006-02,90.30M,,,-427.69M,,,2006-02,,
2005-11,215.82M,,,-6.795M,,,114.14M,114.14M,-8.155M,,,,15.97M,22.94M,-823.88M,603.53M,,,,-197.41M,133.57M,2005-11,-266.26M,3.354M,-262.91M,,116.46M,2.608M,-143.84M,,,,14.38M,76.72M,-183.78M,-107.06M,,,,54.40M,-38.27M,,2.063B,-48.54M,-5.166M,2.009B,2005-11,76.72M,,,-183.78M,,,2005-11,,
2005-08,354.70M,,,-78.57M,,,152.25M,152.25M,-66.87M,,,,,-51.96M,35.56M,115.72M,,,,99.32M,518.06M,2005-08,-367.37M,12.80M,-354.58M,,-80.11M,29.40M,-409.25M,,,,-420.88M,76.78M,,-336.48M,,-109.74M,,87.48M,-779.61M,,2.725B,-670.80M,8.274M,2.063B,2005-08,76.78M,,,,,,2005-08,,
2005-05,209.79M,,,22.89M,,,111.41M,111.41M,-0.917M,,,,,55.83M,-33.30M,127.93M,,,,150.45M,493.63M,2005-05,-218.56M,0.723M,-217.84M,,-582.41M,-7.076M,-807.32M,,,,10.18M,32.25M,,32.25M,,-47.73M,,-3.165M,-8.469M,,3.043B,-322.16M,3.941M,2.725B,2005-05,32.25M,,,,,,2005-05,,
2005-02,305.45M,,,14.71M,,,110.11M,110.11M,2.572M,,,,,295.00M,471.54M,-479.66M,,,,286.89M,719.74M,2005-02,-198.37M,1.265M,-197.10M,,-401.36M,1.003M,-597.46M,,,,55.33M,38.73M,,38.73M,,-47.09M,,0.916M,47.88M,,2.885B,170.17M,-11.83M,3.043B,2005-02,38.73M,,,,,,2005-02,,
2004-11,193.15M,,,34.92M,,,108.06M,108.06M,0.526M,,,,,-220.76M,-789.59M,718.23M,,,,-292.12M,44.53M,2004-11,-211.13M,4.648M,-206.48M,,-23.67M,-7.336M,-237.48M,,,,90.58M,130.50M,,130.50M,,,,0.464M,221.54M,,2.823B,28.60M,33.27M,2.885B,2004-11,130.50M,,,,,,2004-11,,
2004-08,296.77M,,,-24.72M,,,137.15M,137.15M,47.59M,,,,,55.71M,-5.853M,-60.43M,,,,-10.58M,477.62M,2004-08,-260.47M,25.11M,-235.35M,,86.18M,5.711M,-238.61M,,,,-123.86M,83.20M,,83.20M,,,,212.99M,80.20M,,2.493B,319.20M,11.01M,2.823B,2004-08,83.20M,,,,,,2004-08,,
2004-05,198.66M,,,-2.003M,,,103.76M,103.76M,-17.02M,,,,,22.84M,-7.20M,46.92M,,,,62.57M,345.96M,2004-05,-114.23M,29.21M,-85.02M,,-294.98M,105.16M,-274.84M,,,,245.45M,15.46M,,15.46M,,,,0.435M,261.34M,,2.176B,332.47M,-15.48M,2.493B,2004-05,15.46M,,,,,,2004-05,,
2004-02,226.79M,,,9.407M,,,102.47M,102.47M,-1.336M,,,,,274.74M,453.11M,-495.78M,,,,232.07M,569.40M,2004-02,-108.84M,0.635M,-108.20M,,15.03M,-10.39M,-103.56M,,,,-111.66M,20.16M,,20.16M,,,,1.012M,-90.49M,,1.802B,375.36M,-0.939M,2.176B,2004-02,20.16M,,,,,,2004-02,,
2003-11,160.18M,,,8.272M,,,97.34M,97.34M,3.258M,,,,,409.45M,-696.49M,721.28M,,,,434.24M,703.28M,2003-11,-222.08M,0.441M,-221.64M,,-110.19M,-97.13M,-428.95M,,,,-48.02M,5.923M,,5.923M,,,,0.616M,-41.48M,,1.545B,232.85M,23.24M,1.802B,2003-11,5.923M,,,,,,2003-11,,
2003-08,239.43M,,,11.98M,,,124.39M,124.39M,50.74M,,,,,-99.32M,-90.88M,194.72M,,,,4.515M,431.05M,2003-08,-202.28M,19.14M,-183.14M,,,-10.90M,-194.04M,,,,4.749M,13.75M,,13.75M,,,,1.841M,20.34M,,1.289B,257.35M,-1.383M,1.545B,2003-08,13.75M,,,,,,2003-08,,
2003-05,153.78M,,,9.494M,,,91.90M,91.90M,0.816M,,,,-0.395M,-15.26M,4.609M,-75.30M,,,,-85.95M,169.65M,2003-05,-159.16M,17.56M,-141.60M,,,-11.24M,-152.84M,,,,71.06M,11.51M,,11.51M,,,,1.241M,83.81M,,1.169B,100.62M,19.85M,1.289B,2003-05,11.51M,,,,,,2003-05,,
2003-02,182.06M,,,1.655M,,,89.39M,89.39M,17.14M,,,,-2.943M,211.20M,476.08M,-368.44M,,,,318.85M,606.15M,2003-02,-166.07M,10.84M,-155.23M,,,-12.49M,-167.73M,,,,4.043M,3.377M,,3.377M,,,,1.771M,9.191M,,712.85M,447.61M,8.534M,1.169B,2003-02,3.377M,,,,,,2003-02,,
2002-11,145.73M,,,7.136M,,,85.62M,85.62M,,,,,3.338M,135.55M,-552.58M,475.56M,,,,58.54M,300.36M,2002-11,-283.15M,4.294M,-278.86M,,,2.874M,-275.98M,,,,-122.03M,6.028M,,6.028M,,,,1.234M,-114.77M,,805.52M,-90.39M,-2.276M,712.85M,2002-11,6.028M,,,,,,2002-11,,
2002-08,247.40M,,,13.64M,,,112.25M,112.25M,12.18M,,,,28.52M,-157.00M,-89.50M,21.93M,,,,-246.06M,167.93M,2002-08,-277.00M,14.99M,-262.01M,,0.035M,-7.133M,-269.11M,,,,51.16M,11.80M,,11.80M,,,,0.947M,63.90M,,841.11M,-37.28M,1.687M,805.52M,2002-08,11.80M,,,,,,2002-08,,
2002-05,130.37M,,,17.15M,-151.44M,-7.813M,70.28M,70.28M,1.64M,,,,-18.59M,94.29M,-6.917M,-10.04M,,,,77.33M,278.18M,2002-05,-236.43M,6.853M,-229.58M,,0.003M,-3.246M,-232.82M,,,,-0.534M,17.16M,,17.16M,,,,0.584M,17.21M,,774.55M,62.57M,3.994M,841.11M,2002-05,17.16M,,,,,,2002-05,,
2002-02,192.56M,,,9.038M,151.44M,7.813M,85.14M,85.14M,-1.64M,,,,-4.265M,75.40M,272.34M,-281.16M,,,,66.58M,347.40M,2002-02,-215.61M,10.74M,-204.87M,,-0.022M,-24.96M,-229.85M,,,,23.22M,28.22M,,28.22M,,,,-217.96M,-166.52M,,824.47M,-48.97M,-0.953M,774.55M,2002-02,28.22M,,,,,,2002-02,,
2001-11,129.66M,,,8.578M,,,74.12M,74.12M,,,,,-5.668M,117.20M,-556.07M,456.92M,,,,18.05M,224.73M,2001-11,-309.56M,0.264M,-309.30M,,4.912M,2.354M,-302.03M,,,,73.31M,9.589M,,9.589M,,,,220.34M,303.24M,,602.58M,225.94M,-4.051M,824.47M,2001-11,9.589M,,,,,,2001-11,,
2001-08,190.73M,,,21.56M,-204.91M,-11.32M,85.07M,85.07M,40.80M,,,,,-117.74M,-60.43M,115.22M,,3.796M,,-59.16M,279.00M,2001-08,-469.25M,61.97M,-407.29M,,-0.129M,-8.008M,-415.42M,,,,346.22M,19.46M,,19.46M,,,,-184.95M,180.73M,,558.58M,44.31M,-0.301M,602.58M,2001-08,19.46M,,,,,,2001-08,,
2001-05,105.26M,,,-1.712M,204.91M,11.32M,82.61M,82.61M,2.125M,,,,,32.23M,41.35M,63.73M,,-21.52M,8.682M,124.48M,312.75M,2001-05,-249.97M,35.56M,-214.41M,,20.98M,-4.98M,-198.41M,,,,-67.32M,11.07M,,11.07M,,,,-8.976M,-65.23M,,511.66M,49.12M,-2.196M,558.58M,2001-05,11.07M,,,,,,2001-05,,
2001-02,176.58M,,,20.16M,,,68.92M,68.92M,-2.125M,,,,,28.81M,274.37M,-239.85M,,,-4.112M,59.21M,322.74M,2001-02,-347.92M,12.27M,-335.65M,,-26.18M,-18.94M,-380.78M,,,,-263.61M,23.52M,,23.52M,,,,200.93M,-39.16M,,606.94M,-97.20M,1.921M,511.66M,2001-02,23.52M,,,,,,2001-02,,
2000-11,129.52M,,,8.499M,,,64.70M,64.70M,,,,,,50.54M,-526.64M,396.02M,,,-4.57M,-84.65M,118.07M,2000-11,-380.41M,0.203M,-380.20M,,46.93M,-11.96M,-345.24M,,,,309.94M,7.952M,,7.952M,,,,0.111M,318.00M,,524.50M,90.84M,-8.409M,606.94M,2000-11,7.952M,,,,,,2000-11,,
2000-08,200.18M,,,87.46M,,,81.89M,81.89M,,,,,-10.85M,59.98M,-122.84M,173.88M,,11.44M,,122.46M,489.41M,2000-08,-490.50M,17.49M,-473.01M,,93.72M,-58.98M,-438.27M,,,,8.499M,6.665M,,-93.28M,,,,29.57M,-55.21M,,527.23M,-4.069M,1.342M,524.50M,2000-08,6.665M,,,,,,2000-08,,
2000-05,120.36M,,,3.687M,,,58.11M,58.11M,,,,,-0.20M,-10.17M,-33.14M,36.75M,,-11.44M,8.50M,-9.502M,172.45M,2000-05,-222.82M,11.54M,-211.28M,,11.64M,-10.35M,-210.00M,,,,-12.78M,52.66M,,52.66M,,,,20.23M,60.12M,,510.00M,22.57M,-5.422M,527.23M,2000-05,52.66M,,,,,,2000-05,,
2000-02,181.60M,,,7.40M,,,54.80M,54.80M,,,,,2.90M,5.20M,363.20M,-438.10M,,,-8.50M,-78.20M,168.50M,2000-02,-276.60M,20.80M,-255.80M,,11.70M,-14.30M,-258.40M,,,,22.00M,22.90M,,22.90M,,,,1.60M,46.50M,,550.90M,-43.40M,2.60M,510.00M,2000-02,22.90M,,,,,,2000-02,,
1999-11,129.30M,,,,,,59.60M,59.60M,,,,,-2.70M,60.90M,-487.60M,480.50M,,,,53.80M,240.00M,1999-11,-238.50M,12.90M,-225.60M,,91.90M,-5.30M,-139.00M,,,,-16.60M,16.60M,,16.60M,,,,7.20M,7.20M,,440.60M,108.20M,2.10M,550.90M,1999-11,16.60M,,,,,,1999-11,,
1999-08,153.20M,,,25.50M,,,74.10M,74.10M,,,,,0.10M,46.70M,-114.20M,127.80M,,6.90M,,67.20M,297.40M,1999-08,-258.80M,10.30M,-248.50M,,-4.90M,-19.50M,-272.90M,,,,-11.10M,12.80M,,12.80M,,,,5.80M,7.50M,,0.00,32.00M,-0.10M,440.60M,1999-08,12.80M,,,,,,1999-08,,
1999-05,105.80M,,,3.80M,,,52.20M,52.20M,,,,,11.20M,-5.60M,-42.30M,107.20M,,-13.10M,,46.20M,219.20M,1999-05,-162.00M,18.30M,-143.70M,,52.20M,-17.60M,-109.10M,,,,-48.20M,15.90M,,15.90M,,,,4.10M,-28.20M,,0.00,81.90M,2.20M,0.00,1999-05,15.90M,,,,,,1999-05,,
1999-02,152.10M,,,7.50M,,,46.90M,46.90M,,,,,-8.30M,65.20M,385.40M,-383.90M,,,,66.70M,264.90M,1999-02,-184.50M,16.30M,-168.20M,,-227.30M,-4.50M,-400.00M,,,,50.20M,22.10M,,22.10M,,,,4.30M,76.60M,,381.80M,-58.50M,1.40M,0.00,1999-02,22.10M,,,,,,1999-02,,
1998-11,104.20M,,,,,,51.60M,51.60M,,,,,-2.90M,89.20M,-515.80M,433.10M,,,,6.50M,159.40M,1998-11,-182.60M,13.80M,-168.80M,,-1.10M,-2.00M,-171.90M,,,,17.90M,11.10M,,11.10M,,,,0.90M,29.90M,,362.00M,17.40M,2.30M,381.80M,1998-11,11.10M,,,,,,1998-11,,
1998-08,150.70M,,,,,,54.40M,54.40M,,,,,-66.50M,,-45.20M,40.50M,,,,50.20M,227.20M,1998-08,-205.30M,31.50M,-173.80M,,,-39.90M,-289.20M,,,,8.10M,20.70M,,20.70M,,,,10.00M,38.80M,,0.00,-23.20M,-6.40M,362.00M,1998-08,20.70M,,,,,,1998-08,,
