,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2006-09,2.288B,395.00M,2.683B,4.865B,,4.865B,,4.846B,,341.00M,2.034B,747.00M,627.00M,10.96B,,,,,,9.311B,-5.40B,3.911B,9.386B,551.00M,9.937B,,,4.289B,18.14B,29.09B,1.933B,,1.933B,,1.933B,,41.00M,41.00M,,,,8.409B,10.38B,4.403B,4.403B,,,,,,6.224B,10.63B,21.01B,422.00M,8.541B,786.00M,,-1.666B,8.083B
2006-06,2.956B,430.00M,3.386B,4.367B,,4.367B,,4.785B,,333.00M,1.88B,839.00M,491.00M,10.96B,,,,,,9.291B,-5.40B,3.891B,8.827B,525.00M,9.352B,,,4.23B,17.47B,28.44B,1.935B,,1.935B,1.519B,3.454B,,41.00M,41.00M,,,,6.408B,9.903B,4.746B,4.746B,,,,,,6.129B,10.88B,20.78B,422.00M,8.06B,836.00M,,-1.66B,7.658B
2006-03,2.682B,457.00M,3.139B,4.832B,,4.832B,,5.005B,,315.00M,1.916B,830.00M,511.00M,11.23B,,,,,,9.284B,-5.40B,3.884B,,9.072B,9.072B,,,4.255B,17.21B,28.44B,1.95B,,1.95B,,1.95B,,219.00M,219.00M,,,,7.598B,9.767B,4.762B,4.762B,,,,,,5.974B,10.74B,20.50B,430.00M,7.737B,1.404B,,-1.635B,7.936B
2005-12,2.244B,429.00M,2.673B,4.579B,,4.579B,,5.121B,,327.00M,1.921B,861.00M,495.00M,10.53B,0.0,112.00M,3.828B,5.384B,,9.324B,-5.40B,3.924B,8.447B,560.00M,9.007B,,555.00M,2.369B,17.22B,27.74B,1.998B,,1.998B,,1.998B,,202.00M,202.00M,4.331B,4.331B,,1.422B,9.428B,4.784B,4.784B,,,,3.374B,,2.291B,10.45B,19.88B,432.00M,7.278B,1.724B,,-1.553B,7.867B
2005-09,3.14B,426.00M,3.566B,4.44B,,4.44B,,4.924B,,219.00M,1.648B,900.00M,483.00M,11.04B,,,,,,8.627B,-5.061B,3.566B,,8.894B,8.894B,,,3.86B,16.32B,27.36B,1.854B,,1.854B,,1.854B,,208.00M,208.00M,,,,7.472B,9.534B,4.874B,4.874B,,,,,,5.216B,10.09B,19.62B,434.00M,6.84B,1.85B,,-1.391B,7.733B
2005-06,3.062B,414.00M,3.476B,4.287B,,4.287B,,4.72B,,464.00M,1.755B,1.155B,503.00M,11.18B,,,,,,8.613B,-5.061B,3.552B,,8.932B,8.932B,,,3.733B,16.22B,27.39B,1.933B,,1.933B,,1.933B,,208.00M,208.00M,,,,7.608B,9.749B,4.874B,4.874B,,,,,,4.884B,9.758B,19.51B,441.00M,6.523B,2.327B,,-1.405B,7.886B
2005-03,2.727B,406.00M,3.133B,4.24B,,4.24B,,4.463B,,516.00M,1.781B,1.079B,499.00M,10.73B,,,,,,8.626B,-5.061B,3.565B,,8.971B,8.971B,,,3.61B,16.15B,26.88B,1.818B,,1.818B,,1.818B,,15.00M,15.00M,,,,7.309B,9.142B,5.104B,5.104B,,,,,,5.191B,10.30B,19.44B,441.00M,6.174B,2.383B,,-1.557B,7.441B
2004-12,1.06B,396.00M,1.456B,4.094B,,4.094B,,4.697B,,434.00M,1.864B,982.00M,557.00M,8.953B,0.0,95.00M,3.593B,4.972B,,8.66B,-5.061B,3.599B,7.892B,672.00M,8.564B,812.00M,,2.596B,16.60B,25.55B,1.726B,,1.726B,,1.726B,,15.00M,15.00M,4.028B,4.028B,,1.451B,8.566B,5.104B,5.104B,,,,2.896B,,1.967B,9.967B,18.53B,438.00M,5.915B,2.223B,,-1.532B,7.021B
2004-09,2.823B,87.00M,2.91B,3.845B,,3.845B,,5.047B,,326.00M,1.795B,1.014B,688.00M,10.25B,,,,,,8.552B,-5.18B,3.372B,,8.579B,8.579B,,,4.441B,16.39B,26.64B,1.547B,,1.547B,,1.547B,,,,,,,7.026B,8.573B,6.07B,6.07B,,,,,,4.761B,10.83B,19.40B,440.00M,5.654B,2.365B,,-1.219B,7.24B
2004-06,2.243B,,2.243B,3.677B,,3.677B,,4.888B,,268.00M,2.054B,,1.645B,9.619B,,,,,,8.618B,-5.18B,3.438B,,8.615B,8.615B,,,4.568B,16.62B,26.24B,1.522B,,1.522B,,1.522B,,,,,,,6.614B,8.136B,6.07B,6.07B,,,,,,5.00B,11.07B,19.21B,443.00M,5.445B,2.366B,,-1.22B,7.034B
2004-03,2.124B,,2.124B,4.018B,,4.018B,,5.131B,,246.00M,2.223B,960.00M,832.00M,10.16B,,,,,,8.603B,-5.18B,3.423B,,8.65B,8.65B,,,4.593B,16.67B,26.82B,1.611B,,1.611B,,1.611B,,121.00M,121.00M,,,,7.17B,8.902B,6.072B,6.072B,,,,,,4.825B,10.90B,19.80B,447.00M,5.247B,2.544B,,-1.214B,7.024B
2003-12,1.01B,240.00M,1.25B,4.039B,,4.039B,,5.434B,,310.00M,2.348B,921.00M,843.00M,9.401B,0.0,106.00M,3.365B,5.198B,,8.669B,-5.18B,3.489B,7.879B,807.00M,8.686B,1.06B,,2.326B,16.77B,26.18B,1.434B,,1.434B,,1.434B,,136.00M,136.00M,4.256B,4.256B,,1.649B,8.893B,6.072B,6.072B,,,,2.54B,,1.914B,10.53B,19.42B,446.00M,5.054B,2.477B,,-1.204B,6.756B
2003-09,1.835B,247.00M,2.082B,3.552B,,3.552B,,5.721B,,221.00M,2.158B,1.286B,636.00M,9.714B,,,,,,8.337B,-5.058B,3.279B,,8.101B,8.101B,,,3.786B,15.17B,24.88B,1.298B,,1.298B,,1.298B,,150.00M,150.00M,,,,6.864B,8.312B,6.073B,6.073B,,,,,,4.197B,10.27B,18.58B,451.00M,4.808B,2.652B,,-1.613B,6.298B
2003-06,1.909B,229.00M,2.138B,3.405B,,3.405B,,6.027B,,264.00M,2.054B,1.284B,705.00M,9.586B,,,,,,8.317B,-5.058B,3.259B,,8.132B,8.132B,,,3.818B,15.21B,24.80B,1.167B,,1.167B,2.766B,3.933B,,164.00M,164.00M,,,,4.366B,8.463B,6.075B,6.075B,,,,,,4.166B,10.24B,18.70B,450.00M,4.645B,2.608B,,-1.612B,6.091B
2003-03,2.09B,,2.09B,3.798B,,3.798B,,6.076B,,212.00M,2.067B,1.281B,658.00M,9.894B,,,,,,8.312B,-5.058B,3.254B,,8.171B,8.171B,,,3.696B,15.12B,25.02B,1.086B,,1.086B,,1.086B,,607.00M,607.00M,,,,7.22B,8.913B,6.201B,6.201B,,,,,,4.062B,10.26B,19.18B,450.00M,4.458B,2.573B,,-1.642B,5.839B
2002-12,2.738B,0.00,2.738B,3.655B,,3.655B,,6.221B,,301.00M,2.25B,1.277B,706.00M,10.63B,0.0,102.00M,3.197B,5.017B,,8.316B,-5.058B,3.258B,7.38B,814.00M,8.194B,1.009B,,2.671B,16.35B,26.98B,1.102B,107.00M,1.209B,,1.209B,,1.365B,1.365B,4.542B,4.542B,,1.433B,9.821B,6.217B,6.217B,,,,3.352B,,1.724B,11.29B,21.11B,455.00M,4.262B,2.796B,,-1.598B,5.865B
2002-09,3.49B,,3.49B,3.73B,,3.73B,,4.87B,,1.312B,2.254B,1.524B,949.00M,11.95B,,,,,,8.204B,-5.051B,3.153B,,8.217B,8.217B,,,5.602B,16.97B,28.92B,1.107B,,1.107B,,1.107B,,763.00M,763.00M,,,,8.387B,10.26B,6.693B,6.693B,950.00M,950.00M,,,,3.319B,10.96B,21.22B,455.00M,4.659B,2.799B,,-213.00M,7.70B
2002-06,2.429B,,2.429B,3.555B,,3.555B,,6.005B,,516.00M,3.107B,1.566B,1.002B,11.66B,,,,,,8.068B,-5.051B,3.017B,,8.248B,8.248B,,,5.407B,16.67B,28.33B,1.149B,,1.149B,,1.149B,,762.00M,762.00M,,,,8.187B,10.10B,6.687B,6.687B,965.00M,965.00M,,,,3.187B,10.84B,20.94B,454.00M,4.419B,2.697B,,-176.00M,7.394B
2002-03,1.367B,,1.367B,3.941B,,3.941B,,5.721B,,446.00M,3.149B,1.584B,1.022B,11.06B,,,,,,8.03B,-5.051B,2.979B,,8.279B,8.279B,,,5.458B,16.72B,27.78B,1.171B,,1.171B,,1.171B,,368.00M,368.00M,,,,8.13B,9.669B,7.093B,7.093B,986.00M,986.00M,,,,3.17B,11.25B,20.92B,448.00M,4.131B,2.426B,,-144.00M,6.861B
2001-12,912.00M,,912.00M,4.049B,,4.049B,,5.484B,,587.00M,3.14B,1.566B,1.111B,10.78B,0.0,95.00M,3.117B,4.83B,,8.042B,-5.051B,2.991B,7.371B,939.00M,8.31B,1.884B,,1.61B,16.88B,27.65B,1.419B,63.00M,1.482B,,1.482B,,89.00M,89.00M,5.002B,5.002B,,2.016B,9.689B,7.422B,7.422B,992.00M,992.00M,,1.565B,,1.543B,11.52B,21.21B,441.00M,3.961B,2.142B,,-17.00M,6.443B
2001-09,1.801B,,1.801B,3.785B,,3.785B,,5.867B,,515.00M,3.337B,1.122B,463.00M,10.51B,,,,,,11.58B,-8.316B,3.264B,8.638B,958.00M,9.596B,,,5.829B,18.69B,29.20B,924.00M,,924.00M,,924.00M,,77.00M,77.00M,,,,8.816B,9.817B,7.639B,7.639B,679.00M,679.00M,,,,3.23B,11.55B,21.36B,438.00M,5.517B,2.017B,,-140.00M,7.832B
2001-06,1.222B,,1.222B,3.818B,,3.818B,,5.676B,,600.00M,3.365B,1.122B,492.00M,10.02B,,,,,,11.64B,-8.316B,3.323B,8.726B,997.00M,9.723B,,,5.903B,18.95B,28.97B,1.007B,,1.007B,,1.007B,,275.00M,275.00M,,,,7.826B,9.108B,8.517B,8.517B,682.00M,682.00M,,,,3.251B,12.45B,21.56B,435.00M,5.352B,1.917B,,-294.00M,7.41B
2001-03,2.389B,,2.389B,3.934B,,3.934B,,5.338B,,700.00M,3.571B,1.124B,505.00M,11.52B,0.0,3.334B,,,,3.334B,,3.334B,8.794B,1.035B,9.829B,,,5.824B,18.99B,30.51B,1.104B,,1.104B,6.098B,7.202B,901.00M,901.00M,901.00M,,197.00M,197.00M,1.931B,10.23B,9.029B,9.029B,676.00M,676.00M,,,,3.314B,13.02B,23.25B,434.00M,5.256B,1.86B,,-290.00M,7.26B
2000-12,1.505B,,1.505B,3.986B,,3.986B,,4.991B,,678.00M,3.805B,1.213B,2.83B,13.34B,0.0,170.00M,2.884B,4.823B,,7.877B,-4.936B,2.941B,7.479B,1.073B,8.552B,2.433B,,1.367B,17.09B,30.43B,1.106B,519.00M,1.625B,,1.625B,,882.00M,882.00M,4.697B,4.697B,,2.12B,10.30B,9.065B,9.065B,790.00M,790.00M,,1.647B,,1.462B,12.96B,23.27B,431.00M,5.199B,1.789B,,-144.00M,7.16B
2000-09,1.938B,,1.938B,4.202B,,4.202B,,,,,4.216B,,2.982B,13.34B,,,,,,8.844B,-5.405B,3.439B,,9.917B,9.917B,,,5.577B,18.93B,32.27B,1.033B,,1.033B,,1.033B,,882.00M,882.00M,,,,8.422B,10.34B,10.96B,10.96B,998.00M,998.00M,,,,2.892B,14.85B,25.19B,430.00M,5.161B,1.669B,,-178.00M,7.082B
2000-06,1.249B,,1.249B,4.182B,,4.182B,,,,,3.809B,,1.737B,10.98B,,,,,,8.951B,-5.401B,3.55B,,10.21B,10.21B,,,5.157B,18.92B,29.89B,1.037B,,1.037B,,1.037B,,811.00M,811.00M,,,,7.683B,9.531B,10.65B,10.65B,,,,,,3.272B,13.92B,23.45B,402.00M,5.909B,307.00M,,-179.00M,6.439B
2000-03,533.00M,,533.00M,4.332B,,4.332B,,5.206B,,422.00M,3.782B,1.192B,620.00M,10.46B,,,,,,,,3.586B,9.095B,1.22B,10.32B,2.295B,,2.948B,19.14B,29.60B,930.00M,40.00M,970.00M,,970.00M,,293.00M,293.00M,4.419B,4.419B,,1.679B,8.297B,11.41B,11.41B,,,,1.807B,,1.613B,14.83B,23.13B,400.00M,5.911B,266.00M,,40.00M,6.475B
1999-12,455.00M,,455.00M,4.348B,,4.348B,,,,,4.051B,,1.842B,10.70B,,,,,,8.907B,-5.273B,3.634B,,10.42B,10.42B,,,5.51B,19.56B,30.26B,1.228B,,1.228B,,1.228B,,527.00M,527.00M,,,,7.057B,8.812B,11.43B,11.43B,517.00M,517.00M,,,,3.144B,15.09B,23.90B,398.00M,5.901B,222.00M,,-160.00M,6.361B
1999-09,,,,4.426B,,4.426B,,,,,3.939B,,1.764B,10.13B,,,,,,8.833B,-5.268B,3.565B,,10.53B,10.53B,,,5.335B,19.43B,29.56B,1.365B,,1.365B,,1.365B,,1.57B,1.57B,,,,6.799B,9.734B,10.46B,10.46B,,,,,,3.235B,13.70B,23.43B,394.00M,5.695B,187.00M,,-150.00M,6.126B
1999-06,,,,4.666B,,4.666B,,5.562B,,490.00M,3.877B,1.108B,721.00M,10.37B,,,,,,,,3.598B,9.394B,1.339B,10.73B,,,3.679B,18.01B,28.38B,1.096B,374.00M,1.47B,,1.47B,,1.05B,1.05B,4.263B,4.263B,,1.348B,9.073B,9.984B,9.984B,,,,1.872B,,1.482B,13.34B,22.41B,393.00M,5.565B,146.00M,,33.00M,5.971B
1999-03,43.00M,,43.00M,4.667B,,4.667B,,5.623B,,562.00M,3.959B,1.108B,703.00M,10.48B,,,,,,,,3.587B,9.462B,1.378B,10.84B,,,3.689B,18.12B,28.60B,1.021B,534.00M,1.555B,,1.555B,,2.047B,2.047B,4.329B,4.329B,,1.525B,10.39B,8.788B,8.788B,,,,1.887B,,1.478B,12.15B,22.54B,392.00M,5.69B,95.00M,,41.00M,6.053B
1998-12,285.00M,,285.00M,4.178B,,4.178B,,6.198B,,594.00M,4.293B,1.109B,746.00M,10.61B,0.0,235.00M,2.979B,5.459B,,8.673B,-5.16B,3.513B,9.521B,1.418B,10.94B,948.00M,,2.733B,18.13B,28.74B,1.382B,553.00M,1.935B,,1.935B,,1.929B,1.929B,4.012B,4.012B,,1.549B,10.27B,8.957B,8.957B,,,,1.903B,,1.48B,12.34B,22.61B,393.00M,5.864B,70.00M,,-8.00M,6.137B
1998-09,183.00M,,183.00M,5.127B,,5.127B,,6.23B,,606.00M,4.34B,1.196B,768.00M,11.61B,,,,,,,,3.608B,9.664B,1.461B,11.12B,,,3.415B,18.15B,29.76B,1.077B,661.00M,1.738B,,1.738B,,1.772B,1.772B,4.308B,4.308B,,1.373B,10.12B,10.18B,10.18B,,,,1.958B,,1.491B,13.63B,23.75B,195.00M,5.812B,194.00M,,,6.008B
1998-06,,,,5.233B,,5.233B,,5.856B,,665.00M,4.047B,1.26B,761.00M,11.30B,,,,,,,,3.613B,9.732B,1.491B,11.22B,,,3.42B,18.26B,29.56B,918.00M,567.00M,1.485B,,1.485B,,2.177B,2.177B,4.066B,4.066B,,1.472B,10.20B,10.18B,10.18B,,,,1.941B,,1.501B,13.62B,23.82B,195.00M,5.572B,169.00M,,,5.736B
