,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-04,184.18M,,184.18M,162.43M,162.43M,99.04M,280.57M,379.61M,,50.00M,776.21M,0.0,45.46M,202.56M,586.50M,,39.52M,874.04M,-377.75M,496.30M,1.132B,614.00M,1.746B,,110.90M,2.354B,3.130B,119.84M,,,119.84M,32.35M,152.19M,,,,,,,,87.20M,239.40M,789.68M,,789.68M,175.95M,175.95M,,,125.00M,1.091B,1.330B,0.00,567.42M,1.195B,,,,,37.13M,1.800B
2008-01,327.66M,,327.66M,141.22M,141.22M,110.14M,238.13M,348.28M,,37.16M,854.32M,0.0,45.20M,189.29M,575.81M,,44.69M,855.00M,-365.55M,489.45M,1.110B,592.81M,1.703B,,115.34M,2.308B,3.162B,114.63M,,,114.63M,,114.63M,,,,,,,,129.29M,243.92M,790.42M,,790.42M,158.94M,158.94M,,,118.36M,1.068B,1.312B,0.00,585.70M,1.221B,,,,,43.43M,1.851B
2007-10,287.12M,,287.12M,223.30M,223.30M,117.69M,282.27M,399.96M,,33.31M,943.70M,0.0,45.34M,188.19M,570.66M,,41.53M,845.72M,-352.93M,492.80M,1.118B,590.88M,1.709B,,137.70M,2.340B,3.283B,133.18M,,,133.18M,,133.18M,,,,,,,,159.99M,293.17M,791.16M,,791.16M,159.14M,159.14M,,,121.99M,1.072B,1.365B,14.38M,607.05M,1.241B,,,,,55.16M,1.918B
2007-07,206.66M,144.58M,351.24M,148.06M,148.06M,121.40M,267.69M,389.09M,,26.80M,915.19M,0.0,43.30M,189.72M,554.41M,,30.52M,817.95M,-337.53M,480.42M,1.070B,600.55M,1.670B,,136.35M,2.287B,3.202B,108.73M,,,108.73M,,108.73M,,,,,33.00M,,33.00M,142.15M,283.88M,791.90M,,791.90M,154.97M,154.97M,,,125.79M,1.073B,1.357B,14.38M,574.25M,1.239B,,,,,17.73M,1.846B
2007-04,200.12M,,200.12M,124.05M,124.05M,89.88M,196.18M,286.05M,,29.15M,639.37M,0.0,41.46M,176.95M,536.82M,,25.28M,780.52M,-326.49M,454.03M,990.77M,478.19M,1.469B,,131.46M,2.054B,2.694B,93.50M,,,93.50M,24.67M,118.17M,,,,,33.00M,,33.00M,85.30M,236.47M,392.64M,,392.64M,158.42M,158.42M,,,110.64M,661.70M,898.17M,0.00,553.63M,1.230B,,,,,11.74M,1.796B
2007-01,152.17M,,152.17M,117.62M,117.62M,95.80M,181.48M,277.29M,,34.85M,581.93M,0.0,41.22M,173.38M,527.26M,,23.54M,765.40M,-312.13M,453.27M,988.80M,476.72M,1.466B,,155.16M,2.074B,2.656B,80.62M,,,80.62M,,80.62M,,,,,33.00M,,33.00M,133.88M,247.50M,393.38M,,393.38M,150.63M,150.63M,,,108.98M,652.99M,900.49M,0.00,528.18M,1.219B,,,,,8.407M,1.755B
2006-10,77.70M,4.989M,82.69M,178.43M,178.43M,98.55M,201.58M,300.13M,,45.75M,607.00M,0.0,38.71M,172.98M,528.13M,,17.76M,757.57M,-299.71M,457.86M,990.56M,478.33M,1.469B,,155.85M,2.083B,2.690B,94.08M,,,94.08M,,94.08M,,,,,33.00M,,33.00M,157.33M,284.41M,394.12M,,394.12M,153.52M,153.52M,,,102.84M,650.48M,934.89M,14.20M,511.91M,1.206B,,,,,22.60M,1.755B
2006-07,96.14M,4.967M,101.11M,144.71M,144.71M,104.53M,200.54M,305.06M,,125.50M,676.38M,0.0,38.73M,173.01M,519.30M,,20.71M,751.76M,-295.45M,456.30M,955.45M,474.37M,1.430B,,155.53M,2.042B,2.718B,95.03M,,,95.03M,,95.03M,48.60M,,,,48.60M,,48.60M,146.11M,289.74M,427.86M,,427.86M,153.05M,153.05M,,,101.85M,682.76M,972.51M,14.31M,501.88M,1.209B,,,,,20.30M,1.746B
2006-04,71.96M,14.88M,86.84M,148.01M,148.01M,190.30M,88.79M,279.09M,,128.90M,642.84M,0.0,38.16M,170.06M,513.59M,,19.92M,741.74M,-285.18M,456.55M,940.97M,472.92M,1.414B,,136.47M,2.007B,2.650B,88.96M,,,88.96M,,88.96M,28.62M,,,,28.62M,,28.62M,117.86M,235.44M,428.60M,,428.60M,155.58M,155.58M,,,102.06M,686.24M,921.68M,14.24M,489.07M,1.213B,,,,,12.16M,1.728B
2006-01,89.25M,15.18M,104.42M,122.51M,122.51M,115.38M,206.10M,321.48M,,52.42M,600.84M,0.0,42.38M,192.05M,544.03M,,29.71M,808.16M,-284.10M,524.06M,,1.423B,1.423B,,118.68M,2.065B,2.666B,80.61M,,,80.61M,,80.61M,37.75M,,,,37.75M,,37.75M,146.74M,265.10M,429.34M,,429.34M,135.35M,135.35M,,,94.90M,659.59M,924.69M,14.55M,492.97M,1.238B,,,,,-3.673M,1.742B
2005-10,42.36M,19.88M,62.24M,187.18M,187.18M,123.24M,225.68M,348.92M,,48.69M,647.03M,0.0,43.97M,187.30M,550.95M,,28.86M,811.08M,-283.28M,527.79M,,1.421B,1.421B,,124.80M,2.073B,2.720B,141.39M,,,141.39M,,141.39M,39.79M,,,,39.79M,,39.79M,176.04M,357.22M,430.08M,,430.08M,110.05M,110.05M,,,94.79M,634.92M,992.14M,14.59M,482.03M,1.242B,,,,,-10.25M,1.728B
2005-07,47.49M,20.02M,67.50M,161.26M,161.26M,128.82M,215.39M,344.21M,,45.84M,618.82M,0.0,42.49M,178.06M,540.34M,,29.97M,790.86M,-268.89M,521.96M,,1.419B,1.419B,,126.87M,2.068B,2.687B,123.99M,,,123.99M,,123.99M,34.31M,,,,34.31M,,34.31M,197.70M,356.00M,430.82M,,430.82M,110.37M,110.37M,,,95.21M,636.40M,992.40M,14.60M,453.75M,1.243B,,,,,-16.84M,1.694B
2005-04,58.08M,17.74M,75.82M,145.73M,145.73M,108.28M,176.20M,284.49M,,49.81M,555.85M,0.0,42.02M,175.72M,533.34M,,26.05M,777.13M,-256.03M,521.10M,,1.421B,1.421B,,137.98M,2.080B,2.636B,105.29M,,,105.29M,,105.29M,33.38M,,,17.00M,50.38M,,50.38M,152.62M,308.29M,431.56M,,431.56M,110.50M,110.50M,,,94.74M,636.80M,945.09M,14.64M,447.83M,1.240B,,,,,-11.78M,1.691B
2005-01,55.45M,7.686M,63.14M,129.74M,129.74M,113.04M,188.42M,301.46M,,93.24M,587.58M,0.0,42.46M,169.97M,494.50M,,44.54M,751.47M,-243.63M,507.83M,,1.404B,1.404B,,131.90M,2.044B,2.631B,100.87M,,,100.87M,,100.87M,56.39M,,,17.00M,73.39M,,73.39M,207.22M,381.48M,432.30M,,432.30M,71.92M,71.92M,,,66.80M,571.02M,952.51M,14.56M,441.61M,1.227B,,,,,-4.803M,1.679B
2004-10,32.51M,,32.51M,197.80M,197.80M,125.91M,203.40M,329.31M,,61.23M,620.85M,0.0,36.04M,184.46M,500.38M,,34.50M,755.39M,-235.76M,519.63M,,1.519B,1.519B,,196.83M,2.236B,2.857B,117.73M,,,117.73M,,117.73M,80.99M,,,17.00M,97.99M,,97.99M,243.12M,458.84M,433.04M,,433.04M,219.72M,219.72M,,,65.98M,718.75M,1.178B,14.61M,428.98M,1.235B,,,,,0.878M,1.679B
2004-07,45.53M,,45.53M,150.12M,150.12M,123.62M,204.45M,328.07M,,49.98M,573.70M,0.0,35.63M,179.18M,449.36M,,72.84M,737.00M,-226.38M,510.63M,,1.508B,1.508B,,171.73M,2.190B,2.764B,101.92M,,,101.92M,,101.92M,97.63M,,,,97.63M,,97.63M,208.48M,408.03M,451.15M,,451.15M,,,,,280.85M,732.00M,1.140B,14.57M,405.57M,1.222B,,,,,-18.43M,1.624B
2004-04,104.55M,15.07M,119.62M,93.62M,93.62M,75.16M,104.66M,179.83M,,57.78M,450.85M,0.0,29.08M,122.00M,313.36M,,70.02M,534.46M,-216.94M,317.52M,,840.90M,840.90M,,74.86M,1.233B,1.684B,62.23M,,,62.23M,,62.23M,,,,,,,,112.99M,175.22M,135.00M,,135.00M,136.26M,136.26M,,,26.96M,298.21M,473.43M,12.54M,387.06M,829.32M,,,,,-18.24M,1.211B
2004-01,118.32M,24.25M,142.57M,91.52M,91.52M,79.53M,105.62M,185.16M,,24.76M,444.01M,0.0,27.42M,112.06M,331.16M,,72.38M,543.01M,-231.08M,311.93M,,847.94M,847.94M,,73.23M,1.233B,1.677B,56.48M,,,56.48M,,56.48M,,,,,,,,100.73M,157.21M,135.00M,,135.00M,,,,,188.62M,323.62M,480.84M,12.52M,377.36M,824.49M,,,,,-18.10M,1.196B
2003-10,70.15M,29.51M,99.66M,112.96M,112.96M,96.48M,98.45M,194.93M,,18.88M,426.43M,0.0,27.91M,118.83M,341.93M,,57.86M,546.52M,-241.54M,304.98M,,847.59M,847.59M,,78.77M,1.231B,1.658B,62.21M,,,62.21M,,62.21M,,,,,,,,102.06M,164.27M,135.00M,,135.00M,,,,,187.62M,322.62M,486.89M,12.50M,357.51M,823.05M,,,,,-22.19M,1.171B
2003-07,167.47M,,167.47M,103.25M,103.25M,94.38M,100.18M,194.56M,,15.22M,480.49M,0.0,27.43M,117.48M,334.53M,,40.78M,520.22M,-231.54M,288.68M,,846.99M,846.99M,,24.76M,1.160B,1.641B,70.06M,,,70.06M,,70.06M,,,,,,,,111.16M,181.23M,135.00M,,135.00M,,,,,185.17M,320.17M,501.40M,12.49M,336.89M,822.19M,,,,,-32.04M,1.140B
2003-04,181.22M,,181.22M,101.36M,101.36M,83.63M,85.50M,169.13M,,14.94M,466.66M,0.0,26.25M,117.61M,331.32M,,21.50M,496.69M,-221.70M,274.99M,,846.35M,846.35M,,27.41M,1.149B,1.615B,68.70M,,,68.70M,29.25M,97.96M,,,,,,,,69.32M,167.27M,135.00M,,135.00M,134.02M,134.02M,,,54.94M,323.96M,491.24M,12.44M,323.06M,815.77M,,,,,-27.10M,1.124B
2003-01,150.83M,,150.83M,93.85M,93.85M,86.95M,89.46M,176.42M,,16.10M,437.20M,0.0,26.60M,103.56M,325.05M,,20.94M,476.15M,-211.50M,264.65M,,849.07M,849.07M,,24.09M,1.138B,1.575B,48.83M,,,48.83M,,48.83M,,,,,,,,115.52M,164.35M,135.00M,,135.00M,,,,,162.70M,297.70M,462.05M,12.44M,311.22M,814.05M,,,,,-24.75M,1.113B
2002-10,98.82M,,98.82M,120.19M,120.19M,89.89M,98.70M,188.59M,,17.58M,425.18M,0.0,23.71M,105.84M,341.02M,,13.88M,484.45M,-204.79M,279.66M,,829.33M,829.33M,,30.79M,1.140B,1.565B,67.56M,,,67.56M,,67.56M,,,,,,,,103.91M,171.47M,135.00M,,135.00M,,,,,168.16M,303.16M,474.63M,12.40M,293.14M,810.94M,,,,,-26.14M,1.090B
2002-07,74.10M,,74.10M,111.44M,111.44M,104.22M,91.49M,195.71M,,16.76M,398.01M,0.0,23.36M,105.50M,336.40M,,12.96M,478.21M,-197.62M,280.59M,495.69M,331.67M,827.36M,,31.30M,1.139B,1.537B,71.76M,,,71.76M,,71.76M,,,,,,,,94.26M,166.02M,135.00M,,135.00M,,,,,166.97M,301.97M,467.99M,12.39M,273.94M,809.48M,,,,,-26.54M,1.069B
2002-04,91.91M,,91.91M,57.37M,57.37M,63.72M,52.82M,116.54M,,13.99M,279.81M,0.0,16.91M,87.13M,242.59M,,7.504M,354.13M,-191.34M,162.79M,33.51M,14.82M,48.34M,,33.96M,245.08M,524.89M,32.39M,,,32.39M,11.56M,43.95M,,,,,,,,36.48M,80.43M,135.00M,,135.00M,4.105M,4.105M,,,25.21M,164.32M,244.75M,6.217M,267.79M,33.18M,,,,,-27.05M,280.14M
2002-01,67.44M,,67.44M,54.42M,54.42M,67.98M,55.36M,123.34M,,14.75M,259.96M,0.0,18.50M,84.44M,240.06M,,8.99M,351.99M,-187.02M,164.98M,,48.18M,48.18M,,30.19M,243.34M,503.30M,30.58M,,,30.58M,,30.58M,,,,,,,,46.35M,76.93M,135.00M,,135.00M,,,,,23.21M,158.21M,235.14M,6.208M,261.40M,29.52M,,,,,-28.97M,268.16M
2001-10,33.22M,,33.22M,60.63M,60.63M,77.04M,55.37M,132.42M,,14.38M,240.64M,0.0,17.74M,80.70M,258.93M,,14.11M,371.48M,-200.39M,171.09M,,43.61M,43.61M,,33.07M,247.76M,488.41M,34.11M,,,34.11M,,34.11M,,,,,,,,44.92M,79.03M,135.00M,,135.00M,,,,,21.02M,156.02M,235.05M,6.11M,257.44M,21.85M,,,-20.13M,-11.91M,-32.04M,253.36M
2001-07,50.99M,,50.99M,54.40M,54.40M,72.79M,56.80M,129.59M,,11.69M,246.68M,0.0,17.69M,80.35M,251.76M,,17.30M,367.09M,-195.68M,171.41M,,44.59M,44.59M,,23.48M,239.48M,486.16M,34.11M,,,34.11M,,34.11M,,,,,,,,45.81M,79.92M,135.00M,,135.00M,,,,,21.17M,156.17M,236.10M,6.105M,253.83M,20.90M,,,-18.23M,-12.54M,-30.77M,250.06M
2001-04,51.12M,,51.12M,55.99M,55.99M,59.56M,54.61M,114.18M,,13.96M,235.24M,0.0,17.68M,79.86M,247.24M,,17.07M,361.85M,-190.28M,171.57M,33.79M,11.85M,45.64M,,26.66M,243.86M,479.10M,29.97M,,,29.97M,8.559M,38.53M,,,,,,,,29.54M,68.06M,135.00M,,135.00M,4.981M,4.981M,,,20.28M,160.26M,228.32M,6.09M,253.23M,19.28M,,,,,-27.81M,250.78M
2001-01,30.79M,,30.79M,52.46M,52.46M,69.45M,52.61M,122.06M,,14.30M,219.61M,0.0,17.54M,79.94M,232.37M,,28.76M,358.61M,-186.22M,172.38M,,46.91M,46.91M,,24.99M,244.29M,463.90M,27.63M,,,27.63M,,27.63M,,,,,,,,37.02M,64.64M,135.00M,,135.00M,,,,,18.99M,153.99M,218.63M,6.065M,245.73M,17.36M,,,-12.56M,-11.34M,-23.90M,245.26M
2000-10,9.207M,,9.207M,64.42M,64.42M,81.87M,50.33M,132.20M,,13.18M,219.01M,0.0,17.48M,78.20M,229.40M,,26.56M,351.64M,-180.74M,170.90M,,47.37M,47.37M,,24.82M,243.10M,462.11M,33.56M,,,33.56M,,33.56M,,,,,,,,35.93M,69.49M,135.00M,,135.00M,,,,,19.18M,154.18M,223.67M,6.047M,243.16M,14.83M,,,-13.87M,-11.73M,-25.60M,238.44M
2000-07,25.37M,,25.37M,63.19M,63.19M,82.82M,52.10M,134.92M,,17.12M,240.60M,0.0,18.60M,88.12M,215.38M,,35.91M,358.01M,-179.86M,178.15M,,49.32M,49.32M,,22.48M,249.95M,490.55M,36.84M,,,36.84M,,36.84M,,,,,,,,40.88M,77.72M,75.00M,,75.00M,,,,,19.32M,94.32M,172.04M,7.084M,316.21M,17.55M,,,-10.16M,-12.17M,-22.34M,318.51M
2000-04,,,,,,,,,,,,,,,,,,,,,,,,,,,477.70M,,,,,,,,,,,,,,,,75.00M,,75.00M,,,,,,75.00M,157.09M,,,,,,,,,320.61M
2000-01,26.05M,,26.05M,55.57M,55.57M,,,140.25M,,12.55M,234.42M,,,,,,,344.22M,-170.88M,173.34M,,,58.20M,,22.18M,253.72M,488.14M,33.82M,,,33.82M,,33.82M,,,,,,,,34.98M,68.81M,75.00M,,75.00M,,,,,21.90M,96.90M,165.70M,7.135M,317.20M,17.40M,,,,,-6.772M,322.43M
1999-10,25.00M,,25.00M,,66.40M,,,146.40M,,12.60M,250.40M,,,,,,,337.80M,-166.10M,171.70M,,58.50M,58.50M,,,255.00M,505.40M,42.10M,,,42.10M,,42.10M,,,,,,,,37.70M,79.80M,75.00M,,75.00M,,,,,,75.00M,176.70M,7.20M,324.20M,17.10M,,,,,,328.70M
1999-07,52.50M,,52.50M,,58.20M,,,141.60M,,14.30M,266.60M,,,,,,,333.20M,-162.70M,170.50M,,59.40M,59.40M,,,250.50M,517.10M,57.60M,,,57.60M,,57.60M,,,,,,,,37.80M,95.40M,75.00M,,75.00M,,,,,,75.00M,192.20M,7.30M,320.30M,17.20M,,,,,,324.90M
1999-04,,,,,,,,,,,,,,,,,,,,,,,,,,,437.66M,,,,,,,,,,,,,,,,,,,,,,,,,106.11M,,,,,,,,,331.55M
1999-01,5.80M,,5.80M,,49.80M,,,125.90M,,12.20M,193.70M,,,,,,,317.00M,-152.90M,164.10M,,58.50M,58.50M,,,240.40M,434.10M,33.40M,,,33.40M,,33.40M,,,,,,,,64.10M,97.50M,,,,,,,,,,118.70M,,312.40M,,,,,,,315.40M
1998-10,5.10M,,5.10M,,53.60M,,,138.50M,,13.40M,210.60M,,,,,,,310.00M,-149.10M,160.90M,,43.80M,43.80M,,,223.80M,434.40M,38.00M,,,38.00M,,38.00M,,,,,,,,64.50M,102.50M,,,,,,,,,,123.60M,,308.30M,,,,,,,310.80M
1998-07,7.10M,,7.10M,,46.30M,,,137.60M,,12.60M,203.60M,,,,,,,297.90M,-144.50M,153.40M,,44.60M,44.60M,,,218.00M,421.60M,46.40M,,,46.40M,,46.40M,,,,,,,,48.20M,94.60M,,,,,,,,,,115.70M,,304.00M,,,,,,,305.90M
