,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-07,29.90M,,,,,15.81M,0.024M,15.84M,15.84M,,,,2.849M,-14.85M,-58.24M,30.44M,,14.25M,-28.40M,,20.19M,-13.62M,0.649M,-12.97M,,6.804M,7.306M,1.144M,,,,,-16.20M,-16.20M,,-15.71M,,0.131M,-31.78M,58.08M,-10.44M,-0.153M,47.49M,,,,-16.20M
2005-04,22.11M,,,,0.00,16.59M,0.427M,17.02M,17.02M,,,,,-14.73M,16.39M,-18.50M,,-16.10M,-46.88M,0.868M,29.36M,-37.40M,-44.27M,-81.67M,79.72M,1.481M,0.501M,-0.876M,,,-14.52M,,0.00,0.00,,-14.54M,,7.634M,-21.42M,55.45M,7.068M,-4.435M,58.08M,,,,0.00
2005-01,38.81M,,,,-3.079M,13.90M,0.497M,14.39M,14.39M,,,,,68.38M,24.86M,-46.68M,,15.58M,62.14M,-1.973M,110.29M,-19.92M,3.455M,-16.46M,-0.406M,-15.79M,-0.665M,-33.32M,,,-26.34M,,-16.87M,-16.87M,,-14.54M,,3.57M,-54.18M,32.51M,22.79M,0.154M,55.45M,,,,-16.87M
2004-10,40.66M,,,,,13.31M,0.523M,13.83M,13.83M,,,,,-48.28M,5.284M,46.54M,,-39.91M,-36.37M,32.14M,50.26M,-16.46M,7.389M,-9.066M,-1.518M,-24.87M,3.865M,-31.59M,,,-22.39M,,,,,-14.51M,,4.561M,-32.34M,45.16M,-13.66M,1.012M,32.51M,,,,
2004-07,27.49M,,,,,10.28M,0.524M,10.80M,10.80M,,,,,-7.393M,-51.79M,-24.95M,,35.84M,-48.28M,-30.16M,-40.16M,-13.80M,35.83M,22.03M,-97.29M,17.47M,2.764M,-55.03M,,,45.28M,,,,,-12.47M,,2.848M,35.66M,104.55M,-59.53M,0.136M,45.16M,,,,
2004-04,21.15M,,,,,7.161M,0.529M,7.69M,7.69M,,,,,,,,,-4.109M,-18.34M,19.80M,36.41M,-26.34M,6.193M,-20.14M,,7.865M,-5.829M,-29.15M,,,,,1.148M,1.148M,,-11.46M,,0.639M,-9.671M,107.57M,-2.411M,-0.611M,104.55M,,,,1.148M
2004-01,31.12M,,,,47.12M,8.891M,0.523M,9.414M,9.414M,,,,,,,,,-19.06M,-19.06M,2.341M,70.94M,-21.23M,0.097M,-21.13M,,10.50M,0.374M,-10.26M,,,,,0.00,0.00,,-11.44M,,1.394M,-10.05M,56.80M,50.63M,0.147M,107.57M,,,,0.00
2003-10,33.83M,,,,-28.85M,10.06M,1.039M,11.10M,11.10M,,,,,,,,,,,-4.196M,11.88M,-24.70M,0.807M,-23.90M,,-75.84M,,-99.74M,,,,,0.00,0.00,,-11.43M,,1.30M,-10.13M,154.72M,-97.99M,0.586M,56.80M,,,,0.00
2003-07,25.25M,,,,-18.27M,10.04M,0.323M,10.36M,10.36M,,,,,,,,,,,0.024M,17.36M,-25.45M,2.064M,-23.39M,,,,-23.39M,,,,,-1.148M,-1.148M,,-11.39M,,2.354M,-10.18M,170.53M,-16.21M,0.404M,154.72M,,,,-1.148M
2003-04,23.24M,,,,-12.75M,11.65M,-0.272M,11.38M,11.38M,,,,,,,,,,,,55.38M,-21.65M,0.348M,-21.30M,-0.104M,,4.846M,-16.56M,,,,,23.70M,23.70M,,-33.60M,,-0.012M,-9.919M,150.83M,28.90M,1.491M,181.22M,,,,23.70M
2003-01,27.99M,,,,33.30M,8.42M,0.507M,8.927M,8.927M,,,,,,,,,,,,70.22M,-12.10M,0.753M,-11.34M,-0.727M,,0.438M,-11.63M,,,,,-23.70M,-23.70M,,13.07M,,3.088M,-7.538M,98.82M,51.05M,0.956M,150.83M,,,,-23.70M
2002-10,29.09M,,,,0.906M,8.387M,0.894M,9.281M,9.281M,,,,,,,,,,,,39.27M,-7.411M,0.012M,-7.399M,-0.633M,,0.428M,-7.604M,,,,,,,,-9.131M,,1.897M,-7.234M,74.10M,24.44M,0.295M,98.82M,,,,
2002-07,16.02M,,,,-21.45M,7.475M,0.688M,8.163M,8.163M,,,,,,,,,,,,2.728M,-8.371M,0.066M,-8.305M,-9.303M,,0.422M,-17.19M,,,,,,,,-3.939M,,0.211M,-3.728M,91.91M,-18.19M,0.367M,74.10M,,,,
2002-04,6.653M,,,,,5.818M,1.129M,6.947M,6.947M,,,,,,,,,7.884M,16.73M,,31.88M,-2.801M,0.275M,-2.526M,0.00,,0.413M,-2.113M,,,,,1.126M,1.126M,,-3.945M,,-2.855M,-5.674M,67.44M,24.09M,0.386M,91.91M,,,,1.126M
2002-01,7.947M,,,,23.82M,5.959M,1.179M,7.138M,7.138M,,,,,,,,,-7.884M,-7.884M,,31.03M,-7.927M,6.682M,-1.245M,-0.075M,,0.405M,-0.915M,,,,,-0.587M,-0.587M,,-3.883M,,8.545M,4.075M,33.22M,34.19M,0.036M,67.44M,,,,-0.587M
2001-10,7.864M,,,,-18.06M,6.131M,1.171M,7.302M,7.302M,,,,,,,,,,,,-2.896M,-6.421M,0.088M,-6.333M,-5.639M,,0.399M,-11.57M,,,,,-0.539M,-0.539M,,-3.875M,,1.482M,-2.932M,50.99M,-17.40M,-0.373M,33.22M,,,,-0.539M
2001-07,8.387M,,,,-5.763M,6.024M,1.146M,7.17M,7.17M,,,,,,,,,,,,9.794M,-6.315M,0.015M,-6.30M,,,0.391M,-5.909M,,,,,,,,-3.865M,,-0.211M,-4.076M,51.12M,-0.191M,0.058M,50.99M,,,,
2001-04,8.853M,,,,0.00,6.16M,1.071M,7.231M,7.231M,,,,,,,,,-15.16M,16.86M,,29.23M,-6.553M,0.125M,-6.428M,,,0.385M,-6.043M,,,0.00,,0.001M,0.001M,,-3.852M,,1.575M,-2.276M,30.79M,20.91M,-0.57M,51.12M,,,,0.001M
2001-01,7.039M,,,,0.00,5.534M,1.101M,6.635M,6.635M,,,,,,,,,16.35M,16.35M,,30.02M,-6.63M,0.013M,-6.617M,,,0.377M,-6.24M,,,0.00,,-0.546M,-0.546M,,-3.837M,,1.918M,-2.465M,9.207M,21.32M,0.264M,30.79M,,,,-0.546M
2000-10,6.209M,,,,2.47M,5.654M,1.112M,6.766M,6.766M,,,,,,,,,-1.187M,-1.187M,,14.26M,-7.343M,0.134M,-7.209M,,,0.37M,-6.839M,,,60.00M,,-80.42M,-80.42M,,-4.499M,,1.724M,-23.19M,25.37M,-15.78M,-0.386M,9.207M,,,,-80.42M
2000-07,8.566M,,,,-0.165M,5.173M,1.116M,6.289M,6.289M,,,,,,,,,,,,14.69M,-8.859M,0.006M,-8.853M,,,0.363M,-8.49M,,,,,,,,-4.498M,,0.108M,-4.39M,23.77M,1.81M,-0.215M,25.37M,,,,
2000-04,0.968M,,,,,,,,,,,,33.62M,,,,,,-26.61M,,30.30M,-10.84M,-0.414M,-11.25M,-3.758M,,0.356M,-14.65M,-8.966M,8.966M,0.00,,-3.067M,-3.067M,,-4.247M,,-0.557M,-7.871M,26.05M,7.777M,-0.728M,33.10M,,0.00,,-3.067M
2000-01,4.989M,,,,,,,,,,,,-22.09M,,,,,39.60M,39.60M,,22.50M,-4.902M,0.405M,-4.497M,-5.298M,,0.331M,-9.464M,75.00M,-8.966M,66.03M,,-14.59M,-14.59M,,-4.265M,,-59.16M,-11.98M,25.00M,1.058M,0.013M,26.05M,,75.00M,,-14.59M
1999-10,9.40M,,,,,,,,,,,,,,,,,-25.60M,-25.60M,,-16.20M,-6.50M,0.00,-6.50M,,,0.30M,-6.20M,,,,,,,,-4.40M,,-0.90M,-5.30M,52.50M,-27.70M,0.30M,25.00M,,,,
1999-07,11.00M,,,,,,,,,,,,,,,,,-14.00M,-14.00M,,-3.00M,-10.00M,0.10M,-9.90M,,,0.40M,-9.50M,,,,,,,,-4.30M,,60.70M,56.40M,8.70M,43.90M,-0.20M,52.50M,,,,
1999-04,10.06M,,,,,,,,,,,,15.94M,,,,,,,,34.02M,16.61M,0.547M,17.15M,,,-0.112M,-9.548M,,,,,,,,-4.046M,,-26.14M,-22.03M,5.80M,2.448M,0.351M,8.683M,,,,
1999-01,8.20M,,,,,,,,,,,,17.90M,,,,,,,,26.10M,-24.00M,0.00,-24.00M,,,0.80M,-23.20M,,,,,,,,-4.10M,,1.90M,-2.20M,,-29.90M,0.10M,5.80M,,,,
1998-10,9.10M,,,,,,,,,,,,-16.60M,,,,,,,,-7.50M,-12.20M,0.20M,-12.00M,,,0.20M,-11.80M,,,,,,,,-4.00M,,21.50M,17.50M,,,-0.20M,,,,,
1998-07,10.40M,,,,,,,,,,,,-19.50M,,,,,,,,-9.10M,-19.10M,,-19.10M,,,0.40M,-18.70M,,,,,,,,-4.10M,,3.10M,-1.00M,36.50M,,-0.60M,,,,,
