,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-01,168.39M,168.39M,113.39M,55.00M,39.79M,,-0.493M,,,,,39.79M,15.21M,,,,-0.493M,,13.03M,5.081M,7.947M,,,7.947M,8.248M,22.35M,7.138M,15.21M,0.3386,0.0,,0.3514,0.3386,0.3386,0.0,,0.3514,0.3386,23.47M,23.47M,0.1693
2001-10,172.84M,172.84M,116.76M,56.08M,41.31M,,-0.13M,,,,,41.31M,14.78M,,,,-0.13M,,12.89M,5.028M,7.864M,,,7.864M,7.943M,22.08M,7.302M,14.78M,0.3386,0.0,,0.342,0.3386,0.3386,0.0,,0.342,0.3386,23.22M,23.22M,0.1693
2001-07,169.79M,169.79M,112.88M,56.92M,41.68M,,0.067M,,,,,41.68M,15.23M,,,,0.067M,,13.75M,5.362M,8.387M,,,8.387M,8.346M,22.40M,7.17M,15.23M,0.3704,0.0,,0.3686,0.3704,0.3598,0.0,,0.358,0.3598,22.64M,23.31M,0.1693
2001-04,161.45M,161.45M,111.43M,50.02M,35.76M,,0.579M,,,,0.00,35.76M,14.26M,,,,0.579M,,13.00M,4.144M,8.853M,,0.00,8.853M,8.459M,21.49M,7.231M,14.26M,0.29,0.04,0.0,0.2773,0.29,0.24,0.04,0.0019,0.2275,0.28,31.07M,31.47M,0.1693
2001-01,153.63M,153.63M,101.18M,52.44M,39.69M,,-0.038M,,,,,39.69M,12.75M,,,,-0.038M,,11.09M,4.051M,7.039M,,,7.039M,7.063M,19.39M,6.635M,12.75M,0.29,0.0,,0.291,0.29,0.29,0.0,,0.291,0.29,24.09M,24.41M,0.1693
2000-10,169.84M,169.84M,115.46M,54.37M,40.66M,,-2.302M,,,,2.152M,42.81M,11.56M,,,,-2.302M,,10.15M,3.945M,6.209M,,,6.209M,7.617M,18.33M,6.766M,11.56M,0.25,0.0,,0.3058,0.25,0.24,0.0,,0.2954,0.24,25.21M,25.40M,0.1693
2000-07,166.33M,166.33M,110.40M,55.92M,39.86M,,-0.199M,,,,,39.86M,16.07M,,,,-0.199M,,15.72M,6.161M,9.558M,,-0.992M,8.566M,9.679M,22.36M,6.289M,16.07M,0.34,-0.04,0.0,0.3443,0.3,0.34,-0.04,-0.0352,0.3443,0.3,28.19M,28.24M,0.1693
2000-04,166.00M,166.00M,,,,,,,,,,,601.33M,,,,,,,,0.884M,,,0.884M,0.884M,601.33M,,601.33M,0.0656,,,0.0656,0.0656,0.0656,,,0.0656,0.0656,13.47M,13.47M,0.1587
2000-01,150.43M,150.43M,95.94M,54.49M,41.44M,,0.173M,,,,4.805M,46.24M,8.249M,,,,0.173M,,7.716M,2.753M,4.963M,,,4.963M,4.852M,8.249M,,8.249M,0.1799,0.0,,0.1716,0.1799,0.1799,0.0,,0.1716,0.1799,13.47M,13.47M,0.1587
1999-10,164.00M,164.00M,109.10M,54.90M,39.80M,,0.30M,,,,,39.80M,15.10M,,,,0.30M,,15.20M,5.80M,9.40M,,,9.40M,9.214M,15.10M,,15.10M,0.6929,,,0.6929,0.6929,0.6929,,,0.6929,0.6929,,,0.1587
1999-07,161.50M,161.50M,103.50M,58.00M,40.80M,,0.40M,,,,,40.80M,17.20M,,,,0.40M,,17.80M,6.80M,11.00M,,,11.00M,10.75M,17.20M,,17.20M,0.8109,,,0.7926,0.8109,0.8109,,,0.7926,0.8109,13.57M,13.57M,0.1587
1999-04,166.46M,166.46M,,,,,,,,,,,568.26M,,,,,,,,10.53M,,,10.53M,10.53M,568.26M,,568.26M,0.7744,,,0.7744,0.7744,0.7744,,,0.7744,0.7744,13.57M,13.57M,0.1481
1999-01,140.80M,140.80M,91.70M,49.10M,35.50M,,0.10M,,,,,35.50M,13.60M,,,,0.10M,,13.80M,5.60M,8.20M,,,8.20M,8.14M,13.60M,,13.60M,0.6029,,,0.6029,0.6029,0.6029,,,0.6029,0.6029,,,0.1481
1998-10,154.90M,154.90M,103.20M,51.70M,37.40M,,0.60M,,,,,37.40M,14.30M,,,,0.60M,,14.70M,5.60M,9.10M,,,9.10M,8.729M,14.30M,,14.30M,0.669,,,0.669,0.669,0.669,,,0.669,0.669,,,0.1481
1998-07,150.50M,150.50M,96.60M,53.90M,37.30M,,0.90M,,,,,37.30M,16.60M,,,,0.90M,,17.40M,7.00M,10.40M,,,10.40M,9.86M,16.60M,,16.60M,0.7646,,,0.7249,0.7646,0.7646,,,0.7249,0.7646,13.60M,13.60M,0.1481
