,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,,89.82M,109.82M,199.64M,698.76M,917.20M,,300.05M,88.68M,,1.506B,,,10.98B,-2.770B,8.208B,287.59M,287.59M,30.76M,241.81M,,3.715B,12.48B,13.99B,,678.61M,,12.53M,,691.14M,69.82M,760.96M,618.90M,54.29M,673.18M,673.18M,,,269.32M,1.703B,,4.103B,,4.103B,1.249B,1.249B,740.93M,912.43M,116.20M,,,7.005B,10.85B,,881.06M,1.079B,1.475B,361.60M,,,,-37.26M,3.020B,,AOR,Restated
2008-09,,82.82M,,82.82M,623.83M,817.52M,,270.38M,,203.54M,1.374B,9.679B,1.013B,10.69B,-2.750B,7.941B,,287.59M,,,,3.061B,11.29B,12.66B,,463.97M,,,,463.97M,313.46M,777.43M,,,558.47M,558.47M,,,,1.336B,,4.031B,,4.031B,1.202B,26.24M,,,,,,4.058B,9.532B,,997.10M,1.040B,1.473B,361.60M,116.20M,,,-15.85M,3.132B,,,Restated
2008-06,,12.13M,,12.13M,584.49M,779.91M,,228.77M,,372.88M,1.394B,9.318B,1.121B,10.44B,-2.718B,7.722B,,287.59M,,,,3.306B,11.32B,12.71B,,568.77M,,,,568.77M,402.48M,971.25M,,,141.29M,141.29M,,,,1.113B,,4.090B,,4.090B,1.137B,27.11M,,,,,,4.117B,9.654B,,997.00M,967.33M,1.470B,361.60M,116.20M,,,-16.66M,3.056B,,,Restated
2008-03,,24.97M,,24.97M,438.38M,532.69M,,155.69M,,587.84M,1.301B,9.088B,1.053B,10.14B,-2.688B,7.453B,,287.59M,,,,3.302B,11.04B,12.34B,,574.63M,,,,574.63M,333.83M,908.45M,,,512.29M,512.29M,,,,1.421B,,3.494B,,3.494B,1.119B,27.98M,,,,,,3.522B,9.301B,,996.84M,973.97M,1.466B,361.60M,116.20M,,,-32.67M,3.043B,,,Restated
2007-12,,15.10M,484.52M,499.62M,401.28M,516.99M,,210.85M,58.79M,,1.286B,8.882B,1.009B,9.892B,-2.662B,7.230B,287.59M,287.59M,53.28M,298.00M,,2.224B,10.30B,11.58B,,598.55M,,0.00,,598.55M,56.59M,655.14M,79.00M,154.29M,233.29M,233.29M,,,317.73M,1.206B,,4.401B,,4.401B,1.096B,1.319B,181.51M,208.46M,,,,6.110B,8.552B,,995.82M,946.79M,1.466B,361.53M,116.20M,,,9.359M,3.030B,,,Restated
2007-09,,207.65M,,207.65M,326.90M,397.42M,,231.16M,,579.40M,1.416B,8.588B,931.36M,9.520B,-2.643B,6.877B,,287.59M,,,,2.759B,9.923B,11.34B,,506.99M,,,,506.99M,387.18M,894.17M,,,154.29M,154.29M,,,,1.048B,,3.474B,,3.474B,1.060B,29.74M,,,,,,3.503B,8.349B,,995.80M,914.62M,1.464B,361.53M,116.20M,,,-22.20M,2.990B,,,
2007-06,,138.82M,,138.82M,309.98M,386.72M,,186.02M,,594.06M,1.306B,8.506B,763.68M,9.270B,-2.624B,6.646B,,287.59M,,,,2.887B,9.820B,11.13B,,505.24M,,,,505.24M,406.81M,912.06M,,,154.29M,154.29M,,,,1.066B,,3.153B,,3.153B,1.082B,30.64M,,,,,,3.183B,8.186B,,995.68M,864.60M,1.461B,361.53M,116.20M,,,-20.30M,2.939B,,,
2007-03,,214.73M,,214.73M,362.72M,443.45M,,139.32M,,660.65M,1.458B,8.333B,705.98M,9.039B,-2.643B,6.397B,,287.59M,,,,2.894B,9.578B,11.04B,,503.89M,,,,503.89M,300.77M,804.66M,,,4.435M,4.435M,,,,809.09M,,3.264B,,3.264B,1.141B,31.34M,,,,,,3.295B,8.103B,,994.47M,876.21M,1.454B,361.53M,116.20M,,,-29.30M,2.933B,,,
2006-12,,481.91M,,481.91M,361.20M,449.37M,,173.88M,,625.89M,1.731B,8.288B,569.42M,8.857B,-2.615B,6.242B,,287.59M,,,,3.042B,9.572B,11.30B,,569.94M,,,,569.94M,789.02M,1.359B,,,4.877M,4.877M,,,,1.364B,,2.960B,,2.960B,1.132B,32.43M,,,,,,2.993B,8.389B,,993.30M,862.66M,1.450B,360.90M,116.20M,,,-30.27M,2.914B,,,
2006-09,,50.46M,,50.46M,331.84M,394.82M,,175.89M,,1.569B,2.190B,8.080B,567.08M,8.647B,-2.600B,6.046B,,287.59M,,,,2.968B,9.302B,11.49B,,511.61M,,,,511.61M,799.81M,1.311B,,,304.31M,304.31M,,,,1.616B,,2.957B,,2.957B,1.523B,33.35M,,,,,,2.990B,8.903B,,992.46M,544.70M,1.445B,360.84M,116.20M,,,-31.61M,2.589B,,,
2006-06,,48.74M,,48.74M,439.73M,518.65M,,159.12M,,1.596B,2.322B,7.817B,621.91M,8.439B,-2.552B,5.887B,,287.59M,,,,2.962B,9.137B,11.46B,,563.33M,,,,563.33M,894.42M,1.458B,,,157.73M,157.73M,,,,1.615B,,2.945B,,2.945B,1.494B,93.61M,,,,,,3.039B,8.989B,,991.84M,433.27M,1.441B,360.78M,116.20M,,,-35.56M,2.470B,,,
2006-03,,36.27M,,36.27M,544.55M,716.74M,,134.74M,,1.787B,2.675B,7.606B,624.10M,8.230B,-2.501B,5.728B,,287.59M,,,,3.443B,9.459B,12.13B,,691.10M,,,,691.10M,1.077B,1.768B,,,297.00M,297.00M,,,,2.065B,,2.700B,,2.700B,1.517B,94.53M,,,,,,2.795B,9.640B,,991.59M,466.95M,1.439B,360.74M,116.20M,,,-42.66M,2.494B,,,
2005-12,,45.78M,,45.78M,901.52M,1.077B,,206.56M,,1.046B,2.376B,8.368B,600.41M,8.969B,-2.551B,6.417B,,287.59M,,,,3.487B,10.19B,12.57B,,972.37M,,,,972.37M,948.19M,1.921B,,,54.67M,54.67M,,,,1.975B,,3.027B,,3.027B,1.402B,95.44M,,,,,,3.123B,10.02B,,990.69M,504.30M,1.438B,360.21M,116.20M,,,-26.90M,2.545B,,,
2005-09,,86.19M,,86.19M,763.98M,874.63M,,204.79M,,1.583B,2.749B,8.175B,548.72M,8.724B,-2.496B,6.228B,,290.79M,,,,3.662B,10.18B,12.93B,,887.69M,,,,887.69M,1.456B,2.343B,,,348.39M,348.39M,,,,2.692B,,2.998B,,2.998B,1.455B,96.36M,,,,,,3.095B,10.78B,,875.46M,540.64M,1.124B,360.17M,116.20M,,,-32.19M,2.148B,,,
2005-06,,55.48M,,55.48M,700.69M,814.81M,,177.04M,,754.12M,1.801B,8.069B,466.11M,8.535B,-2.460B,6.075B,,290.79M,,,,3.783B,10.15B,11.95B,,809.42M,,,,809.42M,680.59M,1.490B,,,222.24M,222.24M,,,,1.712B,,2.994B,,2.994B,1.466B,97.28M,,,,,,3.092B,9.732B,,874.49M,635.22M,1.122B,360.11M,116.20M,,,-52.66M,2.219B,,,
2005-03,,74.02M,,74.02M,833.32M,978.86M,,143.24M,,782.01M,1.978B,7.931B,437.20M,8.368B,-2.414B,5.954B,,1.185B,,,,2.962B,10.10B,12.08B,,873.60M,,,,873.60M,727.54M,1.601B,,,351.16M,351.16M,,,,1.952B,,2.783B,,2.783B,1.446B,98.20M,,,,,,2.881B,9.791B,,873.52M,706.62M,1.119B,360.08M,116.20M,,,-51.42M,2.288B,,,
2004-12,,46.99M,,46.99M,771.26M,915.70M,,185.18M,,571.86M,1.720B,7.864B,382.63M,8.247B,-2.383B,5.864B,,319.99M,,,,3.752B,9.936B,11.66B,,825.25M,,,,825.25M,467.40M,1.293B,,,270.76M,270.76M,,,,1.563B,,2.790B,,2.790B,1.534B,99.12M,,,,,,2.889B,9.243B,,872.36M,845.34M,1.116B,359.13M,116.20M,,,-61.77M,2.413B,,,
2004-09,,97.85M,,97.85M,656.38M,755.79M,,202.76M,,748.72M,1.805B,7.720B,376.43M,8.097B,-2.357B,5.739B,,340.24M,,,,3.657B,9.736B,11.54B,,704.56M,,,,704.56M,544.56M,1.249B,,,90.01M,90.01M,,,,1.339B,,2.840B,,2.840B,1.504B,100.06M,,,,,,2.940B,9.106B,,869.62M,879.15M,1.111B,359.06M,116.20M,,,-65.75M,2.435B,,,
2004-06,,75.26M,,75.26M,648.66M,751.26M,,154.46M,,882.50M,1.863B,7.608B,354.82M,7.963B,-2.321B,5.642B,,341.14M,,,,3.667B,9.650B,11.51B,,903.12M,,,,903.12M,552.86M,1.456B,,,94.92M,94.92M,,,,1.551B,,2.511B,,2.511B,1.448B,101.00M,,,,,,2.612B,9.074B,,869.09M,840.08M,1.110B,359.02M,116.20M,,,-20.63M,2.440B,,,
2004-03,,76.05M,,76.05M,727.38M,844.50M,,122.49M,,900.96M,1.944B,7.428B,375.26M,7.803B,-2.284B,5.519B,,342.04M,,,,3.733B,9.595B,11.54B,,839.86M,,,,839.86M,591.80M,1.432B,,,77.68M,77.68M,,,,1.509B,,2.565B,,2.565B,1.415B,101.71M,,,,,,2.666B,9.089B,,869.01M,857.20M,1.110B,358.94M,116.20M,,,-27.81M,2.450B,,,
2003-12,,43.37M,,43.37M,704.89M,830.77M,,154.08M,,519.30M,1.548B,7.318B,356.40M,7.674B,-2.244B,5.430B,,342.94M,,,,3.896B,9.669B,11.22B,,728.46M,,,,728.46M,403.99M,1.132B,,,169.94M,169.94M,,,,1.302B,,2.481B,,2.481B,1.380B,102.65M,,,,,,2.584B,8.836B,,868.19M,808.93M,1.109B,358.02M,116.20M,,,-47.70M,2.380B,,,
2003-09,,118.14M,,118.14M,637.04M,732.54M,,160.40M,,522.33M,1.533B,7.165B,374.69M,7.540B,-2.565B,4.975B,,343.90M,,,,3.746B,9.065B,10.60B,,787.02M,,,,787.02M,398.00M,1.185B,,,99.33M,99.33M,,,,1.284B,,2.505B,,2.505B,1.466B,103.61M,,,,,,2.609B,8.228B,,866.69M,837.96M,1.106B,360.80M,116.20M,,,-79.83M,2.370B,,,
2003-06,,57.03M,,57.03M,626.44M,719.73M,,124.06M,,526.86M,1.428B,7.090B,324.00M,7.414B,-2.543B,4.871B,,344.06M,,,,3.777B,8.992B,10.42B,,652.98M,,,,652.98M,408.57M,1.062B,,,121.34M,121.34M,,,,1.183B,,2.465B,,2.465B,1.512B,104.56M,,,,,,2.570B,8.089B,,865.78M,798.80M,1.105B,360.74M,116.20M,,,-78.38M,2.331B,,,
2003-03,,98.96M,,98.96M,702.67M,818.76M,,111.23M,,533.32M,1.562B,6.973B,322.43M,7.295B,-2.517B,4.779B,,344.96M,,,,3.587B,8.711B,10.27B,,687.74M,,,,687.74M,471.18M,1.159B,,,150.75M,150.75M,,,,1.310B,,2.324B,,2.324B,1.521B,105.52M,,,,,,2.430B,7.927B,,865.62M,808.35M,1.105B,360.70M,116.20M,,,-72.90M,2.346B,,,
2002-12,,54.68M,,54.68M,767.09M,893.32M,,119.85M,,463.36M,1.531B,6.892B,320.57M,7.213B,-2.164B,5.049B,,345.87M,,,,3.838B,9.234B,10.76B,,776.22M,,,,776.22M,454.84M,1.231B,,,112.91M,112.91M,,,,1.344B,,2.287B,,2.287B,1.543B,106.47M,,,,,,2.394B,8.438B,,863.08M,765.61M,1.108B,337.49M,116.20M,,,-72.82M,2.327B,,,
2002-09,,70.73M,,70.73M,665.20M,761.92M,,131.94M,,447.36M,1.412B,7.867B,308.72M,8.176B,-3.532B,4.644B,,343.87M,,,,3.916B,8.904B,10.32B,,571.55M,,,,571.55M,372.52M,944.07M,,,368.17M,368.17M,,,,1.312B,,2.272B,,2.272B,1.600B,110.58M,,,,,,2.383B,8.011B,,863.08M,727.20M,1.110B,308.74M,116.20M,,,-85.89M,2.305B,,,
2002-06,,94.02M,,94.02M,844.22M,950.50M,,120.73M,,219.66M,1.385B,7.787B,290.58M,8.077B,-3.496B,4.581B,,332.31M,,,,4.016B,8.930B,10.31B,,654.58M,,,,654.58M,288.10M,942.67M,,,342.06M,342.06M,,,,1.285B,,2.274B,198.35M,2.472B,1.597B,113.75M,,,,,,2.586B,8.055B,,862.56M,678.59M,1.110B,296.85M,116.20M,,,-94.12M,2.260B,,,
2002-03,,106.81M,,106.81M,734.00M,855.38M,,108.88M,,219.34M,1.290B,7.678B,293.49M,7.972B,-3.454B,4.518B,,335.00M,,,,4.006B,8.859B,10.15B,,502.20M,,,,502.20M,290.49M,792.69M,,,543.54M,543.54M,,,,1.336B,,2.023B,206.70M,2.230B,1.596B,116.31M,,,,,,2.346B,7.895B,,861.78M,680.93M,1.111B,296.85M,116.20M,,,-102.26M,2.255B,,,
2001-12,,96.66M,,96.66M,659.76M,786.16M,,108.52M,,484.84M,1.476B,7.424B,289.89M,7.714B,-3.274B,4.440B,,333.12M,,,,4.082B,8.856B,10.33B,,608.70M,,,,608.70M,375.96M,984.66M,,,340.96M,340.96M,,,,1.326B,,2.293B,,2.293B,1.611B,120.07M,,,,,,2.413B,8.098B,,860.65M,678.46M,1.108B,278.60M,116.20M,,,-134.28M,2.234B,,,
2001-09,,130.91M,,130.91M,699.06M,778.02M,,103.57M,,253.24M,1.266B,6.932B,259.02M,7.191B,-3.466B,3.724B,,323.48M,,,526.64M,4.453B,9.027B,10.29B,,634.82M,,,,634.82M,349.55M,984.38M,,,461.78M,461.78M,,,,1.446B,,1.931B,16.99M,1.948B,1.533B,123.25M,,,,,,2.071B,8.043B,,860.65M,644.89M,882.82M,,116.20M,,,-138.31M,2.250B,,,
2001-06,,197.65M,,197.65M,784.05M,869.96M,,102.58M,,218.87M,1.389B,7.191B,222.88M,7.413B,-3.436B,3.978B,,325.85M,,,390.08M,4.078B,8.772B,10.16B,,685.48M,,,,685.48M,259.34M,944.82M,,,480.70M,480.70M,,,,1.426B,,1.930B,17.18M,1.947B,1.574B,126.42M,,,,,,2.074B,7.922B,,860.64M,610.25M,902.56M,,116.20M,,,-134.59M,2.239B,,,
2001-03,,1.472B,,1.472B,702.57M,821.50M,,94.20M,,226.07M,2.614B,6.899B,206.85M,7.106B,-3.488B,3.619B,,334.51M,,,356.80M,4.322B,8.632B,11.25B,,653.28M,,,,653.28M,656.37M,1.310B,,,1.500B,1.500B,,,,2.810B,,2.148B,17.36M,2.166B,1.490B,131.76M,,,100.00M,,,2.297B,8.711B,,860.24M,593.65M,1.087B,,116.20M,,,-105.52M,2.435B,,,
2000-12,,200.02M,,200.02M,472.86M,593.95M,,163.71M,,192.67M,1.150B,10.36B,228.33M,10.59B,-7.041B,3.547B,,324.39M,,,139.55M,5.056B,9.067B,10.22B,,538.98M,,,,538.98M,240.15M,779.13M,,,1.763B,1.763B,,,,2.542B,,2.030B,47.23M,2.077B,1.739B,153.16M,,,100.00M,,,2.230B,7.747B,,844.54M,495.87M,927.06M,,151.20M,,,102.31M,2.370B,,,
2000-09,,237.97M,,237.97M,479.96M,551.96M,,171.25M,,399.38M,1.361B,11.57B,206.51M,11.78B,-6.494B,5.282B,,336.22M,,,50.29M,3.536B,9.205B,10.57B,,481.41M,,,,481.41M,312.30M,793.71M,,,1.780B,1.780B,,,,2.574B,,2.043B,50.62M,2.094B,1.831B,156.00M,,,100.00M,,,2.250B,7.900B,,894.68M,691.16M,1.095B,,151.20M,,,-115.86M,2.565B,,,
2000-06,,301.64M,,301.64M,488.43M,576.34M,,171.57M,,398.16M,1.448B,11.50B,183.92M,11.68B,-6.432B,5.252B,,336.57M,,,150.72M,3.575B,9.315B,10.76B,,547.51M,,,,547.51M,289.44M,836.95M,,,1.695B,1.695B,,,,2.532B,,2.211B,60.22M,2.271B,1.842B,142.36M,,,100.00M,,,2.414B,8.145B,,894.60M,639.97M,1.102B,,151.20M,,,-119.86M,2.517B,,,
2000-03,,369.74M,,369.74M,448.36M,537.27M,,174.44M,,296.38M,1.378B,10.49B,179.52M,10.67B,-6.373B,4.301B,,345.37M,,,91.57M,4.625B,9.363B,10.74B,,437.49M,,,,437.49M,313.68M,751.17M,,,1.445B,1.445B,,,,2.197B,,2.444B,53.13M,2.497B,1.866B,144.88M,,,100.00M,,,2.642B,8.021B,,998.72M,642.09M,1.102B,,255.99M,,,-123.10M,2.620B,,,
1999-12,,255.20M,,255.20M,310.20M,385.90M,,173.00M,,256.50M,1.071B,9.858B,177.50M,10.04B,-6.088B,3.947B,,23.50M,,,115.80M,4.531B,8.618B,9.688B,,347.30M,,,,347.30M,323.40M,670.70M,,,899.80M,899.80M,,,,1.570B,,2.372B,62.80M,2.435B,1.828B,140.40M,,,100.00M,,,2.576B,7.247B,,893.90M,581.80M,776.30M,,257.50M,,,88.80M,2.341B,,,
1999-09,,335.40M,,335.40M,332.30M,332.30M,,204.70M,,304.30M,1.177B,10.28B,187.90M,10.47B,-6.428B,4.042B,,,,,131.10M,4.916B,9.088B,10.26B,,335.40M,,,,335.40M,327.30M,662.70M,,,780.90M,780.90M,,,0.20M,1.444B,,2.947B,71.30M,3.018B,1.903B,135.80M,,,100.00M,,,3.154B,7.797B,,959.70M,597.50M,940.40M,,273.50M,,,-129.70M,2.368B,,,
1999-06,,220.30M,,220.30M,342.50M,342.50M,,198.30M,,306.40M,1.068B,10.30B,188.90M,10.49B,-4.376B,6.110B,,,,,150.20M,3.020B,9.281B,10.35B,,480.40M,,,,480.40M,209.00M,689.40M,,,581.50M,581.50M,,,,1.271B,,3.151B,79.60M,3.231B,1.951B,138.90M,,,100.00M,,,3.370B,7.898B,,963.40M,579.40M,940.40M,,277.20M,,,-132.40M,2.351B,,,
1999-03,,335.70M,,335.70M,226.20M,226.20M,,199.70M,,306.30M,1.068B,10.30B,147.00M,10.45B,-4.309B,6.142B,,,,,168.90M,3.006B,9.317B,10.38B,,319.30M,,,,319.30M,259.40M,578.70M,,,630.60M,630.60M,,,,1.209B,,3.218B,78.10M,3.296B,1.964B,140.90M,,,100.00M,,,3.437B,7.914B,,987.80M,579.20M,939.70M,,302.20M,,,-135.80M,2.371B,,,
1998-12,,136.20M,,136.20M,237.20M,237.20M,,202.70M,,356.80M,932.90M,10.25B,143.20M,10.40B,-4.224B,6.171B,,,,,95.20M,3.188B,9.454B,10.39B,,338.60M,,,,338.60M,241.10M,579.70M,,,548.00M,548.00M,,,0.10M,1.128B,,3.282B,88.40M,3.370B,1.992B,143.40M,,,100.00M,,,3.514B,7.936B,,989.00M,560.80M,940.70M,,303.80M,,,-139.20M,2.351B,,,
1998-09,,160.90M,,160.90M,194.00M,194.00M,,209.30M,,300.40M,864.60M,10.19B,150.90M,10.34B,-4.114B,6.223B,,,,,212.50M,3.255B,9.691B,10.56B,,256.80M,,,,256.80M,257.90M,514.70M,,,457.70M,457.70M,,,0.10M,972.50M,,3.292B,170.40M,3.463B,2.108B,151.30M,,,100.00M,,,3.614B,7.947B,,1.018B,700.80M,933.90M,,333.30M,,,-144.20M,2.508B,,,
1998-06,,131.10M,,131.10M,165.80M,165.80M,,210.70M,,276.80M,784.40M,10.66B,148.20M,10.81B,-4.52B,6.290B,,,,,188.00M,2.696B,9.174B,9.958B,,272.60M,,,,272.60M,275.80M,548.40M,,,436.50M,436.50M,,,0.10M,985.00M,,3.365B,159.90M,3.524B,2.096B,153.10M,,,100.00M,,,3.678B,7.358B,,1.018B,695.80M,934.30M,,333.30M,,,-147.20M,2.501B,,,
1998-03,,268.70M,,268.70M,187.20M,187.20M,,208.70M,,295.00M,959.60M,10.64B,140.50M,10.78B,-4.429B,6.353B,,,,,208.30M,2.751B,9.312B,10.27B,,315.20M,,,,315.20M,301.40M,616.60M,,,639.20M,639.20M,,,0.10M,1.256B,,3.462B,29.10M,3.491B,2.133B,156.40M,,,100.00M,,,3.648B,7.655B,,1.043B,689.60M,934.80M,,358.30M,,,-150.60M,2.516B,,,
1997-12,,143.40M,,143.40M,214.90M,214.90M,,212.70M,,399.70M,970.70M,10.65B,141.10M,10.79B,-4.331B,6.463B,,,,,38.80M,2.942B,9.444B,10.41B,,402.90M,,,,402.90M,315.30M,718.20M,,,502.10M,502.10M,,,0.10M,1.220B,,3.646B,30.40M,3.676B,2.113B,158.80M,,,100.00M,,,3.835B,7.805B,,1.066B,664.70M,932.50M,,382.00M,,,-154.10M,2.509B,,,
1997-09,,213.10M,,213.10M,365.40M,365.40M,,213.60M,,213.80M,1.006B,10.61B,168.40M,10.78B,-4.243B,6.537B,,,,,246.00M,2.823B,9.606B,10.61B,,322.20M,,,,322.20M,392.40M,714.60M,,,465.20M,465.20M,,,0.10M,1.180B,,3.654B,172.20M,3.826B,2.120B,161.20M,,,99.90M,,,3.987B,7.969B,,1.066B,701.70M,933.10M,,381.90M,,,-157.50M,2.543B,,,
1997-06,,137.60M,,137.60M,361.70M,361.70M,,223.40M,,235.20M,957.90M,10.60B,151.70M,10.76B,-4.146B,6.610B,,,,,248.10M,2.638B,9.496B,10.45B,,359.40M,,,,359.40M,329.30M,688.70M,,,466.50M,466.50M,,,,1.155B,,3.592B,188.70M,3.780B,2.161B,163.60M,,,99.90M,,,3.944B,7.759B,,1.069B,753.50M,935.30M,,385.70M,,,-162.80M,2.595B,,,
1997-03,,261.40M,,261.40M,411.40M,411.40M,,219.00M,,215.40M,1.107B,10.58B,155.10M,10.73B,-4.062B,6.673B,,,,,267.00M,2.622B,9.562B,10.67B,,328.00M,,,,328.00M,313.00M,641.00M,,,587.90M,587.90M,,,,1.229B,,3.574B,189.10M,3.763B,2.191B,166.80M,,,99.90M,,,3.93B,7.893B,,1.091B,817.90M,935.80M,,410.70M,,,-167.90M,2.677B,,,
1996-12,,194.20M,,194.20M,477.00M,477.00M,,211.40M,,184.30M,1.067B,10.57B,146.40M,10.71B,-3.980B,6.732B,,,,,110.20M,2.832B,9.675B,10.74B,,507.10M,,,,507.10M,319.90M,827.00M,,,377.50M,377.50M,,,0.10M,1.205B,,3.614B,186.90M,3.801B,2.212B,168.40M,,,99.90M,,,3.969B,7.952B,,1.092B,832.50M,940.40M,,412.20M,,,-176.10M,2.689B,,,
1996-09,,238.90M,,238.90M,419.50M,419.50M,,203.00M,,158.50M,1.020B,10.47B,196.10M,10.66B,-3.875B,6.789B,,,,,263.60M,2.322B,9.375B,10.39B,,289.70M,,,,289.70M,358.10M,647.80M,,,315.20M,315.20M,,,0.10M,963.10M,,3.688B,187.10M,3.876B,2.255B,170.80M,,,99.90M,,,4.046B,7.468B,,1.126B,941.30M,941.20M,,445.70M,,,-181.70M,2.827B,,,
1996-06,,275.80M,,275.80M,396.70M,396.70M,,210.60M,,182.40M,1.066B,10.50B,143.60M,10.64B,-3.793B,6.846B,,,,,271.10M,2.360B,9.478B,10.54B,,321.10M,,,,321.10M,385.40M,706.50M,,,439.80M,439.80M,,,0.10M,1.146B,,3.686B,138.10M,3.824B,2.289B,173.30M,,,99.90M,,,3.998B,7.590B,,1.126B,972.30M,943.30M,,445.70M,,,-187.70M,2.854B,,,
1996-03,,130.00M,,130.00M,451.40M,451.40M,,201.60M,,190.40M,973.40M,10.46B,166.00M,10.63B,-3.714B,6.918B,,,,,274.10M,2.332B,9.524B,10.50B,,249.40M,,,,249.40M,396.50M,645.90M,,,338.10M,338.10M,,,0.20M,984.20M,,3.701B,138.40M,3.840B,2.323B,175.70M,,,99.90M,,,4.015B,7.479B,,1.151B,1.017B,944.90M,,470.70M,,,-193.80M,2.919B,,,
1995-12,,29.00M,,29.00M,435.90M,435.90M,,200.60M,,250.00M,915.50M,10.47B,165.10M,10.63B,-3.630B,7.001B,,,,,1.763B,879.80M,9.644B,10.56B,,319.00M,,,,319.00M,325.30M,644.30M,,,401.70M,401.70M,,,0.20M,1.046B,,3.705B,147.40M,3.853B,2.314B,178.10M,,,99.90M,,,4.031B,7.564B,,1.150B,1.007B,,,472.20M,936.30M,-198.20M,738.10M,2.896B,,,
1995-09,,51.20M,,51.20M,365.20M,365.20M,,207.50M,,265.00M,888.90M,9.789B,206.90M,9.996B,-3.542B,6.454B,,,,,287.40M,2.878B,9.619B,10.51B,,227.10M,,,,227.10M,394.90M,622.00M,,,448.00M,448.00M,,,0.20M,1.070B,,3.696B,148.70M,3.844B,2.209B,180.40M,,,100.00M,,,4.025B,7.535B,,1.148B,999.10M,927.10M,,472.20M,,,-201.70M,2.872B,,,
1995-06,,31.30M,,31.30M,325.40M,325.40M,,202.10M,,193.50M,752.30M,3.842B,6.112B,9.954B,-3.446B,6.508B,,,,,306.50M,2.952B,9.766B,10.52B,,235.10M,,,,235.10M,302.90M,538.00M,,,570.10M,570.10M,,,,1.108B,,3.693B,176.20M,3.870B,2.216B,182.90M,,,100.00M,,,4.052B,7.591B,,1.150B,965.10M,918.10M,,476.00M,,,-205.50M,2.827B,,,
1995-03,,24.70M,,24.70M,360.60M,360.60M,,195.90M,,184.20M,765.40M,6.683B,195.00M,6.878B,-338.30M,6.540B,,,,,86.30M,3.153B,9.779B,10.54B,,218.80M,169.80M,,,388.60M,178.30M,566.90M,,,367.20M,367.20M,,,,934.10M,,3.914B,175.40M,4.090B,2.191B,185.30M,,,100.10M,,,4.275B,7.621B,,1.147B,978.00M,907.20M,,476.00M,,,-209.20M,2.823B,,,
1994-12,,34.60M,,34.60M,357.30M,357.30M,,190.10M,,197.60M,779.60M,9.717B,179.70M,9.897B,-3.294B,6.603B,,,,,87.70M,3.114B,9.805B,10.58B,,280.90M,,,,280.90M,316.50M,597.40M,,,438.00M,438.00M,,,0.20M,1.036B,,3.942B,166.00M,4.108B,2.156B,188.00M,,,,,,4.296B,7.666B,,1.281B,946.90M,904.40M,,610.00M,,,-213.30M,2.919B,,,
1994-09,,21.70M,,21.70M,362.50M,362.50M,,201.20M,,184.10M,769.50M,9.637B,187.70M,9.825B,-3.234B,6.591B,,,,,412.10M,2.742B,9.745B,10.51B,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,10.51B,,,,,,,,,,0.00,,,
1994-06,,30.50M,,30.50M,348.90M,348.90M,,200.20M,,200.30M,779.90M,9.615B,180.20M,9.796B,-3.163B,6.633B,,,,,429.30M,2.736B,9.798B,10.58B,,205.40M,,,,205.40M,290.20M,495.60M,,,658.90M,658.90M,,,,1.154B,,3.911B,179.20M,4.090B,2.136B,197.00M,,,,,,4.287B,7.679B,,1.290B,927.00M,903.10M,,618.70M,,,-221.10M,2.899B,,,
1994-03,,34.30M,,34.30M,401.20M,401.20M,,195.50M,,162.70M,793.70M,9.515B,232.60M,9.747B,-3.097B,6.651B,,,,,445.00M,2.759B,9.854B,10.65B,,218.90M,,,,218.90M,331.40M,550.30M,,,607.60M,607.60M,,,,1.158B,,3.970B,187.50M,4.158B,2.126B,199.30M,,,,,,4.357B,7.760B,,1.290B,920.70M,903.20M,,618.70M,,,-225.50M,2.888B,,,
