,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-10,,13.28B,55.00M,13.33B,16.54B,2.675B,6.089B,25.30B,2.036B,4.092B,6.128B,2.797B,4.979B,,52.54B,0.00,513.00M,7.472B,12.96B,,20.94B,-9.682B,11.26B,33.11B,6.60B,39.71B,,,3.303B,1.75B,6.236B,62.26B,114.80B,,14.81B,3.694B,18.50B,5.18B,23.68B,1.85B,,,1.85B,,1.85B,6.182B,6.182B,11.29B,43.00B,13.98B,,13.98B,4.23B,3.249B,7.479B,6.427B,247.00M,3.146B,31.03B,74.04B,,24.00M,29.94B,13.80B,,,-3.247B,40.52B,,AOR,Restated
2009-07,,13.52B,66.00M,13.59B,14.74B,2.532B,,17.27B,2.041B,3.809B,5.85B,,,12.14B,48.84B,0.00,514.00M,7.383B,12.23B,,20.13B,-8.935B,11.19B,33.28B,6.902B,40.18B,,10.86B,,,,62.23B,111.07B,,12.78B,786.00M,13.56B,18.50B,32.06B,3.288B,,,3.288B,,3.288B,6.458B,6.458B,,41.81B,13.89B,,13.89B,,,,,,13.84B,27.73B,69.54B,,24.00M,28.51B,13.80B,,,-796.00M,41.54B,,AOR,Restated
2009-04,,12.85B,65.00M,12.92B,14.67B,2.352B,,17.02B,2.016B,3.73B,5.746B,,,11.51B,47.19B,0.00,493.00M,7.47B,12.02B,,19.98B,-9.175B,10.81B,32.98B,7.136B,40.11B,,10.41B,,,,61.33B,108.52B,,11.42B,546.00M,11.97B,17.57B,29.54B,5.702B,,,5.702B,,5.702B,6.342B,6.342B,,41.58B,12.98B,,12.98B,,,,,,13.41B,26.39B,67.97B,,24.00M,27.59B,13.85B,,,-926.00M,40.54B,,AOR,Restated
2009-01,,11.19B,66.00M,11.26B,14.77B,2.316B,,17.08B,2.798B,4.831B,7.629B,2.505B,,10.41B,48.88B,,,,,,18.82B,-8.047B,10.77B,32.43B,7.439B,39.87B,,,,,10.11B,60.75B,109.63B,,11.23B,,11.23B,15.32B,26.55B,332.00M,,9.867B,10.20B,,10.20B,6.591B,6.591B,3.65B,46.99B,10.26B,,10.26B,,,,,,12.80B,23.06B,70.05B,,24.00M,26.16B,13.98B,-1.145B,565.00M,-580.00M,39.59B,,,Restated
2008-10,,10.15B,93.00M,10.25B,16.93B,2.314B,,19.24B,2.66B,5.219B,7.879B,4.244B,3.92B,6.197B,51.73B,0.00,526.00M,7.238B,11.12B,,18.88B,-8.047B,10.84B,32.34B,7.962B,40.30B,,,,792.00M,9.676B,61.60B,113.33B,,14.92B,869.00M,15.79B,20.69B,36.48B,10.18B,,,10.18B,,10.18B,6.287B,6.287B,,52.94B,7.676B,,7.676B,3.162B,3.152B,6.314B,3.712B,,3.748B,21.45B,74.39B,,24.00M,24.97B,14.01B,,,-65.00M,38.94B,,,Restated
2008-07,,14.78B,64.00M,14.85B,13.75B,,2.594B,16.35B,2.865B,5.295B,8.16B,,,11.68B,51.04B,,,,,,16.58B,-8.613B,7.971B,22.60B,3.982B,26.58B,,,,,10.31B,44.86B,95.89B,,14.02B,,14.02B,14.61B,28.63B,3.591B,,,3.591B,,3.591B,5.664B,5.664B,4.012B,41.90B,6.628B,,6.628B,,,,,,8.871B,15.50B,57.40B,,24.00M,23.73B,14.15B,191.00M,405.00M,596.00M,38.50B,,,Restated
2008-04,,11.59B,56.00M,11.65B,13.56B,,2.589B,16.15B,2.651B,5.027B,7.678B,,,11.58B,47.05B,,,,,,16.52B,-8.613B,7.906B,22.45B,4.08B,26.53B,,,,,10.32B,44.76B,91.80B,,12.42B,,12.42B,14.66B,27.09B,711.00M,,,711.00M,,711.00M,5.446B,5.446B,3.901B,37.15B,7.688B,,7.688B,,,,,,8.817B,16.50B,53.65B,,25.00M,23.05B,14.50B,184.00M,399.00M,583.00M,38.15B,,,Restated
2008-01,,9.903B,73.00M,9.976B,12.38B,,2.561B,14.94B,2.603B,5.335B,7.938B,,,11.77B,44.63B,,,,,,16.42B,-8.613B,7.804B,21.85B,3.963B,25.82B,,,,,10.32B,43.95B,88.57B,,11.16B,,11.16B,14.89B,26.06B,2.212B,,,2.212B,,2.212B,5.314B,5.314B,3.077B,36.66B,5.099B,,5.099B,,,,,,8.871B,13.97B,50.63B,,25.00M,22.13B,15.17B,171.00M,443.00M,614.00M,37.94B,,,
2007-10,,11.29B,152.00M,11.44B,13.42B,,8.162B,21.58B,2.629B,5.404B,8.033B,1.733B,4.609B,,47.40B,0.00,464.00M,6.044B,9.903B,,16.41B,-8.613B,7.798B,21.77B,4.079B,25.85B,,,,961.00M,6.686B,41.30B,88.70B,,11.79B,,11.79B,13.91B,25.69B,446.00M,,2.74B,3.186B,,3.186B,5.025B,5.025B,5.356B,39.26B,4.997B,,4.997B,,,,,,5.916B,10.91B,50.17B,,26.00M,21.56B,16.38B,173.00M,386.00M,559.00M,38.53B,,,
2007-07,,12.45B,40.00M,12.49B,11.84B,2.476B,,14.32B,2.738B,5.268B,8.006B,,,10.54B,45.36B,,,,,,15.64B,-8.161B,7.479B,20.36B,3.945B,24.31B,,,,,7.992B,39.78B,85.14B,,11.67B,,11.67B,12.35B,24.02B,3.667B,,,3.667B,,3.667B,4.983B,4.983B,4.635B,37.30B,4.945B,,4.945B,,,,,,5.954B,10.90B,48.20B,,26.00M,20.51B,16.33B,,,79.00M,36.94B,,,
2007-04,,12.24B,74.00M,12.31B,11.58B,2.532B,,14.11B,2.093B,5.185B,7.278B,,,10.18B,43.87B,,,,,,15.50B,-8.161B,7.339B,20.32B,4.127B,24.45B,,,,,7.751B,39.54B,83.41B,,11.50B,,11.50B,11.84B,23.35B,4.36B,,,4.36B,,4.36B,4.90B,4.90B,4.303B,36.91B,3.977B,,3.977B,,,,,,6.037B,10.01B,46.93B,,26.00M,20.63B,15.86B,97.00M,-123.00M,-26.00M,36.49B,,,
2007-01,,10.06B,306.00M,10.36B,10.40B,,2.511B,12.91B,2.671B,5.709B,8.38B,,,10.86B,42.52B,,,,,,15.21B,-8.161B,7.045B,20.07B,4.284B,24.36B,,,,,7.392B,38.80B,81.31B,,11.36B,,11.36B,11.80B,23.16B,3.337B,,,3.337B,,3.337B,4.75B,4.75B,3.793B,35.04B,2.438B,,2.438B,,,,,,5.789B,8.227B,43.27B,,27.00M,20.60B,17.57B,69.00M,-226.00M,-157.00M,38.04B,,,
2006-10,,16.40B,22.00M,16.42B,10.87B,,7.682B,18.56B,2.326B,5.424B,7.75B,1.393B,4.144B,,48.26B,0.00,534.00M,5.771B,8.719B,,15.02B,-8.161B,6.863B,16.85B,3.352B,20.20B,,,,1.475B,5.174B,33.72B,81.98B,,12.10B,,12.10B,11.68B,23.78B,434.00M,,2.271B,2.705B,,2.705B,4.309B,4.309B,5.053B,35.85B,2.49B,,2.49B,,,,,,5.497B,7.987B,43.84B,,27.00M,20.73B,17.97B,67.00M,-645.00M,-578.00M,38.14B,,,
2006-07,,15.98B,14.00M,16.00B,12.19B,,,12.19B,2.239B,5.225B,7.464B,,,8.674B,44.32B,,,,,,13.80B,-7.429B,6.369B,16.85B,3.494B,20.34B,,,,,8.154B,34.87B,79.19B,,10.70B,,10.70B,11.10B,21.79B,4.316B,,,4.316B,,4.316B,4.212B,4.212B,4.661B,34.98B,2.451B,,2.451B,,,,,,5.411B,7.862B,42.84B,,27.00M,19.52B,17.83B,,,-1.031B,36.35B,,,
2006-04,,14.03B,12.00M,14.04B,9.783B,,2.54B,12.32B,2.023B,4.745B,6.768B,,,9.073B,42.21B,,,,,,13.78B,-7.429B,6.351B,16.81B,3.621B,20.43B,,,,,8.194B,34.98B,77.18B,,10.08B,,10.08B,11.23B,21.30B,2.609B,,,2.609B,,2.609B,4.101B,4.101B,4.444B,32.46B,2.406B,,2.406B,,,,,,5.266B,7.672B,40.13B,,28.00M,18.79B,19.75B,,,-1.518B,37.05B,,,
2006-01,,11.93B,12.00M,11.95B,8.679B,,2.542B,11.22B,2.006B,4.725B,6.731B,,,9.28B,39.18B,,,,,,13.78B,-7.429B,6.346B,,20.57B,20.57B,,,,,8.316B,35.24B,74.41B,,8.932B,,8.932B,11.09B,20.02B,2.632B,,,2.632B,,2.632B,3.824B,3.824B,4.196B,30.68B,2.416B,,2.416B,,,,,,5.514B,7.93B,38.61B,,28.00M,17.11B,20.39B,,,-1.727B,35.81B,,,
2005-10,,13.91B,18.00M,13.93B,9.903B,,7.461B,17.36B,1.937B,4.94B,6.877B,1.552B,3.612B,,43.33B,0.00,629.00M,5.63B,7.621B,,13.88B,-7.429B,6.451B,16.44B,3.589B,20.03B,,,,2.263B,5.239B,33.98B,77.32B,,10.22B,,10.22B,10.88B,21.10B,441.00M,,1.39B,1.831B,,1.831B,3.815B,3.815B,4.71B,31.46B,3.392B,,3.392B,,,,,,5.289B,8.681B,40.14B,,28.00M,16.68B,20.49B,,,-21.00M,37.18B,,,
2005-07,,14.44B,99.00M,14.54B,8.764B,,2.578B,11.34B,1.833B,4.811B,6.644B,,,9.172B,41.70B,,,,,,13.62B,-7.187B,6.43B,,19.85B,19.85B,,,,,7.431B,33.71B,75.42B,,9.07B,,9.07B,9.538B,18.61B,2.375B,,,2.375B,,2.375B,3.615B,3.615B,4.577B,29.18B,3.397B,,3.397B,,,,,,5.458B,8.855B,38.03B,,29.00M,16.41B,21.12B,,,-166.00M,37.39B,,,
2005-04,,14.36B,121.00M,14.48B,9.266B,,2.72B,11.99B,1.70B,4.764B,6.464B,,,9.543B,42.48B,,,,,,13.86B,-7.187B,6.669B,,19.90B,19.90B,,,,,7.306B,33.87B,76.35B,,8.583B,,8.583B,12.19B,20.78B,2.754B,,,2.754B,,2.754B,3.524B,3.524B,1.361B,28.42B,4.397B,,4.397B,,,,,,5.363B,9.76B,38.18B,,29.00M,16.95B,21.37B,,,-175.00M,38.17B,,,
2005-01,,13.30B,298.00M,13.60B,8.665B,,2.81B,11.48B,1.884B,5.236B,7.12B,,,9.52B,41.72B,,,,,,13.88B,-7.187B,6.69B,,19.79B,19.79B,,,,,6.949B,33.43B,75.14B,,8.234B,,8.234B,10.26B,18.50B,2.803B,,,2.803B,,2.803B,3.15B,3.15B,3.123B,27.57B,4.408B,,4.408B,,,,,,5.436B,9.844B,37.42B,,29.00M,16.01B,21.85B,30.00M,-193.00M,-163.00M,37.73B,,,
2004-10,,12.66B,311.00M,12.97B,10.23B,,7.784B,18.01B,1.749B,5.322B,7.071B,1.102B,3.744B,,42.90B,0.00,657.00M,5.752B,7.427B,,13.84B,-7.187B,6.649B,,19.93B,19.93B,,,,,6.657B,33.24B,76.14B,,9.377B,,9.377B,9.825B,19.20B,2.511B,,,2.511B,,2.511B,2.958B,2.958B,3.917B,28.59B,4.623B,,4.623B,,,,,,5.363B,9.986B,38.57B,,29.00M,15.65B,22.13B,,,-243.00M,37.56B,,,
2004-07,,13.98B,311.00M,14.30B,8.465B,,2.923B,11.39B,1.735B,5.01B,6.745B,,,8.283B,40.71B,,,,,,13.51B,-7.262B,6.245B,,19.75B,19.75B,,,,,7.678B,33.67B,74.38B,,8.483B,,8.483B,8.859B,17.34B,2.212B,,,2.212B,,2.212B,4.236B,4.236B,2.988B,26.78B,4.907B,,4.907B,,,,,,3.985B,8.892B,35.67B,,30.00M,14.57B,24.26B,33.00M,-178.00M,-145.00M,38.71B,,,
2004-04,,14.65B,354.00M,15.01B,8.53B,,3.016B,11.55B,1.774B,4.499B,6.273B,,,7.776B,40.60B,,,,,,13.28B,-6.893B,6.382B,,19.83B,19.83B,,,,,8.109B,34.32B,74.92B,,8.268B,,8.268B,9.081B,17.35B,803.00M,,,803.00M,,803.00M,4.279B,4.279B,3.383B,25.81B,6.453B,,6.453B,,,,,,3.809B,10.26B,36.08B,,30.00M,14.58B,24.40B,13.00M,-169.00M,-156.00M,38.85B,,,
2004-01,,13.58B,364.00M,13.94B,8.321B,,3.094B,11.42B,1.70B,4.787B,6.487B,,,7.701B,39.54B,,,,,,13.09B,-6.75B,6.339B,,19.31B,19.31B,,,,,8.112B,33.76B,73.31B,,6.97B,,6.97B,495.00M,7.465B,837.00M,,,837.00M,,837.00M,3.956B,3.956B,12.45B,24.71B,6.544B,,6.544B,,,,,,3.786B,10.33B,35.04B,,31.00M,13.71B,24.68B,,,-150.00M,38.27B,,,
2003-10,,14.19B,403.00M,14.59B,8.921B,,7.232B,16.15B,1.412B,4.653B,6.065B,,2.938B,1.207B,40.95B,0.00,810.00M,4.959B,7.53B,,13.30B,-6.817B,6.482B,,19.25B,19.25B,,,,,8.03B,33.76B,74.72B,,9.285B,,9.285B,9.254B,18.54B,1.08B,,,1.08B,,1.08B,3.665B,3.665B,3.354B,26.64B,6.494B,,6.494B,,,,,,3.838B,10.33B,36.97B,,30.00M,13.33B,24.59B,9.00M,-212.00M,-203.00M,37.75B,,,
2003-07,,12.91B,252.00M,13.16B,7.629B,,3.225B,10.85B,1.821B,4.321B,6.142B,,,7.089B,37.25B,,,,,,13.43B,-6.866B,6.563B,,19.25B,19.25B,,,,,8.48B,34.29B,71.54B,,7.557B,,7.557B,8.589B,16.15B,1.278B,,,1.278B,,1.278B,3.684B,3.684B,2.989B,24.10B,6.508B,,6.508B,,,,,,4.068B,10.58B,34.67B,,30.00M,12.67B,24.52B,,,-354.00M,36.87B,,,
2003-04,,13.48B,254.00M,13.73B,7.90B,,3.378B,11.28B,1.728B,4.015B,5.743B,,,7.688B,38.44B,,,,,,13.53B,-6.84B,6.692B,,19.46B,19.46B,,,,,8.245B,34.40B,72.84B,,7.052B,,7.052B,,7.052B,1.745B,,,1.745B,,1.745B,3.61B,3.61B,12.77B,25.18B,6.726B,,6.726B,,,,,,4.042B,10.77B,35.95B,,30.00M,12.86B,24.47B,,,-474.00M,36.89B,,,
2003-01,,12.64B,223.00M,12.86B,7.866B,,3.565B,11.43B,1.987B,4.104B,6.091B,,,7.277B,37.66B,,,,,,13.30B,-6.435B,6.865B,,19.87B,19.87B,,,,,7.692B,34.43B,72.09B,,6.334B,,6.334B,9.12B,15.45B,3.033B,,,3.033B,,3.033B,3.45B,3.45B,3.26B,25.20B,6.187B,,6.187B,,,,,,4.24B,10.43B,35.62B,,31.00M,12.20B,24.71B,,,-474.00M,36.47B,,,
2002-10,,11.19B,237.00M,11.43B,8.456B,,3.453B,11.91B,1.667B,4.13B,5.797B,,,6.94B,36.08B,0.00,772.00M,4.787B,6.977B,,12.54B,-5.612B,6.924B,,19.95B,19.95B,,,,,7.76B,34.64B,70.71B,,7.012B,,7.012B,8.704B,15.72B,1.793B,,,1.793B,,1.793B,3.26B,3.26B,3.541B,24.31B,6.035B,,6.035B,,,,,,4.103B,10.14B,34.45B,,30.00M,11.97B,24.66B,,,-401.00M,36.26B,,,
2002-07,,11.09B,137.00M,11.23B,8.171B,,3.272B,11.44B,1.601B,3.967B,5.568B,,,8.118B,36.36B,,,,,,12.79B,-5.682B,7.109B,,20.26B,20.26B,,,,,7.183B,34.55B,70.91B,,6.699B,,6.699B,8.697B,15.40B,2.003B,,,2.003B,,2.003B,3.322B,3.322B,4.191B,24.91B,6.388B,,6.388B,,,,,,3.271B,9.659B,34.57B,,31.00M,11.58B,24.77B,,,-41.00M,36.34B,,,
2002-04,,8.741B,147.00M,8.888B,3.936B,,2.216B,6.152B,1.057B,2.96B,4.017B,,,4.798B,23.86B,,,,,,9.844B,-5.539B,4.305B,,,,,,,,6.12B,10.42B,34.28B,,3.584B,,3.584B,3.334B,6.918B,1.618B,,,1.618B,,1.618B,1.943B,1.943B,3.353B,13.83B,4.442B,,4.442B,,,,,,1.045B,5.487B,19.32B,,20.00M,14.10B,845.00M,,,-5.00M,14.96B,,,
2002-01,,6.983B,158.00M,7.141B,4.134B,,2.231B,6.365B,1.213B,3.245B,4.458B,,,5.272B,23.24B,,,,,,9.893B,-5.505B,4.388B,,,,,,,,5.964B,10.35B,33.59B,,3.602B,,3.602B,3.555B,7.157B,1.462B,,,1.462B,,1.462B,1.873B,1.873B,3.389B,13.88B,4.528B,,4.528B,,,,,,967.00M,5.495B,19.38B,,19.00M,13.85B,204.00M,,,139.00M,14.21B,,,
2001-10,,4.197B,139.00M,4.336B,4.488B,,2.183B,6.671B,1.499B,3.705B,5.204B,,,5.094B,21.30B,0.00,323.00M,3.732B,5.753B,,9.808B,-5.411B,4.397B,,756.00M,756.00M,,,,,6.126B,11.28B,32.58B,,3.791B,,3.791B,3.289B,7.08B,1.722B,,,1.722B,,1.722B,1.867B,1.867B,3.295B,13.96B,3.729B,,3.729B,,,,,,938.00M,4.667B,18.63B,,19.00M,13.69B,200.00M,,,41.00M,13.95B,,,
2001-07,,2.727B,513.00M,3.24B,4.90B,,2.153B,7.053B,3.953B,1.536B,5.489B,,,5.18B,20.96B,,,,,,9.953B,-5.34B,4.613B,,,,,,,,6.799B,11.41B,32.37B,,3.238B,,3.238B,3.312B,6.55B,,,,2.012B,,2.012B,1.879B,1.879B,3.509B,13.95B,3.511B,,3.511B,,,,,,1.044B,4.555B,18.50B,,19.00M,13.79B,18.00M,,,40.00M,13.87B,,,
2001-04,,3.606B,563.00M,4.169B,5.686B,,2.196B,7.882B,1.591B,4.113B,5.704B,,,4.989B,22.74B,,,,,,9.837B,-5.265B,4.572B,,,,,,,,6.269B,10.84B,33.58B,,3.888B,,3.888B,3.63B,7.518B,3.221B,,,3.221B,,3.221B,1.988B,1.988B,2.939B,15.67B,2.843B,,2.843B,,,,,,979.00M,3.822B,19.49B,,19.00M,13.99B,,,,85.00M,14.10B,,,
2001-01,,2.297B,555.00M,2.852B,6.001B,,2.192B,8.193B,1.643B,4.452B,6.095B,,,5.499B,22.64B,,,,,,9.654B,-5.091B,4.563B,,,,,,,,6.177B,10.74B,33.38B,,4.094B,,4.094B,3.708B,7.802B,2.321B,,,2.321B,,2.321B,1.902B,1.902B,3.20B,15.22B,3.037B,,3.037B,,,,,,981.00M,4.018B,19.24B,,19.00M,14.10B,,,,17.00M,14.14B,,,
2000-10,,3.415B,592.00M,4.007B,6.394B,,2.174B,8.568B,1.448B,4.251B,5.699B,,,4.97B,23.24B,0.00,346.00M,3.644B,5.515B,,9.505B,-5.005B,4.50B,,,,,,,,6.265B,10.76B,34.01B,,5.049B,,5.049B,,5.049B,1.555B,,,1.555B,,1.555B,1.759B,1.759B,6.834B,15.20B,3.402B,,3.402B,,,,,,1.201B,4.603B,19.80B,,19.00M,14.10B,,,,93.00M,14.21B,,,
2000-07,,4.842B,210.00M,5.052B,5.64B,,2.121B,7.761B,1.623B,3.94B,5.563B,,,3.537B,21.91B,,,,,,9.302B,-4.904B,4.398B,,,,,,,,6.146B,10.54B,32.46B,,4.404B,,4.404B,,4.404B,1.625B,,,1.625B,,1.625B,1.737B,1.737B,5.84B,13.61B,3.39B,,3.39B,,,,,,850.00M,4.24B,17.85B,,10.00M,14.14B,415.00M,,,51.00M,14.61B,,,
2000-04,,3.678B,225.00M,3.903B,5.509B,,1.996B,7.505B,1.342B,3.643B,4.985B,,,3.609B,20.00B,,,,,,9.157B,-4.81B,4.347B,,,,,,,,9.759B,14.11B,34.11B,,3.873B,,3.873B,,3.873B,647.00M,,,647.00M,,647.00M,1.534B,1.534B,5.976B,12.03B,1.855B,,1.855B,,,,,,774.00M,2.629B,14.66B,,10.00M,18.53B,786.00M,,,124.00M,19.45B,,,
2000-01,,2.985B,255.00M,3.24B,5.435B,,1.839B,7.274B,1.439B,3.661B,5.10B,,,3.717B,19.33B,,,,,,9.05B,-4.714B,4.336B,,,,,,,,10.24B,14.58B,33.91B,,3.85B,,3.85B,,3.85B,515.00M,,,515.00M,,515.00M,1.534B,1.534B,6.391B,12.29B,1.535B,,1.535B,,,,,,780.00M,2.315B,14.60B,,10.00M,18.27B,881.00M,,,143.00M,19.31B,,,
1999-10,,5.411B,179.00M,5.59B,5.958B,,1.889B,7.847B,1.282B,3.581B,4.863B,,,3.342B,21.64B,0.00,351.00M,3.605B,4.964B,,8.92B,-4.587B,4.333B,,,,,,,,9.322B,13.66B,35.30B,,3.517B,,3.517B,,3.517B,3.105B,,,3.105B,,3.105B,1.437B,1.437B,6.262B,14.32B,1.764B,,1.764B,,,,,,917.00M,2.681B,17.00B,,10.00M,18.28B,,,,,18.30B,,,
1999-07,,6.052B,54.00M,6.106B,4.88B,,1.886B,6.766B,1.325B,3.715B,5.04B,,,2.773B,20.68B,,,,,,8.973B,-4.476B,4.497B,,,,,,,,8.888B,13.38B,34.07B,,2.986B,,2.986B,,2.986B,2.366B,,,2.366B,,2.366B,1.409B,1.409B,5.588B,12.35B,1.824B,,1.824B,,,,,,888.00M,2.712B,15.06B,,10.00M,18.72B,284.00M,,,,19.01B,,,
1999-04,,4.894B,101.00M,4.995B,5.919B,,1.818B,7.737B,2.124B,4.186B,6.31B,,,3.187B,22.23B,,,,,,12.61B,-6.622B,5.99B,,,,,,,,5.80B,11.79B,34.02B,,3.124B,,3.124B,,3.124B,1.38B,,,1.38B,,1.38B,1.593B,1.593B,6.778B,12.88B,1.73B,,1.73B,,,,,,1.216B,2.946B,15.82B,,10.00M,18.19B,,,,,18.20B,,,
1999-01,,3.694B,4.00M,3.698B,5.79B,,1.78B,7.57B,1.975B,4.327B,6.302B,,,3.37B,20.94B,,,,,,12.52B,-6.383B,6.139B,,,,,,,,5.789B,11.93B,32.87B,,2.835B,,2.835B,,2.835B,1.288B,,,1.288B,,1.288B,1.605B,1.605B,6.731B,12.46B,1.708B,,1.708B,,,,,,1.191B,2.899B,15.36B,,64.00M,17.45B,,,,,17.51B,,,
1998-10,,4.046B,21.00M,4.067B,5.104B,,1.494B,6.598B,1.146B,3.553B,4.699B,,,3.143B,18.51B,,,,,,9.037B,-4.16B,4.877B,,,,,,,,8.324B,13.20B,31.71B,,2.768B,,2.768B,,2.768B,1.245B,,,1.245B,,1.245B,1.248B,1.248B,6.613B,11.87B,2.063B,,2.063B,,,,,,852.00M,2.915B,14.79B,,10.00M,16.91B,,,,,16.92B,,,
1998-07,,5.311B,176.00M,5.487B,8.03B,,,8.03B,2.333B,4.437B,6.77B,,,1.64B,21.93B,,,,,,12.45B,-5.983B,6.471B,,,,,,,,4.897B,11.37B,33.30B,,2.824B,,2.824B,,2.824B,2.093B,,,2.093B,,2.093B,1.374B,1.374B,6.246B,12.54B,2.189B,,2.189B,,,,,,1.253B,3.442B,15.98B,,993.00M,16.32B,,,,,17.32B,,,
1998-04,,4.387B,650.00M,5.037B,8.366B,,,8.366B,2.471B,4.229B,6.70B,,,1.558B,21.66B,,,,,,12.16B,-5.767B,6.396B,,,,,,,,4.73B,11.13B,32.79B,,3.084B,,3.084B,,3.084B,1.154B,,,1.154B,,1.154B,1.325B,1.325B,6.281B,11.84B,2.448B,,2.448B,,,,,,1.276B,3.724B,15.57B,,1.184B,16.04B,,,,,17.22B,,,
1998-01,,2.733B,2.177B,4.91B,8.401B,,,8.401B,2.592B,4.501B,7.093B,,,1.448B,21.85B,,,,,,11.80B,-5.529B,6.275B,,,,,,,,4.58B,10.86B,32.71B,,2.992B,,2.992B,,2.992B,1.959B,,,1.959B,,1.959B,1.273B,1.273B,6.281B,12.50B,2.581B,,2.581B,,,,,,1.237B,3.818B,16.32B,,1.034B,15.35B,,,,,16.38B,,,
1997-10,,3.072B,1.497B,4.569B,6.142B,,1.123B,7.265B,2.627B,4.136B,6.763B,,,2.35B,20.95B,0.00,468.00M,4.672B,6.636B,,11.78B,-5.464B,6.312B,,,,,,,,4.49B,10.80B,31.75B,,3.185B,,3.185B,,3.185B,1.226B,,,1.226B,,1.226B,1.152B,1.152B,5.656B,11.22B,3.158B,,3.158B,,,,,,1.217B,4.375B,15.59B,,1.187B,14.97B,,,,,16.16B,,,
1997-07,,2.68B,115.00M,2.795B,7.217B,,,7.217B,2.485B,3.962B,6.447B,,,1.399B,17.86B,,,,,,11.37B,-5.342B,6.027B,,,,,,,,4.597B,10.62B,28.48B,,2.579B,,2.579B,,2.579B,340.00M,,,340.00M,,340.00M,1.135B,1.135B,5.635B,9.689B,2.495B,,2.495B,,,,,,1.071B,3.566B,13.26B,,1.061B,14.17B,,,,,15.23B,,,
1997-04,,3.099B,149.00M,3.248B,6.875B,,,6.875B,2.382B,3.873B,6.255B,,,1.27B,17.65B,,,,,,10.86B,-5.035B,5.826B,,,,,,,,4.371B,10.20B,27.84B,,2.473B,,2.473B,,2.473B,270.00M,,,270.00M,,270.00M,1.118B,1.118B,5.656B,9.517B,2.495B,,2.495B,,,,,,1.048B,3.543B,13.06B,,1.015B,13.77B,,,,,14.78B,,,
1997-01,,2.789B,70.00M,2.859B,6.841B,,,6.841B,2.274B,3.958B,6.232B,,,1.254B,17.19B,,,,,,10.46B,-4.831B,5.634B,,,,,,,,4.336B,9.97B,27.16B,,2.223B,,2.223B,,2.223B,380.00M,,,380.00M,,380.00M,1.10B,1.10B,5.695B,9.398B,2.584B,,2.584B,,,,,,1.062B,3.646B,13.04B,,1.02B,13.09B,,,,,14.11B,,,
1996-10,,2.885B,442.00M,3.327B,7.126B,,,7.126B,2.445B,3.956B,6.401B,,,1.137B,17.99B,0.00,475.00M,4.257B,5.466B,,10.20B,-4.662B,5.536B,,,,,,,,4.172B,9.708B,27.70B,,2.375B,,2.375B,,2.375B,2.125B,,,2.125B,,2.125B,951.00M,951.00M,5.172B,10.62B,2.579B,,2.579B,,,,,,1.059B,3.638B,14.26B,,1.014B,12.42B,,,,,13.44B,,,
1996-07,,1.857B,1.857B,3.714B,6.546B,,,6.546B,2.757B,4.136B,6.893B,,,1.10B,18.25B,,,,,,9.769B,-4.556B,5.213B,,,,,,,,3.858B,9.071B,27.32B,,2.109B,,2.109B,,2.109B,3.303B,,,3.303B,,3.303B,982.00M,982.00M,5.023B,11.42B,1.971B,,1.971B,,,,,,1.047B,3.018B,14.44B,,1.105B,11.78B,,,,,12.89B,,,
1996-04,,1.901B,1.387B,3.288B,7.025B,,,7.025B,2.744B,3.991B,6.735B,,,1.056B,18.10B,,,,,,9.405B,-4.388B,5.017B,,,,,,,,3.797B,8.814B,26.92B,,2.181B,,2.181B,,2.181B,3.50B,,,3.50B,,3.50B,961.00M,961.00M,5.069B,11.71B,1.193B,,1.193B,,,,,,1.012B,2.205B,13.92B,,888.00M,12.11B,,,,,13.00B,,,
