,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2003-09,5.709M,,5.709M,3.384M,,,,3.384M,,,9.093M,,,,,1.349B,-265.40M,1.084B,17.21M,,17.21M,,,,,1.101B,1.161B,,2003-09,,15.38M,,15.38M,,,,,15.38M,425.30M,,425.30M,,,,,,,425.30M,446.94M,,2003-09,957.14M,99.37M,,714.10M,,2003-09
2003-06,4.719M,,4.719M,3.279M,,,,3.279M,,,7.998M,,,,,1.331B,-260.99M,1.070B,17.21M,,17.21M,,,,,1.088B,1.119B,,2003-06,,14.31M,,14.31M,,,,,14.31M,382.10M,,382.10M,,,,,,,382.10M,402.49M,,2003-06,956.76M,99.37M,,716.62M,,2003-06
2003-03,3.606M,,3.606M,3.343M,,,,3.343M,,,6.949M,,,,,1.314B,-261.54M,1.053B,17.21M,,17.21M,,,,,1.070B,1.094B,,2003-03,,14.58M,,14.58M,,,,,14.58M,354.80M,,354.80M,,,,,,,354.80M,375.18M,,2003-03,956.39M,99.37M,,718.74M,,2003-03
2002-12,8.921M,,8.921M,,,,,,,,8.921M,,,,,1.038B,,1.038B,,,17.21M,,,,,1.055B,1.080B,,2002-12,,,,,,,,,,339.70M,,339.70M,,,,,,,339.70M,357.78M,,2002-12,855.82M,,,722.46M,,2002-12
2002-09,8.391M,,8.391M,3.116M,,,,3.116M,,,11.51M,0.00,460.05M,811.24M,13.16M,1.284B,-247.23M,1.037B,17.21M,,17.21M,,,,,1.054B,1.076B,,2002-09,,13.66M,,13.66M,,,,,13.66M,332.20M,,332.20M,,,,,,,332.20M,350.75M,,2002-09,955.00M,99.37M,,724.91M,,2002-09
2002-06,21.24M,,21.24M,3.284M,,,,3.284M,,,24.53M,,,,,1.229B,-233.74M,995.42M,17.21M,,17.21M,,,,,1.013B,1.080B,,2002-06,,13.87M,,13.87M,,,,,13.87M,385.80M,,385.80M,,,,,,,385.80M,403.79M,,2002-06,905.84M,99.37M,,676.53M,,2002-06
2002-03,3.73M,,3.73M,3.294M,,,,3.294M,,,7.024M,,,,,1.181B,-238.75M,941.95M,17.21M,,17.21M,,,,,959.15M,1.002B,,2002-03,,14.20M,,14.20M,,,,,14.20M,303.60M,,303.60M,,,,,,,303.60M,322.15M,,2002-03,905.60M,99.37M,,679.43M,,2002-03
2001-12,2.467M,,2.467M,,,,,,,,2.467M,,,,,967.67M,,967.67M,,,17.21M,,,,,984.88M,1.004B,,2001-12,,,,,,,,,,315.30M,,315.30M,,,,,,,315.30M,331.92M,,2001-12,795.50M,,,671.79M,,2001-12
2001-09,11.62M,,11.62M,3.606M,,,,3.606M,,,15.23M,,,,,1.093B,-228.59M,864.59M,17.44M,,17.44M,,,,,882.02M,941.50M,,2001-09,,13.62M,,13.62M,,,,,13.62M,327.50M,,327.50M,,,,,,,327.50M,345.32M,,2001-09,816.68M,99.37M,,596.17M,,2001-09
2001-06,1.18M,,1.18M,3.27M,,,,3.27M,,,4.45M,,,,,1.082B,-224.29M,857.56M,17.67M,,17.67M,,,,,875.23M,909.32M,,2001-06,,13.39M,,13.39M,,,,,13.39M,300.20M,,300.20M,,,,,,,300.20M,317.55M,,2001-06,810.24M,99.37M,,591.78M,,2001-06
2001-03,1.992M,,1.992M,3.696M,,,,3.696M,,,5.688M,,,,,1.076B,-218.25M,858.20M,17.90M,,17.90M,,,,,876.10M,912.83M,,2001-03,,14.38M,,14.38M,,,,,14.38M,376.30M,,376.30M,,,,,,,376.30M,394.94M,,2001-03,731.39M,99.37M,,517.89M,,2001-03
2000-12,3.815M,,3.815M,,,,,,,,3.815M,,,,,894.28M,,894.28M,,,18.13M,,,,,912.41M,934.77M,,2000-12,,,,,,,,,,404.00M,,404.00M,,,,,,,404.00M,419.20M,,2000-12,630.93M,,,515.57M,,2000-12
2000-09,5.297M,,5.297M,3.558M,,,,3.558M,,,8.855M,,,,,1.056B,-196.41M,859.30M,18.36M,,18.36M,,,,,877.66M,953.03M,,2000-09,,14.96M,,14.96M,,,,,14.96M,416.30M,,416.30M,,,,,,,416.30M,436.15M,,2000-09,731.17M,99.37M,,516.88M,,2000-09
2000-06,2.449M,,2.449M,3.048M,,,,3.048M,,,5.497M,,,,,1.081B,-191.83M,889.63M,18.59M,,18.59M,,,,,908.22M,928.39M,,2000-06,,172.01M,,172.01M,,,,,172.01M,392.30M,,392.30M,,,,,,,392.30M,405.54M,,2000-06,732.45M,99.37M,,522.86M,,2000-06
2000-03,2.103M,,2.103M,3.18M,,,,3.18M,,,5.283M,,,,,1.070B,-201.52M,868.60M,18.82M,,18.82M,,,,,887.43M,911.72M,,2000-03,,11.06M,,11.06M,,,,,11.06M,366.90M,,366.90M,,,,,,,366.90M,381.80M,,2000-03,735.40M,99.40M,,529.92M,,2000-03
1999-12,0.773M,,0.773M,,,,,,,,0.773M,,,,,,,,,,,,,,,,905.40M,,1999-12,,,,,,,,,,349.20M,,349.20M,,,,,,,349.20M,370.57M,,1999-12,,,,534.83M,,1999-12
1999-09,,,,,,,,,,,,,,,,851.40M,,851.40M,,,19.30M,,,,,870.70M,890.30M,,1999-09,,,,,,,,,,332.50M,,332.50M,,,,,,,332.50M,351.40M,,1999-09,,,,538.90M,,1999-09
1999-06,,,,,,,,,,,,,,,,795.60M,,795.60M,,,19.50M,,,,,815.10M,849.50M,,1999-06,,,,,,,,,,323.30M,,323.30M,,,,,,,323.30M,340.60M,,1999-06,,,,508.90M,,1999-06
1999-03,,,,,,,,,,,,,,,,753.40M,,753.40M,,,19.70M,,,,,773.10M,796.50M,,1999-03,,,,,,,,,,333.90M,,333.90M,,,,,,,333.90M,350.00M,,1999-03,,,,446.50M,,1999-03
1998-12,2.533M,,2.533M,,,,,,,,2.533M,,,,,,,,,,,,,,,,759.23M,,1998-12,,,,,,,,,,294.80M,,294.80M,,,,,,,294.80M,309.02M,,1998-12,,,,450.21M,,1998-12
1998-09,,,,,,,,,,,,,,,,670.40M,,670.40M,,20.20M,20.20M,,,,,690.60M,697.60M,,1998-09,,,,,,,,,,227.00M,,227.00M,,,,,,,227.00M,244.40M,,1998-09,,,,453.20M,,1998-09
1998-06,,,,,,,,,,,,,,,,637.50M,,637.50M,,20.40M,20.40M,,,,,657.90M,666.00M,,1998-06,,,,,,,,,,197.90M,,197.90M,,,,,,,197.90M,209.50M,,1998-06,,,,456.50M,,1998-06
