,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2012-03,627.00M,139.00M,766.00M,1.161B,,1.161B,251.00M,178.00M,112.00M,2.468B,,,,,,34.00B,-8.861B,25.14B,,,1.178B,399.00M,26.72B,29.19B,,1.205B,134.00M,,1.339B,168.00M,1.507B,,,502.00M,,502.00M,192.00M,2.593B,,8.623B,,8.623B,7.799B,7.799B,337.00M,13.00M,1.33B,18.09B,20.68B,,1.039B,8.313B,5.00M,-866.00M,8.491B,,AOR,Restated
2011-12,783.00M,523.00M,1.306B,1.00B,,1.00B,240.00M,182.00M,78.00M,2.806B,,1.832B,8.621B,22.52B,728.00M,33.70B,-8.73B,24.97B,64.00M,64.00M,1.171B,329.00M,26.54B,29.34B,,1.018B,129.00M,541.00M,1.688B,,1.688B,167.00M,,507.00M,,507.00M,196.00M,2.558B,352.00M,8.734B,,8.734B,7.601B,7.601B,,13.00M,1.631B,18.32B,20.88B,,1.049B,8.275B,6.00M,-875.00M,8.455B,,AOR,Restated
2011-09,580.00M,61.00M,641.00M,1.148B,,1.148B,236.00M,164.00M,112.00M,2.301B,33.14B,,,,,33.14B,-8.723B,24.42B,,,1.168B,361.00M,25.95B,28.25B,,1.17B,129.00M,,1.299B,,1.299B,,,494.00M,,494.00M,301.00M,2.568B,,8.16B,,8.16B,7.535B,7.535B,434.00M,12.00M,1.283B,17.41B,19.98B,,1.05B,7.944B,,-738.00M,8.256B,,AOR,Restated
2011-06,1.252B,43.00M,1.295B,1.112B,,1.112B,251.00M,186.00M,123.00M,2.967B,,,,,,32.78B,-8.575B,24.20B,,,1.158B,378.00M,25.74B,28.70B,,1.076B,137.00M,,1.213B,180.00M,1.393B,,,494.00M,,494.00M,168.00M,2.485B,,8.186B,,8.186B,7.34B,7.34B,468.00M,11.00M,1.285B,17.28B,19.76B,,1.095B,8.582B,0.00,-747.00M,8.93B,,AOR,Restated
2011-03,534.00M,56.00M,590.00M,1.068B,,1.068B,237.00M,174.00M,102.00M,2.171B,,,,,,32.36B,-8.445B,23.92B,,,1.14B,351.00M,25.41B,27.58B,,1.024B,93.00M,,1.117B,174.00M,1.291B,,,503.00M,,503.00M,92.00M,2.222B,,7.637B,,7.637B,7.182B,7.182B,491.00M,14.00M,1.289B,16.60B,18.82B,,368.00M,9.134B,0.00,-760.00M,8.742B,,AOR,Restated
2010-12,1.292B,54.00M,1.346B,993.00M,,993.00M,218.00M,192.00M,106.00M,2.855B,20.91B,1.875B,,8.755B,529.00M,32.06B,-8.266B,23.80B,70.00M,70.00M,1.134B,283.00M,25.29B,28.14B,,1.046B,85.00M,520.00M,1.651B,,1.651B,,,613.00M,,613.00M,273.00M,2.537B,,8.051B,,8.051B,7.053B,7.053B,,14.00M,1.80B,16.90B,19.44B,,370.00M,9.087B,0.00,-771.00M,8.686B,,AOR,Restated
2010-09,636.00M,40.00M,676.00M,1.001B,,1.001B,225.00M,206.00M,97.00M,2.205B,31.46B,,,,,31.46B,-8.123B,23.33B,,,1.126B,364.00M,24.82B,27.03B,,981.00M,179.00M,473.00M,1.633B,,1.633B,,,605.00M,,605.00M,302.00M,2.54B,,7.297B,,7.297B,6.732B,6.732B,534.00M,13.00M,1.288B,15.85B,18.39B,,374.00M,9.022B,0.00,-771.00M,8.625B,,AOR,Restated
2010-06,633.00M,56.00M,689.00M,938.00M,,938.00M,223.00M,185.00M,108.00M,2.143B,31.19B,,,,,31.19B,-8.018B,23.17B,,,1.109B,319.00M,24.60B,26.74B,,922.00M,125.00M,390.00M,1.437B,,1.437B,,,614.00M,,614.00M,303.00M,2.354B,,7.32B,,7.32B,6.65B,6.65B,,16.00M,1.843B,15.81B,18.17B,,380.00M,8.968B,0.00,-787.00M,8.561B,,AOR,Restated
2010-03,993.00M,57.00M,1.05B,971.00M,,971.00M,218.00M,184.00M,78.00M,2.501B,31.28B,,,,,31.28B,-7.986B,23.29B,,,1.096B,306.00M,24.69B,27.19B,,931.00M,162.00M,376.00M,1.469B,,1.469B,,,617.00M,,617.00M,302.00M,2.388B,,7.372B,,7.372B,6.668B,6.668B,,15.00M,1.88B,15.92B,18.31B,,389.00M,9.279B,0.00,-798.00M,8.87B,,AOR,Restated
2009-12,1.029B,61.00M,1.09B,995.00M,,995.00M,203.00M,158.00M,124.00M,2.57B,20.01B,1.937B,,8.621B,336.00M,30.91B,-7.843B,23.06B,64.00M,64.00M,1.088B,101.00M,24.32B,26.89B,,967.00M,112.00M,383.00M,1.462B,,1.462B,,,113.00M,,113.00M,290.00M,1.865B,,7.895B,,7.895B,6.528B,6.528B,,14.00M,1.831B,16.25B,18.12B,,393.00M,9.09B,80.00M,-809.00M,8.754B,,AOR,Restated
2009-09,1.24B,81.00M,1.321B,928.00M,,928.00M,239.00M,171.00M,111.00M,2.77B,30.80B,,,,,30.80B,-7.765B,23.04B,,,1.037B,173.00M,24.25B,27.02B,,963.00M,121.00M,402.00M,1.486B,,1.486B,,,316.00M,,316.00M,274.00M,2.076B,,7.906B,,7.906B,6.551B,6.551B,,13.00M,1.798B,16.26B,18.33B,,393.00M,8.963B,48.00M,-728.00M,8.676B,,AOR,Restated
2009-06,1.108B,70.00M,1.178B,885.00M,,885.00M,254.00M,159.00M,160.00M,2.636B,30.58B,,,,,30.58B,-7.697B,22.89B,,,1.027B,185.00M,24.10B,26.74B,,904.00M,110.00M,349.00M,1.363B,,1.363B,,,318.00M,,318.00M,280.00M,1.961B,,7.933B,,7.933B,6.417B,6.417B,,13.00M,1.968B,16.32B,18.28B,,392.00M,8.757B,29.00M,-735.00M,8.443B,,AOR,Restated
2009-03,1.056B,73.00M,1.129B,958.00M,,958.00M,250.00M,151.00M,112.00M,2.60B,30.40B,,,,,30.40B,-7.637B,22.76B,,,1.016B,189.00M,23.97B,26.57B,,934.00M,116.00M,369.00M,1.419B,,1.419B,,,314.00M,,314.00M,337.00M,2.07B,,7.995B,,7.995B,6.266B,6.266B,,21.00M,2.031B,16.29B,18.36B,,392.00M,8.534B,,-742.00M,8.184B,,AOR,Restated
