,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-06,165.00M,,,,487.00M,209.00M,209.00M,209.00M,-59.00M,-552.00M,55.00M,,-68.00M,-4.00M,44.00M,-257.00M,-230.00M,,20.00M,,-214.00M,,-214.00M,998.00M,891.00M,-995.00M,680.00M,,-1.10B,-1.00M,-1.101B,14.00M,0.00,14.00M,,-22.00M,,0.00,-1.109B,,710.00M,-409.00M,301.00M,,14.00M,1.00M,-1.101B,0.00,,AOR,Restated
2005-03,579.00M,,,,-487.00M,209.00M,209.00M,209.00M,8.00M,,-14.00M,,84.00M,-41.00M,-60.00M,31.00M,0.00,,309.00M,,-167.00M,,-167.00M,-998.00M,-788.00M,1.996B,43.00M,,-86.00M,-97.00M,-183.00M,38.00M,,38.00M,,-22.00M,,3.00M,-164.00M,,522.00M,188.00M,710.00M,,38.00M,26.00M,-112.00M,,,,Restated
2004-12,67.00M,,,,14.00M,219.00M,219.00M,219.00M,125.00M,0.00,-5.00M,,-1.00M,25.00M,137.00M,,156.00M,,581.00M,,-296.00M,0.00,-296.00M,0.00,102.00M,6.00M,-188.00M,,-60.00M,-2.00M,-62.00M,,,,,-22.00M,,22.00M,-62.00M,,191.00M,331.00M,522.00M,,,-11.00M,-49.00M,,,,Restated
2004-09,126.00M,,,,-80.00M,179.00M,179.00M,179.00M,48.00M,-3.00M,49.00M,,-32.00M,22.00M,37.00M,,76.00M,,346.00M,,-305.00M,55.00M,-250.00M,55.00M,-274.00M,13.00M,-456.00M,,344.00M,-601.00M,-257.00M,,,,,-21.00M,,15.00M,-263.00M,,564.00M,-373.00M,191.00M,,,350.00M,-6.00M,,,AOR,Restated
2004-06,134.00M,,,,-30.00M,165.00M,165.00M,165.00M,51.00M,-15.00M,-51.00M,,4.00M,33.00M,24.00M,,10.00M,,315.00M,,-220.00M,,-220.00M,,57.00M,-12.00M,-175.00M,,-335.00M,550.00M,215.00M,,,,,-21.00M,,0.00,194.00M,,447.00M,334.00M,564.00M,,,12.00M,-347.00M,,,AOR,Restated
2004-03,83.00M,,,,60.00M,167.00M,167.00M,167.00M,16.00M,-53.00M,4.00M,,27.00M,-51.00M,-49.00M,,-69.00M,,204.00M,,-264.00M,,-264.00M,,-132.00M,-25.00M,-421.00M,,18.00M,152.00M,170.00M,,,,,-22.00M,,3.00M,151.00M,,296.00M,-66.00M,447.00M,,,50.00M,-32.00M,,,AOR,
2003-12,123.00M,,,,,161.00M,161.00M,161.00M,97.00M,-300.00M,67.00M,,31.00M,33.00M,-9.00M,0.00,122.00M,,400.00M,,-516.00M,,-302.00M,,281.00M,-4.00M,-25.00M,,278.00M,-727.00M,-449.00M,,,,,-22.00M,,7.00M,-464.00M,,736.00M,-89.00M,368.00M,,,486.00M,-208.00M,,,AOR,
2003-09,-103.00M,,,,,160.00M,160.00M,160.00M,-76.00M,341.00M,17.00M,,33.00M,49.00M,18.00M,0.00,117.00M,,439.00M,,-278.00M,,-278.00M,-214.00M,-193.00M,188.00M,-497.00M,,276.00M,25.00M,301.00M,,,,,-21.00M,,-11.00M,269.00M,,311.00M,211.00M,736.00M,,,350.00M,-74.00M,,,AOR,Restated
2003-06,127.00M,,,,,162.00M,162.00M,162.00M,80.00M,-6.00M,8.00M,,-66.00M,-11.00M,7.00M,-380.00M,-442.00M,,-79.00M,,-329.00M,,-329.00M,0.00,-19.00M,32.00M,-316.00M,,-107.00M,549.00M,442.00M,,,,,-22.00M,,-10.00M,410.00M,,294.00M,15.00M,311.00M,,,16.00M,-123.00M,,,AOR,Restated
2003-03,99.00M,,,,,160.00M,160.00M,160.00M,18.00M,-35.00M,-73.00M,,51.00M,-31.00M,-145.00M,,-198.00M,,44.00M,,-150.00M,,-150.00M,214.00M,-1.00M,-32.00M,31.00M,,-28.00M,12.00M,-16.00M,,,,,-21.00M,,-6.00M,-43.00M,,127.00M,32.00M,294.00M,,,67.00M,-95.00M,,,AOR,Restated
2002-12,137.00M,,,,-91.00M,1.119B,1.119B,1.119B,70.00M,-947.00M,163.00M,,-17.00M,34.00M,-34.00M,,146.00M,,434.00M,,-337.00M,,-337.00M,,173.00M,13.00M,-151.00M,,-388.00M,140.00M,-248.00M,,,,,-21.00M,,-7.00M,-276.00M,,120.00M,7.00M,264.00M,,,-342.00M,-46.00M,,,AOR,
2002-09,127.00M,,,,-4.00M,-782.00M,-782.00M,-782.00M,52.00M,947.00M,-150.00M,,-12.00M,23.00M,-19.00M,,-158.00M,,182.00M,,-312.00M,,-312.00M,,175.00M,-58.00M,-195.00M,,494.00M,-576.00M,-82.00M,,,,,-22.00M,,-14.00M,-118.00M,,731.00M,-131.00M,120.00M,,,616.00M,-122.00M,,,AOR,
2002-06,135.00M,,,,-18.00M,464.00M,464.00M,464.00M,30.00M,-307.00M,-17.00M,,-28.00M,9.00M,83.00M,,47.00M,,351.00M,,-269.00M,,-269.00M,,160.00M,11.00M,-98.00M,,-700.00M,576.00M,-124.00M,,,,,-22.00M,,4.00M,-142.00M,,140.00M,111.00M,731.00M,,,24.00M,-724.00M,,,AOR,Restated
2002-03,25.00M,,,,48.00M,-152.00M,-152.00M,-152.00M,20.00M,307.00M,34.00M,,-26.00M,-43.00M,-53.00M,,-88.00M,,160.00M,,-162.00M,,-162.00M,,-158.00M,-11.00M,-331.00M,,183.00M,,183.00M,,,,,-21.00M,,12.00M,174.00M,,137.00M,3.00M,140.00M,,,450.00M,-267.00M,,,AOR,
2001-12,65.00M,,,,58.00M,-1.082B,-1.082B,-1.082B,121.00M,,-8.00M,,23.00M,-6.00M,-18.00M,,-9.00M,,388.00M,,-302.00M,,-302.00M,,-16.00M,-36.00M,-354.00M,,-133.00M,127.00M,-6.00M,,,,,-22.00M,,-1.00M,-29.00M,,592.00M,5.00M,137.00M,,,462.00M,-595.00M,,,AOR,Restated
2001-09,100.00M,,,,-61.00M,157.00M,157.00M,157.00M,44.00M,,48.00M,,-3.00M,4.00M,-115.00M,,-66.00M,,174.00M,,-208.00M,,-208.00M,,-46.00M,60.00M,-194.00M,,-77.00M,101.00M,24.00M,,,,,-21.00M,,7.00M,10.00M,,556.00M,-10.00M,592.00M,,,0.00,-77.00M,,,AOR,
2001-06,108.00M,,,,-6.00M,155.00M,155.00M,155.00M,28.00M,,-43.00M,,-49.00M,3.00M,69.00M,,-20.00M,,265.00M,,-237.00M,,-237.00M,,94.00M,-9.00M,-152.00M,,-70.00M,43.00M,-27.00M,,,,,-64.00M,,0.00,-91.00M,,621.00M,22.00M,556.00M,,,0.00,-70.00M,,,AOR,
2001-03,20.00M,,,,-4.00M,157.00M,157.00M,157.00M,4.00M,,10.00M,,-22.00M,-18.00M,-147.00M,,-177.00M,,0.00,,-183.00M,,-183.00M,,-83.00M,1.00M,-265.00M,,452.00M,-271.00M,181.00M,,,,,-64.00M,,8.00M,125.00M,,261.00M,-140.00M,621.00M,,,500.00M,-48.00M,,,AOR,
2000-12,54.00M,,,,-48.00M,-1.045B,-1.045B,-1.045B,82.00M,1.20B,52.00M,,-56.00M,2.00M,-80.00M,,-82.00M,,161.00M,,-270.00M,,380.00M,9.00M,-76.00M,-616.00M,-303.00M,,-239.00M,247.00M,8.00M,,,,,-65.00M,,9.00M,-90.00M,,869.00M,-232.00M,260.00M,,,0.00,-239.00M,,,AOR,
2000-09,427.00M,,,,-382.00M,727.00M,727.00M,727.00M,39.00M,-575.00M,231.00M,,103.00M,-15.00M,-2.00M,,317.00M,,553.00M,,-221.00M,,-221.00M,-9.00M,-108.00M,640.00M,302.00M,,-159.00M,-247.00M,-406.00M,,,,,-66.00M,,-19.00M,-491.00M,,128.00M,364.00M,869.00M,,,401.00M,-560.00M,,,AOR,
2000-06,55.00M,,,,21.00M,-144.00M,-144.00M,-144.00M,29.00M,290.00M,62.00M,,-140.00M,-41.00M,-135.00M,,-254.00M,,-3.00M,,-315.00M,,-315.00M,,122.00M,-24.00M,-217.00M,,125.00M,,125.00M,,,,,-65.00M,,-5.00M,55.00M,,293.00M,-165.00M,128.00M,,,187.00M,-62.00M,,,AOR,
2000-03,29.00M,,,,27.00M,-138.00M,-138.00M,-138.00M,2.00M,285.00M,6.00M,,-21.00M,-39.00M,-152.00M,,-206.00M,,-1.00M,,-107.00M,,-107.00M,,-23.00M,11.00M,-119.00M,,-115.00M,,-115.00M,,,,,-66.00M,,-32.00M,-213.00M,,626.00M,-333.00M,293.00M,,,,-115.00M,,,AOR,
1999-12,-25.00M,,,,164.00M,-163.00M,-163.00M,-163.00M,44.00M,301.00M,-160.00M,,233.00M,-12.00M,101.00M,,162.00M,,483.00M,,-670.00M,,81.00M,,-64.00M,90.00M,107.00M,,-148.00M,,-148.00M,,,,,-66.00M,,-49.00M,-263.00M,,299.00M,327.00M,626.00M,,,-107.00M,-41.00M,,,AOR,Restated
1999-09,-113.00M,,,,364.00M,-132.00M,-132.00M,-132.00M,-108.00M,280.00M,-206.00M,,177.00M,53.00M,118.00M,,142.00M,,433.00M,,-285.00M,,-285.00M,,87.00M,-35.00M,-233.00M,,-25.00M,,-25.00M,,,,,-66.00M,,-2.00M,-93.00M,,192.00M,107.00M,299.00M,,,0.00,-25.00M,,,,
1999-06,114.00M,,,,-69.00M,-159.00M,-159.00M,-159.00M,6.00M,661.00M,-180.00M,,13.00M,-20.00M,125.00M,,-62.00M,,491.00M,,-372.00M,,-372.00M,,39.00M,49.00M,-284.00M,,221.00M,,221.00M,,,,,-65.00M,,11.00M,167.00M,,154.00M,38.00M,192.00M,,,249.00M,-28.00M,,,,
1999-03,75.00M,,,,-20.00M,-167.00M,-167.00M,-167.00M,39.00M,,-75.00M,,-122.00M,20.00M,-86.00M,,-263.00M,,-336.00M,,-190.00M,,-190.00M,,32.00M,-14.00M,-172.00M,,297.00M,,297.00M,,,,,-65.00M,,-11.00M,221.00M,,105.00M,49.00M,154.00M,,,329.00M,-32.00M,,,,
1998-12,108.00M,,,,-61.00M,-162.00M,-162.00M,-162.00M,115.00M,324.00M,-11.00M,,126.00M,-27.00M,-14.00M,,74.00M,,398.00M,,-495.00M,-15.00M,-510.00M,,-85.00M,33.00M,-562.00M,,226.00M,,226.00M,,-36.00M,-36.00M,,-65.00M,,12.00M,137.00M,,132.00M,-27.00M,533.00M,,,805.00M,-579.00M,-36.00M,,AOR,Restated
1998-09,187.00M,,,,-220.00M,-156.00M,-156.00M,-156.00M,120.00M,312.00M,46.00M,,39.00M,27.00M,-42.00M,,70.00M,,313.00M,,-329.00M,643.00M,314.00M,,-55.00M,45.00M,304.00M,,-476.00M,,-476.00M,,-67.00M,-67.00M,,-65.00M,,33.00M,-575.00M,,90.00M,42.00M,132.00M,,,-30.00M,-446.00M,-67.00M,,,
1998-06,151.00M,,,,-52.00M,-156.00M,-156.00M,-156.00M,50.00M,312.00M,-11.00M,,-40.00M,-34.00M,1.00M,,-84.00M,,221.00M,,-365.00M,,-365.00M,,87.00M,-87.00M,-365.00M,,248.00M,,248.00M,,,,,-66.00M,,-27.00M,155.00M,,79.00M,11.00M,90.00M,,,265.00M,-17.00M,,,,
1998-03,91.00M,,,,-40.00M,-156.00M,-156.00M,-156.00M,11.00M,312.00M,-5.00M,,-70.00M,-48.00M,-27.00M,,-150.00M,,68.00M,,-290.00M,,-290.00M,,59.00M,-16.00M,-247.00M,,84.00M,,84.00M,,,,,-66.00M,,-11.00M,7.00M,,251.00M,-172.00M,79.00M,,,174.00M,-90.00M,,,,
1997-12,215.00M,,,,-28.00M,-166.00M,-166.00M,-166.00M,70.00M,332.00M,-28.00M,,65.00M,41.00M,38.00M,,116.00M,,539.00M,,-439.00M,15.00M,-424.00M,,-36.00M,38.00M,-422.00M,,40.00M,,40.00M,,,,,-65.00M,,-4.00M,-40.00M,,174.00M,77.00M,251.00M,,,76.00M,-36.00M,,,AOR,
1997-09,206.00M,,,,-51.00M,-160.00M,-160.00M,-160.00M,67.00M,320.00M,-18.00M,,15.00M,-16.00M,35.00M,,16.00M,,398.00M,,-275.00M,13.00M,-262.00M,,93.00M,0.00,-169.00M,,-180.00M,,-180.00M,,,,,-57.00M,,,-237.00M,,182.00M,-8.00M,174.00M,,,0.00,-180.00M,,,,
1997-06,227.00M,,,,-50.00M,-161.00M,-161.00M,-161.00M,36.00M,322.00M,-30.00M,,48.00M,-24.00M,56.00M,,50.00M,,424.00M,,-222.00M,20.00M,-202.00M,,-2.379B,4.00M,-2.577B,,2.157B,,2.157B,,,,,-56.00M,,-3.00M,2.098B,,237.00M,-55.00M,182.00M,,,2.449B,-292.00M,,,,
1997-03,151.00M,,,,-1.00M,-159.00M,-159.00M,-159.00M,17.00M,318.00M,-23.00M,,-89.00M,-3.00M,-14.00M,,-129.00M,,197.00M,,-189.00M,3.00M,-186.00M,,40.00M,-34.00M,-180.00M,,-94.00M,,-94.00M,,,,,-57.00M,,3.00M,-148.00M,,368.00M,-131.00M,237.00M,,,5.00M,-99.00M,,,,
1996-12,253.00M,,,,-26.00M,-159.00M,-159.00M,-159.00M,74.00M,318.00M,45.00M,,116.00M,-42.00M,4.00M,,123.00M,,583.00M,,-347.00M,35.00M,-312.00M,,-2.026B,76.00M,-2.262B,,1.946B,,1.946B,,,,,-56.00M,,-13.00M,1.877B,,170.00M,198.00M,368.00M,,,2.06B,-114.00M,,,AOR,
1996-09,222.00M,,,,-1.00M,-149.00M,-149.00M,-149.00M,55.00M,298.00M,-20.00M,,-23.00M,25.00M,-16.00M,,-34.00M,,391.00M,,-282.00M,8.00M,-274.00M,,31.00M,36.00M,-207.00M,,-119.00M,,-119.00M,,,,,-57.00M,,-8.00M,-184.00M,,170.00M,0.00,170.00M,,,94.00M,-213.00M,,,,
1996-06,234.00M,,,,26.00M,-156.00M,-156.00M,-156.00M,23.00M,312.00M,-72.00M,,49.00M,-10.00M,91.00M,,58.00M,,497.00M,,-256.00M,17.00M,-239.00M,,6.00M,-28.00M,-261.00M,,-229.00M,,-229.00M,,,,,-55.00M,,17.00M,-267.00M,,201.00M,-31.00M,170.00M,,,-190.00M,-39.00M,,,,
1996-03,146.00M,,,,-75.00M,-156.00M,-156.00M,-156.00M,14.00M,312.00M,-20.00M,,-58.00M,-38.00M,-156.00M,,-272.00M,,-31.00M,,-338.00M,24.00M,-314.00M,,45.00M,12.00M,-257.00M,,221.00M,,221.00M,,,,,-55.00M,,3.00M,169.00M,,320.00M,-119.00M,201.00M,,,341.00M,-120.00M,,,,
1995-12,276.00M,,,,-103.00M,-154.00M,-154.00M,-154.00M,31.00M,308.00M,16.00M,,138.00M,2.00M,89.00M,,245.00M,,603.00M,,-337.00M,97.00M,-240.00M,,-65.00M,31.00M,-274.00M,,-249.00M,,-249.00M,,,,,-55.00M,,6.00M,-298.00M,,289.00M,31.00M,320.00M,,,6.00M,-255.00M,,,AOR,
1995-09,202.00M,,,,-13.00M,-149.00M,-149.00M,-149.00M,1.00M,298.00M,-88.00M,,-14.00M,32.00M,113.00M,,43.00M,,382.00M,,-234.00M,,-234.00M,,-41.00M,6.00M,-269.00M,,-108.00M,,-108.00M,,,,,-46.00M,,1.00M,-153.00M,,329.00M,-40.00M,289.00M,,,-39.00M,-69.00M,,,,
1995-06,19.00M,,,,229.00M,-148.00M,-148.00M,-148.00M,-73.00M,296.00M,42.00M,,-26.00M,-21.00M,69.00M,,64.00M,,387.00M,,-350.00M,-12.00M,-362.00M,,12.00M,20.00M,-330.00M,,17.00M,,17.00M,,,,,-47.00M,,2.00M,-28.00M,,300.00M,29.00M,329.00M,,,37.00M,-20.00M,,,,
1995-03,121.00M,,,,-1.00M,-149.00M,-149.00M,-149.00M,15.00M,298.00M,-52.00M,,72.00M,-35.00M,-74.00M,,-89.00M,,195.00M,,-235.00M,12.00M,-223.00M,,12.00M,30.00M,-181.00M,,65.00M,,65.00M,,,,,-46.00M,,2.00M,21.00M,,265.00M,35.00M,300.00M,,,117.00M,-52.00M,,,,
1994-12,239.00M,,,,-42.00M,-145.00M,-145.00M,-145.00M,61.00M,291.00M,2.00M,-10.00M,46.00M,5.00M,,,98.00M,,502.00M,,-358.00M,170.00M,-188.00M,,-12.00M,-215.00M,-415.00M,,-264.00M,,-264.00M,,,,,-46.00M,,-6.00M,-316.00M,,494.00M,-229.00M,265.00M,,,-104.00M,-160.00M,,,AOR,
1994-09,177.00M,,,,-12.00M,-144.00M,-144.00M,-144.00M,46.00M,287.00M,-60.00M,27.00M,117.00M,5.00M,,,89.00M,,443.00M,,-197.00M,,-197.00M,,-43.00M,46.00M,-194.00M,,-35.00M,,-35.00M,,,,,-46.00M,,7.00M,-74.00M,,319.00M,175.00M,494.00M,,,36.00M,-71.00M,,,,
1994-06,162.00M,,,,-33.00M,-145.00M,-145.00M,-145.00M,47.00M,290.00M,31.00M,-3.00M,26.00M,13.00M,,,67.00M,,388.00M,,-177.00M,-7.00M,-184.00M,,-26.00M,37.00M,-173.00M,,-229.00M,,-229.00M,,,,,-45.00M,,12.00M,-262.00M,,366.00M,-47.00M,319.00M,,,-98.00M,-131.00M,,,,
1994-03,74.00M,,,,-16.00M,-143.00M,-143.00M,-143.00M,22.00M,286.00M,-33.00M,-14.00M,-180.00M,-3.00M,,,-230.00M,,-7.00M,,-143.00M,7.00M,-136.00M,,69.00M,-12.00M,-79.00M,,210.00M,,210.00M,,,,,-47.00M,,-9.00M,154.00M,,298.00M,68.00M,366.00M,,,295.00M,-85.00M,,,,
1993-12,151.00M,,,,-52.00M,-143.00M,-143.00M,-143.00M,38.00M,321.00M,57.00M,8.00M,89.00M,-4.00M,,,150.00M,,465.00M,,-282.00M,19.00M,-263.00M,,-60.00M,-65.00M,-388.00M,,-173.00M,,-173.00M,,,,,-46.00M,,16.00M,-203.00M,,,,,,,-145.00M,-28.00M,,,,
1993-09,63.00M,,,,-175.00M,-143.00M,-143.00M,-143.00M,101.00M,313.00M,-42.00M,3.00M,-3.00M,27.00M,,,-15.00M,,144.00M,,-160.00M,12.00M,-148.00M,,78.00M,-19.00M,-89.00M,,13.00M,,13.00M,,,,,-39.00M,,-3.00M,-29.00M,,,,,,,91.00M,-78.00M,,,,
1993-06,154.00M,,,,-40.00M,-143.00M,-143.00M,-143.00M,42.00M,252.00M,-38.00M,1.00M,103.00M,-11.00M,,,55.00M,,320.00M,,-201.00M,28.00M,-173.00M,,-152.00M,73.00M,-252.00M,,90.00M,,90.00M,,,,,-40.00M,,-12.00M,38.00M,,,,,,,197.00M,-107.00M,,,,
1993-03,-9.00M,,,,67.00M,-143.00M,-143.00M,-143.00M,,293.00M,8.00M,-22.00M,-152.00M,-9.00M,,,-175.00M,,33.00M,,-125.00M,,-125.00M,,19.00M,-35.00M,-141.00M,,52.00M,,52.00M,,,,,-39.00M,,13.00M,26.00M,,461.00M,,,,,88.00M,-36.00M,,,,
1992-12,152.00M,,,,-97.00M,-127.00M,-127.00M,-127.00M,5.00M,311.00M,64.00M,30.00M,171.00M,35.00M,,,300.00M,,544.00M,,-387.00M,0.00,-387.00M,,-81.00M,23.00M,-445.00M,,-4.00M,,-4.00M,,,,,-40.00M,,1.00M,-43.00M,,,,,,,101.00M,-105.00M,,,,
1992-09,128.00M,,,,-138.00M,-136.00M,-136.00M,-136.00M,29.00M,272.00M,-2.00M,13.00M,-71.00M,-36.00M,,,-96.00M,,59.00M,,-241.00M,0.00,-241.00M,,-31.00M,10.00M,-262.00M,,226.00M,,226.00M,,,,,-39.00M,,5.00M,192.00M,,,,,,,307.00M,-81.00M,,,,
1992-06,-322.00M,,,,565.00M,-133.00M,-133.00M,-133.00M,-106.00M,266.00M,37.00M,-15.00M,34.00M,37.00M,,,93.00M,,363.00M,,-319.00M,7.00M,-312.00M,,7.00M,20.00M,-285.00M,,50.00M,,50.00M,,,,,-39.00M,,62.00M,73.00M,,,,,,,198.00M,-148.00M,,,,
1992-03,62.00M,,,,-66.00M,-131.00M,-131.00M,-131.00M,,262.00M,46.00M,-10.00M,-189.00M,-1.00M,,,-154.00M,,-27.00M,,-94.00M,,-94.00M,,105.00M,-4.00M,7.00M,,-22.00M,,-22.00M,,,,,-39.00M,,-31.00M,-92.00M,,355.00M,,,,,58.00M,-80.00M,,,,
1991-12,-356.00M,,,,704.00M,-133.00M,-133.00M,-133.00M,-275.00M,266.00M,-2.00M,5.00M,190.00M,-10.00M,,,183.00M,,389.00M,,-268.00M,184.00M,-84.00M,,-8.00M,-37.00M,-129.00M,,-27.00M,,-27.00M,,,,,-39.00M,,-124.00M,-190.00M,,,,,,,51.00M,-78.00M,,,,
1991-09,108.00M,,,,22.00M,-126.00M,-126.00M,-126.00M,43.00M,252.00M,-60.00M,21.00M,-147.00M,-4.00M,,,-190.00M,,109.00M,,-256.00M,0.00,-256.00M,,2.00M,54.00M,-200.00M,,40.00M,,40.00M,,,,,-35.00M,,23.00M,28.00M,,,,,,,123.00M,-83.00M,,,,
1991-06,115.00M,,,,-124.00M,-116.00M,-116.00M,-116.00M,67.00M,232.00M,-4.00M,27.00M,151.00M,15.00M,,,189.00M,,363.00M,,-221.00M,97.00M,-124.00M,,19.00M,-48.00M,-153.00M,,-218.00M,,-218.00M,,,,,-35.00M,,73.00M,-180.00M,,,,,,,17.00M,-235.00M,,,,
1991-03,57.00M,,,,-54.00M,-126.00M,-126.00M,-126.00M,,252.00M,63.00M,-4.00M,-169.00M,-14.00M,,,-124.00M,,5.00M,,-119.00M,,-119.00M,,33.00M,-21.00M,-107.00M,,153.00M,,153.00M,,,,,-35.00M,,-59.00M,59.00M,,576.00M,,,,,188.00M,-35.00M,,,,
1990-12,129.00M,,,,-35.00M,-126.00M,-126.00M,-126.00M,38.00M,252.00M,96.00M,64.00M,216.00M,-12.00M,-39.00M,,325.00M,0.00,583.00M,,-295.00M,141.00M,-154.00M,,-28.00M,-54.00M,-236.00M,,55.00M,,55.00M,,0.00,0.00,,-35.00M,,-97.00M,-77.00M,,,,,,,146.00M,-91.00M,0.00,,,
1990-09,101.00M,,,,12.00M,-113.00M,-113.00M,-113.00M,28.00M,226.00M,-25.00M,-64.00M,46.00M,39.00M,17.00M,,13.00M,0.00,267.00M,,-254.00M,238.00M,-16.00M,,-17.00M,-122.00M,-155.00M,,73.00M,,73.00M,,-150.00M,-150.00M,,-36.00M,,-19.00M,-132.00M,,,,,,,121.00M,-48.00M,-150.00M,,,
1990-06,109.00M,,,,-52.00M,-117.00M,-117.00M,-117.00M,40.00M,234.00M,-60.00M,,-12.00M,39.00M,-7.00M,,-40.00M,0.00,174.00M,,-227.00M,42.00M,-185.00M,,-23.00M,-147.00M,-355.00M,,-19.00M,,-19.00M,,,,,-38.00M,,80.00M,23.00M,,,,,,,106.00M,-125.00M,,,,
1990-03,25.00M,,,,-43.00M,-117.00M,-117.00M,-117.00M,,235.00M,-94.00M,,-73.00M,-78.00M,-1.00M,,-246.00M,11.00M,-135.00M,,-151.00M,23.00M,-128.00M,,,27.00M,-101.00M,,189.00M,,189.00M,,,,,-38.00M,,-61.00M,90.00M,,534.00M,,,,,189.00M,,,,,
