,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2009-09,974.90M,974.90M,317.90M,657.00M,-5.20M,54.20M,105.00M,,-105.00M,358.60M,561.60M,95.40M,,105.00M,-105.00M,-5.20M,-105.00M,-9.00M,4.20M,-13.20M,-2.20M,,,,-15.40M,-9.82M,244.80M,148.80M,96.00M,,-0.05,0.00,,-0.0377,-0.05,,-0.05,0.00,,-0.0377,-0.05,,275.40M,275.40M,0.23,,AOR,Restated
2009-06,1.269B,1.269B,586.80M,681.80M,-2.00M,53.30M,105.30M,,-105.30M,365.20M,566.70M,115.10M,,105.30M,-105.30M,-2.00M,-105.30M,5.20M,9.20M,-4.00M,-0.80M,,,,-4.80M,-2.70M,258.70M,148.20M,110.50M,,-0.01,0.00,,-0.0053,-0.01,,-0.01,0.00,,-0.0053,-0.01,,274.70M,274.70M,0.23,,AOR,Restated
2009-03,2.722B,2.722B,1.656B,1.066B,1.00M,103.40M,90.40M,,-90.40M,479.10M,726.20M,340.00M,,90.40M,-90.40M,1.00M,-90.40M,257.00M,97.60M,159.40M,-11.00M,,,,148.40M,158.78M,491.10M,143.70M,347.40M,,0.58,-0.04,,0.5777,0.54,,0.58,-0.04,,0.5778,0.54,,274.20M,276.70M,0.23,,AOR,Restated
2008-12,3.162B,3.162B,2.229B,932.30M,-28.30M,85.80M,108.20M,,-85.50M,,621.50M,310.80M,,108.20M,-85.50M,-16.00M,-85.50M,202.30M,71.10M,131.20M,30.80M,,,,162.00M,149.55M,453.70M,143.20M,310.50M,,0.48,0.11,,0.5470,0.59,,0.48,0.11,,0.5466,0.59,,274.00M,275.40M,0.23,,,Restated
2008-09,1.184B,1.184B,570.20M,613.40M,20.90M,57.30M,100.10M,,-100.10M,313.40M,511.60M,101.80M,,100.10M,-100.10M,20.90M,-100.10M,26.00M,-5.10M,31.10M,-11.10M,,,,20.00M,17.52M,267.00M,140.70M,126.10M,,0.11,-0.03,,0.0604,0.08,,0.10,-0.03,,0.0507,0.07,,274.00M,275.50M,0.23,,,Restated
2008-06,1.557B,1.557B,892.00M,665.20M,2.20M,62.20M,87.40M,,-87.40M,343.50M,553.30M,111.90M,,87.40M,-87.40M,2.20M,-87.40M,28.30M,8.60M,19.70M,-222.00M,,,,-202.30M,18.17M,263.30M,147.50M,115.70M,,0.07,-0.81,,0.0644,-0.74,,0.07,-0.81,,0.0644,-0.74,,274.00M,275.40M,0.23,,,Restated
2008-03,3.289B,3.289B,2.248B,1.041B,0.00,103.60M,91.80M,,-91.80M,410.10M,649.30M,391.40M,,91.80M,-91.80M,,-91.80M,301.60M,112.10M,189.50M,-90.20M,,,,99.30M,189.50M,529.00M,135.60M,393.40M,,0.69,-0.33,,0.69,0.36,,0.69,-0.33,,0.69,0.36,,273.90M,275.40M,0.23,,,Restated
2007-12,2.201B,2.201B,,,-3.00M,79.00M,,,,1.796B,2.010B,190.50M,,,,-3.00M,,83.80M,24.30M,59.50M,7.50M,,,,67.00M,61.63M,325.50M,135.00M,190.50M,,0.21,0.03,,0.2178,0.24,,0.21,0.03,,0.2178,0.24,,273.80M,274.70M,0.23,,,
2007-09,1.250B,1.250B,,,3.80M,55.20M,,,,950.10M,1.143B,106.90M,,,,3.80M,,9.60M,1.70M,7.90M,3.10M,,,,11.00M,4.773M,244.30M,124.40M,106.90M,,0.03,0.01,,0.0186,0.04,,0.03,0.01,,0.0186,0.04,,273.90M,274.70M,0.23,,,
2007-06,1.567B,1.567B,,,3.60M,63.80M,,,,1.229B,1.427B,140.20M,,,,3.60M,,45.40M,16.50M,28.90M,-2.20M,,,,26.70M,26.61M,284.90M,144.70M,140.20M,,0.11,-0.01,,0.1016,0.10,,0.11,-0.01,,0.1017,0.10,,273.80M,274.90M,0.23,,,
2007-03,2.845B,2.845B,,,-1.40M,100.40M,,,,2.181B,2.416B,428.90M,,,,-1.40M,,328.40M,121.90M,206.50M,10.20M,,,,216.70M,207.38M,565.00M,136.10M,428.90M,,0.75,0.04,,0.7532,0.79,,0.75,0.04,,0.7532,0.79,,273.60M,274.80M,0.23,,,
2006-12,1.978B,1.978B,,,-12.30M,72.70M,,,,1.494B,1.687B,291.40M,,,,-12.30M,,174.80M,62.10M,112.70M,-50.20M,0.00,,,62.50M,120.63M,431.20M,139.80M,291.40M,,0.34,-0.11,0.00,0.3690,0.23,,0.33,-0.11,-0.0000,0.3589,0.22,,273.20M,274.00M,0.23,,,
2006-09,1.156B,1.156B,,,0.10M,49.00M,,,,835.30M,1.021B,135.60M,,,,0.10M,,39.50M,13.50M,26.00M,-0.20M,,,,25.80M,25.93M,274.00M,138.40M,135.60M,,0.10,0.00,,0.0998,0.10,,0.10,0.00,,0.0998,0.10,,272.50M,273.30M,0.23,,,
2006-06,1.312B,1.312B,,,-2.60M,60.70M,,,,980.90M,1.180B,131.90M,,,,-2.60M,,35.90M,13.80M,22.10M,-1.10M,,,,21.00M,23.70M,271.70M,139.80M,131.90M,,0.08,0.00,,0.0859,0.08,,0.08,0.00,,0.0859,0.08,,272.40M,273.20M,0.23,,,
2006-03,2.972B,2.972B,,,-4.70M,103.00M,,,,2.365B,2.605B,367.80M,,,,-4.70M,,267.80M,94.80M,173.00M,-0.50M,0.40M,,,172.90M,176.04M,506.70M,138.90M,367.80M,,0.63,0.00,0.00,0.6412,0.63,,0.63,0.00,0.0015,0.6411,0.63,,272.30M,273.10M,0.23,,,
2005-12,2.694B,2.694B,,,-16.80M,86.20M,,,,2.276B,2.500B,193.80M,,,,-16.80M,,92.50M,19.50M,73.00M,-4.70M,,,,68.00M,86.26M,331.10M,132.90M,193.80M,,0.27,-0.02,,0.3188,0.25,,0.27,-0.02,,0.3185,0.25,,271.90M,273.30M,0.23,,,
2005-09,1.164B,1.164B,,,2.30M,51.90M,,,,883.80M,1.072B,92.50M,,,,2.30M,,-11.70M,-5.80M,-5.90M,-0.90M,,,,-6.80M,-7.28M,235.40M,142.90M,92.50M,,-0.02,-0.01,,-0.0251,-0.03,,-0.02,-0.01,,-0.0250,-0.03,,271.70M,273.70M,0.23,,,
2005-06,1.356B,1.356B,,,3.60M,60.10M,,,,1.040B,1.236B,119.80M,,,,3.60M,,21.90M,12.50M,9.40M,30.70M,,,1.10M,40.10M,7.24M,264.30M,144.50M,119.80M,,0.03,0.12,,0.0220,0.15,,0.03,0.11,,0.0221,0.14,,271.20M,273.10M,0.23,,,
