,NetIncome,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-06,175.00M,,5.00M,140.00M,140.00M,16.00M,,-41.00M,,,,,,-43.00M,-43.00M,,252.00M,-140.00M,3.00M,-137.00M,-248.00M,,,-385.00M,,,190.00M,48.00M,-69.00M,-21.00M,,-48.00M,,-2.00M,119.00M,37.00M,-14.00M,0.00,23.00M,,48.00M,,,-69.00M
2004-03,164.00M,,-7.00M,139.00M,139.00M,8.00M,,-19.00M,,,,,,-104.00M,-104.00M,,181.00M,-124.00M,14.00M,-110.00M,,,,-110.00M,,,25.00M,66.00M,-123.00M,-57.00M,,-49.00M,,-2.00M,-83.00M,50.00M,-12.00M,-1.00M,37.00M,,66.00M,,,-123.00M
2003-12,155.00M,,21.00M,135.00M,135.00M,15.00M,,-13.00M,,,,,,133.00M,74.00M,,387.00M,-199.00M,8.00M,-191.00M,-31.00M,,,-222.00M,,,-145.00M,75.00M,-50.00M,25.00M,,-44.00M,,2.00M,-162.00M,46.00M,3.00M,1.00M,50.00M,,75.00M,,,-50.00M
2003-09,150.00M,,-16.00M,133.00M,133.00M,18.00M,,-31.00M,,,,,,49.00M,49.00M,,303.00M,-168.00M,2.00M,-166.00M,-3.00M,,,-169.00M,,,0.00,54.00M,-157.00M,-103.00M,,-35.00M,,-4.00M,-142.00M,54.00M,-8.00M,0.00,46.00M,,54.00M,,,-157.00M
2003-06,150.00M,,16.00M,127.00M,127.00M,-7.00M,,42.00M,,,,,,-52.00M,-52.00M,,276.00M,-493.00M,2.00M,-491.00M,-25.00M,,,-516.00M,,,196.00M,74.00M,-3.00M,71.00M,,-35.00M,,2.00M,234.00M,58.00M,-6.00M,2.00M,54.00M,,74.00M,,,-3.00M
2003-03,130.00M,,,122.00M,122.00M,7.00M,,2.00M,,,,,,-90.00M,-90.00M,,171.00M,-123.00M,52.00M,-71.00M,-14.00M,,,-85.00M,,,-8.00M,43.00M,-61.00M,-18.00M,,-35.00M,,-5.00M,-66.00M,39.00M,20.00M,-1.00M,58.00M,,43.00M,,,-61.00M
2002-12,140.00M,,0.00,122.00M,122.00M,36.00M,,7.00M,,,,,,60.00M,33.00M,,338.00M,-158.00M,3.00M,-155.00M,-37.00M,,,-192.00M,,,-137.00M,35.00M,-11.00M,24.00M,,-30.00M,,-7.00M,-150.00M,44.00M,-4.00M,-1.00M,39.00M,,35.00M,,,-11.00M
2002-09,131.00M,,0.00,120.00M,120.00M,1.00M,,1.00M,,,,,,3.00M,3.00M,,256.00M,-119.00M,6.00M,-113.00M,-7.00M,,,-120.00M,,,-138.00M,40.00M,-29.00M,11.00M,,-31.00M,,35.00M,-123.00M,32.00M,13.00M,-1.00M,44.00M,,40.00M,,,-29.00M
2002-06,11.00M,,139.00M,120.00M,120.00M,-2.00M,,3.00M,,,,,,-11.00M,-11.00M,,260.00M,-114.00M,1.00M,-113.00M,-9.00M,,,-122.00M,,,8.00M,25.00M,-141.00M,-116.00M,,-31.00M,,-5.00M,-144.00M,38.00M,-6.00M,0.00,32.00M,,25.00M,,,-141.00M
2002-03,127.00M,,,121.00M,121.00M,2.00M,,-8.00M,,,,,,-95.00M,-95.00M,,147.00M,-107.00M,14.00M,-93.00M,-60.00M,,,-153.00M,,,22.00M,106.00M,-95.00M,11.00M,,-31.00M,,4.00M,6.00M,39.00M,,-1.00M,38.00M,,106.00M,,,-95.00M
2001-12,118.00M,,-20.00M,125.00M,125.00M,12.00M,,17.00M,,,,,,49.00M,104.00M,,356.00M,-178.00M,6.00M,-172.00M,-17.00M,,,-189.00M,,,-181.00M,53.00M,0.00,53.00M,,-27.00M,,-4.00M,-159.00M,30.00M,8.00M,1.00M,39.00M,,53.00M,,,0.00
2001-09,62.00M,,67.00M,127.00M,127.00M,-8.00M,,-14.00M,,,,,,-7.00M,-7.00M,,227.00M,-133.00M,28.00M,-105.00M,-15.00M,,,-120.00M,,,-64.00M,19.00M,-51.00M,-32.00M,,-28.00M,,2.00M,-122.00M,46.00M,-15.00M,-1.00M,30.00M,,19.00M,,,-51.00M
2001-06,126.00M,,-2.00M,125.00M,125.00M,14.00M,,-3.00M,,,,,,-9.00M,-9.00M,,251.00M,-139.00M,10.00M,-129.00M,-75.00M,,,-204.00M,,,-29.00M,37.00M,-19.00M,18.00M,,-28.00M,,-4.00M,-43.00M,43.00M,4.00M,-1.00M,46.00M,,37.00M,,,-19.00M
2001-03,124.00M,,2.00M,122.00M,122.00M,18.00M,,,,,,,,-80.00M,-80.00M,,186.00M,-145.00M,1.00M,-144.00M,-106.00M,,,-250.00M,,,85.00M,33.00M,-6.00M,27.00M,,-27.00M,,-8.00M,77.00M,31.00M,13.00M,-1.00M,43.00M,,33.00M,,,-6.00M
2000-12,5.00M,,,118.00M,118.00M,-13.00M,,3.00M,,,,,,74.00M,34.00M,,305.00M,-187.00M,13.00M,-174.00M,-7.00M,,,-181.00M,,,-125.00M,23.00M,0.00,23.00M,,-25.00M,,3.00M,-124.00M,31.00M,0.00,-2.00M,31.00M,,23.00M,,,0.00
2000-09,122.00M,,,117.00M,117.00M,7.00M,,-4.00M,,,,,,25.00M,25.00M,,267.00M,-168.00M,89.00M,-79.00M,-28.00M,,,-107.00M,,,-152.00M,21.00M,0.00,21.00M,,-24.00M,,2.00M,-153.00M,25.00M,7.00M,1.00M,31.00M,,21.00M,,,0.00
2000-06,122.00M,,,118.00M,118.00M,19.00M,,1.00M,,,,,,-82.00M,-82.00M,,178.00M,-190.00M,2.00M,-188.00M,-250.00M,,,-438.00M,,,327.00M,16.00M,0.00,16.00M,,-25.00M,,-58.00M,260.00M,25.00M,0.00,,25.00M,,16.00M,,,0.00
2000-03,114.00M,,,118.00M,118.00M,22.00M,,10.00M,,,,,,-115.00M,-115.00M,,149.00M,-159.00M,2.00M,-157.00M,-5.00M,,,-162.00M,,,77.00M,64.00M,-144.00M,-80.00M,,-24.00M,,-11.00M,-38.00M,76.00M,-51.00M,,25.00M,,64.00M,,,-144.00M
1999-12,114.00M,,0.00,110.00M,110.00M,11.00M,,4.00M,,,,,,-13.00M,102.00M,,341.00M,-189.00M,4.00M,-185.00M,-120.00M,,,-305.00M,,,29.00M,-3.00M,-12.00M,-15.00M,,-22.00M,,10.00M,2.00M,35.00M,38.00M,3.00M,76.00M,,-3.00M,,,-12.00M
1999-09,112.00M,,0.00,111.00M,111.00M,23.00M,,-5.00M,,,,,,-32.00M,-32.00M,,209.00M,-159.00M,11.00M,-148.00M,-9.00M,,,-157.00M,,,-4.00M,15.00M,-42.00M,-27.00M,,-23.00M,,-7.00M,-61.00M,45.00M,-9.00M,-1.00M,35.00M,,15.00M,,,-42.00M
1999-06,107.00M,,0.00,111.00M,111.00M,9.00M,,75.00M,,,,,,-49.00M,-49.00M,,253.00M,-158.00M,6.00M,-152.00M,-7.00M,,,-159.00M,,,-124.00M,63.00M,0.00,63.00M,,-22.00M,,7.00M,-76.00M,28.00M,18.00M,-1.00M,45.00M,,63.00M,,,0.00
1999-03,108.00M,,-10.00M,113.00M,113.00M,10.00M,,-55.00M,,,,,,,,,166.00M,-147.00M,82.00M,-65.00M,,,,-65.00M,,,-148.00M,14.00M,-19.00M,-5.00M,,-22.00M,,68.00M,-107.00M,34.00M,-6.00M,,28.00M,,14.00M,,,-19.00M
1998-12,107.00M,,16.00M,115.00M,115.00M,-66.00M,,19.00M,,,,,,123.00M,150.00M,,341.00M,-242.00M,17.00M,-225.00M,-5.00M,,,-230.00M,,,-73.00M,12.00M,-23.00M,-11.00M,,-20.00M,,-11.00M,-115.00M,40.00M,-4.00M,-2.00M,34.00M,,12.00M,,,-23.00M
1998-09,108.00M,,,118.00M,118.00M,58.00M,,-2.00M,,,,,,-49.00M,-49.00M,,233.00M,-176.00M,176.00M,0.00,-14.00M,,,-14.00M,,,-156.00M,26.00M,-42.00M,-16.00M,,-19.00M,,-19.00M,-210.00M,31.00M,9.00M,0.00,40.00M,,26.00M,,,-42.00M
1998-06,108.00M,,2.00M,119.00M,119.00M,-10.00M,,3.00M,,,,,,8.00M,8.00M,,230.00M,-192.00M,1.00M,-191.00M,-62.00M,,,-253.00M,,,48.00M,19.00M,-5.00M,14.00M,,-20.00M,,-23.00M,19.00M,36.00M,-4.00M,-1.00M,31.00M,,19.00M,,,-5.00M
