,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2013-04,969.00M,,,,209.00M,209.00M,-46.00M,,33.00M,,-56.00M,-254.00M,151.00M,532.00M,,-285.00M,144.00M,1.27B,,2013-04,-121.00M,-121.00M,,0.00,-456.00M,-10.00M,-587.00M,,2013-04,776.00M,-782.00M,109.00M,0.00,109.00M,-258.00M,-258.00M,-21.00M,-952.00M,,2013-04,1.192B,-269.00M,919.00M,,2013-04,109.00M,-3.054B,0.00,115.00M,137.00M,,2013-04,AOR
2013-01,988.00M,,,,214.00M,214.00M,-13.00M,,34.00M,,-47.00M,132.00M,13.00M,75.00M,,42.00M,262.00M,1.446B,,2013-01,-125.00M,-125.00M,,-797.00M,-667.00M,2.00M,-1.587B,,2013-01,-2.00M,-11.00M,55.00M,-163.00M,-108.00M,-264.00M,-264.00M,-4.00M,-387.00M,,2013-01,1.684B,-528.00M,1.192B,,2013-01,55.00M,-1.202B,-163.00M,786.00M,360.00M,,2013-01,AOR
2012-10,646.00M,,,,199.00M,199.00M,68.00M,,49.00M,,181.00M,-91.00M,-10.00M,-59.00M,,-101.00M,-261.00M,894.00M,,2012-10,-108.00M,-108.00M,,0.00,158.00M,-1.00M,49.00M,,2012-10,-2.00M,682.00M,79.00M,-614.00M,-535.00M,-266.00M,-266.00M,0.00,-119.00M,,2012-10,809.00M,824.00M,1.684B,,2012-10,79.00M,-452.00M,-614.00M,-473.00M,-196.00M,,2012-10,AOR
2012-07,864.00M,,,,197.00M,197.00M,-16.00M,,36.00M,,22.00M,214.00M,-61.00M,-67.00M,,129.00M,215.00M,1.332B,,2012-07,-103.00M,-103.00M,,-23.00M,-845.00M,-5.00M,-976.00M,,2012-07,-6.00M,85.00M,24.00M,-470.00M,-446.00M,-267.00M,-267.00M,-15.00M,-643.00M,,2012-07,1.172B,-287.00M,809.00M,,2012-07,24.00M,-206.00M,-470.00M,109.00M,32.00M,,2012-07,AOR
2012-04,991.00M,,,,200.00M,200.00M,195.00M,,37.00M,,123.00M,-128.00M,17.00M,226.00M,,-416.00M,-301.00M,1.044B,,2012-04,-110.00M,-110.00M,,386.00M,-768.00M,11.00M,-481.00M,,2012-04,1.21B,403.00M,29.00M,-660.00M,-631.00M,-252.00M,-252.00M,-56.00M,-536.00M,,2012-04,1.19B,27.00M,1.172B,,2012-04,29.00M,-775.00M,-660.00M,228.00M,115.00M,,2012-04,AOR
2012-01,934.00M,,,,209.00M,209.00M,-123.00M,-42.00M,34.00M,,-161.00M,-5.00M,-55.00M,366.00M,,-35.00M,271.00M,1.139B,,2012-01,-105.00M,-105.00M,,0.00,-361.00M,28.00M,-438.00M,,2012-01,-9.00M,-89.00M,22.00M,-180.00M,-158.00M,-769.00M,-255.00M,0.00,-502.00M,,2012-01,1.048B,199.00M,1.19B,,2012-01,22.00M,-2.509B,-180.00M,127.00M,36.00M,,2012-01,AOR
2011-10,1.692B,,,,213.00M,213.00M,-69.00M,21.00M,49.00M,,-812.00M,-186.00M,-53.00M,69.00M,,223.00M,53.00M,1.172B,,2011-10,-139.00M,-139.00M,,-549.00M,-437.00M,-21.00M,-1.146B,,2011-10,-15.00M,159.00M,13.00M,-200.00M,-187.00M,,-257.00M,-62.00M,-347.00M,,2011-10,1.393B,-321.00M,1.048B,,2011-10,13.00M,-15.00M,-200.00M,90.00M,131.00M,,2011-10,AOR
2011-07,,,,,211.00M,211.00M,11.00M,21.00M,41.00M,,829.00M,67.00M,-94.00M,-361.00M,,383.00M,-5.00M,1.115B,,2011-07,-130.00M,-130.00M,,-7.00M,-421.00M,-39.00M,-597.00M,,2011-07,0.00,128.00M,32.00M,-400.00M,-368.00M,,-257.00M,,-497.00M,,2011-07,1.382B,21.00M,1.393B,,2011-07,32.00M,0.00,-400.00M,9.00M,30.00M,,2011-07,AOR
2011-04,,,,0.00,213.00M,213.00M,306.00M,-130.00M,42.00M,,-2.182B,-263.00M,12.00M,133.00M,,-457.00M,-575.00M,793.00M,,2011-04,-68.00M,-116.00M,48.00M,-64.00M,703.00M,-51.00M,520.00M,,2011-04,-1.201B,-975.00M,31.00M,0.00,31.00M,,-241.00M,,-1.185B,,2011-04,1.283B,128.00M,1.317B,,2011-04,31.00M,-3.526B,0.00,95.00M,2.00M,,2011-04,AOR
2011-01,,,,,189.00M,189.00M,-76.00M,44.00M,52.00M,,952.00M,-7.00M,-5.00M,259.00M,,-169.00M,78.00M,1.245B,,2011-01,-158.00M,-127.00M,-31.00M,-816.00M,204.00M,-45.00M,-815.00M,,2011-01,0.00,214.00M,12.00M,-380.00M,-368.00M,,-240.00M,,-394.00M,,2011-01,1.256B,36.00M,1.283B,,2011-01,12.00M,0.00,-380.00M,179.00M,71.00M,,2011-01,AOR
2010-10,,,,-15.00M,215.00M,215.00M,-55.00M,43.00M,55.00M,,855.00M,-135.00M,-35.00M,-107.00M,,64.00M,-213.00M,898.00M,,2010-10,-167.00M,-150.00M,-17.00M,-390.00M,-68.00M,-25.00M,-650.00M,,2010-10,-400.00M,-35.00M,17.00M,-120.00M,-103.00M,,-243.00M,,-381.00M,,2010-10,1.364B,-133.00M,1.256B,,2010-10,17.00M,-400.00M,-120.00M,291.00M,159.00M,,2010-10,AOR
2010-07,,,,15.00M,187.00M,187.00M,-22.00M,43.00M,49.00M,,830.00M,63.00M,-73.00M,-322.00M,,30.00M,-302.00M,805.00M,,2010-07,-108.00M,-108.00M,0.00,-62.00M,-564.00M,-55.00M,-789.00M,,2010-07,-2.00M,814.00M,25.00M,-640.00M,-615.00M,,-245.00M,,-46.00M,,2010-07,1.40B,-30.00M,1.364B,,2010-07,25.00M,-2.00M,-640.00M,261.00M,60.00M,,2010-07,AOR
2010-04,954.00M,,,11.00M,206.00M,206.00M,17.00M,42.00M,49.00M,,365.00M,-220.00M,94.00M,158.00M,,-83.00M,-51.00M,1.237B,,2010-04,-189.00M,-171.00M,-18.00M,-350.00M,-2.088B,-87.00M,-2.714B,,2010-04,3.00B,2.036B,31.00M,-396.00M,-365.00M,,-226.00M,,1.445B,,2010-04,1.463B,-32.00M,1.40B,,2010-04,31.00M,0.00,-396.00M,271.00M,108.00M,,2010-04,AOR
2010-01,831.00M,,,0.00,194.00M,194.00M,-16.00M,41.00M,48.00M,,8.00M,38.00M,79.00M,141.00M,,124.00M,382.00M,1.488B,,2010-01,-127.00M,-123.00M,-4.00M,0.00,-340.00M,,-467.00M,,2010-01,-14.00M,-112.00M,31.00M,-25.00M,6.00M,,-226.00M,,-332.00M,,2010-01,826.00M,689.00M,1.463B,,2010-01,31.00M,-14.00M,-25.00M,107.00M,97.00M,,2010-01,AOR
2009-10,869.00M,,,-515.00M,184.00M,184.00M,75.00M,41.00M,66.00M,,-86.00M,-126.00M,20.00M,62.00M,,90.00M,46.00M,785.00M,,2009-10,-169.00M,-129.00M,-40.00M,0.00,-963.00M,83.00M,-1.049B,,2009-10,0.00,470.00M,67.00M,-265.00M,-198.00M,,-227.00M,,45.00M,,2009-10,1.022B,-219.00M,826.00M,,2009-10,67.00M,0.00,-265.00M,125.00M,123.00M,,2009-10,AOR
2009-07,445.00M,,,-50.00M,188.00M,188.00M,68.00M,43.00M,62.00M,,105.00M,37.00M,-35.00M,-136.00M,,-1.00M,-135.00M,621.00M,,2009-07,-150.00M,-150.00M,,0.00,-296.00M,-83.00M,-529.00M,,2009-07,-6.00M,142.00M,36.00M,-344.00M,-308.00M,,-228.00M,,-394.00M,,2009-07,1.271B,-302.00M,1.022B,,2009-07,36.00M,-6.00M,-344.00M,68.00M,58.00M,,2009-07,AOR
2009-04,103.00M,,,940.00M,177.00M,177.00M,-234.00M,40.00M,59.00M,-1.00M,-8.00M,-144.00M,18.00M,162.00M,,132.00M,47.00M,1.123B,,2009-04,-133.00M,-120.00M,-13.00M,-1.243B,-51.00M,-68.00M,-1.495B,,2009-04,1.266B,592.00M,23.00M,-33.00M,-10.00M,,-211.00M,1.00M,372.00M,,2009-04,1.283B,0.00,1.271B,,2009-04,23.00M,-617.00M,-33.00M,69.00M,72.00M,,2009-04,AOR
2009-01,697.00M,,,-121.00M,170.00M,170.00M,20.00M,38.00M,70.00M,3.00M,15.00M,-18.00M,-89.00M,232.00M,,118.00M,243.00M,1.135B,,2009-01,-132.00M,-115.00M,-17.00M,-352.00M,492.00M,-265.00M,-257.00M,,2009-01,-16.00M,149.00M,26.00M,-87.00M,-61.00M,,-211.00M,-3.00M,-126.00M,,2009-01,541.00M,752.00M,1.283B,,2009-01,26.00M,108.00M,-87.00M,118.00M,23.00M,,2009-01,
