,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-03,1.614B,1.614B,808.00M,806.00M,,587.00M,7.00M,,,,-7.00M,580.00M,226.00M,,,,7.00M,,192.00M,68.00M,124.00M,,,,124.00M,119.48M,304.00M,78.00M,226.00M,0.2125,0.0,,0.2049,0.2125,0.2,0.0,,0.1924,0.2,592.91M,592.91M,
2001-12,2.762B,2.202B,-20.00M,2.222B,,1.936B,-577.00M,,,,,1.978B,244.00M,,,,-577.00M,,223.00M,59.00M,164.00M,,,,164.00M,588.34M,355.00M,111.00M,244.00M,0.285,0.0,,1.018,0.285,0.27,0.0,,0.9707,0.27,578.86M,605.63M,
2001-09,1.449B,1.64B,1.236B,404.00M,,188.00M,206.00M,,,,-15.00M,173.00M,231.00M,,,,206.00M,,195.00M,71.00M,124.00M,,,,124.00M,-6.995M,316.00M,85.00M,231.00M,0.21,0.0,,-0.0128,0.21,0.2,0.0,,-0.014,0.2,588.00M,612.00M,
2001-06,1.605B,1.605B,735.00M,870.00M,,597.00M,27.00M,,,,-27.00M,655.00M,215.00M,,,,27.00M,,178.00M,62.00M,116.00M,,,,116.00M,98.40M,300.00M,85.00M,215.00M,0.1975,0.0,,0.1675,0.1975,0.19,0.0,,0.1612,0.19,587.34M,610.53M,
2001-03,1.506B,1.506B,696.00M,810.00M,,561.00M,,,,,,634.00M,176.00M,,,,,,137.00M,49.00M,88.00M,,,,88.00M,88.00M,249.00M,73.00M,176.00M,0.15,0.0,,0.15,0.15,0.1475,0.0,,0.1475,0.1475,588.00M,600.00M,
2000-12,2.182B,2.182B,1.00B,1.182B,,835.00M,28.00M,,,,,944.00M,238.00M,,,,28.00M,,211.00M,83.00M,128.00M,,,,128.00M,111.01M,347.00M,109.00M,238.00M,0.2175,0.0,,0.1886,0.2175,0.215,0.0,,0.1866,0.215,587.60M,597.56M,
2000-09,1.658B,1.658B,766.00M,892.00M,,595.00M,-83.00M,,,,,677.00M,215.00M,,,,-83.00M,,93.00M,34.00M,59.00M,,,,59.00M,111.66M,297.00M,82.00M,215.00M,0.1025,0.0,,0.1927,0.1025,0.1,0.0,,0.1896,0.1,584.00M,588.00M,
2000-06,1.656B,1.656B,755.00M,901.00M,,602.00M,2.00M,,,,,683.00M,218.00M,,,,2.00M,,179.00M,73.00M,106.00M,,,,106.00M,104.80M,299.00M,81.00M,218.00M,0.18,0.0,,0.178,0.18,0.1775,0.0,,0.1755,0.1775,588.00M,596.00M,
2000-03,1.597B,1.597B,732.00M,865.00M,,591.00M,50.00M,,,,,673.00M,192.00M,,,,50.00M,,201.00M,81.00M,120.00M,,,,120.00M,90.00M,274.00M,82.00M,192.00M,0.2025,0.0,,0.1522,0.2025,0.2,0.0,,0.1503,0.2,596.00M,604.00M,
1999-12,2.311B,2.311B,1.088B,1.223B,,866.00M,42.00M,,,,,987.00M,236.00M,,,,42.00M,,221.00M,76.00M,145.00M,,,,145.00M,117.44M,357.00M,121.00M,236.00M,0.2375,0.0,,0.1924,0.2375,0.2325,0.0,,0.1884,0.2325,610.77M,624.74M,
1999-09,1.812B,1.812B,850.00M,962.00M,,644.00M,141.00M,,,,,726.00M,236.00M,,,,141.00M,,335.00M,138.00M,197.00M,,,,197.00M,112.40M,318.00M,82.00M,236.00M,0.32,0.0,,0.1826,0.32,0.3075,0.0,,0.1754,0.3075,615.62M,640.65M,
1999-06,1.886B,1.886B,883.00M,1.003B,,695.00M,129.00M,,,,,783.00M,220.00M,,,,129.00M,,298.00M,119.00M,179.00M,,,,179.00M,101.51M,308.00M,88.00M,220.00M,0.29,0.0,,0.1645,0.29,0.275,0.0,,0.156,0.275,617.24M,650.91M,
1999-03,1.813B,1.813B,845.00M,968.00M,,671.00M,34.00M,,,,,766.00M,202.00M,,,,34.00M,,184.00M,78.00M,106.00M,,,,106.00M,85.60M,297.00M,95.00M,202.00M,0.1725,0.0,,0.1393,0.1725,0.165,0.0,,0.1332,0.165,614.49M,642.42M,
1998-12,2.529B,2.529B,1.252B,1.277B,,938.00M,99.00M,,,,,1.057B,220.00M,,,,99.00M,,245.00M,94.00M,151.00M,,,,151.00M,89.98M,339.00M,119.00M,220.00M,0.2475,0.0,,0.1475,0.2475,0.2375,0.0,,0.1422,0.2375,610.38M,640.38M,
1998-09,2.021B,2.021B,972.00M,1.049B,,732.00M,59.00M,,,,,829.00M,220.00M,,,,59.00M,,217.00M,89.00M,128.00M,,,,128.00M,92.60M,317.00M,97.00M,220.00M,0.21,0.0,,0.1519,0.21,0.205,0.0,,0.1483,0.205,609.52M,624.39M,
1998-06,2.007B,2.007B,963.00M,1.044B,,758.00M,73.00M,,,,,855.00M,189.00M,,,,73.00M,,195.00M,83.00M,112.00M,,,,112.00M,68.20M,286.00M,97.00M,189.00M,0.185,0.0,,0.1127,0.185,0.18,0.0,,0.1096,0.18,605.41M,622.22M,
