,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2010-09,1.274B,,1.274B,249.00M,249.00M,149.00M,313.00M,109.00M,81.00M,,2.175B,,,,,,,7.23B,-3.46B,3.77B,700.00M,440.00M,1.14B,145.00M,329.00M,529.00M,5.913B,8.088B,1.374B,,94.00M,1.468B,,1.468B,,,724.00M,,724.00M,109.00M,2.301B,2.905B,,2.905B,,,87.00M,,1.239B,4.144B,6.445B,112.00M,1.681B,,,,-237.00M,1.556B
2010-06,530.00M,,530.00M,260.00M,260.00M,138.00M,340.00M,89.00M,107.00M,,1.464B,,,,,,,7.081B,-3.387B,3.694B,613.00M,444.00M,1.057B,132.00M,269.00M,529.00M,5.681B,7.145B,1.338B,,69.00M,1.407B,,1.407B,,,717.00M,,717.00M,89.00M,2.213B,2.518B,,2.518B,,,77.00M,,1.188B,3.706B,5.919B,87.00M,1.325B,,,,-263.00M,1.149B
2010-03,444.00M,,444.00M,,303.00M,113.00M,303.00M,96.00M,145.00M,,1.404B,,,,,,,7.127B,-3.361B,3.766B,623.00M,453.00M,1.076B,124.00M,232.00M,539.00M,5.737B,7.141B,1.363B,,81.00M,1.444B,,1.444B,,,152.00M,,152.00M,,1.596B,3.219B,,3.219B,,,74.00M,,1.209B,4.428B,6.024B,0.00,1.138B,154.00M,,,-249.00M,1.043B
2009-12,353.00M,,353.00M,,239.00M,122.00M,314.00M,,81.00M,99.00M,1.208B,0.0,538.00M,4.082B,2.627B,,,7.247B,-3.348B,3.899B,640.00M,462.00M,1.102B,144.00M,251.00M,544.00M,5.94B,7.148B,1.413B,,82.00M,1.495B,,1.495B,,,59.00M,,59.00M,99.00M,1.653B,3.207B,,3.207B,,,89.00M,,1.174B,4.381B,6.034B,0.00,996.00M,253.00M,,,-224.00M,1.025B
2009-09,424.00M,,424.00M,,241.00M,116.00M,287.00M,,54.00M,84.00M,1.206B,,,,,,,7.213B,-3.369B,3.844B,686.00M,447.00M,1.133B,98.00M,291.00M,549.00M,5.915B,7.121B,1.388B,,27.00M,1.415B,,1.415B,,,119.00M,,119.00M,,1.534B,3.258B,,3.258B,,,87.00M,,1.34B,4.598B,6.132B,0.00,979.00M,202.00M,,,-279.00M,902.00M
2009-06,284.00M,,284.00M,,278.00M,134.00M,201.00M,,84.00M,90.00M,1.071B,,,,,,,7.093B,-3.286B,3.807B,760.00M,341.00M,1.101B,23.00M,340.00M,582.00M,5.853B,6.924B,1.343B,,87.00M,1.43B,,1.43B,,,122.00M,,122.00M,,1.552B,3.516B,,3.516B,,,81.00M,,1.299B,4.815B,6.367B,0.00,646.00M,170.00M,,,-340.00M,476.00M
2009-03,289.00M,,289.00M,,283.00M,124.00M,191.00M,,78.00M,100.00M,1.065B,,,,,,,6.881B,-3.211B,3.67B,615.00M,332.00M,947.00M,32.00M,298.00M,558.00M,5.505B,6.57B,1.267B,,108.00M,1.375B,,1.375B,,,130.00M,,130.00M,,1.505B,3.512B,,3.512B,,,8.00M,,1.377B,4.889B,6.394B,0.00,521.00M,63.00M,,,-416.00M,168.00M
2008-12,216.00M,,216.00M,,229.00M,143.00M,172.00M,,81.00M,110.00M,951.00M,0.0,517.00M,3.596B,2.525B,,259.00M,6.897B,-3.187B,3.71B,605.00M,335.00M,940.00M,65.00M,300.00M,561.00M,5.576B,6.527B,508.00M,87.00M,214.00M,809.00M,376.00M,1.185B,,,25.00M,,25.00M,512.00M,1.722B,3.564B,,3.564B,,,14.00M,,1.335B,4.899B,6.621B,0.00,303.00M,7.00M,,,-418.00M,-108.00M
2008-09,294.00M,,294.00M,251.00M,251.00M,157.00M,180.00M,,153.00M,103.00M,1.138B,,,,,,,7.302B,-3.418B,3.884B,656.00M,322.00M,978.00M,,191.00M,629.00M,5.682B,6.82B,1.476B,,,1.476B,,1.476B,,,23.00M,,23.00M,204.00M,1.703B,3.596B,,3.596B,,,,,1.155B,4.751B,6.454B,0.00,349.00M,9.00M,,,8.00M,366.00M
2008-06,325.00M,,325.00M,237.00M,237.00M,139.00M,212.00M,,145.00M,98.00M,1.156B,,,,,,,7.327B,-3.452B,3.875B,665.00M,328.00M,993.00M,,288.00M,514.00M,5.67B,6.826B,1.491B,,,1.491B,,1.491B,,,29.00M,,29.00M,126.00M,1.646B,3.374B,,3.374B,,,,,1.224B,4.598B,6.244B,0.00,504.00M,51.00M,,,27.00M,582.00M
