,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2005-01,648.24M,648.24M,116.43M,531.81M,,,229.88M,76.95M,2.626M,-4.109M,,,,,309.46M,222.36M,,,,-4.109M,,221.23M,76.26M,144.97M,2.278M,147.25M,147.67M,257.40M,35.04M,222.36M,0.39,0.005,,0.3972,0.395,0.38,0.005,,,2005-01,372.66M,380.20M,,,2005-01,,
2004-10,252.78M,252.78M,75.39M,177.38M,,,178.19M,74.36M,2.541M,-4.283M,,,,,255.09M,-77.71M,,,,-4.283M,,-78.14M,-32.64M,-45.50M,-0.639M,-46.14M,-42.93M,-48.41M,29.30M,-77.71M,-0.12,0.00,,-0.1132,-0.12,-0.12,0.00,,,2004-10,376.69M,376.69M,,,2004-10,,
2004-07,219.69M,219.69M,70.77M,148.92M,,,140.12M,62.22M,0.353M,-3.606M,,,,,202.69M,-53.77M,,,,-3.606M,,-46.40M,-9.422M,-36.98M,-5.122M,-42.10M,-34.11M,-26.98M,26.79M,-53.77M,-0.085,-0.015,,-0.0775,-0.10,-0.085,-0.015,,,2004-07,381.78M,387.97M,,,2004-07,,
2004-04,709.84M,709.84M,94.92M,614.92M,,,187.32M,70.55M,3.354M,-6.045M,,,,,261.22M,353.70M,,,,-6.045M,,352.43M,88.14M,264.29M,-0.253M,264.03M,268.82M,382.19M,28.49M,353.70M,0.68,0.00,,0.6917,0.68,0.665,0.00,,,2004-04,389.03M,397.50M,,,2004-04,,
2004-01,633.37M,633.37M,113.98M,519.39M,,,217.60M,72.64M,3.257M,-6.45M,,,,,293.50M,225.89M,,,,-6.45M,,226.61M,77.09M,149.52M,-0.455M,149.07M,153.78M,254.18M,28.29M,225.89M,0.375,0.00,,0.3858,0.375,0.365,0.00,,,2004-01,395.33M,406.86M,,,2004-01,,
2003-10,239.32M,239.32M,73.36M,165.96M,,,175.01M,70.63M,3.222M,-5.605M,,,,,248.87M,-82.91M,,,,-5.605M,,-81.02M,-27.52M,-53.50M,-0.462M,-53.96M,-49.80M,-54.36M,28.55M,-82.91M,-0.135,0.00,,-0.1257,-0.135,-0.135,0.00,,,2003-10,397.49M,397.49M,,,2003-10,,
2003-07,191.42M,191.42M,62.64M,128.78M,,,116.34M,58.47M,1.20M,2.91M,,,,,176.00M,-47.22M,,,,2.91M,,-30.63M,-2.893M,-27.74M,3.047M,-24.69M,-30.37M,-17.47M,29.75M,-47.22M,-0.055,0.005,,-0.0617,-0.05,-0.055,0.00,,,2003-07,394.78M,419.32M,,,2003-07,,
2003-04,634.70M,634.70M,88.71M,545.99M,,,163.40M,62.00M,3.662M,-1.392M,,,,,229.06M,316.93M,,,,-1.392M,,323.73M,100.77M,222.97M,71.01M,293.98M,223.93M,341.40M,24.47M,316.93M,0.54,0.175,,0.5423,0.715,0.53,0.17,,,2003-04,411.42M,420.90M,,,2003-04,,
2003-01,558.08M,558.08M,115.78M,442.29M,,,191.79M,66.08M,3.518M,-7.397M,,,,,261.39M,180.90M,,,,-7.397M,,181.28M,55.90M,125.37M,3.059M,128.43M,130.49M,202.66M,21.76M,180.90M,0.305,0.005,,0.3174,0.31,0.295,0.005,,,2003-01,411.36M,424.91M,,,2003-01,,
2002-10,223.28M,223.28M,71.31M,151.97M,,,160.71M,65.68M,2.977M,-16.99M,,,,,229.37M,-77.40M,,,,-16.99M,,-86.06M,-25.82M,-60.24M,5.556M,-54.68M,-48.35M,-55.28M,22.12M,-77.40M,-0.145,0.015,,-0.1164,-0.13,-0.145,0.015,,,2002-10,415.93M,415.93M,,,2002-10,,
2002-07,186.85M,186.85M,55.68M,131.17M,,,123.52M,48.84M,-3.283M,-54.57M,,,,27.27M,196.34M,-65.16M,,,,-54.57M,,-89.84M,-14.16M,-75.68M,43.92M,-31.76M,-29.71M,-46.44M,18.72M,-65.16M,-0.175,0.10,,-0.0677,-0.075,-0.175,0.10,,,2002-07,428.57M,446.00M,,,2002-07,,
2002-04,491.15M,491.15M,67.44M,423.71M,,,142.17M,50.81M,1.565M,-41.09M,,,,13.24M,207.79M,215.92M,,,,-41.09M,,195.25M,62.55M,132.70M,11.78M,144.48M,160.63M,235.21M,19.29M,215.92M,0.315,0.025,,0.3810,0.34,0.31,0.025,,,2002-04,423.23M,434.35M,,,2002-04,,
2002-01,475.91M,475.91M,106.25M,369.66M,,,153.77M,51.40M,7.171M,-60.38M,,,,,212.34M,157.32M,,,,-60.38M,,104.57M,4.678M,99.90M,19.97M,119.87M,157.57M,179.55M,22.24M,157.32M,0.235,0.045,,0.3707,0.28,0.23,0.045,,,2002-01,425.04M,438.71M,,,2002-01,,
2001-10,168.73M,168.73M,61.79M,106.94M,,,124.27M,48.86M,1.706M,-80.34M,,,,27.00M,201.83M,-94.89M,,,,-80.34M,,-138.42M,-36.26M,-102.16M,9.729M,-92.43M,-42.87M,-77.28M,17.61M,-94.89M,-0.24,0.02,,-0.0995,-0.22,-0.24,0.02,,,2001-10,422.08M,422.08M,,,2001-10,,
2001-07,191.17M,191.17M,52.59M,138.58M,,,113.66M,51.91M,,-70.57M,,,,,180.52M,-41.94M,,,,-70.57M,,-100.08M,-38.80M,-61.29M,,-61.29M,-18.07M,238.47M,280.42M,-41.94M,-0.215,0.03,0.00,-0.1100,-0.15,-0.215,0.03,0.0001,,2001-07,411.79M,411.79M,,,2001-07,,
2001-04,425.21M,425.21M,81.89M,343.32M,,,129.93M,52.70M,,-134.32M,,,,,182.63M,160.69M,,,,-134.32M,,40.99M,55.29M,-14.30M,,-14.30M,66.29M,160.69M,-63.84M,160.69M,-0.035,0.00,,0.1581,-0.035,-0.035,0.00,,,2001-04,417.43M,417.43M,,,2001-04,,
2001-01,457.56M,457.56M,107.68M,349.88M,,,157.62M,54.60M,43.07M,-70.30M,,,,,255.29M,94.60M,,,,-70.30M,,40.75M,14.19M,26.56M,,26.56M,72.38M,145.92M,51.33M,94.60M,0.065,0.00,,0.1754,0.065,0.06,0.00,,,2001-01,415.19M,431.85M,,,2001-01,,
2000-10,187.52M,187.52M,69.88M,117.64M,,,121.28M,47.88M,39.68M,-3.868M,,,,,208.84M,-91.20M,,,,-3.868M,,-79.00M,-30.92M,-48.08M,,-33.76M,-45.72M,-33.48M,57.72M,-91.20M,-0.115,0.035,0.00,-0.1093,-0.08,-0.115,0.035,0.0348,,2000-10,411.45M,411.45M,,,2000-10,,
2000-07,162.26M,162.26M,-116.26M,278.52M,,,93.07M,42.55M,,-78.91M,,,,,189.29M,89.23M,,,,-78.91M,,28.71M,11.57M,17.14M,,17.14M,64.49M,142.89M,53.66M,89.23M,0.04,0.00,,0.1562,0.04,0.04,0.00,,,2000-07,407.44M,423.87M,,,2000-07,,
2000-04,329.14M,329.14M,64.80M,264.33M,,,111.80M,40.78M,,422.21M,,,,,203.82M,60.51M,,,,422.21M,,497.29M,200.20M,297.08M,,297.08M,43.76M,111.76M,51.25M,60.51M,0.735,0.00,,0.1090,0.735,0.695,0.00,,,2000-04,404.68M,428.72M,,,2000-04,,
2000-01,425.50M,425.50M,83.10M,342.40M,,,157.10M,44.00M,,-2.80M,,,,,259.80M,82.60M,,,,-2.80M,,86.90M,29.60M,57.30M,,57.30M,59.15M,150.97M,68.37M,82.60M,0.145,0.00,,0.1497,0.145,0.135,0.00,,,2000-01,391.87M,419.13M,,,2000-01,,
1999-10,176.93M,176.93M,58.87M,118.06M,,,125.70M,41.71M,37.09M,-22.12M,,,,,204.50M,-86.44M,,,,-22.12M,,-100.03M,-34.17M,-65.86M,,-65.86M,-51.30M,-46.52M,39.93M,-86.44M,-0.165,0.00,,-0.1281,-0.165,-0.165,0.00,,,1999-10,394.72M,394.72M,,,1999-10,,
1999-07,75.50M,75.50M,24.80M,50.70M,,,46.40M,39.10M,,512.50M,,,,,131.40M,-80.70M,,,,512.50M,,437.40M,184.50M,252.90M,,252.90M,-54.60M,-34.80M,45.90M,-80.70M,0.70,0.00,,-0.2282,0.70,0.665,0.00,,,1999-07,331.29M,362.53M,,,1999-07,,
1999-04,261.50M,261.50M,43.70M,217.80M,,,100.60M,34.30M,,58.60M,,,,,167.80M,50.00M,,,,58.60M,,114.00M,38.60M,75.40M,,75.40M,36.64M,82.90M,31.80M,50.00M,0.195,0.00,,0.0948,0.195,0.185,0.00,,,1999-04,386.67M,407.57M,,,1999-04,,
1999-01,373.70M,373.70M,67.70M,306.00M,,,131.90M,36.40M,,8.10M,,,,,193.70M,112.30M,,,,8.10M,,124.30M,31.20M,93.10M,,93.10M,87.03M,138.90M,26.60M,112.30M,0.245,0.00,,0.2290,0.245,0.235,0.00,,,1999-01,380.00M,396.17M,,,1999-01,,
1998-10,112.00M,112.00M,21.00M,91.00M,,,88.40M,33.70M,,3.30M,,,,,159.10M,-68.10M,,,,3.30M,,-64.70M,-15.50M,-49.20M,,-49.20M,-51.71M,-31.10M,37.00M,-68.10M,-0.14,0.00,,-0.1471,-0.14,-0.14,0.00,,,1998-10,351.43M,351.43M,,,1998-10,,
1998-07,117.20M,117.20M,-74.00M,191.20M,,,157.80M,30.40M,,-48.80M,,,,,206.60M,-15.40M,,,,-48.80M,,-64.30M,-25.20M,-39.10M,,-39.10M,-9.425M,3.00M,18.40M,-15.40M,-0.075,0.00,,-0.0022,-0.075,-0.075,0.00,,,1998-07,407.70M,414.46M,,,1998-07,,
