,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2004-03,154.17M,154.17M,73.57M,80.60M,,,29.95M,8.896M,,0.649M,,1.716M,,,,0.363M,39.86M,40.74M,,,,1.716M,,42.80M,14.86M,27.93M,,,27.93M,26.81M,43.79M,3.05M,40.74M,,0.2624,0.00,,0.2519,0.2624,,0.2579,0.00,,0.2476,0.2579,,106.82M,108.35M,,,
2003-12,147.20M,147.20M,72.80M,74.40M,,,30.96M,8.722M,,0.527M,,1.318M,,,,,41.44M,32.95M,,,,1.318M,,35.47M,11.07M,24.40M,,,24.40M,23.49M,35.92M,2.961M,32.95M,,0.18,0.00,,0.1715,0.18,,0.18,0.00,,0.1716,0.18,,106.47M,107.98M,,,
2003-09,134.65M,134.65M,66.88M,67.77M,,,25.81M,7.898M,,0.371M,,-1.263M,,,,,34.08M,33.70M,,,,-1.263M,,32.37M,9.37M,23.00M,,,23.00M,23.90M,36.53M,2.836M,33.70M,,0.2133,0.00,,0.2218,0.2133,,0.2133,0.00,,0.2217,0.2133,,106.32M,107.68M,,,
2003-06,129.86M,129.86M,63.30M,66.56M,,,27.00M,7.56M,,0.371M,,2.638M,,,,,34.93M,31.62M,,,,2.638M,,34.25M,11.99M,22.26M,,,22.26M,20.55M,34.50M,2.874M,31.62M,,0.2089,0.00,,0.1927,0.2089,,0.2089,0.00,,0.1929,0.2089,,105.83M,107.01M,,,
2003-03,124.68M,124.68M,60.34M,64.35M,,,24.76M,7.579M,,0.371M,,2.302M,,,,,32.70M,31.64M,,,,2.302M,,33.91M,11.87M,22.04M,,,22.04M,20.54M,34.55M,2.909M,31.64M,,0.1404,0.00,,0.1309,0.1404,,0.1384,0.00,,0.1290,0.1384,,157.78M,159.28M,,,
2002-12,126.32M,126.32M,63.76M,62.56M,,,27.09M,6.674M,,0.386M,,10.55M,,,,,34.15M,28.42M,,,,10.55M,,31.27M,10.94M,20.33M,,,20.33M,13.47M,32.46M,4.044M,28.42M,,0.2889,0.00,,0.1910,0.2889,,0.2889,0.00,,0.1919,0.2889,,70.05M,70.75M,,,
2002-09,123.15M,123.15M,62.73M,60.42M,,,23.56M,7.609M,,0.373M,,-0.433M,,,,,31.54M,28.88M,,,,-0.433M,,30.56M,10.70M,19.87M,,,19.87M,20.15M,31.78M,2.898M,28.88M,,0.2844,0.00,,0.2885,0.2844,,0.2844,0.00,,0.2884,0.2844,,69.79M,70.34M,,,
2002-06,115.95M,115.95M,60.20M,55.75M,,,22.94M,7.472M,,0.367M,,0.775M,,,,,30.78M,24.97M,,,,0.775M,,25.71M,9.249M,16.46M,,,16.46M,15.96M,28.91M,3.943M,24.97M,,0.2356,0.00,,0.2284,0.2356,,0.2356,0.00,,0.2285,0.2356,,69.60M,70.27M,,,
2002-03,110.18M,110.18M,58.17M,52.01M,,,21.28M,7.455M,,0.367M,,0.481M,,,,3.30M,32.40M,19.61M,,,,0.481M,,23.34M,8.397M,14.94M,,,14.94M,14.63M,22.34M,2.734M,19.61M,,0.0969,0.00,,0.0949,0.0969,,0.0949,0.00,,0.0930,0.0949,,155.76M,157.17M,,,
2001-12,111.61M,111.61M,60.11M,51.50M,,,20.09M,7.124M,,1.326M,,0.961M,,,,,28.54M,22.96M,,,,0.961M,,23.82M,8.576M,15.25M,,,15.25M,14.63M,26.83M,3.872M,22.96M,,0.2222,0.00,,0.2133,0.2222,,0.2178,0.00,,0.2090,0.2178,,69.18M,69.74M,,,
2001-09,110.32M,110.32M,58.28M,52.04M,,,19.84M,6.849M,,1.326M,,-0.761M,,,,,28.01M,24.02M,,,,-0.761M,,23.25M,8.37M,14.88M,,,14.88M,15.37M,27.50M,3.47M,24.02M,,0.2178,0.00,,0.2248,0.2178,,0.2133,0.00,,0.2203,0.2133,,68.98M,69.48M,,,
2001-06,112.94M,112.94M,60.60M,52.33M,,,21.62M,7.615M,,1.297M,,0.842M,,,,,30.54M,21.80M,,,,0.842M,,22.61M,8.14M,14.47M,,,14.47M,13.93M,25.09M,3.296M,21.80M,,0.2089,0.00,,0.2011,0.2089,,0.2089,0.00,,0.2011,0.2089,,68.85M,69.37M,,,
2001-03,115.14M,115.14M,61.12M,54.02M,,,20.63M,6.596M,,1.283M,,0.95M,,,,,28.51M,25.52M,,,,0.95M,,26.45M,9.524M,16.93M,,,16.93M,16.32M,29.36M,3.844M,25.52M,,0.2444,0.00,,0.2356,0.2444,,0.2444,0.00,,0.2357,0.2444,,68.72M,69.28M,,,
2000-12,126.36M,126.36M,66.18M,60.19M,,,22.85M,7.019M,,,,2.486M,,,,,34.80M,25.38M,,,,2.486M,,26.80M,9.651M,17.15M,,,17.15M,15.56M,30.31M,4.93M,25.38M,,0.2533,0.00,,0.2301,0.2533,,0.2489,0.00,,0.2259,0.2489,,68.56M,69.14M,,,
2000-09,128.23M,128.23M,59.50M,68.73M,,,19.73M,6.609M,,,,-1.188M,,,,,32.22M,36.51M,,,,-1.188M,,35.30M,12.71M,22.59M,,,22.59M,23.35M,42.39M,5.883M,36.51M,,0.3289,0.00,,0.3400,0.3289,,0.3244,0.00,,0.3354,0.3244,,68.61M,69.41M,,,
2000-06,130.00M,130.00M,67.68M,62.31M,,,20.97M,7.37M,,1.344M,,-6.597M,,,,5.953M,35.64M,26.68M,,,,-6.597M,,26.02M,9.366M,16.65M,,,16.65M,20.87M,30.67M,3.995M,26.68M,,0.1068,0.00,,0.1337,0.1068,,0.1048,0.00,,0.1314,0.1048,,156.66M,158.66M,,,
2000-03,99.64M,99.64M,47.73M,51.91M,,,18.35M,5.748M,2.527M,0.067M,,-1.406M,,,,,26.69M,25.22M,,,,-1.406M,,23.79M,8.566M,15.23M,,,15.23M,16.13M,27.81M,2.527M,25.22M,,0.0949,0.00,,0.1006,0.0949,,0.0949,0.00,,0.1005,0.0949,,159.12M,161.62M,,,
1999-12,111.10M,111.10M,52.70M,58.40M,,,18.40M,5.80M,,,,-1.60M,,,,,25.90M,32.50M,,,,-1.60M,,30.70M,10.80M,19.90M,,,19.90M,20.94M,34.20M,1.70M,32.50M,,0.2818,,,0.2965,0.2818,,0.2818,,,0.2965,0.2818,,70.62M,70.62M,,,
1999-09,104.00M,104.00M,45.70M,58.30M,,,17.60M,5.20M,,,,-1.90M,,,,,25.20M,33.10M,,,,-1.90M,,31.00M,11.10M,19.90M,,,19.90M,21.12M,35.51M,2.408M,33.10M,,0.1265,0.00,,0.1439,0.1265,,0.1246,0.00,,0.1419,0.1246,,70.39M,70.39M,,,
1999-06,97.32M,97.32M,46.18M,51.15M,,,17.84M,5.461M,,,,1.445M,,,,,25.82M,25.33M,,,,1.445M,,26.76M,9.636M,17.12M,,,17.12M,16.20M,28.52M,3.192M,25.33M,,0.1088,0.00,,0.1029,0.1088,,0.1088,0.00,,0.1029,0.1088,,157.00M,158.21M,,,
1999-03,89.80M,89.80M,45.60M,44.20M,,,17.10M,5.60M,,,,0.40M,,,,,24.40M,19.80M,,,,0.40M,,20.30M,7.60M,12.70M,,,12.70M,12.45M,21.50M,1.70M,19.80M,,0.0811,0.00,,0.0775,0.0811,,0.0811,0.00,,0.0775,0.0811,,69.63M,69.63M,,,
1998-12,83.80M,83.80M,46.30M,37.50M,,,18.50M,5.40M,,,,-7.20M,,,,,28.40M,9.10M,,,,-7.20M,,1.50M,1.80M,-0.30M,,,-0.30M,4.02M,13.60M,4.50M,9.10M,,-0.0043,,,0.0572,-0.0043,,-0.0043,,,0.0572,-0.0043,,70.26M,70.26M,,,
1998-09,88.10M,88.10M,44.60M,43.50M,,,15.50M,5.40M,,,,-0.60M,,,,,22.00M,21.50M,,,,-0.60M,,20.70M,7.50M,13.20M,,,13.20M,13.58M,24.00M,2.50M,21.50M,,0.0910,0.00,,0.0980,0.0910,,0.0910,0.00,,0.0980,0.0910,,54.69M,54.69M,,,
1998-06,87.00M,87.00M,41.00M,46.00M,,,15.70M,4.80M,,,,1.30M,,,,,24.80M,21.20M,,,,1.30M,,22.10M,8.10M,14.00M,,,14.00M,13.18M,25.50M,2.90M,21.20M,,0.0890,0.00,,0.0739,0.0890,,0.0890,0.00,,0.0739,0.0890,,54.67M,54.67M,,,
1998-03,80.80M,80.80M,40.50M,40.30M,,,14.90M,5.80M,,,,2.60M,,,,,22.10M,18.20M,,,,2.60M,,20.80M,7.60M,13.20M,,,13.20M,11.55M,19.60M,1.40M,18.20M,,0.0850,0.00,,0.0548,0.0850,,0.0830,0.00,,0.0529,0.0830,,54.66M,54.66M,,,
1997-12,158.40M,158.40M,85.60M,72.80M,,,30.10M,10.00M,,,,2.60M,,,,,38.90M,33.90M,,,,2.60M,,36.60M,13.20M,23.40M,0.00,,23.40M,21.74M,32.70M,-1.20M,33.90M,,0.4283,0.00,,0.3979,0.4283,,0.4283,0.00,,0.3979,0.4283,,54.63M,54.63M,,,
1997-09,49.90M,49.90M,25.80M,24.10M,,,8.60M,2.80M,,,,1.90M,,,,,10.50M,13.60M,,,,1.90M,,15.50M,5.60M,9.90M,,,9.90M,8.686M,12.70M,-0.90M,13.60M,,0.0811,0.00,,0.0588,0.0811,,0.0811,0.00,,0.0588,0.0811,,54.51M,54.51M,,,
1997-06,47.80M,47.80M,21.90M,25.90M,,,9.00M,2.80M,,,,2.20M,,,,,13.40M,12.50M,,,,2.20M,,14.70M,5.10M,9.60M,-2.40M,,7.20M,8.163M,14.70M,2.20M,12.50M,,0.0791,-0.0198,,0.0527,0.0593,,0.0791,-0.0198,,0.0527,0.0593,,54.51M,54.51M,,,
1997-03,41.00M,41.00M,19.70M,21.30M,,,6.80M,2.40M,,,,7.20M,,,,,10.10M,11.20M,,,,7.20M,,18.40M,6.90M,11.50M,-0.30M,,11.20M,7.00M,12.10M,0.90M,11.20M,,0.0949,-0.0040,,0.0123,0.0910,,0.0949,-0.0040,,0.0123,0.0910,,54.49M,54.49M,,,
1996-12,129.90M,129.90M,71.40M,58.50M,,,19.20M,7.20M,,,,-1.50M,,,,,27.20M,31.30M,,,,-1.50M,,30.00M,12.20M,17.80M,,,15.90M,18.70M,32.10M,0.80M,31.30M,,0.2918,,,0.3083,0.2918,,0.2918,,,0.3083,0.2918,,54.49M,54.49M,,,
1996-09,43.80M,43.80M,21.60M,22.20M,,,7.20M,2.30M,,,,1.60M,,,,,10.20M,12.00M,,,,1.60M,,13.40M,4.70M,8.70M,,,8.70M,7.661M,12.70M,0.10M,12.00M,,0.0712,0.00,,0.0521,0.0712,,0.0712,0.00,,0.0521,0.0712,,54.43M,54.43M,,,
1996-06,38.90M,38.90M,19.80M,19.10M,,,6.90M,2.90M,,,,1.50M,,,,,10.50M,8.60M,,,,1.50M,,10.20M,3.40M,6.80M,-0.50M,,6.30M,5.80M,9.90M,1.30M,8.60M,,0.0554,-0.0040,,0.0370,0.0514,,0.0554,-0.0040,,0.0370,0.0514,,54.39M,54.39M,,,
1996-03,38.40M,38.40M,19.10M,19.30M,,,11.70M,,,,,1.30M,,,,,12.50M,6.80M,,,,1.30M,,7.90M,2.70M,5.20M,,,5.20M,4.344M,7.60M,0.80M,6.80M,,0.0435,0.00,,0.0278,0.0435,,0.0435,0.00,,0.0278,0.0435,,54.39M,54.39M,,,
1995-12,41.20M,41.20M,,,,,,,,,,,,,,,,-74.90M,,,,,,,,7.90M,,,7.90M,7.90M,-74.90M,,-74.90M,,0.1458,,,0.1458,0.1458,,0.1458,,,0.1458,0.1458,,54.18M,54.18M,,,
1995-09,37.50M,37.50M,,,,,,,,,,,,,,,,37.50M,,,,,,,,1.00M,,,1.00M,1.00M,37.50M,,37.50M,,0.0040,0.00,,0.0040,0.0040,,0.0040,0.00,,0.0040,0.0040,,54.13M,54.13M,,,
1995-06,35.50M,35.50M,,,,,,,,,,,,,,,,35.50M,,,,,,,,7.10M,,,7.10M,7.10M,35.50M,,35.50M,,0.0297,0.00,,0.0297,0.0297,,0.0297,0.00,,0.0297,0.0297,,54.13M,54.13M,,,
1995-03,34.40M,34.40M,17.50M,16.90M,,,5.20M,1.70M,,,,1.00M,,,,,7.30M,9.60M,,,,1.00M,,10.40M,3.80M,6.60M,,,6.60M,5.965M,10.00M,0.40M,9.60M,,0.0277,0.00,,0.0160,0.0277,,0.0277,0.00,,0.0160,0.0277,,54.13M,54.13M,,,
1994-12,31.00M,31.00M,15.70M,15.30M,,,6.20M,,,,,0.70M,,,,,6.40M,8.90M,,,,0.70M,,9.50M,3.30M,6.20M,,,6.20M,5.743M,9.10M,0.20M,8.90M,,0.1146,,,0.1062,0.1146,,0.1146,,,0.1062,0.1146,,54.09M,54.09M,,,
1994-09,28.20M,28.20M,13.80M,14.40M,,,5.50M,,,,,0.60M,,,,,5.90M,8.50M,,,,0.60M,,9.10M,3.40M,5.70M,,,5.70M,5.324M,8.90M,0.40M,8.50M,,0.0237,0.00,,0.0168,0.0237,,0.0237,0.00,,0.0168,0.0237,,54.03M,54.03M,,,
1994-06,25.90M,25.90M,13.10M,12.80M,,,5.30M,,,,,0.80M,,,,,5.70M,7.10M,,,,0.80M,,7.80M,2.70M,5.10M,,,5.10M,4.577M,7.50M,0.40M,7.10M,,0.0208,0.00,,0.0111,0.0208,,0.0208,0.00,,0.0111,0.0208,,53.92M,53.92M,,,
1994-03,22.00M,22.00M,11.10M,10.90M,,,4.60M,,,,,0.70M,,,,,5.00M,5.90M,,,,0.70M,,6.40M,2.30M,4.10M,,,4.10M,3.652M,6.30M,0.40M,5.90M,,0.0178,0.00,,0.0095,0.0178,,0.0178,0.00,,0.0095,0.0178,,53.92M,53.92M,,,
1993-12,23.80M,23.80M,11.10M,12.70M,,,5.60M,,,,,0.80M,,,,,5.80M,6.90M,,,,0.80M,,7.50M,2.20M,5.30M,,,5.30M,4.735M,7.10M,0.20M,6.90M,,0.0983,,,0.0878,0.0983,,0.0983,,,0.0878,0.0983,,53.92M,53.92M,,,
1993-09,23.10M,23.10M,11.40M,11.70M,,,4.90M,,,,,1.80M,,,,,5.20M,6.50M,,,,1.80M,,8.20M,3.10M,5.10M,,,5.10M,3.980M,6.80M,0.30M,6.50M,,0.0218,0.00,,0.0010,0.0218,,0.0218,0.00,,0.0010,0.0218,,53.85M,53.85M,,,
1993-06,21.60M,21.60M,10.80M,10.80M,,,4.50M,,,,,0.60M,,,,,4.70M,6.10M,,,,0.60M,,6.70M,2.40M,4.30M,,,4.30M,3.915M,6.30M,0.20M,6.10M,,0.0178,0.00,,0.0107,0.0178,,0.0178,0.00,,0.0107,0.0178,,53.90M,53.90M,,,
1993-03,19.00M,19.00M,9.40M,9.60M,,,3.80M,,,,,0.60M,,,,,4.10M,5.50M,,,,0.60M,,6.00M,2.40M,3.60M,,,3.60M,3.24M,5.80M,0.30M,5.50M,,0.0148,0.00,,0.0081,0.0148,,0.0148,0.00,,0.0081,0.0148,,53.85M,53.85M,,,
1992-12,16.00M,16.00M,7.70M,8.30M,,,4.10M,,,,,0.50M,,,,,4.30M,4.00M,,,,0.50M,,4.30M,1.10M,3.20M,,,3.20M,2.828M,4.20M,0.20M,4.00M,,0.0594,,,0.0525,0.0594,,0.0594,,,0.0525,0.0594,,53.85M,53.85M,,,
1992-09,14.60M,14.60M,7.10M,7.50M,,,3.30M,,,,,0.80M,,,,,3.50M,4.00M,,,,0.80M,,4.80M,1.70M,3.10M,,,3.10M,2.583M,4.20M,0.20M,4.00M,,0.0129,0.00,,0.0033,0.0129,,0.0129,0.00,,0.0033,0.0129,,53.85M,53.85M,,,
1992-06,14.90M,14.90M,7.30M,7.60M,,,3.30M,,,,,0.80M,,,,,3.50M,4.10M,,,,0.80M,,4.90M,1.80M,3.10M,,,3.10M,2.594M,4.30M,0.20M,4.10M,,0.0129,0.00,,0.0035,0.0129,,0.0129,0.00,,0.0035,0.0129,,53.85M,53.85M,,,
1992-03,13.20M,13.20M,6.80M,6.40M,,,2.90M,,,,,0.50M,,,,,3.10M,3.30M,,,,0.50M,,3.70M,1.40M,2.30M,,,2.30M,1.989M,3.50M,0.20M,3.30M,,0.0099,0.00,,0.0041,0.0099,,0.0099,0.00,,0.0041,0.0099,,53.85M,53.85M,,,
1991-12,12.80M,12.80M,6.50M,6.30M,,,2.90M,,,,,0.70M,,,,,3.00M,3.30M,,,,0.70M,,3.80M,1.20M,2.60M,,,2.60M,2.121M,3.40M,0.10M,3.30M,,0.0483,,,0.0394,0.0483,,0.0483,,,0.0394,0.0483,,53.85M,53.85M,,,
1991-09,11.90M,11.90M,6.20M,5.70M,,,2.20M,,,,,0.10M,,,,,2.30M,3.40M,,,,0.10M,,3.50M,1.30M,2.20M,,,2.20M,2.137M,3.50M,0.10M,3.40M,,0.0099,0.00,,0.0087,0.0099,,0.0099,0.00,,0.0087,0.0099,,53.85M,53.85M,,,
1991-06,10.50M,10.50M,,,,,,,,,,,,,,,,10.50M,,,,,,,,1.90M,,,1.90M,,10.50M,,10.50M,,0.0089,0.00,,0.0089,0.0089,,0.0089,0.00,,0.0089,0.0089,,53.85M,53.85M,,,
1991-03,10.40M,10.40M,,,,,,,,,,,,,,,,10.40M,,,,,,,,1.80M,,,1.80M,,10.40M,,10.40M,,0.0079,0.00,,0.0079,0.0079,,0.0079,0.00,,0.0079,0.0079,,53.85M,53.85M,,,
1990-12,11.20M,11.20M,,,,,,,,,,,,,,,,-16.20M,,,,,,,,1.90M,,,1.90M,1.90M,-16.20M,,-16.20M,,0.0353,,,0.0353,0.0353,,0.0353,,,0.0353,0.0353,,53.85M,53.85M,,,
1990-09,9.60M,9.60M,,,,,,,,,,,,,,,,9.60M,,,,,,,,1.70M,,,1.70M,1.70M,9.60M,,9.60M,,0.0079,0.00,,0.0079,0.0079,,0.0079,0.00,,0.0079,0.0079,,53.85M,53.85M,,,
1990-06,9.60M,9.60M,,,,,,,,,,,,,,,,9.60M,,,,,,,,1.70M,,,1.70M,1.70M,9.60M,,9.60M,,0.0079,0.00,,0.0079,0.0079,,0.0079,0.00,,0.0079,0.0079,,53.85M,53.85M,,,
1990-03,7.70M,7.70M,,,,,,,,,,,,,,,,7.70M,,,,,,,,1.30M,,,1.30M,1.30M,7.70M,,7.70M,,0.0059,0.00,,0.0059,0.0059,,0.0059,0.00,,0.0059,0.0059,,53.85M,53.85M,,,
