,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,370.58M,370.58M,666.73M,,666.73M,221.26M,499.66M,246.83M,680.20M,71.38M,2.663M,105.22M,,1.897B,0.00,73.79M,495.91M,494.47M,,1.064B,-575.28M,488.89M,853.26M,134.73M,988.00M,13.82M,132.94M,1.624B,3.520B,,,513.17M,723.03M,1.236B,,,7.181M,,7.181M,,6.804M,6.804M,,1.250B,550.80M,,550.80M,43.31M,43.31M,,,7.24M,2.220B,,2007-12,73.39M,774.37M,,50.37M,-65.10M,-14.73M,1.293B,,2007-12,,
2007-09,71.11M,71.11M,704.73M,,704.73M,229.11M,525.65M,257.61M,729.87M,82.87M,3.73M,99.08M,,1.691B,,,,,,1.033B,-560.50M,472.70M,855.48M,137.23M,992.71M,1.139M,116.71M,1.583B,3.275B,,,412.58M,639.82M,1.052B,,,64.55M,,64.55M,,4.507M,4.507M,,1.121B,552.11M,,552.11M,,,,,,2.108B,,2007-09,73.39M,687.08M,,,,-41.50M,1.167B,,2007-09,,
2007-06,47.96M,47.96M,664.41M,,664.41M,209.07M,486.68M,239.58M,680.96M,65.06M,3.024M,96.88M,,1.558B,,,,,,1.004B,-540.90M,462.93M,852.66M,138.72M,991.38M,0.836M,114.92M,1.570B,3.128B,,,405.05M,518.09M,923.14M,,,130.58M,,130.58M,,5.684M,5.684M,,1.059B,553.58M,,553.58M,,,,,,2.049B,,2007-06,73.39M,632.61M,,,,-63.44M,1.079B,,2007-06,,
2007-03,37.99M,37.99M,579.51M,,579.51M,194.80M,390.84M,251.55M,627.43M,57.45M,2.469M,95.92M,,1.401B,,,,,,973.65M,-522.83M,450.82M,850.38M,140.90M,991.28M,3.197M,114.08M,1.559B,2.960B,,,384.08M,477.56M,861.64M,,,95.71M,,95.71M,,5.053M,5.053M,,962.40M,555.07M,,555.07M,,,,,,1.947B,,2007-03,73.39M,577.97M,,,,-78.96M,1.013B,,2007-03,,
2006-12,67.00M,67.00M,551.82M,,551.82M,167.22M,354.81M,225.16M,547.37M,38.21M,3.457M,95.03M,,1.303B,0.00,69.53M,422.84M,459.56M,,951.92M,-509.03M,442.89M,851.12M,143.36M,994.48M,25.73M,103.25M,1.566B,2.869B,,,412.87M,458.23M,871.10M,,,8.05M,,8.05M,,4.887M,4.887M,,884.04M,556.52M,,556.52M,36.61M,36.61M,,,,1.849B,,2006-12,73.29M,582.77M,,1.69M,-85.06M,-83.37M,1.021B,,2006-12,,
2006-09,48.74M,48.74M,519.06M,,519.06M,139.54M,313.84M,255.77M,489.74M,36.27M,3.68M,113.09M,,1.211B,,,,,,915.30M,-496.33M,418.97M,845.78M,143.99M,989.76M,34.07M,93.94M,1.537B,2.747B,,,339.11M,393.52M,732.62M,,,11.04M,,11.04M,,5.488M,5.488M,,749.15M,643.52M,,643.52M,,,,,,1.799B,,2006-09,72.02M,521.31M,,,,-102.10M,948.16M,,2006-09,,
2006-06,58.25M,58.25M,506.11M,,506.11M,134.47M,269.67M,247.14M,429.41M,37.16M,2.436M,121.60M,,1.155B,,,,,,906.76M,-484.87M,421.89M,844.87M,146.58M,991.45M,17.46M,93.39M,1.524B,2.679B,,,321.14M,354.86M,676.01M,,,10.73M,,10.73M,,5.322M,5.322M,,692.06M,644.88M,,644.88M,,,,,,1.766B,,2006-06,72.02M,493.13M,,,,-100.38M,912.66M,,2006-06,,
2006-03,45.78M,45.78M,481.28M,,481.28M,125.82M,222.19M,234.25M,391.68M,31.94M,2.92M,120.79M,,1.074B,,,,,,863.32M,-462.63M,400.69M,836.98M,144.20M,981.17M,30.32M,95.56M,1.508B,2.582B,,,310.44M,329.18M,639.61M,,,22.83M,,22.83M,,5.246M,5.246M,,667.69M,651.52M,,651.52M,,,,,,1.727B,,2006-03,72.02M,460.06M,,,,-119.11M,855.62M,,2006-03,,
2005-12,92.86M,92.86M,472.95M,,472.95M,126.72M,201.95M,200.42M,416.41M,26.03M,3.628M,97.95M,,1.110B,0.00,63.50M,383.66M,395.17M,,842.32M,-444.70M,397.62M,834.86M,146.25M,981.11M,33.75M,91.34M,1.504B,2.614B,,,316.71M,377.35M,694.06M,,,12.37M,,12.37M,,5.044M,5.044M,,711.48M,652.77M,,652.77M,,,,,,1.760B,,2005-12,72.02M,467.74M,,-37.23M,-88.77M,-126.00M,853.41M,,2005-12,,
2005-09,35.23M,35.23M,424.01M,,424.01M,122.11M,224.40M,222.05M,405.30M,67.80M,2.159M,113.04M,,1.048B,,,,,,848.98M,-451.66M,397.32M,839.67M,146.67M,986.34M,28.78M,110.04M,1.522B,2.570B,,,297.26M,337.80M,635.06M,,,18.84M,,18.84M,,5.217M,5.217M,,659.12M,680.35M,,680.35M,,,,,,1.707B,,2005-09,72.02M,438.31M,,,,-84.25M,862.73M,,2005-09,,
2005-06,41.19M,41.19M,434.04M,,434.04M,122.59M,218.48M,224.94M,403.15M,66.62M,1.736M,108.29M,,1.055B,,,,,,845.58M,-444.03M,401.56M,847.57M,149.58M,997.15M,17.75M,118.21M,1.535B,2.590B,,,289.65M,337.10M,626.74M,,,106.97M,,106.97M,,5.517M,5.517M,,739.23M,584.46M,,584.46M,,,,,,1.719B,,2005-06,72.02M,448.26M,,,,-84.78M,870.25M,,2005-06,,
2005-03,27.72M,27.72M,432.92M,,432.92M,127.43M,233.30M,225.50M,409.56M,65.00M,,85.44M,,1.021B,,,,,,870.47M,-451.51M,418.96M,855.52M,154.06M,1.010B,28.97M,118.96M,1.576B,2.597B,,,289.89M,315.18M,605.07M,,,86.59M,,86.59M,,6.955M,6.955M,,698.61M,630.93M,,630.93M,,,,,,1.737B,,2005-03,72.02M,430.31M,,,,-67.92M,860.22M,,2005-03,,
2004-12,63.76M,63.76M,462.12M,,462.12M,123.15M,197.85M,214.93M,388.40M,54.16M,,81.22M,,1.050B,0.00,66.36M,402.93M,408.49M,,877.78M,-444.98M,432.81M,865.35M,157.89M,1.023B,10.43M,117.88M,1.584B,2.634B,,,316.54M,347.77M,664.31M,,,44.10M,,44.10M,,,,,708.41M,657.75M,,657.75M,,,,,,1.764B,,2004-12,72.02M,434.33M,,,,-60.13M,870.22M,,2004-12,,
2004-09,40.48M,40.48M,500.83M,,500.83M,127.82M,216.25M,246.51M,436.10M,31.47M,,79.24M,,1.088B,,,,,,871.06M,-439.22M,431.83M,872.27M,160.69M,1.033B,20.94M,91.77M,1.578B,2.666B,,,267.67M,312.92M,580.59M,,,70.64M,,70.64M,,,,,651.22M,811.40M,,811.40M,,,,,,1.836B,,2004-09,72.02M,429.91M,,,,-90.70M,830.05M,,2004-09,,
2004-06,24.45M,24.45M,495.36M,,495.36M,123.75M,225.09M,239.56M,431.73M,29.69M,,75.27M,,1.056B,,,,,,867.73M,-430.34M,437.38M,870.88M,162.98M,1.034B,23.78M,93.19M,1.588B,2.645B,,,256.05M,283.41M,539.47M,,,83.69M,,83.69M,,,,,623.16M,831.14M,,831.14M,,,,,,1.822B,,2004-06,72.02M,423.54M,,,,-89.37M,823.14M,,2004-06,,
2004-03,39.67M,39.67M,497.50M,,497.50M,123.16M,246.00M,240.70M,440.21M,29.11M,,81.21M,,1.088B,,,,,,867.22M,-428.90M,438.33M,,1.036B,1.036B,,233.20M,1.708B,2.796B,,,258.58M,286.88M,545.46M,,,78.58M,,78.58M,,20.02M,20.02M,,644.06M,857.69M,,857.69M,,,,,,1.961B,,2004-03,72.02M,453.26M,,,,-105.14M,834.94M,,2004-03,,
2003-12,53.52M,53.52M,505.95M,,505.95M,115.70M,229.05M,230.23M,412.37M,26.09M,,64.58M,,1.063B,0.00,63.12M,392.03M,400.55M,,855.70M,-411.84M,443.86M,,1.041B,1.041B,31.74M,101.34M,1.618B,2.681B,,,250.61M,286.43M,537.05M,,,71.04M,,71.04M,,,,,608.08M,879.77M,,879.77M,,,,,,1.858B,,2003-12,72.02M,410.13M,,,,-74.55M,822.46M,,2003-12,,
2003-09,29.97M,29.97M,442.37M,,442.37M,110.46M,247.19M,229.18M,438.71M,27.40M,,35.42M,,973.88M,,,,,,787.72M,-348.66M,439.06M,,1.034B,1.034B,,107.43M,1.580B,2.554B,,,217.59M,242.85M,460.44M,,,43.53M,,43.53M,,,,,503.97M,938.84M,,938.84M,,,,,,1.738B,,2003-09,72.02M,441.09M,,,,-111.48M,816.21M,,2003-09,,
2003-06,55.88M,55.88M,472.17M,,472.17M,107.27M,249.39M,230.66M,433.66M,30.06M,,36.43M,,1.028B,,,,,,798.41M,-348.66M,449.74M,,1.035B,1.035B,,102.86M,1.588B,2.616B,,,225.00M,245.40M,470.40M,,,32.08M,,32.08M,,,,,502.48M,984.92M,,984.92M,,,,,,1.807B,,2003-06,72.02M,430.49M,,,,-108.37M,808.59M,,2003-06,,
2003-03,38.52M,38.52M,491.80M,,491.80M,108.52M,233.14M,238.74M,435.80M,29.67M,,36.75M,,1.033B,,,,,,806.04M,-348.66M,457.37M,,1.007B,1.007B,,110.37M,1.575B,2.607B,,,220.71M,227.24M,447.95M,,,31.60M,,31.60M,,,,,479.55M,1.046B,,1.046B,,,,,,1.839B,,2003-03,72.02M,417.26M,,,,-134.90M,768.06M,,2003-03,,
2002-12,49.24M,49.24M,490.42M,,490.42M,107.00M,220.84M,246.13M,419.22M,29.54M,,26.07M,,1.014B,0.00,56.47M,369.90M,386.00M,,812.36M,-348.66M,463.70M,,1.019B,1.019B,,119.75M,1.603B,2.617B,,,233.50M,234.26M,467.77M,,,38.61M,,38.61M,,4.935M,4.935M,,511.31M,1.056B,,1.056B,,,,,,1.896B,,2002-12,72.02M,390.08M,,,,-154.65M,721.28M,,2002-12,,
2002-09,32.83M,32.83M,510.33M,,510.33M,133.42M,240.49M,255.48M,485.76M,36.74M,,40.95M,,1.107B,,,,,,770.29M,-295.04M,475.25M,,958.32M,958.32M,,135.00M,1.569B,2.675B,,,205.16M,226.89M,432.06M,,,50.66M,,50.66M,,,,7.088M,489.80M,1.138B,,1.138B,,,,,,1.920B,,2002-09,72.02M,392.43M,,,,-120.93M,754.92M,,2002-09,,
2002-06,81.52M,81.52M,557.99M,,557.99M,132.46M,231.94M,277.10M,486.86M,42.64M,,31.00M,,1.200B,,,,,,803.98M,-295.04M,508.94M,,918.48M,918.48M,,144.22M,1.572B,2.772B,,,215.60M,210.93M,426.53M,,,73.42M,,73.42M,,12.60M,12.60M,,512.55M,1.205B,,1.205B,,,,,,2.011B,,2002-06,72.02M,383.08M,,,,-106.37M,760.81M,,2002-06,,
2002-03,18.64M,18.64M,436.30M,,436.30M,67.84M,179.25M,252.22M,354.67M,31.64M,,35.16M,,876.41M,,,,,,650.31M,-295.04M,355.26M,,643.57M,643.57M,,152.28M,1.151B,2.028B,,,193.80M,176.94M,370.74M,,,49.96M,,49.96M,,,,3.715M,424.42M,953.10M,,953.10M,,,,,,1.605B,,2002-03,60.52M,368.74M,,,,-147.88M,422.11M,,2002-03,,
2001-12,21.53M,21.53M,455.86M,,455.86M,62.82M,146.49M,258.86M,347.59M,36.84M,,36.32M,,898.14M,0.00,46.66M,344.68M,266.09M,,657.43M,-295.04M,362.39M,,646.25M,646.25M,61.20M,83.99M,1.154B,2.052B,,,178.48M,193.77M,372.25M,,,44.52M,,44.52M,,,,,416.77M,996.22M,,996.22M,,,,,,1.641B,,2001-12,60.52M,356.00M,,,,-133.89M,411.02M,,2001-12,,
2001-09,24.86M,24.86M,469.16M,,469.16M,61.09M,374.63M,,343.24M,26.83M,,41.41M,,905.50M,,,,,,610.21M,-245.44M,364.77M,537.00M,133.09M,670.09M,,158.18M,1.193B,2.099B,,,157.17M,197.26M,354.44M,36.61M,,36.61M,,36.61M,,,,,391.05M,1.159B,,1.159B,,,,,,1.809B,,2001-09,51.86M,357.39M,,,,-101.76M,289.58M,,2001-09,,
2001-06,17.15M,17.15M,454.83M,,454.83M,53.74M,360.63M,,341.59M,25.58M,,42.55M,,881.70M,,,,,,626.37M,-245.44M,380.92M,,643.78M,643.78M,,161.88M,1.187B,2.068B,,,175.32M,209.52M,384.84M,,,28.67M,,28.67M,,,,,413.51M,1.151B,,1.151B,,,,,,1.819B,,2001-06,51.86M,351.56M,,,,-134.06M,249.73M,,2001-06,,
2001-03,18.62M,18.62M,449.72M,,449.72M,54.36M,337.30M,,314.47M,20.98M,,42.01M,,845.79M,,,,,,631.45M,-245.44M,386.01M,,646.06M,646.06M,,160.16M,1.192B,2.038B,,,166.62M,194.54M,361.16M,,,27.02M,,27.02M,,,,,388.18M,1.141B,,1.141B,,,,,,1.783B,,2001-03,51.86M,348.96M,,,,-119.50M,254.74M,,2001-03,,
2000-12,42.34M,42.34M,,,487.27M,,,,305.96M,,,,62.48M,898.05M,,,,,,650.86M,-245.44M,405.41M,,645.77M,645.77M,,160.91M,1.212B,2.110B,,,172.37M,,172.37M,,,18.10M,,18.10M,,,,243.55M,434.02M,1.111B,,1.111B,,,,,,1.805B,,2000-12,51.86M,357.50M,,,,-77.68M,304.91M,,2000-12,,
2000-09,56.82M,56.82M,,,419.03M,,,,327.13M,,,,56.11M,859.09M,,,,,,716.47M,-310.18M,406.28M,,646.67M,646.67M,,134.23M,1.187B,2.046B,,,142.05M,,142.05M,,,12.30M,,12.30M,,,,242.61M,396.96M,1.121B,,1.121B,,,,,,1.767B,,2000-09,51.86M,355.75M,,,,-102.15M,279.22M,,2000-09,,
2000-06,14.50M,14.50M,,,246.33M,,,,210.62M,,,,37.09M,508.54M,,,,,,531.40M,-310.06M,221.34M,,151.35M,151.35M,,80.85M,453.54M,962.08M,,,76.80M,,76.80M,,,0.575M,,0.575M,,,,105.86M,183.24M,315.35M,,315.35M,,,,,,645.55M,,2000-06,51.86M,368.75M,,,,-78.55M,316.53M,,2000-06,,
2000-03,23.94M,23.94M,,,233.36M,,,,208.48M,,,,42.70M,508.48M,,,,,,533.39M,-309.94M,223.45M,,149.72M,149.72M,,83.37M,456.54M,965.01M,,,78.96M,,78.96M,,,2.947M,,2.947M,,,,108.80M,190.71M,322.27M,,322.27M,,,,,,653.92M,,2000-03,51.86M,356.14M,,,,-71.60M,311.09M,,2000-03,,
1999-12,30.50M,30.50M,,,213.60M,,,,168.40M,,,,41.30M,453.80M,,,,,,499.20M,-289.20M,210.00M,,96.40M,96.40M,,78.00M,384.40M,838.20M,,,72.10M,,72.10M,,,3.80M,,3.80M,,,,119.80M,195.70M,198.00M,,198.00M,,,,,,529.90M,,1999-12,51.90M,344.30M,,,,-62.40M,308.30M,,1999-12,,
1999-09,17.90M,17.90M,,,231.60M,,,,183.50M,,,,25.20M,458.20M,,,,,,508.40M,-293.70M,214.70M,,97.70M,97.70M,,61.20M,373.60M,831.80M,,,73.90M,,73.90M,,,3.60M,,3.60M,,,,101.90M,179.40M,212.80M,,212.80M,,,,,,493.40M,,1999-09,51.90M,361.10M,,,,-49.30M,338.40M,,1999-09,,
1999-06,14.70M,14.70M,,,232.70M,,,,184.10M,,,,27.00M,458.50M,,,,,,497.80M,-285.60M,212.20M,,89.40M,89.40M,,84.90M,386.50M,845.00M,,,71.10M,,71.10M,,,14.70M,,14.70M,,,,105.10M,190.90M,192.90M,,192.90M,,,,,,499.70M,,1999-06,,361.60M,,,,,345.30M,,1999-06,,
1999-03,11.30M,11.30M,,,242.50M,,,,194.80M,,,,29.00M,477.60M,,,,,,496.50M,-283.60M,212.90M,,90.60M,90.60M,,82.70M,386.20M,863.80M,,,70.60M,,70.60M,,,16.50M,,16.50M,,,,116.80M,203.90M,195.10M,,195.10M,,,,,,517.80M,,1999-03,,358.40M,,,,,346.00M,,1999-03,,
1998-12,24.90M,24.90M,,,234.20M,,,,199.30M,,,,28.90M,487.30M,,,,,,488.10M,-279.10M,209.00M,,91.40M,91.40M,,82.50M,382.90M,870.20M,,,76.70M,,76.70M,,,17.90M,,17.90M,,,,124.50M,219.10M,186.30M,,186.30M,,,,,,525.40M,,1998-12,51.90M,353.20M,,,,-40.60M,344.80M,,1998-12,,
1998-09,20.80M,20.80M,,,230.90M,,,,204.70M,,,,35.40M,491.80M,,,,,,470.60M,-265.50M,205.10M,,87.70M,87.70M,,77.60M,370.40M,862.20M,,,66.50M,,66.50M,,,18.20M,,18.20M,,,,123.20M,207.90M,189.40M,,189.40M,,,,,,512.20M,,1998-09,,351.50M,,,,,350.00M,,1998-09,,
1998-06,20.80M,20.80M,,,221.40M,,,,196.50M,,,,34.00M,472.70M,,,,,,473.80M,-265.50M,208.30M,,80.50M,80.50M,,81.00M,369.80M,842.50M,,,62.70M,,62.70M,,,16.00M,,16.00M,,,,112.40M,191.10M,158.20M,,158.20M,,,,,,471.20M,,1998-06,,340.80M,,,,,371.30M,,1998-06,,
1998-03,40.00M,40.00M,,,225.50M,,,,195.00M,,,,33.60M,494.10M,,,,,,466.80M,-257.10M,209.70M,,77.10M,77.10M,,82.70M,369.50M,863.60M,,,66.20M,,66.20M,,,24.60M,,24.60M,,,,122.30M,213.10M,125.20M,,125.20M,,,,,,460.00M,,1998-03,,334.10M,,,,,403.60M,,1998-03,,
