,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-03,447.05M,447.05M,305.02M,142.04M,100.16M,,,-0.464M,,,,,100.16M,41.88M,,,,-0.464M,,19.60M,6.859M,12.74M,,,,56.28M,14.40M,41.88M,,2002-03,,,0.0955,0.0933,,0.00,,,,2002-03,136.47M,136.47M,0.00,,2002-03,,
2001-12,539.11M,539.11M,381.14M,157.98M,106.66M,,,-35.59M,,,,13.20M,119.87M,38.11M,,,,-35.59M,,-10.91M,-0.53M,-10.38M,,,,62.99M,24.88M,38.11M,,2001-12,,,0.1620,-0.1357,,,,,,2001-12,113.74M,115.40M,0.00,,2001-12,,
2001-09,469.60M,469.60M,317.29M,152.31M,101.00M,,,-13.88M,,,,13.76M,114.76M,37.56M,,,,-13.88M,,9.114M,3.281M,5.833M,,,,55.93M,18.37M,37.56M,,2001-09,,,0.1261,0.05,,0.00,,,,2001-09,116.66M,116.66M,0.00,,2001-09,,
2001-06,464.58M,464.58M,308.90M,155.68M,103.57M,,,-16.68M,,,,16.94M,120.52M,35.16M,,,,-16.68M,,4.066M,1.464M,2.602M,,,,53.60M,18.44M,35.16M,,2001-06,,,0.1168,0.0233,,0.00,,,,2001-06,114.17M,116.39M,0.00,,2001-06,,
2001-03,444.04M,444.04M,306.46M,137.57M,100.10M,,,-19.00M,,,,19.14M,119.24M,18.33M,,,,-19.00M,,-13.34M,-4.805M,-8.54M,,,,37.23M,18.90M,18.33M,,2001-03,,,0.0328,-0.0733,,0.00,,,,2001-03,114.56M,114.56M,0.00,,2001-03,,
2000-12,541.73M,541.73M,344.70M,197.03M,103.43M,6.442M,,-27.70M,,,,,132.50M,64.53M,,,,-27.70M,,2.818M,1.075M,1.743M,,,,87.16M,22.63M,64.53M,,2000-12,,0.0000,0.1673,0.0167,,,,0.00,,2000-12,113.73M,113.73M,0.00,,2000-12,,
2000-09,412.10M,412.10M,267.95M,144.16M,89.86M,6.004M,,-27.87M,,,,,109.90M,34.26M,,,,-27.87M,,-17.04M,-6.103M,-10.93M,,,,48.29M,14.03M,34.26M,,2000-09,,-0.0182,0.0610,-0.1133,,-0.0167,,-0.0182,,2000-09,113.47M,113.47M,0.00,,2000-09,,
2000-06,299.15M,299.15M,186.23M,112.92M,70.59M,6.198M,,-0.056M,,,,,86.55M,26.38M,,,,-0.056M,,19.26M,6.647M,12.62M,,,,36.14M,9.761M,26.38M,,2000-06,,,0.1103,0.11,,0.00,,,,2000-06,113.43M,113.43M,0.00,,2000-06,,
2000-03,285.31M,285.31M,175.46M,109.84M,71.63M,6.155M,,3.217M,,,,,88.40M,21.45M,,,,3.217M,,18.14M,6.258M,11.88M,,,,32.06M,10.62M,21.45M,,2000-03,,,0.0848,0.1033,,0.00,,,,2000-03,113.43M,113.43M,0.00,,2000-03,,
1999-12,262.70M,262.70M,165.60M,97.10M,72.90M,6.50M,,-18.30M,,,,,92.10M,5.00M,,,,-18.30M,,-17.60M,-6.10M,-11.50M,,,,17.70M,12.70M,5.00M,,1999-12,,,0.0019,-0.1033,,0.00,,,,1999-12,113.68M,113.68M,0.0467,,1999-12,,
1999-09,254.00M,254.00M,160.00M,94.00M,69.70M,5.90M,,-1.40M,,,,,81.30M,12.70M,,,,-1.40M,,7.40M,2.50M,4.90M,,,,18.40M,5.70M,12.70M,,1999-09,,,0.0515,0.0433,,0.00,,,,1999-09,113.22M,113.22M,0.0467,,1999-09,,
1999-06,275.30M,275.30M,170.50M,104.80M,66.20M,6.30M,,-4.40M,,,,,83.30M,21.50M,,,,-4.40M,,12.90M,4.40M,8.50M,,,,32.30M,10.80M,21.50M,,1999-06,,,0.0983,0.0733,,0.00,,,,1999-06,115.91M,115.91M,0.0467,,1999-06,,
1999-03,269.39M,269.39M,162.20M,107.19M,67.30M,6.90M,,-3.70M,,,,,84.60M,22.59M,,,,-3.70M,,15.80M,5.40M,10.40M,,,,32.99M,10.40M,22.59M,,1999-03,,,0.1152,0.0933,,0.00,,,,1999-03,111.43M,111.43M,0.0467,,1999-03,,
1998-12,279.30M,279.30M,157.60M,121.70M,71.00M,7.50M,,-15.80M,,,,,91.60M,30.10M,,,,-15.80M,,10.90M,3.70M,7.20M,,0.00,,43.20M,13.10M,30.10M,,1998-12,0.00,,0.1579,0.0667,,0.00,0.0001,,,1998-12,114.41M,121.46M,0.0467,,1998-12,,
1998-09,264.80M,264.80M,159.60M,105.20M,63.10M,6.40M,,-4.00M,,,,,75.10M,30.10M,,,,-4.00M,,22.90M,8.00M,14.90M,,1.20M,,35.70M,5.60M,30.10M,,1998-09,0.00,,0.1449,0.1333,,0.01,0.0099,,,1998-09,120.75M,120.75M,0.0467,,1998-09,,
1998-06,280.70M,280.70M,163.90M,116.80M,67.30M,5.10M,,-10.80M,,,,,83.20M,33.60M,,,,-10.80M,,19.20M,6.70M,12.50M,,,,44.40M,10.80M,33.60M,,1998-06,,,0.1615,0.1033,,0.00,,,,1998-06,120.97M,120.97M,0.0467,,1998-06,,
