,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-12,234.00M,,,,,100.00M,,160.00M,42.00M,,,,,,,109.00M,5.00M,-189.00M,-221.00M,,218.00M,-385.00M,,-356.00M,-202.00M,,197.00M,-361.00M,,,-227.00M,424.00M,-1.00M,423.00M,,,,,,-27.00M,0.00,169.00M,411.00M,26.00M,,409.00M,424.00M,,,-1.00M,21.00M,80.00M
2003-09,211.00M,,,,,78.00M,,158.00M,-50.00M,,,,,,,12.00M,16.00M,-260.00M,-232.00M,,165.00M,-223.00M,,-223.00M,134.00M,,-157.00M,-246.00M,,,187.00M,31.00M,0.00,31.00M,,,,,,-51.00M,0.00,167.00M,325.00M,86.00M,,411.00M,31.00M,,,0.00,3.00M,80.00M
2003-06,116.00M,,,,,13.00M,,149.00M,-78.00M,,,,,,,-42.00M,6.00M,-50.00M,-86.00M,,114.00M,-248.00M,,-248.00M,-54.00M,,-67.00M,-369.00M,,,-197.00M,31.00M,-3.00M,28.00M,,,,,,-52.00M,-2.00M,-223.00M,803.00M,-478.00M,,325.00M,31.00M,,,-3.00M,74.00M,62.00M
2003-03,88.00M,,,,,55.00M,,148.00M,-32.00M,,,,,,,-6.00M,6.00M,385.00M,385.00M,,644.00M,-193.00M,,-193.00M,-80.00M,,1.00M,-272.00M,,,18.00M,19.00M,-3.00M,16.00M,,,,,,-52.00M,-6.00M,-24.00M,455.00M,348.00M,,803.00M,19.00M,,,-3.00M,20.00M,74.00M
2002-12,148.00M,,,,,2.00M,,149.00M,-70.00M,,,,,,,391.00M,-18.00M,58.00M,196.00M,,425.00M,-412.00M,,-412.00M,-429.00M,,306.00M,-535.00M,,,195.00M,1.00M,0.00,1.00M,,,,,,-51.00M,0.00,145.00M,420.00M,35.00M,,455.00M,1.00M,,,0.00,93.00M,69.00M
2002-09,150.00M,,,,,86.00M,,147.00M,32.00M,,,,,,,-7.00M,47.00M,-194.00M,-154.00M,,261.00M,-243.00M,,-243.00M,,,-191.00M,-434.00M,,,134.00M,1.00M,-12.00M,-11.00M,,,,,,-52.00M,0.00,71.00M,522.00M,-102.00M,,420.00M,1.00M,,,-12.00M,23.00M,69.00M
2002-06,147.00M,,,,,-88.00M,,152.00M,-57.00M,,,,,,,77.00M,23.00M,323.00M,423.00M,,577.00M,-316.00M,,-316.00M,46.00M,,-202.00M,-472.00M,,,-260.00M,7.00M,-1.00M,6.00M,,,,,,-51.00M,-18.00M,-323.00M,740.00M,-218.00M,,522.00M,7.00M,,,-1.00M,24.00M,64.00M
2002-03,146.00M,,,,,67.00M,,148.00M,3.00M,,,,,,,,,-187.00M,-187.00M,,177.00M,-243.00M,,-243.00M,-46.00M,,2.00M,-287.00M,,,295.00M,4.00M,-3.00M,1.00M,,,,,,-51.00M,,245.00M,605.00M,135.00M,,740.00M,4.00M,,,-3.00M,,77.00M
2001-12,108.00M,,,,,-143.00M,,151.00M,5.00M,,,,,,,-173.00M,37.00M,125.00M,73.00M,,194.00M,-395.00M,76.00M,-319.00M,,,-12.00M,-442.00M,,,-45.00M,,,,,,,,,-51.00M,-36.00M,-92.00M,945.00M,-340.00M,,605.00M,,,,,93.00M,56.00M
2001-09,95.00M,,,,,21.00M,,147.00M,101.00M,,,,,,,-4.00M,26.00M,-79.00M,-57.00M,,307.00M,-295.00M,1.00M,-294.00M,,,-32.00M,-326.00M,,,-582.00M,,,,,,,,,-51.00M,9.00M,-624.00M,1.588B,-643.00M,,945.00M,,,,,9.00M,77.00M
