,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2005-03,177.35M,156.72M,,,18.54M,18.54M,,,-17.55M,-99.14M,,,,140.21M,99.14M,57.58M,,,,-16.25M,,,,16.48M,30.28M,1.783M,46.77M,26.23M,97.11M,39.53M,2005-03,0.36,0.72,0.00,,,2005-03,0.34,,0.5653,1.04,,2005-03,41.57M,43.26M,0.44,,2005-03,AOR,Restated
2004-12,74.30M,85.53M,,,,,,,,,,,,,,364.34M,,,,,,,,7.764M,50.17M,1.782M,57.93M,7.764M,399.35M,35.00M,2004-12,0.14,1.22,,,,2004-12,0.14,,0.14,1.32,,2004-12,41.00M,42.51M,0.425,,2004-12,AOR,Restated
2004-09,171.17M,167.79M,,,15.66M,15.66M,,,-36.91M,-96.45M,,,,137.75M,96.45M,71.34M,,,,-36.91M,,,,18.54M,13.51M,1.783M,32.05M,40.69M,110.83M,32.26M,2004-09,0.42,0.32,,,,2004-09,0.38,,0.8987,0.70,,2004-09,41.10M,42.70M,0.425,,2004-09,AOR,Restated
2004-06,157.42M,156.00M,,,14.73M,14.73M,,,-32.29M,-92.59M,,,,135.94M,95.82M,60.17M,,,,-32.29M,,,,12.49M,6.42M,1.783M,18.91M,31.86M,103.02M,42.85M,2004-06,0.26,0.16,,,,2004-06,0.24,,0.6984,0.40,,2004-06,41.04M,42.27M,0.425,,2004-06,AOR,Restated
2004-03,160.83M,157.64M,,,14.57M,14.57M,,,-35.83M,-93.11M,,,,134.39M,93.11M,64.53M,,,,-35.83M,,,,14.47M,2.109M,1.783M,16.58M,35.97M,101.78M,37.26M,2004-03,0.30,0.06,,,,2004-03,0.30,,0.8066,0.34,,2004-03,40.85M,42.43M,0.425,,2004-03,AOR,Restated
2003-12,27.16M,47.46M,,,12.90M,12.90M,,,,,,,,,-205.50M,252.97M,,,,,,,,1.089M,27.19M,6.624M,28.28M,1.089M,295.09M,42.12M,2003-12,-0.04,0.66,,,,2003-12,-0.04,,-0.04,0.60,,2003-12,40.54M,41.27M,0.415,,2003-12,AOR,Restated
2003-09,154.92M,147.39M,,,10.82M,10.82M,,,6.877M,-83.69M,,,,122.82M,83.69M,63.71M,,,,6.877M,,,,15.88M,9.807M,1.47M,25.69M,11.75M,97.44M,31.35M,2003-09,0.26,0.24,,,,2003-09,0.26,,0.1602,0.50,,2003-09,40.55M,41.36M,0.415,,2003-09,AOR,Restated
2003-06,151.99M,148.99M,,,12.12M,12.12M,,,,-88.32M,,,,126.38M,88.32M,60.66M,,,,,,,,12.20M,5.921M,2.195M,18.13M,12.20M,98.81M,37.07M,2003-06,0.24,0.16,,,,2003-06,0.24,,0.24,0.38,,2003-06,40.51M,41.23M,0.415,,2003-06,AOR,Restated
2003-03,160.94M,150.88M,,,12.19M,12.19M,,,1.235M,-86.28M,,,,125.93M,86.28M,64.61M,,,,8.664M,,,,23.41M,35.97M,2.123M,59.38M,18.21M,99.04M,34.43M,2003-03,0.52,0.90,,,,2003-03,0.52,,0.394,1.38,,2003-03,40.55M,41.26M,0.415,,2003-03,AOR,Restated
2002-12,139.23M,-1.864M,,,13.00M,13.00M,,,,-76.40M,,,,,-516.86M,515.00M,,,,5.723M,,,,-32.09M,24.57M,1.711M,38.01M,9.291M,559.74M,44.74M,2002-12,0.0999,0.2996,,,,2002-12,-0.22,,-0.2619,-0.38,,2002-12,82.03M,82.03M,0.41,,2002-12,AOR,Restated
2002-09,165.60M,164.98M,,,12.38M,12.38M,,,,-86.78M,,,,127.44M,86.78M,78.20M,,,,0.618M,,,,39.54M,4.274M,2.123M,27.07M,22.61M,111.95M,32.20M,2002-09,0.48,0.10,0.00,-0.0021,,2002-09,0.48,-0.0021,0.4713,0.60,,2002-09,41.86M,42.76M,0.41,,2002-09,AOR,
2002-06,149.97M,149.97M,,,10.76M,10.76M,,,,-74.40M,,,,,-63.64M,213.61M,,,,2.768M,,,,23.82M,5.03M,2.125M,28.85M,22.16M,246.92M,33.31M,2002-06,0.52,0.12,,,,2002-06,0.50,,0.4612,0.64,,2002-06,41.86M,42.76M,0.41,,2002-06,AOR,
2002-03,148.41M,148.41M,,,10.14M,10.14M,,,,-72.47M,,,,,-62.34M,210.75M,,,,-0.288M,,,,25.32M,4.988M,2.125M,30.30M,25.49M,240.42M,29.68M,2002-03,0.56,0.12,,,,2002-03,0.54,,0.5441,0.66,,2002-03,41.66M,42.39M,0.41,,2002-03,AOR,
2001-12,591.18M,4.161M,,,9.64M,9.64M,,,,,,,,,-495.33M,499.50M,,,,-6.904M,,,,-1.737M,,6.525M,30.25M,-1.737M,514.82M,15.33M,2001-12,-0.26,0.76,,,,2001-12,-0.26,,-0.26,0.48,,2001-12,42.07M,42.55M,0.395,,2001-12,AOR,Restated
2001-09,2.34M,155.46M,,,8.796M,8.796M,,,8.773M,,,,,35.35M,83.11M,72.35M,,,,8.773M,,,,31.49M,,2.125M,31.58M,26.23M,111.31M,38.96M,2001-09,0.70,0.00,0.00,,,2001-09,0.68,,0.5571,0.68,,2001-09,42.20M,42.82M,0.395,,2001-09,AOR,
2001-06,1.544M,146.03M,,,9.201M,9.201M,,,,,,,,49.74M,86.27M,59.76M,,,,,,,,30.37M,,2.125M,29.93M,30.37M,87.08M,27.32M,2001-06,0.66,0.00,0.00,,,2001-06,0.66,,0.66,0.66,,2001-06,42.23M,42.69M,0.395,,2001-06,AOR,
2001-03,2.42M,144.83M,,,8.183M,8.183M,,,,,,,,37.58M,72.61M,72.22M,,,,,,,,42.32M,,2.125M,44.44M,44.44M,99.08M,26.85M,2001-03,1.00,0.00,,,,2001-03,1.00,,1.00,1.00,,2001-03,41.95M,42.36M,0.395,,2001-03,AOR,
2000-12,96.85M,70.00M,,,6.428M,6.428M,,,,-49.71M,,,,,-345.79M,415.79M,,,,-11.30M,,,,6.194M,,2.125M,25.88M,9.240M,440.85M,25.07M,2000-12,0.08,0.48,,,,2000-12,0.08,,0.1523,0.56,,2000-12,41.97M,42.12M,0.37,,2000-12,AOR,Restated
2000-09,127.19M,121.37M,,,5.987M,5.987M,,,5.815M,-56.69M,,,,84.09M,56.69M,64.68M,,,,11.63M,,,,34.85M,,2.125M,34.85M,27.87M,87.99M,23.31M,2000-09,0.78,0.00,0.00,,,2000-09,0.78,,0.6153,0.78,,2000-09,42.06M,42.36M,0.37,,2000-09,AOR,
2000-06,113.90M,113.48M,,,5.984M,5.984M,,,0.416M,-53.70M,,,,78.79M,53.70M,59.78M,,,,0.832M,,,,30.01M,,2.125M,30.01M,29.51M,82.41M,22.63M,2000-06,0.66,0.00,0.00,,,2000-06,0.66,,0.6481,0.66,,2000-06,41.92M,42.06M,0.37,,2000-06,AOR,
2000-03,110.31M,110.32M,,,5.351M,5.351M,,,,-49.52M,,,,74.49M,49.52M,60.81M,,,,-0.011M,,,,28.92M,,2.125M,31.04M,31.05M,80.00M,19.19M,2000-03,0.68,0.00,,,,2000-03,0.68,,0.6802,0.68,,2000-03,41.92M,41.93M,0.37,,2000-03,AOR,
1999-12,78.40M,42.96M,,,,,,,,-49.60M,,,,,-24.40M,67.36M,,,,,,,,38.35M,,2.10M,52.20M,40.85M,67.36M,,1999-12,0.84,0.32,,0.0379,,1999-12,0.84,0.0379,0.84,1.16,,1999-12,43.14M,43.19M,0.35,,1999-12,AOR,Restated
1999-09,133.30M,133.30M,,,,,,,,-48.60M,,,,,-48.60M,181.90M,,,,,,,,53.90M,,2.10M,52.60M,53.90M,181.90M,,1999-09,1.20,-0.04,,-0.0300,,1999-09,1.20,-0.0300,1.20,1.16,,1999-09,43.27M,43.32M,0.35,,1999-09,,
1999-06,126.90M,126.90M,,,4.30M,4.30M,,,,-50.30M,,,,,-46.00M,172.90M,,,,11.50M,,,,44.80M,,2.10M,44.80M,37.90M,187.40M,14.50M,1999-06,1.00,-0.04,,,,1999-06,1.00,,0.8404,0.96,,1999-06,43.14M,43.23M,0.35,,1999-06,,
1999-03,109.57M,109.57M,,,4.072M,4.072M,,,,-52.03M,,,,,-47.96M,157.53M,,,,,,,,28.01M,,2.125M,28.01M,28.01M,175.23M,17.70M,1999-03,0.60,0.00,,,,1999-03,0.60,,0.60,0.60,,1999-03,43.00M,43.01M,0.35,,1999-03,,
1998-12,104.04M,104.03M,,,10.89M,10.89M,,,,-49.12M,,,,,273.16M,-169.13M,,,,,,,,27.84M,,2.125M,27.84M,27.84M,-149.98M,19.15M,1998-12,0.60,0.00,,,,1998-12,0.58,,0.58,0.58,,1998-12,42.94M,43.09M,0.3425,,1998-12,AOR,Restated
1998-09,94.06M,94.06M,,,2.832M,2.832M,,,,-42.72M,,,,,-39.88M,133.94M,,,,,,,,28.87M,,1.514M,28.87M,28.87M,148.23M,14.28M,1998-09,0.64,0.00,,,,1998-09,0.64,,0.64,0.64,,1998-09,42.94M,43.13M,0.3425,,1998-09,,
1998-06,85.01M,85.01M,,,3.144M,3.144M,,,,-38.91M,,,,,-35.77M,120.78M,,,,,,,,27.98M,,,27.98M,27.98M,133.69M,12.91M,1998-06,0.66,0.00,,,,1998-06,0.64,,0.64,0.64,,1998-06,42.94M,43.13M,0.3425,,1998-06,,
