,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,,SECFilingLinks,AsOriginallyReported,Restated
2010-03,153.39M,,153.39M,142.39M,,,142.39M,,21.95M,,317.73M,0.00,1.964B,4.624B,,192.70M,6.781B,-1.157B,5.624B,,,,606.84M,,,22.35M,338.60M,6.592B,6.909B,,46.23M,,292.39M,292.39M,,,,,,,,292.39M,3.314B,,3.314B,,,,351.48M,,52.26M,3.366B,2010-03,224.91M,-33.11M,2.705B,223.41M,,2010-03,AOR,Restated
2009-12,187.17M,,187.17M,155.96M,,,155.96M,,18.91M,,362.04M,,,,,,,,,,,,6.271B,,,24.88M,183.63M,6.480B,6.842B,,46.04M,,284.76M,284.76M,,,,,,,,284.76M,3.213B,,3.213B,,,,351.30M,,53.28M,3.266B,2009-12,224.90M,-29.01M,2.740B,223.41M,,2009-12,AOR,Restated
2009-09,174.65M,,174.65M,135.16M,,,135.16M,,26.04M,,354.48M,,,,,,,,,,,,6.330B,,,,188.67M,6.519B,6.873B,,45.20M,,298.51M,298.51M,,,,,,,,298.51M,3.172B,,3.172B,,,,425.14M,,52.58M,3.225B,2009-09,224.87M,-14.87M,2.700B,223.41M,,2009-09,AOR,Restated
2009-06,185.91M,,185.91M,142.29M,,,142.29M,,23.44M,,370.68M,,,,,,,,,,,,6.328B,,,,186.71M,6.515B,6.885B,,45.20M,,300.21M,300.21M,,,,,,,,300.21M,3.242B,,3.242B,,,,420.61M,,50.84M,3.293B,2009-06,224.87M,-78.06M,2.735B,223.41M,,2009-06,AOR,Restated
2009-03,263.00M,,263.00M,145.27M,,,145.27M,,19.30M,,427.56M,0.00,1.736B,3.562B,,652.26M,5.950B,-986.54M,4.963B,,,,432.50M,,,21.16M,1.068B,6.485B,6.913B,,45.30M,,325.97M,325.97M,,,,,,,,325.97M,3.233B,,3.233B,,,,420.25M,,48.94M,3.282B,2009-03,224.87M,-95.48M,2.771B,223.41M,,2009-03,AOR,Restated
2008-12,223.94M,,223.94M,160.53M,,,160.53M,,27.30M,,437.04M,,,,,,,,,,,,6.673B,,,,191.15M,6.865B,7.302B,,3.395M,,286.17M,286.17M,,,,,,,,286.17M,3.990B,,3.990B,,,,451.10M,,59.09M,4.049B,2008-12,224.39M,29.80M,2.239B,223.41M,,2008-12,AOR,Restated
2008-09,285.93M,,285.93M,163.12M,,,163.12M,,23.62M,,494.33M,,,,,,,,,,,,6.596B,,,,227.73M,6.823B,7.318B,,56.38M,,353.56M,353.56M,,,,,,,,353.56M,3.758B,,3.758B,,,,452.26M,,57.49M,3.816B,2008-09,224.39M,228.23M,2.233B,223.41M,,2008-09,AOR,Restated
2008-06,339.76M,,339.76M,209.93M,,,209.93M,,38.77M,,612.20M,,,,,,,,,,,,7.108B,,,,206.29M,7.315B,7.927B,,56.31M,,326.96M,326.96M,,,,,,,,326.96M,4.120B,,4.120B,,,,710.48M,,57.08M,4.177B,2008-06,224.39M,255.07M,2.202B,223.41M,,2008-06,AOR,Restated
2008-03,256.62M,366.38M,623.00M,181.91M,,,181.91M,,65.87M,,870.78M,,,,,,7.854B,-941.41M,6.913B,,,,,,,,,6.913B,7.689B,,56.28M,,275.57M,275.57M,,,,,,,,275.57M,3.986B,,3.986B,,,,690.27M,,,3.986B,2008-03,224.39M,232.86M,2.196B,223.41M,,2008-03,AOR,Restated
2007-12,220.22M,,220.22M,184.27M,,,184.27M,,30.19M,,458.00M,,,,,,,,,,,,6.678B,,,,126.50M,6.804B,7.262B,,54.91M,,265.35M,265.35M,,,,,,,,265.35M,3.495B,,3.495B,,,,697.41M,,40.84M,3.536B,2007-12,224.40M,244.69M,2.284B,223.41M,,2007-12,AOR,Restated
