,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2003-06,6.90M,,,1.50M,,,8.50M,8.50M,,,-5.30M,,,,,,11.60M,,-10.80M,,-10.80M,,,,2.60M,-8.20M,,,,5.20M,,,,,-2.90M,,,2.30M,,37.10M,5.70M,1.50M,44.30M,,,,,,,,
2003-03,3.80M,,,0.90M,,,8.10M,8.10M,,,1.30M,,,,,,14.10M,,-7.30M,,-7.30M,,,,0.60M,-6.70M,,,,-1.50M,,,,,-2.90M,,,-4.40M,,33.20M,3.00M,0.90M,37.10M,,,,,,,,
2002-12,3.40M,,,14.30M,,,6.80M,6.80M,,,-5.20M,,,11.70M,0.60M,-15.00M,6.80M,,-5.80M,2.10M,-3.70M,,,,1.00M,-2.70M,,,,-5.30M,0.00,0.00,0.00,,-2.90M,,,-8.20M,,35.70M,-4.10M,1.60M,33.20M,,0.00,,,0.00,,,
2002-09,3.20M,,,-2.60M,,,8.20M,8.20M,,,5.20M,,,2.50M,2.50M,8.10M,24.60M,,-9.50M,0.30M,-9.20M,,,,3.30M,-5.90M,,,,-8.10M,0.10M,-0.10M,0.00,,-2.70M,,,-10.80M,,28.00M,7.90M,-0.20M,35.70M,,0.10M,,,-0.10M,,,
2002-06,5.30M,,,-2.90M,,,8.30M,8.30M,,,1.10M,,,2.00M,2.00M,,13.80M,,-10.10M,,-10.10M,,,,-0.20M,-10.30M,,,,-5.30M,1.10M,,1.10M,,-2.70M,,,-6.90M,,28.90M,-3.40M,2.50M,28.00M,,1.10M,,,,,,
2002-03,6.50M,,,,,,7.90M,7.90M,,,-1.10M,,,-6.30M,-6.30M,,7.00M,,-10.60M,,-10.60M,,,,-1.10M,-11.70M,,,,-6.40M,2.10M,,2.10M,,-2.80M,,,-7.10M,,42.10M,-11.80M,-1.40M,28.90M,,2.10M,,,,,,
2001-12,-19.60M,,,,,,4.10M,4.10M,,,6.70M,,,15.90M,6.10M,0.60M,17.40M,,-10.30M,28.20M,17.90M,,,,-3.20M,13.60M,,,,-26.80M,-0.10M,0.00,-0.10M,,-2.80M,,,-29.70M,,41.60M,1.30M,-0.80M,42.10M,,-0.10M,,,0.00,,,
2001-09,5.90M,,,,,,9.10M,9.10M,,,-2.40M,,,-7.20M,-7.20M,,5.40M,,-11.50M,3.10M,-8.40M,,,,-2.40M,-10.80M,,,,8.50M,0.30M,0.00,0.30M,,-2.60M,,,6.20M,,39.30M,0.80M,1.50M,41.60M,,0.30M,,,0.00,,,
2001-06,3.20M,,,,,,10.70M,10.70M,,,-2.10M,,,1.90M,1.90M,1.90M,15.60M,,-11.60M,,-11.60M,,,,0.00,-11.60M,,,,0.70M,0.00,-0.10M,-0.10M,,-2.50M,,,-1.90M,,37.80M,2.10M,-0.60M,39.30M,,0.00,,,-0.10M,,,
2001-03,5.30M,,,,,,8.00M,8.00M,,,-2.20M,,,-9.50M,-9.50M,-1.90M,-0.30M,,-11.80M,,-11.80M,,,,-0.20M,-12.00M,,,,11.70M,0.50M,,0.50M,,-2.60M,,,9.60M,,42.70M,-2.70M,-2.20M,37.80M,,0.50M,,,,,,
2000-12,-13.10M,,,8.10M,,,,,,,,,,-21.90M,-18.20M,,2.90M,,-5.40M,-0.10M,-5.50M,,-1.40M,,0.70M,-6.20M,,,,5.10M,0.90M,-0.10M,0.80M,,-2.40M,,,3.50M,,39.00M,0.20M,0.90M,42.70M,,0.90M,,,-0.10M,,,
2000-09,4.60M,,,-11.00M,,,,,,,,,,18.40M,18.40M,,12.00M,,-12.80M,0.40M,-12.40M,,-1.00M,,1.10M,-12.30M,,,,9.20M,0.00,-0.80M,-0.80M,,-2.40M,,,6.00M,,34.70M,5.70M,-1.40M,39.00M,,0.00,,,-0.80M,,,
2000-06,5.00M,,,5.70M,,,,,,,-0.10M,,,3.00M,3.00M,,13.60M,,-15.30M,,-15.30M,,0.00,,-0.50M,-15.80M,,,,-8.90M,0.00,-3.90M,-3.90M,,-2.50M,,,-15.30M,,42.70M,-17.50M,-0.20M,34.70M,,0.00,,,-3.90M,,,
2000-03,5.10M,,,5.30M,,,,,,,0.10M,,,,,,10.50M,,-14.20M,,-14.20M,,-1.00M,,-1.40M,-16.60M,,,,24.90M,0.60M,-6.00M,-5.40M,,-2.50M,,,17.00M,,33.00M,10.90M,-1.20M,42.70M,,0.60M,,,-6.00M,,,
1999-12,10.20M,,,,,,,,,,-19.80M,,,6.70M,0.80M,,26.40M,,-13.60M,0.00,-13.60M,,,,1.50M,-12.10M,,,,6.10M,-0.10M,-9.10M,-9.20M,,-3.10M,,,-6.20M,,37.50M,8.10M,-0.30M,45.30M,,-0.10M,,,-9.10M,,,
1999-09,8.60M,,,,,,,,,,6.10M,,,-2.00M,-2.00M,,12.70M,,-14.40M,0.00,-14.40M,,,,1.50M,-12.90M,,,,-1.00M,1.30M,0.00,1.30M,,-2.40M,,,-2.10M,,39.60M,-2.30M,0.20M,37.50M,,1.30M,,,0.00,,,
1999-06,10.40M,,,,,,,,,,11.20M,,,-4.70M,-4.70M,,16.90M,,-27.70M,0.10M,-27.60M,,,,-1.50M,-29.10M,,,,27.50M,0.20M,-6.10M,-5.90M,,-2.40M,,,19.20M,,0.00,7.00M,-0.40M,39.60M,,0.20M,,,-6.10M,,,
1999-03,9.50M,,,,,,,,,,3.90M,,,,,,13.40M,,-7.70M,,-7.70M,,,,0.10M,-7.60M,,,,1.60M,1.40M,-2.90M,-1.50M,,-2.40M,,,-2.30M,,31.30M,3.50M,-1.80M,0.00,,1.40M,,,-2.90M,,,
1998-12,10.00M,,,,,,,,,,-46.10M,,,,,,28.20M,,-29.30M,0.30M,-29.00M,,,,0.80M,-28.20M,,,,43.60M,0.60M,,-59.80M,,-1.90M,,,-18.10M,,0.00,-18.10M,-0.70M,31.30M,,0.60M,,,,,,
1998-09,6.50M,,,,,,,,,,20.00M,,,,,,26.50M,,-21.80M,0.10M,-21.70M,,,,-0.10M,-21.80M,,,,-2.70M,0.20M,,0.20M,,-2.50M,,,-5.00M,,0.00,-0.30M,1.80M,0.00,,0.20M,,,,,,
1998-06,9.90M,,,,,,,,,,-2.00M,,,,,,7.90M,,-11.10M,0.80M,-10.30M,,,,1.10M,-9.20M,,,,-14.20M,0.40M,,0.40M,,-2.50M,,,-16.30M,,0.00,-17.60M,-0.20M,0.00,,0.40M,,,,,,
1998-03,-19.70M,,,,,,,,,,28.10M,,,,,,8.40M,,-14.50M,,-14.50M,,,,-0.10M,-14.60M,,,,21.50M,1.40M,,1.40M,,-2.50M,,,20.40M,,52.30M,14.20M,-0.10M,0.00,,1.40M,,,,,,
1997-12,8.60M,,,,,,,,,,-10.80M,-10.00M,,,-7.60M,,11.10M,,-10.90M,1.50M,-9.40M,,,,-0.30M,-9.70M,,,,-0.50M,1.60M,,1.60M,,-2.50M,,,-1.40M,,0.00,0.00,-0.80M,0.00,,1.60M,,,,,,
1997-09,17.30M,,,,,,,,,,-4.60M,9.00M,,,9.00M,,21.70M,,-8.60M,0.00,-8.60M,,,,,-8.60M,,,,0.50M,1.10M,,1.10M,,-2.30M,,,-0.70M,,0.00,12.40M,-0.70M,0.00,,1.10M,,,,,,
1997-06,10.10M,,,,,,,,,,6.60M,7.20M,,,7.20M,,23.90M,,-8.60M,0.00,-8.60M,,,,0.30M,-8.30M,,,,-1.10M,0.50M,,0.50M,,-2.30M,,,-2.90M,,0.00,12.70M,-0.20M,0.00,,0.50M,,,,,,
1997-03,8.40M,,,,,,,,,,8.40M,-5.80M,,,-5.80M,,11.00M,,-6.30M,0.20M,-6.10M,,,,-0.30M,-6.40M,,,,-0.60M,0.80M,,0.80M,,-2.30M,,,-2.10M,,27.30M,2.50M,-0.90M,0.00,,0.80M,,,,,,
1996-12,9.90M,,,,,,,,,,-16.70M,-1.50M,,,-1.70M,,16.70M,,-7.10M,6.00M,-1.10M,,,,2.10M,1.00M,,,,-11.30M,3.50M,7.50M,11.00M,,-3.60M,,,-12.60M,,0.00,5.10M,0.10M,0.00,,3.50M,,,7.50M,,,
1996-09,6.60M,,,,,,,,,,5.10M,12.40M,,,12.40M,,24.10M,,-7.40M,1.10M,-6.30M,,,,-1.90M,-8.20M,,,,-8.30M,,1.60M,1.60M,,-2.10M,,,-8.80M,,0.00,7.10M,0.00,0.00,,,,,1.60M,,,
1996-06,8.10M,,,,,,,,,,8.20M,-4.70M,,,-4.70M,,11.60M,,-8.60M,0.00,-8.60M,,,,-0.20M,-8.80M,,,,9.40M,-0.20M,-9.10M,-9.30M,,-2.10M,,,-2.00M,,0.00,0.80M,-0.10M,0.00,,-0.20M,,,-9.10M,,,
1996-03,-8.20M,,,,,,,,,,25.70M,-6.50M,,,-6.50M,,11.00M,,-8.60M,0.10M,-8.50M,,,,,-8.50M,,,,-3.50M,0.20M,,0.20M,,-2.20M,,,-5.50M,,17.40M,-3.00M,-0.10M,0.00,,0.20M,,,,,,
1995-12,7.90M,,,,,,,,,,-21.60M,11.20M,,,-5.00M,,13.10M,,-6.40M,4.10M,-2.30M,,,,-4.50M,-6.80M,,,,-4.50M,0.40M,,0.40M,,-2.20M,,,-6.30M,,0.00,0.00,0.10M,0.00,,0.40M,,,,,,
1995-09,3.90M,,,,,,,,,,8.20M,5.10M,,,5.10M,,17.20M,,-10.10M,0.30M,-9.80M,,,,-2.30M,-12.10M,,,,-2.40M,1.50M,,1.50M,,-2.00M,,,-2.90M,,0.00,2.20M,-0.20M,0.00,,1.50M,,,,,,
1995-06,8.70M,,,,,,,,,,6.90M,-6.80M,,,-6.80M,,8.80M,,-7.90M,0.00,-7.90M,,,,-50.50M,-58.40M,,,,37.70M,0.10M,,0.10M,,-1.90M,,,35.90M,,0.00,-13.70M,0.10M,0.00,,0.10M,,,,,,
1995-03,8.20M,,,,,,,,,,7.80M,-9.00M,,,-9.00M,,7.00M,,-6.90M,0.10M,-6.80M,,,,-16.50M,-23.30M,,,,18.40M,0.80M,,0.80M,,-2.00M,,,17.20M,,27.20M,0.90M,0.80M,0.00,,0.80M,,,,,,
1994-12,7.20M,,,,,,,,,,-13.00M,8.60M,,,2.00M,,17.10M,,-9.10M,2.80M,-6.30M,,,,-5.70M,-12.00M,,,,7.10M,1.10M,,1.10M,,-1.90M,,0.00,6.30M,,0.00,11.40M,0.40M,0.00,,1.10M,,,,,,
1994-09,5.60M,,,,,,,,,,6.50M,3.40M,,,3.40M,,15.50M,,-7.00M,0.10M,-6.90M,,,,-3.70M,-10.60M,,,,2.10M,0.80M,,0.80M,,-1.80M,,0.40M,1.50M,,0.00,6.40M,0.20M,0.00,,0.80M,,,,,,
1994-06,7.50M,,,,,,,,,,6.10M,-3.40M,,,-3.40M,,10.20M,,-6.60M,0.70M,-5.90M,,,,-1.60M,-7.50M,,,,0.20M,0.60M,,0.60M,,-1.70M,,,-0.90M,,0.00,1.80M,0.10M,0.00,,0.60M,,,,,,
1994-03,7.00M,,,,,,,,,,6.10M,-6.10M,,,-6.10M,,7.00M,,-4.40M,0.10M,-4.30M,,,,-2.90M,-7.20M,,,,2.70M,0.90M,,0.90M,,-1.80M,,,1.80M,,5.20M,1.60M,0.10M,0.00,,0.90M,,,,,,
1993-12,5.90M,,,,,,,,,,-18.40M,16.80M,,,5.70M,,16.30M,,-6.60M,0.00,-6.60M,,,,,-6.60M,,,,-6.20M,1.60M,,1.60M,,-2.30M,,,-6.90M,,0.00,2.80M,0.00,0.00,,1.60M,,,,,,
1993-09,4.80M,,,,,,,,,,3.10M,-0.80M,,,-0.80M,,7.10M,,-7.90M,1.80M,-6.10M,,,,,-6.10M,,,,-0.10M,0.60M,,0.60M,,-1.50M,,,-1.00M,,0.00,0.00,-0.10M,0.00,,0.60M,,,,,,
1993-06,6.20M,,,,,,,,,,8.60M,-11.20M,8.70M,,-2.50M,,12.30M,,-12.50M,0.20M,-12.30M,,,,,-12.30M,,,,-2.00M,0.90M,,0.90M,,-1.60M,,,-2.70M,,0.00,-2.70M,,0.00,,0.90M,,,,,,
1993-03,5.60M,,,,,,,,,,5.90M,,-8.70M,,-8.70M,,2.80M,,-6.50M,6.00M,-0.50M,,,,,-0.50M,,,,0.70M,0.80M,,0.80M,,-1.60M,,,-0.10M,,3.00M,2.20M,,0.00,,0.80M,,,,,,
1992-12,4.40M,,,,,,,,,,-4.90M,,-1.60M,,-11.50M,,12.20M,,-7.70M,-0.10M,-7.80M,,,,,-7.80M,,,,-1.90M,4.10M,,0.80M,,-1.60M,,0.00,-2.70M,,0.00,1.70M,-0.20M,0.00,,4.10M,,,,,,
1992-09,4.10M,,,,,,,,,,-6.10M,,14.00M,,14.00M,,12.00M,,-5.80M,0.10M,-5.70M,,,,,-5.70M,,,,-6.60M,1.30M,,1.30M,,-1.60M,,0.10M,-6.80M,,0.00,-0.50M,0.10M,0.00,,1.30M,,,,,,
1992-06,5.60M,,,,,,,,,,6.70M,,0.60M,,0.60M,,12.90M,,-5.40M,0.10M,-5.30M,,,,,-5.30M,,,,-5.10M,-0.20M,,-0.20M,,-1.50M,,-0.10M,-6.90M,,0.00,0.70M,0.10M,0.00,,-0.20M,,,,,,
1992-03,5.60M,,,,,,,,,,5.90M,,-14.60M,,-14.60M,,-3.10M,,-3.50M,7.40M,3.90M,,,,,3.90M,,,,-1.60M,0.30M,,0.30M,,-1.60M,,0.50M,-2.40M,,2.70M,-1.60M,,0.00,,0.30M,,,,,,
1991-12,-18.50M,,,,,,,,,,-18.30M,,3.70M,,3.80M,,14.40M,,-5.10M,0.00,-5.10M,,,,-0.20M,-5.30M,,,,-7.20M,0.90M,,0.90M,,-1.50M,,0.00,-7.80M,,0.00,1.30M,0.10M,0.00,,0.90M,,,,,,
1991-09,2.40M,,,,,,,,,,5.90M,,4.70M,,4.70M,,13.00M,,-5.10M,0.70M,-4.40M,,,,0.10M,-4.30M,,,,-6.30M,0.10M,,0.10M,,-1.60M,,0.00,-7.80M,,0.00,0.90M,0.00,0.00,,0.10M,,,,,,
1991-06,3.50M,,,,,,,,,,6.20M,,1.00M,,1.00M,,10.70M,,-6.90M,0.20M,-6.70M,,,,,-6.70M,,,,-3.20M,0.60M,,0.60M,,-1.60M,,0.50M,-3.70M,,0.00,0.30M,-0.10M,0.00,,0.60M,,,,,,
1991-03,4.10M,,,,,,,,,,6.30M,,-4.10M,,-4.10M,,6.30M,,-8.40M,0.20M,-8.20M,,,,,-8.20M,,,,1.50M,,,,,-1.50M,,-0.10M,-0.10M,,2.20M,-2.00M,,0.00,,,,,,,,
1990-12,-5.90M,,,,,,,,,,-18.60M,,3.80M,,12.70M,,7.80M,,-8.20M,1.70M,-6.50M,,,,-0.60M,-7.10M,,,,1.20M,,-1.30M,-0.90M,,-1.50M,,-0.10M,-1.30M,,0.00,-0.60M,0.10M,0.00,,,,,-1.30M,,,
1990-09,1.70M,,,,,,,,,,6.30M,,2.60M,,2.60M,,10.60M,,-7.60M,0.30M,-7.30M,,,,,-7.30M,,,,0.20M,,-2.20M,-2.20M,,-1.60M,,,-3.60M,,0.00,-0.30M,0.20M,0.00,,,,,-2.20M,,,
1990-06,2.90M,,,,,,,,,,6.50M,,-1.60M,,-1.60M,,7.80M,,-8.50M,0.20M,-8.30M,,,,-0.10M,-8.40M,,,,9.90M,,-6.20M,-6.20M,,-1.60M,,0.10M,2.20M,,0.00,1.60M,0.00,0.00,,,,,-6.20M,,,
1990-03,5.60M,,,,,,,,,,5.70M,,-1.50M,,-1.50M,,9.80M,,-8.90M,,-8.90M,,,,0.10M,-8.80M,,,,1.70M,,-1.60M,-1.60M,,-1.60M,,-0.10M,-1.60M,,1.60M,-0.60M,0.10M,0.00,,,,,-1.60M,,,
