,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,130.40M,130.40M,90.90M,39.50M,,25.10M,,-0.80M,,,,0.80M,25.90M,13.60M,,,,0.20M,,11.70M,3.80M,8.90M,-1.90M,,,7.00M,9.440M,21.40M,7.80M,13.60M,,0.15,-0.03,,0.1592,0.12,,0.15,-0.035,,0.1590,0.115,,58.89M,60.27M,0.0525,,,
2003-12,119.10M,119.10M,79.30M,39.80M,,12.10M,,20.10M,,,,-27.10M,-15.00M,54.80M,,,,19.80M,,44.00M,17.50M,28.10M,,,,17.10M,15.99M,61.60M,6.80M,54.80M,,0.49,-0.1897,,0.2817,0.49,,0.49,-0.1897,,0.2842,0.49,,58.12M,58.84M,0.0525,,,
2003-09,120.10M,120.10M,84.30M,35.80M,,27.80M,,-1.10M,,,,1.10M,28.90M,6.90M,,,,-0.40M,,5.60M,1.50M,4.10M,,,,4.10M,4.905M,14.70M,7.80M,6.90M,,0.07,0.00,,0.0839,0.07,,0.07,0.00,,0.0838,0.07,,58.02M,58.40M,0.05,,,
2003-06,126.40M,126.40M,85.00M,41.40M,,26.80M,,-3.80M,,,,3.80M,30.60M,10.80M,,,,-3.10M,,9.10M,2.90M,6.90M,,,,6.90M,9.489M,19.30M,8.50M,10.80M,,0.12,0.00,,0.1647,0.12,,0.12,0.00,,0.1647,0.12,,57.93M,57.93M,0.05,,,
2003-03,117.80M,117.80M,81.40M,36.40M,,24.40M,,-5.50M,,,,5.50M,29.90M,6.50M,,,,-5.00M,,4.60M,1.30M,3.80M,,,,3.80M,7.746M,14.60M,8.10M,6.50M,,0.065,0.00,,0.1331,0.065,,0.065,0.00,,0.1331,0.065,,57.92M,57.92M,0.05,,,
2002-12,100.50M,100.50M,70.70M,29.80M,,6.70M,,-1.20M,,,,0.40M,7.10M,22.70M,,,,-1.40M,,19.50M,6.10M,13.10M,-9.70M,,,3.40M,13.92M,29.50M,6.80M,22.70M,,0.23,-0.165,,0.2442,0.065,,0.23,-0.165,,0.2442,0.065,,58.16M,58.16M,0.05,,,
2002-09,104.10M,104.10M,77.80M,26.30M,,19.10M,,-9.50M,,,,0.40M,19.50M,6.80M,,,,-9.90M,,-4.80M,-2.80M,-2.00M,5.90M,,,3.90M,3.70M,15.00M,8.20M,6.80M,,-0.035,0.0975,,0.0635,0.0625,,-0.035,0.0975,,0.0635,0.0625,,57.85M,57.85M,0.0475,,,
2002-06,107.70M,107.70M,76.70M,31.00M,,21.80M,,0.60M,,,,-0.60M,21.20M,9.80M,,,,0.70M,,7.40M,2.20M,5.30M,,,,5.30M,4.878M,18.10M,8.30M,9.80M,,0.0925,0.00,,0.0852,0.0925,,0.0925,0.00,,0.0852,0.0925,,57.72M,58.03M,0.0475,,,
2002-03,103.70M,103.70M,72.30M,31.40M,,20.50M,,1.80M,,,,-1.80M,18.70M,12.70M,,,,2.00M,,10.30M,4.00M,6.50M,-0.40M,,,6.10M,5.399M,20.60M,7.90M,12.70M,,0.1125,-0.0075,,0.0933,0.105,,0.1125,-0.0075,,0.0934,0.105,,57.46M,57.59M,0.0475,,,
2001-12,46.00M,46.00M,21.50M,24.50M,,14.30M,,-1.50M,,,,,15.20M,9.30M,,,,-1.00M,,7.60M,2.30M,5.30M,,,0.00,-19.60M,6.346M,13.40M,4.10M,9.30M,,0.14,-0.485,,0.1582,-0.345,,0.14,-0.485,,0.1582,-0.345,,57.38M,57.42M,0.0475,,,
2001-09,112.90M,112.90M,84.90M,28.00M,,19.40M,,2.30M,,,,-0.60M,18.80M,9.20M,,,,2.30M,,7.60M,1.70M,5.90M,,,,5.90M,4.114M,18.30M,9.10M,9.20M,,0.1025,0.00,,0.0714,0.1025,,0.1025,0.00,,0.0714,0.1025,,57.37M,57.41M,0.045,,,
2001-06,100.50M,100.50M,70.90M,29.60M,,18.00M,,-4.90M,,,,0.40M,18.40M,11.20M,,,,-4.70M,,3.70M,1.10M,2.80M,0.30M,,,3.10M,6.243M,21.90M,10.70M,11.20M,,0.05,0.005,,0.1100,0.055,,0.05,0.005,,0.1100,0.055,,57.34M,57.42M,0.045,,,
2001-03,99.30M,99.30M,69.80M,29.50M,,18.20M,,-0.10M,,,,0.10M,18.30M,11.20M,,,,0.20M,,7.90M,2.80M,5.30M,,,-0.10M,5.30M,5.365M,19.20M,8.00M,11.20M,,0.0925,0.0025,,0.0936,0.095,,0.0925,0.0025,,0.0936,0.095,,57.28M,57.29M,0.045,,,
2000-12,44.90M,44.90M,18.40M,26.50M,,8.60M,,-8.40M,,,,2.10M,10.70M,15.80M,,,,-7.20M,,8.80M,3.90M,5.30M,,,0.00,-13.10M,10.34M,15.80M,,15.80M,,0.20,-0.43,,0.2880,-0.23,,0.20,-0.43,,0.2880,-0.23,,57.27M,57.28M,0.045,,,
2000-09,105.30M,105.30M,80.70M,24.60M,,16.50M,,0.20M,,,,-0.20M,16.30M,8.30M,,,,0.20M,,5.10M,0.50M,4.60M,,,,4.60M,4.420M,8.30M,,8.30M,,0.08,0.00,,0.0769,0.08,,0.08,0.00,,0.0769,0.08,,57.35M,57.35M,0.0425,,,
2000-06,113.60M,113.60M,85.40M,28.20M,,17.00M,,0.30M,,,,,17.00M,11.20M,,,,0.30M,,8.00M,3.00M,5.00M,,,-0.10M,5.00M,4.812M,11.20M,,11.20M,,0.0875,0.00,,0.0843,0.0875,,0.0875,0.00,,0.0843,0.0875,,57.85M,57.86M,0.0425,,,
2000-03,108.70M,108.70M,80.50M,28.20M,,17.40M,,0.10M,,,,,17.40M,10.80M,,,,0.10M,,7.80M,2.70M,5.10M,,,-0.10M,5.10M,5.035M,10.80M,,10.80M,,0.0875,0.00,,0.0864,0.0875,,0.0875,0.00,,0.0864,0.0875,,58.18M,58.25M,0.0425,,,
1999-12,115.40M,115.40M,43.90M,71.50M,,22.00M,,,,,,,57.70M,13.80M,,,,,,12.10M,1.90M,10.20M,,,-0.10M,10.20M,10.20M,13.80M,,13.80M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,59.57M,59.82M,0.0425,,,
1999-09,115.10M,115.10M,80.80M,34.30M,,19.20M,,0.30M,,,,,19.20M,15.10M,,,,0.30M,,12.60M,4.00M,8.60M,,,,8.60M,8.395M,15.10M,,15.10M,,0.145,0.00,,0.1415,0.145,,0.1425,0.00,,0.1391,0.1425,,59.31M,60.35M,0.04,,,
1999-06,124.40M,124.40M,84.60M,39.80M,,19.70M,,-0.30M,,,,,19.70M,20.10M,,,,-0.30M,,17.00M,6.60M,10.40M,,,,10.40M,10.58M,20.10M,,20.10M,,0.175,0.00,,0.1781,0.175,,0.1725,0.00,,0.1755,0.1725,,59.43M,60.29M,0.04,,,
1999-03,114.20M,114.20M,79.80M,34.40M,,17.00M,,0.10M,,,,,17.00M,17.40M,,,,0.10M,,15.40M,5.90M,9.50M,,,0.10M,9.50M,9.438M,17.40M,,17.40M,,0.1575,0.00,,0.1565,0.1575,,0.1575,0.00,,0.1565,0.1575,,60.32M,60.32M,0.04,,,
1998-12,114.80M,114.80M,46.80M,68.00M,,18.00M,,-27.70M,,,,,22.10M,45.90M,,,,-27.70M,,15.90M,5.90M,10.00M,,,0.00,10.00M,27.42M,45.90M,,45.90M,,0.1525,0.00,,0.4207,0.1525,,0.15,0.00,,0.4137,0.15,,64.96M,66.06M,0.04,,,
1998-09,113.90M,113.90M,80.50M,33.40M,,17.30M,,-3.70M,,,,,17.30M,16.10M,,,,-3.70M,,10.60M,4.10M,6.50M,,,,6.50M,8.769M,16.10M,,16.10M,,0.095,0.00,,0.1282,0.095,,0.095,0.00,,0.1282,0.095,,68.42M,68.42M,0.0375,,,
1998-06,115.80M,115.80M,81.00M,34.80M,,18.40M,,1.30M,,,,,18.40M,16.40M,,,,1.30M,,15.70M,5.80M,9.90M,,,-0.10M,9.90M,9.080M,16.40M,,16.40M,,0.145,0.00,,0.1330,0.145,,0.145,0.00,,0.1330,0.145,,68.28M,68.28M,0.0375,,,
1998-03,105.20M,105.20M,73.90M,31.30M,,16.80M,28.20M,0.60M,,,,,45.00M,-13.70M,,,,0.60M,,-14.30M,5.40M,-19.70M,,,,-19.70M,-20.06M,-13.70M,,-13.70M,,-0.2975,0.00,,-0.3029,-0.2975,,-0.2975,0.00,,-0.3029,-0.2975,,66.22M,66.22M,0.0375,,,
1997-12,109.50M,109.50M,43.70M,65.80M,,16.80M,,-0.40M,,,,,48.70M,17.10M,,,,-0.40M,,15.20M,6.60M,8.60M,,,-0.10M,8.60M,8.84M,17.10M,,17.10M,,0.13,0.00,,0.1337,0.13,,0.1275,0.00,,0.1311,0.1275,,65.63M,67.18M,0.0375,,,
1997-09,105.00M,105.00M,76.00M,29.00M,,16.30M,,1.20M,,,,,16.30M,12.70M,,,,1.20M,,12.70M,-4.60M,17.30M,,,,17.30M,16.58M,12.70M,,12.70M,,0.2625,0.00,,0.2516,0.2625,,0.2625,0.00,,0.2516,0.2625,,65.90M,65.90M,0.035,,,
1997-06,123.10M,123.10M,86.80M,36.30M,,19.10M,,0.50M,,,,,19.10M,17.20M,,,,0.50M,,16.30M,6.20M,10.10M,,,,10.10M,9.790M,17.20M,,17.20M,,0.1525,0.00,,0.1478,0.1525,,0.1525,0.00,,0.1478,0.1525,,66.23M,66.23M,0.035,,,
1997-03,114.70M,114.70M,82.00M,32.70M,,18.00M,,0.30M,,,,,18.00M,14.70M,,,,0.30M,,13.60M,5.20M,8.40M,,,,8.40M,8.215M,14.70M,,14.70M,,0.1275,0.00,,0.1247,0.1275,,0.1275,0.00,,0.1247,0.1275,,65.88M,65.88M,0.035,,,
1996-12,114.60M,114.60M,50.60M,64.00M,,17.50M,,0.50M,,,,,48.20M,15.80M,,,,0.50M,,14.80M,4.90M,9.90M,,,0.00,9.90M,9.566M,15.80M,,15.80M,,0.1475,0.00,,0.1429,0.1475,,0.1475,0.00,,0.1429,0.1475,,72.44M,72.44M,0.035,,,
1996-09,111.30M,111.30M,81.70M,29.60M,,18.10M,,0.80M,,,,,18.10M,11.50M,,,,0.80M,,10.30M,3.70M,6.60M,,,,6.60M,6.087M,11.50M,,11.50M,,0.10,0.00,,0.0922,0.10,,0.10,0.00,,0.0922,0.10,,66.00M,66.00M,0.0325,,,
1996-06,119.00M,119.00M,87.10M,31.90M,,18.10M,,0.80M,,,,,18.10M,13.80M,,,,0.80M,,12.70M,4.60M,8.10M,,,-0.10M,8.10M,7.590M,13.80M,,13.80M,,0.125,0.00,,0.1171,0.125,,0.1225,0.00,,0.1148,0.1225,,64.80M,66.12M,0.0325,,,
1996-03,113.90M,113.90M,82.60M,31.30M,,19.10M,,-21.20M,,,,,19.10M,12.20M,,,,-21.20M,,-10.60M,-2.40M,-8.20M,,,,-8.20M,8.20M,12.20M,,12.20M,,-0.1225,0.00,,0.1225,-0.1225,,-0.1225,0.00,,0.1225,-0.1225,,66.94M,66.94M,0.0325,,,
1995-12,107.60M,107.60M,48.90M,58.70M,,18.00M,,0.30M,,,,,47.60M,11.10M,,,,0.30M,,9.50M,1.60M,7.90M,,,-0.10M,7.90M,7.651M,11.10M,,11.10M,,0.1175,0.00,,0.1138,0.1175,,0.1175,0.00,,0.1138,0.1175,,66.82M,66.82M,0.0325,,,
1995-09,101.10M,101.10M,76.40M,24.70M,,16.60M,,0.60M,,,,,16.60M,8.10M,,,,0.60M,,6.40M,2.50M,3.90M,,,-0.20M,3.90M,3.534M,8.10M,,8.10M,,0.06,0.00,,0.0544,0.06,,0.06,0.00,,0.0544,0.06,,65.00M,65.00M,0.03,,,
1995-06,109.00M,109.00M,77.10M,31.90M,,18.10M,,1.90M,,,,,18.10M,13.80M,,,,1.90M,,13.40M,4.70M,8.70M,,,-0.30M,8.70M,7.466M,13.80M,,13.80M,,0.13,0.00,,0.1116,0.13,,0.13,0.00,,0.1116,0.13,,66.92M,66.92M,0.03,,,
1995-03,95.20M,95.20M,63.10M,32.10M,,16.80M,,-0.40M,,,,,16.80M,15.30M,,,,-0.40M,,13.30M,5.10M,8.20M,,,-0.20M,8.20M,8.447M,15.30M,,15.30M,,0.125,0.00,,0.1288,0.125,,0.125,0.00,,0.1288,0.125,,65.60M,65.60M,0.03,,,
1994-12,99.10M,99.10M,44.00M,55.10M,,21.00M,,-1.10M,,,,,44.10M,11.00M,,,,-1.10M,,8.50M,1.30M,7.20M,,,-0.50M,7.20M,8.132M,11.00M,,11.00M,,0.11,0.00,,0.1242,0.11,,0.11,0.00,,0.1242,0.11,,65.44M,65.44M,0.03,,,
1994-09,87.40M,87.40M,62.00M,25.40M,,15.60M,,0.20M,,,,,15.60M,9.80M,,,,0.20M,,8.80M,3.20M,5.60M,,,-0.30M,5.60M,5.473M,9.80M,,9.80M,,0.0875,0.00,,0.0855,0.0875,,0.0875,0.00,,0.0855,0.0875,,64.00M,64.00M,0.0275,,,
1994-06,91.50M,91.50M,61.70M,29.80M,,16.90M,,0.10M,,,,,16.90M,12.90M,,,,0.10M,,11.70M,4.20M,7.50M,,,-0.60M,7.50M,7.436M,12.90M,,12.90M,,0.1175,0.00,,0.1165,0.1175,,0.1175,0.00,,0.1165,0.1175,,63.83M,63.83M,0.0275,,,
1994-03,87.10M,87.10M,58.20M,28.90M,,15.50M,,-0.60M,,,,,15.50M,13.40M,,,,-0.60M,,11.70M,4.70M,7.00M,,,-0.50M,7.00M,7.36M,13.40M,,13.40M,,0.11,0.00,,0.1157,0.11,,0.11,0.00,,0.1157,0.11,,63.64M,63.64M,0.0275,,,
1993-12,92.80M,92.80M,41.30M,51.50M,,17.70M,,-0.40M,,,,,39.70M,11.80M,,,,-0.40M,,9.80M,3.90M,5.90M,,0.00,-0.60M,5.90M,6.141M,11.80M,,11.80M,,0.0925,0.00,0.00,0.0963,0.0925,,0.09,0.00,-0.0001,0.0937,0.09,,63.78M,65.51M,0.0275,,,
1993-09,81.90M,81.90M,57.80M,24.10M,,15.10M,,-0.40M,,,,,15.10M,9.00M,,,,-0.40M,,7.60M,2.80M,4.80M,,,-0.30M,4.80M,5.053M,9.00M,,9.00M,,0.075,0.00,,0.0789,0.075,,0.075,0.00,,0.0789,0.075,,64.00M,64.00M,0.025,,,
1993-06,87.10M,87.10M,60.20M,26.90M,,15.80M,,0.10M,,,,,15.80M,11.10M,,,,0.10M,,10.00M,3.80M,6.20M,,,-0.50M,6.20M,6.138M,11.10M,,11.10M,,0.0975,0.00,,0.0965,0.0975,,0.0975,0.00,,0.0965,0.0975,,63.59M,63.59M,0.025,,,
1993-03,86.90M,86.90M,62.80M,24.10M,,14.90M,,1.20M,,,,,14.90M,9.20M,,,,1.20M,,9.40M,3.80M,5.60M,,1.00M,-0.30M,6.60M,4.88M,9.20M,,9.20M,,0.09,0.015,0.00,0.0785,0.105,,0.09,0.015,0.0159,0.0785,0.105,,62.86M,62.86M,0.025,,,
1992-12,88.40M,88.40M,40.60M,47.80M,,16.00M,,,,,,,39.60M,8.20M,,,,,,6.60M,2.20M,4.40M,,,-0.50M,4.40M,4.40M,8.20M,,8.20M,,0.07,0.00,,0.07,0.07,,0.0675,0.00,,0.0675,0.0675,,62.81M,64.81M,0.025,,,
1992-09,81.30M,81.30M,59.10M,22.20M,,14.30M,,0.30M,,,,,14.30M,7.90M,,,,0.30M,,7.00M,2.90M,4.10M,,,-0.40M,4.10M,3.92M,7.90M,,7.90M,,0.065,0.00,,0.0621,0.065,,0.065,0.00,,0.0621,0.065,,63.08M,63.08M,0.025,,,
1992-06,86.70M,86.70M,61.00M,25.70M,,13.80M,,0.40M,,,,,13.80M,11.90M,,,,0.40M,,10.80M,5.20M,5.60M,,,-0.50M,5.60M,5.36M,11.90M,,11.90M,,0.09,0.00,,0.0861,0.09,,0.09,0.00,,0.0861,0.09,,62.22M,62.22M,0.025,,,
1992-03,81.80M,81.80M,57.40M,24.40M,,13.00M,,-0.40M,,,,,13.00M,11.40M,,,,-0.40M,,9.60M,4.00M,5.60M,,,-0.40M,5.60M,5.84M,11.40M,,11.40M,,0.09,0.00,,0.0939,0.09,,0.09,0.00,,0.0939,0.09,,62.22M,62.22M,0.025,,,
1991-12,82.20M,82.20M,37.90M,44.30M,,45.10M,,0.80M,,,,,69.60M,-25.30M,,,,0.80M,,-23.30M,-4.80M,-18.50M,,,2.60M,-18.50M,-19.14M,-25.30M,,-25.30M,,-0.2975,0.00,,-0.3081,-0.2975,,-0.2975,0.00,,-0.3081,-0.2975,,59.77M,59.77M,0.025,,,
1991-09,79.60M,79.60M,59.80M,19.80M,,12.30M,,,,,,,12.30M,7.50M,,,,,,5.90M,3.60M,2.30M,,,-0.10M,2.30M,2.30M,7.50M,,7.50M,,0.0375,0.00,,0.0375,0.0375,,0.0375,0.00,,0.0375,0.0375,,61.33M,61.33M,0.025,,,
1991-06,81.80M,81.80M,60.40M,21.40M,,13.70M,,0.30M,,,,,13.70M,7.70M,,,,0.30M,,6.40M,2.90M,3.50M,,,,3.50M,3.32M,7.70M,,7.70M,,0.0575,0.00,,0.0545,0.0575,,0.0575,0.00,,0.0545,0.0575,,60.87M,60.87M,0.025,,,
1991-03,86.10M,86.10M,63.30M,22.80M,,13.90M,,,,,,,13.90M,8.90M,,,,,,7.10M,3.00M,4.10M,,,-0.10M,4.10M,4.10M,8.90M,,8.90M,,0.065,0.00,,0.065,0.065,,0.065,0.00,,0.065,0.065,,63.08M,63.08M,0.025,,,
1990-12,80.40M,80.40M,37.60M,42.80M,,19.60M,,-6.70M,,,,,42.30M,0.50M,,,,-6.70M,,-7.50M,-1.60M,-5.90M,,,0.20M,-5.90M,-0.6293M,0.50M,,0.50M,,-0.0925,0.00,,-0.0096,-0.0925,,-0.0925,0.00,,-0.0096,-0.0925,,63.56M,63.56M,0.025,,,
1990-09,76.90M,76.90M,59.40M,17.50M,,11.80M,,-0.10M,,,,,11.80M,5.70M,,,,-0.10M,,4.00M,2.30M,1.70M,,,,1.70M,1.76M,5.70M,,5.70M,,0.0275,0.00,,0.0285,0.0275,,0.0275,0.00,,0.0285,0.0275,,61.82M,61.82M,0.025,,,
1990-06,82.10M,82.10M,62.90M,19.20M,,13.40M,,1.30M,,,,,13.40M,5.80M,,,,1.30M,,5.20M,2.30M,2.90M,,,-0.30M,2.90M,2.12M,5.80M,,5.80M,,0.045,0.00,,0.0329,0.045,,0.045,0.00,,0.0329,0.045,,64.44M,64.44M,0.025,,,
1990-03,83.80M,83.80M,61.30M,22.50M,,13.00M,,1.00M,,,,,13.00M,9.50M,,,,1.00M,,9.10M,3.50M,5.60M,,,-0.20M,5.60M,4.985M,9.50M,,9.50M,,0.0875,0.00,,0.0779,0.0875,,0.0875,0.00,,0.0779,0.0875,,64.00M,64.00M,0.025,,,
1989-12,79.70M,79.70M,,,,,,,,,,,,-192.90M,,,,,,,,6.20M,,,,6.20M,,-192.90M,,-192.90M,,,,,,,,,,,,,,64.47M,64.47M,0.02,,,
1989-09,69.40M,69.40M,,,,,,,,,,,,69.40M,,,,,,,,2.80M,,,,2.80M,,69.40M,,69.40M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,64.98M,64.98M,0.02,,,
1989-06,79.50M,79.50M,,,,,,,,,,,,79.50M,,,,,,,,6.20M,,,,6.20M,,79.50M,,79.50M,,0.105,0.00,,0.105,0.105,,0.105,0.00,,0.105,0.105,,65.22M,65.22M,0.0188,,,
1989-03,80.10M,80.10M,,,,,,,,,,,,80.10M,,,,,,,,5.50M,,,,5.50M,,80.10M,,80.10M,,0.0925,0.00,,0.0925,0.0925,,0.0925,0.00,,0.0925,0.0925,,65.12M,65.12M,0.0188,,,
1988-12,75.40M,75.40M,,,,,,,,,,,,-182.40M,,,,,,,,5.20M,,,,5.20M,,-182.40M,,-182.40M,,,,,,,,,,,,,,64.88M,64.88M,0.0188,,,
1988-09,69.00M,69.00M,,,,,,,,,,,,69.00M,,,,,,,,3.70M,,,,3.70M,,69.00M,,69.00M,,0.0575,0.00,,0.0575,0.0575,,0.0575,0.00,,0.0575,0.0575,,64.89M,64.89M,0.0188,,,
1988-06,74.50M,74.50M,,,,,,,,,,,,74.50M,,,,,,,,5.60M,,,,5.60M,,74.50M,,74.50M,,0.085,0.00,,0.085,0.085,,0.085,0.00,,0.085,0.085,,64.88M,64.88M,0.0175,,,
1988-03,69.30M,69.30M,,,,,,,,,,,,69.30M,,,,,,,,2.90M,,,,2.90M,,69.30M,,69.30M,,0.045,0.00,,0.045,0.045,,0.045,0.00,,0.045,0.045,,64.87M,64.87M,0.0175,,,
1987-12,66.50M,66.50M,,,,,,,,,,,,-156.90M,,,,,,,,0.60M,,,,0.60M,,-156.90M,,-156.90M,,,,,,,,,,,,,,64.88M,64.88M,0.0175,,,
1987-09,57.00M,57.00M,,,,,,,,,,,,57.00M,,,,,,,,3.20M,,,,3.20M,,57.00M,,57.00M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,64.71M,64.71M,0.0175,,,
1987-06,67.90M,67.90M,,,,,,,,,,,,67.90M,,,,,,,,5.50M,,,,5.50M,,67.90M,,67.90M,,0.085,0.00,,0.085,0.085,,0.085,0.00,,0.085,0.085,,64.71M,64.71M,0.0162,,,
1987-03,61.90M,61.90M,,,,,,,,,,,,61.90M,,,,,,,,4.40M,,,,4.40M,,61.90M,,61.90M,,0.0675,0.00,,0.0675,0.0675,,0.0675,0.00,,0.0675,0.0675,,64.71M,64.71M,0.0162,,,
1986-12,61.10M,61.10M,,,,,,,,,,,,-143.70M,,,,,,,,4.80M,,,,4.80M,,-143.70M,,-143.70M,,,,,,,,,,,,,,63.42M,63.42M,0.0162,,,
1986-09,57.00M,57.00M,,,,,,,,,,,,57.00M,,,,,,,,3.40M,,,,3.40M,,57.00M,,57.00M,,0.0525,0.00,,0.0525,0.0525,,0.0525,0.00,,0.0525,0.0525,,64.69M,64.69M,0.015,,,
1986-06,64.30M,64.30M,,,,,,,,,,,,64.30M,,,,,,,,4.50M,,,,4.50M,,64.30M,,64.30M,,0.075,0.00,,0.075,0.075,,0.075,0.00,,0.075,0.075,,63.43M,63.43M,0.015,,,
1986-03,53.20M,53.20M,,,,,,,,,,,,53.20M,,,,,,,,4.00M,,,,4.00M,,53.20M,,53.20M,,0.0625,0.00,,0.0625,0.0625,,0.0625,0.00,,0.0625,0.0625,,63.39M,63.39M,0.015,,,
1985-12,47.70M,47.70M,,,,,,,,,,,,-118.90M,,,,,,,,3.40M,,,,3.40M,,-118.90M,,-118.90M,,,,,,,,,,,,,,63.42M,63.42M,0.015,,,
1985-09,42.70M,42.70M,,,,,,,,,,,,42.70M,,,,,,,,2.90M,,,,2.90M,,42.70M,,42.70M,,0.0475,0.00,,0.0475,0.0475,,0.0475,0.00,,0.0475,0.0475,,63.39M,63.39M,0.0138,,,
1985-06,50.40M,50.40M,,,,,,,,,,,,50.40M,,,,,,,,4.40M,,,,4.40M,,50.40M,,50.40M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,63.39M,63.39M,0.0138,,,
1985-03,49.40M,49.40M,,,,,,,,,,,,49.40M,,,,,,,,4.30M,,,,4.30M,,49.40M,,49.40M,,0.0675,0.00,,0.0675,0.0675,,0.0675,0.00,,0.0675,0.0675,,63.35M,63.35M,0.0138,,,
1984-12,43.70M,43.70M,,,,,,,,,,,,-117.90M,,,,,,,,2.90M,,,,2.90M,,-117.90M,,-117.90M,,,,,,,,,,,,,,63.39M,63.39M,,,,
1984-09,42.80M,42.80M,,,,,,,,,,,,42.80M,,,,,,,,3.40M,,,,3.40M,,42.80M,,42.80M,,0.0525,0.00,,0.0525,0.0525,,0.0525,0.00,,0.0525,0.0525,,63.33M,63.33M,,,,
1984-06,47.90M,47.90M,,,,,,,,,,,,47.90M,,,,,,,,3.30M,,,,3.30M,,47.90M,,47.90M,,0.0525,0.00,,0.0525,0.0525,,0.0525,0.00,,0.0525,0.0525,,63.21M,63.21M,,,,
1984-03,47.80M,47.80M,,,,,,,,,,,,47.80M,,,,,,,,4.10M,,,,4.10M,,47.80M,,47.80M,,0.065,0.00,,0.065,0.065,,0.065,0.00,,0.065,0.065,,63.21M,63.21M,,,,
