,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2006-09,41.00M,,41.00M,1.42B,,1.42B,585.00M,,,,168.00M,2.214B,23.82B,673.00M,24.50B,-9.986B,14.51B,,,5.935B,,,,9.503B,29.95B,32.16B,611.00M,,611.00M,1.773B,2.384B,,2.88B,2.88B,,5.264B,,8.76B,8.76B,2.778B,,2.778B,,,80.00M,,11.62B,22.95B,32.00M,2.695B,6.46B,,21.00M,9.208B
2006-06,583.00M,,583.00M,1.346B,,1.346B,629.00M,,,,254.00M,2.812B,23.66B,642.00M,24.30B,-9.883B,14.42B,,,5.94B,,,,9.406B,29.77B,32.58B,682.00M,,682.00M,1.602B,2.284B,,3.105B,3.105B,,5.389B,,8.729B,8.729B,2.792B,,2.792B,,,154.00M,,11.68B,23.09B,33.00M,2.385B,7.052B,,18.00M,9.488B
2006-03,28.00M,,28.00M,1.226B,,1.226B,610.00M,,,,235.00M,2.099B,23.07B,1.073B,24.14B,-9.859B,14.28B,,,5.94B,,,591.00M,8.882B,29.70B,31.80B,612.00M,,612.00M,1.792B,2.404B,,3.046B,3.046B,,5.45B,,8.004B,8.004B,2.759B,,2.759B,,,154.00M,,10.92B,22.48B,33.00M,2.232B,7.05B,,5.00M,9.32B
2005-12,64.00M,,64.00M,1.498B,,1.498B,518.00M,,,,237.00M,2.317B,22.89B,897.00M,23.79B,-9.792B,14.00B,,,6.01B,,,,9.516B,29.52B,31.84B,727.00M,,727.00M,1.952B,2.679B,,2.774B,2.774B,,5.453B,,8.155B,8.155B,2.726B,,2.726B,,,184.00M,,11.06B,22.65B,33.00M,2.159B,7.043B,,-47.00M,9.188B
2005-09,140.00M,,140.00M,1.535B,,1.535B,496.00M,,,,236.00M,2.407B,22.78B,684.00M,23.46B,-9.688B,13.77B,,,6.024B,,,733.00M,8.437B,28.97B,31.37B,652.00M,,652.00M,1.963B,2.615B,,1.23B,1.23B,,3.845B,,9.419B,9.419B,2.345B,,2.345B,,,184.00M,,11.95B,22.55B,33.00M,2.115B,7.034B,,-354.00M,8.828B
2005-06,50.00M,,50.00M,1.445B,,1.445B,508.00M,,,,301.00M,2.304B,22.65B,574.00M,23.23B,-9.576B,13.65B,,,6.033B,,,730.00M,8.492B,28.91B,31.21B,696.00M,,696.00M,1.559B,2.255B,,1.499B,1.499B,,3.754B,,9.569B,9.569B,2.411B,,2.411B,,,214.00M,,12.19B,22.57B,33.00M,1.924B,7.047B,,-364.00M,8.64B
2005-03,81.00M,,81.00M,1.259B,,1.259B,478.00M,,,,248.00M,2.066B,22.30B,735.00M,23.03B,-9.48B,13.55B,,,6.034B,,,747.00M,8.864B,29.20B,31.26B,663.00M,,663.00M,1.71B,2.373B,,1.27B,1.27B,,3.643B,,9.72B,9.72B,2.347B,,2.347B,,,239.00M,,12.31B,22.64B,33.00M,1.881B,7.058B,,-352.00M,8.621B
2004-12,53.00M,,53.00M,1.356B,,1.356B,458.00M,,,,145.00M,2.012B,22.21B,679.00M,22.89B,-9.414B,13.48B,,,6.05B,,,721.00M,8.773B,29.02B,31.04B,611.00M,,611.00M,1.586B,2.197B,,1.111B,1.111B,,3.308B,,10.01B,10.01B,2.324B,,2.324B,,,335.00M,,12.67B,22.45B,33.00M,1.857B,7.056B,,-356.00M,8.589B
2004-09,67.89M,,67.89M,1.393B,,1.393B,442.18M,,,,216.62M,2.119B,21.98B,653.72M,22.63B,-9.295B,13.34B,,,6.101B,,,719.22M,8.947B,29.11B,31.23B,575.84M,,575.84M,1.929B,2.505B,,977.41M,977.41M,,3.482B,,10.11B,10.11B,2.019B,,2.019B,,,335.12M,,12.47B,22.60B,32.98M,1.913B,7.056B,,-377.88M,8.624B
2004-06,100.00M,,100.00M,1.339B,,1.339B,448.00M,,,,532.00M,2.419B,22.05B,603.00M,22.66B,-9.353B,13.30B,,,6.101B,,,701.00M,9.487B,29.59B,32.01B,613.00M,,613.00M,1.578B,2.191B,,1.552B,1.552B,,3.743B,,9.916B,9.916B,2.018B,,2.018B,,,335.00M,,12.27B,23.58B,33.00M,1.739B,7.055B,,-394.00M,8.433B
2004-03,280.00M,,280.00M,1.233B,,1.233B,428.00M,,,,531.00M,2.472B,21.92B,584.00M,22.50B,-9.243B,13.26B,,,6.117B,,,707.00M,10.03B,30.11B,32.58B,548.00M,,548.00M,1.547B,2.095B,,1.871B,1.871B,,3.966B,,10.15B,10.15B,2.138B,,2.138B,,,335.00M,,12.62B,24.24B,33.00M,1.656B,7.054B,,-398.00M,8.345B
2003-12,114.00M,,114.00M,1.506B,,1.506B,421.00M,,,,202.00M,2.243B,21.59B,779.00M,22.37B,-9.105B,13.27B,,,6.128B,,,695.00M,10.58B,30.67B,32.91B,725.00M,,725.00M,1.471B,2.196B,,2.276B,2.276B,,4.472B,,9.789B,9.789B,2.178B,,2.178B,,,335.00M,,12.30B,24.62B,33.00M,1.604B,7.063B,,-411.00M,8.289B
2003-09,179.00M,,179.00M,1.533B,,1.533B,441.00M,,,,203.00M,2.356B,21.50B,699.00M,22.20B,-9.287B,12.91B,,,6.128B,,,860.00M,11.24B,31.14B,33.50B,722.00M,,722.00M,1.587B,2.309B,,1.823B,1.823B,,4.132B,,10.70B,10.70B,2.205B,,218.00M,,,335.00M,,11.25B,25.38B,33.00M,1.617B,7.056B,,-595.00M,8.111B
2003-06,64.00M,,64.00M,1.641B,,1.641B,461.00M,,,,328.00M,2.494B,21.46B,606.00M,22.07B,-9.152B,12.91B,,,6.249B,,,894.00M,11.47B,31.53B,34.02B,858.00M,,858.00M,1.457B,2.315B,,2.373B,2.373B,,4.688B,,11.24B,11.24B,2.292B,,225.00M,,,638.00M,,12.10B,26.90B,30.00M,1.575B,6.121B,,-601.00M,7.125B
2003-03,290.04M,,290.04M,1.589B,,1.589B,415.22M,,,,289.59M,2.584B,21.06B,963.42M,22.02B,-9.047B,12.98B,,,5.855B,,,872.62M,11.23B,30.93B,33.52B,885.65M,,885.65M,1.540B,2.426B,,2.486B,2.486B,,4.911B,,11.04B,11.04B,2.635B,,230.05M,,,763.61M,,12.03B,26.26B,29.76M,1.842B,6.119B,,-729.07M,7.262B
2002-12,196.00M,,196.00M,1.623B,,1.623B,427.00M,,,,204.00M,2.45B,20.37B,859.00M,21.23B,-8.553B,12.68B,,,6.278B,,,901.00M,12.08B,31.94B,34.39B,906.00M,,906.00M,1.549B,2.455B,,2.796B,2.796B,,5.251B,,10.87B,10.87B,2.306B,,236.00M,,,764.00M,,11.87B,27.34B,30.00M,1.635B,6.12B,,-734.00M,7.051B
2002-09,280.55M,,280.55M,1.699B,,1.699B,419.48M,,,,242.16M,2.642B,20.36B,684.86M,21.05B,-8.505B,12.54B,,,5.772B,,,951.88M,12.26B,31.52B,34.17B,789.85M,,789.85M,1.642B,2.432B,,2.631B,2.631B,,5.063B,,11.09B,11.09B,2.939B,,241.79M,,,764.18M,,12.10B,26.37B,29.76M,1.852B,6.113B,,-202.48M,7.793B
2002-06,359.05M,,359.05M,1.632B,,1.632B,401.10M,,,,356.00M,2.748B,20.33B,582.56M,20.91B,-8.429B,12.48B,,,5.605B,,,846.23M,12.60B,31.53B,34.28B,741.96M,,741.96M,1.495B,2.237B,,2.965B,2.965B,,5.202B,,11.08B,11.08B,3.006B,,247.99M,,,765.16M,,12.09B,26.71B,29.76M,1.652B,6.106B,,-222.65M,7.565B
2002-03,647.72M,,647.72M,1.603B,,1.603B,379.36M,,,,227.06M,2.857B,21.76B,681.20M,22.44B,-8.283B,14.16B,,,6.257B,,,1.275B,12.76B,34.45B,37.31B,1.070B,,1.070B,1.672B,2.742B,,2.856B,2.856B,,5.598B,,12.60B,12.60B,2.931B,,254.37M,,,1.075B,,13.93B,29.87B,29.76M,1.529B,6.104B,,-225.46M,7.437B
2001-12,220.18M,,220.18M,1.548B,,1.548B,397.52M,,,,336.61M,2.503B,19.98B,607.70M,20.59B,-8.161B,12.43B,,,5.601B,,,858.27M,15.96B,34.85B,37.35B,704.18M,,704.18M,1.483B,2.188B,,2.482B,2.482B,,4.669B,,11.43B,11.43B,2.945B,,260.53M,,,1.075B,,12.77B,29.95B,29.76M,1.522B,6.113B,,-266.23M,7.399B
2001-09,175.59M,,175.59M,964.37M,,964.37M,344.05M,,,,147.22M,1.631B,12.75B,410.69M,13.16B,-5.503B,7.659B,,,2.048B,,,418.42M,6.322B,16.45B,18.08B,450.96M,,450.96M,973.91M,1.425B,,1.854B,1.854B,,3.279B,,5.075B,5.075B,2.145B,,227.91M,,,807.07M,,6.110B,13.31B,22.40M,1.442B,3.524B,,-221.84M,4.767B
2001-06,205.22M,,205.22M,894.86M,,894.86M,327.98M,,,,214.73M,1.643B,12.71B,302.11M,13.01B,-5.409B,7.605B,,,2.062B,,,481.92M,6.346B,16.49B,18.14B,370.98M,,370.98M,801.67M,1.173B,,1.397B,1.397B,,2.570B,,5.792B,5.792B,2.233B,,232.28M,,,808.54M,,6.832B,13.44B,22.40M,1.290B,3.522B,,-139.90M,4.694B
2001-03,42.50M,,42.50M,889.26M,,889.26M,290.76M,,,,207.37M,1.430B,12.45B,443.40M,12.89B,-5.295B,7.599B,,,2.075B,,,528.50M,6.370B,16.57B,18.00B,409.00M,,409.00M,816.77M,1.226B,,1.233B,1.233B,,2.459B,,5.767B,5.767B,2.318B,,236.64M,,,809.02M,,6.813B,13.30B,22.40M,1.226B,3.519B,,-67.64M,4.700B
2000-12,49.26M,,49.26M,918.45M,,918.45M,283.72M,,,,189.87M,1.441B,12.42B,420.88M,12.84B,-5.263B,7.575B,,,2.089B,,,353.59M,6.483B,16.50B,17.94B,478.66M,,478.66M,878.90M,1.358B,,1.236B,1.236B,,2.594B,,5.742B,5.742B,2.335B,,241.00M,,,689.50M,,6.673B,13.17B,142.45M,1.210B,3.532B,120.00M,-111.14M,4.773B
2000-09,67.21M,,67.21M,812.94M,,812.94M,245.60M,,,,189.96M,1.316B,12.00B,335.34M,12.34B,-4.841B,7.500B,,,2.103B,,,455.17M,6.594B,16.65B,17.97B,316.31M,,316.31M,948.55M,1.265B,,1.110B,1.110B,,2.375B,,5.725B,5.725B,2.366B,,248.03M,,,763.00M,,6.736B,13.16B,142.74M,1.167B,3.608B,120.00M,-113.68M,4.804B
2000-06,87.56M,,87.56M,788.76M,,788.76M,234.81M,,,,228.15M,1.339B,11.79B,413.89M,12.20B,-4.758B,7.444B,,,2.117B,,,443.14M,6.758B,16.76B,18.10B,357.24M,,357.24M,837.88M,1.195B,,1.109B,1.109B,,2.304B,,5.966B,5.966B,2.443B,,257.94M,,,772.75M,,6.997B,13.37B,142.92M,1.052B,3.651B,120.00M,-117.91M,4.728B
2000-03,43.05M,,43.05M,753.78M,,753.78M,247.23M,,,,214.53M,1.259B,14.70B,492.87M,15.19B,-6.076B,9.118B,,,2.118B,,,445.93M,5.168B,16.85B,18.11B,342.06M,,342.06M,849.48M,1.192B,,1.011B,1.011B,,2.203B,,6.056B,6.056B,2.477B,,264.21M,,,784.64M,,7.105B,13.39B,143.09M,1.002B,3.690B,120.00M,-121.33M,4.713B
1999-12,111.80M,,111.80M,767.90M,,767.90M,254.00M,,,,168.00M,1.302B,14.65B,367.40M,15.01B,-5.919B,9.093B,,,2.130B,,,453.00M,5.246B,16.92B,18.22B,360.40M,,360.40M,836.70M,1.197B,,1.180B,1.180B,,2.377B,,6.001B,6.001B,2.500B,,269.10M,,,784.60M,,7.055B,13.54B,143.20M,945.20M,3.722B,120.00M,-127.00M,4.684B
1999-09,115.60M,,115.60M,752.30M,,752.30M,222.50M,,,,163.10M,1.254B,15.08B,240.30M,15.32B,-6.283B,9.032B,,,,,,2.575B,5.214B,16.82B,18.07B,232.20M,,232.20M,892.00M,1.124B,,1.37B,1.37B,,2.494B,,5.818B,5.818B,2.510B,,274.40M,,,803.40M,,6.895B,13.42B,143.30M,909.60M,3.735B,120.00M,-131.10M,4.657B
1999-06,226.50M,,226.50M,724.80M,,724.80M,249.40M,,,,210.70M,1.411B,15.10B,231.90M,15.33B,-6.109B,9.224B,,,,,,2.607B,5.140B,16.97B,18.38B,304.10M,,304.10M,776.50M,1.081B,,1.43B,1.43B,,2.511B,,6.143B,6.143B,2.538B,,279.30M,,,809.40M,,7.232B,13.79B,143.40M,809.00M,3.775B,120.00M,-133.90M,4.593B
1999-03,45.60M,,45.60M,582.70M,,582.70M,260.00M,,,,196.90M,1.085B,15.02B,320.70M,15.34B,-6.119B,9.220B,,,,,,2.649B,5.235B,17.10B,18.19B,271.00M,,271.00M,755.60M,1.027B,,1.107B,1.107B,,2.134B,,6.335B,6.335B,2.560B,,282.70M,,,834.90M,,7.453B,13.61B,143.50M,769.00M,3.804B,120.00M,-136.40M,4.580B
1998-12,77.80M,,77.80M,561.40M,,561.40M,256.00M,,,,171.90M,1.067B,14.96B,293.70M,15.26B,-6.013B,9.243B,,,2.168B,,,470.10M,5.244B,17.13B,18.19B,247.40M,,247.40M,798.50M,1.046B,,1.131B,1.131B,-0.10M,2.177B,,6.352B,6.352B,2.569B,,286.20M,,,834.90M,,7.474B,13.62B,143.70M,718.40M,3.846B,120.00M,-139.50M,4.569B
1998-09,117.70M,,117.70M,673.90M,,673.90M,230.70M,,,,152.60M,1.175B,14.53B,287.20M,14.82B,-5.738B,9.078B,,,,,,2.666B,5.304B,17.05B,18.22B,262.20M,,262.20M,866.50M,1.129B,,951.40M,951.40M,,2.080B,,6.606B,6.606B,2.556B,,291.00M,,,853.70M,,7.751B,13.67B,143.70M,709.80M,3.844B,120.00M,-141.40M,4.556B
1998-06,71.00M,,71.00M,627.00M,,627.00M,251.90M,,,,201.40M,1.151B,14.44B,242.00M,14.68B,-5.549B,9.135B,,,,,,2.734B,5.316B,17.18B,18.34B,506.50M,,506.50M,728.50M,1.235B,,609.90M,609.90M,,1.845B,,6.997B,6.997B,2.583B,,296.90M,,,859.70M,,8.153B,13.86B,143.70M,632.80M,3.839B,120.00M,-143.90M,4.472B
1998-03,48.80M,,48.80M,463.20M,,463.20M,247.80M,,,,188.90M,948.70M,14.95B,254.10M,15.20B,-5.701B,9.503B,,,,,,2.559B,5.039B,17.10B,18.05B,271.90M,,271.90M,728.40M,1.000B,,600.60M,600.60M,,1.601B,,7.149B,7.149B,2.617B,,318.40M,,,875.10M,,8.342B,13.73B,143.00M,686.90M,3.637B,120.00M,-145.70M,4.321B
