,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-06,178.00M,,,,-209.00M,,,,458.00M,76.00M,,,,-35.00M,-226.00M,-59.00M,,43.00M,-53.00M,,149.00M,-146.00M,1.00M,323.00M,-233.00M,7.00M,-226.00M,,,8.00M,-27.00M,-245.00M,,,-3.00M,,,,,,,,-135.00M,29.00M,-109.00M,81.00M,-31.00M,50.00M,,,,
2005-03,160.00M,,,,-239.00M,,,,473.00M,-14.00M,,,,35.00M,91.00M,7.00M,,61.00M,-106.00M,,149.00M,202.00M,-19.00M,598.00M,-229.00M,54.00M,-175.00M,,,27.00M,-63.00M,-211.00M,,,-194.00M,,,,,,,,-135.00M,-30.00M,-359.00M,53.00M,28.00M,81.00M,,,,
2004-12,201.00M,,,,-318.00M,,,,446.00M,315.00M,,,,-1.00M,-34.00M,-16.00M,,35.00M,90.00M,,-445.00M,-370.00M,81.00M,354.00M,-300.00M,1.00M,-299.00M,,,-19.00M,-9.00M,-327.00M,,,48.00M,,-1.00M,-1.00M,,,,,-123.00M,34.00M,-42.00M,68.00M,-15.00M,53.00M,,,,-1.00M
2004-09,299.00M,,,,-526.00M,,,,494.00M,37.00M,,,,1.00M,17.00M,6.00M,,-37.00M,47.00M,7.00M,274.00M,314.00M,-60.00M,559.00M,-211.00M,2.00M,-209.00M,,,297.00M,-77.00M,11.00M,,,-458.00M,,-1.00M,-1.00M,,,,,-124.00M,-19.00M,-602.00M,100.00M,-32.00M,68.00M,,,,-1.00M
2004-06,204.00M,,,,-218.00M,,,,480.00M,-106.00M,,,,,-102.00M,8.00M,,68.00M,-43.00M,9.00M,31.00M,-29.00M,-2.00M,329.00M,-197.00M,200.00M,3.00M,,,,60.00M,63.00M,,,-478.00M,,,,,,,,-122.00M,27.00M,-573.00M,280.00M,-181.00M,100.00M,,,,
2004-03,174.00M,,,,-89.00M,,,,429.00M,12.00M,,,,,273.00M,-7.00M,,-177.00M,-47.00M,-16.00M,99.00M,125.00M,-1.00M,650.00M,-138.00M,11.00M,-127.00M,,,,-116.00M,-243.00M,,,-74.00M,,,,,,,,-122.00M,-44.00M,-240.00M,114.00M,167.00M,280.00M,,,,
2003-12,109.67M,,,,-318.39M,,,,574.89M,114.51M,,,,-1.00M,22.04M,19.28M,,1.314M,-20.13M,86.36M,-177.25M,-68.38M,38.78M,450.07M,-275.93M,11.47M,-264.46M,,,,82.93M,-181.53M,,,-264.70M,-0.605M,-0.663M,-1.268M,,,,,-122.18M,-6.352M,-394.50M,239.89M,-125.96M,114.00M,-0.605M,,,-0.663M
2003-09,152.33M,,,,-81.61M,,,,405.11M,-40.51M,,,,-1.00M,104.96M,19.72M,,-136.31M,110.13M,-6.363M,295.25M,387.38M,-0.778M,820.93M,-156.07M,1.53M,-154.54M,,,-15.00M,8.066M,-161.47M,,,-1.368B,934.60M,-1.337M,933.27M,,,,,-110.82M,-1.648M,-547.50M,128.00M,111.96M,239.89M,934.60M,,,-1.337M
2003-06,-58.00M,,,,184.00M,,,,369.00M,-48.00M,,,,1.00M,-59.00M,-45.00M,,-28.00M,-51.00M,-62.00M,-249.00M,-494.00M,68.00M,22.00M,-200.00M,5.00M,-195.00M,,,-10.00M,97.00M,-108.00M,,,96.00M,,-125.00M,-125.00M,,,,,-110.00M,19.00M,-120.00M,334.00M,-206.00M,128.00M,,,,-125.00M
2003-03,219.00M,,,,-275.00M,,,,387.00M,28.00M,,,,,-2.00M,11.00M,,-7.00M,-70.00M,-18.00M,191.00M,105.00M,-2.00M,462.00M,-224.00M,61.00M,-163.00M,,,25.00M,20.00M,-118.00M,,,-140.00M,,,,,,,,-110.00M,14.00M,-236.00M,226.00M,108.00M,334.00M,,,,
2002-12,18.00M,,,,118.00M,,,,222.00M,58.00M,,,,-2.00M,80.00M,-8.00M,,121.00M,-94.00M,,-13.00M,86.00M,20.00M,520.00M,-303.00M,0.00,-303.00M,,,,-119.00M,-341.00M,,,-136.00M,,-18.00M,-18.00M,,,,,-110.00M,1.00M,-263.00M,281.00M,-84.00M,196.00M,,,,-18.00M
2002-09,285.00M,,,,-275.00M,,,,306.00M,20.00M,,,,3.00M,-68.00M,-18.00M,,48.00M,113.00M,98.00M,157.00M,330.00M,0.00,669.00M,-275.00M,0.00,-275.00M,,,,-4.00M,-279.00M,,,-44.00M,,-314.00M,-314.00M,,,,,-110.00M,-1.00M,-469.00M,359.00M,-79.00M,281.00M,,,,-314.00M
2002-06,209.51M,,,,-143.12M,,,,361.74M,33.53M,,,,-1.00M,-150.10M,-22.16M,,48.00M,-19.00M,-278.99M,163.49M,-258.75M,60.00M,261.92M,-224.71M,155.00M,-69.71M,,,,-348.09M,-417.80M,,,-18.68M,,-4.701M,-4.701M,,,,,-110.27M,1.00M,-132.66M,647.72M,-288.54M,359.00M,,,,-4.701M
2002-03,116.49M,,,,-76.88M,,,,280.26M,-20.53M,,,,,60.10M,18.16M,,-3.004M,,180.99M,-91.49M,164.75M,,464.08M,-195.29M,,-195.29M,,,,417.09M,221.80M,,,36.68M,,-185.30M,-185.30M,,,,,-109.73M,,-258.34M,220.18M,427.54M,647.72M,,,,-185.30M
2001-12,168.63M,,,,-39.47M,,,,270.55M,96.68M,,,,,99.02M,10.28M,,-56.88M,,,-248.46M,-196.03M,,300.36M,-284.68M,,-284.68M,,,,-116.12M,-2.414B,,,2.219B,,-68.75M,27.99M,,,,,-89.07M,,2.158B,175.59M,44.58M,220.18M,,,,-68.75M
2001-09,234.09M,,,,-4.98M,,,,230.90M,-29.75M,,,,,-69.51M,-16.07M,,79.98M,,,166.06M,160.46M,,590.72M,-291.28M,,-291.28M,,,,-105.98M,-397.25M,,,-135.15M,,-6.00M,-6.00M,,,,,-81.94M,,-223.10M,205.22M,-29.62M,175.59M,,,,-6.00M
2001-06,146.02M,,,,-4.988M,,,,226.79M,-19.37M,,,,,-5.609M,-37.22M,,-38.02M,,,-99.11M,-179.96M,,168.49M,-125.32M,,-125.32M,,,-29.14M,44.37M,-110.09M,,,196.90M,,-10.72M,-10.72M,,,,,-81.86M,,104.32M,42.50M,162.72M,205.22M,,,,-10.72M
2001-03,97.71M,,,,9.34M,,,,247.56M,-15.94M,,,,,29.19M,-7.043M,,-69.66M,,,-69.06M,-116.57M,,222.10M,-151.18M,,-151.18M,,,29.14M,-31.29M,-153.32M,,,21.52M,,-15.31M,-15.31M,,,,,-81.75M,,-75.54M,49.26M,-6.762M,42.50M,,,,-15.31M
2000-12,125.26M,,,,-7.668M,,,,250.71M,1.765M,,,,,-105.50M,-38.12M,,162.35M,,,11.10M,29.82M,,399.89M,-206.17M,,-206.17M,,,17.45M,-120.98M,-309.71M,,,69.47M,,-95.30M,-95.30M,,,,,-82.31M,,-108.14M,67.21M,-17.96M,49.26M,,,,-95.30M
2000-09,198.19M,,,,-10.57M,,,,309.70M,-47.86M,,,,,-24.19M,-10.79M,,-40.93M,,,120.37M,44.46M,,493.93M,-105.37M,,-105.37M,,,,-37.35M,-142.72M,,,-237.72M,,-50.44M,-50.44M,,,,,-83.39M,,-371.55M,87.56M,-20.35M,67.21M,,,,-50.44M
2000-06,134.60M,,,,-6.941M,,,,246.29M,-27.96M,,,,,-46.93M,12.42M,,15.18M,,,-40.56M,-59.89M,,286.09M,-124.40M,,-124.40M,,,-39.11M,55.08M,-108.42M,,,4.67M,,-53.76M,-53.76M,,,,,-84.06M,,-133.16M,43.05M,44.51M,87.56M,,,,-53.76M
2000-03,140.92M,,,,-5.554M,,,,228.68M,-5.373M,,,,,26.10M,6.838M,,-18.32M,,,-45.37M,-30.75M,,327.92M,-151.68M,,-151.68M,,,39.11M,-16.94M,-129.51M,,,-148.73M,,-33.96M,-33.96M,,,,,-84.46M,,-267.14M,111.79M,-68.74M,43.05M,,,,-33.96M
1999-12,120.40M,,,,-6.00M,,,,1.032B,0.10M,,,,-794.60M,-37.70M,-14.00M,,109.20M,,,44.70M,102.20M,,454.30M,-326.40M,,-326.40M,,,-0.10M,-6.90M,-333.40M,,,-7.60M,,-32.30M,-32.30M,,,,,-84.80M,,-124.70M,115.60M,-3.80M,111.80M,,,,-32.30M
1999-09,185.86M,,,,-6.881M,,,,-451.61M,-30.46M,,,,794.70M,-5.453M,26.87M,,-75.77M,,,111.33M,56.98M,,548.59M,-114.82M,,-114.82M,,,41.30M,-60.97M,-134.50M,,,-386.83M,,-52.94M,-52.94M,,,,,-85.26M,,-525.03M,226.53M,-110.94M,115.60M,,,,-52.94M
1999-06,125.32M,,,,-3.419M,,,,235.61M,-8.345M,,,,0.121M,-142.05M,11.73M,,36.97M,,,16.87M,-76.48M,,272.81M,-92.98M,,-92.98M,,,-41.30M,47.37M,-86.90M,,,132.93M,,-52.56M,-52.56M,,,,,-85.34M,,-4.971M,45.60M,180.94M,226.53M,,,,-52.56M
1999-03,136.72M,,,,-3.40M,,,,216.00M,-6.40M,,,,-0.121M,-18.40M,-5.00M,,12.20M,,,-119.00M,-130.20M,,212.60M,-90.70M,,-90.70M,,,41.30M,-7.50M,-56.90M,,,-57.30M,,-44.50M,-44.50M,,,,,-86.10M,,-187.90M,77.80M,-32.20M,45.60M,,,,-44.50M
1998-12,94.70M,,,,-5.00M,,,,,-3.50M,,,,202.00M,139.30M,-25.70M,,59.90M,,,-104.10M,69.40M,,357.60M,-205.10M,,-205.10M,,,63.60M,-67.20M,-208.70M,,,-102.90M,0.30M,0.00,0.30M,,,,,-86.10M,-0.10M,-188.80M,117.70M,-39.90M,77.80M,0.30M,,,0.00
1998-09,163.10M,,,,-5.80M,,,,,3.90M,,,,219.50M,-192.30M,21.30M,,-98.00M,,,153.70M,-115.30M,,265.40M,-76.60M,,-76.60M,,,0.20M,3.90M,-72.50M,,,-54.20M,0.00,-6.00M,-6.00M,,,,,-86.00M,0.00,-146.20M,71.00M,46.70M,117.70M,0.00,,,-6.00M
1998-06,59.90M,,,,46.20M,,,,,-29.40M,,,,170.10M,48.40M,0.20M,,12.80M,,,-29.40M,32.00M,,278.80M,-307.10M,,-307.10M,,,-0.10M,-7.70M,-314.90M,,,-163.30M,203.90M,-15.40M,188.50M,,,,,-83.60M,116.60M,58.20M,48.80M,22.10M,71.00M,203.90M,,,-15.40M
