,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,2.853B,2.853B,1.162B,1.691B,,,,,,163.00M,,,,940.00M,1.457B,234.00M,,,,,,28.00M,18.00M,10.00M,-68.00M,,,,-58.00M,10.00M,603.00M,369.00M,234.00M,0.03,-0.23,,,0.03,-0.2,0.03,-0.23,,,0.03,-0.2,294.17M,295.89M,0.375
2003-03,3.221B,3.221B,1.325B,1.896B,,,,,,178.00M,,,,927.00M,1.481B,415.00M,,,,,,208.00M,94.00M,114.00M,2.00M,102.00M,,,218.00M,114.00M,802.00M,387.00M,415.00M,0.39,0.0,0.0,,0.39,0.74,0.39,0.0,0.3459,,0.39,0.74,293.89M,294.88M,0.375
2002-12,2.251B,2.251B,157.00M,2.094B,,,,,,155.00M,,,,951.00M,1.848B,246.00M,,,,,,37.00M,30.00M,7.00M,,,,,-59.00M,7.00M,988.00M,222.00M,246.00M,-0.06,-0.3,,,-0.06,-0.36,-0.06,-0.3,,,-0.06,-0.36,292.80M,292.84M,0.375
2002-09,3.451B,3.451B,1.37B,2.081B,,,,,,177.00M,,,,866.00M,1.353B,728.00M,,,,,,507.00M,222.00M,285.00M,,,,,285.00M,285.00M,1.038B,306.00M,728.00M,0.97,0.0,,,0.97,0.97,0.97,0.0,,,0.97,0.97,293.33M,294.28M,0.375
2002-06,2.898B,2.898B,912.00M,1.986B,,,,,,145.00M,,,,915.00M,1.36B,626.00M,,,,,,376.00M,168.00M,208.00M,,,,,208.00M,208.00M,987.74M,361.74M,626.00M,0.71,0.0,,,0.71,0.71,0.71,0.0,,,0.71,0.71,293.08M,294.59M,0.375
2002-03,2.853B,2.853B,891.07M,1.962B,,,,,,171.99M,,,,1.038B,1.473B,489.64M,,,,,,210.92M,94.43M,116.49M,,,,,116.49M,116.49M,769.90M,280.26M,489.64M,0.4,0.0,,,0.4,0.4,0.4,0.0,,,0.4,0.4,292.79M,294.34M,0.375
2001-12,2.258B,2.258B,667.98M,1.590B,,,,,,131.44M,,,,771.54M,1.148B,441.90M,,,,,,257.60M,88.96M,168.63M,,0.00,,,168.63M,168.63M,712.45M,270.55M,441.90M,0.59,0.04,0.0,,0.59,0.63,0.59,0.04,0.002,,0.59,0.63,264.93M,264.93M,0.375
2001-09,1.952B,1.952B,422.09M,1.530B,,,,,,112.29M,,,,667.00M,990.06M,539.50M,,,,,,415.37M,181.28M,234.09M,,,,,234.09M,234.09M,770.40M,230.90M,539.50M,1.07,0.0,,,1.07,1.07,1.06,0.0,,,1.06,1.06,218.59M,220.16M,0.375
2001-06,1.804B,1.804B,474.08M,1.330B,,,,,,92.19M,,,,643.85M,942.64M,387.42M,,,,,,266.46M,120.44M,146.02M,,,,,146.02M,146.02M,614.22M,226.79M,387.42M,0.67,0.0,,,0.67,0.67,0.67,0.0,,,0.67,0.67,218.37M,219.54M,0.375
2001-03,1.986B,1.986B,677.40M,1.308B,,,,,,119.42M,,,,645.40M,992.04M,316.31M,,,,,,189.98M,83.77M,106.21M,,-8.499M,,,97.71M,106.21M,563.86M,247.56M,316.31M,0.49,-0.04,0.0,,0.49,0.45,0.49,-0.04,-0.039,,0.49,0.45,218.11M,218.90M,0.375
2000-12,1.827B,1.827B,485.07M,1.342B,,,,,,130.60M,,,,677.30M,1.034B,308.40M,,,,,,179.82M,54.56M,125.26M,,,,,125.26M,125.26M,559.11M,250.71M,308.40M,0.57,0.0,,,0.57,0.57,0.57,0.0,,,0.57,0.57,219.53M,219.68M,0.375
2000-09,1.892B,1.892B,438.78M,1.453B,,,,,,138.05M,,,,575.36M,994.29M,458.57M,,,,,,327.39M,129.20M,198.19M,,,,,198.19M,198.19M,768.28M,309.70M,458.57M,0.89,0.0,,,0.89,0.89,0.89,0.0,,,0.89,0.89,221.85M,222.41M,0.375
2000-06,1.702B,1.702B,393.87M,1.308B,,,,,,137.98M,,,,581.37M,944.14M,364.09M,,,,,,229.75M,95.14M,134.60M,,,,,134.60M,134.60M,610.38M,246.29M,364.09M,0.6,0.0,,,0.6,0.6,0.6,0.0,,,0.6,0.6,223.54M,223.99M,0.375
2000-03,1.608B,1.608B,346.68M,1.261B,,,,,,141.06M,,,,544.27M,887.41M,373.84M,,,,,,238.82M,97.90M,140.92M,,,,,140.92M,140.92M,602.52M,228.68M,373.84M,0.63,0.0,,,0.63,0.63,0.63,0.0,,,0.63,0.63,224.86M,224.86M,0.375
1999-12,1.646B,1.646B,198.60M,1.447B,,,,,3.90M,122.00M,,,,743.90M,1.103B,344.05M,,,,3.90M,,206.60M,86.20M,120.40M,,,,,120.40M,118.06M,581.45M,,344.05M,0.53,0.0,,,0.5197,0.53,0.53,0.0,,,0.5197,0.53,226.83M,227.36M,0.375
1999-09,1.732B,1.732B,269.80M,1.463B,,,,,3.40M,144.60M,,,,530.80M,1.021B,441.30M,,,,3.40M,,300.10M,114.30M,185.80M,,,,,185.80M,183.69M,787.20M,,441.30M,0.82,0.0,,,0.8107,0.82,0.82,0.0,,,0.8107,0.82,226.59M,226.59M,0.375
1999-06,1.519B,1.519B,204.27M,1.314B,,,,,3.376M,139.47M,,,,567.26M,940.99M,373.48M,,,,3.376M,,226.12M,100.79M,125.32M,,,,,125.32M,123.30M,609.09M,235.61M,373.48M,0.55,0.0,,,0.5411,0.55,0.55,0.0,,,0.5411,0.55,227.86M,227.86M,0.375
1999-03,1.423B,1.423B,204.36M,1.218B,,,,,2.70M,138.09M,,,,486.41M,841.85M,376.35M,,,,2.70M,,230.27M,93.55M,136.72M,,,,,136.72M,135.10M,593.69M,216.00M,376.35M,0.6,0.0,,,0.5929,0.6,0.6,0.0,,,0.5929,0.6,227.87M,227.87M,0.375
1998-12,1.322B,1.322B,151.30M,1.170B,,,,,2.50M,140.90M,,,,526.70M,869.50M,301.00M,,,,2.50M,,151.60M,56.90M,94.70M,,,,,94.70M,93.14M,502.90M,,301.00M,0.41,0.01,,0.0003,0.4031,0.42,0.41,0.01,,0.0003,0.4031,0.42,227.92M,227.92M,0.375
1998-09,1.722B,1.722B,291.20M,1.431B,,,,,2.50M,138.50M,,,,634.90M,1.003B,428.10M,,,,2.50M,,274.70M,111.60M,163.10M,,,,,163.10M,161.60M,657.40M,,428.10M,0.71,0.0,,,0.7035,0.71,0.71,0.0,,,0.7035,0.71,229.72M,229.72M,0.375
1998-06,1.464B,1.464B,326.30M,1.138B,,,,,1.20M,135.10M,,,,530.40M,870.80M,266.90M,,,,1.20M,,112.20M,52.20M,60.00M,,,,,29.50M,59.28M,472.20M,,266.90M,0.27,-0.14,,-0.1344,0.2668,0.13,0.27,-0.14,,-0.1344,0.2668,0.13,226.92M,226.92M,0.375
