,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-06,73.80M,,,22.90M,55.60M,55.60M,10.70M,,,,,-152.10M,25.20M,99.20M,-4.20M,11.20M,,-20.70M,-41.40M,100.90M,-95.20M,2.70M,-92.50M,-6.40M,,,-98.90M,,,77.40M,2.70M,,2.70M,,-57.50M,,,22.60M,10.20M,24.60M,0.60M,35.40M,2.70M,,,
2003-03,16.00M,,,82.80M,65.10M,65.10M,-10.60M,,,,,128.60M,-88.10M,48.00M,9.40M,-210.70M,,-112.80M,,40.50M,-93.20M,7.50M,-85.70M,-452.30M,,,-538.00M,,,307.30M,202.10M,,202.10M,,-57.70M,,,451.70M,55.10M,-45.80M,0.90M,10.20M,202.10M,,,
2002-12,95.80M,,,4.80M,62.30M,62.30M,16.40M,,,,,-9.20M,78.10M,29.90M,-20.30M,41.90M,,120.40M,,299.70M,-66.90M,0.00,-66.90M,-13.70M,,,-80.60M,,,-116.80M,2.70M,,2.70M,,-56.20M,,,-170.30M,6.70M,48.80M,-0.40M,55.10M,2.70M,,,
2002-09,76.16M,,,66.54M,71.98M,71.98M,-6.234M,,,,-6.107M,65.20M,22.14M,-26.72M,-7.973M,15.51M,,68.15M,,270.50M,-84.04M,7.80M,-76.24M,0.321M,,-6.907M,-82.83M,,,-142.42M,6.852M,,6.852M,,-56.08M,,,-191.66M,10.07M,-3.988M,0.622M,6.70M,6.852M,,,
2002-06,88.62M,,,7.56M,78.43M,78.43M,2.525M,,,,2.326M,-148.94M,-37.37M,104.12M,-1.187M,80.15M,,-3.228M,,176.23M,-65.16M,,-65.16M,-240.16M,,3.516M,-301.80M,,,175.75M,5.555M,,5.555M,,-56.09M,,,125.22M,10.16M,-0.357M,0.266M,10.07M,5.555M,,,
2002-03,-463.98M,,,520.70M,67.99M,67.99M,35.61M,,,,3.781M,95.75M,-49.96M,28.70M,-12.64M,-103.46M,,-41.62M,,122.47M,-36.00M,,-36.00M,11.34M,,3.391M,-21.27M,,,-46.03M,3.893M,,3.893M,,-56.03M,,,-98.16M,6.802M,3.045M,0.312M,10.16M,3.893M,,,
2001-12,70.74M,,,16.79M,74.11M,74.11M,11.52M,,,,24.32M,28.44M,69.92M,46.43M,-8.684M,-45.00M,,91.11M,,288.58M,-65.11M,,-49.68M,-85.52M,,3.479M,-123.94M,,,-112.77M,1.766M,,1.766M,,-56.01M,,,-167.02M,9.257M,-2.379M,-0.076M,6.802M,1.766M,,,
2001-09,83.47M,,,-1.223M,87.26M,87.26M,10.59M,,,,4.616M,-61.96M,85.43M,14.58M,-13.01M,7.328M,,32.37M,,217.08M,-60.40M,,-60.40M,-5.578M,,9.328M,-56.64M,,,-111.11M,0.105M,,0.105M,,-56.00M,,,-167.00M,15.79M,-6.567M,0.034M,9.257M,0.105M,,,
2001-06,72.01M,,,-0.115M,79.85M,79.85M,-7.788M,,,,1.281M,-117.15M,29.38M,63.82M,7.199M,107.21M,,90.45M,,235.69M,-64.53M,,-64.53M,-1.016M,,13.01M,-52.53M,,,-131.32M,0.255M,,0.255M,,-56.00M,,,-187.06M,19.87M,-3.90M,-0.183M,15.79M,0.255M,,,
2001-03,38.42M,,,1.735M,87.55M,87.55M,11.18M,,,,6.691M,45.89M,-56.12M,24.52M,7.677M,-43.48M,,-21.52M,,124.06M,-59.74M,,-59.74M,-15.37M,,4.672M,-70.44M,,,0.463M,0.737M,,0.737M,,-55.99M,,,-54.79M,22.52M,-1.169M,-1.483M,19.87M,0.737M,,,
2000-12,94.34M,,,9.757M,70.74M,70.74M,92.79M,,,,,90.17M,45.08M,-14.58M,5.434M,-73.53M,,52.57M,,338.65M,-76.06M,,-76.06M,-527.06M,,-10.38M,-613.50M,,,329.83M,1.263M,0.147M,1.41M,,-55.98M,,,275.26M,21.44M,0.407M,0.679M,22.52M,1.263M,,,0.147M
2000-09,123.00M,,,-1.962M,67.68M,67.68M,-39.26M,,,,,-16.12M,26.39M,8.717M,-5.66M,18.78M,,32.10M,,181.56M,-81.43M,,-81.43M,-2.643M,,7.202M,-76.88M,,,-41.89M,,0.842M,0.842M,,-55.98M,,,-97.03M,15.90M,7.656M,-2.114M,21.44M,,,,0.842M
2000-06,128.02M,,,-2.278M,77.07M,77.07M,-6.228M,,,,,-99.37M,-35.99M,-7.627M,-11.01M,86.56M,,-67.44M,,129.14M,-77.88M,,-77.88M,-13.70M,,-3.687M,-95.27M,,,33.18M,-0.405M,-0.989M,-1.394M,,-55.97M,,,-24.18M,8.028M,9.694M,-1.825M,15.90M,-0.405M,,,-0.989M
2000-03,76.22M,,,-2.573M,77.08M,77.08M,12.50M,,,,,61.62M,-135.97M,-32.12M,17.84M,-100.47M,,-189.10M,,-25.87M,-81.19M,,-81.19M,-54.44M,,11.99M,-123.64M,,,515.71M,0.405M,-402.96M,-402.56M,,-57.15M,,,56.01M,102.16M,-93.50M,-0.632M,8.028M,0.405M,,,-402.96M
1999-12,71.64M,,,-105.38M,73.53M,73.53M,-34.70M,,,,100.92M,107.26M,109.96M,13.22M,-28.99M,-41.81M,,159.64M,,265.65M,-25.47M,-22.30M,-47.77M,,2.928M,0.72M,-390.05M,,,249.72M,0.911M,,0.911M,,-56.37M,,,194.26M,34.00M,69.86M,-1.751M,102.16M,0.911M,,,
1999-09,72.70M,,,48.70M,56.90M,56.90M,6.30M,,,,0.20M,-15.80M,35.90M,3.70M,20.70M,34.90M,,79.40M,,264.20M,-50.20M,22.30M,-27.90M,,11.40M,-11.30M,-27.80M,,,-196.50M,0.50M,,0.50M,,-56.40M,,,-252.40M,0.00,-16.00M,1.00M,34.00M,0.50M,,,
1999-06,30.10M,,,75.90M,71.30M,71.30M,2.00M,,,,-0.20M,-128.40M,-52.50M,48.20M,-34.50M,108.40M,,-58.80M,,120.30M,-45.60M,,-45.60M,,,-7.40M,-53.00M,,,-35.40M,3.90M,,3.90M,,-56.40M,,,-87.90M,0.00,-20.60M,-0.20M,0.00,3.90M,,,
1999-03,-79.00M,,,35.50M,70.00M,70.00M,16.80M,,,,,20.80M,-40.70M,-50.50M,1.00M,-70.10M,,-139.50M,,-96.20M,-78.80M,,-78.80M,,,18.70M,-60.10M,,,176.90M,22.10M,,22.10M,,-56.60M,,,142.40M,86.60M,-13.90M,-2.80M,0.00,22.10M,,,
1998-12,63.93M,,,-30.20M,58.20M,58.20M,46.80M,,,,45.56M,116.90M,34.70M,-25.20M,19.80M,-40.90M,,105.30M,,289.60M,-110.40M,-26.90M,-137.30M,,-100.50M,33.30M,-204.50M,,,-25.10M,3.40M,,3.40M,,-53.40M,,,-75.10M,78.00M,10.00M,-1.30M,86.60M,3.40M,,,
1998-09,117.40M,,,14.60M,65.60M,65.60M,12.20M,,,,0.20M,30.10M,-38.40M,-23.50M,-22.30M,-15.50M,,-69.60M,,140.40M,-374.90M,209.90M,-165.00M,,0.00,-20.30M,-185.30M,,,58.70M,0.70M,1.60M,2.30M,,-53.30M,,,7.70M,0.00,-37.20M,0.00,78.00M,0.70M,,,1.60M
1998-06,142.00M,,,-21.30M,72.90M,72.90M,10.10M,,,,,-156.30M,4.40M,3.70M,5.60M,-82.20M,,-224.80M,,-21.10M,-166.00M,51.30M,-114.70M,,0.00,-21.40M,-136.10M,,,289.70M,-1.60M,-1.60M,-3.20M,,-53.20M,,0.10M,233.40M,0.00,76.20M,0.80M,0.00,-1.60M,,,-1.60M
