,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,1.795B,1.795B,1.270B,525.00M,319.60M,,,-49.80M,,,,319.60M,205.40M,,,-49.80M,,121.30M,39.30M,82.00M,-8.20M,,,73.80M,115.67M,261.00M,55.60M,205.40M,0.3,-0.03,,0.4228,0.27,0.3,-0.03,,0.4226,0.27,274.20M,274.70M,0.21
2003-03,1.736B,1.736B,1.273B,463.40M,322.60M,,,-85.00M,,,,322.60M,140.80M,,,-85.00M,,23.80M,7.80M,16.00M,,,,16.00M,73.14M,205.90M,65.10M,140.80M,0.06,0.0,,0.2689,0.06,0.06,0.0,,0.2686,0.06,273.60M,274.00M,0.21
2002-12,996.60M,996.60M,657.90M,338.70M,196.30M,,,-20.90M,,,,1.537B,-1.199B,,,-20.90M,,73.00M,23.70M,49.30M,,0.00,,95.80M,63.41M,-1.136B,62.30M,-1.199B,0.32,1.97,0.0,0.3728,0.36,0.31,1.97,0.0007,0.3625,0.36,267.40M,268.90M,0.21
2002-09,1.948B,1.948B,1.398B,550.30M,341.70M,,,-64.90M,,,,341.70M,208.60M,,,-64.90M,,114.00M,37.80M,76.20M,,,,76.20M,119.58M,280.58M,71.98M,208.60M,0.29,0.0,,0.4524,0.29,0.29,0.0,,0.4462,0.29,267.20M,277.70M,0.21
2002-06,1.895B,1.895B,1.374B,520.59M,330.04M,,,-26.96M,,,,330.04M,190.55M,,,-26.96M,,134.28M,45.65M,88.62M,,,,88.62M,106.41M,268.97M,78.43M,190.55M,0.33,0.0,,0.3966,0.33,0.33,0.0,,0.3964,0.33,267.03M,268.04M,0.21
2002-03,1.597B,1.597B,1.178B,419.11M,299.16M,,,-17.68M,,,,299.16M,119.96M,,,-17.68M,,77.22M,26.25M,50.96M,,-514.95M,,-463.98M,62.63M,187.95M,67.99M,119.96M,0.19,-1.93,-0.0,0.2337,-1.74,0.19,-1.93,-1.93,0.2336,-1.74,266.83M,267.51M,0.21
2001-12,1.806B,1.806B,1.278B,527.85M,328.73M,,14.48M,-44.01M,,,,343.21M,184.63M,,,-44.01M,,110.36M,39.62M,70.74M,,,,70.74M,98.95M,258.74M,74.11M,184.63M,0.26,0.0,,0.3658,0.26,0.26,0.0,,0.3652,0.26,266.70M,268.26M,0.21
2001-09,1.768B,1.768B,1.278B,489.58M,296.44M,,14.22M,-16.42M,,,,310.66M,178.91M,,,-16.42M,,130.22M,46.75M,83.47M,,,,83.47M,93.99M,266.17M,87.26M,178.91M,0.31,0.0,,0.3495,0.31,0.31,0.0,,0.3495,0.31,266.66M,266.66M,0.21
2001-06,1.725B,1.725B,1.271B,453.54M,278.46M,,14.18M,-11.00M,,,,292.64M,160.89M,,,-11.00M,,114.30M,42.29M,72.01M,,,,72.01M,78.94M,240.75M,79.85M,160.89M,0.27,0.0,,0.296,0.27,0.27,0.0,,0.296,0.27,266.65M,266.65M,0.21
2001-03,1.611B,1.611B,1.219B,391.78M,264.61M,,14.07M,-12.79M,,,,278.68M,113.10M,,,-12.79M,,60.99M,22.57M,38.42M,,,,38.42M,46.48M,200.65M,87.55M,113.10M,0.14,0.0,,0.1702,0.14,0.14,0.0,,0.1702,0.14,266.62M,266.62M,0.21
2000-12,1.762B,1.762B,1.301B,461.33M,223.72M,,12.83M,-36.37M,,,,236.55M,224.78M,,,-36.37M,,153.40M,59.06M,94.34M,,,,94.34M,116.71M,295.52M,70.74M,224.78M,0.07,0.28,,0.1539,0.35,0.07,0.28,,0.1539,0.35,266.43M,266.43M,0.21
2000-09,1.756B,1.756B,1.288B,468.75M,214.51M,,13.38M,-7.683M,,,,227.89M,240.87M,,,-7.683M,,200.00M,77.00M,123.00M,,,,123.00M,127.72M,308.55M,67.68M,240.87M,0.46,0.0,,0.4777,0.46,0.46,0.0,,0.4771,0.46,266.57M,276.50M,0.21
2000-06,1.787B,1.787B,1.300B,487.48M,221.59M,,12.50M,-11.25M,,,,234.08M,253.39M,,,-11.25M,,208.15M,80.14M,128.02M,,,,128.02M,134.93M,330.46M,77.07M,253.39M,0.48,0.0,,0.506,0.48,0.48,0.0,,0.505,0.48,266.54M,276.49M,0.21
2000-03,1.629B,1.629B,1.143B,485.57M,239.61M,77.08M,13.22M,-3.87M,,,,329.91M,155.65M,,,-3.87M,,123.94M,47.72M,76.22M,,,,76.22M,78.60M,245.96M,77.08M,155.65M,0.28,0.0,,0.2887,0.28,0.28,0.0,,0.2884,0.28,274.06M,284.02M,0.21
1999-12,1.989B,1.989B,1.702B,286.90M,254.49M,,,-42.13M,,,,103.01M,183.89M,,,-42.13M,,117.44M,45.80M,71.64M,,,,71.64M,97.33M,257.42M,73.53M,183.89M,0.26,0.0,,0.3695,0.26,0.26,0.0,,0.3692,0.26,234.72M,235.41M,0.2
1999-09,1.610B,1.610B,1.121B,488.80M,267.50M,,,-19.10M,,,,324.40M,164.40M,,,-19.10M,,119.20M,46.50M,72.70M,,,,72.70M,84.35M,221.30M,56.90M,164.40M,0.26,0.0,,0.3017,0.26,0.26,0.0,,0.3017,0.26,279.62M,279.62M,0.2
1999-06,1.597B,1.597B,1.105B,492.10M,335.20M,,,-11.90M,,,,406.50M,85.60M,,,-11.90M,,49.30M,19.20M,30.10M,,,,30.10M,37.37M,156.90M,71.30M,85.60M,0.11,0.0,,0.1366,0.11,0.11,0.0,,0.1366,0.11,273.64M,273.64M,0.2
1999-03,1.516B,1.516B,1.035B,481.30M,260.00M,,,-181.00M,,,,330.00M,151.30M,,,-181.00M,,-55.00M,24.00M,-79.00M,,,,-79.00M,29.60M,221.30M,70.00M,151.30M,-0.28,0.0,,0.1049,-0.28,-0.28,0.0,,0.1049,-0.28,282.14M,282.14M,0.2
1998-12,1.972B,1.972B,1.458B,514.21M,277.42M,,,-47.31M,,,,335.62M,178.59M,,,-47.31M,,104.37M,40.44M,63.93M,,,,63.93M,92.91M,236.80M,58.20M,178.59M,0.393,,,0.5711,0.393,0.393,,,0.5711,0.393,162.70M,162.70M,0.18
1998-09,1.560B,1.560B,1.056B,503.70M,227.40M,,,13.00M,,,,264.40M,239.30M,,,13.00M,,222.20M,104.80M,117.40M,,,,117.40M,109.60M,304.90M,65.60M,239.30M,0.42,0.0,,0.3721,0.42,0.42,0.0,,0.3734,0.42,162.74M,167.32M,0.18
1998-06,1.560B,1.560B,1.042B,517.00M,239.60M,,,13.10M,,,,279.70M,237.30M,,,13.10M,,229.00M,87.00M,142.00M,,,,142.00M,133.88M,310.20M,72.90M,237.30M,0.51,0.0,,0.4591,0.51,0.5,0.0,,0.4507,0.5,159.47M,164.73M,0.18
