,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-06,284.95M,199.01M,,,5.714M,5.714M,,-0.071M,-206.31M,,,,261.86M,111.57M,87.45M,,,,-0.071M,,,,42.01M,1.139M,-4.518M,8.401M,43.15M,42.05M,137.74M,44.62M,87.45M,0.23,0.01,,0.2303,0.24,0.23,0.01,,0.2303,0.24,142.10M,156.83M,0.46
2004-03,279.56M,197.38M,,,8.317M,8.317M,,1.445M,-204.63M,,,,306.35M,160.79M,36.60M,,,,1.445M,,,,39.55M,4.552M,-3.181M,7.60M,44.10M,38.68M,87.35M,43.01M,36.60M,0.21,0.03,,0.2037,0.24,0.2,0.03,,0.1945,0.23,138.40M,156.91M,0.46
2003-12,7.441M,7.441M,,,,,,,,,,,,,442.47M,,,,,,,,3.699M,,,,22.79M,32.59M,486.23M,43.77M,442.47M,-0.06,0.42,,-0.06,0.36,-0.06,0.42,,-0.06,0.36,136.11M,136.59M,0.46
2003-09,191.35M,191.35M,,,,4.877M,,-3.84M,,,,,91.43M,142.47M,48.88M,,,,-3.84M,,,,45.85M,3.753M,-5.655M,9.415M,49.60M,48.15M,95.04M,42.28M,48.88M,0.27,0.03,,0.287,0.3,0.27,0.03,,0.2852,0.3,135.71M,151.24M,0.46
2003-06,250.06M,186.88M,,,5.077M,5.077M,,-0.009M,-169.71M,,,,219.00M,99.00M,87.88M,,,,-0.009M,,,,41.62M,1.674M,-5.43M,8.752M,43.29M,41.62M,132.51M,41.14M,87.88M,0.25,0.01,,0.25,0.26,0.24,0.01,,0.24,0.25,135.39M,151.02M,0.455
2003-03,244.76M,190.03M,,,6.268M,6.268M,,8.868M,-164.71M,,,,263.62M,151.78M,38.25M,,,,8.868M,,,,42.91M,3.318M,-5.187M,8.752M,46.23M,37.59M,84.86M,41.77M,38.25M,0.26,0.02,,0.2206,0.28,0.26,0.02,,0.2247,0.28,135.17M,150.63M,0.455
2002-12,177.83M,-3.345M,,,4.056M,4.056M,,,,,,,,-824.08M,820.74M,,,,,,,,36.41M,1.815M,47.99M,17.23M,38.22M,36.41M,885.51M,64.78M,820.74M,-0.12,0.27,,-0.12,0.15,-0.12,0.26,,-0.12,0.15,134.95M,135.01M,0.455
2002-09,193.98M,193.98M,,,6.804M,6.804M,,4.702M,,,,,90.30M,142.18M,51.80M,,,,4.702M,,,,50.92M,0.00,-6.505M,11.75M,50.92M,48.10M,96.87M,26.83M,51.80M,0.29,0.0,,0.2691,0.29,0.29,0.0,,0.2713,0.29,134.82M,151.26M,0.455
2002-06,198.96M,198.96M,,,7.224M,7.224M,,,-106.82M,,,,,-99.59M,298.56M,,,,,,,,57.09M,3.542M,7.439M,12.11M,60.64M,57.09M,342.51M,43.95M,298.56M,0.33,0.03,,0.33,0.36,0.33,0.03,,0.33,0.36,134.20M,151.09M,0.45
2002-03,246.02M,246.02M,,,7.238M,7.238M,,,-154.08M,,,,,-146.84M,392.86M,,,,,,,,56.56M,0.824M,8.18M,12.11M,57.39M,56.56M,436.64M,43.78M,392.86M,0.33,0.01,,0.33,0.34,0.33,0.01,,0.33,0.34,131.93M,150.27M,0.45
2001-12,220.66M,23.20M,,,5.387M,5.387M,,,,,,,,-784.63M,807.83M,,,,,,,,46.46M,,77.12M,14.65M,56.84M,50.66M,869.19M,61.36M,807.83M,-0.07,0.39,,-0.07,0.32,-0.07,0.38,,-0.07,0.32,130.98M,151.97M,0.45
2001-09,199.88M,199.88M,,,1.437M,1.437M,,29.60M,,,,,87.25M,126.96M,72.91M,,,,29.60M,,,,77.10M,,-13.74M,13.25M,90.35M,72.59M,111.19M,33.72M,72.91M,0.59,0.0,,0.4535,0.59,0.58,0.0,,0.468,0.58,130.10M,158.59M,0.45
2001-06,207.11M,205.40M,,,4.688M,4.688M,,-0.282M,-105.31M,,,,196.19M,133.56M,71.84M,,,,-0.282M,,,,49.68M,,-7.532M,13.82M,63.49M,63.66M,109.83M,27.34M,71.84M,0.39,0.0,,0.3913,0.39,0.38,0.0,,0.3811,0.38,129.13M,149.57M,0.43
2001-03,217.54M,217.54M,,,4.025M,4.025M,,,-105.44M,,,,,-101.42M,318.96M,,,,,,,,71.00M,1.045M,11.50M,13.27M,72.04M,71.00M,360.84M,41.88M,318.96M,0.45,0.01,,0.45,0.46,0.44,0.01,,0.44,0.45,128.84M,128.84M,0.43
2000-12,168.07M,168.07M,,,,5.645M,,,,,,,,857.04M,-688.97M,,,,,,,,128.29M,,-71.71M,12.24M,85.66M,85.66M,-667.86M,21.11M,-688.97M,0.58,0.0,,0.58,0.58,0.57,0.0,,0.57,0.57,127.66M,148.11M,0.43
2000-09,213.74M,213.74M,,,5.825M,5.825M,,,-110.38M,,,,,-104.55M,318.29M,,,,,,,,57.39M,,9.599M,12.24M,57.39M,57.39M,369.61M,51.31M,318.29M,0.36,0.0,,0.36,0.36,0.35,0.0,,0.35,0.35,127.01M,147.92M,0.43
2000-06,209.14M,203.45M,,,4.51M,4.51M,,3.277M,-105.82M,,,,203.49M,141.94M,61.50M,,,,3.277M,,,,45.52M,,-7.188M,12.25M,57.77M,55.81M,101.27M,31.33M,61.50M,0.36,0.0,,0.3445,0.36,0.36,0.0,,0.3466,0.36,126.60M,147.18M,0.39
2000-03,204.98M,204.98M,,,5.164M,5.164M,,,-100.99M,,,,,-95.83M,300.81M,,,,,,,,61.11M,,10.20M,12.25M,61.11M,61.11M,340.86M,40.04M,300.81M,0.39,0.0,,0.39,0.39,0.39,0.0,,0.39,0.39,126.07M,146.33M,0.39
1999-12,174.39M,174.39M,,,,-8.144M,,,,,,,,576.60M,-402.21M,,,,,,,,79.50M,,-42.86M,12.20M,53.44M,53.44M,-379.63M,22.58M,-402.21M,0.33,0.0,,0.33,0.33,0.3277,,,0.3277,0.3277,124.34M,125.82M,0.39
1999-09,179.50M,179.50M,,,10.50M,10.50M,,,-90.40M,,,,,-79.90M,259.40M,,,,,,,,53.70M,,9.30M,12.30M,53.70M,53.70M,292.80M,33.40M,259.40M,0.35,0.0,,0.35,0.35,0.35,0.0,,0.35,0.35,118.29M,118.29M,0.39
1999-06,118.50M,118.50M,,,6.80M,6.80M,,,-59.00M,,,,,-52.20M,170.70M,,,,,,,,38.90M,,3.60M,9.30M,38.90M,38.90M,191.90M,21.20M,170.70M,0.33,0.0,,0.33,0.33,0.33,0.0,,0.33,0.33,89.70M,89.70M,0.34
1999-03,117.20M,117.20M,,,7.30M,7.30M,,,-60.90M,,,,,-53.60M,170.80M,,,,,,,,36.20M,,4.00M,8.80M,36.20M,36.20M,191.60M,20.80M,170.80M,0.32,0.0,,0.32,0.32,0.32,0.0,,0.32,0.32,85.62M,85.62M,0.34
1998-12,98.24M,98.24M,,,,-6.527M,,,,,,,,372.85M,-274.61M,,,,,,,,42.50M,,-23.69M,5.733M,29.00M,29.00M,-262.70M,11.91M,-274.61M,0.28,0.0,,0.28,0.28,0.28,0.0,,0.28,0.28,84.23M,128.44M,0.34
1998-09,98.80M,98.80M,,,6.00M,6.00M,,,-50.20M,,,,,-44.20M,143.00M,,,,,,,,28.20M,,3.80M,4.70M,28.20M,28.20M,161.10M,18.10M,143.00M,0.29,0.0,,0.29,0.29,0.29,0.0,,0.29,0.29,81.03M,81.03M,0.34
1998-06,90.80M,90.80M,,,3.80M,3.80M,,,-46.70M,,,,,-42.90M,133.70M,,,,,,,,26.60M,,3.20M,4.70M,26.60M,26.60M,150.50M,16.80M,133.70M,0.27,0.0,,0.27,0.27,0.27,0.0,,0.27,0.27,81.11M,81.11M,0.3
