,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-06,43.15M,,,,,,44.62M,,44.62M,44.62M,1.001M,,6.828M,,,,,,95.60M,-75.20M,7.75M,-67.45M,,-41.43M,-34.68M,-143.55M,-18.84M,146.00M,127.16M,-2.123M,2.851M,0.728M,-130.66M,-0.03M,-130.70M,-72.02M,-8.807M,-80.83M,130.48M,46.84M,11.90M,-1.108M,10.79M,-132.79M,0.00,-18.84M,2.821M
2004-03,44.10M,,,,,,43.01M,,43.01M,43.01M,1.067M,,-19.26M,,,,,,68.92M,-9.606M,29.40M,19.80M,,-87.11M,-37.36M,-104.67M,188.29M,-121.00M,67.29M,114.04M,-105.50M,8.534M,275.64M,-102.62M,173.02M,-69.93M,-6.381M,-76.31M,-137.51M,35.03M,12.63M,-0.733M,11.90M,389.68M,190.00M,-1.707M,-208.12M
2003-12,60.11M,,,,,,43.77M,,43.77M,43.77M,0.87M,,29.10M,,,,,,133.86M,-98.62M,81.92M,-16.70M,,-28.39M,-12.50M,-57.60M,33.04M,,33.04M,83.74M,-69.71M,4.141M,0.00,0.00,0.00,-69.56M,-11.72M,-81.28M,-20.46M,-64.56M,0.931M,11.70M,12.63M,83.74M,44.89M,-11.86M,-69.71M
2003-09,49.60M,,,,,,42.28M,,42.28M,42.28M,0.796M,,-19.94M,,,,,,72.74M,-66.06M,22.45M,-43.61M,,-32.10M,-50.68M,-126.38M,22.84M,,22.84M,-6.702M,,3.183M,96.70M,0.00,96.70M,-69.45M,-10.15M,-79.60M,-0.212M,42.91M,11.67M,-10.74M,0.931M,90.00M,89.56M,-66.72M,0.00
2003-06,43.29M,,,,,,41.14M,,41.14M,41.14M,0.961M,,17.76M,,,,,,103.16M,-28.36M,11.89M,-16.47M,41.72M,-39.72M,-60.92M,-75.39M,-22.71M,,-22.71M,3.852M,0.02M,3.872M,0.00,0.00,0.00,-68.63M,-10.15M,-78.78M,69.01M,-28.60M,12.51M,-0.838M,11.67M,3.852M,155.55M,-178.26M,0.02M
2003-03,46.23M,,,,,,41.77M,,41.77M,41.77M,0.999M,,-30.12M,,,,,,58.88M,-41.72M,51.37M,9.646M,-41.72M,-29.00M,-0.255M,-61.33M,151.63M,,151.63M,2.85M,-0.02M,2.83M,0.00,-0.02M,-0.02M,-68.96M,-10.15M,-79.11M,-77.80M,-2.461M,17.41M,-4.905M,12.51M,2.85M,213.34M,-61.71M,-0.04M
2002-12,38.22M,,,,,,-114.57M,,64.78M,64.78M,-2.815M,,-8.405M,,,,,,91.78M,-244.51M,-50.46M,-294.98M,,111.51M,53.63M,-129.84M,85.35M,94.12M,179.48M,0.927M,,-202.03M,,17.95M,17.95M,202.85M,42.13M,-52.11M,69.14M,12.44M,43.04M,-25.62M,17.41M,0.927M,94.36M,-9.01M,-185.00M
2002-09,50.92M,,,,,,114.57M,,26.83M,26.83M,2.815M,,23.05M,,,,,,103.62M,-2.905M,50.46M,47.56M,,-111.51M,5.69M,-58.26M,286.23M,-94.12M,192.10M,3.706M,,3.706M,0.00,-17.95M,-17.95M,-202.85M,-42.13M,-81.88M,-100.81M,-4.831M,2.505M,40.53M,43.04M,3.706M,262.94M,23.28M,-17.95M
2002-06,60.64M,,,,,,,,43.95M,43.95M,,,61.21M,,,,,,165.79M,-36.56M,,-36.56M,,,-67.96M,-104.52M,-1.641M,,-1.641M,11.18M,,11.18M,,,,,,-81.80M,-0.023M,-72.28M,13.51M,-11.00M,2.505M,11.18M,,-1.641M,
2002-03,57.39M,,,,,,,,43.78M,43.78M,,,107.23M,,,,,,208.40M,-13.06M,,-13.06M,,,-32.30M,-45.36M,-84.58M,,-84.58M,7.023M,,7.023M,,,,,,-81.30M,-0.154M,-159.02M,9.483M,4.027M,13.51M,7.023M,,-84.58M,
2001-12,56.84M,,,,,,-102.94M,,61.36M,61.36M,-3.611M,,-132.49M,,,,,,-17.90M,-285.29M,-403.78M,-689.08M,,282.52M,462.60M,56.04M,-348.64M,,-348.64M,-72.47M,-0.004M,-72.47M,-0.025M,75.01M,74.99M,196.76M,47.21M,-81.72M,389.69M,-38.16M,9.504M,-0.021M,9.483M,-72.49M,-389.80M,41.16M,75.01M
2001-09,90.35M,,,,,,33.72M,,33.72M,33.72M,1.002M,,22.89M,,,,,,147.96M,-46.23M,216.18M,169.94M,36.88M,-59.61M,-92.07M,55.14M,0.00,,0.00,78.30M,-75.01M,3.29M,-0.03M,-75.01M,-75.04M,-68.82M,-15.92M,-84.73M,-140.14M,-296.63M,103.03M,-93.52M,9.504M,78.27M,139.54M,-139.54M,-150.03M
2001-06,63.49M,,,,,,69.22M,,27.34M,27.34M,2.609M,,32.83M,,,,,,126.27M,-36.88M,187.60M,150.72M,-5.415M,-222.91M,101.40M,23.80M,228.12M,,228.12M,16.76M,,16.76M,-0.001M,,-0.001M,-127.94M,-31.29M,-80.26M,-250.56M,-85.94M,38.89M,64.14M,103.03M,16.76M,250.27M,-22.14M,
2001-03,72.04M,,,,,,,,41.88M,41.88M,,,-20.58M,,,,,,93.34M,,,,-31.46M,,-11.98M,-43.45M,-53.12M,,-53.12M,13.88M,,13.88M,72.27M,,72.27M,,,-78.97M,-4.25M,-50.19M,39.19M,-0.30M,38.89M,86.15M,175.00M,-228.12M,
2000-12,85.66M,,,,,,143.80M,,21.11M,21.11M,3.527M,,37.78M,,,,,,148.08M,-105.40M,413.75M,308.35M,,-440.90M,278.36M,145.81M,-151.56M,,-151.56M,-22.72M,,8.367M,0.881M,,-0.243M,-241.14M,-57.39M,-77.90M,-74.65M,-295.98M,41.29M,-2.096M,39.19M,-21.84M,-225.37M,73.81M,-1.124M
2000-09,57.39M,,,,,,-71.38M,,51.31M,51.31M,-1.553M,,19.76M,,,,,,126.91M,68.38M,-214.30M,-145.92M,306.46M,285.04M,-431.16M,14.42M,-70.78M,,-70.78M,8.58M,0.277M,8.857M,-0.881M,,-0.604M,114.19M,28.70M,-77.73M,-1.502M,-141.76M,41.72M,-0.43M,41.29M,7.699M,-5.201M,-65.58M,0.277M
2000-06,57.77M,,,,,,71.38M,,31.33M,31.33M,1.553M,,-15.78M,,,,,,74.88M,-68.38M,214.30M,145.92M,-285.38M,-285.04M,348.91M,-75.59M,73.64M,,73.64M,3.711M,-0.162M,3.549M,,,-0.277M,-114.19M,-28.70M,-71.86M,-0.529M,4.518M,37.91M,3.804M,41.72M,3.711M,76.49M,-2.847M,-0.162M
2000-03,61.11M,,,,,,,,40.04M,40.04M,,,-1.891M,,,,,,99.26M,,,,-21.08M,,-161.31M,-182.39M,163.36M,,163.36M,10.43M,-0.115M,10.32M,,,,,,-71.03M,-0.369M,102.27M,18.76M,19.15M,37.91M,10.43M,168.74M,-5.383M,-0.115M
1999-12,53.44M,,,,,,,,22.58M,22.58M,,,-19.97M,,,,,,57.94M,-24.79M,,51.61M,,,291.01M,-170.07M,581.70M,-174.00M,407.70M,-203.40M,,11.38M,-96.50M,,0.019M,,,-88.73M,-244.71M,85.65M,45.30M,-26.48M,18.76M,-299.90M,317.00M,264.70M,
1999-09,53.70M,,,,,,,,33.40M,33.40M,,,88.10M,,,,,,175.20M,102.60M,,102.60M,,,-354.40M,-251.80M,-321.80M,174.00M,-147.80M,165.50M,,165.50M,0.00,,0.00,,,-58.00M,-10.60M,-50.90M,172.70M,-127.50M,45.30M,165.50M,-61.00M,-260.80M,
1999-06,38.90M,,,,,,,,21.20M,21.20M,,,-9.90M,,,,,,50.20M,-140.80M,,-140.80M,,,-10.00M,-150.80M,260.00M,,260.00M,24.00M,,24.00M,0.00,,0.00,,,-39.50M,-6.20M,238.30M,,165.80M,172.70M,24.00M,236.00M,24.00M,
1999-03,36.20M,,,,,,,,20.80M,20.80M,,,-24.70M,,,,,,32.30M,-169.80M,,-169.80M,,,2.20M,-167.60M,97.10M,,97.10M,13.90M,,13.90M,96.50M,,96.50M,,,-38.10M,-6.00M,163.40M,7.00M,,,110.40M,125.00M,-27.90M,
1998-12,29.00M,,,,,,,,11.91M,11.91M,,,29.81M,,,,,,72.09M,-98.39M,,-89.32M,,,135.69M,-233.01M,126.30M,-96.00M,30.30M,-136.70M,,74.78M,,,,,,-49.27M,-39.44M,145.82M,,,6.95M,-7.24M,78.00M,48.30M,
1998-09,28.20M,,,,,,,,18.10M,18.10M,,,2.50M,,,,,,48.80M,59.00M,,59.00M,,,-178.30M,-119.30M,-42.60M,116.00M,73.40M,33.80M,,33.80M,,,,,,-32.30M,-4.70M,70.20M,,,,33.80M,0.00,-42.60M,
1998-06,26.50M,,,,,,,,16.80M,16.80M,,,17.90M,,,,,,61.20M,-222.10M,,-222.10M,,,-20.40M,-242.50M,168.30M,-20.00M,148.30M,60.30M,,60.30M,,,,,,-28.90M,-5.30M,174.40M,,,,60.30M,150.00M,18.30M,
