,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-12,245.67M,,,-281.12M,,269.53M,829.08M,,251.84M,197.73M,9.445M,,306.92M,,582.95M,-1.250B,-152.93M,1.162B,,-678.76M,212.35M,-466.41M,-77.16M,-56.50M,96.11M,-503.96M,,,,279.06M,38.38M,-584.19M,-545.81M,,,,,,-117.84M,,-384.58M,,745.03M,273.51M,-2.387M,1.016B,,38.38M,,,-584.19M,-50.12M,136.36M,,,
2006-09,411.50M,,,68.70M,,269.00M,-517.71M,,-365.06M,-108.17M,17.30M,,-105.05M,,-272.84M,1.379B,910.39M,776.81M,,-156.82M,-118.27M,-275.09M,77.16M,56.50M,-199.31M,-340.74M,,,,-314.84M,16.70M,-2.821M,13.88M,,,,,,-118.75M,,-419.71M,,728.93M,16.36M,-0.264M,745.03M,,16.70M,,,-2.821M,-33.76M,107.60M,,,
2006-06,273.76M,,,-214.61M,,254.82M,479.53M,,267.70M,-9.539M,14.96M,,-29.33M,,73.22M,-642.49M,-593.18M,468.03M,,-412.50M,118.27M,-294.24M,,-12.34M,110.90M,-195.67M,,,,1.184M,3.567M,-178.81M,-175.24M,,,,,,-121.37M,,-295.43M,,752.39M,-23.07M,-0.383M,728.93M,,3.567M,,,-178.81M,-114.04M,136.02M,,,
2006-03,201.67M,,,-3.268M,,241.81M,-52.26M,,-200.98M,328.02M,-28.61M,,-256.42M,,199.62M,582.94M,825.55M,1.013B,,-752.38M,,-752.38M,,12.34M,-118.73M,-858.77M,,,,52.94M,85.16M,-2.25M,82.91M,,,,,,-119.85M,,15.99M,,582.82M,169.74M,-0.173M,752.39M,,85.16M,,,-2.25M,345.37M,146.43M,,,
2005-12,71.02M,,,-314.89M,,254.46M,283.51M,,207.52M,308.58M,-72.72M,,-205.45M,,-236.80M,65.66M,-140.74M,360.86M,,-580.92M,,-580.92M,,-9.793M,-197.90M,-788.61M,,,,569.29M,-38.48M,0.00,-38.48M,,,,,,-118.46M,,412.35M,,598.03M,-15.40M,0.185M,582.82M,,-38.48M,,,0.00,-2.917M,129.29M,,,
2005-09,356.39M,,,51.81M,,252.94M,111.72M,,-314.90M,-551.69M,-19.47M,,523.33M,,93.98M,-170.30M,-124.16M,333.80M,,-76.72M,-125.68M,-202.40M,,-43.50M,-283.60M,-529.49M,,,,551.56M,24.68M,-269.84M,-245.16M,,,,,,-118.39M,,188.01M,,606.63M,-7.685M,7.038M,598.03M,,24.68M,,,-269.84M,38.21M,89.64M,,,
2005-06,292.55M,,,-109.11M,,241.37M,68.70M,,-80.77M,-259.17M,12.34M,,150.58M,,-163.80M,123.70M,-136.35M,276.39M,,-689.22M,125.68M,-563.54M,,502.86M,-55.38M,-116.06M,,,,291.20M,55.59M,-257.23M,-201.64M,,,,,,-120.22M,,-30.66M,,476.88M,129.67M,0.085M,606.63M,,55.59M,,,-257.23M,70.77M,120.16M,,,
2005-03,178.38M,,,-4.224M,,253.09M,23.88M,,92.30M,134.94M,-3.273M,,-165.27M,,69.82M,-82.88M,-46.66M,496.76M,,-273.30M,,-273.30M,,-251.72M,-33.43M,-558.45M,,,,369.16M,64.28M,-384.84M,-320.56M,,,,,,-121.91M,,-73.31M,,619.79M,-135.00M,-7.91M,476.88M,,64.28M,,,-384.84M,10.01M,122.26M,,,
2004-12,160.97M,,,599.32M,,269.32M,128.82M,,-22.50M,132.52M,3.96M,,110.09M,,33.20M,-200.05M,79.72M,1.216B,,-465.80M,53.45M,-412.35M,,-126.96M,342.50M,-196.81M,,,,-235.24M,29.89M,-601.73M,-571.84M,,,,,,-129.43M,,-936.50M,,541.34M,82.34M,-0.745M,807.74M,,29.89M,,,-601.73M,-4.561M,131.63M,,,
2004-09,288.05M,,,50.14M,,274.07M,8.062M,,-15.10M,-158.56M,1.883M,,-47.90M,,178.51M,205.45M,179.38M,784.60M,,-240.52M,-61.69M,-302.22M,,-19.47M,-137.58M,-459.27M,,,,-122.18M,32.50M,-146.23M,-113.73M,,,,,,-107.74M,,-343.64M,,558.40M,-18.32M,1.264M,541.34M,,32.50M,,,-146.23M,7.073M,86.46M,,,
2004-06,271.01M,,,-5.193M,,252.74M,106.89M,,-71.20M,-197.13M,-11.49M,,207.78M,,-69.46M,46.35M,-23.96M,530.30M,,-451.21M,61.69M,-389.52M,,196.43M,-153.67M,-346.76M,,,,-93.92M,12.76M,-243.27M,-230.51M,,,,,,-108.18M,,-432.61M,,808.16M,-249.07M,-0.693M,558.40M,,12.76M,,,-243.27M,16.18M,141.95M,,,
2004-03,213.02M,,,-38.20M,,249.00M,31.68M,,-24.68M,12.76M,-11.10M,,-174.66M,,71.37M,69.58M,-32.05M,398.77M,,-253.08M,21.98M,-231.10M,,,93.86M,-137.23M,,,,82.12M,95.08M,-30.22M,64.86M,,,,,,-106.08M,,40.90M,,507.43M,302.44M,-1.708M,808.16M,,95.08M,,,-30.22M,9.549M,117.72M,,,
2003-12,-33.62M,,,-16.13M,,251.66M,190.04M,,-59.72M,186.83M,14.09M,,221.96M,,221.25M,-146.61M,497.52M,829.74M,,-517.29M,0.00,-517.29M,,186.65M,100.23M,-230.42M,,,,-387.69M,19.06M,-8.135M,10.92M,,,,,,-108.82M,,-485.59M,,577.54M,113.73M,0.956M,692.23M,,19.06M,,,-8.135M,8.319M,142.50M,,,
2003-09,371.65M,,,-63.44M,,256.60M,813.62M,,-19.89M,-58.45M,-3.023M,,-128.35M,,37.80M,-555.70M,-707.72M,650.82M,,-247.04M,-38.52M,-285.56M,,-186.65M,54.59M,-417.62M,,,,-646.77M,21.70M,-1.20M,20.50M,,,,,,-108.38M,,-734.65M,,1.078B,-501.44M,1.208M,577.54M,,21.70M,,,-1.20M,89.11M,117.57M,,,
2003-06,211.52M,,,-6.847M,,239.81M,41.50M,,168.46M,-226.23M,-3.053M,,93.13M,,37.91M,-81.65M,-179.89M,474.55M,,-417.84M,8.006M,-409.83M,,,-115.05M,-524.88M,,,,755.92M,78.26M,0.00,78.26M,,,,,,-85.09M,,749.10M,,377.46M,698.77M,1.553M,1.078B,,78.26M,,,0.00,88.63M,136.64M,,,
2003-03,400.92M,,,-277.81M,,248.54M,144.37M,,21.54M,-42.76M,-22.02M,,-246.91M,,-134.22M,-40.94M,-486.85M,50.71M,,-386.77M,56.50M,-330.27M,,,-279.94M,-610.21M,,,,-410.19M,98.50M,-2.25M,96.25M,,,,,,-84.06M,,-398.00M,,1.335B,-957.50M,-0.372M,377.46M,,98.50M,,,-2.25M,2.653M,155.30M,,,
2002-12,81.67M,,,-0.591M,,219.64M,-86.76M,,-29.05M,189.24M,1.223M,,218.23M,,-216.05M,133.87M,326.51M,511.43M,,-477.30M,-29.49M,-506.79M,,-38.96M,-11.46M,-557.21M,,,,518.88M,14.49M,-14.92M,-0.428M,,,,,,-83.69M,,434.76M,,948.85M,388.97M,-2.489M,1.335B,,14.49M,,,-14.92M,20.09M,179.44M,,,
2002-09,366.80M,,,-67.75M,,222.61M,1.423M,,29.82M,-93.39M,7.139M,,77.98M,,85.45M,237.22M,314.40M,867.29M,,-155.24M,-35.01M,-190.25M,,-0.496M,-147.40M,-338.14M,,,,-141.35M,2.864M,-104.03M,-101.17M,,,,,,-79.81M,,-322.33M,,730.66M,206.82M,11.36M,948.85M,,2.864M,,,-104.03M,3.893M,120.74M,,,
2002-06,247.58M,,,-176.58M,,214.07M,21.85M,,172.42M,-213.72M,5.90M,,58.75M,,-44.62M,163.42M,-30.27M,449.08M,,-545.51M,148.60M,-396.90M,,189.46M,-238.63M,-446.08M,,,,4.44M,46.34M,0.00,46.34M,,,,,,-80.03M,,-29.25M,,763.30M,-26.25M,-6.388M,730.66M,,46.34M,,,0.00,31.79M,153.68M,,,
2002-03,-72.98M,,,330.24M,,213.32M,-193.18M,,22.06M,73.91M,-13.23M,,-68.72M,,45.16M,17.32M,54.45M,353.90M,,-352.25M,130.98M,-221.27M,,,174.24M,-47.03M,,,,-281.58M,66.37M,-1.403M,64.97M,,,,,,-79.17M,,-295.79M,,751.57M,11.08M,0.64M,763.30M,,66.37M,,,-1.403M,2.09M,180.07M,,,
2001-12,26.60M,,,-53.50M,,216.27M,140.79M,,59.57M,268.88M,21.48M,,52.59M,119.22M,127.90M,6.992M,597.05M,986.79M,,-440.76M,-21.66M,-462.42M,,733.15M,-746.20M,-475.48M,,,,-591.92M,2.01M,0.00,2.01M,,,,,,-70.77M,,-660.68M,,901.28M,-149.36M,-0.339M,751.57M,,2.01M,,,0.00,112.01M,137.90M,,,
2001-09,317.45M,,,-501.19M,,111.13M,-46.36M,,162.70M,-22.03M,-5.197M,,-33.98M,,160.84M,484.69M,584.33M,628.06M,,-258.75M,731.31M,472.56M,,-261.35M,-709.36M,-498.15M,,,,215.98M,3.031M,-64.08M,-61.05M,,,,,,-76.42M,-9.133M,69.38M,,698.70M,199.28M,3.302M,901.28M,,3.031M,,,-64.08M,0.834M,219.81M,,,
2001-06,245.58M,,,-58.75M,,196.97M,-14.34M,,36.96M,-57.17M,28.71M,,-68.12M,73.76M,98.75M,-66.20M,9.714M,416.14M,,-379.21M,40.89M,-338.32M,,-256.73M,91.14M,-503.91M,,,,-193.92M,43.58M,-10.39M,33.19M,,,,,,-74.53M,-7.54M,-242.80M,,1.030B,-330.57M,-0.57M,698.70M,,43.58M,,,-10.39M,4.632M,144.86M,,,
2001-03,160.87M,,,-6.646M,,216.43M,7.665M,,35.47M,112.55M,-48.41M,,-365.64M,-73.76M,107.51M,38.51M,-229.24M,184.55M,,-301.70M,33.74M,-267.96M,,-365.07M,-114.15M,-747.18M,,,,253.14M,15.72M,-1.999M,13.72M,,,,,,-71.44M,16.67M,212.10M,,1.382B,-350.52M,-2.068M,1.030B,,15.72M,,,-1.999M,1.406M,206.18M,,,
2000-12,50.04M,,,66.24M,,215.62M,132.53M,,26.16M,101.69M,6.213M,,273.45M,-66.90M,260.34M,-271.98M,302.82M,793.42M,,-381.64M,0.00,-381.64M,,21.90M,-500.12M,-859.86M,,,,320.72M,27.10M,-50.96M,-23.86M,,,,,,-75.27M,,221.59M,,1.233B,155.14M,-5.806M,1.382B,,27.10M,,,-50.96M,198.70M,123.10M,,,
2000-09,306.69M,,,25.49M,,210.97M,17.00M,,29.89M,-319.43M,1.756M,,84.69M,154.21M,-298.34M,223.68M,-153.44M,436.60M,,-215.96M,-43.76M,-259.72M,,299.46M,-397.43M,-357.69M,,,,-467.45M,5.425M,-111.82M,-106.40M,,,,,,-71.85M,,-645.69M,,1.797B,-566.79M,2.804M,1.233B,,5.425M,,,-111.82M,52.19M,157.62M,,,
2000-06,245.77M,,,-78.20M,,192.80M,5.582M,,91.68M,-256.87M,-2.633M,,212.70M,-154.21M,-32.63M,203.24M,-30.40M,427.24M,,-466.46M,91.32M,-375.13M,,-321.35M,199.54M,-496.94M,,,,639.67M,7.413M,-386.61M,-379.20M,,,,,,-77.93M,,182.54M,,1.686B,112.83M,-1.855M,1.797B,,7.413M,,,-386.61M,58.48M,68.14M,,,
2000-03,108.41M,,,-2.929M,,196.61M,-30.65M,,8.036M,37.46M,-25.78M,,-27.24M,,32.63M,14.06M,31.12M,310.60M,,-429.66M,13.95M,-415.71M,,321.35M,-5.155M,-99.51M,,,,497.25M,1.972M,-158.47M,-156.50M,,,,,,-78.37M,,262.38M,,1.214B,473.47M,-1.091M,1.686B,,1.972M,,,-158.47M,36.00M,156.56M,,,
1999-12,16.18M,,,9.747M,,194.43M,-8.736M,,20.88M,392.54M,27.15M,,-209.58M,-36.40M,179.95M,-205.88M,147.77M,380.27M,,-403.45M,0.018M,-403.43M,,147.30M,-134.21M,-390.34M,,,,101.80M,1.90M,-136.40M,-134.50M,,,,,,-85.80M,0.10M,-118.40M,,1.344B,-128.48M,-2.20M,1.214B,,1.90M,,,-136.40M,218.10M,154.60M,,,
1999-09,296.16M,,,51.63M,,183.91M,-0.354M,,-119.19M,44.34M,8.049M,,-108.52M,18.03M,-169.35M,212.74M,5.291M,417.44M,,-154.31M,-75.10M,-229.41M,,487.70M,-78.52M,179.78M,,,,-143.01M,1.736M,-115.48M,-113.75M,,,,,,-83.57M,-0.10M,-340.43M,,1.086B,256.80M,1.841M,1.344B,,1.736M,,,-115.48M,104.58M,127.64M,,,
1999-06,209.76M,,,-103.28M,,482.16M,-171.51M,,-95.89M,-434.58M,-25.40M,,373.80M,-9.529M,-0.70M,173.24M,76.84M,398.09M,,-354.94M,187.48M,-167.46M,13.30M,,-33.18M,-187.34M,,,,-133.99M,9.764M,-4.915M,4.849M,,,,,,-83.73M,0.10M,-212.77M,,1.086B,-2.02M,1.459M,1.086B,,9.764M,,,-4.915M,40.22M,148.26M,,,
1999-03,72.90M,,,-34.00M,,,-8.90M,,228.40M,6.90M,-11.20M,,-20.50M,-8.50M,0.70M,-32.60M,-65.20M,193.20M,,-283.10M,238.70M,-44.40M,-13.30M,,7.70M,-50.00M,,,,-72.40M,1.90M,-86.80M,-84.90M,,,,,,-82.00M,-0.10M,-239.40M,,1.184B,-96.20M,-2.00M,1.086B,,1.90M,,,-86.80M,10.60M,171.20M,,,
1998-12,247.00M,,,-173.20M,,,60.70M,,-992.90M,462.90M,2.30M,,-255.20M,,26.50M,-180.10M,42.70M,406.50M,,-474.30M,2.324B,1.850B,,,-931.40M,918.50M,,,,-854.10M,4.00M,-10.10M,-6.10M,,,,,,-89.00M,,-949.20M,,808.20M,375.80M,0.60M,1.184B,,4.00M,,,-10.10M,176.10M,214.80M,,,
1998-09,262.60M,,,136.00M,,,-36.90M,,304.30M,-384.20M,22.20M,,324.80M,,-216.90M,207.40M,-46.70M,619.30M,,-276.60M,41.30M,-235.30M,,,-38.50M,-273.80M,,,,-219.90M,0.10M,-4.00M,-3.90M,,,,,,-85.80M,-0.10M,-309.70M,,773.30M,35.80M,-0.90M,808.20M,,0.10M,,,-4.00M,19.00M,214.80M,,,
1998-06,216.00M,,,-28.20M,,,-33.40M,,287.00M,-233.40M,-5.60M,,176.50M,,64.20M,-64.30M,-62.60M,378.80M,,-271.70M,30.30M,-241.40M,16.60M,,-44.50M,-269.30M,,,,-200.90M,3.20M,-4.00M,-0.80M,,,,,,-122.70M,0.10M,-324.30M,,989.00M,-214.80M,-0.80M,773.30M,,3.20M,,,-4.00M,64.20M,204.80M,,,
1998-03,60.00M,,,-37.10M,,,-54.90M,,332.40M,178.90M,9.50M,,-214.90M,,-81.20M,81.80M,-25.90M,274.50M,,-223.70M,7.40M,-216.30M,-16.60M,,-5.60M,-238.50M,,,,232.70M,12.00M,-2.30M,9.70M,,,,,,-122.70M,,119.70M,,830.50M,155.70M,2.70M,989.00M,,12.00M,,,-2.30M,14.60M,207.90M,,,
1997-12,-77.50M,,,-221.20M,,,-83.10M,,737.40M,75.70M,-48.60M,,121.70M,,129.50M,-484.00M,-205.70M,149.90M,,-329.50M,52.90M,-276.60M,-16.40M,,5.70M,-287.30M,,,,-120.30M,367.30M,-5.00M,362.30M,,,,,,-121.80M,-0.10M,120.10M,,861.80M,-17.30M,-13.90M,830.50M,,367.30M,,,-5.00M,273.40M,181.10M,,,
1997-09,93.30M,,,110.10M,,,-99.80M,,248.10M,-183.90M,30.90M,,83.50M,,-25.50M,477.80M,382.80M,734.50M,,-257.80M,12.00M,-245.80M,-42.40M,,-20.60M,-308.80M,,,,-180.90M,71.20M,-15.60M,55.60M,,,,,,-128.30M,0.20M,-253.40M,,687.50M,172.30M,1.90M,861.80M,,71.20M,,,-15.60M,35.60M,393.30M,,,
1997-06,158.70M,,,242.50M,,,-16.40M,,97.70M,-106.40M,5.60M,,177.60M,,-25.50M,-198.80M,-147.50M,335.00M,,-169.20M,11.20M,-158.00M,40.90M,,47.60M,-69.50M,,,,-146.20M,68.20M,-2.10M,66.10M,,,,,,-117.70M,0.00,-197.80M,,618.20M,67.70M,1.60M,687.50M,,68.20M,,,-2.10M,78.20M,33.50M,,,
1997-03,126.40M,,,-24.60M,,,-53.70M,,319.70M,115.20M,32.40M,,-201.60M,,-16.30M,207.70M,137.40M,505.20M,,-179.90M,68.30M,-111.60M,-2.022B,,15.60M,-2.118B,,,,1.885B,181.00M,-101.70M,79.30M,,,,,,-121.70M,-0.10M,1.843B,,388.70M,230.30M,-0.80M,618.20M,,181.00M,,,-101.70M,3.00M,223.40M,,,
1996-12,53.70M,,,-365.90M,,,134.20M,,569.50M,130.30M,-16.90M,,53.00M,,-100.50M,-202.10M,-132.20M,259.30M,,-151.20M,2.90M,-148.30M,0.00,,-60.60M,-208.90M,,,,-165.40M,81.30M,-65.60M,15.70M,,,,,,-119.30M,-0.10M,-269.10M,,607.40M,-218.70M,0.00,388.70M,,81.30M,,,-65.60M,136.90M,151.20M,,,
1996-09,299.10M,,,103.40M,,,-7.60M,,250.60M,-59.00M,-7.60M,,-81.00M,,-10.50M,155.00M,-3.10M,642.40M,,-185.40M,52.80M,-132.60M,0.00,,50.00M,-82.60M,,,,-273.90M,162.80M,-66.30M,96.50M,,,,,,-120.70M,0.10M,-298.00M,,345.70M,261.80M,0.00,607.40M,,162.80M,,,-66.30M,76.60M,172.20M,,,
1996-06,206.80M,,,102.20M,,,-4.70M,,180.70M,-138.70M,-15.90M,,40.70M,,-19.70M,6.60M,-127.00M,358.00M,,-162.40M,7.30M,-155.10M,0.00,,-19.10M,-174.20M,,,,-304.80M,-0.10M,-5.90M,-6.00M,,,,,,-136.10M,0.20M,-446.70M,,608.40M,-262.90M,0.10M,345.70M,,-0.10M,,,-5.90M,147.70M,114.70M,,,
1996-03,-69.00M,,,297.30M,,,-45.00M,,145.40M,37.10M,23.20M,,-33.00M,,-6.50M,-81.20M,-60.40M,268.30M,,-196.80M,46.90M,-149.90M,-1.156B,,-2.70M,-1.309B,,,,1.235B,0.10M,-19.70M,-19.60M,,,,,,-99.70M,-0.20M,1.115B,,533.60M,74.80M,,608.40M,,0.10M,,,-19.70M,12.00M,239.40M,,,
1995-12,81.70M,,,102.50M,,,-28.10M,,39.80M,157.50M,4.80M,,51.60M,,-19.80M,-53.00M,141.10M,337.00M,,-217.70M,2.30M,-215.40M,,,-154.00M,-369.40M,,,,-44.10M,,-7.00M,-7.00M,,,,,,-102.10M,0.10M,-153.10M,,719.00M,-185.50M,,533.60M,,,,,-7.00M,123.80M,149.90M,,,
1995-09,263.10M,,,120.00M,,,-0.80M,,225.70M,-96.60M,3.40M,,4.00M,,-63.30M,183.50M,31.00M,639.00M,,-187.40M,14.00M,-173.40M,,,3.30M,-170.10M,,,,-79.00M,,-13.40M,-13.40M,,,,,,-102.20M,0.10M,-194.50M,,444.80M,274.40M,,719.00M,,,,,-13.40M,75.60M,153.40M,,,
1995-06,162.70M,,,79.50M,,,17.90M,,261.20M,-195.70M,-27.60M,,-4.30M,,-1.90M,-117.70M,-347.20M,174.10M,,-302.70M,170.90M,-131.80M,,,-20.80M,-152.60M,,,,-47.70M,,-2.00M,-2.00M,,,,,,-102.30M,0.00,-152.00M,,575.20M,-130.50M,,444.80M,,,,,-2.00M,83.70M,151.00M,,,
1995-03,55.00M,,,78.60M,,,-20.00M,,115.30M,104.20M,-9.60M,,-70.40M,,5.70M,16.80M,46.70M,275.60M,,-118.10M,39.40M,-78.70M,,,-20.70M,-99.40M,,,,-88.60M,,-24.20M,-24.20M,,,,,,-102.00M,-0.10M,-214.90M,,613.90M,-38.70M,,575.20M,,,,,-24.20M,2.60M,172.20M,,,
1994-12,-16.50M,,,84.40M,,,-159.40M,,308.20M,99.00M,-6.90M,,106.30M,,79.40M,-77.30M,200.50M,417.20M,,-265.10M,69.50M,-195.60M,,,-47.40M,-243.00M,,,,-138.30M,,-5.20M,-5.20M,,,,,,-100.70M,0.00,-244.20M,,684.00M,-70.00M,,613.90M,,,,,-5.20M,218.70M,660.20M,,,
1994-09,143.20M,,,139.90M,,,-6.10M,,103.10M,-37.20M,-5.80M,,10.20M,,-8.40M,273.50M,232.30M,612.40M,,-218.80M,69.10M,-149.70M,,,2.70M,-147.00M,,,,-46.10M,,-48.30M,-48.30M,,,,,,-102.40M,0.10M,-196.70M,,415.20M,268.70M,,684.00M,,,,,-48.30M,-79.10M,-336.20M,,,
1994-06,144.40M,,,94.30M,,,12.60M,,177.00M,-152.00M,6.10M,,52.90M,,-10.70M,-138.80M,-242.50M,185.80M,,-187.80M,15.10M,-172.70M,,,2.90M,-169.80M,,,,63.20M,,-55.30M,-55.30M,,,,,,-103.40M,-0.20M,-95.70M,,494.90M,-79.70M,,415.20M,,,,,-55.30M,73.00M,166.50M,,,
1994-03,70.70M,,,63.80M,,,1.10M,,174.90M,89.80M,23.60M,,-103.60M,,-5.50M,7.60M,11.90M,322.40M,,-184.40M,1.00M,-183.40M,,,3.80M,-179.60M,,,,-48.30M,,-59.80M,-59.80M,,,,,,-103.70M,0.20M,-211.60M,,563.70M,-68.80M,,494.90M,,,,,-59.80M,6.10M,169.70M,,,
1993-12,36.50M,,,40.00M,,,1.70M,,135.20M,108.30M,-22.10M,,46.60M,,-24.40M,-23.80M,84.60M,298.00M,,-288.60M,60.20M,-228.40M,11.30M,0.00,-16.30M,-233.40M,,,,26.30M,,-12.00M,-12.00M,,,,,,-78.60M,0.00,-64.30M,,563.40M,0.30M,,563.70M,,,,,-12.00M,159.70M,485.90M,,,
1993-09,233.40M,,,76.20M,,,16.40M,,103.80M,-93.50M,16.60M,,-5.60M,,11.70M,124.10M,53.30M,483.10M,,-125.30M,38.40M,-86.90M,,0.00,1.80M,-85.10M,,,,-67.70M,,-13.70M,-13.70M,,,,,,-69.30M,0.20M,-150.50M,,316.10M,247.50M,,563.40M,,,,,-13.70M,-74.80M,-270.20M,,,
1993-06,130.90M,,,32.30M,,,7.80M,,124.70M,-91.40M,0.20M,,-2.20M,,18.80M,-83.40M,-158.00M,137.70M,,-112.70M,22.90M,-89.80M,-2.20M,8.00M,4.00M,-80.00M,,,,-58.40M,,-22.40M,-22.40M,,,,,,-70.00M,-0.10M,-150.90M,,409.20M,-93.20M,,316.10M,,,,,-22.40M,68.70M,100.50M,,,
1993-03,57.30M,,,44.00M,,,-8.20M,,131.60M,35.90M,4.10M,,-48.00M,,-61.70M,0.60M,-69.10M,155.60M,,-103.80M,,-103.80M,2.20M,9.00M,-58.30M,-150.90M,,,,122.80M,,-28.50M,-28.50M,,,,,,-69.60M,,24.70M,,379.80M,29.40M,,409.20M,,,,,-28.50M,6.10M,169.70M,,,
