,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2004-05,,32.07B,,32.07B,,,16.59B,144.70B,,,6.61B,,,1.531B,18.44B,956.00M,17.49B,462.45B,497.08B,729.50B,,,,127.62B,,127.62B,,34.77B,34.77B,34.77B,374.08B,79.75B,79.75B,11.29B,,,,91.04B,702.50B,12.00M,29.94B,3.972B,6.104B,,,,-816.00M,27.00B
2004-02,,33.56B,,33.56B,,,17.73B,128.05B,,,2.436B,,,1.539B,16.85B,1.004B,15.85B,453.26B,486.51B,656.90B,,,,106.74B,,106.74B,,27.20B,27.20B,27.20B,290.27B,78.93B,78.93B,12.12B,,,,91.04B,630.83B,12.00M,28.99B,4.09B,6.124B,,,,-904.00M,26.06B
2003-11,,29.69B,,29.69B,,,9.912B,63.74B,,,2.433B,,,1.514B,20.38B,1.002B,19.38B,465.32B,501.78B,602.84B,,,,104.64B,,104.64B,,28.39B,28.39B,28.39B,297.71B,65.60B,65.60B,12.84B,,2.81B,,78.44B,575.17B,12.00M,28.04B,4.028B,6.766B,,,,-445.00M,24.87B
2003-08,,24.27B,,24.27B,,,10.26B,61.76B,,,2.354B,,,1.466B,19.44B,988.00M,18.45B,416.06B,484.48B,580.63B,,,,103.26B,,103.26B,,28.78B,28.78B,28.78B,441.48B,63.30B,63.30B,13.31B,,2.81B,,76.61B,554.12B,12.00M,27.27B,3.288B,6.616B,,,,-247.00M,23.71B
2003-05,,28.06B,,28.06B,,,12.08B,65.44B,,,2.337B,,,1.476B,19.60B,975.00M,18.62B,419.81B,490.66B,586.88B,,,,100.51B,,100.51B,,40.48B,40.48B,40.48B,451.42B,65.42B,65.42B,13.76B,,2.71B,,79.19B,561.54B,12.00M,26.25B,3.346B,6.699B,,,,-279.00M,22.63B
2003-02,,29.31B,,29.31B,,,10.64B,77.02B,,,2.317B,,,1.46B,22.10B,950.00M,21.15B,373.35B,452.38B,559.44B,,,,99.04B,,99.04B,,45.54B,45.54B,45.54B,434.55B,60.47B,60.47B,14.13B,,2.01B,,74.60B,534.96B,12.00M,25.90B,3.44B,6.609B,,,,-279.00M,22.46B
2002-11,,29.21B,,29.21B,,,7.142B,68.83B,,,2.27B,,,1.449B,23.94B,928.00M,23.01B,360.43B,438.41B,529.50B,,,,96.20B,,96.20B,,50.79B,50.79B,50.79B,412.98B,55.16B,55.16B,13.76B,,1.21B,,68.92B,506.40B,12.00M,25.25B,3.678B,7.176B,,,,121.00M,21.88B
2002-08,,27.96B,,27.96B,,,11.12B,97.76B,,,2.323B,,,1.447B,22.82B,927.00M,21.90B,322.73B,360.08B,516.77B,,,,100.95B,,100.95B,,38.77B,38.77B,38.77B,356.17B,55.13B,55.13B,13.71B,,1.21B,,68.84B,494.15B,12.00M,24.77B,3.672B,6.782B,,,,-254.00M,21.42B
2002-05,,22.21B,,22.21B,,,10.11B,76.09B,,,2.675B,,,1.441B,21.32B,899.00M,20.42B,236.43B,410.96B,553.92B,,,,109.72B,,109.72B,,43.03B,43.03B,43.03B,399.07B,55.44B,55.44B,13.34B,,1.21B,,68.78B,531.44B,12.00M,24.41B,3.67B,6.573B,,,,-241.00M,21.28B
2002-02,,25.48B,,25.48B,,,9.013B,136.21B,,,7.498B,,,1.433B,21.63B,873.00M,20.75B,251.35B,288.50B,491.65B,,,,102.48B,,102.48B,,40.26B,40.26B,40.26B,351.46B,47.20B,47.20B,12.54B,,1.21B,,59.74B,469.55B,12.00M,23.86B,3.675B,6.368B,,,,-292.00M,20.89B
2001-11,,26.60B,,26.60B,,,11.74B,64.04B,,,2.579B,,,,20.96B,847.00M,20.11B,360.02B,396.40B,482.63B,,,,100.81B,,100.81B,,32.84B,32.84B,32.84B,335.96B,49.67B,49.67B,12.28B,,1.21B,,61.94B,460.70B,357.00M,23.27B,3.745B,6.935B,345.00M,,,279.00M,20.72B
2001-08,,24.17B,,24.17B,,,8.395B,77.93B,,,3.026B,,,,20.99B,792.00M,20.20B,369.70B,406.38B,505.78B,,,,105.08B,,105.08B,,26.89B,26.89B,26.89B,408.45B,49.99B,49.99B,12.90B,,1.21B,,62.89B,484.58B,357.00M,22.66B,3.553B,6.307B,345.00M,,,-271.00M,19.99B
2001-05,,27.10B,,27.10B,,,11.19B,82.83B,,,2.884B,,,,21.76B,787.00M,20.97B,355.29B,392.25B,497.38B,,,,96.15B,,96.15B,,46.10B,46.10B,46.10B,258.00B,50.62B,50.62B,12.51B,,400.00M,,63.13B,476.96B,557.00M,22.22B,3.568B,6.078B,545.00M,,,-245.00M,20.02B
2001-02,,21.68B,,21.68B,,,10.86B,81.08B,,,2.775B,,,,22.34B,786.00M,21.56B,305.70B,342.32B,450.10B,,,,99.34B,,99.34B,,37.61B,37.61B,37.61B,232.69B,42.50B,42.50B,12.53B,,400.00M,,55.02B,429.95B,557.00M,21.55B,3.649B,5.781B,545.00M,,,-226.00M,19.75B
2000-11,,18.82B,,18.82B,,,6.702B,52.85B,,,2.685B,,,,22.53B,783.00M,21.74B,306.40B,342.42B,421.28B,,,,100.38B,,100.38B,,27.75B,27.75B,27.75B,299.62B,42.05B,42.05B,11.93B,,400.00M,,53.98B,401.61B,557.00M,20.80B,3.377B,6.024B,545.00M,,,559.00M,19.27B
2000-08,,17.26B,,17.26B,,,11.62B,53.35B,,,2.296B,,,,19.82B,776.00M,19.04B,289.44B,322.91B,404.12B,,,,78.80B,,78.80B,,22.78B,22.78B,22.78B,268.69B,42.83B,42.83B,11.45B,,400.00M,,54.29B,385.07B,557.00M,19.83B,3.296B,4.863B,545.00M,,,-162.00M,18.65B
2000-05,,15.96B,,15.96B,,,9.435B,125.06B,,,2.158B,,,,22.51B,773.00M,21.73B,227.44B,262.92B,417.59B,,,,79.51B,,79.51B,,39.88B,39.88B,39.88B,281.89B,37.36B,37.36B,11.09B,,400.00M,,48.44B,399.08B,557.00M,18.81B,3.245B,4.36B,545.00M,,,-145.00M,18.11B
2000-02,,15.33B,,15.33B,,,6.411B,60.97B,,,2.231B,,,,23.76B,771.00M,22.99B,281.20B,315.83B,408.07B,,,,62.98B,,62.98B,,48.02B,48.02B,48.02B,284.55B,32.89B,32.89B,10.84B,,400.00M,,43.74B,389.82B,557.00M,17.59B,3.253B,3.456B,545.00M,,,-94.00M,17.85B
1999-11,,12.32B,,12.32B,,,7.623B,45.59B,,,2.204B,,,,21.00B,769.00M,20.23B,260.55B,292.07B,366.97B,,,,50.06B,,50.06B,,38.24B,38.24B,38.24B,254.72B,28.60B,28.60B,10.40B,,400.00M,,39.00B,349.55B,682.00M,16.28B,3.836B,4.355B,670.00M,,,566.00M,17.01B
1999-08,,13.38B,,13.38B,,,32.62B,46.00B,,,2.145B,,,,16.56B,766.00M,15.79B,267.79B,294.87B,340.87B,,,,50.75B,,50.75B,,22.23B,22.23B,22.23B,189.16B,29.04B,29.04B,9.286B,,400.00M,,38.32B,325.02B,671.00M,14.80B,,,671.00M,,,,15.44B
1999-05,,10.61B,,10.61B,,,37.15B,47.76B,,,2.121B,,,,14.59B,768.00M,13.82B,270.34B,294.59B,342.34B,,,,47.80B,,47.80B,,24.32B,24.32B,24.32B,241.88B,28.78B,28.78B,8.809B,,,,37.59B,326.60B,1.072B,13.97B,,,1.072B,,,,15.75B
1999-02,,6.225B,,6.225B,,,29.36B,35.59B,,,2.121B,,,,15.53B,777.00M,14.75B,261.57B,286.19B,321.78B,,,,44.44B,,44.44B,,20.05B,20.05B,20.05B,223.86B,27.30B,27.30B,8.422B,,,,35.72B,305.54B,1.073B,12.97B,,,1.073B,-31.00M,,-31.00M,16.24B
1998-11,,16.88B,,16.88B,,,26.58B,43.45B,,,1.834B,,,,16.00B,787.00M,15.21B,249.76B,274.14B,317.59B,,,,46.22B,,46.22B,,28.14B,28.14B,28.14B,221.68B,27.44B,27.44B,8.197B,,,,35.63B,302.07B,1.074B,12.08B,,,1.074B,,,,15.52B
1998-08,,9.82B,,9.82B,,,30.67B,40.49B,,,1.779B,,,,17.66B,855.00M,16.80B,294.32B,320.44B,360.93B,,,,58.83B,,58.83B,,22.87B,22.87B,22.87B,263.99B,28.07B,28.07B,8.718B,,,,36.79B,345.89B,674.00M,11.12B,,,674.00M,,,,15.04B
1998-05,,9.271B,,9.271B,,,36.58B,139.28B,,,1.76B,,,,17.91B,824.00M,17.09B,199.50B,225.83B,380.66B,,,,57.10B,,57.10B,,28.16B,28.16B,28.16B,277.92B,28.35B,28.35B,9.133B,,,,37.49B,366.84B,875.00M,10.61B,,,875.00M,,,,13.82B
