,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-06,94.00M,,,17.00M,,,110.00M,110.00M,,,127.00M,-71.00M,6.00M,-15.00M,4.00M,-55.00M,-131.00M,,217.00M,-86.00M,-7.00M,-93.00M,,,,,-93.00M,,,-62.00M,11.00M,,11.00M,,-24.00M,-19.00M,-94.00M,157.00M,30.00M,3.00M,190.00M,11.00M,,,
2003-03,91.00M,,,,,,108.00M,108.00M,,,-127.00M,-14.00M,-199.00M,-60.00M,-35.00M,,-308.00M,,-236.00M,-58.00M,7.00M,-51.00M,,,,,-51.00M,,,279.00M,,,,,-23.00M,-6.00M,250.00M,192.00M,-37.00M,2.00M,157.00M,,,,
2002-12,-30.00M,,,34.00M,,,114.00M,114.00M,,,,53.00M,72.00M,195.00M,23.00M,89.00M,432.00M,,550.00M,-225.00M,,-198.00M,,-4.00M,,,-202.00M,,,-373.00M,-2.00M,0.00,-2.00M,,-22.00M,71.00M,-326.00M,183.00M,22.00M,-13.00M,192.00M,-2.00M,,,0.00
2002-09,101.00M,,,9.00M,,,103.00M,103.00M,,,,78.00M,61.00M,-51.00M,-281.00M,371.00M,178.00M,,391.00M,-88.00M,,-88.00M,,-148.00M,,,-236.00M,,,-51.00M,-2.00M,0.00,-2.00M,,-23.00M,-48.00M,-124.00M,139.00M,31.00M,13.00M,183.00M,-2.00M,,,0.00
2002-06,-549.00M,,,886.00M,,,95.00M,95.00M,-68.00M,,,-73.00M,70.00M,-11.00M,86.00M,-242.00M,-170.00M,,194.00M,-63.00M,,-63.00M,,-27.00M,,,-90.00M,,,-88.00M,16.00M,0.00,16.00M,,-23.00M,-10.00M,-105.00M,138.00M,-1.00M,2.00M,139.00M,16.00M,,,0.00
2002-03,84.00M,,,-241.00M,,,93.00M,93.00M,68.00M,,,-125.00M,-102.00M,-70.00M,,-57.00M,-354.00M,,-350.00M,-54.00M,,-54.00M,,,,,-54.00M,,,276.00M,68.00M,-71.00M,-3.00M,,-23.00M,-18.00M,232.00M,316.00M,-172.00M,-6.00M,138.00M,68.00M,,,-71.00M
2001-12,21.00M,,,13.00M,-277.00M,-20.00M,99.00M,99.00M,-6.00M,,,155.00M,-29.00M,153.00M,,-29.00M,250.00M,,377.00M,-182.00M,,-182.00M,,,,,27.00M,,,-248.00M,,0.00,0.00,,-23.00M,26.00M,-245.00M,157.00M,159.00M,,316.00M,,,,0.00
2001-09,-94.00M,,,299.00M,92.00M,6.00M,98.00M,98.00M,-114.00M,,,-48.00M,22.00M,98.00M,,45.00M,117.00M,,306.00M,-78.00M,,-78.00M,,,,,-78.00M,,,-187.00M,-24.00M,-43.00M,-67.00M,,-22.00M,49.00M,-227.00M,153.00M,1.00M,3.00M,157.00M,-24.00M,,,-43.00M
2001-06,53.00M,,,18.00M,90.00M,7.00M,97.00M,97.00M,-3.00M,,,-41.00M,13.00M,73.00M,,57.00M,102.00M,,267.00M,-60.00M,,-60.00M,,,,,-60.00M,,,-225.00M,24.00M,,24.00M,,-23.00M,-4.00M,-228.00M,177.00M,-21.00M,-3.00M,153.00M,24.00M,,,
2001-03,41.00M,,,37.00M,95.00M,7.00M,102.00M,102.00M,-6.00M,,,50.00M,-32.00M,-94.00M,,-24.00M,-100.00M,,74.00M,-58.00M,,-58.00M,,,,,-58.00M,,,91.00M,,,,,-45.00M,1.00M,47.00M,114.00M,63.00M,,177.00M,,,,
2000-12,66.00M,,,-4.00M,,,87.00M,87.00M,41.00M,,,-138.00M,55.00M,194.00M,-96.00M,5.00M,20.00M,,210.00M,-144.00M,,-144.00M,,0.00,,,-144.00M,,,-211.00M,,-11.00M,-11.00M,,4.00M,10.00M,-208.00M,266.00M,-142.00M,,114.00M,,,,-11.00M
2000-09,68.00M,,,9.00M,,,95.00M,95.00M,10.00M,,,-15.00M,125.00M,-35.00M,,59.00M,134.00M,,316.00M,-69.00M,,-69.00M,,0.00,,,-69.00M,,,89.00M,,-188.00M,-188.00M,,-24.00M,-17.00M,-140.00M,159.00M,107.00M,,266.00M,,,,-188.00M
2000-06,121.00M,,,-14.00M,,,116.00M,116.00M,-15.00M,,,-60.00M,-79.00M,-49.00M,119.00M,-137.00M,-206.00M,,2.00M,-85.00M,,-85.00M,,0.00,,,-85.00M,,,208.00M,,-130.00M,-130.00M,,-24.00M,13.00M,67.00M,175.00M,-16.00M,,159.00M,,,,-130.00M
2000-03,112.00M,,,-11.00M,,,102.00M,102.00M,38.00M,,,-135.00M,-181.00M,111.00M,-119.00M,,-324.00M,,-83.00M,-77.00M,,-77.00M,,-283.00M,,,-360.00M,,,460.00M,,-98.00M,-98.00M,,-26.00M,21.00M,357.00M,261.00M,-86.00M,,175.00M,,,,-98.00M
1999-12,113.00M,,,-18.00M,,,102.00M,102.00M,82.00M,,,218.00M,27.00M,78.00M,,-53.00M,270.00M,,610.00M,-156.00M,,-156.00M,,,,,-156.00M,,,-263.00M,,0.00,0.00,,-25.00M,8.00M,-280.00M,230.00M,174.00M,,261.00M,,,,0.00
1999-09,107.00M,,,9.00M,,,96.00M,96.00M,-22.00M,,,-37.00M,81.00M,20.00M,,52.00M,116.00M,,306.00M,-109.00M,,-109.00M,,,,,-109.00M,,,-138.00M,,-100.00M,-100.00M,,-25.00M,31.00M,-232.00M,265.00M,-35.00M,,230.00M,,,,-100.00M
1999-06,99.00M,,,-6.00M,,,110.00M,110.00M,-7.00M,,,-143.00M,-12.00M,50.00M,42.00M,1.00M,-62.00M,,134.00M,-107.00M,,-107.00M,,,,,-107.00M,,,-160.00M,,-26.00M,-26.00M,,-26.00M,40.00M,-172.00M,410.00M,-145.00M,,265.00M,,,,-26.00M
1999-03,28.00M,,,-51.00M,,,109.00M,109.00M,-24.00M,,,-79.00M,-148.00M,-42.00M,-42.00M,,-311.00M,,-249.00M,-65.00M,,-65.00M,,,,,-65.00M,,,176.00M,,-41.00M,-41.00M,,-27.00M,-20.00M,88.00M,636.00M,-226.00M,,410.00M,,,,-41.00M
1998-12,83.00M,,,17.00M,,,98.00M,98.00M,,,-80.00M,45.00M,136.00M,78.00M,46.00M,,305.00M,,449.00M,-199.00M,0.00,-199.00M,,,,,-199.00M,,,-177.00M,,,,,-25.00M,27.00M,-215.00M,0.00,35.00M,,636.00M,,,,
1998-09,78.00M,,,-12.00M,,,110.00M,110.00M,,,80.00M,83.00M,22.00M,14.00M,15.00M,,134.00M,,390.00M,-209.00M,0.00,-209.00M,,,,,-209.00M,,,-79.00M,,,,,-26.00M,-81.00M,-186.00M,0.00,-5.00M,,0.00,,,,
1998-06,84.00M,,,-2.00M,,,115.00M,115.00M,,,24.00M,-200.00M,-55.00M,38.00M,-15.00M,,-232.00M,,-11.00M,-124.00M,65.00M,-59.00M,,,,,-59.00M,,,110.00M,,,,,-25.00M,-27.00M,58.00M,0.00,-12.00M,,0.00,,,,
