,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2005-12,7.963M,7.963M,499.73M,,499.73M,,52.84M,,20.51M,27.27M,608.30M,0.0,197.76M,1.170B,709.12M,34.66M,191.69M,,2.303B,-873.70M,1.430B,686.21M,,686.21M,,134.55M,2.250B,2.859B,421.29M,,421.29M,,421.29M,,,,5.191M,,5.191M,,,97.69M,524.17M,637.65M,,637.65M,42.71M,42.71M,159.88M,,289.20M,969.56M,1.494B,0.539M,1.260B,,-55.44M,1.205B
2005-09,82.16M,82.16M,505.37M,81.71M,587.08M,,50.90M,,21.48M,33.07M,774.68M,,,,,,,,2.164B,-852.00M,1.312B,,535.85M,535.85M,,120.15M,1.968B,2.743B,425.52M,,425.52M,,425.52M,,,,3.873M,,3.873M,,,96.91M,526.31M,528.30M,,528.30M,43.98M,43.98M,161.40M,,259.03M,831.32M,1.358B,0.545M,1.280B,,-56.22M,1.224B
2005-06,114.75M,114.75M,550.44M,,550.44M,,54.48M,,9.328M,33.78M,762.78M,,,,,,,,2.202B,-851.31M,1.351B,,531.96M,531.96M,,117.63M,2.001B,2.763B,401.77M,,401.77M,,401.77M,,,,3.994M,,3.994M,,,77.81M,483.58M,525.85M,,525.85M,49.16M,49.16M,168.85M,,254.20M,829.21M,1.313B,0.556M,1.336B,,-54.42M,1.282B
2005-03,54.19M,54.19M,624.18M,,624.18M,,61.50M,,,37.10M,776.97M,,,,,,,,2.310B,-853.35M,1.457B,,619.40M,619.40M,,130.70M,2.207B,2.984B,463.03M,,463.03M,,463.03M,,,,16.11M,,16.11M,,,52.18M,531.32M,684.40M,,684.40M,50.94M,50.94M,190.86M,,251.35M,986.68M,1.518B,0.58M,1.282B,21.91M,-29.19M,1.275B
2004-12,33.12M,33.12M,552.54M,,552.54M,,60.73M,,,162.53M,808.92M,0.0,204.73M,1.236B,706.11M,51.08M,69.28M,,2.267B,-819.22M,1.448B,,619.06M,619.06M,,146.79M,2.214B,3.023B,190.18M,,190.18M,241.39M,431.57M,,,,16.97M,,16.97M,,,21.12M,469.66M,852.23M,,852.23M,50.21M,50.21M,186.54M,,243.62M,1.146B,1.616B,0.577M,1.220B,22.89M,-21.41M,1.221B
2004-09,34.55M,34.55M,580.01M,,580.01M,,63.68M,,19.12M,30.81M,728.17M,,,,,,,,2.288B,-837.95M,1.450B,,652.16M,652.16M,,148.01M,2.250B,2.978B,442.02M,,442.02M,,442.02M,,,,11.92M,,11.92M,,,9.795M,463.74M,828.77M,,828.77M,62.32M,62.32M,187.17M,,221.93M,1.113B,1.577B,0.583M,1.183B,48.40M,-17.62M,1.214B
2004-06,36.34M,36.34M,575.36M,,575.36M,,63.07M,,11.90M,25.11M,711.77M,,,,,,,,2.237B,-803.36M,1.434B,,648.70M,648.70M,,169.96M,2.252B,2.964B,444.32M,,444.32M,,444.32M,,,,13.19M,,13.19M,,,16.38M,473.90M,849.59M,,849.59M,47.69M,47.69M,184.62M,,229.48M,1.127B,1.601B,0.581M,1.145B,46.80M,-13.60M,1.179B
2004-03,38.38M,38.38M,602.16M,,602.16M,,64.57M,,18.13M,41.54M,764.79M,,,,,,,,2.214B,-795.43M,1.419B,,587.18M,587.18M,,194.29M,2.200B,2.965B,431.87M,,431.87M,,431.87M,,,,12.53M,,12.53M,30.10M,30.10M,9.382M,483.88M,895.88M,,895.88M,43.76M,43.76M,178.42M,,229.96M,1.170B,1.653B,0.581M,1.097B,45.76M,-9.887M,1.133B
2003-12,34.86M,34.86M,503.93M,,503.93M,,61.74M,,25.27M,19.99M,645.79M,0.0,169.28M,1.120B,658.93M,44.54M,86.21M,,2.079B,-774.94M,1.304B,,442.50M,442.50M,,380.09M,2.127B,2.773B,178.82M,,178.82M,206.06M,384.88M,,,,10.87M,,10.87M,,,,395.75M,868.57M,,868.57M,41.84M,41.84M,159.55M,,216.09M,1.127B,1.522B,0.58M,1.051B,42.48M,-2.832M,1.091B
2003-09,28.26M,28.26M,482.82M,,482.82M,,53.66M,,3.355M,31.74M,599.84M,,,,,,,,2.032B,-750.23M,1.282B,,431.36M,431.36M,,122.39M,1.836B,2.436B,369.95M,,369.95M,,369.95M,,,,11.22M,,11.22M,,,11.68M,392.86M,632.53M,,632.53M,15.59M,15.59M,158.86M,,211.48M,859.60M,1.252B,0.579M,1.004B,39.00M,-19.26M,1.025B
2003-06,26.70M,26.70M,472.83M,,472.83M,,58.93M,,18.88M,33.54M,610.88M,,,,,,,,1.989B,-738.48M,1.251B,,433.96M,433.96M,,128.05M,1.813B,2.424B,355.30M,,355.30M,,355.30M,,,,11.94M,,11.94M,,,5.205M,372.44M,690.18M,,690.18M,12.88M,12.88M,145.40M,,226.35M,929.41M,1.302B,0.577M,955.16M,34.84M,-14.14M,976.43M
2003-03,32.42M,32.42M,510.15M,,510.15M,,60.02M,,21.13M,30.86M,654.58M,,,,,,,,1.935B,-713.27M,1.222B,,429.12M,429.12M,,135.16M,1.786B,2.441B,339.78M,,339.78M,,339.78M,,,,11.09M,,11.09M,37.88M,37.88M,,388.75M,730.60M,,730.60M,13.31M,13.31M,139.07M,,219.31M,963.22M,1.352B,0.584M,904.22M,63.23M,-18.04M,949.99M
2002-12,17.75M,17.75M,474.76M,,474.76M,,58.22M,,25.02M,17.86M,593.62M,0.0,154.80M,978.66M,586.10M,42.35M,98.72M,,1.861B,-687.43M,1.173B,,410.32M,410.32M,,152.00M,1.736B,2.329B,170.47M,,170.47M,191.69M,362.16M,,,,8.253M,,8.253M,,,,370.41M,680.51M,,680.51M,14.27M,14.27M,140.25M,,206.24M,901.02M,1.271B,0.589M,851.42M,84.14M,-18.69M,917.46M
2002-09,15.79M,15.79M,472.32M,,472.32M,,,,27.77M,86.97M,602.85M,,,,,,,,1.824B,-670.20M,1.154B,,408.50M,408.50M,,90.34M,1.653B,2.256B,356.67M,,356.67M,,356.67M,,,,3.495M,,3.495M,,,0.91M,361.07M,658.06M,,658.06M,26.50M,26.50M,133.30M,,130.09M,814.65M,1.176B,0.604M,807.54M,148.94M,-10.16M,946.92M
2002-06,14.82M,14.82M,464.99M,,464.99M,,,,34.94M,93.71M,608.46M,,,,,,,,1.775B,-647.16M,1.128B,,391.93M,391.93M,,80.82M,1.600B,2.209B,344.12M,,344.12M,,344.12M,,,,2.641M,,2.641M,,,,346.76M,688.02M,,688.02M,27.47M,27.47M,127.86M,,119.37M,834.86M,1.182B,0.599M,766.08M,139.44M,-6.717M,899.41M
2002-03,16.38M,16.38M,481.93M,,481.93M,,,,26.50M,93.31M,618.12M,,,,,,,,1.720B,-621.04M,1.099B,386.18M,,386.18M,,91.14M,1.576B,2.194B,341.58M,,341.58M,,341.58M,,,,2.751M,,2.751M,,,27.73M,372.06M,703.29M,,703.29M,27.33M,27.33M,127.19M,,110.96M,841.58M,1.214B,0.755M,721.74M,136.21M,-5.159M,853.54M
2001-12,22.85M,22.85M,418.08M,,418.08M,,,,25.23M,82.10M,548.26M,0.0,149.21M,877.42M,505.31M,0.196M,93.67M,,1.626B,-594.60M,1.031B,,372.63M,372.63M,,216.50M,1.620B,2.169B,144.16M,,144.16M,176.12M,320.28M,,,,2.436M,,2.436M,,,,322.72M,718.83M,,718.83M,28.84M,28.84M,125.91M,,164.39M,912.06M,1.235B,0.598M,676.06M,137.40M,-6.162M,807.90M
2001-09,24.59M,24.59M,404.58M,,404.58M,,50.00M,,,50.68M,529.85M,,,,,,,,1.574B,-574.46M,999.38M,,396.22M,396.22M,,85.79M,1.481B,2.011B,297.88M,,297.88M,,297.88M,,,,1.273M,,1.273M,,,21.60M,320.75M,623.86M,,623.86M,33.42M,33.42M,130.50M,,103.50M,760.78M,1.082B,0.556M,675.14M,137.66M,-14.18M,799.21M
2001-06,24.52M,24.52M,406.52M,,406.52M,,48.63M,,23.04M,26.80M,529.52M,0.0,1.507B,,,,28.66M,,1.536B,-556.05M,979.81M,391.55M,,391.55M,,79.73M,1.451B,1.981B,282.48M,,282.48M,,282.48M,,0.844M,,0.844M,,0.844M,,,6.217M,289.54M,663.79M,,663.79M,35.77M,35.77M,122.20M,,86.85M,786.42M,1.076B,0.599M,644.58M,143.20M,-5.93M,782.46M
2001-03,13.04M,13.04M,430.34M,,430.34M,,48.95M,,20.82M,30.10M,543.26M,0.0,1.465B,,,,,,1.465B,-533.89M,931.57M,395.92M,,395.92M,,119.27M,1.447B,1.990B,276.46M,,276.46M,,276.46M,,0.87M,,0.87M,,0.87M,22.46M,22.46M,,299.79M,700.13M,,700.13M,34.14M,34.14M,121.16M,,89.13M,823.40M,1.123B,0.299M,612.49M,142.06M,-9.184M,745.67M
2000-12,10.54M,10.54M,376.60M,,376.60M,,45.52M,,,43.79M,476.46M,,,,,,,,1.388B,-512.70M,875.63M,,316.78M,316.78M,,73.52M,1.266B,1.742B,113.29M,,113.29M,,113.29M,,,,0.689M,,0.689M,,,134.86M,248.84M,548.06M,,548.06M,36.38M,36.38M,120.79M,,71.73M,656.18M,905.02M,0.299M,576.32M,139.95M,,716.57M
2000-09,5.975M,5.975M,349.01M,,349.01M,,43.40M,,,53.87M,452.26M,,,,,,,,1.356B,-495.15M,861.14M,,316.68M,316.68M,,71.09M,1.249B,1.701B,235.53M,,235.53M,,235.53M,,,,0.559M,,0.559M,,,6.126M,242.22M,533.11M,,533.11M,38.12M,38.12M,119.98M,,76.78M,648.01M,890.23M,0.30M,557.23M,133.43M,,690.96M
2000-06,5.552M,5.552M,313.57M,,313.57M,,40.17M,,,49.64M,408.92M,,,,,,,,1.255B,-474.81M,780.35M,,269.38M,269.38M,,66.44M,1.116B,1.525B,207.70M,,207.70M,,207.70M,,,,1.309M,,1.309M,,,0.593M,209.60M,404.20M,,404.20M,35.62M,35.62M,120.20M,,75.52M,515.34M,724.94M,0.301M,534.90M,144.75M,,679.95M
2000-03,7.95M,7.95M,,,316.88M,,39.63M,,,53.22M,417.68M,,,,,,,,1.240B,-456.17M,783.62M,,272.80M,272.80M,,56.53M,1.113B,1.531B,202.36M,,202.36M,,202.36M,,,,2.935M,,2.935M,,,14.34M,219.63M,419.62M,,419.62M,32.71M,32.71M,118.66M,,75.61M,527.94M,747.57M,0.304M,511.59M,152.50M,,664.40M
1999-12,6.20M,6.20M,307.30M,,307.30M,,41.20M,,,48.50M,403.20M,,,,,,,,1.215B,-437.80M,777.10M,,276.00M,276.00M,,41.70M,1.095B,1.498B,105.30M,,105.30M,,105.30M,,,,3.50M,,3.50M,,,108.40M,217.20M,419.20M,,419.20M,30.60M,30.60M,115.60M,,73.80M,523.60M,740.80M,0.30M,483.00M,158.30M,,641.60M
1999-09,7.10M,7.10M,,,285.00M,,38.50M,,,40.40M,371.00M,,,,,,,,1.209B,-423.40M,785.50M,,288.70M,288.70M,,40.10M,1.114B,1.485B,201.70M,,201.70M,,201.70M,,,,3.80M,,3.80M,,,,205.50M,400.40M,,400.40M,27.00M,27.00M,122.10M,,91.70M,519.10M,724.60M,0.30M,469.00M,169.30M,,638.60M
1999-06,8.20M,8.20M,,,299.40M,,38.50M,,,31.30M,377.40M,,,,,,,,1.191B,-403.30M,787.90M,,292.80M,292.80M,,41.60M,1.122B,1.500B,186.40M,,186.40M,,186.40M,,,,4.30M,,4.30M,,,,190.70M,406.10M,,406.10M,25.10M,25.10M,129.20M,,92.00M,523.20M,713.90M,,548.20M,,,656.60M
1999-03,10.50M,10.50M,,,276.50M,,38.80M,,,27.30M,353.10M,,,,,,,,1.214B,-413.00M,800.90M,,274.10M,274.10M,,39.70M,1.115B,1.468B,182.10M,,182.10M,,182.10M,,,,3.80M,,3.80M,,,18.20M,204.10M,389.90M,,389.90M,24.10M,24.10M,128.30M,,83.40M,497.40M,701.50M,,435.20M,,,638.00M
1998-12,1.30M,1.30M,,,256.40M,,38.80M,,,23.10M,319.60M,,,,,,,,1.205B,-396.50M,808.80M,,279.10M,279.10M,,40.60M,1.128B,1.448B,165.70M,,165.70M,,165.70M,,,,4.10M,,4.10M,,,0.30M,170.10M,418.20M,,418.20M,23.30M,23.30M,129.40M,,80.10M,521.60M,691.70M,,405.20M,,,627.00M
1998-09,3.30M,3.30M,,,265.20M,,37.30M,,,30.10M,335.90M,,,,,,,,1.200B,-380.90M,818.70M,,274.60M,274.60M,,39.90M,1.133B,1.469B,196.70M,,196.70M,,196.70M,,,,4.50M,,4.50M,,,,201.20M,406.00M,,406.00M,25.40M,25.40M,,,210.00M,641.40M,842.60M,,385.10M,,,626.50M
1998-06,2.70M,2.70M,,,252.50M,,36.70M,,,31.50M,323.40M,,,,,,,,1.132B,-361.00M,770.70M,,278.70M,278.70M,,86.70M,1.136B,1.460B,181.00M,,181.00M,,181.00M,,,,4.90M,,4.90M,,,,185.90M,418.40M,,418.40M,23.60M,23.60M,,,212.60M,654.60M,840.50M,,371.70M,,,619.00M
