,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-03,,1.010B,25.20M,1.036B,197.50M,,197.50M,287.20M,,,287.20M,23.00M,,,6.40M,1.550B,196.70M,36.50M,,2.391B,,129.10M,2.753B,-1.963B,789.70M,0.90M,,0.90M,218.80M,,,73.90M,1.083B,2.633B,,463.50M,95.50M,,559.00M,,559.00M,,,,,,,,57.60M,57.60M,16.70M,633.30M,,4.90M,,4.90M,56.00M,56.00M,,,,27.80M,199.90M,260.80M,894.10M,,0.50M,1.039B,726.00M,,,,,-54.20M,1.711B,,AOR,Restated
2009-12,,697.10M,185.00M,882.10M,167.40M,,167.40M,207.80M,,,207.80M,14.70M,,,11.10M,1.283B,196.70M,36.50M,,2.37B,,117.90M,2.721B,-1.927B,793.80M,0.90M,,0.90M,339.70M,,,77.40M,1.212B,2.495B,,332.00M,92.10M,0.00,424.10M,,424.10M,,0.00,,0.00,,0.00,,52.60M,52.60M,3.10M,479.80M,,4.70M,,4.70M,68.30M,68.30M,,,,16.00M,197.20M,270.20M,750.00M,,0.50M,1.048B,723.50M,,,,,-43.20M,1.729B,,AOR,Restated
2009-09,,497.50M,205.10M,702.60M,143.30M,,143.30M,219.60M,,,219.60M,0.00,,,19.30M,1.085B,196.70M,36.50M,,2.355B,,112.40M,2.700B,-1.934B,766.90M,0.90M,,0.90M,428.10M,,,76.40M,1.272B,2.357B,,263.30M,0.00,9.00M,272.30M,,272.30M,,4.60M,,4.60M,,4.60M,,49.50M,49.50M,2.70M,329.10M,,,,,64.00M,64.00M,,,,100.40M,204.70M,268.70M,597.80M,,0.50M,1.002B,721.10M,,,,,-64.30M,1.659B,,AOR,Restated
2009-06,,816.10M,105.10M,921.20M,137.90M,,137.90M,213.90M,,,213.90M,0.00,,,11.40M,1.284B,193.00M,36.40M,,2.286B,,116.20M,2.632B,-1.893B,738.50M,0.90M,,0.90M,180.00M,,,75.60M,995.00M,2.279B,,175.60M,,23.10M,198.70M,,198.70M,,4.20M,,4.20M,,4.20M,70.90M,102.30M,31.40M,4.30M,309.50M,,,,,,,,,,71.40M,202.50M,280.20M,589.70M,,0.50M,969.50M,714.40M,,,,,-66.10M,1.618B,,AOR,Restated
2009-03,,803.80M,35.20M,839.00M,185.40M,,185.40M,460.10M,,,460.10M,0.00,,,10.50M,1.495B,193.00M,36.30M,,2.219B,,109.90M,2.558B,-1.851B,706.40M,0.90M,,0.90M,211.60M,,18.30M,73.90M,1.011B,2.506B,,192.00M,102.50M,16.40M,310.90M,,310.90M,,3.90M,,3.90M,,3.90M,,79.10M,79.10M,472.00M,865.90M,,,,,0.00,0.00,,,,31.90M,215.60M,215.60M,1.082B,,0.50M,761.30M,711.20M,,,,,-80.30M,1.393B,,AOR,Restated
2008-12,,625.00M,0.00,625.00M,175.10M,,175.10M,,,,588.60M,26.30M,,,18.20M,1.433B,193.00M,31.80M,,2.208B,,74.90M,2.508B,-1.846B,661.90M,0.90M,,0.90M,251.40M,,,40.20M,954.40M,2.388B,,555.70M,106.00M,14.10M,675.80M,,675.80M,,4.10M,,4.10M,,4.10M,,52.10M,52.10M,86.10M,818.10M,,,,,6.20M,6.20M,,,,12.60M,212.60M,218.80M,1.037B,,0.50M,703.40M,709.40M,,,,,-75.20M,1.338B,,,Restated
2008-09,,828.40M,323.80M,1.152B,154.00M,,154.00M,64.70M,,552.50M,617.20M,81.70M,,0.60M,35.80M,2.042B,,,,,,,2.507B,-1.842B,665.10M,0.90M,,0.90M,,,,311.00M,977.00M,3.018B,,230.00M,,,230.00M,,230.00M,,,,,,,,,,730.40M,960.40M,,4.60M,,4.60M,115.20M,115.20M,,,,80.30M,161.70M,281.50M,1.242B,,0.60M,894.40M,831.10M,,,-0.80M,-29.00M,-29.80M,1.696B,,,
2008-06,,805.80M,238.70M,1.044B,175.30M,,175.30M,62.80M,,306.00M,368.80M,,,,182.20M,1.771B,,,,,,,2.491B,-1.842B,649.30M,0.90M,,0.90M,,,,346.30M,996.50M,2.767B,,279.40M,,,279.40M,,279.40M,,,,,,,,87.20M,87.20M,547.50M,914.10M,,4.80M,,4.80M,12.20M,12.20M,,,,53.80M,147.70M,164.70M,1.079B,,0.60M,852.90M,809.50M,,,,,-28.30M,1.635B,,,Restated
2008-03,,852.00M,,852.00M,154.20M,,154.20M,51.40M,,393.10M,444.50M,,,,65.80M,1.516B,,,,,,,2.478B,-1.842B,636.40M,0.90M,,0.90M,,,,376.80M,1.014B,2.531B,,254.30M,,,254.30M,,254.30M,,,,,,,,56.20M,56.20M,675.40M,985.90M,,4.80M,,4.80M,17.90M,17.90M,,,,34.70M,144.40M,167.10M,1.153B,,0.60M,570.00M,799.90M,,,0.20M,-27.80M,-27.60M,1.343B,,,Restated
2007-12,,366.50M,494.50M,861.00M,148.70M,,148.70M,41.20M,,190.50M,231.70M,,,,37.70M,1.279B,0.00,216.90M,,2.014B,205.20M,28.60M,2.465B,-1.842B,623.60M,0.90M,,0.90M,,,,108.90M,733.40M,2.012B,,210.40M,,,210.40M,,210.40M,,,,,,,,30.70M,30.70M,388.20M,629.30M,,4.90M,,4.90M,32.10M,32.10M,,,,17.30M,141.90M,178.90M,808.20M,,0.60M,416.80M,790.80M,,,1.00M,-22.20M,-21.20M,1.187B,,,
2007-09,,53.00M,677.40M,730.40M,142.50M,7.20M,149.70M,42.40M,,194.30M,236.70M,,,,22.00M,1.139B,,,,,,,2.402B,-1.783B,618.40M,0.90M,,0.90M,,,,67.20M,686.50M,1.825B,,175.40M,,,175.40M,,175.40M,,,,,,,,16.00M,16.00M,372.30M,563.70M,,5.00M,,5.00M,13.40M,13.40M,,,,59.20M,155.60M,174.00M,737.70M,,0.60M,282.60M,774.10M,,,0.80M,-29.70M,-28.90M,1.028B,,,
2007-06,,59.60M,506.00M,565.60M,158.00M,,158.00M,45.30M,,134.80M,180.10M,,,,19.60M,923.30M,,,,,,,2.379B,-1.783B,596.00M,0.90M,,0.90M,,,,67.70M,664.60M,1.588B,,182.00M,,,182.00M,,182.00M,,,,,,,,4.80M,4.80M,242.60M,429.40M,,4.60M,,4.60M,17.60M,17.60M,,,,43.30M,159.20M,181.40M,610.80M,,0.60M,197.20M,766.70M,,,-0.90M,-29.80M,-30.70M,933.80M,,,
2007-03,,27.80M,463.00M,490.80M,118.50M,,118.50M,46.90M,,256.80M,303.70M,,,,23.70M,936.70M,,,,,,,2.377B,-1.783B,593.90M,0.90M,,0.90M,,,,66.20M,661.00M,1.598B,,194.80M,,,194.80M,,194.80M,,,,,,,,10.80M,10.80M,375.00M,580.60M,,4.30M,,4.30M,6.00M,6.00M,,,,21.00M,156.00M,166.30M,746.90M,,0.60M,104.70M,757.40M,,,-2.70M,-30.20M,-32.90M,829.80M,,,
2006-12,,25.40M,300.20M,325.60M,113.90M,,113.90M,41.00M,,135.10M,176.10M,,,,17.50M,633.10M,0.00,217.00M,,1.927B,218.10M,18.20M,2.380B,-1.783B,597.00M,0.90M,,0.90M,,,1.70M,57.70M,657.30M,1.290B,,37.40M,,,37.40M,86.60M,124.00M,,,,,,,,9.80M,9.80M,219.60M,353.40M,,4.20M,,4.20M,,,,,,13.60M,152.20M,156.40M,509.80M,,0.60M,48.60M,751.20M,,,,,-33.40M,767.00M,,,
2006-09,,21.40M,284.00M,305.40M,86.50M,,86.50M,61.70M,,179.70M,241.40M,,,,22.00M,655.30M,,,,,,,2.350B,-1.747B,603.20M,0.90M,,0.90M,,,,32.40M,636.50M,1.292B,,145.90M,,,145.90M,,145.90M,,,,,,,,9.00M,9.00M,187.20M,342.10M,,4.40M,,4.40M,7.70M,7.70M,,,,41.80M,115.00M,127.10M,469.20M,,0.60M,41.70M,749.10M,,,,,-10.60M,780.80M,,,
2006-06,,24.70M,203.30M,228.00M,85.00M,,85.00M,59.00M,,143.60M,202.60M,,,,25.20M,540.80M,,,,,,,2.356B,-1.747B,608.40M,0.90M,,0.90M,,,,31.90M,641.20M,1.182B,,148.10M,,,148.10M,,148.10M,,,,,,,,9.10M,9.10M,96.60M,253.80M,,4.40M,,4.40M,7.30M,7.30M,,,,37.40M,106.10M,117.80M,371.60M,,0.60M,35.50M,746.60M,,,,,-9.70M,773.00M,,,
2006-03,,38.70M,157.60M,196.30M,66.40M,4.50M,70.90M,60.30M,,271.00M,331.30M,,,,43.90M,642.40M,,,,,,,2.366B,-1.747B,619.20M,0.90M,,0.90M,,,6.30M,32.00M,658.40M,1.301B,,155.90M,,,155.90M,,155.90M,,,,,,,,5.00M,5.00M,281.50M,442.40M,,4.20M,,4.20M,,,,,,19.40M,104.80M,109.00M,551.40M,,0.60M,-6.00M,744.80M,,,,,-9.40M,730.00M,,,
2005-12,,37.40M,179.30M,216.70M,52.80M,1.10M,53.90M,55.00M,,196.10M,251.10M,,,,54.40M,576.10M,0.00,216.60M,2.147B,,,13.90M,2.377B,-1.747B,630.10M,,0.90M,0.90M,,,,21.00M,652.00M,1.228B,,171.60M,,,171.60M,,171.60M,,,,,,,,5.80M,5.80M,163.70M,341.10M,,4.20M,,4.20M,8.40M,8.40M,,,,13.60M,104.90M,117.50M,458.60M,,0.60M,19.70M,743.00M,,,,,-7.40M,755.90M,,,
2005-09,,40.38M,277.10M,317.48M,57.16M,3.326M,60.49M,46.12M,,169.69M,215.82M,,,,93.88M,687.66M,,,,,,,2.322B,-1.694B,627.43M,,1.327M,1.327M,,,,21.44M,650.19M,1.338B,,170.36M,,,170.36M,,170.36M,,,,,,,,34.88M,34.88M,184.78M,390.03M,,4.234M,,4.234M,19.32M,19.32M,,,,33.35M,82.48M,106.03M,496.06M,,0.55M,33.54M,741.54M,,,,,32.81M,808.44M,,,
2005-06,,79.44M,430.89M,510.33M,88.21M,3.685M,91.89M,45.03M,,96.36M,141.39M,,,27.45M,21.28M,792.35M,,,,,,,2.320B,-1.694B,626.00M,,1.327M,1.327M,,,46.88M,34.25M,708.46M,1.501B,,152.39M,,,152.39M,,152.39M,,,,19.92M,,19.92M,,,,138.39M,310.70M,,230.39M,,230.39M,,,,,,24.88M,81.81M,312.20M,622.90M,,734.31M,124.93M,5.555M,,734.30M,,,-11.76M,853.04M,,,
2004-12,,50.00M,369.29M,419.29M,41.51M,1.764M,43.27M,45.26M,,188.29M,233.55M,,,33.50M,59.18M,788.80M,0.00,216.16M,2.112B,,,11.68M,2.340B,-1.694B,645.60M,,1.327M,1.327M,,,74.91M,36.34M,758.17M,1.547B,,169.24M,,,169.24M,,169.24M,,,,19.92M,,19.92M,,,,235.65M,424.80M,,238.90M,,238.90M,,,,,,12.77M,83.20M,322.11M,746.91M,,734.31M,59.78M,5.555M,,734.30M,,,-12.36M,787.29M,,,
