,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2008-06,37.67M,-0.458M,,,-0.458M,19.19M,9.876M,29.06M,29.06M,-4.18M,-1.585M,,4.583M,,8.472M,-61.83M,-5.851M,-1.333M,23.76M,-0.951M,-9.967M,-55.45M,,18.12M,,2008-06,-74.56M,6.919M,-53.06M,-14.57M,,,-90.36M,,2008-06,-0.654M,,-0.654M,,,,,4.236M,1.073M,4.655M,,372.19M,-67.59M,0.185M,304.79M,,2008-06,,-0.654M,,31.12M,8.951M,,2008-06,,Restated
2008-03,21.47M,0.152M,,,0.152M,18.99M,10.59M,29.58M,29.58M,-1.309M,-1.591M,,3.776M,,4.629M,-32.83M,0.94M,0.911M,-1.041M,-2.555M,-7.13M,-41.52M,,15.19M,,2008-03,-53.17M,2.145M,-51.02M,,,,-51.21M,,2008-03,-0.309M,,-0.309M,,,,,1.412M,1.234M,2.337M,,407.08M,-33.68M,-1.202M,372.19M,,2008-03,,-0.944M,,4.336M,0.186M,,2008-03,,Restated
2007-12,33.59M,,,,6.181M,17.24M,13.08M,30.32M,30.32M,-1.732M,,,,,3.886M,-7.991M,0.616M,-12.10M,48.40M,,,31.74M,0.00,103.98M,,2007-12,-66.91M,12.75M,-54.16M,,0.00,,-75.16M,,2007-12,,,0.841M,4.848M,,3.973M,,,0.004M,4.818M,,371.47M,33.64M,1.966M,407.08M,,2007-12,4.848M,,,,,,2007-12,,
2007-09,49.32M,,,,-1.084M,13.79M,5.517M,19.31M,19.31M,5.842M,,,,,2.045M,-42.94M,0.725M,-3.194M,-4.47M,13.01M,4.713M,-30.30M,-2.348M,42.78M,,2007-09,-18.96M,10.47M,-8.486M,,0.00,,12.11M,,2007-09,,,-93.81M,2.219M,,2.219M,,,0.684M,-90.91M,,405.79M,-36.02M,1.697M,371.47M,,2007-09,2.219M,,,,,,2007-09,,
2007-06,21.87M,,,,-0.093M,11.75M,2.139M,13.89M,13.89M,1.543M,,,,,-1.782M,-1.263M,2.039M,-2.743M,-7.20M,-13.01M,-4.713M,-26.99M,,8.429M,,2007-06,-16.67M,3.419M,-13.25M,,0.00,,-15.25M,,2007-06,,,-0.088M,2.744M,,2.744M,,,3.525M,6.181M,,406.43M,-0.64M,,405.79M,,2007-06,2.744M,,,,,,2007-06,,
2007-03,31.20M,,,,0.324M,13.12M,0.675M,13.79M,13.79M,-0.056M,,,,,0.188M,40.95M,3.335M,2.52M,-27.10M,,,18.60M,,64.05M,,2007-03,-25.39M,0.855M,-24.54M,,0.00,,-42.28M,,2007-03,,,-1.568M,0.477M,,0.477M,,,2.062M,0.971M,,383.69M,22.74M,,406.43M,,2007-03,0.477M,,,,,,2007-03,,
2006-12,-30.46M,,,,-0.277M,12.02M,0.529M,12.54M,12.54M,-4.852M,,,,,58.82M,-36.47M,-1.559M,-1.319M,45.90M,,,5.604M,,41.38M,,2006-12,-12.21M,3.062M,-9.152M,,284.44M,,275.29M,,2006-12,,,-0.405M,0.102M,,0.102M,,,0.05M,-0.253M,,67.28M,316.41M,,383.69M,,2006-12,0.102M,,,,,,2006-12,,
2006-09,22.42M,,,,2.219M,12.18M,0.777M,12.96M,12.96M,3.16M,,,,,0.43M,-17.66M,0.317M,-0.649M,20.73M,7.202M,-4.376M,5.582M,,46.78M,,2006-09,-6.931M,2.288M,-4.643M,,-284.44M,,-289.08M,,2006-09,,,1.055M,0.119M,,0.119M,,,-1.113M,0.061M,,309.52M,-242.25M,,67.28M,,2006-09,0.119M,,,,,,2006-09,,
2006-06,17.66M,,,,-2.212M,12.89M,4.253M,17.14M,17.14M,-1.877M,,,,,2.04M,10.99M,0.614M,1.17M,-3.134M,-7.202M,4.376M,9.179M,,41.93M,,2006-06,-15.72M,3.016M,-12.70M,,60.52M,,47.82M,,2006-06,,,0.742M,0.173M,,0.173M,,,-5.386M,-4.471M,,224.25M,85.27M,,309.52M,,2006-06,0.173M,,,,,,2006-06,,
2006-03,7.858M,,,,-0.463M,12.68M,0.914M,13.59M,13.59M,1.903M,,,,,-2.811M,-25.28M,-2.423M,0.059M,-0.573M,,,-29.52M,,-9.442M,,2006-03,-13.59M,1.606M,-11.98M,,-60.52M,,-72.50M,,2006-03,,,-3.052M,0.617M,,0.617M,,,4.358M,1.923M,,304.27M,-80.02M,,224.25M,,2006-03,0.617M,,,,,,2006-03,,
2005-12,18.46M,,,,1.621M,13.24M,0.093M,13.33M,13.33M,5.179M,,,,,6.961M,38.39M,-2.229M,0.058M,7.90M,,-3.125M,37.91M,,83.46M,,2005-12,-3.677M,7.372M,3.695M,,,,3.695M,,2005-12,,,-8.225M,1.696M,,1.696M,,,0.00,-6.529M,,223.64M,80.63M,,304.27M,,2005-12,1.696M,,,,,,2005-12,,
2005-09,12.88M,,,,1.209M,13.93M,1.433M,15.37M,15.37M,11.38M,,,,,,-97.79M,0.263M,-3.828M,28.53M,15.80M,2.234M,-51.70M,,-10.87M,,2005-09,-9.971M,2.222M,-7.749M,,,,-7.749M,,2005-09,,,-0.338M,1.856M,,1.856M,,,0.00,1.518M,,240.74M,-17.10M,,223.64M,,2005-09,1.856M,,,,,,2005-09,,
2005-06,3.343M,,,,0.098M,28.23M,2.128M,16.14M,16.14M,0.253M,,,,,-1.238M,-24.80M,-0.759M,5.294M,16.79M,-15.80M,0.835M,-18.73M,,-0.129M,,2005-06,-16.69M,1.844M,-14.84M,,,,-14.84M,,2005-06,,,1.707M,0.001M,,0.001M,,,0.00,1.708M,,254.00M,-13.26M,,240.74M,,2005-06,0.001M,,,,,,2005-06,,
2005-03,-5.128M,,,,0.587M,,,14.22M,14.22M,-8.013M,,,,,1.238M,8.053M,-4.143M,-1.411M,4.626M,,0.056M,7.065M,,9.964M,,2005-03,-12.22M,0.562M,-11.66M,,,,-11.66M,,2005-03,,,-11.40M,1.577M,,1.577M,,,-0.041M,-9.864M,,265.56M,-11.56M,,254.00M,,2005-03,1.577M,,,,,,2005-03,,
2004-12,1.836M,,,,1.158M,16.02M,0.04M,16.06M,16.06M,-5.905M,,,,,,54.92M,-0.834M,-0.598M,-15.96M,,0.617M,40.48M,,58.62M,,2004-12,-8.984M,1.445M,-7.539M,,,0.534M,-7.005M,,2004-12,,,-3.791M,0.006M,,0.006M,,,-0.01M,-3.795M,,217.74M,47.82M,,265.56M,,2004-12,0.006M,,,,,,2004-12,,
2004-09,4.156M,,,,0.838M,14.56M,1.178M,15.74M,15.74M,4.27M,,,,,,-50.39M,1.10M,23.78M,33.31M,10.32M,1.119M,20.82M,,45.83M,,2004-09,-10.50M,0.169M,-10.33M,,,2.382M,-7.944M,,2004-09,,,-17.68M,1.445M,,1.445M,,,-1.224M,-17.46M,,197.32M,20.42M,,217.74M,,2004-09,1.445M,,,,,,2004-09,,
2004-06,-3.492M,,,,-1.327M,14.79M,1.39M,16.18M,16.18M,1.469M,,,,,,-6.57M,-0.483M,2.949M,6.14M,-10.32M,0.009M,-7.85M,,4.981M,,2004-06,-7.901M,2.711M,-5.19M,,,6.027M,-2.411M,,2004-06,,,-1.002M,0.069M,,0.069M,,,,-0.933M,,195.68M,1.637M,,197.32M,,2004-06,0.069M,,,,,,2004-06,,
2004-03,-11.69M,,,,0.255M,14.98M,0.90M,15.88M,15.88M,-12.91M,,,,,,35.48M,-2.233M,1.742M,9.879M,,-1.745M,43.13M,,34.65M,,2004-03,-11.59M,0.559M,-11.03M,,,,-7.784M,,2004-03,,,-12.51M,1.698M,,1.698M,,,,-10.81M,,179.63M,16.05M,,195.68M,,2004-03,1.698M,,,,,,2004-03,,
2003-12,-25.71M,,,,44.93M,14.98M,0.843M,15.82M,15.82M,1.67M,,,,,0.078M,21.82M,1.856M,-17.69M,-10.53M,,-1.083M,3.649M,,40.43M,,2003-12,-12.01M,1.255M,-10.75M,,,-0.845M,-11.60M,,2003-12,,,85.05M,0.018M,,0.018M,,,,72.96M,,77.83M,101.80M,,179.63M,,2003-12,0.018M,,,,,,2003-12,,
2003-09,5.399M,,,,0.811M,14.92M,0.839M,15.76M,15.76M,3.558M,,,,,0.389M,-35.08M,1.173M,-3.582M,10.46M,,4.699M,-22.33M,,3.587M,,2003-09,-11.46M,1.009M,-10.45M,,,-1.248M,-11.70M,,2003-09,,,-1.844M,1.667M,,1.667M,,,,-0.177M,,86.12M,-8.288M,,77.83M,,2003-09,1.667M,,,,,,2003-09,,
2003-06,-9.835M,,,,19.28M,15.31M,0.878M,16.18M,16.18M,30.25M,,,,,2.511M,-37.68M,0.366M,1.216M,15.51M,,-1.927M,-22.52M,,35.87M,,2003-06,-7.624M,0.691M,-6.933M,,,-7.20M,-14.13M,,2003-06,,,-0.56M,3.505M,,3.505M,,,,2.945M,,61.43M,24.68M,,86.12M,,2003-06,3.505M,,,,,,2003-06,,
2003-03,-2.734M,,,,-1.433M,14.90M,0.206M,15.11M,15.11M,2.055M,,,,,,46.06M,-1.558M,-1.231M,-19.78M,,0.813M,24.30M,,37.29M,,2003-03,-4.853M,0.213M,-4.64M,,,,-4.64M,,2003-03,,,-1.051M,1.931M,,1.931M,,,,0.88M,,27.90M,33.53M,,61.43M,,2003-03,1.931M,,,,,,2003-03,,
2002-12,-6.686M,,,,9.527M,,,15.28M,15.28M,17.61M,,,,,,26.81M,1.532M,-13.59M,2.361M,6.633M,0.012M,23.76M,,59.50M,,2002-12,-9.65M,1.505M,-8.145M,,,-17.25M,-8.145M,,2002-12,,,-132.60M,95.24M,0.00,95.24M,,,-1.463M,-38.82M,,15.36M,12.54M,,27.90M,,2002-12,95.24M,,0.00,,,,2002-12,,
2002-09,-8.55M,,,,26.07M,,,15.28M,15.28M,6.761M,,,,,0.498M,7.193M,3.949M,2.663M,-30.96M,-11.69M,-2.015M,-30.86M,,9.197M,,2002-09,-6.433M,1.325M,-5.108M,,,17.21M,-5.154M,,2002-09,,,6.141M,3.227M,0.077M,3.304M,,,-2.70M,6.745M,,4.577M,10.79M,,15.36M,,2002-09,3.227M,,0.077M,,,,2002-09,,
2002-06,-622.85M,,,,619.04M,,,15.44M,15.44M,-22.87M,,,,,-0.498M,-26.09M,-1.03M,-1.165M,26.28M,,-1.951M,-3.95M,,-15.68M,,2002-06,-16.62M,1.173M,-15.45M,,,-0.41M,-22.90M,,2002-06,,,47.84M,0.808M,-11.80M,-10.99M,,,,36.85M,,6.309M,-1.732M,,4.577M,,2002-06,0.808M,,-11.80M,,,,2002-06,,
2002-03,10.03M,,,,-0.311M,,,14.58M,14.58M,4.598M,,,,,,48.01M,-5.044M,1.375M,3.892M,,-8.622M,39.61M,,68.51M,,2002-03,-16.75M,0.556M,-16.19M,,,-16.80M,-33.95M,,2002-03,,,-38.46M,3.923M,,3.923M,,,,-34.53M,,6.287M,0.022M,,6.309M,,2002-03,3.923M,,,,,,2002-03,,
2001-12,13.22M,,,,1.786M,,,20.82M,20.82M,9.519M,,,,,,70.86M,-1.949M,-1.457M,-3.924M,17.78M,-3.215M,78.10M,,123.45M,,2001-12,-12.18M,0.747M,-11.44M,,,-23.40M,-40.61M,,2001-12,,,-79.55M,0.216M,0.00,0.216M,,,,-79.33M,,2.779M,3.508M,,6.287M,,2001-12,0.216M,,0.00,,,,2001-12,,
2001-09,26.09M,,,,19.36M,,,20.40M,20.40M,4.388M,,,,,,-41.00M,2.325M,-3.201M,-24.76M,-1.982M,-6.406M,-75.03M,,-4.795M,,2001-09,-18.44M,0.739M,-17.70M,,,0.00,-48.97M,,2001-09,,,64.18M,4.90M,-15.31M,-10.41M,,,,53.77M,,2.772M,0.007M,,2.779M,,2001-09,4.90M,,-15.31M,,,,2001-09,,
2001-06,16.45M,,,,0.887M,,,19.50M,19.50M,-4.801M,,,,,,-18.53M,-2.37M,0.999M,16.52M,,2.103M,-1.276M,,30.76M,,2001-06,-25.76M,0.827M,-24.93M,,,0.00,-30.51M,,2001-06,,,-8.635M,4.598M,,4.598M,,,,-4.037M,,6.562M,-3.79M,,2.772M,,2001-06,4.598M,,,,,,2001-06,,
2001-03,29.07M,,,,0.332M,,,18.66M,18.66M,0.90M,,,,,,0.046M,-1.642M,2.614M,8.138M,,2.493M,11.65M,,60.61M,,2001-03,-28.60M,1.084M,-27.52M,,,2.658M,-101.73M,,2001-03,,,25.42M,4.952M,,4.952M,,,,30.37M,,17.31M,-10.74M,,6.562M,,2001-03,4.952M,,,,,,2001-03,,
2000-12,14.39M,,,,0.085M,,,16.92M,16.92M,7.346M,,,,,,-30.93M,0.405M,,6.067M,2.26M,-12.59M,-34.79M,,3.951M,,2000-12,-24.41M,0.486M,-23.92M,,,,-85.90M,,2000-12,,,80.27M,0.693M,,0.693M,,,0.00,80.96M,,18.30M,-0.989M,,17.31M,,2000-12,0.693M,,,,,,2000-12,,
2000-09,40.69M,,,,-0.249M,,,14.97M,14.97M,3.652M,,,,,,-39.98M,-3.436M,,3.171M,-0.219M,3.615M,-36.85M,,22.21M,,2000-09,-21.88M,0.301M,-21.58M,,,,-150.41M,,2000-09,,,140.84M,9.125M,,9.125M,,,-5.854M,144.12M,,2.373M,15.92M,,18.30M,,2000-09,9.125M,,,,,,2000-09,,
2000-06,31.10M,,,,0.276M,,,13.00M,13.00M,2.173M,,,,,,-41.37M,-1.523M,,6.048M,6.419M,2.054M,-28.37M,,18.17M,,2000-06,-21.38M,0.359M,-21.02M,,,,-67.70M,,2000-06,,,39.26M,10.44M,,10.44M,,,0.00,49.70M,,2.21M,0.163M,,2.373M,,2000-06,10.44M,,,,,,2000-06,,
2000-03,19.54M,,,,-0.219M,,,12.41M,12.41M,0.173M,,,,,,-26.23M,-1.721M,,5.516M,-6.163M,-2.221M,-30.82M,,1.089M,,2000-03,-21.94M,2.936M,-19.01M,,,,-57.98M,,2000-03,,,42.16M,8.266M,,8.266M,,,-2.104M,48.33M,,10.78M,-8.565M,,2.21M,,2000-03,8.266M,,,,,,2000-03,,
1999-12,26.50M,,,,-0.10M,,,11.90M,11.90M,4.30M,,,,,0.10M,-16.20M,-0.10M,,-14.50M,-0.50M,2.10M,-29.20M,,13.50M,,1999-12,-60.20M,0.00,-60.20M,,,-0.10M,-60.30M,,1999-12,,,44.00M,0.70M,,0.70M,,,0.10M,44.80M,,12.70M,-2.00M,,10.80M,,1999-12,0.70M,,,,,,1999-12,,
1999-09,19.20M,,,,0.00,,,10.50M,10.50M,1.10M,,,,,0.10M,-24.90M,0.10M,,17.50M,1.50M,2.50M,-3.30M,,27.60M,,1999-09,-109.70M,1.00M,-108.70M,,,0.10M,-108.60M,,1999-09,,,-93.90M,183.40M,,183.40M,,,0.10M,89.60M,,0.00,8.60M,,12.70M,,1999-09,183.40M,,,,,,1999-09,,
1999-06,4.80M,,,,5.10M,,,7.40M,7.40M,-0.50M,,,,,-0.10M,-32.10M,-1.00M,,18.50M,11.00M,-3.50M,-7.10M,,9.60M,,1999-06,-93.70M,0.20M,-93.50M,,,,-93.50M,,1999-06,,,83.30M,1.40M,,1.40M,,,-1.90M,82.80M,,5.30M,-1.10M,,0.00,,1999-06,1.40M,,,,,,1999-06,,
1999-03,3.40M,,,,,,,5.40M,5.40M,0.70M,,,,,0.10M,-12.00M,-0.80M,,7.90M,-11.60M,2.50M,-14.00M,,-4.40M,,1999-03,-106.20M,0.30M,-105.90M,,,,-105.90M,,1999-03,,,11.10M,101.10M,,101.10M,,,0.10M,112.30M,,3.20M,2.00M,,5.30M,,1999-03,101.10M,,,,,,1999-03,,
1998-12,5.90M,,,,0.00,,,4.00M,4.00M,-0.10M,,,,,0.10M,23.90M,-0.60M,,-13.40M,-0.60M,0.90M,10.20M,,20.10M,,1998-12,-19.10M,0.40M,-18.70M,,,1.50M,-15.90M,,1998-12,,,-1.10M,0.70M,,0.70M,,,5.30M,-3.50M,,2.60M,0.70M,,3.20M,,1998-12,0.70M,,,,,,1998-12,,
1998-09,6.30M,,,,0.00,,,3.30M,3.30M,-0.50M,,,,,-0.10M,-26.00M,-0.20M,,3.10M,-2.30M,1.50M,-23.90M,,-14.90M,,1998-09,-85.40M,0.00,-85.40M,,,33.30M,-52.10M,,1998-09,,,67.90M,-0.20M,,-0.20M,,,-8.30M,67.80M,,0.00,0.80M,,2.60M,,1998-09,-0.20M,,,,,,1998-09,,
1998-06,3.20M,,,,-0.10M,,,2.20M,2.20M,0.10M,,,,,0.10M,-5.90M,0.50M,,0.50M,0.90M,1.40M,-2.60M,,2.90M,,1998-06,7.70M,0.20M,7.90M,,,-34.80M,-26.90M,,1998-06,,,18.30M,0.00,,0.00,,,2.50M,20.80M,,0.00,-3.20M,,0.00,,1998-06,0.00,,,,,,1998-06,,
