,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-09,436.22M,436.22M,381.95M,54.27M,68.75M,,,-1.674M,,,,,68.75M,-14.48M,,,,-1.674M,,-25.96M,-17.64M,-8.316M,,,,-7.312M,0.797M,15.28M,-14.48M,,0.00,,-0.0971,-0.11,,0.00,,-0.0971,2002-09,78.03M,78.03M,,,2002-09,,
2002-06,432.52M,432.52M,384.36M,48.16M,59.49M,,,-165.40M,,,,166.58M,226.07M,-177.91M,,,,-165.40M,,-184.76M,-7.564M,-177.20M,,,,-18.57M,-162.47M,15.44M,-177.91M,,0.00,,-0.2334,-2.26,,0.00,,-0.2402,2002-06,78.27M,78.27M,,,2002-06,,
2002-03,449.22M,449.22M,373.53M,75.69M,50.72M,,,0.435M,,,,,50.72M,24.97M,,,,0.435M,,17.55M,7.282M,10.27M,,,,10.00M,39.54M,14.58M,24.97M,,0.00,,0.1267,0.13,,0.00,,0.1267,2002-03,78.26M,78.74M,,,2002-03,,
2001-12,488.04M,488.04M,404.14M,83.91M,46.77M,6.572M,,0.275M,,,,,53.34M,30.57M,,,,0.275M,,22.19M,8.729M,13.46M,,,,13.29M,51.39M,20.82M,30.57M,,0.00,,0.1679,0.17,,0.00,,0.1679,2001-12,78.20M,78.40M,,,2001-12,,
2001-09,504.47M,504.47M,394.25M,110.22M,45.28M,6.569M,,0.057M,,,,,51.85M,58.37M,,,,0.057M,,49.38M,23.06M,26.32M,,,,26.29M,78.77M,20.40M,58.37M,,0.00,,0.3396,0.34,,0.00,,0.3396,2001-09,77.55M,78.21M,,,2001-09,,
2001-06,503.34M,503.34M,392.59M,110.75M,60.50M,6.553M,,-0.581M,,,,,67.05M,43.71M,,,,-0.581M,,33.99M,17.30M,16.68M,,,,17.03M,63.20M,19.50M,43.71M,,0.00,,0.2145,0.21,,0.00,,0.2144,2001-06,77.07M,78.65M,,,2001-06,,
2001-03,519.02M,519.02M,410.07M,108.95M,42.03M,6.304M,,0.022M,,,,,48.34M,60.62M,,,,0.022M,,51.41M,22.11M,29.30M,,,,29.29M,79.28M,18.66M,60.62M,,0.00,,0.3798,0.38,,0.00,,0.3798,2001-03,76.13M,80.80M,,,2001-03,,
2000-12,548.19M,548.19M,413.52M,134.67M,44.06M,,,-28.17M,,,,,60.98M,73.70M,,,,-28.17M,,37.69M,23.30M,14.39M,,,,31.30M,90.62M,16.92M,73.70M,,0.00,,0.5446,0.25,,0.00,,0.4023,2000-12,57.37M,79.62M,,,2000-12,,
2000-09,487.84M,487.84M,358.83M,129.02M,36.04M,,,0.816M,,,,,51.01M,78.01M,,,,0.816M,,71.89M,31.20M,40.69M,,,,40.20M,92.98M,14.97M,78.01M,,0.00,,0.6323,0.64,,0.00,,0.5238,2000-09,63.35M,78.70M,,,2000-09,,
2000-06,423.53M,423.53M,316.50M,107.02M,33.52M,,,0.838M,,,,,46.51M,60.51M,,,,0.838M,,54.94M,23.84M,31.10M,,,,30.59M,73.51M,13.00M,60.51M,,0.00,,0.5115,0.52,,0.00,,0.4133,2000-06,58.86M,75.50M,,,2000-06,,
2000-03,333.74M,333.74M,252.86M,80.87M,29.95M,,,0.549M,,,,,42.36M,38.51M,,,,0.549M,,34.53M,14.99M,19.54M,,,,19.21M,50.92M,12.41M,38.51M,,0.00,,0.2227,0.2267,,0.00,,0.1836,2000-03,84.08M,108.85M,,,2000-03,,
1999-12,332.30M,332.30M,242.70M,89.60M,26.60M,,,0.40M,,,,,38.50M,51.10M,,,,0.40M,,47.10M,20.60M,26.50M,,,,26.26M,63.00M,11.90M,51.10M,,0.00,,0.3504,0.3533,,,,0.3504,1999-12,80.93M,80.93M,,,1999-12,,
1999-09,271.80M,271.80M,198.40M,73.40M,23.60M,,,0.30M,,,,,34.10M,39.30M,,,,0.30M,,34.40M,15.30M,19.10M,,,,18.92M,49.80M,10.50M,39.30M,,0.00,,0.2566,0.26,,0.00,,0.2299,1999-09,53.19M,53.19M,,,1999-09,,
1999-06,193.80M,193.80M,145.10M,48.70M,17.90M,,,-6.00M,,,,,25.30M,23.40M,,,,-6.00M,,13.90M,9.10M,4.80M,,,,8.40M,30.80M,7.40M,23.40M,,0.00,,0.1601,0.0733,,0.00,,0.1601,1999-06,41.51M,41.51M,,,1999-06,,
1999-03,127.78M,127.78M,101.00M,26.78M,12.00M,,,0.20M,,,,,17.40M,9.379M,,,,0.20M,,7.40M,4.00M,3.40M,,,,3.28M,14.78M,5.40M,9.379M,,0.00,,0.0569,0.06,,0.00,,0.0569,1999-03,38.50M,38.50M,,,1999-03,,
1998-12,118.30M,118.30M,92.10M,26.20M,10.00M,,,0.10M,,,,,14.00M,12.20M,,,,0.10M,,10.20M,4.30M,5.90M,,,,5.84M,16.20M,4.00M,12.20M,,0.00,,0.1254,0.1267,,0.00,,0.1189,1998-12,47.66M,56.84M,,,1998-12,,
1998-09,103.70M,103.70M,80.40M,23.30M,7.90M,,,0.30M,,,,,11.20M,12.10M,,,,0.30M,,10.90M,4.50M,6.40M,,,,6.22M,15.40M,3.30M,12.10M,,0.00,,0.131,0.14,,0.00,,0.131,1998-09,20.00M,20.00M,,,1998-09,,
1998-06,65.00M,65.00M,50.40M,14.60M,5.70M,,,-0.10M,,,,,8.10M,6.50M,,,,-0.10M,,5.60M,2.50M,3.10M,,,,3.16M,8.90M,2.20M,6.50M,,0.00,,0.0763,0.0733,,0.00,,0.0763,1998-06,20.00M,20.00M,,,1998-06,,
