,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-09,193.86M,,193.86M,1.266B,1.266B,121.39M,91.70M,1.083B,,1.296B,,224.28M,2.981B,,,,,,1.524B,-883.30M,640.73M,1.266B,1.435B,2.701B,,,,373.85M,3.715B,6.696B,413.81M,,413.81M,606.35M,1.020B,,,,528.45M,,528.45M,,,0.267M,1.549B,1.187B,,1.187B,,,,,,,,,592.52M,1.779B,3.328B,109.74M,1.686B,1.602B,,72.93M,-102.56M,-29.63M,3.368B
2007-06,177.85M,,177.85M,924.46M,924.46M,116.42M,67.64M,1.034B,,1.218B,,217.12M,2.537B,,,,,,1.467B,-871.85M,594.89M,1.048B,854.38M,1.903B,,,,378.66M,2.876B,5.413B,424.23M,,424.23M,438.08M,862.30M,,,,205.02M,,205.02M,,,1.075M,1.068B,602.23M,,602.23M,,,,,,,,,565.61M,1.168B,2.236B,109.72M,1.541B,1.585B,,37.86M,-96.19M,-58.34M,3.177B
2007-03,174.16M,,174.16M,1.003B,1.003B,105.50M,68.16M,853.42M,,1.027B,,485.30M,2.689B,,,,,,1.472B,-879.60M,591.94M,1.033B,847.12M,1.880B,,,,509.86M,2.982B,5.671B,301.70M,,301.70M,484.12M,785.82M,,,,387.14M,,387.14M,,,73.73M,1.247B,635.28M,,635.28M,,,,,,,,,540.80M,1.176B,2.423B,111.09M,1.707B,1.527B,,,,-97.28M,3.248B
2006-12,343.22M,,343.22M,809.59M,809.59M,105.05M,69.70M,783.51M,,958.26M,,466.93M,2.578B,0.0,44.63M,465.27M,945.25M,,1.455B,-862.10M,593.06M,1.031B,818.45M,1.849B,,,9.874M,435.38M,2.888B,5.466B,385.70M,,385.70M,392.82M,778.52M,,,,157.34M,,157.34M,,,78.99M,1.015B,635.36M,,635.36M,,,,,,,,,550.31M,1.186B,2.201B,112.18M,1.807B,1.470B,,-3.787M,-119.86M,-123.65M,3.265B
2006-09,154.20M,,154.20M,1.191B,1.191B,127.64M,85.51M,983.01M,,1.196B,,223.81M,2.765B,,,,,,1.601B,-993.94M,607.20M,1.134B,761.90M,1.896B,,,,408.10M,2.911B,5.676B,395.89M,,395.89M,511.58M,907.47M,,,,338.31M,,338.31M,,,,1.246B,665.48M,,665.48M,,,,,,,,,642.08M,1.308B,2.553B,111.21M,1.760B,1.408B,,-24.39M,-131.57M,-155.96M,3.123B
2006-06,161.67M,,161.67M,892.73M,892.73M,133.88M,91.20M,998.32M,,1.223B,,256.30M,2.534B,,,,,,1.598B,-991.42M,607.02M,1.108B,747.84M,1.856B,,,,409.11M,2.872B,5.407B,456.10M,,456.10M,458.65M,914.74M,,,,265.31M,,265.31M,,,,1.180B,693.36M,,693.36M,,,,,,,,,611.75M,1.305B,2.485B,110.64M,1.623B,1.368B,,,,-180.78M,2.921B
2006-03,154.01M,,154.01M,937.67M,937.67M,131.34M,88.81M,828.15M,,1.048B,,212.42M,2.352B,,,,,,1.601B,-987.73M,613.70M,1.098B,740.93M,1.839B,,,,414.26M,2.867B,5.219B,346.82M,,346.82M,490.25M,837.07M,,,,247.99M,,247.99M,,,,1.085B,689.32M,,689.32M,,,,,,,,22.50M,571.38M,1.283B,2.368B,109.28M,1.626B,1.302B,,,,-186.98M,2.851B
2005-12,296.56M,,296.56M,764.18M,764.18M,141.20M,86.57M,853.31M,,1.081B,,223.56M,2.365B,0.0,50.37M,491.38M,1.010B,,1.551B,-987.36M,564.06M,,1.841B,1.841B,,,,400.29M,2.806B,5.171B,451.90M,,451.90M,527.33M,979.23M,,,,172.91M,,172.91M,,,,1.152B,647.73M,,647.73M,,,,,,,,23.33M,539.66M,1.211B,2.363B,110.11M,1.585B,1.277B,,,,-164.80M,2.808B
2005-09,215.55M,,215.55M,950.65M,950.65M,128.74M,87.82M,952.76M,,1.169B,,199.46M,2.535B,,,,,,1.535B,-978.08M,557.17M,,1.845B,1.845B,,,,404.48M,2.807B,5.342B,356.44M,,356.44M,602.11M,958.55M,,,,514.68M,,514.68M,,,,1.473B,527.51M,,527.51M,,,,,,,,24.08M,580.72M,1.132B,2.606B,110.89M,1.570B,1.196B,,,,-140.61M,2.736B
2005-06,249.52M,,249.52M,792.75M,792.75M,141.06M,91.59M,943.89M,,1.177B,,199.36M,2.418B,,,,,,1.545B,-985.30M,559.59M,,1.849B,1.849B,,,,399.51M,2.808B,5.227B,384.76M,,384.76M,519.00M,903.76M,,,,557.68M,,557.68M,,,,1.461B,559.18M,,559.18M,,,,,,,,24.63M,565.58M,1.149B,2.611B,111.10M,1.475B,1.163B,,,,-133.03M,2.616B
2005-03,365.86M,,365.86M,844.01M,844.01M,125.58M,104.78M,756.61M,,986.96M,,156.35M,2.353B,,,,,,1.545B,-972.38M,572.40M,,1.682B,1.682B,,,,400.33M,2.655B,5.008B,319.01M,,319.01M,502.85M,821.86M,,,,439.42M,,439.42M,,,,1.261B,558.86M,,558.86M,,,,,,,,24.94M,547.58M,1.131B,2.393B,111.83M,1.462B,1.152B,,,,-110.06M,2.615B
2004-12,485.51M,,485.51M,751.58M,751.58M,129.06M,99.67M,744.52M,,973.25M,,168.23M,2.379B,0.0,52.99M,502.37M,984.13M,,1.539B,-967.24M,572.25M,,1.671B,1.671B,,,,382.34M,2.626B,5.004B,369.94M,,369.94M,558.22M,928.15M,,,,444.06M,,444.06M,,,,1.372B,556.64M,,556.64M,,,,,,,,26.05M,536.13M,1.119B,2.491B,111.39M,1.427B,1.088B,,,,-113.07M,2.513B
2004-09,182.01M,,182.01M,923.61M,923.61M,124.37M,96.24M,832.16M,,1.053B,,156.10M,2.314B,,,,,,1.573B,-998.05M,575.27M,,1.655B,1.655B,,,,382.21M,2.612B,4.927B,347.21M,,347.21M,636.12M,983.33M,,,,550.42M,,550.42M,,,,1.534B,557.10M,,557.10M,,,,,,,,26.70M,446.22M,1.030B,2.564B,110.49M,1.332B,1.049B,,,,-129.35M,2.363B
2004-06,177.38M,,177.38M,763.01M,763.01M,131.09M,110.15M,852.88M,,1.094B,,148.46M,2.183B,,,,,,1.579B,-984.58M,594.19M,,1.673B,1.673B,,,,423.27M,2.690B,4.873B,379.70M,,379.70M,534.49M,914.19M,,,,372.26M,,372.26M,,,,1.286B,858.57M,,858.57M,,,,,,,,27.15M,489.14M,1.375B,2.661B,110.00M,1.206B,1.031B,,,,-134.76M,2.212B
2004-03,551.69M,,551.69M,747.34M,747.34M,119.36M,95.14M,658.08M,,872.57M,,125.94M,2.298B,,,,,,1.565B,-985.45M,579.39M,,1.017B,1.017B,,,,498.54M,2.095B,4.393B,256.90M,,256.90M,510.08M,766.98M,,,,37.73M,,37.73M,,,,804.71M,956.73M,,956.73M,,,,,,,,,503.35M,1.460B,2.265B,109.46M,1.144B,1.010B,,,,-135.53M,2.128B
2003-12,514.78M,,514.78M,633.86M,633.86M,126.52M,91.59M,714.87M,,932.98M,90.96M,35.94M,2.209B,0.0,52.12M,479.72M,1.028B,,1.560B,-968.17M,591.68M,,1.020B,1.020B,,,,425.74M,2.037B,4.246B,315.22M,,315.22M,515.63M,830.85M,,,,35.09M,,35.09M,,,5.916M,871.86M,956.38M,,956.38M,,,,,,,,29.99M,436.02M,1.422B,2.294B,108.17M,1.068B,964.99M,,,,-189.46M,1.951B
2003-09,217.49M,,217.49M,840.16M,840.16M,121.76M,93.06M,847.76M,,1.063B,,182.07M,2.302B,,,,,,1.581B,-980.79M,600.41M,,1.061B,1.061B,,,,317.47M,1.979B,4.281B,246.34M,,246.34M,559.95M,806.29M,,,,226.93M,,226.93M,,,5.806M,1.039B,910.85M,,910.85M,,,,,,,,31.22M,446.92M,1.389B,2.428B,107.40M,989.34M,938.26M,,,,-181.82M,1.853B
2003-06,204.98M,,204.98M,695.50M,695.50M,138.76M,102.85M,789.32M,,1.031B,,146.65M,2.078B,,,,,,1.561B,-1.003B,557.91M,,481.17M,481.17M,,,,399.97M,1.439B,3.517B,262.93M,,262.93M,435.60M,698.52M,,,,61.18M,,61.18M,,,6.93M,766.63M,602.16M,,602.16M,,,,,,,,32.91M,366.74M,1.002B,1.768B,107.16M,889.65M,933.40M,,,,-181.54M,1.749B
2003-03,265.34M,,265.34M,688.91M,688.91M,136.58M,104.88M,652.65M,,894.12M,,147.23M,1.996B,,,,1.543B,,1.543B,-982.76M,560.55M,,475.88M,475.88M,,,,400.24M,1.437B,3.432B,235.76M,,235.76M,440.04M,675.80M,,,,59.34M,,59.34M,,,8.389M,743.52M,602.17M,,602.17M,,,,,,,,35.09M,346.82M,984.08M,1.728B,107.85M,871.13M,931.09M,,,,-205.40M,1.705B
2002-12,496.37M,,496.37M,587.86M,587.86M,132.18M,110.38M,587.95M,,830.52M,117.21M,42.58M,2.075B,0.0,48.57M,462.79M,1.028B,,1.539B,-972.72M,566.55M,,473.36M,473.36M,,,,388.71M,1.429B,3.503B,298.46M,,298.46M,502.06M,800.51M,,,,61.70M,,61.70M,,,12.64M,874.84M,602.29M,,602.29M,,,,,,,,36.90M,331.27M,970.46M,1.845B,108.52M,833.33M,930.13M,,,,-214.14M,1.658B
2002-09,254.98M,,254.98M,744.92M,744.92M,121.50M,128.27M,628.86M,,878.64M,,165.73M,2.044B,,,,,,1.546B,-976.56M,569.76M,,474.50M,474.50M,,,,410.33M,1.455B,3.499B,270.95M,,270.95M,576.35M,847.30M,,,,57.33M,,57.33M,,,16.05M,920.68M,602.55M,,602.55M,,,,,,,,40.49M,232.59M,875.63M,1.796B,108.25M,781.80M,926.78M,,,,-114.28M,1.703B
2002-06,272.20M,,272.20M,652.95M,652.95M,130.75M,183.09M,580.24M,,894.08M,,185.79M,2.005B,,,,1.779B,,1.779B,-1.175B,604.23M,471.53M,,471.53M,,,,416.36M,1.492B,3.497B,266.05M,,266.05M,529.42M,795.48M,,,,65.94M,,65.94M,,,,861.42M,702.78M,,702.78M,,,,,,,,41.70M,246.40M,990.88M,1.852B,109.18M,720.37M,924.16M,,,,-108.87M,1.645B
2002-03,221.08M,,221.08M,700.67M,700.67M,124.01M,161.97M,546.70M,,832.67M,,189.38M,1.944B,,,,1.801B,,1.801B,-1.171B,630.08M,470.47M,,470.47M,,,,397.44M,1.498B,3.442B,237.50M,,237.50M,539.80M,777.30M,,,,66.95M,,66.95M,,,,844.25M,703.85M,,703.85M,,,,,,,,43.29M,230.81M,977.95M,1.822B,109.90M,703.05M,913.59M,,,,-106.94M,1.620B
2001-12,332.05M,,332.05M,602.33M,602.33M,133.26M,155.45M,624.34M,,913.05M,158.11M,25.87M,2.031B,0.0,57.38M,516.16M,1.245B,,1.818B,-1.164B,654.69M,,1.016B,1.016B,,,,401.12M,2.072B,4.103B,251.59M,,251.59M,483.65M,735.24M,,,,78.60M,,78.60M,,,,813.83M,904.04M,,904.04M,,,,,,,,45.63M,226.72M,1.176B,1.990B,110.00M,1.221B,884.64M,,,,-103.04M,2.113B
2001-09,133.08M,,133.08M,777.94M,777.94M,165.38M,164.71M,757.49M,,1.088B,,150.50M,2.149B,,,,,,1.859B,-1.139B,719.48M,,1.068B,1.068B,,,,396.94M,2.185B,4.334B,264.83M,,264.83M,489.94M,754.76M,,,,120.26M,,120.26M,,,,875.02M,904.22M,,904.22M,,,,,,,,46.34M,213.25M,1.164B,2.039B,110.76M,1.396B,878.58M,,,,-90.61M,2.295B
2001-06,100.40M,,100.40M,723.01M,723.01M,175.65M,185.93M,851.91M,,1.213B,,156.46M,2.193B,,,,1.860B,,1.860B,-1.119B,741.56M,,1.079B,1.079B,,,,394.75M,2.215B,4.408B,290.10M,,290.10M,426.98M,717.08M,,,,279.98M,,279.98M,,,,997.06M,904.47M,,904.47M,,,,,,,,46.92M,223.24M,1.175B,2.172B,111.47M,1.354B,870.27M,,,,-98.76M,2.236B
2001-03,93.68M,,93.68M,787.51M,787.51M,207.66M,188.44M,742.14M,,1.138B,,148.62M,2.168B,,,,,,1.847B,-1.095B,751.90M,,1.085B,1.085B,,,,381.39M,2.218B,4.386B,276.38M,,276.38M,,276.38M,,,,267.73M,,267.73M,,,469.08M,1.013B,904.72M,,904.72M,,,,,,,,47.63M,211.87M,1.164B,2.177B,111.69M,1.350B,846.11M,,,,-98.35M,2.209B
2000-12,118.89M,,118.89M,716.30M,716.30M,220.09M,194.19M,710.16M,,1.124B,,150.47M,2.110B,,,,,,1.865B,-1.089B,776.02M,,1.102B,1.102B,,,,370.17M,2.248B,4.358B,340.13M,,340.13M,405.07M,745.20M,,,,261.00M,,261.00M,,,,1.006B,905.04M,,905.04M,,,,,,,,48.48M,206.62M,1.160B,2.166B,112.26M,1.334B,833.44M,,,,-87.88M,2.192B
2000-09,232.93M,,232.93M,,905.59M,,,,,1.156B,,129.12M,2.423B,,,,,,1.862B,-1.069B,793.14M,,1.122B,1.122B,,,,382.42M,2.298B,4.721B,353.60M,,353.60M,,353.60M,,,,474.43M,,474.43M,,,475.79M,1.304B,905.83M,,905.83M,,,,,,,,,219.85M,1.126B,2.429B,153.13M,1.401B,832.39M,39.53M,,,-94.81M,2.292B
2000-06,98.39M,,98.39M,,879.23M,,,,,1.154B,,120.33M,2.252B,,,,,,1.833B,-1.043B,789.37M,,1.125B,1.125B,,,,360.98M,2.276B,4.527B,365.34M,,365.34M,,365.34M,,,,850.89M,,850.89M,,,446.16M,1.662B,417.52M,,417.52M,,,,,,,,,242.42M,659.94M,2.322B,114.20M,1.341B,832.25M,,,,-82.23M,2.205B
2000-03,81.25M,,81.25M,,819.38M,,,,,967.94M,,104.64M,1.973B,,,,,,1.822B,-1.033B,788.81M,,980.24M,980.24M,,,,350.68M,2.120B,4.093B,315.28M,,315.28M,,315.28M,,,,423.50M,,423.50M,,,435.14M,1.174B,517.14M,,517.14M,,,,,,,,,198.20M,715.34M,1.889B,151.96M,1.286B,831.93M,37.77M,,,-66.71M,2.204B
1999-12,79.90M,,79.90M,,732.50M,,,,,964.00M,,101.00M,1.877B,,,,,,1.814B,-1.010B,804.40M,,992.50M,992.50M,,,,352.20M,2.149B,4.026B,332.70M,,332.70M,,332.70M,,,,413.70M,,413.70M,,,367.10M,1.114B,517.80M,,517.80M,,,,,,,,,194.10M,711.90M,1.825B,153.50M,1.281B,831.10M,37.30M,,,-64.80M,2.201B
1999-09,81.80M,,81.80M,,829.20M,,,,,1.005B,,155.70M,2.072B,,,,,,1.789B,-987.40M,801.60M,,998.00M,998.00M,,,,310.70M,2.110B,4.182B,334.00M,,334.00M,,334.00M,,,,462.70M,,462.70M,,,486.90M,1.284B,523.10M,,523.10M,,,,,,,,,185.90M,709.00M,1.993B,154.40M,1.264B,830.70M,36.50M,,,-59.80M,2.190B
1999-06,83.50M,,83.50M,,835.90M,,,,,1.032B,,149.40M,2.100B,,,,,,1.773B,-972.40M,800.70M,,967.20M,967.20M,,,,318.70M,2.087B,4.187B,314.60M,,314.60M,,314.60M,,,,562.90M,,562.90M,,,436.90M,1.314B,520.20M,,520.20M,,,,,,,,,191.90M,712.10M,2.026B,35.60M,1.237B,,35.60M,,,,2.160B
1999-03,88.80M,,88.80M,,835.10M,,,,,1.027B,,143.90M,2.095B,,,,,,1.745B,-946.10M,799.30M,,971.90M,971.90M,,,,272.50M,2.044B,4.139B,337.10M,,337.10M,,337.10M,,,,475.20M,,475.20M,,,496.60M,1.309B,520.10M,,520.10M,,,,,,,,,157.40M,677.50M,1.986B,53.60M,1.210B,,53.60M,,,,2.152B
1998-12,63.20M,,63.20M,,705.70M,,,,,954.00M,,125.30M,1.848B,,,,,,1.711B,-935.00M,776.10M,,951.60M,951.60M,,,,260.80M,1.988B,3.837B,341.10M,,341.10M,,341.10M,,,,245.90M,,245.90M,,,446.00M,1.033B,521.70M,,521.70M,,,,,,,,,181.80M,703.50M,1.736B,33.90M,1.171B,,33.90M,,,,2.100B
1998-09,65.20M,,65.20M,,829.00M,,,,,916.60M,,151.50M,1.962B,,,,,,1.676B,-917.50M,759.00M,,942.90M,942.90M,,,,232.30M,1.934B,3.896B,353.70M,,353.70M,,353.70M,,,,234.60M,,234.60M,,,572.20M,1.160B,518.60M,,518.60M,,,,,,,,,144.70M,663.30M,1.824B,54.90M,1.135B,,54.90M,,,,2.073B
1998-06,70.20M,,70.20M,,854.90M,,,,,900.00M,,149.40M,1.974B,,,,,,1.647B,-896.60M,750.50M,,929.50M,929.50M,,,,251.90M,1.932B,3.906B,327.20M,,327.20M,,327.20M,,,,420.00M,,420.00M,,,471.50M,1.219B,517.70M,,517.70M,,,,,,,,,171.00M,688.70M,1.907B,32.00M,1.093B,,32.00M,,,,1.999B
1998-03,69.70M,,69.70M,,728.70M,,,,,888.10M,,140.20M,1.827B,,,,,,1.613B,-890.50M,722.80M,,911.10M,911.10M,,,,229.30M,1.863B,3.690B,285.70M,,285.70M,,285.70M,,,,254.30M,,254.30M,,,521.80M,1.062B,516.80M,,516.80M,,,,,,,,,157.30M,674.10M,1.736B,31.00M,1.067B,,31.00M,,,,1.954B
