,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-06,96.75M,,,-18.96M,25.43M,8.171M,33.60M,33.60M,,,,25.64M,63.78M,-180.43M,65.83M,,-33.88M,,-84.70M,,52.34M,-25.01M,,-25.01M,,-180.82M,,8.26M,-197.57M,,,117.06M,9.241M,-56.99M,-47.75M,,-30.51M,,1.318M,40.12M,365.86M,-105.11M,-11.24M,249.52M,9.241M,,,-56.99M
2005-03,102.85M,,,-12.07M,22.20M,7.796M,30.00M,30.00M,,,,,-100.07M,-10.11M,-52.16M,,11.80M,,-150.53M,,-29.75M,-35.19M,,-35.19M,,-23.82M,,4.41M,-54.60M,,,-5.282M,54.37M,-59.07M,-4.70M,,-30.80M,,9.61M,-31.17M,485.51M,-115.53M,-4.117M,365.86M,54.37M,,,-59.07M
2004-12,125.30M,,,35.93M,29.18M,6.687M,35.87M,35.87M,,,,,203.58M,108.14M,16.35M,-21.02M,-88.40M,,218.65M,0.00,431.93M,-29.21M,17.42M,-11.79M,,-25.83M,,-18.39M,-56.01M,,,-81.35M,28.64M,,28.64M,,-30.51M,,-0.274M,-83.50M,182.01M,292.42M,11.08M,485.51M,28.64M,,,
2004-09,155.44M,,,15.51M,34.02M,12.35M,46.36M,46.36M,,,,,-160.60M,37.11M,-33.48M,-3.052M,98.06M,,-61.96M,-0.184M,155.16M,-17.34M,-4.417M,-21.75M,,-14.70M,,6.028M,-30.42M,,,-110.10M,17.26M,,17.26M,,-29.21M,,0.00,-122.05M,177.38M,2.689M,1.936M,182.01M,17.26M,,,
2004-06,90.09M,,,6.77M,23.71M,5.775M,29.48M,29.48M,,,,,59.56M,-152.29M,78.45M,5.065M,-20.17M,,-29.38M,0.00,96.96M,-21.83M,4.417M,-17.41M,,-614.56M,,0.285M,-631.69M,,,166.15M,18.72M,,18.72M,,-29.07M,,-0.038M,155.76M,551.69M,-378.96M,1.522M,177.38M,18.72M,,,
2004-03,103.87M,,,-22.99M,23.96M,5.04M,29.00M,29.00M,,,,,-122.85M,58.49M,-57.50M,,58.00M,,-63.87M,-3.136M,42.89M,-13.04M,,-13.04M,,,,-1.041M,-14.08M,,,2.755M,41.99M,,41.99M,,-28.94M,,-0.418M,15.38M,511.65M,44.19M,-4.152M,551.69M,41.99M,,,
2003-12,105.63M,,,-53.27M,-77.08M,-1.157M,26.22M,26.22M,,,,,207.36M,141.89M,63.80M,,-32.72M,,393.21M,1.288M,504.04M,-22.60M,,-4.632M,,0.451M,,-7.414M,-11.60M,,,-206.09M,24.07M,0.00,24.07M,,-28.66M,,-0.172M,-210.85M,217.49M,281.60M,15.70M,514.78M,24.07M,,,0.00
2003-09,125.29M,,,33.08M,77.08M,1.157M,26.54M,26.54M,,,,,-61.08M,101.90M,-82.69M,,29.64M,,-12.24M,-0.826M,171.84M,-18.62M,,-18.62M,,-575.39M,,2.298M,-591.71M,,,455.11M,4.722M,0.00,4.722M,,-27.43M,,0.00,432.40M,204.98M,12.53M,-0.02M,217.49M,4.722M,,,0.00
2003-06,74.94M,,,30.63M,,,23.81M,23.81M,,,,,1.75M,-127.48M,23.94M,,-23.19M,,-124.99M,1.772M,6.164M,-19.87M,,-19.87M,,-0.186M,,-1.715M,-21.77M,,,1.042M,2.899M,-32.84M,-29.94M,,-27.42M,,0.148M,-56.16M,265.34M,-71.77M,11.41M,204.98M,2.899M,,,-32.84M
2003-03,92.07M,,,6.786M,,,27.89M,27.89M,,,,,-100.53M,-54.70M,-65.68M,,-41.94M,,-262.86M,-3.651M,-139.77M,-25.53M,,-25.53M,,-2.914M,,-5.995M,-34.44M,,,-4.221M,0.941M,-28.56M,-27.62M,,-27.75M,,-0.486M,-60.08M,496.37M,-234.28M,3.254M,265.34M,0.941M,,,-28.56M
2002-12,76.60M,,,-28.13M,,,29.09M,29.09M,,,,,162.80M,55.40M,24.39M,,-147.79M,-55.04M,39.76M,,258.06M,-30.73M,,-30.73M,,0.00,,24.73M,-6.001M,,,2.417M,3.006M,0.00,3.006M,,-27.81M,,-0.269M,-88.91M,254.98M,163.15M,8.343M,496.37M,3.006M,,,0.00
2002-09,128.25M,,,1.608M,,,26.02M,26.02M,,,,,-118.88M,-32.27M,16.45M,,147.79M,-43.67M,-30.58M,,125.30M,-11.68M,-23.98M,-35.66M,,-1.342M,,0.838M,-36.16M,,,-107.78M,2.217M,-39.77M,-37.56M,,-26.77M,,-2.398M,-108.26M,272.20M,-19.12M,1.893M,254.98M,2.217M,,,-39.77M
2002-06,88.87M,,,-5.331M,,,27.67M,27.67M,,,,,58.18M,-52.17M,25.96M,,,-12.30M,19.67M,,130.87M,-9.28M,0.00,-9.28M,,,,-10.16M,-19.44M,,,-2.309M,9.492M,-42.88M,-33.38M,,-27.26M,,-3.221M,-66.18M,221.08M,45.25M,5.869M,272.20M,9.492M,,,-42.88M
2002-03,-448.26M,,,532.27M,,,26.89M,26.89M,,,,,-95.16M,72.30M,-12.67M,,,55.97M,20.45M,,131.35M,-12.81M,23.98M,11.16M,,,,5.863M,17.03M,,,-210.47M,25.04M,-41.97M,-16.94M,,-26.93M,,-2.402M,-256.74M,332.05M,-108.36M,-2.607M,221.08M,25.04M,,,-41.97M
2001-12,-112.60M,,,104.57M,20.87M,6.657M,27.53M,27.53M,,,,-91.83M,152.49M,141.49M,-0.342M,,,-26.21M,267.43M,,262.22M,-22.02M,,-22.02M,,-1.50M,,-28.38M,-51.90M,,,-42.05M,6.925M,-37.10M,-30.17M,,-27.32M,,3.202M,-96.33M,133.08M,113.99M,-0.181M,332.05M,6.925M,,,-37.10M
2001-09,103.56M,,,-24.08M,32.96M,8.739M,41.70M,41.70M,,,,91.83M,-46.84M,130.84M,-26.16M,,,-28.09M,29.75M,,242.75M,-16.04M,,-16.04M,,-3.557M,,13.68M,-5.919M,,,-155.65M,5.473M,-36.77M,-31.30M,,-26.38M,,6.216M,-207.11M,100.40M,29.72M,2.96M,133.08M,5.473M,,,-36.77M
2001-06,69.38M,,,-5.917M,67.92M,18.45M,42.78M,42.78M,,,,,62.70M,-82.76M,18.03M,,,-47.59M,-49.62M,,56.62M,-22.54M,,-22.54M,,,,8.892M,-13.65M,,,11.36M,20.81M,-37.39M,-16.58M,,-26.48M,,-3.024M,-34.72M,93.68M,8.249M,-1.529M,100.40M,20.81M,,,-37.39M
2001-03,77.49M,,,1.367M,,,43.60M,43.60M,,,,,-78.21M,-19.02M,-61.95M,,,75.68M,-83.49M,,38.96M,-21.01M,,-21.01M,,,,-1.641M,-22.65M,,,10.18M,11.42M,-35.33M,-23.91M,,-26.68M,,0.799M,-39.61M,118.89M,-23.30M,-1.908M,93.68M,11.42M,,,-35.33M
2000-12,10.16M,,,116.17M,23.02M,7.842M,30.86M,30.86M,,,,-95.44M,133.65M,50.63M,-9.252M,,,-13.68M,161.36M,,217.41M,-28.64M,,-28.64M,,-37.67M,,-11.93M,-78.24M,,,-200.79M,0.609M,-41.49M,-40.88M,,-26.81M,,1.267M,-267.22M,232.93M,-128.05M,5.073M,118.89M,0.609M,,,-41.49M
2000-09,103.36M,,,1.452M,35.08M,8.89M,43.97M,43.97M,,,,95.44M,-49.86M,6.909M,-3.728M,,,-54.83M,-101.51M,,142.72M,-41.23M,,-41.23M,,-28.51M,,-7.043M,-76.78M,,,110.89M,0.115M,-13.95M,-13.84M,,-25.98M,,1.238M,72.31M,98.39M,138.24M,-3.698M,232.93M,0.115M,,,-13.95M
2000-06,75.74M,,,3.143M,67.28M,17.49M,42.66M,42.66M,,,,,-0.048M,-112.44M,-2.413M,,,-10.14M,-125.03M,,-3.488M,-30.98M,,-30.98M,,-241.88M,,-6.21M,-279.06M,,,326.72M,0.175M,0.00,0.175M,,-26.02M,,1.222M,302.09M,81.25M,19.54M,-2.397M,98.39M,0.175M,,,0.00
2000-03,71.07M,,,10.35M,,,42.11M,42.11M,,,,,-80.07M,-15.52M,-15.17M,,,64.97M,-45.79M,,77.74M,-24.38M,,-24.38M,,,,15.23M,-9.151M,,,9.267M,0.418M,-50.28M,-49.87M,,-26.10M,,0.766M,-65.93M,79.86M,2.661M,-1.276M,81.25M,0.418M,,,-50.28M
1999-12,97.20M,,,28.10M,,,42.00M,42.00M,,,,-125.50M,95.70M,25.10M,1.60M,,2.40M,,124.80M,,166.60M,-24.10M,,-24.10M,,,,-2.00M,-26.10M,,,-58.90M,0.30M,-51.60M,-51.30M,,-26.60M,,-2.00M,-138.80M,81.80M,1.70M,-3.70M,79.90M,0.30M,,,-51.60M
1999-09,103.90M,,,-7.60M,,,42.80M,42.80M,,,,-0.10M,10.60M,38.30M,13.70M,,41.00M,,103.60M,,242.60M,-192.50M,,-192.50M,,117.10M,,0.70M,-74.70M,,,-100.40M,1.50M,-51.90M,-50.40M,,-25.60M,,2.10M,-174.30M,83.50M,-6.40M,4.70M,81.80M,1.50M,,,-51.90M
1999-06,79.50M,,,-15.20M,,,42.10M,42.10M,,,,-21.70M,-17.60M,-11.10M,-12.60M,,-43.40M,,-84.70M,,0.00,74.60M,,74.60M,,-117.10M,,-10.40M,-52.90M,,,91.70M,12.40M,-25.50M,-13.10M,,-26.10M,,-0.20M,52.30M,88.80M,-0.60M,-4.70M,83.50M,12.40M,,,-25.50M
1999-03,85.60M,,,,,,40.50M,40.50M,,,,21.90M,-101.10M,-8.60M,-24.10M,,,,-133.80M,,14.20M,-164.70M,,-164.70M,,,,-1.40M,-166.10M,,,211.10M,11.10M,-20.10M,-9.00M,,-26.00M,,1.40M,177.50M,63.20M,25.60M,,88.80M,11.10M,,,-20.10M
1998-12,103.80M,,,,,,39.60M,39.60M,,,,-58.20M,123.30M,-20.10M,-23.60M,,,,79.60M,,164.80M,-91.90M,,-91.90M,,,,-36.10M,-128.00M,,,22.00M,6.70M,-42.40M,-35.70M,,-26.10M,,1.00M,-38.80M,0.00,-2.00M,,0.00,6.70M,,,-42.40M
1998-09,119.60M,,,4.60M,,,40.50M,40.50M,,,,95.10M,38.40M,-6.50M,20.90M,,,,52.80M,,312.60M,-56.30M,,-56.30M,,,,0.70M,-55.60M,,,-191.60M,0.60M,-46.40M,-45.80M,,-25.10M,,0.50M,-262.00M,0.00,-5.00M,,0.00,0.60M,,,-46.40M
1998-06,86.80M,,,-11.40M,,,39.40M,39.40M,,,,-83.00M,-93.50M,-2.60M,12.90M,,,,-83.20M,,-51.40M,-301.40M,,-301.40M,,,,245.90M,-55.50M,,,153.50M,14.50M,-35.40M,-20.90M,,-25.30M,,0.10M,107.40M,0.00,0.50M,,0.00,14.50M,,,-35.40M
1998-03,78.10M,,,6.80M,,,41.90M,41.90M,,,,47.30M,-117.00M,-23.20M,-27.20M,,,,-167.40M,,6.70M,-39.40M,,-39.40M,,,,-227.40M,-266.80M,,,229.70M,23.90M,-23.20M,0.70M,,-25.20M,,0.50M,205.70M,124.10M,-54.40M,,0.00,23.90M,,,-23.20M
