,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,2.806B,2.806B,1.955B,851.00M,485.00M,,,73.00M,,,,-21.00M,464.00M,387.00M,,,,73.00M,,386.00M,140.00M,241.00M,-73.00M,,-5.00M,168.00M,194.48M,387.00M,,387.00M,,0.53,-0.16,,,0.4275,0.37,,0.52,-0.16,,,0.4203,0.36,,454.05M,466.67M,0.16,,,
2003-12,2.573B,2.573B,1.778B,795.00M,442.00M,,,-48.00M,,,,52.00M,494.00M,301.00M,,,,-48.00M,,246.00M,108.00M,133.00M,-41.00M,,-5.00M,92.00M,161.80M,301.00M,,301.00M,,0.37,-0.0824,,,0.4326,0.21,,0.37,-0.0843,,,0.4317,0.21,,460.40M,466.44M,0.32,,,
2003-09,2.823B,2.823B,1.949B,874.00M,459.00M,,,65.00M,,,,-58.00M,401.00M,473.00M,,,,65.00M,,413.00M,153.00M,258.00M,61.00M,,-2.00M,319.00M,217.08M,473.00M,,473.00M,,0.54,0.13,,,0.4541,0.67,,0.53,0.13,,,0.4466,0.65,,476.12M,490.77M,0.14,,,
2003-06,2.628B,2.628B,1.821B,807.00M,433.00M,,,31.00M,,,,,433.00M,374.00M,,,,31.00M,,341.00M,119.00M,220.00M,9.00M,,-2.00M,229.00M,199.82M,374.00M,,374.00M,,0.46,0.02,,,0.4177,0.48,,0.44,0.02,,,0.3995,0.46,,477.08M,497.83M,0.14,,,
2003-03,2.498B,2.498B,1.745B,753.76M,452.38M,,,26.07M,,,,-13.52M,438.86M,314.90M,,,,26.07M,,259.85M,90.40M,165.80M,,,-3.65M,165.80M,148.80M,314.90M,,314.90M,,0.34,0.00,,,0.3051,0.34,,0.32,0.00,,,0.2872,0.32,,487.65M,518.12M,0.14,,,
2002-12,2.103B,2.103B,1.467B,635.61M,324.31M,,,9.14M,,,,-19.00M,305.31M,330.30M,,,,9.14M,,255.72M,90.88M,164.84M,29.86M,0.40M,,195.10M,158.95M,330.30M,,330.30M,,0.08,0.0480,0.00,,0.0723,0.24,,0.08,0.0436,0.0255,,0.0728,0.23,,764.41M,814.13M,0.14,,,
2002-09,2.447B,2.447B,1.666B,780.50M,368.85M,,,-181.22M,,,,166.00M,534.85M,245.65M,,,,-181.22M,,169.37M,52.67M,116.70M,6.10M,,,122.80M,241.56M,245.65M,,245.65M,,0.24,0.01,,,0.4924,0.25,,0.22,0.01,,,0.4593,0.23,,494.70M,521.90M,0.135,,,
2002-06,2.314B,2.314B,1.550B,764.35M,369.25M,,,-16.20M,,,,,369.25M,395.10M,,,,-16.20M,,324.70M,110.40M,214.30M,,,,214.30M,224.99M,395.10M,,395.10M,,0.45,0.00,,,0.4725,0.45,,0.43,0.00,,,0.4515,0.43,,476.22M,498.37M,0.135,,,
2002-03,2.10B,2.10B,1.454B,645.95M,355.35M,,,-7.90M,,,,,355.35M,290.60M,,,,-7.90M,,227.60M,77.40M,150.20M,,,,150.20M,155.41M,290.60M,,290.60M,,0.32,0.00,,,0.3311,0.32,,0.31,0.00,,,0.3208,0.31,,469.38M,484.52M,0.135,,,
2001-12,2.115B,2.115B,1.510B,605.10M,368.30M,23.20M,,31.77M,,,,,391.50M,213.60M,,,,37.93M,,191.50M,64.00M,127.50M,,,,127.50M,106.35M,413.09M,199.49M,213.60M,,0.2777,,,,0.2317,0.2777,,0.20,,,,0.1751,0.20,,459.05M,848.57M,0.135,,,
2001-09,2.247B,2.247B,1.530B,716.70M,361.90M,23.90M,,-551.10M,,,,,385.80M,330.90M,,,,-551.10M,,-281.80M,-98.80M,-183.00M,,,,-183.00M,174.88M,354.80M,23.90M,330.90M,,-0.39,0.00,,,0.3727,-0.39,,-0.39,0.00,,,0.3727,-0.39,,469.23M,469.23M,0.13,,,
2001-06,2.064B,2.064B,1.435B,629.00M,333.38M,23.10M,,0.88M,,,,,356.48M,272.52M,,,,0.88M,,214.00M,75.00M,139.00M,,,,139.00M,138.43M,295.62M,23.10M,272.52M,,0.31,0.00,,,0.3087,0.31,,0.30,0.00,,,0.2988,0.30,,451.00M,462.80M,0.13,,,
2001-03,1.911B,1.911B,1.338B,573.50M,333.70M,23.00M,,18.50M,,,,,356.70M,216.80M,,,,18.50M,,177.00M,62.00M,115.00M,,,,115.00M,102.98M,239.80M,23.00M,216.80M,,0.25,0.00,,,0.2239,0.25,,0.25,0.00,,,0.2239,0.25,,460.00M,460.00M,0.13,,,
2000-12,1.733B,1.733B,1.188B,545.47M,168.24M,,,-107.02M,,,,,358.77M,186.70M,,,,-107.02M,,25.50M,-19.40M,44.90M,,,,44.90M,109.11M,377.23M,190.53M,186.70M,,0.10,0.00,,,0.2448,0.10,,0.10,0.00,,,0.2424,0.10,,443.37M,451.02M,0.13,,,
2000-09,1.893B,1.893B,1.216B,677.10M,359.20M,,,48.00M,,,,,376.90M,300.20M,,,,48.00M,,297.50M,110.10M,187.40M,,,,187.40M,157.16M,317.90M,17.70M,300.20M,,0.42,0.00,,,0.3522,0.42,,0.41,0.00,,,0.3438,0.41,,446.19M,457.07M,0.12,,,
2000-06,1.871B,1.871B,1.244B,626.80M,309.60M,15.90M,,40.80M,,,,,325.50M,301.30M,,,,40.80M,,294.40M,109.00M,185.40M,,,,185.40M,159.71M,317.20M,15.90M,301.30M,,0.42,0.00,,,0.3618,0.42,,0.41,0.00,,,0.3529,0.41,,441.50M,450.20M,0.00,,,
2000-03,1.746B,1.746B,1.126B,620.10M,337.40M,,,46.30M,,,,,351.60M,268.50M,,,,46.30M,,276.00M,102.00M,174.00M,,,,174.00M,144.81M,282.70M,14.20M,268.50M,,0.40,0.00,,,0.3329,0.40,,0.39,0.00,,,0.3246,0.39,,435.00M,446.15M,0.12,,,
1999-12,1.645B,1.645B,916.50M,728.50M,313.00M,,,37.30M,,,,,463.10M,265.40M,,,,37.30M,,268.70M,90.00M,178.70M,,,,178.70M,153.89M,415.50M,150.10M,265.40M,,0.41,0.00,,,0.3531,0.41,,0.40,0.00,,,0.3446,0.40,,436.24M,447.39M,0.24,,,
1999-09,1.704B,1.704B,1.082B,622.00M,463.60M,,,-0.40M,,,,,476.70M,145.30M,,,,-0.40M,,113.20M,48.30M,64.90M,,,,64.90M,65.14M,158.70M,13.40M,145.30M,,0.15,0.00,,,0.1506,0.15,,0.15,0.00,,,0.1505,0.15,,435.30M,445.90M,0.11,,,
1999-06,1.269B,1.269B,812.60M,456.40M,241.30M,,,39.90M,,,,,251.40M,205.00M,,,,39.90M,,219.90M,81.30M,138.60M,,,,138.60M,113.45M,215.10M,10.00M,205.00M,,0.42,0.00,,,0.3622,0.42,,0.41,0.00,,,0.3536,0.41,,435.00M,446.10M,0.00,,,
1999-03,1.391B,1.391B,874.40M,516.60M,273.50M,,,35.10M,,,,,281.80M,234.80M,,,,35.10M,,243.30M,91.40M,151.90M,,,,151.90M,129.99M,243.10M,8.30M,234.80M,,0.37,0.00,,,0.3166,0.37,,0.36,0.00,,,0.3081,0.36,,410.54M,421.94M,0.11,,,
1998-12,1.327B,1.327B,735.50M,591.50M,253.50M,,,39.70M,,,,,389.60M,201.90M,,,,39.70M,,212.60M,74.80M,137.80M,,,,137.80M,112.07M,338.00M,136.10M,201.90M,,0.32,0.00,,,0.2603,0.32,,0.31,0.00,,,0.2503,0.31,,430.71M,430.71M,0.22,,,
1998-09,1.38B,1.38B,869.60M,510.40M,269.20M,,,39.20M,,,,,276.70M,233.70M,,,,39.20M,,241.80M,89.00M,152.80M,,,,152.80M,128.03M,241.50M,7.80M,233.70M,,0.35,0.00,,,0.2933,0.35,,0.34,0.00,,,0.2833,0.34,,436.57M,436.57M,0.11,,,
1998-06,1.085B,1.085B,691.40M,393.60M,213.00M,,,35.70M,,,,,219.80M,173.80M,,,,35.70M,,188.80M,71.80M,117.00M,,,,117.00M,94.88M,180.60M,6.80M,173.80M,,0.35,0.00,,,0.2838,0.35,,0.34,0.00,,,0.2757,0.34,,334.29M,344.12M,0.00,,,
1998-03,1.039B,1.039B,659.20M,379.80M,207.50M,,,38.50M,,,,,213.50M,166.30M,,,,38.50M,,184.30M,73.70M,110.60M,,,,110.60M,87.50M,172.30M,6.00M,166.30M,,0.34,0.00,,,0.2690,0.34,,0.33,0.00,,,0.2611,0.33,,325.29M,335.15M,0.105,,,
1997-12,1.738B,1.738B,961.10M,776.90M,384.50M,,,34.60M,,,,,503.10M,273.80M,,,,34.60M,,272.30M,105.10M,167.20M,,,,167.20M,145.95M,392.40M,118.60M,273.80M,,0.5049,,,,0.4408,0.5049,,0.18,0.00,,,0.1158,0.18,,331.14M,331.14M,0.21,,,
1997-09,1.003B,1.003B,634.00M,369.00M,205.10M,,,32.10M,,,,,210.50M,158.50M,,,,32.10M,,169.90M,68.10M,101.80M,,,,101.80M,82.54M,163.90M,5.40M,158.50M,,0.32,0.00,,,0.2595,0.32,,0.30,0.00,,,0.2432,0.30,,318.12M,339.33M,0.10,,,
1997-06,913.00M,913.00M,578.20M,334.80M,187.20M,,,27.50M,,,,,191.00M,143.80M,,,,27.50M,,152.40M,60.80M,91.60M,,,,91.60M,75.07M,147.60M,3.80M,143.80M,,0.29,0.00,,,0.2377,0.29,,0.28,0.00,,,0.2295,0.28,,315.86M,327.14M,0.00,,,
1997-03,854.00M,854.00M,539.50M,314.50M,181.00M,,,27.90M,,,,,184.70M,129.80M,,,,27.90M,,139.20M,55.70M,83.50M,,,,83.50M,66.76M,133.50M,3.70M,129.80M,,0.27,0.00,,,0.2159,0.27,,0.26,0.00,,,0.2079,0.26,,309.26M,321.15M,0.10,,,
1996-12,843.00M,843.00M,461.60M,381.40M,176.10M,,,55.30M,,,,,267.20M,114.20M,,,,55.30M,,149.70M,66.30M,83.40M,,,,83.40M,50.22M,205.30M,91.10M,114.20M,,0.2592,,,,0.1561,0.2592,,0.2592,,,,0.1561,0.2592,,321.74M,321.74M,0.20,,,
1996-09,843.00M,843.00M,522.00M,321.00M,180.90M,,,20.40M,,,,,184.20M,136.80M,,,,20.40M,,136.30M,54.50M,81.80M,,,,81.80M,69.56M,140.10M,3.30M,136.80M,,0.13,0.00,,,0.0918,0.13,,0.13,0.00,,,0.0918,0.13,,320.76M,320.76M,0.095,,,
1996-06,787.00M,787.00M,496.60M,290.40M,169.80M,,,8.40M,,,,,172.50M,117.90M,,,,8.40M,,109.90M,41.90M,68.00M,,,,68.00M,62.80M,120.60M,2.70M,117.90M,,0.11,0.00,,,0.0938,0.11,,0.105,0.00,,,0.0888,0.105,,320.76M,320.76M,0.00,,,
1996-03,764.00M,764.00M,480.30M,283.70M,172.10M,,,12.80M,,,,,172.10M,111.60M,,,,12.80M,,106.80M,44.80M,62.00M,,,,62.00M,54.32M,111.60M,,111.60M,,0.10,0.00,,,0.0761,0.10,,0.095,0.00,,,0.0711,0.095,,320.80M,320.80M,0.095,,,
1995-12,-742.00M,-742.00M,-723.90M,-18.10M,-103.00M,,,2.80M,,,,,-12.90M,-5.20M,,,,2.80M,,10.20M,15.00M,-4.80M,,,,-646.50M,-6.48M,-5.20M,,-5.20M,,-0.025,-2.01,,,-0.0301,-2.035,,-0.025,-2.01,,,-0.0301,-2.035,,329.69M,329.69M,0.285,,,
1995-09,1.235B,1.235B,842.80M,392.20M,258.50M,,,7.30M,,,,,258.50M,133.70M,,,,7.30M,,111.90M,44.80M,67.10M,,,,67.10M,62.72M,133.70M,,133.70M,,0.21,0.00,,,0.1963,0.21,,0.21,0.00,,,0.1963,0.21,,319.52M,319.52M,0.09,,,
1995-06,1.208B,1.208B,821.90M,386.10M,261.80M,,,10.10M,,,,,261.80M,124.30M,,,,10.10M,,105.60M,42.20M,63.40M,,,,63.40M,57.34M,124.30M,,124.30M,,0.20,0.00,,,0.1809,0.20,,0.20,0.00,,,0.1809,0.20,,317.00M,317.00M,0.00,,,
1995-03,1.226B,1.226B,815.40M,410.60M,261.00M,,,3.00M,,,,,261.00M,149.60M,,,,3.00M,,124.10M,49.70M,74.40M,,,,74.40M,72.60M,149.60M,,149.60M,,0.24,0.00,,,0.2342,0.24,,0.24,0.00,,,0.2342,0.24,,310.00M,310.00M,0.09,,,
1994-12,1.148B,1.148B,662.40M,485.60M,251.40M,,,-113.30M,,,,,372.00M,113.60M,,,,-113.30M,,-23.20M,-9.40M,-13.80M,,,,-13.80M,54.18M,113.60M,,113.60M,,-0.05,0.00,,,0.1579,-0.05,,-0.05,0.00,,,0.1579,-0.05,,326.98M,326.98M,0.09,,,
1994-09,1.15B,1.15B,767.30M,382.70M,241.30M,,,5.70M,,,,,241.30M,141.40M,,,,5.70M,,120.10M,48.00M,72.10M,,,,72.10M,68.68M,141.40M,,141.40M,,0.23,0.00,,,0.2191,0.23,,0.23,0.00,,,0.2191,0.23,,313.48M,313.48M,0.09,,,
1994-06,1.12B,1.12B,753.50M,366.50M,233.80M,,,11.30M,,,,,233.80M,132.70M,,,,11.30M,,116.30M,46.20M,70.10M,,,,70.10M,63.29M,132.70M,,132.70M,,0.22,0.00,,,0.1986,0.22,,0.22,0.00,,,0.1986,0.22,,318.64M,318.64M,0.085,,,
1994-03,1.05B,1.05B,698.00M,352.00M,230.10M,,,14.00M,,,,,230.10M,121.90M,,,,14.00M,,109.40M,44.10M,65.30M,,,,65.30M,56.90M,121.90M,,121.90M,,0.21,0.00,,,0.1830,0.21,,0.21,0.00,,,0.1830,0.21,,310.95M,310.95M,0.085,,,
1993-12,1.01B,1.01B,571.90M,438.10M,222.70M,,,20.40M,,,,,338.70M,99.40M,,,,20.40M,,92.00M,34.40M,57.60M,,,,57.60M,44.83M,99.40M,,99.40M,,0.18,0.00,,,0.1401,0.18,,0.16,0.00,,,0.1240,0.16,,320.00M,355.10M,0.17,,,
1993-09,982.00M,982.00M,662.10M,319.90M,215.20M,,,17.50M,,,,,215.20M,104.70M,,,,17.50M,,98.10M,42.40M,55.70M,,,,55.70M,45.20M,104.70M,,104.70M,,0.18,0.00,,,0.1461,0.18,,0.18,0.00,,,0.1461,0.18,,309.44M,309.44M,0.08,,,
1993-06,948.00M,948.00M,638.50M,309.50M,212.50M,,,12.60M,,,,,212.50M,97.00M,,,,12.60M,,84.60M,31.30M,53.30M,,,,53.30M,45.36M,97.00M,,97.00M,,0.18,0.00,,,0.1532,0.18,,0.18,0.00,,,0.1532,0.18,,296.11M,296.11M,0.00,,,
1993-03,946.00M,946.00M,633.10M,312.90M,210.10M,,,14.10M,,,,,210.10M,102.80M,,,,14.10M,,87.90M,33.40M,54.50M,,,,54.50M,45.76M,102.80M,,102.80M,,0.18,0.00,,,0.1511,0.18,,0.18,0.00,,,0.1511,0.18,,302.78M,302.78M,0.08,,,
1992-12,908.00M,908.00M,502.10M,405.90M,204.60M,,,8.60M,,,,,319.10M,86.80M,,,,8.60M,,71.30M,28.30M,43.00M,,,,43.00M,37.81M,86.80M,,86.80M,,0.15,0.00,,,0.1319,0.15,,0.15,0.00,,,0.1319,0.15,,286.96M,286.96M,0.16,,,
1992-09,899.00M,899.00M,605.50M,293.50M,195.70M,,,12.30M,,,,,195.70M,97.80M,,,,12.30M,,84.50M,33.70M,50.80M,,,,50.80M,43.41M,97.80M,,97.80M,,0.17,0.00,,,0.1453,0.17,,0.17,0.00,,,0.1453,0.17,,298.82M,298.82M,0.075,,,
1992-06,867.00M,867.00M,581.70M,285.30M,190.80M,,,13.20M,,,,,190.80M,94.50M,,,,13.20M,,81.00M,32.50M,48.50M,,,,48.50M,40.58M,94.50M,,94.50M,,0.16,0.00,,,0.1339,0.16,,0.16,0.00,,,0.1339,0.16,,303.12M,303.12M,0.00,,,
1992-03,851.00M,851.00M,577.20M,273.80M,194.30M,,,12.80M,,,,,194.30M,79.50M,,,,12.80M,,68.00M,27.20M,40.80M,,,,40.80M,33.12M,79.50M,,79.50M,,0.14,0.00,,,0.1136,0.14,,0.14,0.00,,,0.1136,0.14,,291.43M,291.43M,0.075,,,
1991-12,806.00M,806.00M,476.60M,329.40M,178.80M,,,-40.10M,,,,,281.50M,47.90M,,,,-40.10M,,-22.00M,5.70M,-27.70M,,,,-27.70M,-3.64M,47.90M,,47.90M,,-0.10,0.00,,,-0.0262,-0.10,,-0.10,0.00,,,-0.0262,-0.10,,326.13M,326.13M,0.15,,,
1991-09,804.00M,804.00M,557.20M,246.80M,170.00M,,,6.00M,,,,,170.00M,76.80M,,,,6.00M,,51.10M,20.20M,30.90M,,,,30.90M,27.27M,76.80M,,76.80M,,0.11,0.00,,,0.0971,0.11,,0.11,0.00,,,0.0971,0.11,,280.91M,280.91M,0.07,,,
1991-06,778.00M,778.00M,544.20M,233.80M,169.00M,,,8.60M,,,,,169.00M,64.80M,,,,8.60M,,40.90M,16.00M,24.90M,,,,24.90M,19.66M,64.80M,,64.80M,,0.09,0.00,,,0.0711,0.09,,0.09,0.00,,,0.0711,0.09,,276.67M,276.67M,0.07,,,
1991-03,753.00M,753.00M,525.80M,227.20M,163.60M,,,-3.50M,,,,,163.60M,63.60M,,,,-3.50M,,27.60M,10.80M,16.80M,,,,16.80M,18.93M,63.60M,,63.60M,,0.06,0.00,,,0.0676,0.06,,0.06,0.00,,,0.0676,0.06,,280.00M,280.00M,0.07,,,
1990-12,767.00M,767.00M,452.80M,314.20M,170.70M,,,-33.50M,,,,,264.20M,50.00M,,,,-33.50M,,-18.50M,16.50M,-35.00M,,,,-35.00M,-14.90M,50.00M,,50.00M,,-0.11,0.00,,,-0.0412,-0.11,,-0.11,0.00,,,-0.0412,-0.11,,292.22M,292.22M,0.07,,,
1990-09,807.00M,807.00M,558.80M,248.20M,152.90M,,,1.30M,,,,,152.90M,95.30M,,,,1.30M,,61.00M,18.70M,42.30M,,,,42.30M,41.40M,95.30M,,95.30M,,0.14,0.00,,,0.1370,0.14,,0.14,0.00,,,0.1370,0.14,,302.14M,302.14M,0.07,,,
1990-06,825.00M,825.00M,557.20M,267.80M,156.50M,,,5.30M,,,,,156.50M,111.30M,,,,5.30M,,89.70M,28.00M,61.70M,,,,61.70M,58.05M,111.30M,,111.30M,,0.20,0.00,,,0.1882,0.20,,0.20,0.00,,,0.1882,0.20,,308.50M,308.50M,0.065,,,
1990-03,810.00M,810.00M,547.20M,262.80M,156.60M,,,25.80M,,,,,156.60M,106.20M,,,,25.80M,,103.70M,33.90M,69.80M,,,,69.80M,52.43M,106.20M,,106.20M,,0.23,0.00,,,0.1728,0.23,,0.23,0.00,,,0.1728,0.23,,303.48M,303.48M,0.065,,,
1989-12,781.50M,781.50M,481.90M,299.60M,144.00M,,,-16.10M,,,,,233.10M,66.50M,,,,-16.10M,,20.50M,14.20M,6.30M,,,,6.30M,15.96M,66.50M,,66.50M,,0.02,0.00,,,0.0510,0.02,,0.02,0.00,,,0.0510,0.02,,311.46M,311.46M,0.065,,,
1989-09,793.00M,793.00M,548.80M,244.20M,139.40M,,,12.90M,,,,,139.40M,104.80M,,,,12.90M,,89.10M,26.70M,62.40M,,,,62.40M,53.37M,104.80M,,104.80M,,0.20,0.00,,,0.1710,0.20,,0.20,0.00,,,0.1710,0.20,,312.00M,312.00M,0.065,,,
1989-06,791.00M,791.00M,,,,,,,,,,,,791.00M,,,,,,,,76.80M,,,,76.80M,,791.00M,,791.00M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,311.79M,311.79M,0.06,,,
1989-03,659.00M,659.00M,,,,,,,,,,,,659.00M,,,,,,,,68.20M,,,,68.20M,,659.00M,,659.00M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,274.62M,274.62M,0.06,,,
1988-12,609.60M,609.60M,,,,,,,,,,,,-1.433B,,,,,,,,49.30M,,,,49.30M,,-1.433B,,-1.433B,,,,,,,,,,,,,,,,273.62M,273.62M,0.06,,,
1988-09,614.00M,614.00M,,,,,,,,,,,,614.00M,,,,,,,,73.90M,,,,73.90M,,614.00M,,614.00M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,275.54M,275.54M,0.06,,,
1988-06,616.00M,616.00M,,,,,,,,,,,,616.00M,,,,,,,,81.90M,,,,81.90M,,616.00M,,616.00M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,265.51M,265.51M,0.05,,,
1988-03,556.00M,556.00M,,,,,,,,,,,,556.00M,,,,,,,,79.60M,,,,79.60M,,556.00M,,556.00M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,265.18M,265.18M,0.05,,,
1987-12,543.30M,543.30M,,,,,,,,,,,,-1.124B,,,,,,,,30.80M,,,,30.80M,,-1.124B,,-1.124B,,,,,,,,,,,,,,,,265.43M,265.43M,0.05,,,
1987-09,541.00M,541.00M,,,,,,,,,,,,541.00M,,,,,,,,66.70M,,,,66.70M,,541.00M,,541.00M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,264.68M,264.68M,0.05,,,
1987-06,489.00M,489.00M,,,,,,,,,,,,489.00M,,,,,,,,65.80M,,,,65.80M,,489.00M,,489.00M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,264.40M,264.40M,0.045,,,
1987-03,450.00M,450.00M,,,,,,,,,,,,450.00M,,,,,,,,55.50M,,,,55.50M,,450.00M,,450.00M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,258.44M,258.44M,0.045,,,
1986-12,450.00M,450.00M,,,,,,,,,,,,-738.30M,,,,,,,,55.40M,,,,55.40M,,-738.30M,,-738.30M,,,,,,,,,,,,,,,,261.72M,261.72M,0.045,,,
1986-09,367.00M,367.00M,,,,,,,,,,,,367.00M,,,,,,,,51.30M,,,,51.30M,,367.00M,,367.00M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,257.86M,257.86M,0.045,,,
1986-06,327.00M,327.00M,,,,,,,,,,,,327.00M,,,,,,,,51.60M,,,,51.60M,,327.00M,,327.00M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,257.86M,257.86M,0.04,,,
1986-03,308.00M,308.00M,,,,,,,,,,,,308.00M,,,,,,,,45.10M,,,,45.10M,,308.00M,,308.00M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,257.24M,257.24M,0.00,,,
1985-12,704.90M,704.90M,,,,,,,,,,,,-249.40M,,,,,,,,141.30M,,,,141.30M,,-249.40M,,-249.40M,,,,,,,,,,,,,,,,257.48M,257.48M,0.04,,,
1985-09,155.40M,155.40M,,,,,,,,,,,,155.40M,,,,,,,,7.50M,,,,7.50M,,155.40M,,155.40M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,232.24M,232.24M,,,,
1985-06,256.00M,256.00M,,,,,,,,,,,,256.00M,,,,,,,,36.30M,,,,36.30M,,256.00M,,256.00M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,231.94M,231.94M,,,,
1985-03,229.00M,229.00M,,,,,,,,,,,,229.00M,,,,,,,,35.50M,,,,35.50M,,229.00M,,229.00M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,226.14M,226.14M,,,,
1984-12,214.70M,214.70M,,,,,,,,,,,,-603.90M,,,,,,,,21.70M,,,,21.70M,,-603.90M,,-603.90M,,,,,,,,,,,,,,,,231.80M,231.80M,,,,
1984-09,162.00M,162.00M,,,,,,,,,,,,162.00M,,,,,,,,27.20M,,,,27.20M,,162.00M,,162.00M,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,225.97M,225.97M,,,,
1984-06,142.00M,142.00M,,,,,,,,,,,,142.00M,,,,,,,,6.70M,,,,6.70M,,142.00M,,142.00M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,225.89M,225.89M,,,,
1984-03,140.20M,140.20M,,,,,,,,,,,,140.20M,,,,,,,,6.40M,,,,6.40M,,140.20M,,140.20M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,225.89M,225.89M,,,,
