,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2001-12,65.01M,65.01M,30.12M,34.88M,,14.43M,8.442M,0.436M,,,,22.87M,12.01M,,,,0.436M,,11.33M,1.068M,10.26M,,10.26M,9.868M,13.73M,,2001-12,0.0838,0.00,0.0806,2001-12,0.0762,0.00,0.0734,0.0762,124.46M,138.19M,,,
2001-09,47.50M,47.50M,21.54M,25.96M,,11.00M,6.053M,0.18M,,,,17.06M,8.904M,,,,0.18M,,6.238M,0.065M,6.173M,,6.173M,5.995M,10.75M,,2001-09,0.0512,0.00,0.0498,2001-09,0.0475,0.00,0.0461,0.0475,121.04M,129.78M,,,
2001-06,51.40M,51.40M,22.70M,28.70M,,13.49M,6.635M,0.05M,,,,20.12M,8.57M,,,,0.05M,,6.616M,0.992M,5.624M,,5.624M,5.581M,10.40M,,2001-06,0.0475,0.00,0.0471,2001-06,0.045,0.00,0.0447,0.045,118.40M,124.98M,,,
2001-03,50.47M,50.47M,23.18M,27.29M,,13.36M,6.105M,0.188M,,,,19.47M,7.824M,,,,0.188M,,4.558M,0.684M,3.874M,,3.874M,3.714M,9.934M,,2001-03,0.0338,0.00,0.0324,2001-03,0.0338,0.00,0.0324,0.0338,114.79M,114.79M,,,
2000-12,57.21M,57.21M,18.45M,38.76M,,15.10M,5.251M,0.261M,,,,30.08M,8.682M,,,,0.261M,,5.166M,2.59M,2.576M,,2.576M,2.419M,10.35M,,2000-12,0.0225,0.00,0.0212,2000-12,0.0225,0.00,0.0212,0.0225,116.33M,116.33M,,,
2000-09,39.91M,39.91M,29.21M,10.70M,,16.00M,6.816M,0.242M,,,,22.81M,-12.11M,,,,0.242M,,-15.18M,2.971M,-18.15M,,-18.15M,-18.29M,-9.479M,,2000-09,-0.1562,0.00,-0.1575,2000-09,-0.1562,0.00,-0.1575,-0.1562,115.87M,115.87M,,,
2000-06,52.56M,52.56M,29.86M,22.70M,,16.85M,9.514M,-0.067M,,,,26.36M,-3.662M,,,,-0.067M,,,,-6.575M,,-6.575M,-6.535M,-0.889M,,2000-06,-0.0562,0.00,-0.0559,2000-06,-0.0562,0.00,-0.0559,-0.0562,115.83M,115.83M,,,
2000-03,35.83M,35.83M,13.53M,22.29M,,16.84M,6.921M,-1.135M,,,,26.41M,-4.116M,,,,-1.135M,,-7.343M,-1.836M,-5.507M,,-5.507M,-4.656M,-1.472M,,2000-03,-0.0475,0.00,-0.0402,2000-03,-0.0475,0.00,-0.0402,-0.0475,115.94M,115.94M,,,
1999-12,46.41M,46.41M,38.69M,7.722M,,11.36M,8.839M,-7.247M,,,,23.20M,-15.48M,,,,-7.247M,,-26.99M,1.378M,-28.37M,,-28.37M,-24.02M,-12.48M,,1999-12,-0.41,0.00,-0.3730,1999-12,-0.41,0.00,-0.3730,-0.41,117.46M,117.46M,,,
1999-09,47.01M,47.01M,19.28M,27.73M,,16.99M,6.354M,,,,,25.64M,2.087M,,,,,,0.511M,0.55M,-0.039M,,-0.039M,-0.039M,4.387M,,1999-09,-0.0003,,-0.0003,1999-09,-0.0003,,-0.0003,-0.0003,112.70M,112.70M,,,
1999-06,46.30M,46.30M,19.80M,26.50M,,14.90M,6.80M,0.20M,,,,24.50M,2.00M,,,,0.20M,,1.30M,0.40M,0.90M,,0.90M,0.7615M,4.80M,,1999-06,0.0088,0.00,0.0074,1999-06,0.0075,0.00,0.0063,0.0075,102.86M,120.00M,,,
1999-03,38.80M,38.80M,36.90M,1.90M,,15.10M,7.00M,-3.70M,,,,24.00M,-22.10M,,,,-3.70M,,,,-26.90M,,-26.90M,-24.68M,-20.20M,,1999-03,-0.2375,0.00,-0.2179,1999-03,-0.2375,0.00,-0.2179,-0.2375,113.26M,113.26M,,,
1998-12,31.75M,31.75M,16.91M,14.85M,,11.44M,7.058M,-2.009M,,,,20.48M,-5.633M,,,,-2.009M,,-7.404M,-1.994M,-5.41M,,-5.41M,-3.942M,-3.656M,,1998-12,-0.0538,0.00,-0.0399,1998-12,-0.0538,0.00,-0.0401,-0.0538,106.06M,107.83M,,,
1998-09,56.00M,56.00M,25.00M,31.00M,,14.10M,6.30M,,,,,22.10M,8.90M,,,,,,8.20M,2.50M,5.70M,,5.70M,5.70M,11.10M,,1998-09,0.0512,0.00,0.0512,1998-09,0.05,0.00,0.05,0.05,111.22M,114.00M,,,
1998-06,49.40M,49.40M,20.70M,28.70M,,14.50M,7.00M,0.10M,,,,23.00M,5.70M,,,,0.10M,,4.50M,1.10M,3.40M,,3.40M,3.324M,8.00M,,1998-06,0.035,0.00,0.0342,1998-06,0.0338,0.00,0.033,0.0338,97.14M,100.74M,,,
