,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-09,339.00M,,,,,-627.00M,,,,515.00M,118.00M,,,90.00M,-83.00M,8.00M,,279.00M,-23.00M,934.00M,172.00M,1.287B,1.722B,-297.00M,-297.00M,,,-244.00M,-541.00M,,,-120.00M,23.00M,0.00,23.00M,,-136.00M,0.00,-233.00M,154.00M,948.00M,,1.102B,23.00M,,,0.00,,
2005-06,203.00M,,,,,16.00M,,,,261.00M,-26.00M,,,19.00M,-215.00M,-32.00M,,334.00M,-87.00M,5.00M,102.00M,107.00M,580.00M,-451.00M,-451.00M,,333.00M,-486.00M,-604.00M,,,4.00M,7.00M,0.00,7.00M,,-136.00M,62.00M,-63.00M,241.00M,-87.00M,,154.00M,7.00M,,,0.00,,
2005-03,137.00M,,,,,-100.00M,,,,339.00M,190.00M,,,,-57.00M,-49.00M,,-81.00M,5.00M,-98.00M,-72.00M,-352.00M,214.00M,-400.00M,-400.00M,,-333.00M,13.00M,-720.00M,,,99.00M,603.00M,-5.00M,598.00M,,-135.00M,-40.00M,522.00M,225.00M,16.00M,,241.00M,603.00M,,,-5.00M,,
2004-12,172.00M,,,,,-345.00M,,,,311.00M,-132.00M,,,-55.00M,154.00M,-15.00M,,84.00M,101.00M,150.00M,-87.00M,387.00M,338.00M,-550.00M,-550.00M,,,432.00M,-501.00M,,,24.00M,47.00M,,47.00M,,-122.00M,-12.00M,-63.00M,451.00M,-226.00M,,225.00M,47.00M,,,,,
2004-09,320.00M,,,,,-226.00M,,,,311.00M,439.00M,,,88.00M,-82.00M,-4.00M,,-112.00M,-71.00M,58.00M,-140.00M,-351.00M,581.00M,-183.00M,-183.00M,,,-225.00M,-408.00M,,,197.00M,16.00M,,16.00M,,-123.00M,-34.00M,56.00M,222.00M,229.00M,,451.00M,16.00M,,,,,
2004-06,257.00M,,,,,-59.00M,,,,310.00M,74.00M,,,-54.00M,-93.00M,33.00M,,227.00M,-20.00M,79.00M,30.00M,256.00M,784.00M,-400.00M,-400.00M,,,67.00M,-333.00M,,,-424.00M,28.00M,,28.00M,,-111.00M,46.00M,-461.00M,232.00M,-10.00M,,222.00M,28.00M,,,,,
2004-03,138.00M,,,,,169.00M,,,,314.00M,47.00M,,,77.00M,60.00M,15.00M,,21.00M,4.00M,-86.00M,188.00M,202.00M,947.00M,-402.00M,-402.00M,,,-228.00M,-630.00M,,,-83.00M,19.00M,,19.00M,,-111.00M,-39.00M,-214.00M,129.00M,103.00M,,232.00M,19.00M,,,,,
2003-12,145.00M,,,,,204.00M,,,,305.00M,203.00M,,,-51.00M,-19.00M,-35.00M,,-69.00M,168.00M,24.00M,-230.00M,-161.00M,645.00M,-445.00M,-445.00M,,,-431.00M,-876.00M,,,-237.00M,18.00M,90.00M,108.00M,,-425.00M,-21.00M,-575.00M,935.00M,-806.00M,,129.00M,18.00M,,,90.00M,,
2003-09,331.00M,,,,,-34.00M,,,,295.00M,179.00M,,,73.00M,-105.00M,-5.00M,,-116.00M,-152.00M,9.00M,102.00M,-267.00M,577.00M,-313.00M,-313.00M,,,-345.00M,-658.00M,,,825.00M,25.00M,-318.00M,-293.00M,,212.00M,-9.00M,735.00M,281.00M,654.00M,,935.00M,25.00M,,,-318.00M,,
2003-06,239.00M,,,,,-175.00M,,,,270.00M,74.00M,,,-59.00M,-114.00M,0.00,,1.00M,19.00M,-51.00M,142.00M,-3.00M,346.00M,-333.00M,-333.00M,,,-534.00M,-867.00M,,,571.00M,14.00M,,14.00M,,-106.00M,-9.00M,470.00M,332.00M,-51.00M,,281.00M,14.00M,,,,,
2003-03,175.00M,,,,,-197.00M,,,,248.00M,132.00M,,,59.00M,-63.00M,41.00M,,288.00M,-75.00M,35.00M,43.00M,269.00M,686.00M,-300.00M,-300.00M,,,-388.00M,-688.00M,,,167.00M,16.00M,,16.00M,,-106.00M,-9.00M,68.00M,266.00M,66.00M,,332.00M,16.00M,,,,,
2002-12,129.00M,,,,,,,,,223.00M,178.00M,,,-80.00M,176.00M,,,-416.00M,-256.00M,,-537.00M,-1.047B,110.00M,-474.00M,-474.00M,,,-1.041B,-1.515B,,,1.068B,18.00M,,18.00M,,-102.00M,-9.00M,975.00M,696.00M,-430.00M,,266.00M,18.00M,,,,,
2002-09,-72.00M,,,,,,,,,685.00M,41.00M,,,,-182.00M,,,401.00M,402.00M,,-474.00M,147.00M,801.00M,-245.00M,-245.00M,,,-323.00M,-568.00M,,,171.00M,18.00M,,18.00M,,-102.00M,-8.00M,79.00M,384.00M,312.00M,,696.00M,18.00M,,,,,
2002-06,250.00M,,,,,,,,,,,,,-524.00M,,,,,,,1.011B,1.011B,737.00M,-289.00M,-289.00M,,,-342.00M,-631.00M,,,-58.00M,336.00M,98.00M,434.00M,,-196.00M,-19.00M,161.00M,117.00M,267.00M,,384.00M,336.00M,,,98.00M,,
2002-03,166.00M,,,,,,,,,,,,,524.00M,,,,,,,,,690.00M,-269.00M,-269.00M,,,-284.00M,-553.00M,,,6.00M,6.00M,-98.00M,-92.00M,,,-16.00M,-102.00M,82.00M,35.00M,,117.00M,6.00M,,,-98.00M,,
2001-12,-882.00M,,,,,,,,,,,,,118.00M,,,,,,,,,279.00M,-304.00M,-254.00M,,,-587.00M,-841.00M,,,437.00M,,,,,-92.00M,,345.00M,299.00M,-217.00M,,82.00M,,,,,433.00M,373.00M
2001-09,1.444B,,,,,,,,,,,,,-630.00M,,,,,,,,,814.00M,-255.00M,-255.00M,,,-624.00M,-879.00M,,,389.00M,,188.00M,188.00M,,-285.00M,,292.00M,72.00M,227.00M,,299.00M,,,,188.00M,,
2001-06,109.00M,,,,,,,,,,,,,238.00M,,,,,,,,,347.00M,-262.00M,-262.00M,,,-944.00M,-1.206B,,,1.257B,,-188.00M,-188.00M,,87.00M,-300.00M,856.00M,12.00M,-3.00M,,72.00M,,,,-188.00M,-39.00M,-30.00M
2001-03,110.00M,,,,,,,,,,,,,392.00M,,,,,,,,,502.00M,-333.00M,-333.00M,,,-10.00M,-343.00M,,,-426.00M,,,,,-87.00M,300.00M,-213.00M,66.00M,-54.00M,,12.00M,,,,,39.00M,30.00M
2000-12,65.00M,,,,,,,,,,,,,-1.459B,,,,,,,,,-79.00M,-384.00M,-362.00M,,394.00M,-584.00M,-552.00M,,,539.00M,,-65.00M,-65.00M,,-91.00M,,383.00M,377.00M,-248.00M,,129.00M,,,,-65.00M,40.00M,108.00M
2000-09,314.00M,,,,,,,,,,,,,-7.00M,,,,,,,,,307.00M,-255.00M,-255.00M,,-394.00M,275.00M,-374.00M,,,353.00M,,-51.00M,-51.00M,,-92.00M,,210.00M,234.00M,143.00M,,377.00M,,,,-51.00M,85.00M,58.00M
2000-06,204.00M,,,,,,,,,,,,,28.00M,,,,,,,,,232.00M,-359.00M,-359.00M,,,-331.00M,-690.00M,,,437.00M,,-34.00M,-34.00M,,-81.00M,,322.00M,9.00M,-136.00M,,234.00M,,,,-34.00M,-7.00M,108.00M
2000-03,121.00M,,,,,,,,,,,,,395.00M,,,,,,,,,516.00M,-301.00M,-301.00M,,,-26.00M,-327.00M,,,-78.00M,,,,,-102.00M,,-180.00M,0.00,9.00M,,9.00M,,,,,42.00M,27.00M
1999-12,120.00M,,,,,-173.00M,,,,-768.00M,,,,,,,,,,,,,45.00M,-254.00M,-254.00M,,,-23.00M,-277.00M,,,338.00M,,-27.00M,-27.00M,,-88.00M,,223.00M,370.00M,-9.00M,,361.00M,,,,-27.00M,250.00M,60.00M
1999-09,291.00M,,,,,-108.00M,,,,245.00M,,,,,,,,,,,,,428.00M,-229.00M,-229.00M,,,-80.00M,-309.00M,,,-250.00M,,-5.00M,-5.00M,,-89.00M,,-344.00M,595.00M,-225.00M,,370.00M,,,,-5.00M,219.00M,44.00M
1999-06,77.00M,,,,,89.00M,,,,244.00M,,,,,,,,,,,,,410.00M,-198.00M,-198.00M,,,-1.044B,-1.242B,,,1.02B,,-52.00M,-52.00M,,-89.00M,,879.00M,548.00M,47.00M,,595.00M,,,,-52.00M,104.00M,72.00M
1999-03,209.00M,,,,,192.00M,,,,279.00M,,,,,,,,,,,,,680.00M,-180.00M,-180.00M,,,-164.00M,-344.00M,,,146.00M,,-32.00M,-32.00M,,-89.00M,,25.00M,187.00M,361.00M,,548.00M,,,,-32.00M,,45.00M
1998-12,93.00M,,,,,-50.00M,,,,,,,,405.00M,,,,,,,,,211.00M,-143.00M,-143.00M,,,25.00M,-118.00M,,,-257.00M,,-10.00M,-10.00M,,-86.00M,,-353.00M,447.00M,-260.00M,,187.00M,,,,-10.00M,225.00M,91.00M
1998-09,287.00M,,,,,-66.00M,,,,,,,,314.00M,,,,,,,,,535.00M,-147.00M,-147.00M,,,-1.00M,-148.00M,,,-262.00M,,-19.00M,-19.00M,,-87.00M,,-368.00M,428.00M,19.00M,,447.00M,,,,-19.00M,225.00M,88.00M
1998-06,176.00M,,,,,19.00M,,,,,,,,348.00M,,,,,,,,,543.00M,-168.00M,-168.00M,,,-50.00M,-218.00M,,,133.00M,,-16.00M,-16.00M,,-86.00M,,31.00M,72.00M,356.00M,,428.00M,,,,-16.00M,13.00M,78.00M
